time,San Antonio,pts.away,score,pts.home,Washington
2:54.0,D. Green enters the game for K. Leonard,,15-19,,
2:54.0,,,15-19,,G. Neal enters the game for O. Porter
2:46.0,Offensive charge foul by P. Mills,,15-19,,
2:46.0,Turnover by P. Mills (offensive foul),,15-19,,
2:35.0,,,15-22,3,B. Beal makes 3-pt shot from 26 ft (assist by N. Hilario)
2:26.0,D. Green misses 2-pt shot from 5 ft,,15-22,,
2:25.0,Offensive rebound by L. Aldridge,,15-22,,
2:23.0,L. Aldridge makes 2-pt shot at rim,2,17-22,,
2:10.0,,,17-22,,D. Gooden misses 2-pt shot from 10 ft (block by D. Green)
2:08.0,Defensive rebound by L. Aldridge,,17-22,,
1:55.0,Turnover by L. Aldridge (bad pass; steal by R. Sessions),,17-22,,
1:51.0,,,17-22,,Turnover by R. Sessions (lost ball)
1:51.0,K. Anderson enters the game for D. Green,,17-22,,
1:39.0,L. Aldridge misses 2-pt shot from 13 ft,,17-22,,
1:38.0,,,17-22,,Defensive rebound by D. Gooden
1:24.0,,,17-22,,Turnover by B. Beal (step out of bounds)
1:10.0,M. Ginobili makes 2-pt shot from 2 ft (assist by B. Diaw),2,19-22,,
0:59.0,,,19-22,,R. Sessions misses 2-pt shot from 7 ft
0:58.0,Defensive rebound by K. Anderson,,19-22,,
0:35.0,K. Anderson makes 2-pt shot from 11 ft,2,21-22,,
0:30.0,Personal foul by K. Anderson (drawn by B. Beal),,21-22,,
0:30.0,T. Duncan enters the game for L. Aldridge,,21-22,,
0:25.0,,,21-22,,N. Hilario misses 2-pt shot from 2 ft
0:24.0,Defensive rebound by M. Ginobili,,21-22,,
0:06.0,,,21-22,,Personal take foul by B. Beal (drawn by M. Ginobili)
0:06.0,,,21-22,,G. Temple enters the game for B. Beal
0:01.0,Shooting foul by D. Gooden (drawn by K. Anderson),,21-22,,
0:01.0,K. Anderson makes free throw 1 of 2,1,22-22,,
0:01.0,K. Anderson makes free throw 2 of 2,1,23-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,M. Ginobili makes 3-pt shot from 25 ft (assist by T. Duncan),3,26-22,,
11:26.0,,,26-22,,Turnover by M. Gortat (lost ball; steal by M. Ginobili)
11:20.0,K. Anderson misses 3-pt shot from 26 ft,,26-22,,
11:18.0,,,26-22,,Defensive rebound by D. Gooden
11:02.0,,,26-22,,G. Neal misses 2-pt shot from 19 ft
11:00.0,,,26-22,,Offensive rebound by D. Gooden
10:59.0,,,26-22,,D. Gooden misses 2-pt shot from 2 ft
10:58.0,Defensive rebound by T. Duncan,,26-22,,
10:53.0,P. Mills makes 2-pt shot from 13 ft,2,28-22,,
10:28.0,,,28-22,,M. Gortat misses 2-pt shot from 3 ft
10:26.0,Defensive rebound by T. Duncan,,28-22,,
10:17.0,Turnover by T. Duncan (lost ball; steal by D. Gooden),,28-22,,
10:06.0,,,28-24,2,G. Neal makes 2-pt shot from 11 ft (assist by G. Temple)
9:45.0,M. Ginobili misses 3-pt shot from 26 ft,,28-24,,
9:44.0,Offensive rebound by T. Duncan,,28-24,,
9:40.0,T. Duncan makes 2-pt shot from 1 ft,2,30-24,,
9:19.0,,,30-24,,D. Gooden misses 3-pt shot from 26 ft
9:19.0,Defensive rebound by Team,,30-24,,
9:19.0,,,30-24,,J. Wall enters the game for D. Gooden
9:19.0,,,30-24,,O. Porter enters the game for R. Sessions
9:19.0,,,30-24,,K. Humphries enters the game for G. Temple
9:19.0,D. Green enters the game for M. Ginobili,,30-24,,
9:19.0,T. Parker enters the game for K. Anderson,,30-24,,
8:55.0,B. Diaw misses 3-pt shot from 25 ft,,30-24,,
8:55.0,Offensive rebound by Team,,30-24,,
8:55.0,Turnover by Team (shot clock),,30-24,,
8:55.0,Official timeout,,30-24,,
8:55.0,D. West enters the game for B. Diaw,,30-24,,
8:39.0,,,30-27,3,G. Neal makes 3-pt shot from 26 ft (assist by J. Wall)
8:19.0,D. Green makes 3-pt shot from 25 ft (assist by T. Parker),3,33-27,,
8:06.0,,,33-30,3,K. Humphries makes 3-pt shot from 25 ft (assist by J. Wall)
7:52.0,,,33-30,,Personal foul by J. Wall (drawn by D. West)
7:43.0,P. Mills makes 2-pt shot from 20 ft (assist by T. Parker),2,35-30,,
7:29.0,K. Leonard enters the game for P. Mills,,35-30,,
7:19.0,,,35-30,,G. Neal misses 2-pt shot from 19 ft
7:19.0,Defensive rebound by D. West,,35-30,,
7:03.0,K. Leonard misses 3-pt shot from 25 ft,,35-30,,
7:02.0,,,35-30,,Defensive rebound by K. Humphries
6:45.0,,,35-32,2,O. Porter makes 2-pt shot from 20 ft
6:28.0,Shooting foul by K. Humphries (drawn by K. Leonard),,35-32,,
6:28.0,K. Leonard makes 2-pt shot at rim (assist by T. Duncan),2,37-32,,
6:28.0,,,37-32,,B. Beal enters the game for G. Neal
6:28.0,K. Leonard makes free throw 1 of 1,1,38-32,,
6:14.0,,,38-35,3,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall)
5:53.0,Turnover by D. West (lost ball; steal by J. Wall),,38-35,,
5:47.0,,,38-35,,J. Wall misses 3-pt shot from 26 ft
5:45.0,Defensive rebound by D. West,,38-35,,
5:43.0,San Antonio full timeout,,38-35,,
5:34.0,K. Leonard misses 2-pt shot from 2 ft (block by O. Porter),,38-35,,
5:33.0,Offensive rebound by K. Leonard,,38-35,,
5:30.0,K. Leonard misses 2-pt shot from 2 ft,,38-35,,
5:29.0,,,38-35,,Defensive rebound by M. Gortat
5:26.0,,,38-37,2,J. Wall makes 2-pt shot from 2 ft
5:15.0,Shooting foul by J. Wall (drawn by D. Green),,38-37,,
5:15.0,D. Green makes free throw 1 of 3,1,39-37,,
5:15.0,D. Green makes free throw 2 of 3,1,40-37,,
5:15.0,L. Aldridge enters the game for T. Duncan,,40-37,,
5:15.0,D. Green makes free throw 3 of 3,1,41-37,,
5:01.0,,,41-39,2,B. Beal makes 2-pt shot from 18 ft
4:53.0,,,41-39,,Personal foul by K. Humphries (drawn by L. Aldridge)
4:38.0,L. Aldridge misses 2-pt shot from 16 ft,,41-39,,
4:37.0,,,41-39,,Defensive rebound by Team
4:37.0,Loose ball foul by D. West (drawn by K. Humphries),,41-39,,
4:27.0,,,41-39,,Turnover by M. Gortat (bad pass; steal by K. Leonard)
4:23.0,K. Leonard makes 2-pt shot at rim,2,43-39,,
4:10.0,,,43-39,,O. Porter misses 2-pt shot from 17 ft
4:09.0,Defensive rebound by D. Green,,43-39,,
4:04.0,K. Leonard makes 2-pt shot at rim (assist by T. Parker),2,45-39,,
3:47.0,,,45-39,,B. Beal misses 3-pt shot from 24 ft
3:46.0,Defensive rebound by L. Aldridge,,45-39,,
3:30.0,K. Leonard makes 2-pt shot from 17 ft (assist by D. West),2,47-39,,
3:29.0,,,47-39,,Washington full timeout
3:17.0,,,47-39,,J. Wall misses 2-pt shot from 16 ft
3:16.0,Defensive rebound by L. Aldridge,,47-39,,
3:08.0,T. Parker makes 2-pt shot at rim,2,49-39,,
2:54.0,,,49-39,,B. Beal misses 2-pt shot from 15 ft
2:53.0,Defensive rebound by L. Aldridge,,49-39,,
2:43.0,K. Leonard makes 2-pt shot at rim,2,51-39,,
2:37.0,,,51-39,,B. Beal misses 2-pt shot from 1 ft
2:36.0,,,51-39,,Offensive rebound by O. Porter
2:36.0,,,51-41,2,O. Porter makes 2-pt shot from 1 ft
2:13.0,L. Aldridge misses 2-pt shot from 20 ft,,51-41,,
2:13.0,,,51-41,,Defensive rebound by Team
2:00.0,,,51-43,2,O. Porter makes 2-pt shot from 13 ft (assist by B. Beal)
1:40.0,Offensive charge foul by L. Aldridge,,51-43,,
1:40.0,Turnover by L. Aldridge (offensive foul),,51-43,,
1:40.0,M. Ginobili enters the game for T. Parker,,51-43,,
1:40.0,,,51-43,,R. Sessions enters the game for J. Wall
1:40.0,,,51-43,,N. Hilario enters the game for M. Gortat
1:40.0,,,51-43,,J. Dudley enters the game for K. Humphries
1:40.0,P. Mills enters the game for D. Green,,51-43,,
1:26.0,,,51-45,2,N. Hilario makes 2-pt shot from 2 ft (assist by R. Sessions)
1:26.0,,,51-45,,Shooting foul by D. West (drawn by N. Hilario)
1:26.0,B. Diaw enters the game for D. West,,51-45,,
1:26.0,,,51-45,,N. Hilario misses free throw 1 of 1
1:24.0,Defensive rebound by K. Leonard,,51-45,,
1:00.0,M. Ginobili misses 3-pt shot from 26 ft,,51-45,,
1:00.0,,,51-45,,Defensive rebound by J. Dudley
0:44.0,,,51-47,2,B. Beal makes 2-pt shot from 3 ft
0:27.0,P. Mills misses 3-pt shot from 27 ft,,51-47,,
0:26.0,,,51-47,,Defensive rebound by B. Beal
0:05.0,,,51-47,,B. Beal misses 2-pt shot from 16 ft
0:04.0,Defensive rebound by K. Leonard,,51-47,,
0:01.0,K. Leonard misses 3-pt shot from 33 ft,,51-47,,
0:00.0,Offensive rebound by Team,,51-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,T. Duncan makes 2-pt shot from 7 ft,2,53-47,,
11:18.0,,,53-47,,M. Gortat misses 2-pt shot from 7 ft
11:17.0,Defensive rebound by T. Duncan,,53-47,,
11:06.0,L. Aldridge misses 2-pt shot from 14 ft,,53-47,,
11:05.0,,,53-47,,Defensive rebound by M. Gortat
10:44.0,,,53-47,,Turnover by J. Wall (bad pass; steal by L. Aldridge)
10:38.0,D. Green makes 3-pt shot from 28 ft,3,56-47,,
10:26.0,,,56-47,,B. Beal misses 3-pt shot from 25 ft
10:25.0,Defensive rebound by T. Duncan,,56-47,,
10:20.0,Turnover by T. Duncan (bad pass; steal by B. Beal),,56-47,,
10:10.0,,,56-49,2,O. Porter makes 2-pt shot from 21 ft
9:46.0,D. Green misses 3-pt shot from 25 ft,,56-49,,
9:46.0,,,56-49,,Defensive rebound by M. Gortat
9:35.0,,,56-51,2,J. Wall makes 2-pt shot from 21 ft
9:14.0,T. Parker misses 2-pt shot from 6 ft,,56-51,,
9:14.0,,,56-51,,Defensive rebound by K. Humphries
9:02.0,,,56-51,,K. Humphries misses 2-pt shot from 15 ft
9:01.0,Defensive rebound by D. Green,,56-51,,
8:52.0,K. Leonard misses 2-pt shot from 3 ft (block by J. Wall),,56-51,,
8:50.0,Offensive rebound by K. Leonard,,56-51,,
8:47.0,K. Leonard misses 2-pt shot from 15 ft,,56-51,,
8:46.0,,,56-51,,Defensive rebound by M. Gortat
8:46.0,Loose ball foul by T. Duncan (drawn by M. Gortat),,56-51,,
8:39.0,Personal foul by K. Leonard (drawn by B. Beal),,56-51,,
8:29.0,,,56-51,,M. Gortat misses 2-pt shot from 7 ft
8:29.0,,,56-51,,Offensive rebound by Team
8:29.0,Loose ball foul by D. Green (drawn by O. Porter),,56-51,,
8:14.0,,,56-51,,K. Humphries misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by K. Leonard,,56-51,,
8:04.0,K. Leonard misses 2-pt shot from 6 ft,,56-51,,
8:03.0,Offensive rebound by T. Duncan,,56-51,,
8:00.0,L. Aldridge makes 2-pt shot from 2 ft,2,58-51,,
7:54.0,,,58-51,,B. Beal misses 2-pt shot from 3 ft
7:53.0,Defensive rebound by T. Parker,,58-51,,
7:48.0,D. Green misses 3-pt shot from 26 ft,,58-51,,
7:47.0,Offensive rebound by L. Aldridge,,58-51,,
7:47.0,Shooting foul by J. Wall (drawn by L. Aldridge),,58-51,,
7:47.0,L. Aldridge makes free throw 1 of 2,1,59-51,,
7:47.0,L. Aldridge makes free throw 2 of 2,1,60-51,,
7:36.0,,,60-51,,Turnover by M. Gortat (lost ball; steal by T. Parker)
7:13.0,T. Parker misses 2-pt shot from 6 ft,,60-51,,
7:12.0,,,60-51,,Defensive rebound by B. Beal
7:02.0,,,60-51,,Shooting foul by D. Green (drawn by M. Gortat)
7:02.0,,,60-52,1,M. Gortat makes free throw 1 of 2
7:02.0,San Antonio full timeout,,60-52,,
7:02.0,,,60-53,1,M. Gortat makes free throw 2 of 2
6:47.0,D. Green misses 3-pt shot from 24 ft,,60-53,,
6:46.0,,,60-53,,Defensive rebound by M. Gortat
6:41.0,,,60-55,2,O. Porter makes 2-pt shot at rim (assist by J. Wall)
6:24.0,,,60-55,,Def 3 sec tech foul by J. Wall
6:24.0,K. Leonard makes technical free throw,1,61-55,,
6:13.0,D. Green misses 2-pt shot from 20 ft,,61-55,,
6:12.0,Offensive rebound by K. Leonard,,61-55,,
6:01.0,L. Aldridge misses 2-pt shot from 16 ft,,61-55,,
6:01.0,,,61-55,,Defensive rebound by Team
5:52.0,,,61-57,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
5:34.0,Offensive foul by T. Duncan,,61-57,,
5:34.0,Turnover by T. Duncan (offensive foul),,61-57,,
5:34.0,M. Ginobili enters the game for D. Green,,61-57,,
5:34.0,B. Diaw enters the game for T. Duncan,,61-57,,
5:14.0,,,61-57,,J. Wall misses 2-pt shot from 9 ft
5:13.0,Defensive rebound by Team,,61-57,,
4:50.0,K. Leonard misses 2-pt shot from 1 ft,,61-57,,
4:49.0,,,61-57,,Defensive rebound by K. Humphries
4:40.0,,,61-57,,M. Gortat misses 2-pt shot from 14 ft
4:39.0,Defensive rebound by T. Parker,,61-57,,
4:33.0,,,61-57,,Personal foul by B. Beal (drawn by L. Aldridge)
4:33.0,,,61-57,,N. Hilario enters the game for M. Gortat
4:33.0,,,61-57,,R. Sessions enters the game for J. Wall
4:33.0,P. Mills enters the game for T. Parker,,61-57,,
4:24.0,M. Ginobili makes 2-pt shot from 2 ft (assist by P. Mills),2,63-57,,
4:05.0,,,63-59,2,B. Beal makes 2-pt shot at rim
3:45.0,M. Ginobili makes 3-pt shot from 24 ft (assist by B. Diaw),3,66-59,,
3:36.0,,,66-59,,R. Sessions misses 2-pt shot from 1 ft
3:35.0,Defensive rebound by B. Diaw,,66-59,,
3:32.0,Offensive charge foul by L. Aldridge,,66-59,,
3:32.0,Turnover by L. Aldridge (offensive foul),,66-59,,
3:32.0,,,66-59,,J. Dudley enters the game for K. Humphries
3:32.0,,,66-59,,Washington full timeout
3:12.0,,,66-62,3,R. Sessions makes 3-pt shot from 25 ft (assist by B. Beal)
2:51.0,K. Leonard makes 2-pt shot from 18 ft (assist by M. Ginobili),2,68-62,,
2:33.0,Personal foul by L. Aldridge (drawn by N. Hilario),,68-62,,
2:33.0,,,68-62,,N. Hilario misses free throw 1 of 2
2:33.0,,,68-62,,Offensive rebound by Team
2:33.0,,,68-62,,G. Neal enters the game for B. Beal
2:33.0,,,68-62,,N. Hilario misses free throw 2 of 2
2:32.0,Defensive rebound by L. Aldridge,,68-62,,
2:21.0,M. Ginobili misses 2-pt shot from 12 ft,,68-62,,
2:20.0,,,68-62,,Defensive rebound by R. Sessions
2:16.0,,,68-62,,Offensive charge foul by O. Porter
2:16.0,,,68-62,,Turnover by O. Porter (offensive foul)
2:16.0,R. Butler enters the game for K. Leonard,,68-62,,
1:59.0,Turnover by L. Aldridge (traveling),,68-62,,
1:41.0,,,68-62,,N. Hilario misses 2-pt shot from 10 ft
1:40.0,Defensive rebound by P. Mills,,68-62,,
1:23.0,R. Butler makes 2-pt shot from 16 ft (assist by B. Diaw),2,70-62,,
1:15.0,T. Duncan enters the game for L. Aldridge,,70-62,,
1:06.0,,,70-64,2,G. Neal makes 2-pt shot from 2 ft (assist by R. Sessions)
0:48.0,R. Butler misses 3-pt shot from 23 ft,,70-64,,
0:47.0,,,70-64,,Defensive rebound by R. Sessions
0:44.0,,,70-64,,Shooting foul by P. Mills (drawn by R. Sessions)
0:44.0,,,70-65,1,R. Sessions makes free throw 1 of 2
0:44.0,,,70-66,1,R. Sessions makes free throw 2 of 2
0:33.0,,,70-66,,Shooting block foul by N. Hilario (drawn by B. Diaw)
0:33.0,B. Diaw misses free throw 1 of 2,,70-66,,
0:33.0,Offensive rebound by Team,,70-66,,
0:33.0,B. Diaw makes free throw 2 of 2,1,71-66,,
0:23.0,,,71-66,,R. Sessions misses 2-pt shot from 1 ft (block by R. Butler)
0:21.0,Defensive rebound by T. Duncan,,71-66,,
0:04.0,Shooting foul by N. Hilario (drawn by M. Ginobili),,71-66,,
0:04.0,M. Ginobili makes free throw 1 of 2,1,72-66,,
0:04.0,,,72-66,,J. Wall enters the game for R. Sessions
0:04.0,T. Parker enters the game for R. Butler,,72-66,,
0:04.0,K. Leonard enters the game for B. Diaw,,72-66,,
0:04.0,M. Ginobili makes free throw 2 of 2,1,73-66,,
0:01.0,,,73-66,,J. Wall misses 3-pt shot from 30 ft
0:00.0,,,73-66,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,73-68,2,N. Hilario makes 2-pt shot from 1 ft
11:23.0,D. Green makes 3-pt shot from 23 ft (assist by R. Butler),3,76-68,,
11:01.0,,,76-70,2,J. Dudley makes 2-pt shot from 19 ft
10:42.0,D. West makes 2-pt shot from 1 ft (assist by M. Ginobili),2,78-70,,
10:26.0,,,78-70,,J. Wall misses 2-pt shot at rim
10:25.0,Defensive rebound by D. Green,,78-70,,
10:23.0,Turnover by D. Green (bad pass; steal by R. Sessions),,78-70,,
10:18.0,,,78-70,,Turnover by J. Dudley (lost ball; steal by R. Butler)
10:15.0,Turnover by D. Green (bad pass; steal by J. Wall),,78-70,,
10:07.0,,,78-72,2,G. Neal makes 2-pt shot from 7 ft (assist by R. Sessions)
9:46.0,R. Butler makes 2-pt shot from 18 ft (assist by D. Green),2,80-72,,
9:32.0,,,80-74,2,J. Wall makes 2-pt shot from 1 ft (assist by N. Hilario)
9:26.0,San Antonio full timeout,,80-74,,
9:21.0,,,80-74,,Personal foul by G. Neal (drawn by M. Ginobili)
9:17.0,P. Mills misses 3-pt shot from 25 ft,,80-74,,
9:17.0,,,80-74,,Defensive rebound by J. Wall
9:13.0,,,80-74,,R. Sessions misses 2-pt shot at rim (block by R. Butler)
9:10.0,Defensive rebound by R. Butler,,80-74,,
9:00.0,Turnover by D. Green (step out of bounds),,80-74,,
8:40.0,,,80-74,,J. Wall misses 2-pt shot from 18 ft
8:39.0,Defensive rebound by R. Butler,,80-74,,
8:27.0,,,80-74,,Personal foul by N. Hilario (drawn by D. Green)
8:27.0,T. Parker enters the game for M. Ginobili,,80-74,,
8:27.0,,,80-74,,B. Beal enters the game for R. Sessions
8:27.0,K. Leonard enters the game for D. Green,,80-74,,
8:14.0,Turnover by P. Mills (bad pass; steal by J. Wall),,80-74,,
8:11.0,,,80-76,2,J. Wall makes 2-pt shot from 1 ft
8:11.0,,,80-76,,Shooting foul by K. Leonard (drawn by J. Wall)
8:11.0,,,80-76,,M. Gortat enters the game for N. Hilario
8:11.0,,,80-77,1,J. Wall makes free throw 1 of 1
7:57.0,R. Butler makes 2-pt shot from 9 ft,2,82-77,,
7:44.0,,,82-79,2,M. Gortat makes 2-pt shot from 4 ft (assist by J. Dudley)
7:36.0,Offensive foul by K. Leonard,,82-79,,
7:36.0,Turnover by K. Leonard (offensive foul),,82-79,,
7:36.0,L. Aldridge enters the game for D. West,,82-79,,
7:18.0,,,82-79,,J. Wall misses 3-pt shot from 25 ft
7:17.0,,,82-79,,Offensive rebound by B. Beal
7:14.0,,,82-79,,B. Beal misses 2-pt shot from 4 ft
7:14.0,,,82-79,,Offensive rebound by B. Beal
7:11.0,,,82-79,,B. Beal misses 2-pt shot from 13 ft
7:10.0,Defensive rebound by K. Leonard,,82-79,,
7:05.0,T. Parker makes 2-pt shot from 1 ft,2,84-79,,
7:05.0,Shooting foul by J. Dudley (drawn by T. Parker),,84-79,,
7:05.0,,,84-79,,O. Porter enters the game for G. Neal
7:05.0,T. Parker makes free throw 1 of 1,1,85-79,,
6:59.0,Personal foul by P. Mills (drawn by J. Wall),,85-79,,
6:51.0,D. Green enters the game for P. Mills,,85-79,,
6:48.0,,,85-79,,B. Beal misses 3-pt shot from 28 ft
6:47.0,Defensive rebound by L. Aldridge,,85-79,,
6:32.0,San Antonio full timeout,,85-79,,
6:22.0,L. Aldridge misses 2-pt shot from 18 ft,,85-79,,
6:21.0,,,85-79,,Defensive rebound by M. Gortat
6:00.0,,,85-81,2,J. Dudley makes 2-pt shot from 18 ft (assist by O. Porter)
5:37.0,T. Parker makes 2-pt shot from 2 ft (assist by R. Butler),2,87-81,,
5:22.0,,,87-83,2,M. Gortat makes 2-pt shot at rim (assist by B. Beal)
5:16.0,,,87-83,,Shooting block foul by B. Beal (drawn by T. Parker)
5:16.0,Official timeout,,87-83,,
5:16.0,T. Duncan enters the game for R. Butler,,87-83,,
5:16.0,T. Parker misses free throw 1 of 2,,87-83,,
5:16.0,Offensive rebound by Team,,87-83,,
5:16.0,T. Parker makes free throw 2 of 2,1,88-83,,
5:06.0,,,88-85,2,B. Beal makes 2-pt shot from 7 ft
4:45.0,T. Duncan misses 2-pt shot from 16 ft,,88-85,,
4:44.0,,,88-85,,Defensive rebound by J. Dudley
4:39.0,,,88-87,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
4:21.0,T. Duncan makes 2-pt shot from 12 ft (assist by T. Parker),2,90-87,,
4:14.0,,,90-87,,M. Gortat misses 2-pt shot from 1 ft
4:12.0,Defensive rebound by T. Duncan,,90-87,,
4:03.0,T. Parker misses 2-pt shot from 11 ft,,90-87,,
4:02.0,,,90-87,,Defensive rebound by M. Gortat
3:51.0,,,90-90,3,J. Wall makes 3-pt shot from 27 ft
3:28.0,Turnover by L. Aldridge (lost ball; steal by J. Dudley),,90-90,,
3:22.0,,,90-92,2,B. Beal makes 2-pt shot at rim (assist by O. Porter)
3:08.0,,,90-92,,Personal foul by M. Gortat (drawn by T. Duncan)
3:08.0,T. Duncan makes free throw 1 of 2,1,91-92,,
3:08.0,M. Ginobili enters the game for D. Green,,91-92,,
3:08.0,T. Duncan makes free throw 2 of 2,1,92-92,,
2:59.0,,,92-94,2,J. Wall makes 2-pt shot from 8 ft
2:44.0,Turnover by T. Parker (lost ball),,92-94,,
2:44.0,,,92-94,,Washington full timeout
2:31.0,,,92-94,,J. Wall misses 3-pt shot from 26 ft
2:30.0,Defensive rebound by L. Aldridge,,92-94,,
2:13.0,Turnover by T. Duncan (3 sec),,92-94,,
1:59.0,,,92-96,2,B. Beal makes 2-pt shot from 15 ft (assist by M. Gortat)
1:37.0,K. Leonard makes 2-pt shot from 20 ft (assist by T. Duncan),2,94-96,,
1:22.0,,,94-96,,J. Dudley misses 3-pt shot from 26 ft
1:20.0,Defensive rebound by L. Aldridge,,94-96,,
1:12.0,T. Parker makes 2-pt shot from 15 ft,2,96-96,,
1:06.0,,,96-96,,B. Beal misses 3-pt shot from 25 ft
1:03.0,Defensive rebound by M. Ginobili,,96-96,,
