time,Milwaukee,pts.away,score,pts.home,Oklahoma City
7:21.0,Defensive rebound by M. Carter-Williams,,10-8,,
7:07.0,M. Carter-Williams makes 2-pt shot from 16 ft,2,12-8,,
6:48.0,,,12-10,2,S. Ibaka makes 2-pt shot from 18 ft (assist by R. Westbrook)
6:35.0,K. Middleton makes 3-pt shot from 23 ft (assist by M. Carter-Williams),3,15-10,,
6:27.0,,,15-10,,Shooting foul by M. Carter-Williams (drawn by R. Westbrook)
6:27.0,,,15-11,1,R. Westbrook makes free throw 1 of 2
6:27.0,,,15-11,,R. Westbrook misses free throw 2 of 2
6:26.0,,,15-11,,Offensive rebound by S. Adams
6:26.0,,,15-13,2,S. Adams makes 2-pt shot from 1 ft
6:10.0,Shooting foul by A. Roberson (drawn by K. Middleton),,15-13,,
6:10.0,K. Middleton makes free throw 1 of 2,1,16-13,,
6:10.0,K. Middleton makes free throw 2 of 2,1,17-13,,
5:56.0,,,17-13,,K. Durant misses 3-pt shot from 24 ft
5:56.0,Defensive rebound by M. Carter-Williams,,17-13,,
5:42.0,G. Monroe misses 2-pt shot from 1 ft (block by S. Ibaka),,17-13,,
5:41.0,,,17-13,,Defensive rebound by A. Roberson
5:32.0,,,17-13,,R. Westbrook misses 2-pt shot from 13 ft
5:31.0,Defensive rebound by G. Monroe,,17-13,,
5:24.0,Shooting foul by K. Durant (drawn by J. Parker),,17-13,,
5:24.0,,,17-13,,Oklahoma City full timeout
5:24.0,J. Parker misses free throw 1 of 2,,17-13,,
5:24.0,Offensive rebound by Team,,17-13,,
5:24.0,J. Parker makes free throw 2 of 2,1,18-13,,
5:12.0,,,18-16,3,A. Roberson makes 3-pt shot from 22 ft (assist by R. Westbrook)
4:46.0,J. Parker misses 2-pt shot from 14 ft,,18-16,,
4:46.0,,,18-16,,Defensive rebound by S. Ibaka
4:39.0,,,18-16,,Shooting foul by J. Parker (drawn by K. Durant)
4:39.0,,,18-17,1,K. Durant makes free throw 1 of 2
4:39.0,,,18-17,,D. Waiters enters the game for A. Roberson
4:39.0,O. Mayo enters the game for G. Antetokounmpo,,18-17,,
4:39.0,,,18-18,1,K. Durant makes free throw 2 of 2
4:31.0,K. Middleton makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,21-18,,
4:11.0,,,21-20,2,K. Durant makes 2-pt shot from 5 ft
3:52.0,G. Monroe misses 2-pt shot from 4 ft,,21-20,,
3:51.0,Offensive rebound by M. Carter-Williams,,21-20,,
3:51.0,M. Carter-Williams makes 2-pt shot at rim,2,23-20,,
3:34.0,,,23-20,,K. Durant misses 3-pt shot from 24 ft
3:34.0,Defensive rebound by Team,,23-20,,
3:20.0,J. Parker misses 2-pt shot from 4 ft,,23-20,,
3:19.0,,,23-20,,Defensive rebound by S. Ibaka
3:09.0,,,23-20,,R. Westbrook misses 2-pt shot from 13 ft
3:09.0,Defensive rebound by O. Mayo,,23-20,,
2:57.0,G. Monroe makes 2-pt shot from 8 ft,2,25-20,,
2:42.0,,,25-22,2,R. Westbrook makes 2-pt shot from 1 ft
2:36.0,,,25-22,,Personal foul by D. Waiters (drawn by M. Carter-Williams)
2:36.0,Milwaukee full timeout,,25-22,,
2:36.0,,,25-22,,C. Payne enters the game for R. Westbrook
2:36.0,J. O'Bryant enters the game for J. Parker,,25-22,,
2:36.0,J. Henson enters the game for G. Monroe,,25-22,,
2:31.0,Shooting foul by C. Payne (drawn by M. Carter-Williams),,25-22,,
2:31.0,M. Carter-Williams makes free throw 1 of 2,1,26-22,,
2:31.0,,,26-22,,N. Collison enters the game for S. Ibaka
2:31.0,,,26-22,,E. Kanter enters the game for S. Adams
2:31.0,M. Carter-Williams makes free throw 2 of 2,1,27-22,,
2:18.0,,,27-22,,K. Durant misses 2-pt shot from 18 ft
2:17.0,Defensive rebound by J. Henson,,27-22,,
2:05.0,M. Carter-Williams makes 2-pt shot from 1 ft (assist by K. Middleton),2,29-22,,
1:53.0,,,29-22,,Offensive foul by E. Kanter
1:53.0,,,29-22,,Turnover by E. Kanter (offensive foul)
1:43.0,Shooting foul by C. Payne (drawn by M. Carter-Williams),,29-22,,
1:43.0,M. Carter-Williams misses free throw 1 of 2,,29-22,,
1:43.0,Offensive rebound by Team,,29-22,,
1:43.0,M. Carter-Williams misses free throw 2 of 2,,29-22,,
1:42.0,,,29-22,,Defensive rebound by K. Durant
1:25.0,,,29-22,,Shooting foul by J. Henson (drawn by E. Kanter)
1:25.0,,,29-22,,E. Kanter misses free throw 1 of 2
1:25.0,,,29-22,,Offensive rebound by Team
1:25.0,J. Bayless enters the game for M. Carter-Williams,,29-22,,
1:25.0,,,29-23,1,E. Kanter makes free throw 2 of 2
1:09.0,K. Middleton misses 2-pt shot from 13 ft,,29-23,,
1:07.0,Offensive rebound by J. Henson,,29-23,,
1:07.0,J. Henson makes 2-pt shot at rim,2,31-23,,
1:00.0,Personal foul by J. O'Bryant (drawn by K. Durant),,31-23,,
1:00.0,,,31-24,1,K. Durant makes free throw 1 of 2
1:00.0,,,31-25,1,K. Durant makes free throw 2 of 2
0:50.0,K. Middleton misses 2-pt shot from 15 ft,,31-25,,
0:49.0,,,31-25,,Defensive rebound by D. Waiters
0:39.0,,,31-27,2,N. Collison makes 2-pt shot from 2 ft
0:24.0,O. Mayo misses 2-pt shot from 7 ft,,31-27,,
0:24.0,,,31-27,,Defensive rebound by E. Kanter
0:00.0,,,31-30,3,C. Payne makes 3-pt shot from 22 ft (assist by K. Durant)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,O. Mayo misses 2-pt shot from 16 ft,,31-30,,
11:45.0,Offensive rebound by Team,,31-30,,
11:45.0,,,31-30,,Loose ball foul by N. Collison (drawn by J. O'Bryant)
11:40.0,O. Mayo makes 2-pt shot at rim (assist by J. Henson),2,33-30,,
11:26.0,,,33-30,,D. Waiters misses 2-pt shot from 1 ft
11:23.0,,,33-30,,Offensive rebound by E. Kanter
11:23.0,,,33-32,2,E. Kanter makes 2-pt shot from 1 ft
11:06.0,Turnover by G. Antetokounmpo (bad pass; steal by E. Kanter),,33-32,,
10:58.0,,,33-32,,Turnover by D. Waiters (bad pass; steal by O. Mayo)
10:55.0,Shooting foul by A. Morrow (drawn by G. Antetokounmpo),,33-32,,
10:55.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by O. Mayo),2,35-32,,
10:55.0,G. Antetokounmpo makes free throw 1 of 1,1,36-32,,
10:39.0,,,36-32,,E. Kanter misses 2-pt shot from 2 ft
10:38.0,Defensive rebound by J. Henson,,36-32,,
10:24.0,G. Antetokounmpo misses 2-pt shot from 4 ft,,36-32,,
10:24.0,Offensive rebound by J. O'Bryant,,36-32,,
10:09.0,J. Henson misses 2-pt shot from 4 ft,,36-32,,
10:09.0,,,36-32,,Defensive rebound by E. Kanter
10:00.0,,,36-34,2,C. Payne makes 2-pt shot from 10 ft
9:44.0,J. Bayless misses 2-pt shot from 19 ft,,36-34,,
9:43.0,,,36-34,,Defensive rebound by C. Payne
9:37.0,Personal foul by J. Bayless (drawn by D. Waiters),,36-34,,
9:28.0,,,36-34,,D. Waiters misses 2-pt shot from 2 ft (block by J. Henson)
9:27.0,Defensive rebound by O. Mayo,,36-34,,
9:27.0,,,36-34,,Personal foul by D. Waiters (drawn by O. Mayo)
9:12.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Henson),2,38-34,,
9:04.0,,,38-34,,Shooting foul by J. O'Bryant (drawn by C. Payne)
9:04.0,,,38-35,1,C. Payne makes free throw 1 of 2
9:04.0,,,38-35,,S. Ibaka enters the game for N. Collison
9:04.0,,,38-36,1,C. Payne makes free throw 2 of 2
8:50.0,O. Mayo makes 2-pt shot from 16 ft (assist by J. Bayless),2,40-36,,
8:31.0,Def 3 sec tech foul by J. Henson,,40-36,,
8:31.0,Official timeout,,40-36,,
8:31.0,,,40-36,,R. Westbrook enters the game for C. Payne
8:31.0,,,40-37,1,A. Morrow makes technical free throw
8:27.0,,,40-37,,Turnover by S. Ibaka (offensive foul)
8:27.0,,,40-37,,Offensive foul by S. Ibaka
8:12.0,O. Mayo misses 3-pt shot from 24 ft,,40-37,,
8:11.0,Offensive rebound by G. Antetokounmpo,,40-37,,
8:04.0,O. Mayo misses 3-pt shot from 25 ft,,40-37,,
8:03.0,,,40-37,,Defensive rebound by R. Westbrook
7:53.0,,,40-40,3,A. Morrow makes 3-pt shot from 24 ft (assist by E. Kanter)
7:41.0,G. Antetokounmpo misses 2-pt shot from 4 ft,,40-40,,
7:40.0,Offensive rebound by G. Antetokounmpo,,40-40,,
7:33.0,J. Bayless makes 3-pt shot from 24 ft (assist by J. O'Bryant),3,43-40,,
7:23.0,,,43-40,,Oklahoma City full timeout
7:23.0,,,43-40,,K. Durant enters the game for D. Waiters
7:16.0,,,43-42,2,E. Kanter makes 2-pt shot from 4 ft
6:54.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,43-42,,
6:53.0,,,43-42,,Defensive rebound by R. Westbrook
6:47.0,,,43-42,,R. Westbrook misses 2-pt shot from 2 ft
6:46.0,,,43-42,,Offensive rebound by E. Kanter
6:46.0,,,43-44,2,E. Kanter makes 2-pt shot from 1 ft
6:25.0,Turnover by J. Henson (lost ball; steal by R. Westbrook),,43-44,,
6:15.0,,,43-44,,E. Kanter misses 2-pt shot from 1 ft
6:15.0,,,43-44,,Offensive rebound by K. Durant
6:15.0,,,43-44,,K. Durant misses 2-pt shot from 1 ft
6:15.0,,,43-44,,Offensive rebound by Team
6:15.0,Loose ball foul by G. Antetokounmpo (drawn by K. Durant),,43-44,,
6:15.0,G. Monroe enters the game for J. Henson,,43-44,,
6:10.0,,,43-46,2,E. Kanter makes 2-pt shot at rim (assist by S. Ibaka)
5:42.0,J. Bayless makes 2-pt shot from 21 ft,2,45-46,,
5:24.0,,,45-49,3,S. Ibaka makes 3-pt shot from 22 ft (assist by K. Durant)
5:12.0,G. Monroe misses 2-pt shot from 17 ft,,45-49,,
5:12.0,Offensive rebound by G. Antetokounmpo,,45-49,,
5:07.0,G. Antetokounmpo misses 2-pt shot from 6 ft,,45-49,,
5:07.0,,,45-49,,Defensive rebound by E. Kanter
5:02.0,,,45-49,,Shooting foul by O. Mayo (drawn by R. Westbrook)
5:02.0,,,45-50,1,R. Westbrook makes free throw 1 of 2
5:02.0,,,45-50,,S. Adams enters the game for E. Kanter
5:02.0,,,45-51,1,R. Westbrook makes free throw 2 of 2
4:35.0,J. Bayless misses 3-pt shot from 25 ft,,45-51,,
4:35.0,,,45-51,,Defensive rebound by A. Morrow
4:19.0,,,45-51,,A. Morrow misses 3-pt shot from 22 ft
4:18.0,,,45-51,,Offensive rebound by S. Adams
4:14.0,,,45-51,,Shooting foul by O. Mayo (drawn by K. Durant)
4:14.0,,,45-52,1,K. Durant makes free throw 1 of 2
4:14.0,K. Middleton enters the game for J. Bayless,,45-52,,
4:14.0,J. Parker enters the game for J. O'Bryant,,45-52,,
4:14.0,M. Carter-Williams enters the game for O. Mayo,,45-52,,
4:14.0,,,45-53,1,K. Durant makes free throw 2 of 2
4:04.0,M. Carter-Williams makes 2-pt shot from 16 ft,2,47-53,,
3:47.0,,,47-53,,Turnover by S. Ibaka (lost ball)
3:47.0,,,47-53,,Violation by Team (delay of game)
3:38.0,,,47-53,,Personal foul by A. Morrow (drawn by K. Middleton)
3:38.0,,,47-53,,A. Roberson enters the game for A. Morrow
3:25.0,M. Carter-Williams misses 2-pt shot from 16 ft,,47-53,,
3:25.0,,,47-53,,Defensive rebound by K. Durant
3:15.0,,,47-53,,Shooting foul by G. Monroe (drawn by K. Durant)
3:15.0,,,47-54,1,K. Durant makes free throw 1 of 2
3:15.0,,,47-55,1,K. Durant makes free throw 2 of 2
3:11.0,Milwaukee full timeout,,47-55,,
3:02.0,G. Monroe misses 2-pt shot from 6 ft,,47-55,,
3:01.0,,,47-55,,Defensive rebound by K. Durant
2:45.0,,,47-57,2,R. Westbrook makes 2-pt shot from 1 ft (assist by K. Durant)
2:33.0,G. Monroe misses 2-pt shot from 4 ft,,47-57,,
2:33.0,Offensive rebound by Team,,47-57,,
2:22.0,G. Antetokounmpo misses 2-pt shot from 17 ft,,47-57,,
2:21.0,,,47-57,,Defensive rebound by A. Roberson
2:12.0,,,47-57,,Shooting foul by M. Carter-Williams (drawn by R. Westbrook)
2:12.0,,,47-58,1,R. Westbrook makes free throw 1 of 2
2:12.0,,,47-59,1,R. Westbrook makes free throw 2 of 2
2:02.0,K. Middleton makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,50-59,,
1:44.0,,,50-61,2,K. Durant makes 2-pt shot from 12 ft
1:27.0,K. Middleton makes 2-pt shot from 14 ft,2,52-61,,
1:09.0,,,52-63,2,R. Westbrook makes 2-pt shot at rim
0:54.0,J. Parker misses 2-pt shot from 3 ft (block by S. Ibaka),,52-63,,
0:54.0,Offensive rebound by Team,,52-63,,
0:44.0,K. Middleton misses 2-pt shot from 10 ft,,52-63,,
0:44.0,Offensive rebound by M. Carter-Williams,,52-63,,
0:44.0,Shooting foul by S. Ibaka (drawn by M. Carter-Williams),,52-63,,
0:44.0,M. Carter-Williams misses free throw 1 of 2,,52-63,,
0:44.0,Offensive rebound by Team,,52-63,,
0:44.0,M. Carter-Williams misses free throw 2 of 2,,52-63,,
0:43.0,Offensive rebound by Team,,52-63,,
0:40.0,K. Middleton makes 2-pt shot from 17 ft (assist by G. Antetokounmpo),2,54-63,,
0:32.0,,,54-63,,Turnover by R. Westbrook (bad pass; steal by M. Carter-Williams)
0:30.0,Turnover by G. Monroe (bad pass; steal by R. Westbrook),,54-63,,
0:23.0,,,54-63,,Shooting foul by G. Monroe (drawn by R. Westbrook)
0:23.0,,,54-64,1,R. Westbrook makes free throw 1 of 2
0:23.0,,,54-64,,N. Collison enters the game for S. Ibaka
0:23.0,,,54-65,1,R. Westbrook makes free throw 2 of 2
0:04.0,Turnover by K. Middleton (bad pass; steal by K. Durant),,54-65,,
0:00.0,,,54-65,,K. Durant misses 3-pt shot from 26 ft
0:00.0,,,54-65,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,M. Carter-Williams makes 2-pt shot from 1 ft (assist by G. Monroe),2,56-65,,
11:27.0,,,56-65,,R. Westbrook misses 2-pt shot from 3 ft
11:26.0,Defensive rebound by G. Monroe,,56-65,,
11:24.0,Turnover by G. Monroe (lost ball; steal by R. Westbrook),,56-65,,
11:17.0,,,56-65,,R. Westbrook misses 2-pt shot from 2 ft
11:16.0,,,56-65,,Offensive rebound by S. Adams
11:16.0,,,56-67,2,S. Adams makes 2-pt shot from 1 ft
10:59.0,J. Parker misses 2-pt shot from 21 ft,,56-67,,
10:58.0,Offensive rebound by G. Monroe,,56-67,,
10:48.0,M. Carter-Williams misses 2-pt shot from 4 ft,,56-67,,
10:48.0,Offensive rebound by J. Parker,,56-67,,
10:43.0,J. Parker makes 2-pt shot at rim,2,58-67,,
10:34.0,Personal foul by K. Middleton (drawn by S. Adams),,58-67,,
10:24.0,,,58-70,3,K. Durant makes 3-pt shot from 23 ft (assist by R. Westbrook)
10:10.0,M. Carter-Williams misses 2-pt shot from 1 ft (block by S. Ibaka),,58-70,,
10:08.0,Offensive rebound by J. Parker,,58-70,,
10:08.0,J. Parker misses 2-pt shot from 1 ft,,58-70,,
10:07.0,,,58-70,,Defensive rebound by S. Adams
9:51.0,,,58-70,,A. Roberson misses 2-pt shot from 5 ft
9:51.0,Defensive rebound by G. Monroe,,58-70,,
9:39.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Carter-Williams),2,60-70,,
9:23.0,,,60-70,,A. Roberson misses 3-pt shot from 23 ft
9:22.0,,,60-70,,Offensive rebound by A. Roberson
9:19.0,,,60-70,,Shooting foul by M. Carter-Williams (drawn by A. Roberson)
9:19.0,,,60-71,1,A. Roberson makes free throw 1 of 2
9:19.0,,,60-71,,A. Roberson misses free throw 2 of 2
9:18.0,Defensive rebound by G. Monroe,,60-71,,
9:01.0,G. Antetokounmpo misses 2-pt shot from 4 ft (block by K. Durant),,60-71,,
9:00.0,Offensive rebound by M. Carter-Williams,,60-71,,
8:58.0,Turnover by M. Carter-Williams (lost ball; steal by A. Roberson),,60-71,,
8:54.0,,,60-73,2,R. Westbrook makes 2-pt shot from 1 ft (assist by K. Durant)
8:30.0,G. Monroe misses 2-pt shot from 5 ft,,60-73,,
8:28.0,Offensive rebound by G. Antetokounmpo,,60-73,,
8:28.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,60-73,,
8:28.0,Offensive rebound by G. Monroe,,60-73,,
8:27.0,G. Monroe misses 2-pt shot at rim (block by S. Ibaka),,60-73,,
8:25.0,,,60-73,,Defensive rebound by R. Westbrook
8:23.0,,,60-75,2,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook)
8:23.0,Milwaukee full timeout,,60-75,,
8:02.0,J. Parker misses 2-pt shot from 16 ft,,60-75,,
8:02.0,,,60-75,,Defensive rebound by K. Durant
7:46.0,O. Mayo enters the game for J. Parker,,60-75,,
7:46.0,J. Henson enters the game for G. Monroe,,60-75,,
7:37.0,,,60-75,,Turnover by Team (shot clock)
7:29.0,K. Middleton misses 2-pt shot from 16 ft,,60-75,,
7:29.0,,,60-75,,Defensive rebound by S. Ibaka
7:20.0,,,60-77,2,S. Ibaka makes 2-pt shot from 9 ft (assist by R. Westbrook)
7:01.0,M. Carter-Williams makes 3-pt shot from 22 ft (assist by G. Antetokounmpo),3,63-77,,
6:46.0,,,63-77,,S. Adams misses 2-pt shot from 2 ft
6:45.0,Defensive rebound by J. Henson,,63-77,,
6:34.0,K. Middleton misses 2-pt shot from 3 ft,,63-77,,
6:33.0,Offensive rebound by M. Carter-Williams,,63-77,,
6:25.0,K. Middleton makes 2-pt shot from 20 ft,2,65-77,,
6:10.0,,,65-77,,S. Ibaka misses 2-pt shot from 13 ft
6:09.0,,,65-77,,Offensive rebound by R. Westbrook
6:06.0,,,65-77,,R. Westbrook misses 2-pt shot from 3 ft (block by J. Henson)
5:59.0,,,65-77,,Offensive rebound by S. Adams
5:59.0,,,65-77,,Turnover by K. Durant (bad pass; steal by K. Middleton)
5:55.0,O. Mayo makes 3-pt shot from 25 ft (assist by K. Middleton),3,68-77,,
5:55.0,,,68-77,,Oklahoma City full timeout
5:32.0,,,68-77,,R. Westbrook misses 3-pt shot from 26 ft
5:32.0,Defensive rebound by G. Antetokounmpo,,68-77,,
5:13.0,O. Mayo misses 2-pt shot at rim,,68-77,,
5:11.0,Offensive rebound by G. Antetokounmpo,,68-77,,
5:11.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,70-77,,
4:54.0,,,70-77,,Shooting foul by J. Henson (drawn by K. Durant)
4:54.0,,,70-78,1,K. Durant makes free throw 1 of 2
4:54.0,,,70-78,,D. Waiters enters the game for A. Roberson
4:54.0,,,70-79,1,K. Durant makes free throw 2 of 2
4:47.0,M. Carter-Williams makes 2-pt shot from 17 ft,2,72-79,,
4:29.0,Def 3 sec tech foul by O. Mayo,,72-79,,
4:29.0,,,72-80,1,K. Durant makes technical free throw
4:25.0,,,72-82,2,R. Westbrook makes 2-pt shot from 1 ft
4:15.0,O. Mayo makes 2-pt shot at rim (assist by M. Carter-Williams),2,74-82,,
4:06.0,Personal foul by K. Middleton (drawn by K. Durant),,74-82,,
3:55.0,,,74-82,,Turnover by K. Durant (bad pass)
3:48.0,K. Middleton makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,77-82,,
3:29.0,,,77-82,,R. Westbrook misses 3-pt shot from 23 ft
3:28.0,,,77-82,,Offensive rebound by Team
3:28.0,Loose ball foul by M. Carter-Williams (drawn by S. Ibaka),,77-82,,
3:28.0,,,77-83,1,S. Ibaka makes free throw 1 of 2
3:28.0,,,77-83,,C. Payne enters the game for R. Westbrook
3:28.0,J. Bayless enters the game for M. Carter-Williams,,77-83,,
3:28.0,,,77-84,1,S. Ibaka makes free throw 2 of 2
3:20.0,K. Middleton makes 2-pt shot from 18 ft (assist by J. Bayless),2,79-84,,
3:07.0,,,79-84,,K. Durant misses 3-pt shot from 25 ft
3:06.0,,,79-84,,Offensive rebound by Team
3:06.0,Loose ball foul by O. Mayo (drawn by S. Ibaka),,79-84,,
3:06.0,,,79-85,1,S. Ibaka makes free throw 1 of 2
3:06.0,J. O'Bryant enters the game for G. Antetokounmpo,,79-85,,
3:06.0,,,79-85,,E. Kanter enters the game for S. Adams
3:06.0,,,79-86,1,S. Ibaka makes free throw 2 of 2
2:57.0,K. Middleton makes 3-pt shot from 24 ft (assist by J. Bayless),3,82-86,,
2:33.0,,,82-86,,D. Waiters misses 2-pt shot from 1 ft (block by J. Henson)
2:31.0,Defensive rebound by J. O'Bryant,,82-86,,
2:25.0,K. Middleton makes 2-pt shot from 2 ft,2,84-86,,
2:25.0,,,84-86,,Oklahoma City full timeout
2:25.0,,,84-86,,N. Collison enters the game for S. Ibaka
2:12.0,,,84-88,2,C. Payne makes 2-pt shot from 9 ft (assist by K. Durant)
1:55.0,J. O'Bryant makes 2-pt shot from 2 ft (assist by K. Middleton),2,86-88,,
1:39.0,,,86-88,,D. Waiters misses 2-pt shot from 4 ft
1:39.0,Defensive rebound by J. O'Bryant,,86-88,,
1:37.0,Turnover by J. O'Bryant (bad pass; steal by C. Payne),,86-88,,
1:37.0,Personal foul by O. Mayo (drawn by C. Payne),,86-88,,
1:37.0,,,86-89,1,C. Payne makes free throw 1 of 2
1:37.0,R. Vaughn enters the game for O. Mayo,,86-89,,
1:37.0,,,86-90,1,C. Payne makes free throw 2 of 2
1:22.0,K. Middleton misses 2-pt shot from 14 ft,,86-90,,
1:22.0,,,86-90,,Defensive rebound by C. Payne
1:16.0,,,86-92,2,E. Kanter makes 2-pt shot from 1 ft (assist by C. Payne)
0:51.0,J. Henson makes 2-pt shot from 2 ft (assist by K. Middleton),2,88-92,,
0:35.0,,,88-92,,K. Durant misses 2-pt shot from 2 ft
0:34.0,Defensive rebound by J. Bayless,,88-92,,
0:12.0,K. Middleton misses 3-pt shot from 27 ft,,88-92,,
0:10.0,,,88-92,,Defensive rebound by E. Kanter
0:03.0,,,88-92,,C. Payne misses 3-pt shot from 27 ft
0:02.0,Defensive rebound by R. Vaughn,,88-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,88-94,2,D. Waiters makes 2-pt shot from 1 ft
11:19.0,J. Bayless misses 2-pt shot from 18 ft,,88-94,,
11:19.0,,,88-94,,Defensive rebound by D. Waiters
11:01.0,,,88-94,,E. Kanter misses 2-pt shot at rim (block by J. Henson)
11:00.0,Defensive rebound by J. Bayless,,88-94,,
10:57.0,J. Bayless makes 2-pt shot from 2 ft,2,90-94,,
10:57.0,Shooting foul by C. Payne (drawn by J. Bayless),,90-94,,
10:57.0,,,90-94,,Violation by D. Waiters (lane)
10:57.0,J. Bayless makes free throw 1 of 1,1,91-94,,
10:37.0,,,91-97,3,A. Morrow makes 3-pt shot from 24 ft (assist by D. Waiters)
10:21.0,Turnover by R. Vaughn (bad pass; steal by E. Kanter),,91-97,,
10:15.0,,,91-100,3,A. Morrow makes 3-pt shot from 24 ft (assist by C. Payne)
10:14.0,Milwaukee full timeout,,91-100,,
10:14.0,O. Mayo enters the game for J. Henson,,91-100,,
10:14.0,M. Plumlee enters the game for R. Vaughn,,91-100,,
9:54.0,Turnover by G. Antetokounmpo (bad pass; steal by N. Collison),,91-100,,
9:54.0,Personal foul by G. Antetokounmpo (drawn by N. Collison),,91-100,,
9:42.0,,,91-100,,A. Morrow misses 3-pt shot from 24 ft
9:41.0,Defensive rebound by G. Antetokounmpo,,91-100,,
9:29.0,O. Mayo makes 3-pt shot from 23 ft (assist by J. Bayless),3,94-100,,
9:00.0,,,94-102,2,E. Kanter makes 2-pt shot from 1 ft
8:40.0,Shooting foul by D. Waiters (drawn by G. Antetokounmpo),,94-102,,
8:40.0,G. Antetokounmpo misses free throw 1 of 2,,94-102,,
8:40.0,Offensive rebound by Team,,94-102,,
8:40.0,K. Middleton enters the game for J. O'Bryant,,94-102,,
8:40.0,G. Antetokounmpo makes free throw 2 of 2,1,95-102,,
8:29.0,,,95-105,3,C. Payne makes 3-pt shot from 25 ft
8:20.0,,,95-105,,Personal foul by C. Payne (drawn by J. Bayless)
8:20.0,,,95-105,,R. Westbrook enters the game for D. Waiters
8:20.0,,,95-105,,S. Ibaka enters the game for N. Collison
8:20.0,M. Carter-Williams enters the game for J. Bayless,,95-105,,
8:10.0,Turnover by O. Mayo (offensive foul),,95-105,,
8:10.0,Offensive foul by O. Mayo,,95-105,,
8:10.0,Violation by Team (delay of game),,95-105,,
