time,Golden State,pts.away,score,pts.home,Portland
4:39.0,,,19-6,,M. Leonard misses 2-pt shot from 19 ft
4:38.0,Defensive rebound by A. Iguodala,,19-6,,
4:28.0,K. Thompson makes 3-pt shot from 24 ft (assist by A. Bogut),3,22-6,,
4:14.0,,,22-8,2,D. Lillard makes 2-pt shot from 20 ft
4:08.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,24-8,,
3:59.0,Personal foul by S. Curry (drawn by D. Lillard),,24-8,,
3:59.0,M. Speights enters the game for A. Bogut,,24-8,,
3:51.0,,,24-11,3,D. Lillard makes 3-pt shot from 24 ft
3:39.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry),3,27-11,,
3:20.0,,,27-11,,Shooting foul by M. Speights (drawn by D. Lillard)
3:20.0,,,27-11,,D. Lillard misses free throw 1 of 2
3:20.0,,,27-11,,Offensive rebound by Team
3:20.0,Golden State full timeout,,27-11,,
3:20.0,,,27-11,,E. Davis enters the game for M. Plumlee
3:20.0,,,27-11,,D. Lillard misses free throw 2 of 2
3:19.0,Defensive rebound by M. Speights,,27-11,,
3:06.0,Turnover by A. Iguodala (bad pass; steal by A. Crabbe),,27-11,,
2:55.0,,,27-11,,A. Crabbe misses 3-pt shot from 24 ft
2:55.0,Defensive rebound by D. Green,,27-11,,
2:55.0,,,27-11,,Personal foul by M. Leonard (drawn by D. Green)
2:45.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,30-11,,
2:23.0,,,30-13,2,E. Davis makes 2-pt shot at rim (assist by D. Lillard)
2:09.0,S. Livingston enters the game for D. Green,,30-13,,
2:09.0,H. Barnes enters the game for S. Curry,,30-13,,
2:04.0,H. Barnes misses 2-pt shot from 20 ft,,30-13,,
2:02.0,,,30-13,,Defensive rebound by E. Davis
1:54.0,,,30-15,2,D. Lillard makes 2-pt shot at rim
1:39.0,Turnover by M. Speights (bad pass; steal by M. Leonard),,30-15,,
1:35.0,,,30-17,2,A. Crabbe makes 2-pt shot at rim (assist by E. Davis)
1:15.0,K. Thompson makes 3-pt shot from 25 ft (assist by H. Barnes),3,33-17,,
0:58.0,,,33-17,,Shooting foul by S. Livingston (drawn by A. Crabbe)
0:58.0,,,33-18,1,A. Crabbe makes free throw 1 of 2
0:58.0,,,33-19,1,A. Crabbe makes free throw 2 of 2
0:51.0,,,33-19,,Personal foul by A. Crabbe (drawn by M. Speights)
0:45.0,Turnover by M. Speights (lost ball; steal by D. Lillard),,33-19,,
0:36.0,,,33-19,,D. Lillard misses 2-pt shot from 13 ft
0:35.0,Defensive rebound by M. Speights,,33-19,,
0:27.0,K. Thompson makes 3-pt shot from 25 ft (assist by A. Iguodala),3,36-19,,
0:07.0,,,36-21,2,D. Lillard makes 2-pt shot from 11 ft
0:00.0,K. Thompson makes 2-pt shot from 17 ft,2,38-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,38-24,3,M. Harkless makes 3-pt shot from 23 ft (assist by C. McCollum)
11:27.0,M. Speights misses 2-pt shot from 20 ft,,38-24,,
11:27.0,,,38-24,,Defensive rebound by E. Davis
11:20.0,,,38-26,2,C. McCollum makes 2-pt shot from 20 ft
11:00.0,Shooting foul by E. Davis (drawn by H. Barnes),,38-26,,
11:00.0,H. Barnes makes free throw 1 of 2,1,39-26,,
11:00.0,H. Barnes makes free throw 2 of 2,1,40-26,,
10:46.0,,,40-28,2,C. McCollum makes 2-pt shot from 4 ft
10:46.0,,,40-28,,Violation by Team (delay of game)
10:32.0,H. Barnes misses 2-pt shot from 15 ft,,40-28,,
10:32.0,,,40-28,,Defensive rebound by E. Davis
10:19.0,,,40-28,,Shooting foul by A. Iguodala (drawn by M. Harkless)
10:19.0,,,40-29,1,M. Harkless makes free throw 1 of 2
10:19.0,,,40-30,1,M. Harkless makes free throw 2 of 2
10:03.0,Turnover by I. Clark (lost ball; steal by A. Crabbe),,40-30,,
9:58.0,,,40-32,2,A. Crabbe makes 2-pt shot at rim
9:52.0,Golden State full timeout,,40-32,,
9:52.0,D. Green enters the game for M. Speights,,40-32,,
9:46.0,I. Clark makes 3-pt shot from 25 ft (assist by D. Green),3,43-32,,
9:21.0,,,43-32,,A. Crabbe misses 3-pt shot from 24 ft
9:21.0,Defensive rebound by A. Iguodala,,43-32,,
9:13.0,H. Barnes misses 3-pt shot from 23 ft,,43-32,,
9:12.0,,,43-32,,Defensive rebound by E. Davis
9:02.0,,,43-32,,C. McCollum misses 2-pt shot from 2 ft
9:02.0,Defensive rebound by D. Green,,43-32,,
8:52.0,S. Livingston makes 2-pt shot from 3 ft (assist by H. Barnes),2,45-32,,
8:52.0,Shooting foul by M. Leonard (drawn by S. Livingston),,45-32,,
8:52.0,S. Livingston makes free throw 1 of 1,1,46-32,,
8:37.0,,,46-32,,C. McCollum misses 2-pt shot from 21 ft
8:36.0,Defensive rebound by Team,,46-32,,
8:19.0,H. Barnes misses 2-pt shot from 15 ft,,46-32,,
8:18.0,,,46-32,,Defensive rebound by M. Leonard
8:10.0,,,46-32,,A. Crabbe misses 2-pt shot from 9 ft (block by I. Clark)
8:09.0,Defensive rebound by D. Green,,46-32,,
8:06.0,,,46-32,,Violation by A. Crabbe (kicked ball)
8:06.0,,,46-32,,G. Henderson enters the game for M. Leonard
7:55.0,S. Livingston misses 2-pt shot from 14 ft,,46-32,,
7:55.0,,,46-32,,Defensive rebound by C. McCollum
7:49.0,,,46-34,2,C. McCollum makes 2-pt shot from 1 ft
7:30.0,S. Livingston misses 2-pt shot from 10 ft,,46-34,,
7:29.0,,,46-34,,Defensive rebound by A. Crabbe
7:23.0,,,46-34,,Turnover by C. McCollum (bad pass; steal by S. Livingston)
7:15.0,I. Clark makes 3-pt shot from 25 ft (assist by A. Iguodala),3,49-34,,
6:59.0,,,49-34,,Shooting foul by D. Green (drawn by E. Davis)
6:59.0,,,49-34,,E. Davis misses free throw 1 of 2
6:59.0,,,49-34,,Offensive rebound by Team
6:59.0,S. Curry enters the game for I. Clark,,49-34,,
6:59.0,,,49-35,1,E. Davis makes free throw 2 of 2
6:52.0,,,49-35,,Personal foul by G. Henderson (drawn by A. Iguodala)
6:52.0,K. Thompson enters the game for A. Iguodala,,49-35,,
6:49.0,,,49-35,,Violation by G. Henderson (def goaltending)
6:49.0,K. Thompson makes 2-pt shot at rim (assist by S. Livingston),2,51-35,,
6:34.0,,,51-35,,C. McCollum misses 2-pt shot from 2 ft (block by D. Green)
6:31.0,Defensive rebound by S. Curry,,51-35,,
6:31.0,S. Curry misses 3-pt shot from 24 ft,,51-35,,
6:31.0,Offensive rebound by D. Green,,51-35,,
6:31.0,Shooting foul by E. Davis (drawn by D. Green),,51-35,,
6:31.0,D. Green makes free throw 1 of 2,1,52-35,,
6:31.0,,,52-35,,D. Lillard enters the game for M. Harkless
6:31.0,D. Green makes free throw 2 of 2,1,53-35,,
6:15.0,,,53-38,3,D. Lillard makes 3-pt shot from 22 ft
6:06.0,S. Livingston makes 2-pt shot from 10 ft,2,55-38,,
5:57.0,,,55-38,,A. Crabbe misses 3-pt shot from 24 ft
5:57.0,Defensive rebound by K. Thompson,,55-38,,
5:45.0,K. Thompson misses 2-pt shot from 14 ft,,55-38,,
5:45.0,,,55-38,,Defensive rebound by D. Lillard
5:33.0,,,55-38,,D. Lillard misses 3-pt shot from 24 ft
5:33.0,,,55-38,,Offensive rebound by E. Davis
5:29.0,,,55-41,3,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard)
5:11.0,D. Green makes 2-pt shot from 2 ft (assist by S. Livingston),2,57-41,,
5:11.0,,,57-41,,Portland full timeout
5:11.0,B. Rush enters the game for S. Livingston,,57-41,,
5:11.0,A. Bogut enters the game for H. Barnes,,57-41,,
5:11.0,,,57-41,,A. Aminu enters the game for A. Crabbe
5:11.0,,,57-41,,M. Plumlee enters the game for E. Davis
4:47.0,,,57-43,2,M. Plumlee makes 2-pt shot from 2 ft
4:32.0,A. Bogut makes 2-pt shot at rim (assist by K. Thompson),2,59-43,,
4:20.0,,,59-43,,M. Plumlee misses 2-pt shot at rim
4:20.0,Defensive rebound by K. Thompson,,59-43,,
4:14.0,K. Thompson misses 3-pt shot from 26 ft,,59-43,,
4:13.0,,,59-43,,Defensive rebound by G. Henderson
4:05.0,,,59-43,,Shooting foul by A. Bogut (drawn by D. Lillard)
4:05.0,,,59-44,1,D. Lillard makes free throw 1 of 2
4:05.0,,,59-45,1,D. Lillard makes free throw 2 of 2
4:03.0,,,59-45,,Personal take foul by M. Plumlee (drawn by A. Bogut)
4:03.0,A. Bogut makes free throw 1 of 2,1,60-45,,
4:03.0,A. Bogut misses free throw 2 of 2,,60-45,,
4:02.0,,,60-45,,Defensive rebound by A. Aminu
3:57.0,,,60-45,,Shooting foul by A. Bogut (drawn by G. Henderson)
3:57.0,,,60-45,,G. Henderson misses free throw 1 of 2
3:57.0,,,60-45,,Offensive rebound by Team
3:57.0,A. Iguodala enters the game for A. Bogut,,60-45,,
3:57.0,,,60-46,1,G. Henderson makes free throw 2 of 2
3:48.0,,,60-46,,Personal foul by M. Plumlee (drawn by S. Curry)
3:48.0,S. Curry makes free throw 1 of 2,1,61-46,,
3:48.0,,,61-46,,A. Crabbe enters the game for C. McCollum
3:48.0,,,61-46,,M. Harkless enters the game for M. Plumlee
3:48.0,S. Curry makes free throw 2 of 2,1,62-46,,
3:35.0,,,62-48,2,A. Crabbe makes 2-pt shot from 2 ft (assist by D. Lillard)
3:21.0,Shooting foul by D. Lillard (drawn by D. Green),,62-48,,
3:21.0,D. Green misses free throw 1 of 2,,62-48,,
3:21.0,Offensive rebound by Team,,62-48,,
3:21.0,D. Green makes free throw 2 of 2,1,63-48,,
3:09.0,,,63-48,,Turnover by D. Lillard (lost ball; steal by S. Curry)
3:07.0,,,63-48,,Personal foul by M. Harkless (drawn by A. Iguodala)
3:07.0,A. Iguodala makes free throw 1 of 2,1,64-48,,
3:07.0,A. Iguodala makes free throw 2 of 2,1,65-48,,
2:56.0,,,65-48,,D. Lillard misses 2-pt shot from 2 ft (block by B. Rush)
2:55.0,Defensive rebound by D. Green,,65-48,,
2:51.0,B. Rush makes 2-pt shot at rim (assist by A. Iguodala),2,67-48,,
2:49.0,,,67-48,,Portland full timeout
2:49.0,Official timeout,,67-48,,
2:49.0,,,67-48,,C. McCollum enters the game for G. Henderson
2:32.0,,,67-48,,C. McCollum misses 2-pt shot from 5 ft
2:31.0,Defensive rebound by D. Green,,67-48,,
2:15.0,S. Curry misses 2-pt shot from 1 ft (block by D. Lillard),,67-48,,
2:15.0,Offensive rebound by Team,,67-48,,
2:10.0,B. Rush makes 2-pt shot from 20 ft (assist by S. Curry),2,69-48,,
1:53.0,,,69-48,,A. Crabbe misses 2-pt shot from 21 ft
1:53.0,Defensive rebound by B. Rush,,69-48,,
1:46.0,Turnover by S. Curry (bad pass; steal by M. Harkless),,69-48,,
1:44.0,Personal foul by A. Iguodala (drawn by D. Lillard),,69-48,,
1:44.0,,,69-49,1,D. Lillard makes free throw 1 of 2
1:44.0,,,69-50,1,D. Lillard makes free throw 2 of 2
1:33.0,K. Thompson misses 2-pt shot from 14 ft,,69-50,,
1:32.0,,,69-50,,Defensive rebound by A. Aminu
1:19.0,,,69-50,,D. Lillard misses 3-pt shot from 24 ft
1:18.0,Defensive rebound by Team,,69-50,,
1:09.0,Shooting foul by A. Aminu (drawn by S. Curry),,69-50,,
1:09.0,S. Curry makes free throw 1 of 2,1,70-50,,
1:09.0,S. Curry makes free throw 2 of 2,1,71-50,,
0:51.0,,,71-50,,M. Harkless misses 2-pt shot from 5 ft
0:51.0,Defensive rebound by D. Green,,71-50,,
0:44.0,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry),3,74-50,,
0:34.0,Personal foul by S. Curry (drawn by D. Lillard),,74-50,,
0:34.0,,,74-51,1,D. Lillard makes free throw 1 of 2
0:34.0,,,74-52,1,D. Lillard makes free throw 2 of 2
0:26.0,S. Curry misses 3-pt shot from 25 ft,,74-52,,
0:24.0,,,74-52,,Defensive rebound by A. Aminu
0:03.0,,,74-52,,C. McCollum misses 3-pt shot from 23 ft
0:02.0,,,74-52,,Offensive rebound by M. Harkless
0:02.0,,,74-52,,Shooting foul by A. Iguodala (drawn by M. Harkless)
0:02.0,,,74-52,,M. Harkless misses free throw 1 of 2
0:02.0,,,74-52,,Offensive rebound by Team
0:02.0,,,74-52,,M. Harkless misses free throw 2 of 2
0:01.0,Defensive rebound by A. Iguodala,,74-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,74-55,3,D. Lillard makes 3-pt shot from 25 ft (assist by M. Plumlee)
11:37.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,76-55,,
11:19.0,,,76-55,,C. McCollum misses 2-pt shot from 15 ft
11:18.0,,,76-55,,Offensive rebound by N. Vonleh
11:14.0,,,76-55,,M. Plumlee misses 2-pt shot from 1 ft
11:13.0,,,76-55,,Offensive rebound by N. Vonleh
11:10.0,,,76-55,,N. Vonleh misses 2-pt shot from 1 ft
11:10.0,Defensive rebound by A. Bogut,,76-55,,
10:57.0,B. Rush makes 2-pt shot from 2 ft (assist by K. Thompson),2,78-55,,
10:44.0,,,78-55,,D. Lillard misses 3-pt shot from 25 ft
10:43.0,Defensive rebound by K. Thompson,,78-55,,
10:27.0,S. Curry misses 3-pt shot from 25 ft,,78-55,,
10:27.0,,,78-55,,Defensive rebound by Team
10:14.0,,,78-58,3,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard)
9:52.0,D. Green misses 3-pt shot from 24 ft,,78-58,,
9:51.0,,,78-58,,Defensive rebound by C. McCollum
9:43.0,,,78-61,3,D. Lillard makes 3-pt shot from 24 ft (assist by C. McCollum)
9:31.0,Turnover by A. Bogut (bad pass; steal by D. Lillard),,78-61,,
9:29.0,Personal foul by D. Green (drawn by M. Plumlee),,78-61,,
9:17.0,,,78-63,2,A. Aminu makes 2-pt shot from 19 ft
9:00.0,K. Thompson misses 3-pt shot from 24 ft,,78-63,,
8:59.0,,,78-63,,Defensive rebound by D. Lillard
8:51.0,,,78-65,2,D. Lillard makes 2-pt shot from 19 ft
8:50.0,Golden State full timeout,,78-65,,
8:37.0,K. Thompson makes 2-pt shot from 20 ft (assist by D. Green),2,80-65,,
8:20.0,,,80-65,,Shooting foul by D. Green (drawn by M. Plumlee)
8:20.0,,,80-66,1,M. Plumlee makes free throw 1 of 2
8:20.0,,,80-67,1,M. Plumlee makes free throw 2 of 2
8:07.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry),3,83-67,,
7:54.0,,,83-67,,D. Lillard misses 3-pt shot from 25 ft
7:52.0,,,83-67,,Offensive rebound by M. Plumlee
7:52.0,,,83-67,,M. Plumlee misses 2-pt shot at rim
7:52.0,Defensive rebound by B. Rush,,83-67,,
7:38.0,A. Bogut makes 2-pt shot from 2 ft (assist by S. Curry),2,85-67,,
7:20.0,,,85-67,,M. Plumlee misses 2-pt shot from 1 ft
7:19.0,Defensive rebound by D. Green,,85-67,,
7:11.0,S. Curry makes 2-pt shot at rim (assist by D. Green),2,87-67,,
6:50.0,,,87-67,,A. Aminu misses 3-pt shot from 24 ft
6:49.0,Defensive rebound by B. Rush,,87-67,,
6:32.0,B. Rush makes 3-pt shot from 24 ft (assist by D. Green),3,90-67,,
6:32.0,,,90-67,,Portland full timeout
6:32.0,,,90-67,,M. Harkless enters the game for N. Vonleh
6:18.0,,,90-67,,D. Lillard misses 3-pt shot from 25 ft
6:18.0,Defensive rebound by D. Green,,90-67,,
5:58.0,K. Thompson misses 3-pt shot from 26 ft,,90-67,,
5:57.0,,,90-67,,Defensive rebound by M. Plumlee
5:39.0,,,90-67,,Turnover by M. Plumlee (bad pass)
5:23.0,B. Rush makes 2-pt shot from 2 ft (assist by D. Green),2,92-67,,
5:12.0,,,92-67,,D. Lillard misses 2-pt shot from 16 ft
5:11.0,Defensive rebound by K. Thompson,,92-67,,
5:03.0,K. Thompson misses 2-pt shot from 11 ft,,92-67,,
5:03.0,,,92-67,,Defensive rebound by M. Plumlee
4:52.0,,,92-67,,M. Harkless misses 3-pt shot from 22 ft
4:51.0,,,92-67,,Offensive rebound by A. Aminu
4:47.0,,,92-70,3,A. Aminu makes 3-pt shot from 24 ft
4:36.0,S. Curry misses 3-pt shot from 24 ft,,92-70,,
4:34.0,,,92-70,,Defensive rebound by M. Plumlee
4:20.0,,,92-72,2,M. Plumlee makes 2-pt shot at rim (assist by M. Harkless)
4:03.0,Turnover by A. Bogut (offensive goaltending),,92-72,,
4:03.0,A. Iguodala enters the game for B. Rush,,92-72,,
4:03.0,,,92-72,,M. Leonard enters the game for M. Plumlee
4:03.0,,,92-72,,A. Crabbe enters the game for A. Aminu
3:50.0,,,92-75,3,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard)
3:36.0,,,92-75,,Personal foul by M. Leonard (drawn by S. Curry)
3:36.0,H. Barnes enters the game for A. Bogut,,92-75,,
3:33.0,Shooting foul by M. Leonard (drawn by K. Thompson),,92-75,,
3:33.0,K. Thompson misses free throw 1 of 2,,92-75,,
3:33.0,Offensive rebound by Team,,92-75,,
3:33.0,K. Thompson makes free throw 2 of 2,1,93-75,,
3:17.0,,,93-75,,C. McCollum misses 2-pt shot from 6 ft
3:17.0,,,93-75,,Offensive rebound by M. Leonard
3:17.0,,,93-75,,M. Leonard misses 2-pt shot at rim
3:16.0,Defensive rebound by D. Green,,93-75,,
3:07.0,S. Curry makes 3-pt shot from 24 ft,3,96-75,,
2:52.0,,,96-78,3,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard)
2:42.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green),2,98-78,,
2:33.0,,,98-78,,Shooting foul by H. Barnes (drawn by D. Lillard)
2:33.0,,,98-79,1,D. Lillard makes free throw 1 of 2
2:33.0,S. Livingston enters the game for K. Thompson,,98-79,,
2:33.0,,,98-80,1,D. Lillard makes free throw 2 of 2
2:23.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Green),3,101-80,,
2:08.0,,,101-82,2,A. Crabbe makes 2-pt shot from 21 ft (assist by M. Leonard)
1:58.0,S. Curry misses 2-pt shot from 1 ft (block by M. Harkless),,101-82,,
1:58.0,,,101-82,,Defensive rebound by Team
1:45.0,,,101-82,,D. Lillard misses 3-pt shot from 24 ft
1:45.0,Defensive rebound by S. Livingston,,101-82,,
1:34.0,S. Curry misses 3-pt shot from 26 ft,,101-82,,
1:34.0,,,101-82,,Defensive rebound by M. Leonard
1:26.0,Personal foul by A. Iguodala (drawn by M. Leonard),,101-82,,
1:26.0,,,101-82,,G. Henderson enters the game for C. McCollum
1:11.0,,,101-84,2,A. Crabbe makes 2-pt shot from 1 ft (assist by D. Lillard)
0:56.0,D. Green misses 3-pt shot from 25 ft,,101-84,,
0:55.0,,,101-84,,Defensive rebound by M. Leonard
0:47.0,,,101-87,3,D. Lillard makes 3-pt shot from 25 ft
0:35.0,Shooting foul by D. Lillard (drawn by S. Curry),,101-87,,
0:35.0,S. Curry makes free throw 1 of 2,1,102-87,,
0:35.0,S. Curry makes free throw 2 of 2,1,103-87,,
0:28.0,,,103-87,,D. Lillard misses 3-pt shot from 27 ft
0:27.0,Defensive rebound by D. Green,,103-87,,
0:10.0,S. Curry makes 3-pt shot from 28 ft,3,106-87,,
0:00.0,,,106-87,,D. Lillard misses 3-pt shot from 25 ft
0:00.0,,,106-87,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,H. Barnes misses 2-pt shot from 4 ft,,106-87,,
11:40.0,Offensive rebound by M. Speights,,106-87,,
11:38.0,M. Speights misses 2-pt shot from 1 ft (block by M. Leonard),,106-87,,
11:37.0,Offensive rebound by A. Iguodala,,106-87,,
11:37.0,Offensive foul by A. Iguodala,,106-87,,
11:37.0,Turnover by A. Iguodala (offensive foul),,106-87,,
11:29.0,,,106-87,,Turnover by D. Lillard (bad pass; steal by H. Barnes)
11:18.0,,,106-87,,Personal foul by G. Henderson (drawn by A. Iguodala)
11:06.0,A. Iguodala misses 2-pt shot from 5 ft,,106-87,,
11:04.0,Offensive rebound by I. Clark,,106-87,,
10:51.0,Turnover by A. Iguodala (bad pass; steal by M. Harkless),,106-87,,
10:46.0,B. Rush enters the game for A. Iguodala,,106-87,,
10:42.0,,,106-87,,Turnover by A. Crabbe (bad pass; steal by M. Speights)
10:24.0,M. Speights makes 2-pt shot from 18 ft (assist by H. Barnes),2,108-87,,
10:11.0,,,108-87,,Shooting foul by S. Livingston (drawn by D. Lillard)
10:11.0,,,108-88,1,D. Lillard makes free throw 1 of 2
10:11.0,,,108-88,,E. Davis enters the game for M. Leonard
10:11.0,,,108-88,,C. McCollum enters the game for M. Harkless
10:11.0,,,108-89,1,D. Lillard makes free throw 2 of 2
9:55.0,S. Livingston misses 2-pt shot from 15 ft,,108-89,,
9:54.0,,,108-89,,Defensive rebound by G. Henderson
9:47.0,,,108-92,3,D. Lillard makes 3-pt shot from 25 ft (assist by G. Henderson)
9:31.0,M. Speights makes 2-pt shot from 21 ft,2,110-92,,
9:19.0,,,110-92,,G. Henderson misses 2-pt shot from 13 ft
9:18.0,Defensive rebound by I. Clark,,110-92,,
9:09.0,H. Barnes misses 3-pt shot from 23 ft,,110-92,,
9:09.0,,,110-92,,Defensive rebound by E. Davis
8:57.0,,,110-92,,E. Davis misses 2-pt shot from 1 ft
8:56.0,,,110-92,,Offensive rebound by E. Davis
8:56.0,,,110-92,,Turnover by A. Crabbe (step out of bounds)
8:56.0,Official timeout,,110-92,,
8:34.0,S. Livingston misses 2-pt shot from 11 ft (block by D. Lillard),,110-92,,
8:34.0,Offensive rebound by Team,,110-92,,
8:31.0,M. Speights makes 2-pt shot from 21 ft (assist by S. Livingston),2,112-92,,
8:14.0,,,112-92,,C. McCollum misses 3-pt shot from 24 ft
8:14.0,Defensive rebound by I. Clark,,112-92,,
8:02.0,S. Livingston misses 2-pt shot from 5 ft,,112-92,,
8:01.0,,,112-92,,Defensive rebound by G. Henderson
7:53.0,,,112-92,,Turnover by D. Lillard (bad pass; steal by M. Speights)
7:50.0,Turnover by M. Speights (lost ball),,112-92,,
7:37.0,,,112-92,,C. McCollum misses 2-pt shot from 16 ft
7:36.0,Defensive rebound by M. Speights,,112-92,,
7:25.0,M. Speights misses 2-pt shot from 18 ft,,112-92,,
7:25.0,,,112-92,,Defensive rebound by G. Henderson
7:16.0,,,112-94,2,D. Lillard makes 2-pt shot from 1 ft
6:51.0,H. Barnes misses 2-pt shot from 10 ft,,112-94,,
6:50.0,,,112-94,,Defensive rebound by G. Henderson
6:43.0,Personal foul by M. Speights (drawn by D. Lillard),,112-94,,
6:43.0,Golden State full timeout,,112-94,,
6:43.0,F. Ezeli enters the game for M. Speights,,112-94,,
6:43.0,K. Thompson enters the game for B. Rush,,112-94,,
6:36.0,,,112-94,,D. Lillard misses 3-pt shot from 23 ft
6:36.0,Defensive rebound by F. Ezeli,,112-94,,
6:12.0,I. Clark misses 2-pt shot from 2 ft,,112-94,,
6:10.0,Offensive rebound by F. Ezeli,,112-94,,
6:06.0,H. Barnes makes 3-pt shot from 24 ft (assist by I. Clark),3,115-94,,
