time,Milwaukee,pts.away,score,pts.home,Minnesota
4:25.0,,,5-18,,Turnover by T. Prince (bad pass)
4:16.0,J. Parker misses 2-pt shot from 2 ft,,5-18,,
4:15.0,,,5-18,,Defensive rebound by K. Towns
4:08.0,,,5-18,,Minnesota full timeout
4:08.0,Technical foul by O. Mayo,,5-18,,
4:08.0,Technical foul by O. Mayo,,5-18,,
4:08.0,J. Bayless enters the game for O. Mayo,,5-18,,
4:08.0,,,5-19,1,R. Rubio makes technical free throw
4:08.0,,,5-20,1,R. Rubio makes technical free throw
4:01.0,,,5-22,2,K. Towns makes 2-pt shot from 1 ft
3:45.0,Turnover by J. Bayless (bad pass; steal by R. Rubio),,5-22,,
3:39.0,,,5-22,,T. Prince misses 2-pt shot from 19 ft
3:38.0,Defensive rebound by M. Carter-Williams,,5-22,,
3:21.0,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton),2,7-22,,
2:57.0,,,7-24,2,G. Dieng makes 2-pt shot from 16 ft
2:45.0,,,7-24,,Personal foul by R. Rubio (drawn by M. Carter-Williams)
2:45.0,M. Carter-Williams makes free throw 1 of 2,1,8-24,,
2:45.0,,,8-24,,Z. LaVine enters the game for S. Muhammad
2:45.0,,,8-24,,T. Jones enters the game for R. Rubio
2:45.0,G. Antetokounmpo enters the game for J. Parker,,8-24,,
2:45.0,M. Carter-Williams misses free throw 2 of 2,,8-24,,
2:45.0,,,8-24,,Defensive rebound by K. Towns
2:25.0,,,8-24,,Turnover by T. Jones (lost ball; steal by M. Carter-Williams)
2:22.0,Shooting foul by Z. LaVine (drawn by G. Antetokounmpo),,8-24,,
2:22.0,G. Antetokounmpo makes free throw 1 of 2,1,9-24,,
2:22.0,,,9-24,,A. Payne enters the game for K. Towns
2:22.0,G. Antetokounmpo makes free throw 2 of 2,1,10-24,,
2:00.0,,,10-24,,A. Payne misses 3-pt shot from 23 ft
1:59.0,,,10-24,,Offensive rebound by T. Prince
1:40.0,,,10-24,,T. Jones misses 2-pt shot from 21 ft (block by M. Carter-Williams)
1:39.0,,,10-24,,Offensive rebound by T. Jones
1:38.0,,,10-24,,Turnover by G. Dieng (3 sec)
1:38.0,G. Monroe enters the game for J. Henson,,10-24,,
1:38.0,R. Vaughn enters the game for M. Carter-Williams,,10-24,,
1:29.0,G. Monroe misses 2-pt shot at rim,,10-24,,
1:28.0,Offensive rebound by G. Monroe,,10-24,,
1:28.0,G. Monroe misses 2-pt shot at rim,,10-24,,
1:26.0,Offensive rebound by G. Monroe,,10-24,,
1:25.0,G. Monroe makes 2-pt shot from 2 ft,2,12-24,,
1:02.0,,,12-24,,Z. LaVine misses 3-pt shot from 26 ft
1:00.0,Defensive rebound by G. Antetokounmpo,,12-24,,
0:50.0,K. Middleton misses 2-pt shot from 12 ft,,12-24,,
0:49.0,,,12-24,,Defensive rebound by Z. LaVine
0:44.0,,,12-26,2,T. Jones makes 2-pt shot at rim (assist by Z. LaVine)
0:23.0,K. Middleton makes 3-pt shot from 23 ft (assist by G. Monroe),3,15-26,,
0:00.0,,,15-28,2,Z. LaVine makes 2-pt shot from 1 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,G. Monroe misses 2-pt shot from 12 ft,,15-28,,
11:38.0,,,15-28,,Defensive rebound by S. Muhammad
11:24.0,,,15-31,3,S. Muhammad makes 3-pt shot from 23 ft (assist by T. Jones)
11:01.0,J. O'Bryant makes 2-pt shot from 16 ft,2,17-31,,
10:38.0,,,17-31,,Turnover by G. Dieng (lost ball; steal by G. Monroe)
10:34.0,R. Vaughn makes 2-pt shot at rim,2,19-31,,
10:11.0,,,19-31,,S. Muhammad misses 2-pt shot from 11 ft
10:10.0,Defensive rebound by G. Monroe,,19-31,,
10:01.0,J. Bayless misses 2-pt shot from 6 ft,,19-31,,
10:00.0,,,19-31,,Defensive rebound by G. Dieng
9:52.0,,,19-31,,T. Jones misses 2-pt shot from 7 ft
9:51.0,,,19-31,,Offensive rebound by T. Jones
9:50.0,,,19-31,,T. Jones misses 2-pt shot from 7 ft
9:48.0,,,19-31,,Offensive rebound by T. Jones
9:30.0,,,19-31,,Z. LaVine misses 3-pt shot from 23 ft
9:29.0,,,19-31,,Offensive rebound by N. Bjelica
9:29.0,,,19-33,2,N. Bjelica makes 2-pt shot at rim
9:29.0,,,19-33,,Shooting foul by J. O'Bryant (drawn by N. Bjelica)
9:29.0,,,19-34,1,N. Bjelica makes free throw 1 of 1
9:12.0,J. Bayless makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,22-34,,
9:03.0,,,22-34,,Minnesota full timeout
8:53.0,,,22-34,,S. Muhammad misses 2-pt shot at rim
8:52.0,,,22-34,,Offensive rebound by S. Muhammad
8:52.0,,,22-34,,Shooting foul by J. O'Bryant (drawn by S. Muhammad)
8:52.0,,,22-34,,S. Muhammad misses free throw 1 of 2
8:52.0,,,22-34,,Offensive rebound by Team
8:52.0,,,22-34,,S. Muhammad misses free throw 2 of 2
8:51.0,,,22-34,,Offensive rebound by Team
8:40.0,,,22-34,,Z. LaVine misses 2-pt shot from 16 ft (block by R. Vaughn)
8:39.0,Defensive rebound by G. Antetokounmpo,,22-34,,
8:20.0,G. Monroe makes 2-pt shot from 4 ft,2,24-34,,
8:20.0,Shooting foul by G. Dieng (drawn by G. Monroe),,24-34,,
8:20.0,,,24-34,,A. Wiggins enters the game for Z. LaVine
8:20.0,G. Monroe makes free throw 1 of 1,1,25-34,,
8:01.0,,,25-34,,Turnover by A. Wiggins (bad pass; steal by J. O'Bryant)
7:56.0,R. Vaughn makes 3-pt shot from 24 ft (assist by J. Bayless),3,28-34,,
7:42.0,,,28-36,2,T. Jones makes 2-pt shot from 8 ft
7:42.0,,,28-36,,Shooting foul by J. Bayless (drawn by T. Jones)
7:42.0,,,28-37,1,T. Jones makes free throw 1 of 1
7:22.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by G. Monroe),2,30-37,,
7:00.0,,,30-37,,G. Dieng misses 2-pt shot from 17 ft
6:58.0,Defensive rebound by G. Monroe,,30-37,,
6:48.0,Shooting foul by S. Muhammad (drawn by G. Monroe),,30-37,,
6:48.0,G. Monroe makes free throw 1 of 2,1,31-37,,
6:48.0,J. Parker enters the game for J. O'Bryant,,31-37,,
6:48.0,,,31-37,,R. Rubio enters the game for T. Jones
6:48.0,G. Monroe makes free throw 2 of 2,1,32-37,,
6:29.0,,,32-37,,Shooting foul by J. Parker (drawn by A. Wiggins)
6:29.0,,,32-37,,A. Wiggins misses free throw 1 of 2
6:29.0,,,32-37,,Offensive rebound by Team
6:29.0,J. Henson enters the game for G. Monroe,,32-37,,
6:29.0,,,32-37,,K. Towns enters the game for G. Dieng
6:29.0,,,32-38,1,A. Wiggins makes free throw 2 of 2
6:06.0,R. Vaughn misses 3-pt shot from 26 ft,,32-38,,
6:03.0,,,32-38,,Defensive rebound by K. Towns
5:44.0,,,32-38,,Turnover by R. Rubio (bad pass; steal by G. Antetokounmpo)
5:41.0,Turnover by G. Antetokounmpo (lost ball; steal by A. Wiggins),,32-38,,
5:36.0,,,32-40,2,K. Towns makes 2-pt shot at rim (assist by N. Bjelica)
5:34.0,Milwaukee full timeout,,32-40,,
5:26.0,J. Parker makes 2-pt shot at rim,2,34-40,,
5:12.0,,,34-40,,A. Wiggins misses 2-pt shot from 18 ft
5:10.0,Defensive rebound by J. Henson,,34-40,,
4:56.0,J. Henson misses 2-pt shot from 6 ft,,34-40,,
4:55.0,,,34-40,,Defensive rebound by K. Towns
4:40.0,,,34-40,,S. Muhammad misses 2-pt shot from 10 ft
4:39.0,Defensive rebound by J. Parker,,34-40,,
4:17.0,J. Bayless misses 3-pt shot from 24 ft,,34-40,,
4:15.0,Offensive rebound by J. Bayless,,34-40,,
4:09.0,G. Antetokounmpo misses 2-pt shot from 1 ft (block by R. Rubio),,34-40,,
4:09.0,Offensive rebound by Team,,34-40,,
4:09.0,K. Middleton enters the game for R. Vaughn,,34-40,,
4:09.0,,,34-40,,K. Garnett enters the game for N. Bjelica
4:09.0,,,34-40,,T. Prince enters the game for S. Muhammad
4:08.0,Turnover by G. Antetokounmpo (bad pass; steal by K. Garnett),,34-40,,
3:51.0,,,34-40,,K. Towns misses 2-pt shot from 19 ft
3:50.0,Defensive rebound by J. Bayless,,34-40,,
3:41.0,J. Bayless makes 3-pt shot from 23 ft (assist by J. Henson),3,37-40,,
3:23.0,,,37-40,,K. Towns misses 2-pt shot from 18 ft
3:21.0,Defensive rebound by G. Antetokounmpo,,37-40,,
3:07.0,J. Bayless makes 2-pt shot from 2 ft,2,39-40,,
2:44.0,,,39-40,,K. Towns misses 2-pt shot from 12 ft
2:43.0,Defensive rebound by J. Parker,,39-40,,
2:38.0,Shooting foul by K. Towns (drawn by J. Parker),,39-40,,
2:38.0,Milwaukee full timeout,,39-40,,
2:38.0,M. Carter-Williams enters the game for G. Antetokounmpo,,39-40,,
2:38.0,J. Henson misses free throw 1 of 2,,39-40,,
2:38.0,Offensive rebound by Team,,39-40,,
2:38.0,J. Henson misses free throw 2 of 2,,39-40,,
2:38.0,,,39-40,,Defensive rebound by K. Garnett
2:17.0,,,39-40,,A. Wiggins misses 2-pt shot from 15 ft
2:15.0,,,39-40,,Offensive rebound by K. Garnett
2:06.0,,,39-40,,Turnover by R. Rubio (bad pass)
1:54.0,Turnover by M. Carter-Williams (bad pass; steal by A. Wiggins),,39-40,,
1:47.0,,,39-40,,Offensive foul by K. Garnett
1:47.0,,,39-40,,Turnover by K. Garnett (offensive foul)
1:40.0,K. Middleton makes 3-pt shot from 24 ft,3,42-40,,
1:19.0,,,42-43,3,R. Rubio makes 3-pt shot from 24 ft (assist by A. Wiggins)
1:06.0,Turnover by K. Middleton (bad pass; steal by K. Towns),,42-43,,
1:01.0,,,42-45,2,R. Rubio makes 2-pt shot from 19 ft
0:45.0,Shooting foul by R. Rubio (drawn by J. Henson),,42-45,,
0:45.0,J. Henson makes free throw 1 of 2,1,43-45,,
0:45.0,,,43-45,,T. Jones enters the game for R. Rubio
0:45.0,,,43-45,,S. Muhammad enters the game for A. Wiggins
0:45.0,J. Henson makes free throw 2 of 2,1,44-45,,
0:22.0,,,44-45,,K. Garnett misses 2-pt shot from 4 ft
0:21.0,,,44-45,,Offensive rebound by K. Towns
0:21.0,,,44-47,2,K. Towns makes 2-pt shot from 3 ft
0:04.0,J. Bayless misses 2-pt shot from 2 ft (block by K. Towns),,44-47,,
0:02.0,,,44-47,,Defensive rebound by K. Towns
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,G. Monroe misses 2-pt shot from 1 ft,,44-47,,
11:45.0,Offensive rebound by K. Middleton,,44-47,,
11:36.0,K. Middleton misses 2-pt shot from 18 ft,,44-47,,
11:34.0,,,44-47,,Defensive rebound by K. Towns
11:19.0,,,44-49,2,A. Wiggins makes 2-pt shot from 1 ft
11:01.0,K. Middleton misses 2-pt shot from 6 ft,,44-49,,
10:59.0,,,44-49,,Defensive rebound by A. Wiggins
10:36.0,,,44-51,2,T. Prince makes 2-pt shot from 18 ft
10:20.0,J. Parker makes 2-pt shot at rim (assist by K. Middleton),2,46-51,,
10:02.0,,,46-51,,K. Towns misses 2-pt shot from 16 ft
10:01.0,Defensive rebound by G. Monroe,,46-51,,
9:53.0,Shooting foul by K. Garnett (drawn by M. Carter-Williams),,46-51,,
9:53.0,M. Carter-Williams makes free throw 1 of 2,1,47-51,,
9:53.0,M. Carter-Williams makes free throw 2 of 2,1,48-51,,
9:44.0,,,48-53,2,A. Wiggins makes 2-pt shot from 18 ft
9:25.0,J. Parker makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,50-53,,
9:11.0,Personal foul by M. Carter-Williams (drawn by R. Rubio),,50-53,,
9:09.0,Personal foul by G. Antetokounmpo (drawn by K. Garnett),,50-53,,
8:57.0,,,50-53,,A. Wiggins misses 2-pt shot from 18 ft
8:56.0,Defensive rebound by G. Monroe,,50-53,,
8:42.0,G. Antetokounmpo makes 3-pt shot from 24 ft (assist by G. Monroe),3,53-53,,
8:17.0,,,53-56,3,R. Rubio makes 3-pt shot from 25 ft (assist by K. Towns)
7:58.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by K. Towns),,53-56,,
7:56.0,Offensive rebound by G. Antetokounmpo,,53-56,,
7:53.0,G. Monroe makes 2-pt shot from 15 ft (assist by G. Antetokounmpo),2,55-56,,
7:45.0,,,55-56,,Minnesota full timeout
7:34.0,,,55-56,,A. Wiggins misses 2-pt shot at rim
7:33.0,Defensive rebound by G. Antetokounmpo,,55-56,,
7:19.0,K. Middleton makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,58-56,,
6:58.0,,,58-56,,K. Garnett misses 3-pt shot from 22 ft
6:57.0,Defensive rebound by M. Carter-Williams,,58-56,,
6:48.0,G. Antetokounmpo makes 2-pt shot at rim,2,60-56,,
6:32.0,,,60-58,2,A. Wiggins makes 2-pt shot from 19 ft
6:15.0,G. Monroe makes 2-pt shot from 2 ft,2,62-58,,
6:05.0,,,62-58,,Shooting foul by J. Parker (drawn by A. Wiggins)
6:05.0,,,62-59,1,A. Wiggins makes free throw 1 of 2
6:05.0,,,62-59,,G. Dieng enters the game for K. Towns
6:05.0,,,62-59,,A. Payne enters the game for K. Garnett
6:05.0,,,62-60,1,A. Wiggins makes free throw 2 of 2
5:41.0,K. Middleton misses 3-pt shot from 26 ft,,62-60,,
5:39.0,,,62-60,,Defensive rebound by G. Dieng
5:23.0,,,62-60,,G. Dieng misses 2-pt shot from 5 ft
5:22.0,,,62-60,,Offensive rebound by A. Wiggins
5:22.0,Personal foul by M. Carter-Williams (drawn by A. Wiggins),,62-60,,
5:22.0,J. Henson enters the game for G. Monroe,,62-60,,
5:17.0,,,62-60,,R. Rubio misses 3-pt shot from 25 ft
5:16.0,Defensive rebound by G. Antetokounmpo,,62-60,,
5:11.0,Turnover by G. Antetokounmpo (lost ball; steal by A. Wiggins),,62-60,,
5:02.0,,,62-62,2,R. Rubio makes 2-pt shot from 16 ft (assist by T. Prince)
4:45.0,Turnover by J. Henson (lost ball; steal by R. Rubio),,62-62,,
4:38.0,,,62-62,,T. Prince misses 3-pt shot from 23 ft
4:37.0,Defensive rebound by K. Middleton,,62-62,,
4:26.0,M. Carter-Williams makes 2-pt shot from 1 ft (assist by K. Middleton),2,64-62,,
4:09.0,,,64-62,,Turnover by G. Dieng (bad pass; steal by G. Antetokounmpo)
4:05.0,Shooting foul by A. Payne (drawn by G. Antetokounmpo),,64-62,,
4:05.0,G. Antetokounmpo makes free throw 1 of 2,1,65-62,,
4:05.0,G. Antetokounmpo makes free throw 2 of 2,1,66-62,,
3:57.0,Personal foul by G. Antetokounmpo (drawn by A. Wiggins),,66-62,,
3:57.0,,,66-63,1,A. Wiggins makes free throw 1 of 2
3:57.0,J. Bayless enters the game for G. Antetokounmpo,,66-63,,
3:57.0,,,66-64,1,A. Wiggins makes free throw 2 of 2
3:40.0,M. Carter-Williams misses 2-pt shot from 18 ft,,66-64,,
3:39.0,,,66-64,,Defensive rebound by R. Rubio
3:32.0,,,66-64,,A. Payne misses 2-pt shot from 19 ft
3:30.0,,,66-64,,Offensive rebound by R. Rubio
3:16.0,,,66-66,2,A. Wiggins makes 2-pt shot from 8 ft (assist by R. Rubio)
2:55.0,M. Carter-Williams misses 2-pt shot at rim (block by A. Payne),,66-66,,
2:54.0,,,66-66,,Defensive rebound by G. Dieng
2:44.0,,,66-66,,Turnover by A. Payne (bad pass)
2:44.0,Milwaukee full timeout,,66-66,,
2:44.0,,,66-66,,Z. LaVine enters the game for A. Payne
2:34.0,J. Henson makes 2-pt shot at rim (assist by M. Carter-Williams),2,68-66,,
2:17.0,,,68-66,,Shooting foul by J. Henson (drawn by G. Dieng)
2:17.0,,,68-67,1,G. Dieng makes free throw 1 of 2
2:17.0,,,68-68,1,G. Dieng makes free throw 2 of 2
2:00.0,J. Parker makes 2-pt shot at rim (assist by K. Middleton),2,70-68,,
1:42.0,,,70-68,,Z. LaVine misses 3-pt shot from 24 ft
1:41.0,,,70-68,,Offensive rebound by G. Dieng
1:39.0,,,70-68,,Turnover by G. Dieng (traveling)
1:24.0,M. Carter-Williams misses 2-pt shot from 8 ft,,70-68,,
1:24.0,,,70-68,,Defensive rebound by Team
1:24.0,,,70-68,,T. Jones enters the game for R. Rubio
1:02.0,,,70-68,,Z. LaVine misses 2-pt shot at rim
1:01.0,Defensive rebound by J. Parker,,70-68,,
0:56.0,J. Bayless misses 2-pt shot from 7 ft,,70-68,,
0:55.0,,,70-68,,Defensive rebound by G. Dieng
0:48.0,,,70-68,,A. Wiggins misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by J. Henson,,70-68,,
0:31.0,J. Bayless misses 2-pt shot from 7 ft (block by A. Wiggins),,70-68,,
0:29.0,,,70-68,,Defensive rebound by T. Jones
0:27.0,,,70-68,,T. Jones misses 2-pt shot at rim (block by M. Carter-Williams)
0:26.0,Defensive rebound by J. Parker,,70-68,,
0:21.0,,,70-68,,Violation by G. Dieng (def goaltending)
0:21.0,K. Middleton makes 2-pt shot from 2 ft (assist by J. Parker),2,72-68,,
0:03.0,,,72-70,2,T. Prince makes 2-pt shot from 16 ft (assist by T. Jones)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,72-70,,A. Wiggins misses 2-pt shot from 3 ft
11:46.0,Defensive rebound by R. Vaughn,,72-70,,
11:30.0,J. Bayless makes 3-pt shot from 23 ft (assist by M. Carter-Williams),3,75-70,,
11:13.0,,,75-70,,K. Towns misses 2-pt shot from 18 ft
11:12.0,Defensive rebound by J. Bayless,,75-70,,
10:57.0,R. Vaughn misses 2-pt shot from 2 ft,,75-70,,
10:56.0,,,75-70,,Defensive rebound by A. Wiggins
10:53.0,,,75-70,,Offensive charge foul by Z. LaVine
10:53.0,,,75-70,,Turnover by Z. LaVine (offensive foul)
10:38.0,J. Henson makes 2-pt shot at rim (assist by M. Carter-Williams),2,77-70,,
10:21.0,,,77-70,,A. Wiggins misses 3-pt shot from 24 ft
10:20.0,Defensive rebound by R. Vaughn,,77-70,,
10:01.0,J. Henson makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,79-70,,
10:00.0,,,79-70,,Minnesota full timeout
9:47.0,,,79-70,,Turnover by A. Wiggins (lost ball; steal by M. Carter-Williams)
9:41.0,J. Bayless misses 3-pt shot from 25 ft,,79-70,,
9:40.0,,,79-70,,Defensive rebound by Z. LaVine
9:35.0,,,79-70,,Z. LaVine misses 2-pt shot from 1 ft
9:34.0,Defensive rebound by M. Carter-Williams,,79-70,,
9:12.0,J. Henson makes 2-pt shot at rim (assist by J. Bayless),2,81-70,,
9:00.0,,,81-70,,K. Towns misses 2-pt shot from 2 ft (block by J. Henson)
8:58.0,,,81-70,,Offensive rebound by K. Towns
8:57.0,,,81-70,,K. Towns misses 2-pt shot at rim
8:56.0,Defensive rebound by J. Bayless,,81-70,,
8:44.0,R. Vaughn misses 3-pt shot from 23 ft,,81-70,,
8:43.0,,,81-70,,Defensive rebound by A. Wiggins
8:34.0,,,81-70,,K. Towns misses 2-pt shot from 16 ft
8:32.0,Defensive rebound by G. Antetokounmpo,,81-70,,
8:15.0,G. Antetokounmpo misses 2-pt shot from 8 ft,,81-70,,
8:14.0,Offensive rebound by J. Henson,,81-70,,
8:14.0,J. Henson makes 2-pt shot at rim,2,83-70,,
7:50.0,,,83-70,,Shooting foul by M. Carter-Williams (drawn by T. Jones)
7:50.0,,,83-71,1,T. Jones makes free throw 1 of 2
7:50.0,G. Monroe enters the game for J. Henson,,83-71,,
7:50.0,K. Middleton enters the game for M. Carter-Williams,,83-71,,
7:50.0,,,83-71,,G. Dieng enters the game for K. Towns
7:50.0,,,83-71,,T. Jones misses free throw 2 of 2
7:50.0,Defensive rebound by G. Antetokounmpo,,83-71,,
7:36.0,,,83-71,,Personal foul by G. Dieng (drawn by G. Monroe)
7:36.0,,,83-71,,R. Rubio enters the game for T. Jones
7:30.0,G. Monroe misses 2-pt shot from 7 ft,,83-71,,
7:29.0,,,83-71,,Defensive rebound by Z. LaVine
7:17.0,,,83-71,,Turnover by A. Wiggins (traveling)
7:05.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,83-71,,
7:04.0,,,83-71,,Defensive rebound by R. Rubio
6:57.0,,,83-71,,Shooting foul by G. Antetokounmpo (drawn by A. Wiggins)
6:57.0,,,83-71,,A. Wiggins misses free throw 1 of 2
6:57.0,,,83-71,,Offensive rebound by Team
6:57.0,J. Parker enters the game for G. Antetokounmpo,,83-71,,
6:57.0,,,83-71,,A. Wiggins misses free throw 2 of 2
6:56.0,Defensive rebound by K. Middleton,,83-71,,
6:40.0,J. Bayless misses 2-pt shot at rim,,83-71,,
6:40.0,,,83-71,,Defensive rebound by Team
6:40.0,Loose ball foul by G. Monroe (drawn by G. Dieng),,83-71,,
6:28.0,,,83-71,,Turnover by A. Wiggins (lost ball)
6:09.0,G. Monroe makes 2-pt shot from 11 ft,2,85-71,,
5:59.0,,,85-71,,R. Rubio misses 2-pt shot from 8 ft
5:58.0,Defensive rebound by R. Vaughn,,85-71,,
5:40.0,Turnover by K. Middleton (lost ball),,85-71,,
5:40.0,,,85-71,,Minnesota full timeout
5:40.0,M. Carter-Williams enters the game for R. Vaughn,,85-71,,
5:28.0,,,85-73,2,A. Wiggins makes 2-pt shot at rim
5:28.0,,,85-73,,Shooting foul by J. Parker (drawn by A. Wiggins)
5:28.0,,,85-73,,A. Wiggins misses free throw 1 of 1
5:27.0,Defensive rebound by J. Parker,,85-73,,
5:09.0,K. Middleton misses 2-pt shot from 15 ft,,85-73,,
5:07.0,,,85-73,,Defensive rebound by A. Wiggins
4:58.0,,,85-75,2,G. Dieng makes 2-pt shot at rim (assist by R. Rubio)
4:37.0,G. Monroe misses 2-pt shot from 4 ft,,85-75,,
4:35.0,Offensive rebound by M. Carter-Williams,,85-75,,
4:31.0,J. Parker misses 2-pt shot at rim,,85-75,,
4:29.0,Offensive rebound by J. Parker,,85-75,,
4:14.0,Turnover by K. Middleton (lost ball; steal by S. Muhammad),,85-75,,
4:08.0,,,85-75,,S. Muhammad misses 2-pt shot at rim
4:07.0,Defensive rebound by M. Carter-Williams,,85-75,,
3:50.0,Shooting foul by Z. LaVine (drawn by J. Bayless),,85-75,,
