time,Brooklyn,pts.away,score,pts.home,Charlotte
11:09.0,,,34-34,,J. Lin misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by B. Bogdanovic,,34-34,,
11:00.0,A. Bargnani misses 2-pt shot from 2 ft (block by F. Kaminsky),,34-34,,
11:00.0,Offensive rebound by Team,,34-34,,
10:53.0,W. Ellington makes 2-pt shot from 22 ft (assist by B. Lopez),2,36-34,,
10:31.0,,,36-36,2,S. Hawes makes 2-pt shot at rim (assist by J. Lin)
10:06.0,B. Lopez misses 2-pt shot from 2 ft,,36-36,,
10:05.0,,,36-36,,Defensive rebound by S. Hawes
9:59.0,,,36-36,,S. Hawes misses 2-pt shot from 7 ft
9:56.0,Defensive rebound by B. Bogdanovic,,36-36,,
9:48.0,Turnover by J. Jack (turnover),,36-36,,
9:37.0,,,36-38,2,J. Lamb makes 2-pt shot from 18 ft (assist by S. Hawes)
9:20.0,A. Bargnani misses 2-pt shot from 17 ft,,36-38,,
9:19.0,,,36-38,,Defensive rebound by J. Lin
9:13.0,,,36-40,2,S. Hawes makes 2-pt shot from 1 ft (assist by J. Lin)
9:13.0,Brooklyn full timeout,,36-40,,
8:57.0,W. Ellington misses 2-pt shot from 18 ft,,36-40,,
8:56.0,,,36-40,,Defensive rebound by S. Hawes
8:39.0,,,36-40,,M. Williams misses 2-pt shot from 22 ft
8:38.0,Defensive rebound by J. Jack,,36-40,,
8:30.0,B. Lopez makes 2-pt shot from 1 ft (assist by J. Jack),2,38-40,,
8:14.0,,,38-40,,J. Lin misses 2-pt shot from 1 ft
8:13.0,Defensive rebound by W. Ellington,,38-40,,
8:05.0,A. Bargnani makes 2-pt shot from 19 ft (assist by W. Ellington),2,40-40,,
8:05.0,,,40-40,,Charlotte full timeout
7:57.0,,,40-40,,Turnover by J. Lin (bad pass)
7:43.0,W. Ellington misses 3-pt shot from 22 ft,,40-40,,
7:41.0,,,40-40,,Defensive rebound by M. Williams
7:39.0,Personal foul by J. Jack (drawn by J. Lin),,40-40,,
7:32.0,,,40-40,,J. Lin misses 3-pt shot from 25 ft
7:31.0,Defensive rebound by W. Ellington,,40-40,,
7:23.0,J. Jack misses 2-pt shot from 17 ft,,40-40,,
7:22.0,,,40-40,,Defensive rebound by J. Lamb
7:10.0,,,40-43,3,M. Williams makes 3-pt shot from 22 ft (assist by S. Hawes)
6:55.0,B. Lopez makes 2-pt shot from 6 ft,2,42-43,,
6:28.0,,,42-43,,S. Hawes misses 2-pt shot from 16 ft
6:26.0,Defensive rebound by J. Jack,,42-43,,
6:20.0,A. Bargnani misses 2-pt shot from 18 ft,,42-43,,
6:19.0,,,42-43,,Defensive rebound by S. Hawes
6:09.0,,,42-45,2,J. Lin makes 2-pt shot from 2 ft
5:53.0,B. Lopez misses 2-pt shot from 10 ft (block by J. Lamb),,42-45,,
5:53.0,Offensive rebound by Team,,42-45,,
5:53.0,S. Larkin enters the game for J. Jack,,42-45,,
5:53.0,J. Johnson enters the game for B. Bogdanovic,,42-45,,
5:53.0,T. Young enters the game for A. Bargnani,,42-45,,
5:53.0,,,42-45,,A. Jefferson enters the game for S. Hawes
5:53.0,Jump ball: J. Lamb vs. B. Lopez (S. Larkin gains possession),,,,Jump ball: J. Lamb vs. B. Lopez (S. Larkin gains possession)
5:37.0,B. Lopez makes 2-pt shot from 11 ft,2,44-45,,
5:25.0,,,44-45,,J. Lin misses 2-pt shot from 19 ft
5:23.0,,,44-45,,Offensive rebound by F. Kaminsky
5:17.0,,,44-45,,J. Lamb misses 2-pt shot from 10 ft
5:16.0,Defensive rebound by T. Young,,44-45,,
5:12.0,T. Young misses 2-pt shot from 17 ft,,44-45,,
5:11.0,,,44-45,,Defensive rebound by J. Lin
4:52.0,,,44-45,,A. Jefferson misses 2-pt shot from 8 ft
4:50.0,Defensive rebound by T. Young,,44-45,,
4:36.0,,,44-45,,N. Batum enters the game for M. Williams
4:36.0,,,44-45,,K. Walker enters the game for J. Lamb
4:36.0,R. Hollis-Jefferson enters the game for W. Ellington,,44-45,,
4:28.0,J. Johnson misses 3-pt shot from 25 ft,,44-45,,
4:27.0,,,44-45,,Defensive rebound by J. Lin
4:23.0,,,44-45,,Turnover by J. Lin (lost ball)
4:13.0,B. Lopez makes 2-pt shot from 19 ft (assist by S. Larkin),2,46-45,,
3:56.0,,,46-45,,A. Jefferson misses 2-pt shot from 2 ft
3:55.0,Defensive rebound by T. Young,,46-45,,
3:46.0,B. Lopez misses 2-pt shot from 20 ft,,46-45,,
3:44.0,,,46-45,,Defensive rebound by N. Batum
3:36.0,,,46-45,,Shooting foul by R. Hollis-Jefferson (drawn by F. Kaminsky)
3:36.0,,,46-47,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by N. Batum)
3:36.0,T. Robinson enters the game for B. Lopez,,46-47,,
3:36.0,,,46-48,1,F. Kaminsky makes free throw 1 of 1
3:17.0,J. Johnson misses 3-pt shot from 27 ft,,46-48,,
3:16.0,,,46-48,,Defensive rebound by K. Walker
2:58.0,,,46-51,3,N. Batum makes 3-pt shot from 25 ft (assist by A. Jefferson)
2:46.0,S. Larkin makes 2-pt shot from 8 ft,2,48-51,,
2:30.0,,,48-51,,A. Jefferson misses 2-pt shot from 1 ft
2:29.0,Defensive rebound by R. Hollis-Jefferson,,48-51,,
2:19.0,T. Robinson makes 2-pt shot from 6 ft (assist by S. Larkin),2,50-51,,
1:52.0,,,50-51,,F. Kaminsky misses 2-pt shot from 7 ft
1:51.0,Defensive rebound by T. Robinson,,50-51,,
1:43.0,S. Larkin misses 2-pt shot from 22 ft,,50-51,,
1:41.0,,,50-51,,Defensive rebound by J. Lin
1:34.0,Personal foul by T. Young (drawn by K. Walker),,50-51,,
1:34.0,Official timeout,,50-51,,
1:34.0,,,50-51,,J. Lamb enters the game for K. Walker
1:28.0,,,50-51,,Turnover by N. Batum (bad pass; steal by R. Hollis-Jefferson)
1:23.0,R. Hollis-Jefferson makes 2-pt shot at rim,2,52-51,,
1:09.0,Personal foul by T. Robinson (drawn by A. Jefferson),,52-51,,
1:09.0,,,52-51,,A. Jefferson misses free throw 1 of 2
1:09.0,,,52-51,,Offensive rebound by Team
1:09.0,,,52-52,1,A. Jefferson makes free throw 2 of 2
0:48.0,T. Young makes 2-pt shot from 17 ft (assist by R. Hollis-Jefferson),2,54-52,,
0:33.0,,,54-52,,J. Lin misses 3-pt shot from 25 ft
0:32.0,Defensive rebound by T. Young,,54-52,,
0:12.0,T. Robinson makes 2-pt shot from 11 ft (assist by S. Larkin),2,56-52,,
0:03.0,,,56-52,,Offensive foul by J. Lin
0:03.0,,,56-52,,Turnover by J. Lin (offensive foul)
0:03.0,Brooklyn full timeout,,56-52,,
0:03.0,,,56-52,,M. Williams enters the game for J. Lamb
0:03.0,B. Lopez enters the game for R. Hollis-Jefferson,,56-52,,
0:03.0,W. Ellington enters the game for T. Robinson,,56-52,,
0:00.0,B. Lopez misses 2-pt shot from 17 ft,,56-52,,
0:00.0,Offensive rebound by Team,,56-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,56-54,2,N. Batum makes 2-pt shot from 16 ft
11:33.0,R. Hollis-Jefferson misses 2-pt shot from 18 ft,,56-54,,
11:32.0,,,56-54,,Defensive rebound by C. Zeller
11:21.0,,,56-56,2,A. Jefferson makes 2-pt shot from 16 ft (assist by K. Walker)
11:08.0,J. Jack makes 2-pt shot from 7 ft,2,58-56,,
10:58.0,,,58-56,,Shooting foul by R. Hollis-Jefferson (drawn by N. Batum)
10:58.0,,,58-57,1,N. Batum makes free throw 1 of 2
10:58.0,,,58-58,1,N. Batum makes free throw 2 of 2
10:43.0,B. Lopez makes 2-pt shot at rim (assist by J. Johnson),2,60-58,,
10:26.0,,,60-61,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
10:06.0,R. Hollis-Jefferson misses 2-pt shot from 7 ft,,60-61,,
10:05.0,,,60-61,,Defensive rebound by A. Jefferson
9:55.0,,,60-64,3,N. Batum makes 3-pt shot from 24 ft (assist by K. Walker)
9:37.0,Shooting foul by A. Jefferson (drawn by B. Lopez),,60-64,,
9:37.0,B. Lopez makes free throw 1 of 2,1,61-64,,
9:37.0,B. Bogdanovic enters the game for R. Hollis-Jefferson,,61-64,,
9:37.0,B. Lopez makes free throw 2 of 2,1,62-64,,
9:15.0,,,62-64,,A. Jefferson misses 2-pt shot from 12 ft
9:13.0,Defensive rebound by B. Bogdanovic,,62-64,,
9:04.0,Shooting foul by C. Zeller (drawn by T. Young),,62-64,,
9:04.0,T. Young makes free throw 1 of 2,1,63-64,,
9:04.0,T. Young misses free throw 2 of 2,,63-64,,
9:03.0,,,63-64,,Defensive rebound by A. Jefferson
8:46.0,,,63-64,,K. Walker misses 2-pt shot from 3 ft (block by B. Lopez)
8:44.0,Defensive rebound by B. Lopez,,63-64,,
8:41.0,T. Young makes 2-pt shot from 1 ft (assist by J. Jack),2,65-64,,
8:27.0,,,65-67,3,K. Walker makes 3-pt shot from 24 ft
8:11.0,B. Lopez misses 2-pt shot from 13 ft,,65-67,,
8:10.0,,,65-67,,Defensive rebound by C. Zeller
8:00.0,,,65-67,,M. Williams misses 3-pt shot from 25 ft
8:00.0,,,65-67,,Offensive rebound by A. Jefferson
8:00.0,,,65-67,,Shooting foul by T. Young (drawn by A. Jefferson)
8:00.0,,,65-67,,A. Jefferson misses free throw 1 of 2
8:00.0,,,65-67,,Offensive rebound by Team
8:00.0,,,65-67,,A. Jefferson misses free throw 2 of 2
7:58.0,Defensive rebound by J. Jack,,65-67,,
7:48.0,B. Lopez misses 2-pt shot from 7 ft,,65-67,,
7:47.0,Offensive rebound by B. Lopez,,65-67,,
7:47.0,Shooting foul by A. Jefferson (drawn by B. Lopez),,65-67,,
7:47.0,B. Lopez makes free throw 1 of 2,1,66-67,,
7:47.0,B. Lopez misses free throw 2 of 2,,66-67,,
7:45.0,,,66-67,,Defensive rebound by C. Zeller
7:37.0,,,66-67,,Shooting foul by B. Lopez (drawn by K. Walker)
7:37.0,,,66-68,1,K. Walker makes free throw 1 of 2
7:37.0,,,66-69,1,K. Walker makes free throw 2 of 2
7:16.0,B. Lopez misses 2-pt shot from 4 ft (block by C. Zeller),,66-69,,
7:14.0,,,66-69,,Defensive rebound by A. Jefferson
7:14.0,Violation by J. Jack (kicked ball),,66-69,,
7:06.0,,,66-69,,Shooting foul by B. Bogdanovic (drawn by A. Jefferson)
7:06.0,,,66-70,1,A. Jefferson makes free throw 1 of 2
7:06.0,,,66-71,1,A. Jefferson makes free throw 2 of 2
6:55.0,B. Bogdanovic misses 2-pt shot from 17 ft (block by N. Batum),,66-71,,
6:53.0,,,66-71,,Defensive rebound by C. Zeller
6:43.0,,,66-71,,A. Jefferson misses 2-pt shot from 9 ft
6:42.0,Defensive rebound by J. Jack,,66-71,,
6:35.0,T. Young makes 2-pt shot at rim (assist by J. Jack),2,68-71,,
6:22.0,,,68-71,,Shooting foul by B. Lopez (drawn by K. Walker)
6:22.0,,,68-71,,K. Walker misses free throw 1 of 2
6:22.0,,,68-71,,Offensive rebound by Team
6:22.0,,,68-71,,K. Walker misses free throw 2 of 2
6:21.0,Defensive rebound by T. Young,,68-71,,
6:08.0,,,68-71,,Violation by K. Walker (kicked ball)
6:05.0,,,68-71,,Personal foul by K. Walker (drawn by J. Jack)
5:51.0,J. Johnson misses 2-pt shot from 10 ft,,68-71,,
5:49.0,Offensive rebound by B. Lopez,,68-71,,
5:45.0,T. Young makes 2-pt shot from 2 ft (assist by B. Lopez),2,70-71,,
5:26.0,,,70-71,,N. Batum misses 3-pt shot from 25 ft
5:25.0,Defensive rebound by T. Young,,70-71,,
5:14.0,T. Young makes 2-pt shot at rim,2,72-71,,
5:09.0,,,72-71,,Charlotte full timeout
5:00.0,,,72-71,,M. Williams misses 3-pt shot from 26 ft
4:58.0,Defensive rebound by B. Bogdanovic,,72-71,,
4:48.0,T. Young misses 2-pt shot from 2 ft,,72-71,,
4:47.0,,,72-71,,Defensive rebound by A. Jefferson
4:37.0,,,72-71,,F. Kaminsky enters the game for C. Zeller
4:25.0,,,72-73,2,F. Kaminsky makes 2-pt shot at rim (assist by K. Walker)
4:06.0,T. Young makes 2-pt shot from 17 ft (assist by J. Johnson),2,74-73,,
3:48.0,,,74-73,,Turnover by K. Walker (turnover)
3:48.0,,,74-73,,S. Hawes enters the game for A. Jefferson
3:48.0,,,74-73,,J. Lamb enters the game for M. Williams
3:32.0,B. Lopez misses 2-pt shot from 19 ft,,74-73,,
3:30.0,,,74-73,,Defensive rebound by F. Kaminsky
3:19.0,,,74-76,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by K. Walker)
3:06.0,T. Young makes 2-pt shot from 7 ft (assist by J. Jack),2,76-76,,
2:54.0,,,76-76,,J. Lamb misses 2-pt shot from 18 ft
2:52.0,Defensive rebound by J. Jack,,76-76,,
2:30.0,B. Lopez makes 2-pt shot from 1 ft (assist by J. Jack),2,78-76,,
2:16.0,,,78-76,,Turnover by F. Kaminsky (bad pass; steal by B. Bogdanovic)
2:14.0,Shooting foul by N. Batum (drawn by B. Bogdanovic),,78-76,,
2:14.0,Brooklyn full timeout,,78-76,,
2:14.0,,,78-76,,J. Lin enters the game for K. Walker
2:14.0,A. Bargnani enters the game for J. Johnson,,78-76,,
2:14.0,S. Larkin enters the game for B. Lopez,,78-76,,
2:14.0,W. Ellington enters the game for J. Jack,,78-76,,
2:14.0,B. Bogdanovic makes free throw 1 of 2,1,79-76,,
2:14.0,B. Bogdanovic makes free throw 2 of 2,1,80-76,,
2:03.0,,,80-76,,Shooting foul by A. Bargnani (drawn by N. Batum)
2:03.0,,,80-77,1,N. Batum makes free throw 1 of 2
2:03.0,,,80-78,1,N. Batum makes free throw 2 of 2
1:53.0,,,80-78,,Violation by S. Hawes (def goaltending)
1:53.0,T. Young makes 2-pt shot from 2 ft,2,82-78,,
1:32.0,,,82-80,2,J. Lamb makes 2-pt shot from 2 ft
1:13.0,A. Bargnani makes 2-pt shot from 13 ft (assist by S. Larkin),2,84-80,,
1:00.0,,,84-83,3,N. Batum makes 3-pt shot from 25 ft (assist by J. Lin)
0:47.0,A. Bargnani makes 2-pt shot from 18 ft (assist by S. Larkin),2,86-83,,
0:33.0,,,86-86,3,S. Hawes makes 3-pt shot from 23 ft (assist by F. Kaminsky)
0:18.0,A. Bargnani misses 2-pt shot from 17 ft,,86-86,,
0:17.0,,,86-86,,Defensive rebound by J. Lamb
0:03.0,,,86-86,,Turnover by J. Lin (step out of bounds)
0:00.0,S. Larkin misses 2-pt shot from 16 ft,,86-86,,
0:00.0,Offensive rebound by Team,,86-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,W. Ellington misses 2-pt shot from 20 ft,,86-86,,
11:46.0,,,86-86,,Defensive rebound by J. Lin
11:41.0,,,86-88,2,N. Batum makes 2-pt shot from 1 ft
11:29.0,T. Young misses 3-pt shot from 25 ft,,86-88,,
11:28.0,,,86-88,,Defensive rebound by J. Lin
11:14.0,,,86-88,,Offensive foul by M. Williams
11:14.0,,,86-88,,Turnover by M. Williams (offensive foul)
11:14.0,J. Johnson enters the game for T. Young,,86-88,,
10:51.0,A. Bargnani misses 3-pt shot from 25 ft,,86-88,,
10:50.0,,,86-88,,Defensive rebound by M. Williams
10:39.0,,,86-88,,Shooting foul by S. Larkin (drawn by J. Lin)
10:39.0,,,86-89,1,J. Lin makes free throw 1 of 2
10:39.0,T. Robinson enters the game for A. Bargnani,,86-89,,
10:39.0,,,86-90,1,J. Lin makes free throw 2 of 2
10:29.0,W. Ellington makes 2-pt shot from 19 ft (assist by S. Larkin),2,88-90,,
10:12.0,,,88-92,2,J. Lin makes 2-pt shot from 2 ft (assist by N. Batum)
9:56.0,Turnover by J. Johnson (bad pass; steal by J. Lin),,88-92,,
9:51.0,,,88-92,,Turnover by J. Lin (lost ball; steal by S. Larkin)
9:51.0,Turnover by S. Larkin (turnover),,88-92,,
9:41.0,,,88-94,2,J. Lin makes 2-pt shot from 2 ft
9:26.0,S. Larkin makes 2-pt shot from 8 ft,2,90-94,,
9:15.0,,,90-94,,Shooting foul by R. Hollis-Jefferson (drawn by N. Batum)
9:15.0,,,90-95,1,N. Batum makes free throw 1 of 3
9:15.0,,,90-96,1,N. Batum makes free throw 2 of 3
9:15.0,J. Jack enters the game for R. Hollis-Jefferson,,90-96,,
9:15.0,,,90-97,1,N. Batum makes free throw 3 of 3
8:50.0,T. Robinson misses 2-pt shot from 6 ft,,90-97,,
8:49.0,,,90-97,,Defensive rebound by S. Hawes
8:40.0,,,90-97,,Shooting foul by W. Ellington (drawn by J. Lamb)
8:40.0,Official timeout,,90-97,,
8:40.0,B. Lopez enters the game for T. Robinson,,90-97,,
8:40.0,M. Brown enters the game for W. Ellington,,90-97,,
8:40.0,,,90-98,1,J. Lamb makes free throw 1 of 2
8:40.0,,,90-99,1,J. Lamb makes free throw 2 of 2
8:29.0,J. Jack makes 2-pt shot from 19 ft,2,92-99,,
8:05.0,,,92-99,,J. Lamb misses 2-pt shot from 17 ft
8:03.0,,,92-99,,Offensive rebound by M. Williams
7:59.0,,,92-99,,J. Lamb misses 3-pt shot from 24 ft
7:58.0,Defensive rebound by J. Johnson,,92-99,,
7:47.0,J. Jack makes 2-pt shot from 1 ft,2,94-99,,
7:32.0,,,94-99,,Shooting foul by J. Jack (drawn by J. Lin)
7:32.0,,,94-99,,J. Lin misses free throw 1 of 2
7:32.0,,,94-99,,Offensive rebound by Team
7:32.0,,,94-100,1,J. Lin makes free throw 2 of 2
7:20.0,B. Lopez makes 2-pt shot from 20 ft (assist by J. Jack),2,96-100,,
7:01.0,,,96-100,,A. Jefferson enters the game for S. Hawes
7:01.0,,,96-100,,K. Walker enters the game for J. Lamb
6:53.0,,,96-100,,N. Batum misses 3-pt shot from 26 ft
6:52.0,Defensive rebound by J. Jack,,96-100,,
6:48.0,M. Brown misses 2-pt shot from 1 ft (block by N. Batum),,96-100,,
6:45.0,,,96-100,,Defensive rebound by A. Jefferson
6:36.0,,,96-100,,A. Jefferson misses 2-pt shot from 7 ft
6:34.0,Defensive rebound by S. Larkin,,96-100,,
6:29.0,,,96-100,,Personal foul by J. Lin (drawn by S. Larkin)
6:15.0,J. Jack makes 3-pt shot from 25 ft,3,99-100,,
5:57.0,,,99-102,2,A. Jefferson makes 2-pt shot from 1 ft (assist by N. Batum)
5:52.0,Turnover by J. Jack (bad pass; steal by M. Williams),,99-102,,
5:45.0,,,99-102,,J. Lin misses 3-pt shot from 25 ft
5:42.0,,,99-102,,Offensive rebound by M. Williams
5:41.0,,,99-102,,M. Williams misses 2-pt shot from 1 ft
5:41.0,,,99-102,,Offensive rebound by M. Williams
5:41.0,,,99-104,2,M. Williams makes 2-pt shot from 1 ft
5:41.0,Brooklyn full timeout,,99-104,,
5:21.0,J. Johnson makes 2-pt shot from 17 ft (assist by B. Lopez),2,101-104,,
5:07.0,,,101-106,2,A. Jefferson makes 2-pt shot at rim (assist by N. Batum)
4:45.0,M. Brown misses 2-pt shot from 1 ft,,101-106,,
4:44.0,,,101-106,,Defensive rebound by J. Lin
4:29.0,,,101-106,,A. Jefferson misses 2-pt shot from 7 ft
4:26.0,Defensive rebound by J. Johnson,,101-106,,
4:23.0,Shooting foul by A. Jefferson (drawn by J. Johnson),,101-106,,
4:23.0,J. Johnson makes free throw 1 of 2,1,102-106,,
4:23.0,T. Young enters the game for M. Brown,,102-106,,
4:23.0,J. Johnson misses free throw 2 of 2,,102-106,,
4:19.0,Offensive rebound by T. Young,,102-106,,
4:03.0,T. Young misses 2-pt shot from 8 ft,,102-106,,
4:01.0,Offensive rebound by S. Larkin,,102-106,,
3:58.0,B. Lopez misses 2-pt shot from 7 ft,,102-106,,
3:58.0,,,102-106,,Defensive rebound by M. Williams
3:58.0,Personal foul by T. Young (drawn by M. Williams),,102-106,,
