time,Washington,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,34-28,,S. Kilpatrick misses 2-pt shot from 16 ft
11:35.0,Defensive rebound by J. Eddie,,34-28,,
11:19.0,J. Eddie makes 3-pt shot from 24 ft (assist by G. Temple),3,37-28,,
10:57.0,,,37-28,,H. Sims misses 2-pt shot from 10 ft
10:56.0,Defensive rebound by J. Eddie,,37-28,,
10:52.0,K. Oubre makes 2-pt shot from 2 ft,2,39-28,,
10:52.0,Shooting foul by D. Sloan (drawn by K. Oubre),,39-28,,
10:52.0,,,39-28,,W. Ellington enters the game for D. Sloan
10:52.0,,,39-28,,S. Larkin enters the game for M. Brown
10:52.0,K. Oubre makes free throw 1 of 1,1,40-28,,
10:34.0,,,40-28,,W. Ellington misses 2-pt shot from 19 ft
10:33.0,,,40-28,,Offensive rebound by S. Larkin
10:24.0,,,40-31,3,W. Ellington makes 3-pt shot from 24 ft (assist by S. Kilpatrick)
10:10.0,Shooting foul by H. Sims (drawn by J. Hickson),,40-31,,
10:10.0,J. Hickson makes free throw 1 of 2,1,41-31,,
10:10.0,J. Hickson makes free throw 2 of 2,1,42-31,,
10:01.0,,,42-31,,H. Sims misses 2-pt shot from 1 ft
10:00.0,Defensive rebound by J. Hickson,,42-31,,
9:55.0,J. Hickson makes 2-pt shot at rim,2,44-31,,
9:54.0,,,44-31,,Brooklyn full timeout
9:40.0,,,44-31,,W. Ellington misses 2-pt shot from 20 ft
9:39.0,Defensive rebound by G. Temple,,44-31,,
9:36.0,Turnover by J. Hickson (offensive goaltending),,44-31,,
9:25.0,,,44-34,3,S. Kilpatrick makes 3-pt shot from 23 ft (assist by S. Larkin)
9:10.0,J. Hickson misses 2-pt shot from 11 ft,,44-34,,
9:09.0,,,44-34,,Defensive rebound by H. Sims
9:01.0,,,44-36,2,S. Larkin makes 2-pt shot from 2 ft
8:47.0,A. Anderson makes 2-pt shot from 2 ft,2,46-36,,
8:35.0,,,46-38,2,H. Sims makes 2-pt shot at rim (assist by S. Larkin)
8:14.0,G. Temple misses 2-pt shot from 3 ft (block by S. Kilpatrick),,46-38,,
8:13.0,Offensive rebound by Team,,46-38,,
8:11.0,K. Oubre makes 2-pt shot from 2 ft (assist by A. Anderson),2,48-38,,
7:57.0,,,48-41,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by S. Larkin)
7:48.0,,,48-41,,Personal foul by S. Larkin
7:48.0,J. Dudley enters the game for A. Anderson,,48-41,,
7:42.0,J. Eddie makes 2-pt shot from 20 ft,2,50-41,,
7:34.0,,,50-43,2,S. Larkin makes 2-pt shot from 1 ft
7:18.0,J. Dudley misses 2-pt shot from 19 ft,,50-43,,
7:17.0,Offensive rebound by J. Hickson,,50-43,,
7:16.0,,,50-43,,Personal foul by W. Ellington
7:16.0,J. Hickson misses free throw 1 of 2,,50-43,,
7:16.0,Offensive rebound by Team,,50-43,,
7:16.0,J. Hickson makes free throw 2 of 2,1,51-43,,
6:59.0,,,51-43,,W. Ellington misses 3-pt shot from 23 ft
6:58.0,Defensive rebound by J. Dudley,,51-43,,
6:45.0,J. Eddie misses 3-pt shot from 22 ft,,51-43,,
6:44.0,,,51-43,,Defensive rebound by B. Bogdanovic
6:29.0,,,51-46,3,S. Larkin makes 3-pt shot from 24 ft
6:21.0,J. Eddie misses 2-pt shot from 3 ft,,51-46,,
6:20.0,,,51-46,,Defensive rebound by H. Sims
6:14.0,,,51-48,2,S. Larkin makes 2-pt shot from 2 ft
6:07.0,Washington full timeout,,51-48,,
6:07.0,M. Gortat enters the game for J. Hickson,,51-48,,
6:07.0,R. Sessions enters the game for G. Temple,,51-48,,
6:07.0,,,51-48,,C. McCullough enters the game for H. Sims
5:55.0,J. Eddie makes 2-pt shot from 19 ft (assist by J. Dudley),2,53-48,,
5:45.0,,,53-50,2,S. Kilpatrick makes 2-pt shot from 2 ft
5:45.0,,,53-50,,Shooting foul by K. Oubre (drawn by S. Kilpatrick)
5:45.0,,,53-50,,S. Kilpatrick misses free throw 1 of 1
5:44.0,Defensive rebound by M. Gortat,,53-50,,
5:23.0,R. Sessions misses 2-pt shot from 11 ft,,53-50,,
5:22.0,,,53-50,,Defensive rebound by C. McCullough
5:16.0,,,53-50,,Turnover by S. Larkin (lost ball; steal by J. Eddie)
5:06.0,J. Eddie misses 3-pt shot from 24 ft,,53-50,,
5:06.0,Offensive rebound by M. Gortat,,53-50,,
5:02.0,J. Eddie misses 2-pt shot from 1 ft,,53-50,,
5:01.0,Offensive rebound by J. Dudley,,53-50,,
5:00.0,J. Dudley makes 2-pt shot from 1 ft,2,55-50,,
4:44.0,,,55-50,,S. Kilpatrick misses 3-pt shot from 23 ft
4:43.0,Defensive rebound by J. Eddie,,55-50,,
4:36.0,Turnover by R. Sessions (bad pass),,55-50,,
4:36.0,,,55-50,,M. Brown enters the game for S. Kilpatrick
4:36.0,O. Porter enters the game for K. Oubre,,55-50,,
4:36.0,M. Thornton enters the game for J. Eddie,,55-50,,
4:36.0,Violation by Team (delay of game),,55-50,,
4:23.0,,,55-50,,W. Ellington misses 3-pt shot from 24 ft
4:22.0,,,55-50,,Offensive rebound by M. Brown
4:18.0,,,55-53,3,B. Bogdanovic makes 3-pt shot from 29 ft
4:11.0,M. Gortat misses 2-pt shot from 2 ft,,55-53,,
4:10.0,,,55-53,,Defensive rebound by B. Bogdanovic
4:06.0,,,55-55,2,B. Bogdanovic makes 2-pt shot from 2 ft
4:06.0,,,55-55,,Shooting foul by O. Porter (drawn by B. Bogdanovic)
4:06.0,,,55-56,1,B. Bogdanovic makes free throw 1 of 1
3:54.0,R. Sessions makes 2-pt shot from 2 ft,2,57-56,,
3:32.0,,,57-56,,B. Bogdanovic misses 2-pt shot from 18 ft
3:31.0,Defensive rebound by M. Gortat,,57-56,,
3:25.0,Turnover by R. Sessions (lost ball; steal by W. Ellington),,57-56,,
3:22.0,,,57-58,2,W. Ellington makes 2-pt shot at rim
3:04.0,J. Dudley makes 2-pt shot from 3 ft (assist by R. Sessions),2,59-58,,
2:44.0,,,59-58,,C. McCullough misses 3-pt shot from 25 ft
2:43.0,Defensive rebound by J. Dudley,,59-58,,
2:33.0,O. Porter misses 3-pt shot from 23 ft,,59-58,,
2:32.0,Offensive rebound by Team,,59-58,,
2:32.0,Official timeout,,59-58,,
2:32.0,,,59-58,,D. Sloan enters the game for S. Larkin
2:32.0,,,59-58,,R. Hollis-Jefferson enters the game for B. Bogdanovic
2:32.0,K. Oubre enters the game for O. Porter,,59-58,,
2:20.0,J. Dudley makes 2-pt shot from 2 ft (assist by R. Sessions),2,61-58,,
1:58.0,,,61-58,,Shooting foul by M. Thornton (drawn by C. McCullough)
1:58.0,,,61-58,,C. McCullough misses free throw 1 of 2
1:58.0,,,61-58,,Offensive rebound by Team
1:58.0,A. Anderson enters the game for J. Dudley,,61-58,,
1:58.0,,,61-59,1,C. McCullough makes free throw 2 of 2
1:35.0,Shooting foul by C. McCullough (drawn by M. Gortat),,61-59,,
1:35.0,M. Gortat misses free throw 1 of 2,,61-59,,
1:35.0,Offensive rebound by Team,,61-59,,
1:35.0,,,61-59,,H. Sims enters the game for C. McCullough
1:35.0,M. Gortat makes free throw 2 of 2,1,62-59,,
1:18.0,,,62-61,2,R. Hollis-Jefferson makes 2-pt shot from 17 ft
1:04.0,K. Oubre misses 3-pt shot from 26 ft,,62-61,,
1:03.0,,,62-61,,Defensive rebound by W. Ellington
1:00.0,,,62-63,2,M. Brown makes 2-pt shot at rim
0:55.0,M. Thornton makes 3-pt shot from 25 ft (assist by R. Sessions),3,65-63,,
0:45.0,,,65-65,2,R. Hollis-Jefferson makes 2-pt shot from 13 ft (assist by D. Sloan)
0:38.0,K. Oubre makes 2-pt shot at rim (assist by A. Anderson),2,67-65,,
0:30.0,,,67-67,2,H. Sims makes 2-pt shot from 1 ft (assist by D. Sloan)
0:08.0,M. Thornton misses 3-pt shot from 25 ft,,67-67,,
0:06.0,,,67-67,,Defensive rebound by D. Sloan
0:01.0,,,67-69,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by D. Sloan)
0:00.0,K. Oubre makes 3-pt shot from 31 ft (assist by M. Gortat),3,70-69,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,70-71,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by S. Larkin)
11:26.0,Turnover by R. Sessions (lost ball; steal by H. Sims),,70-71,,
11:24.0,,,70-71,,Turnover by H. Sims (lost ball; steal by R. Sessions)
11:21.0,,,70-71,,Personal foul by S. Larkin
11:21.0,O. Porter makes free throw 1 of 2,1,71-71,,
11:21.0,O. Porter makes free throw 2 of 2,1,72-71,,
10:56.0,,,72-71,,H. Sims misses 2-pt shot from 16 ft
10:55.0,Defensive rebound by Team,,72-71,,
10:41.0,Turnover by O. Porter (lost ball; steal by W. Ellington),,72-71,,
10:30.0,,,72-71,,C. McCullough misses 2-pt shot from 18 ft
10:29.0,Defensive rebound by O. Porter,,72-71,,
10:14.0,M. Thornton makes 3-pt shot from 25 ft (assist by J. Dudley),3,75-71,,
9:48.0,,,75-71,,W. Ellington misses 2-pt shot from 19 ft
9:47.0,Defensive rebound by R. Sessions,,75-71,,
9:43.0,,,75-71,,Personal foul by H. Sims
9:43.0,,,75-71,,Brooklyn full timeout
9:43.0,R. Sessions makes free throw 1 of 2,1,76-71,,
9:43.0,R. Sessions makes free throw 2 of 2,1,77-71,,
9:23.0,,,77-74,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by W. Ellington)
9:07.0,Turnover by M. Thornton (lost ball; steal by C. McCullough),,77-74,,
9:02.0,,,77-74,,C. McCullough misses 2-pt shot from 1 ft
9:01.0,,,77-74,,Offensive rebound by C. McCullough
8:57.0,,,77-76,2,C. McCullough makes 2-pt shot from 2 ft
8:51.0,R. Sessions misses 2-pt shot from 1 ft (block by H. Sims),,77-76,,
8:50.0,,,77-76,,Defensive rebound by S. Larkin
8:46.0,,,77-78,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by S. Larkin)
8:25.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Dudley),2,79-78,,
8:05.0,,,79-80,2,S. Larkin makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
7:54.0,R. Sessions misses 3-pt shot from 24 ft,,79-80,,
7:53.0,,,79-80,,Defensive rebound by H. Sims
7:47.0,,,79-82,2,S. Larkin makes 2-pt shot from 1 ft
7:47.0,Washington full timeout,,79-82,,
7:28.0,Turnover by M. Thornton (bad pass),,79-82,,
7:15.0,Personal foul by M. Gortat,,79-82,,
7:07.0,,,79-85,3,S. Larkin makes 3-pt shot from 26 ft
6:47.0,M. Gortat makes 2-pt shot from 15 ft,2,81-85,,
6:26.0,,,81-85,,B. Bogdanovic misses 2-pt shot from 7 ft
6:25.0,Defensive rebound by Team,,81-85,,
6:25.0,,,81-85,,Loose ball foul by H. Sims
6:04.0,M. Thornton misses 3-pt shot from 23 ft,,81-85,,
6:03.0,,,81-85,,Defensive rebound by S. Larkin
5:55.0,,,81-87,2,S. Larkin makes 2-pt shot from 18 ft
5:44.0,M. Gortat makes 2-pt shot at rim (assist by R. Sessions),2,83-87,,
5:33.0,,,83-87,,Turnover by B. Bogdanovic (lost ball; steal by O. Porter)
5:27.0,M. Thornton makes 2-pt shot at rim (assist by R. Sessions),2,85-87,,
5:04.0,,,85-87,,W. Ellington misses 3-pt shot from 26 ft
5:03.0,Defensive rebound by M. Gortat,,85-87,,
4:55.0,J. Dudley misses 3-pt shot from 24 ft,,85-87,,
4:54.0,,,85-87,,Defensive rebound by W. Ellington
4:51.0,,,85-89,2,C. McCullough makes 2-pt shot at rim (assist by W. Ellington)
4:41.0,,,85-89,,S. Kilpatrick enters the game for C. McCullough
4:41.0,,,85-89,,M. Brown enters the game for W. Ellington
4:41.0,,,85-89,,R. Hollis-Jefferson enters the game for B. Bogdanovic
4:41.0,A. Anderson enters the game for O. Porter,,85-89,,
4:37.0,M. Thornton misses 2-pt shot from 10 ft,,85-89,,
4:36.0,Offensive rebound by M. Thornton,,85-89,,
4:35.0,Shooting foul by H. Sims (drawn by M. Thornton),,85-89,,
4:35.0,M. Thornton makes free throw 1 of 2,1,86-89,,
4:35.0,,,86-89,,D. Sloan enters the game for H. Sims
4:35.0,,,86-89,,C. McCullough enters the game for S. Larkin
4:35.0,M. Thornton makes free throw 2 of 2,1,87-89,,
4:17.0,,,87-91,2,S. Kilpatrick makes 2-pt shot from 18 ft (assist by M. Brown)
4:08.0,Shooting foul by D. Sloan (drawn by R. Sessions),,87-91,,
4:08.0,R. Sessions makes free throw 1 of 2,1,88-91,,
4:08.0,,,88-91,,B. Bogdanovic enters the game for C. McCullough
4:08.0,R. Sessions makes free throw 2 of 2,1,89-91,,
3:51.0,,,89-91,,S. Kilpatrick misses 3-pt shot from 27 ft
3:50.0,Defensive rebound by M. Thornton,,89-91,,
3:48.0,A. Anderson misses 2-pt shot from 2 ft (block by M. Brown),,89-91,,
3:47.0,Offensive rebound by Team,,89-91,,
3:47.0,K. Oubre enters the game for J. Dudley,,89-91,,
3:32.0,Turnover by K. Oubre (lost ball; steal by S. Kilpatrick),,89-91,,
3:27.0,,,89-93,2,B. Bogdanovic makes 2-pt shot at rim (assist by M. Brown)
3:14.0,A. Anderson makes 2-pt shot from 14 ft (assist by R. Sessions),2,91-93,,
3:05.0,G. Temple enters the game for M. Thornton,,91-93,,
3:01.0,,,91-93,,M. Brown misses 2-pt shot from 16 ft
3:00.0,Defensive rebound by R. Sessions,,91-93,,
2:55.0,K. Oubre makes 2-pt shot at rim (assist by R. Sessions),2,93-93,,
2:55.0,Shooting foul by B. Bogdanovic (drawn by K. Oubre),,93-93,,
2:55.0,J. Hickson enters the game for M. Gortat,,93-93,,
2:55.0,K. Oubre misses free throw 1 of 1,,93-93,,
2:54.0,,,93-93,,Defensive rebound by S. Kilpatrick
2:42.0,,,93-93,,S. Kilpatrick misses 2-pt shot from 22 ft
2:41.0,Defensive rebound by G. Temple,,93-93,,
2:28.0,R. Sessions makes 2-pt shot from 1 ft,2,95-93,,
2:28.0,Shooting foul by M. Brown (drawn by R. Sessions),,95-93,,
2:28.0,R. Sessions makes free throw 1 of 1,1,96-93,,
2:09.0,,,96-93,,M. Brown misses 2-pt shot from 7 ft
2:07.0,Defensive rebound by K. Oubre,,96-93,,
1:59.0,A. Anderson misses 2-pt shot from 1 ft (block by R. Hollis-Jefferson),,96-93,,
1:57.0,,,96-93,,Defensive rebound by R. Hollis-Jefferson
1:54.0,,,96-93,,D. Sloan misses 2-pt shot from 1 ft
1:53.0,,,96-93,,Offensive rebound by Team
1:53.0,Personal foul by A. Anderson,,96-93,,
1:43.0,,,96-93,,R. Hollis-Jefferson misses 2-pt shot from 19 ft
1:42.0,Defensive rebound by K. Oubre,,96-93,,
1:37.0,Shooting foul by B. Bogdanovic (drawn by R. Sessions),,96-93,,
1:37.0,R. Sessions makes free throw 1 of 2,1,97-93,,
1:37.0,,,97-93,,Brooklyn full timeout
1:37.0,R. Sessions makes free throw 2 of 2,1,98-93,,
1:23.0,,,98-93,,M. Brown misses 2-pt shot from 3 ft (block by J. Hickson)
1:21.0,Defensive rebound by R. Sessions,,98-93,,
1:16.0,Turnover by R. Sessions (lost ball; steal by B. Bogdanovic),,98-93,,
1:12.0,,,98-93,,S. Kilpatrick misses 2-pt shot from 1 ft
1:11.0,Defensive rebound by K. Oubre,,98-93,,
1:05.0,K. Oubre misses 2-pt shot from 1 ft,,98-93,,
1:04.0,,,98-93,,Defensive rebound by D. Sloan
1:00.0,,,98-93,,Shooting foul by R. Sessions (drawn by S. Kilpatrick)
1:00.0,,,98-93,,S. Kilpatrick misses free throw 1 of 2
1:00.0,,,98-93,,Offensive rebound by Team
1:00.0,J. Eddie enters the game for R. Sessions,,98-93,,
1:00.0,,,98-93,,S. Larkin enters the game for B. Bogdanovic
1:00.0,,,98-94,1,S. Kilpatrick makes free throw 2 of 2
0:42.0,A. Anderson misses 2-pt shot from 5 ft (block by R. Hollis-Jefferson),,98-94,,
0:42.0,,,98-94,,Defensive rebound by Team
0:42.0,Jump ball: A. Anderson vs. R. Hollis-Jefferson (S. Kilpatrick gains possession),,,,Jump ball: A. Anderson vs. R. Hollis-Jefferson (S. Kilpatrick gains possession)
0:34.0,,,98-96,2,D. Sloan makes 2-pt shot from 8 ft
0:12.0,Turnover by G. Temple (lost ball; steal by R. Hollis-Jefferson),,98-96,,
0:09.0,,,98-98,2,S. Kilpatrick makes 2-pt shot at rim (assist by D. Sloan)
0:02.0,Shooting foul by R. Hollis-Jefferson (drawn by G. Temple),,98-98,,
0:02.0,G. Temple makes free throw 1 of 2,1,99-98,,
0:02.0,G. Temple makes free throw 2 of 2,1,100-98,,
0:01.0,,,100-98,,S. Larkin misses 2-pt shot from 2 ft
0:00.0,,,100-98,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,G. Temple makes 3-pt shot from 24 ft (assist by A. Anderson),3,103-98,,
11:28.0,,,103-98,,Turnover by S. Larkin (dbl dribble)
11:15.0,J. Eddie misses 2-pt shot from 19 ft,,103-98,,
11:14.0,,,103-98,,Defensive rebound by M. Brown
11:08.0,,,103-98,,S. Kilpatrick misses 3-pt shot from 24 ft
11:07.0,,,103-98,,Offensive rebound by S. Larkin
11:06.0,Personal foul by K. Oubre,,103-98,,
10:55.0,,,103-98,,Turnover by S. Larkin (bad pass)
10:36.0,A. Anderson misses 2-pt shot from 12 ft,,103-98,,
10:35.0,,,103-98,,Defensive rebound by R. Hollis-Jefferson
10:30.0,,,103-100,2,M. Brown makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson)
10:07.0,G. Temple misses 2-pt shot from 20 ft,,103-100,,
10:05.0,,,103-100,,Defensive rebound by S. Kilpatrick
9:57.0,,,103-100,,H. Sims misses 2-pt shot from 2 ft
9:56.0,Defensive rebound by J. Hickson,,103-100,,
9:36.0,K. Oubre misses 3-pt shot from 24 ft,,103-100,,
9:35.0,,,103-100,,Defensive rebound by S. Larkin
9:24.0,,,103-100,,R. Hollis-Jefferson misses 2-pt shot from 17 ft
9:23.0,Defensive rebound by J. Hickson,,103-100,,
9:10.0,J. Eddie misses 3-pt shot from 25 ft,,103-100,,
9:09.0,,,103-100,,Defensive rebound by S. Larkin
9:03.0,,,103-100,,Shooting foul by J. Hickson (drawn by S. Larkin)
9:03.0,,,103-100,,S. Larkin misses free throw 1 of 2
9:03.0,,,103-100,,Offensive rebound by Team
9:03.0,,,103-100,,W. Ellington enters the game for S. Kilpatrick
9:03.0,,,103-100,,B. Bogdanovic enters the game for M. Brown
9:03.0,M. Thornton enters the game for A. Anderson,,103-100,,
9:03.0,,,103-100,,C. McCullough enters the game for R. Hollis-Jefferson
9:03.0,,,103-100,,S. Larkin misses free throw 2 of 2
9:02.0,Defensive rebound by M. Thornton,,103-100,,
8:39.0,J. Hickson makes 2-pt shot at rim,2,105-100,,
8:27.0,,,105-100,,Turnover by B. Bogdanovic (lost ball; steal by K. Oubre)
8:12.0,K. Oubre misses 2-pt shot from 2 ft,,105-100,,
8:11.0,,,105-100,,Defensive rebound by H. Sims
8:02.0,,,105-100,,W. Ellington misses 3-pt shot from 23 ft
8:01.0,Defensive rebound by J. Eddie,,105-100,,
7:53.0,M. Thornton makes 2-pt shot from 17 ft,2,107-100,,
7:53.0,,,107-100,,Brooklyn full timeout
