time,Boston,pts.away,score,pts.home,Houston
0:37.0,,,21-25,,C. Capela misses 2-pt shot from 7 ft
0:36.0,Defensive rebound by D. Lee,,21-25,,
0:30.0,I. Thomas makes 3-pt shot from 24 ft (assist by E. Turner),3,24-25,,
0:09.0,,,24-28,3,C. Brewer makes 3-pt shot from 25 ft
0:03.0,Turnover by E. Turner (lost ball; steal by C. Brewer),,24-28,,
0:00.0,,,24-28,,C. Brewer misses 3-pt shot from 59 ft
0:00.0,,,24-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,A. Bradley misses 2-pt shot from 1 ft (block by C. Capela),,24-28,,
11:38.0,,,24-28,,Defensive rebound by J. Terry
11:32.0,,,24-28,,C. Brewer misses 2-pt shot from 2 ft
11:31.0,,,24-28,,Offensive rebound by C. Capela
11:31.0,,,24-30,2,C. Capela makes 2-pt shot at rim
11:13.0,A. Bradley misses 3-pt shot from 23 ft,,24-30,,
11:12.0,,,24-30,,Defensive rebound by M. Harrell
11:11.0,Personal foul by K. Olynyk (drawn by M. Harrell),,24-30,,
11:11.0,Technical foul by K. Olynyk (drawn by M. Harrell),,24-30,,
11:11.0,,,24-31,1,J. Terry makes technical free throw
11:11.0,,,24-31,,T. Ariza enters the game for J. Terry
11:00.0,,,24-31,,C. Brewer misses 2-pt shot from 1 ft
11:00.0,,,24-31,,Offensive rebound by C. Capela
11:00.0,,,24-31,,Shooting foul by D. Lee (drawn by C. Capela)
11:00.0,,,24-31,,C. Capela misses free throw 1 of 2
11:00.0,,,24-31,,Offensive rebound by Team
11:00.0,,,24-31,,C. Capela misses free throw 2 of 2
11:00.0,Defensive rebound by E. Turner,,24-31,,
10:51.0,K. Olynyk misses 3-pt shot from 27 ft,,24-31,,
10:50.0,,,24-31,,Defensive rebound by T. Lawson
10:40.0,,,24-33,2,M. Harrell makes 2-pt shot from 17 ft (assist by T. Lawson)
10:17.0,K. Olynyk makes 3-pt shot from 23 ft (assist by I. Thomas),3,27-33,,
10:05.0,,,27-35,2,M. Harrell makes 2-pt shot from 2 ft (assist by T. Lawson)
10:04.0,,,27-35,,D. Howard enters the game for C. Capela
10:04.0,T. Zeller enters the game for D. Lee,,27-35,,
10:04.0,Turnover by K. Olynyk (inbound),,27-35,,
9:51.0,,,27-37,2,C. Brewer makes 2-pt shot from 8 ft
9:42.0,K. Olynyk misses 3-pt shot from 24 ft,,27-37,,
9:41.0,,,27-37,,Defensive rebound by C. Brewer
9:27.0,,,27-39,2,T. Ariza makes 2-pt shot from 5 ft (assist by D. Howard)
9:27.0,,,27-39,,Shooting foul by T. Zeller (drawn by T. Ariza)
9:27.0,,,27-39,,T. Jones enters the game for M. Harrell
9:27.0,,,27-40,1,T. Ariza makes free throw 1 of 1
9:06.0,Turnover by E. Turner (lost ball; steal by C. Brewer),,27-40,,
9:02.0,,,27-42,2,T. Lawson makes 2-pt shot from 1 ft
9:02.0,Boston full timeout,,27-42,,
9:02.0,J. Sullinger enters the game for E. Turner,,27-42,,
9:02.0,R. Hunter enters the game for A. Bradley,,27-42,,
9:02.0,M. Smart enters the game for K. Olynyk,,27-42,,
8:43.0,J. Sullinger misses 2-pt shot from 19 ft,,27-42,,
8:41.0,,,27-42,,Defensive rebound by T. Ariza
8:29.0,,,27-42,,C. Brewer misses 2-pt shot from 18 ft
8:28.0,,,27-42,,Offensive rebound by D. Howard
8:19.0,,,27-42,,T. Ariza misses 3-pt shot from 25 ft
8:19.0,Defensive rebound by I. Thomas,,27-42,,
8:10.0,T. Zeller makes 2-pt shot from 1 ft (assist by I. Thomas),2,29-42,,
7:57.0,,,29-42,,Shooting foul by M. Smart (drawn by T. Lawson)
7:57.0,,,29-42,,T. Lawson misses free throw 1 of 2
7:57.0,,,29-42,,Offensive rebound by Team
7:57.0,,,29-43,1,T. Lawson makes free throw 2 of 2
7:38.0,M. Smart misses 3-pt shot from 26 ft,,29-43,,
7:37.0,Offensive rebound by J. Sullinger,,29-43,,
7:32.0,I. Thomas makes 3-pt shot from 23 ft (assist by J. Sullinger),3,32-43,,
7:15.0,Personal foul by J. Sullinger (drawn by D. Howard),,32-43,,
7:15.0,,,32-43,,J. Harden enters the game for C. Brewer
7:15.0,,,32-44,1,D. Howard makes free throw 1 of 2
7:15.0,,,32-44,,J. Terry enters the game for T. Lawson
7:15.0,,,32-44,,D. Howard misses free throw 2 of 2
7:15.0,Defensive rebound by M. Smart,,32-44,,
7:04.0,T. Zeller makes 2-pt shot from 5 ft,2,34-44,,
6:53.0,,,34-44,,Turnover by T. Ariza (lost ball; steal by R. Hunter)
6:48.0,I. Thomas makes 2-pt shot from 1 ft (assist by M. Smart),2,36-44,,
6:33.0,,,36-44,,Turnover by J. Terry (bad pass; steal by M. Smart)
6:29.0,Shooting foul by J. Terry (drawn by M. Smart),,36-44,,
6:29.0,M. Smart misses free throw 1 of 2,,36-44,,
6:29.0,Offensive rebound by Team,,36-44,,
6:29.0,M. Smart makes free throw 2 of 2,1,37-44,,
6:06.0,,,37-44,,J. Terry misses 3-pt shot from 23 ft
6:06.0,Defensive rebound by Team,,37-44,,
5:44.0,Shooting foul by J. Harden (drawn by T. Zeller),,37-44,,
5:44.0,Boston full timeout,,37-44,,
5:44.0,T. Zeller makes free throw 1 of 2,1,38-44,,
5:44.0,T. Zeller misses free throw 2 of 2,,38-44,,
5:44.0,,,38-44,,Defensive rebound by D. Howard
5:24.0,,,38-44,,T. Jones misses 2-pt shot from 3 ft (block by J. Sullinger)
5:24.0,Defensive rebound by Team,,38-44,,
5:07.0,R. Hunter misses 3-pt shot from 24 ft,,38-44,,
5:05.0,,,38-44,,Defensive rebound by T. Ariza
5:02.0,,,38-46,2,T. Jones makes 2-pt shot from 2 ft (assist by J. Terry)
5:02.0,,,38-46,,Shooting foul by R. Hunter (drawn by T. Jones)
5:02.0,J. Crowder enters the game for I. Thomas,,38-46,,
5:02.0,,,38-47,1,T. Jones makes free throw 1 of 1
4:46.0,M. Smart misses 2-pt shot from 17 ft,,38-47,,
4:46.0,,,38-47,,Defensive rebound by Team
4:36.0,,,38-47,,Shooting foul by M. Smart (drawn by J. Harden)
4:36.0,,,38-48,1,J. Harden makes free throw 1 of 2
4:36.0,,,38-48,,T. Lawson enters the game for J. Terry
4:36.0,,,38-48,,C. Brewer enters the game for T. Ariza
4:36.0,A. Bradley enters the game for R. Hunter,,38-48,,
4:36.0,,,38-49,1,J. Harden makes free throw 2 of 2
4:23.0,M. Smart misses 3-pt shot from 27 ft,,38-49,,
4:23.0,,,38-49,,Defensive rebound by D. Howard
4:21.0,,,38-49,,Turnover by D. Howard (bad pass; steal by T. Zeller)
4:17.0,T. Zeller misses 2-pt shot from 13 ft,,38-49,,
4:16.0,,,38-49,,Defensive rebound by D. Howard
4:06.0,,,38-49,,J. Harden misses 3-pt shot from 24 ft
4:06.0,Defensive rebound by T. Zeller,,38-49,,
3:57.0,J. Sullinger makes 2-pt shot from 2 ft (assist by M. Smart),2,40-49,,
3:41.0,,,40-51,2,T. Lawson makes 2-pt shot from 15 ft
3:24.0,A. Bradley misses 2-pt shot from 19 ft,,40-51,,
3:23.0,,,40-51,,Defensive rebound by D. Howard
3:19.0,,,40-53,2,T. Jones makes 2-pt shot from 1 ft (assist by T. Lawson)
3:19.0,,,40-53,,Shooting foul by J. Crowder (drawn by T. Jones)
3:19.0,A. Johnson enters the game for T. Zeller,,40-53,,
3:19.0,,,40-53,,C. Capela enters the game for D. Howard
3:19.0,,,40-53,,T. Jones misses free throw 1 of 1
3:19.0,Defensive rebound by A. Johnson,,40-53,,
3:02.0,J. Crowder misses 2-pt shot from 18 ft,,40-53,,
3:01.0,,,40-53,,Defensive rebound by C. Capela
2:50.0,,,40-53,,C. Brewer misses 3-pt shot from 23 ft
2:49.0,Defensive rebound by J. Sullinger,,40-53,,
2:45.0,A. Johnson makes 2-pt shot at rim (assist by J. Sullinger),2,42-53,,
2:43.0,,,42-53,,Houston full timeout
2:43.0,,,42-53,,M. Harrell enters the game for T. Jones
2:41.0,,,42-53,,Turnover by M. Harrell (bad pass; steal by A. Johnson)
2:37.0,A. Bradley makes 2-pt shot at rim,2,44-53,,
2:15.0,,,44-53,,Turnover by J. Harden (bad pass; steal by A. Johnson)
2:03.0,M. Smart misses 3-pt shot from 25 ft,,44-53,,
2:01.0,Offensive rebound by A. Johnson,,44-53,,
1:57.0,J. Crowder makes 2-pt shot from 2 ft (assist by M. Smart),2,46-53,,
1:42.0,,,46-53,,Turnover by C. Brewer (bad pass; steal by J. Crowder)
1:30.0,A. Bradley makes 2-pt shot from 6 ft,2,48-53,,
1:27.0,,,48-53,,Houston full timeout
1:27.0,,,48-53,,D. Howard enters the game for C. Capela
1:17.0,,,48-53,,Turnover by D. Howard (offensive foul)
1:17.0,,,48-53,,Offensive foul by D. Howard
1:04.0,J. Crowder makes 3-pt shot from 24 ft (assist by A. Johnson),3,51-53,,
0:52.0,,,51-53,,T. Lawson misses 3-pt shot from 25 ft
0:51.0,Defensive rebound by J. Crowder,,51-53,,
0:48.0,Offensive charge foul by M. Smart,,51-53,,
0:48.0,Turnover by M. Smart (offensive foul),,51-53,,
0:48.0,,,51-53,,T. Ariza enters the game for M. Harrell
0:48.0,E. Turner enters the game for M. Smart,,51-53,,
0:33.0,,,51-53,,Turnover by J. Harden (lost ball; steal by A. Bradley)
0:29.0,Shooting foul by C. Brewer (drawn by A. Bradley),,51-53,,
0:29.0,A. Bradley makes free throw 1 of 2,1,52-53,,
0:29.0,A. Bradley misses free throw 2 of 2,,52-53,,
0:26.0,Offensive rebound by Team,,52-53,,
0:26.0,Boston full timeout,,52-53,,
0:07.0,A. Bradley makes 3-pt shot from 25 ft,3,55-53,,
0:00.0,,,55-55,2,T. Ariza makes 2-pt shot from 2 ft (assist by T. Lawson)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,J. Crowder makes 2-pt shot from 1 ft (assist by A. Johnson),2,57-55,,
11:28.0,,,57-58,3,J. Harden makes 3-pt shot from 24 ft (assist by T. Jones)
11:04.0,J. Sullinger misses 2-pt shot from 22 ft,,57-58,,
11:03.0,,,57-58,,Defensive rebound by T. Ariza
10:53.0,,,57-58,,J. Harden misses 2-pt shot from 9 ft
10:53.0,Defensive rebound by M. Smart,,57-58,,
10:46.0,Turnover by M. Smart (bad pass; steal by T. Lawson),,57-58,,
10:40.0,,,57-58,,Turnover by T. Lawson (bad pass; steal by I. Thomas)
10:31.0,I. Thomas makes 2-pt shot from 1 ft,2,59-58,,
10:12.0,,,59-58,,Turnover by T. Ariza (lost ball; steal by M. Smart)
10:12.0,,,59-58,,Loose ball foul by T. Ariza (drawn by M. Smart)
10:00.0,I. Thomas misses 3-pt shot from 24 ft,,59-58,,
9:59.0,Offensive rebound by I. Thomas,,59-58,,
9:56.0,Turnover by I. Thomas (lost ball; steal by T. Jones),,59-58,,
9:46.0,,,59-58,,J. Harden misses 3-pt shot from 25 ft
9:46.0,,,59-58,,Offensive rebound by T. Jones
9:40.0,,,59-58,,D. Howard misses 2-pt shot from 3 ft (block by A. Johnson)
9:40.0,Defensive rebound by Team,,59-58,,
9:29.0,Offensive foul by J. Crowder,,59-58,,
9:29.0,Turnover by J. Crowder (offensive foul),,59-58,,
9:08.0,,,59-58,,Shooting foul by A. Johnson (drawn by T. Jones)
9:08.0,,,59-58,,T. Jones misses free throw 1 of 2
9:08.0,,,59-58,,Offensive rebound by Team
9:08.0,,,59-58,,T. Jones misses free throw 2 of 2
9:08.0,Defensive rebound by M. Smart,,59-58,,
8:59.0,J. Crowder misses 3-pt shot from 24 ft,,59-58,,
8:58.0,Offensive rebound by A. Johnson,,59-58,,
8:51.0,J. Crowder misses 3-pt shot from 26 ft,,59-58,,
8:50.0,Offensive rebound by M. Smart,,59-58,,
8:50.0,M. Smart misses 2-pt shot from 3 ft,,59-58,,
8:49.0,,,59-58,,Defensive rebound by T. Jones
8:36.0,,,59-58,,T. Jones misses 3-pt shot from 25 ft
8:35.0,Defensive rebound by I. Thomas,,59-58,,
8:27.0,J. Sullinger misses 2-pt shot from 2 ft (block by T. Ariza),,59-58,,
8:26.0,Offensive rebound by J. Sullinger,,59-58,,
8:22.0,M. Smart misses 3-pt shot from 25 ft,,59-58,,
8:21.0,,,59-58,,Defensive rebound by T. Jones
8:13.0,Violation by M. Smart (kicked ball),,59-58,,
8:00.0,,,59-60,2,T. Ariza makes 2-pt shot at rim (assist by T. Jones)
7:33.0,M. Smart misses 2-pt shot from 7 ft,,59-60,,
7:32.0,,,59-60,,Defensive rebound by T. Ariza
7:24.0,,,59-60,,Offensive charge foul by J. Harden
7:24.0,,,59-60,,Turnover by J. Harden (offensive foul)
7:14.0,,,59-60,,Personal foul by D. Howard (drawn by M. Smart)
7:11.0,,,59-60,,Personal foul by T. Ariza (drawn by M. Smart)
6:57.0,A. Johnson makes 2-pt shot from 2 ft (assist by J. Sullinger),2,61-60,,
6:50.0,,,61-60,,T. Jones misses 2-pt shot from 2 ft
6:49.0,Defensive rebound by J. Crowder,,61-60,,
6:45.0,Turnover by M. Smart (bad pass),,61-60,,
6:45.0,,,61-60,,Technical foul by J. Harden
6:45.0,Technical foul by I. Thomas,,61-60,,
6:45.0,,,61-60,,Technical foul by T. Jones
6:45.0,I. Thomas makes technical free throw,1,62-60,,
6:19.0,,,62-60,,T. Ariza misses 2-pt shot from 18 ft
6:18.0,,,62-60,,Offensive rebound by T. Jones
6:13.0,,,62-60,,Turnover by T. Jones (lost ball; steal by M. Smart)
5:59.0,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas),2,64-60,,
5:59.0,Shooting foul by J. Harden (drawn by J. Crowder),,64-60,,
5:59.0,,,64-60,,Houston full timeout
5:59.0,,,64-60,,J. Terry enters the game for T. Jones
5:59.0,,,64-60,,M. Harrell enters the game for T. Lawson
5:59.0,J. Crowder makes free throw 1 of 1,1,65-60,,
5:41.0,,,65-60,,Turnover by M. Harrell (bad pass; steal by A. Johnson)
5:35.0,I. Thomas makes 2-pt shot from 16 ft (assist by A. Johnson),2,67-60,,
5:22.0,,,67-63,3,T. Ariza makes 3-pt shot from 23 ft
5:01.0,I. Thomas makes 3-pt shot from 24 ft (assist by M. Smart),3,70-63,,
4:40.0,,,70-65,2,J. Terry makes 2-pt shot from 16 ft (assist by J. Harden)
4:13.0,I. Thomas misses 3-pt shot from 25 ft,,70-65,,
4:12.0,,,70-65,,Defensive rebound by D. Howard
3:59.0,,,70-65,,Turnover by J. Terry (bad pass; steal by J. Crowder)
3:53.0,J. Crowder makes 2-pt shot from 1 ft,2,72-65,,
3:42.0,A. Bradley enters the game for M. Smart,,72-65,,
3:42.0,K. Olynyk enters the game for J. Sullinger,,72-65,,
3:42.0,,,72-65,,C. Brewer enters the game for T. Ariza
3:37.0,,,72-68,3,J. Harden makes 3-pt shot from 26 ft (assist by J. Terry)
3:24.0,,,72-68,,Personal foul by J. Terry (drawn by K. Olynyk)
3:24.0,K. Olynyk makes free throw 1 of 2,1,73-68,,
3:24.0,,,73-68,,C. Capela enters the game for D. Howard
3:24.0,K. Olynyk misses free throw 2 of 2,,73-68,,
3:24.0,Offensive rebound by J. Crowder,,73-68,,
3:17.0,J. Crowder makes 2-pt shot from 2 ft (assist by A. Bradley),2,75-68,,
3:17.0,,,75-68,,Houston full timeout
3:17.0,,,75-68,,T. Ariza enters the game for M. Harrell
3:17.0,E. Turner enters the game for I. Thomas,,75-68,,
3:08.0,Personal foul by E. Turner (drawn by J. Harden),,75-68,,
3:06.0,Personal foul by E. Turner (drawn by J. Harden),,75-68,,
2:53.0,,,75-68,,C. Brewer misses 3-pt shot from 25 ft
2:53.0,Defensive rebound by Team,,75-68,,
2:32.0,A. Johnson misses 2-pt shot from 9 ft,,75-68,,
2:31.0,,,75-68,,Defensive rebound by T. Ariza
2:23.0,,,75-68,,C. Brewer misses 2-pt shot from 6 ft
2:22.0,,,75-68,,Offensive rebound by C. Capela
2:21.0,,,75-68,,C. Capela misses 2-pt shot from 1 ft
2:19.0,Defensive rebound by K. Olynyk,,75-68,,
2:13.0,A. Bradley misses 3-pt shot from 25 ft,,75-68,,
2:11.0,Offensive rebound by K. Olynyk,,75-68,,
2:01.0,E. Turner makes 2-pt shot from 1 ft,2,77-68,,
1:54.0,Personal block foul by E. Turner (drawn by J. Harden),,77-68,,
1:54.0,J. Jerebko enters the game for A. Johnson,,77-68,,
1:51.0,,,77-68,,Turnover by T. Ariza (bad pass)
1:36.0,,,77-68,,Violation by C. Capela (def goaltending)
1:36.0,J. Jerebko makes 2-pt shot from 3 ft (assist by K. Olynyk),2,79-68,,
1:15.0,,,79-68,,T. Ariza misses 3-pt shot from 26 ft
1:14.0,Defensive rebound by E. Turner,,79-68,,
1:08.0,A. Bradley makes 3-pt shot from 24 ft (assist by E. Turner),3,82-68,,
0:51.0,,,82-68,,J. Terry misses 2-pt shot from 9 ft
0:49.0,Defensive rebound by E. Turner,,82-68,,
0:34.0,A. Bradley makes 3-pt shot from 24 ft,3,85-68,,
0:23.0,,,85-68,,J. Harden misses 3-pt shot from 24 ft
0:22.0,Defensive rebound by A. Bradley,,85-68,,
0:01.0,K. Olynyk makes 2-pt shot from 9 ft,2,87-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:59.0,,,87-68,,Turnover by J. Terry (bad pass; steal by M. Smart)
11:59.0,M. Smart misses 2-pt shot from 8 ft (block by J. Terry),,87-68,,
11:59.0,Offensive rebound by J. Jerebko,,87-68,,
11:54.0,J. Jerebko makes 2-pt shot from 2 ft,2,89-68,,
11:32.0,,,89-68,,T. Ariza misses 3-pt shot from 23 ft
11:31.0,Defensive rebound by M. Smart,,89-68,,
11:13.0,J. Jerebko misses 2-pt shot from 16 ft,,89-68,,
11:12.0,,,89-68,,Defensive rebound by D. Howard
11:02.0,,,89-70,2,D. Howard makes 2-pt shot from 2 ft (assist by M. Thornton)
10:46.0,A. Bradley makes 2-pt shot from 18 ft,2,91-70,,
10:37.0,Personal foul by A. Bradley (drawn by M. Thornton),,91-70,,
10:29.0,,,91-70,,Turnover by T. Lawson (bad pass; steal by K. Olynyk)
10:22.0,J. Jerebko makes 2-pt shot from 1 ft (assist by A. Bradley),2,93-70,,
10:17.0,,,93-70,,Houston full timeout
10:00.0,,,93-70,,Turnover by T. Lawson (bad pass; steal by M. Smart)
9:55.0,A. Bradley makes 2-pt shot at rim (assist by M. Smart),2,95-70,,
9:39.0,,,95-70,,M. Thornton misses 2-pt shot from 17 ft
9:39.0,Defensive rebound by Team,,95-70,,
9:39.0,,,95-70,,Loose ball foul by D. Howard (drawn by K. Olynyk)
9:39.0,,,95-70,,K. McDaniels enters the game for T. Lawson
9:17.0,E. Turner makes 2-pt shot from 8 ft (assist by K. Olynyk),2,97-70,,
9:01.0,,,97-72,2,K. McDaniels makes 2-pt shot from 11 ft (assist by J. Terry)
8:49.0,A. Bradley makes 3-pt shot from 24 ft (assist by J. Jerebko),3,100-72,,
8:31.0,,,100-72,,K. McDaniels misses 2-pt shot from 18 ft
8:30.0,Defensive rebound by M. Smart,,100-72,,
8:22.0,A. Bradley misses 3-pt shot from 25 ft,,100-72,,
8:21.0,,,100-72,,Defensive rebound by D. Howard
8:18.0,,,100-74,2,M. Thornton makes 2-pt shot from 1 ft (assist by D. Howard)
7:58.0,K. Olynyk misses 3-pt shot from 24 ft,,100-74,,
7:58.0,Offensive rebound by Team,,100-74,,
7:58.0,,,100-74,,Loose ball foul by D. Howard (drawn by J. Jerebko)
7:58.0,Boston full timeout,,100-74,,
7:58.0,,,100-74,,Technical foul by D. Howard (drawn by J. Jerebko)
7:58.0,,,100-74,,T. Jones enters the game for T. Ariza
7:58.0,,,100-74,,C. Capela enters the game for D. Howard
7:58.0,,,100-74,,C. Brewer enters the game for J. Terry
7:58.0,R. Hunter enters the game for A. Bradley,,100-74,,
7:58.0,E. Turner makes technical free throw,1,101-74,,
7:42.0,M. Smart misses 3-pt shot from 25 ft,,101-74,,
7:41.0,,,101-74,,Defensive rebound by C. Capela
7:30.0,,,101-74,,M. Thornton misses 3-pt shot from 25 ft
7:29.0,Defensive rebound by E. Turner,,101-74,,
7:16.0,M. Smart makes 2-pt shot at rim (assist by J. Jerebko),2,103-74,,
6:56.0,,,103-74,,Shooting foul by J. Jerebko (drawn by K. McDaniels)
6:56.0,,,103-74,,K. McDaniels misses free throw 1 of 2
