time,Phoenix,pts.away,score,pts.home,Charlotte
5:21.0,,,6-14,,Defensive rebound by A. Jefferson
5:17.0,,,6-14,,A. Jefferson misses 2-pt shot from 8 ft
5:12.0,,,6-14,,Offensive rebound by N. Batum
5:12.0,,,6-16,2,N. Batum makes 2-pt shot at rim
5:08.0,D. Booker misses 2-pt shot from 11 ft,,6-16,,
5:08.0,,,6-16,,Defensive rebound by K. Walker
5:00.0,,,6-18,2,K. Walker makes 2-pt shot at rim
4:40.0,P. Tucker misses 2-pt shot from 15 ft,,6-18,,
4:39.0,,,6-18,,Defensive rebound by K. Walker
4:32.0,,,6-21,3,K. Walker makes 3-pt shot from 24 ft
4:32.0,Phoenix full timeout,,6-21,,
4:32.0,,,6-21,,J. Lin enters the game for C. Lee
4:27.0,M. Teletovic enters the game for D. Booker,,6-21,,
4:27.0,A. Goodwin enters the game for P. Pressey,,6-21,,
4:10.0,A. Goodwin makes 2-pt shot from 1 ft,2,8-21,,
3:45.0,,,8-21,,A. Jefferson misses 2-pt shot from 2 ft
3:44.0,Defensive rebound by A. Len,,8-21,,
3:38.0,R. Price misses 3-pt shot from 24 ft,,8-21,,
3:36.0,,,8-21,,Defensive rebound by J. Lin
3:33.0,,,8-23,2,K. Walker makes 2-pt shot at rim
3:33.0,,,8-23,,Shooting foul by A. Goodwin (drawn by K. Walker)
3:33.0,,,8-24,1,K. Walker makes free throw 1 of 1
3:14.0,M. Teletovic misses 3-pt shot from 24 ft,,8-24,,
3:13.0,,,8-24,,Defensive rebound by K. Walker
3:03.0,,,8-24,,A. Jefferson misses 2-pt shot from 6 ft
3:03.0,,,8-24,,Offensive rebound by K. Walker
3:03.0,,,8-24,,Shooting foul by R. Price (drawn by K. Walker)
3:03.0,,,8-25,1,K. Walker makes free throw 1 of 2
3:03.0,P. Pressey enters the game for R. Price,,8-25,,
3:03.0,,,8-25,,J. Lamb enters the game for N. Batum
3:03.0,,,8-26,1,K. Walker makes free throw 2 of 2
2:45.0,M. Teletovic makes 3-pt shot from 26 ft (assist by A. Goodwin),3,11-26,,
2:33.0,,,11-26,,Shooting foul by P. Tucker (drawn by A. Jefferson)
2:33.0,,,11-27,1,A. Jefferson makes free throw 1 of 2
2:33.0,D. Booker enters the game for P. Tucker,,11-27,,
2:33.0,,,11-28,1,A. Jefferson makes free throw 2 of 2
2:17.0,A. Goodwin misses 3-pt shot from 23 ft,,11-28,,
2:15.0,,,11-28,,Defensive rebound by J. Lin
2:08.0,,,11-28,,Turnover by J. Lin (bad pass)
2:01.0,M. Teletovic misses 3-pt shot from 25 ft,,11-28,,
1:59.0,,,11-28,,Defensive rebound by A. Jefferson
1:44.0,,,11-28,,J. Lin misses 2-pt shot from 1 ft
1:43.0,Defensive rebound by A. Len,,11-28,,
1:37.0,P. Pressey makes 2-pt shot from 1 ft,2,13-28,,
1:37.0,,,13-28,,Charlotte full timeout
1:37.0,J. Leuer enters the game for A. Len,,13-28,,
1:37.0,,,13-28,,F. Kaminsky enters the game for M. Williams
1:27.0,,,13-28,,F. Kaminsky misses 2-pt shot from 2 ft
1:26.0,,,13-28,,Offensive rebound by A. Jefferson
1:26.0,,,13-30,2,A. Jefferson makes 2-pt shot from 1 ft
1:11.0,M. Teletovic misses 3-pt shot from 25 ft,,13-30,,
1:10.0,,,13-30,,Defensive rebound by J. Lamb
0:48.0,,,13-30,,A. Jefferson misses 2-pt shot from 15 ft
0:46.0,Defensive rebound by P. Pressey,,13-30,,
0:41.0,D. Booker makes 3-pt shot from 25 ft (assist by P. Pressey),3,16-30,,
0:37.0,,,16-30,,Turnover by K. Walker (lost ball; steal by P. Pressey)
0:31.0,P. Pressey misses 2-pt shot at rim,,16-30,,
0:28.0,,,16-30,,Defensive rebound by K. Walker
0:25.0,,,16-33,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by K. Walker)
0:06.0,,,16-33,,Personal foul by J. Lamb (drawn by A. Goodwin)
0:06.0,Shooting foul by A. Jefferson (drawn by D. Booker),,16-33,,
0:06.0,D. Booker makes free throw 1 of 2,1,17-33,,
0:06.0,D. Booker makes free throw 2 of 2,1,18-33,,
0:03.0,,,18-35,2,A. Jefferson makes 2-pt shot at rim (assist by K. Walker)
0:00.0,A. Goodwin misses 3-pt shot from 28 ft,,18-35,,
0:00.0,Offensive rebound by Team,,18-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,J. Leuer misses 2-pt shot at rim,,18-35,,
11:50.0,,,18-35,,Defensive rebound by A. Jefferson
11:35.0,,,18-37,2,F. Kaminsky makes 2-pt shot at rim
11:24.0,M. Teletovic makes 2-pt shot at rim,2,20-37,,
10:59.0,Personal foul by J. Leuer (drawn by F. Kaminsky),,20-37,,
10:59.0,,,20-37,,F. Kaminsky misses free throw 1 of 2
10:59.0,,,20-37,,Offensive rebound by Team
10:59.0,,,20-38,1,F. Kaminsky makes free throw 2 of 2
10:44.0,D. Booker misses 3-pt shot from 25 ft,,20-38,,
10:43.0,,,20-38,,Defensive rebound by A. Jefferson
10:34.0,,,20-40,2,A. Jefferson makes 2-pt shot from 1 ft (assist by J. Lin)
10:20.0,J. Leuer misses 3-pt shot from 25 ft,,20-40,,
10:19.0,,,20-40,,Defensive rebound by N. Batum
10:10.0,,,20-40,,J. Lamb misses 2-pt shot from 1 ft
10:09.0,Defensive rebound by A. Goodwin,,20-40,,
10:00.0,A. Goodwin makes 2-pt shot at rim,2,22-40,,
9:48.0,,,22-40,,Turnover by J. Lin (bad pass)
9:25.0,A. Goodwin misses 2-pt shot from 3 ft,,22-40,,
9:23.0,Offensive rebound by J. Leuer,,22-40,,
9:18.0,M. Teletovic makes 3-pt shot from 25 ft (assist by J. Leuer),3,25-40,,
9:01.0,,,25-40,,J. Lin misses 2-pt shot from 8 ft (block by M. Teletovic)
8:59.0,,,25-40,,Offensive rebound by J. Lamb
8:56.0,,,25-40,,N. Batum misses 2-pt shot from 6 ft
8:55.0,Defensive rebound by A. Goodwin,,25-40,,
8:51.0,M. Teletovic misses 2-pt shot from 1 ft,,25-40,,
8:49.0,,,25-40,,Defensive rebound by N. Batum
8:41.0,,,25-43,3,J. Lamb makes 3-pt shot from 25 ft (assist by N. Batum)
8:28.0,Shooting foul by F. Kaminsky (drawn by M. Teletovic),,25-43,,
8:28.0,Official timeout,,25-43,,
8:28.0,,,25-43,,C. Zeller enters the game for A. Jefferson
8:28.0,M. Teletovic makes free throw 1 of 2,1,26-43,,
8:28.0,M. Teletovic makes free throw 2 of 2,1,27-43,,
8:08.0,,,27-45,2,J. Lamb makes 2-pt shot at rim
7:44.0,A. Goodwin misses 3-pt shot from 27 ft,,27-45,,
7:42.0,,,27-45,,Defensive rebound by J. Lamb
7:34.0,,,27-45,,J. Lamb misses 2-pt shot from 1 ft
7:34.0,,,27-45,,Offensive rebound by C. Zeller
7:32.0,,,27-47,2,C. Zeller makes 2-pt shot from 1 ft
7:20.0,D. Booker misses 2-pt shot from 1 ft,,27-47,,
7:19.0,Offensive rebound by J. Leuer,,27-47,,
7:19.0,Shooting foul by J. Lamb (drawn by J. Leuer),,27-47,,
7:19.0,J. Leuer makes free throw 1 of 2,1,28-47,,
7:19.0,P. Tucker enters the game for D. Booker,,28-47,,
7:19.0,J. Leuer makes free throw 2 of 2,1,29-47,,
7:02.0,,,29-47,,Shooting foul by A. Goodwin (drawn by J. Lin)
7:02.0,,,29-48,1,J. Lin makes free throw 1 of 2
7:02.0,A. Len enters the game for J. Leuer,,29-48,,
7:02.0,,,29-49,1,J. Lin makes free throw 2 of 2
6:51.0,J. Jenkins makes 2-pt shot from 22 ft (assist by M. Teletovic),2,31-49,,
6:29.0,,,31-49,,J. Lin misses 2-pt shot from 1 ft
6:29.0,,,31-49,,Offensive rebound by Team
6:29.0,,,31-49,,C. Lee enters the game for J. Lamb
6:25.0,,,31-51,2,J. Lin makes 2-pt shot from 1 ft (assist by N. Batum)
6:13.0,A. Len misses 2-pt shot from 4 ft,,31-51,,
6:13.0,Offensive rebound by A. Len,,31-51,,
6:13.0,A. Len misses 2-pt shot from 4 ft (block by F. Kaminsky),,31-51,,
6:13.0,Offensive rebound by A. Len,,31-51,,
6:13.0,Shooting foul by F. Kaminsky (drawn by A. Len),,31-51,,
6:13.0,A. Len makes free throw 1 of 2,1,32-51,,
6:13.0,R. Price enters the game for A. Goodwin,,32-51,,
6:13.0,A. Len makes free throw 2 of 2,1,33-51,,
6:01.0,,,33-51,,J. Lin misses 2-pt shot from 20 ft
6:00.0,Defensive rebound by P. Tucker,,33-51,,
5:51.0,,,33-51,,Charlotte full timeout
5:51.0,,,33-51,,K. Walker enters the game for J. Lin
5:51.0,,,33-51,,M. Williams enters the game for F. Kaminsky
5:46.0,,,33-51,,Personal foul by C. Lee (drawn by J. Jenkins)
5:41.0,J. Jenkins misses 2-pt shot from 21 ft,,33-51,,
5:40.0,,,33-51,,Defensive rebound by C. Zeller
5:27.0,,,33-51,,Turnover by M. Williams (bad pass; steal by P. Tucker)
5:22.0,M. Teletovic makes 3-pt shot from 25 ft (assist by R. Price),3,36-51,,
5:04.0,,,36-51,,K. Walker misses 3-pt shot from 24 ft
5:03.0,Defensive rebound by M. Teletovic,,36-51,,
4:47.0,R. Price misses 3-pt shot from 25 ft,,36-51,,
4:45.0,,,36-51,,Defensive rebound by N. Batum
4:36.0,,,36-51,,M. Williams misses 3-pt shot from 23 ft
4:33.0,Defensive rebound by J. Jenkins,,36-51,,
4:17.0,,,36-51,,Personal foul by M. Williams (drawn by M. Teletovic)
4:17.0,M. Teletovic misses free throw 1 of 2,,36-51,,
4:17.0,Offensive rebound by Team,,36-51,,
4:17.0,M. Teletovic makes free throw 2 of 2,1,37-51,,
4:04.0,,,37-53,2,N. Batum makes 2-pt shot from 1 ft
3:45.0,M. Teletovic misses 2-pt shot from 14 ft,,37-53,,
3:44.0,,,37-53,,Defensive rebound by M. Williams
3:35.0,,,37-56,3,N. Batum makes 3-pt shot from 25 ft
3:30.0,Phoenix full timeout,,37-56,,
3:30.0,T. Chandler enters the game for M. Teletovic,,37-56,,
3:30.0,D. Booker enters the game for J. Jenkins,,37-56,,
3:17.0,D. Booker misses 2-pt shot at rim,,37-56,,
3:16.0,Offensive rebound by P. Tucker,,37-56,,
3:05.0,Turnover by T. Chandler (3 sec),,37-56,,
2:50.0,,,37-59,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
2:30.0,R. Price makes 2-pt shot from 19 ft,2,39-59,,
2:11.0,,,39-61,2,C. Lee makes 2-pt shot from 17 ft
2:11.0,,,39-61,,Shooting foul by D. Booker (drawn by C. Lee)
2:11.0,,,39-62,1,C. Lee makes free throw 1 of 1
1:59.0,A. Len makes 2-pt shot from 16 ft (assist by R. Price),2,41-62,,
1:47.0,Personal foul by R. Price (drawn by K. Walker),,41-62,,
1:47.0,A. Goodwin enters the game for R. Price,,41-62,,
1:32.0,,,41-64,2,C. Lee makes 2-pt shot from 21 ft (assist by M. Williams)
1:12.0,A. Len misses 2-pt shot from 12 ft,,41-64,,
1:11.0,,,41-64,,Defensive rebound by M. Williams
1:02.0,,,41-66,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
0:51.0,Turnover by A. Goodwin (bad pass; steal by N. Batum),,41-66,,
0:47.0,,,41-68,2,N. Batum makes 2-pt shot at rim
0:34.0,Shooting foul by C. Zeller (drawn by A. Len),,41-68,,
0:34.0,A. Len misses free throw 1 of 2,,41-68,,
0:34.0,Offensive rebound by Team,,41-68,,
0:34.0,A. Len makes free throw 2 of 2,1,42-68,,
0:10.0,,,42-68,,M. Williams misses 2-pt shot from 13 ft
0:09.0,Defensive rebound by A. Len,,42-68,,
0:00.0,A. Len misses 2-pt shot from 6 ft,,42-68,,
0:00.0,Offensive rebound by Team,,42-68,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,D. Booker misses 2-pt shot from 17 ft,,42-68,,
11:43.0,Offensive rebound by T. Chandler,,42-68,,
11:43.0,T. Chandler makes 2-pt shot at rim,2,44-68,,
11:26.0,,,44-70,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
11:26.0,,,44-70,,Shooting foul by R. Price (drawn by C. Zeller)
11:26.0,,,44-71,1,C. Zeller makes free throw 1 of 1
11:14.0,T. Chandler makes 2-pt shot at rim (assist by D. Booker),2,46-71,,
10:56.0,,,46-71,,Turnover by C. Lee (lost ball)
10:40.0,A. Len makes 2-pt shot from 1 ft,2,48-71,,
10:26.0,,,48-71,,K. Walker misses 2-pt shot from 7 ft
10:26.0,Defensive rebound by Team,,48-71,,
10:16.0,D. Booker makes 2-pt shot from 14 ft,2,50-71,,
10:05.0,,,50-71,,Shooting foul by A. Len (drawn by K. Walker)
10:05.0,,,50-72,1,K. Walker makes free throw 1 of 2
10:05.0,,,50-73,1,K. Walker makes free throw 2 of 2
9:46.0,P. Tucker misses 2-pt shot from 17 ft,,50-73,,
9:45.0,,,50-73,,Defensive rebound by C. Zeller
9:31.0,,,50-76,3,K. Walker makes 3-pt shot from 26 ft (assist by C. Lee)
9:11.0,D. Booker misses 2-pt shot from 14 ft,,50-76,,
9:10.0,,,50-76,,Defensive rebound by N. Batum
8:58.0,,,50-76,,C. Zeller misses 2-pt shot from 18 ft
8:57.0,Defensive rebound by R. Price,,50-76,,
8:42.0,A. Len misses 2-pt shot from 10 ft,,50-76,,
8:41.0,,,50-76,,Defensive rebound by N. Batum
8:32.0,,,50-76,,K. Walker misses 3-pt shot from 25 ft
8:30.0,Defensive rebound by A. Len,,50-76,,
8:24.0,,,50-76,,Personal block foul by C. Zeller (drawn by D. Booker)
8:07.0,Turnover by Team (shot clock),,50-76,,
7:54.0,,,50-76,,Offensive charge foul by C. Lee
7:54.0,,,50-76,,Turnover by C. Lee (offensive foul)
7:37.0,R. Price misses 3-pt shot from 25 ft,,50-76,,
7:35.0,Offensive rebound by D. Booker,,50-76,,
7:22.0,,,50-76,,Personal foul by C. Zeller (drawn by D. Booker)
7:07.0,D. Booker misses 3-pt shot from 23 ft,,50-76,,
7:06.0,Offensive rebound by P. Tucker,,50-76,,
7:03.0,R. Price misses 3-pt shot from 26 ft,,50-76,,
7:02.0,Offensive rebound by T. Chandler,,50-76,,
7:02.0,T. Chandler makes 2-pt shot at rim,2,52-76,,
6:34.0,,,52-76,,K. Walker misses 2-pt shot from 8 ft
6:34.0,,,52-76,,Offensive rebound by Team
6:34.0,,,52-76,,Turnover by Team (shot clock)
6:19.0,Turnover by R. Price (bad pass; steal by C. Zeller),,52-76,,
6:14.0,,,52-78,2,K. Walker makes 2-pt shot from 1 ft (assist by C. Zeller)
5:59.0,R. Price misses 3-pt shot from 26 ft,,52-78,,
5:58.0,,,52-78,,Defensive rebound by N. Batum
5:51.0,,,52-78,,C. Lee misses 3-pt shot from 26 ft
5:50.0,,,52-78,,Offensive rebound by C. Zeller
5:46.0,,,52-78,,M. Williams misses 3-pt shot from 23 ft
5:45.0,Defensive rebound by R. Price,,52-78,,
5:33.0,T. Chandler makes 2-pt shot from 1 ft (assist by A. Len),2,54-78,,
5:33.0,Shooting foul by N. Batum (drawn by T. Chandler),,54-78,,
5:33.0,,,54-78,,Charlotte full timeout
5:33.0,,,54-78,,A. Jefferson enters the game for C. Zeller
5:33.0,T. Chandler misses free throw 1 of 1,,54-78,,
5:32.0,,,54-78,,Defensive rebound by N. Batum
5:19.0,,,54-78,,N. Batum misses 2-pt shot from 13 ft
5:18.0,Defensive rebound by D. Booker,,54-78,,
5:09.0,Turnover by D. Booker (bad pass; steal by M. Williams),,54-78,,
5:03.0,,,54-81,3,K. Walker makes 3-pt shot from 23 ft (assist by C. Lee)
4:37.0,D. Booker misses 2-pt shot from 18 ft,,54-81,,
4:35.0,,,54-81,,Defensive rebound by N. Batum
4:22.0,,,54-83,2,A. Jefferson makes 2-pt shot from 16 ft (assist by K. Walker)
4:02.0,A. Len misses 2-pt shot from 15 ft,,54-83,,
4:01.0,,,54-83,,Defensive rebound by M. Williams
3:46.0,,,54-85,2,A. Jefferson makes 2-pt shot from 9 ft
3:30.0,D. Booker misses 2-pt shot from 1 ft (block by A. Jefferson),,54-85,,
3:28.0,,,54-85,,Defensive rebound by M. Williams
3:22.0,,,54-88,3,C. Lee makes 3-pt shot from 24 ft (assist by K. Walker)
3:20.0,Phoenix full timeout,,54-88,,
3:20.0,P. Pressey enters the game for A. Len,,54-88,,
3:20.0,A. Goodwin enters the game for T. Chandler,,54-88,,
3:20.0,M. Teletovic enters the game for R. Price,,54-88,,
2:57.0,A. Goodwin misses 2-pt shot at rim,,54-88,,
2:57.0,,,54-88,,Defensive rebound by Team
2:40.0,,,54-90,2,A. Jefferson makes 2-pt shot from 7 ft (assist by N. Batum)
2:27.0,D. Booker makes 2-pt shot from 9 ft,2,56-90,,
2:18.0,,,56-92,2,A. Jefferson makes 2-pt shot from 2 ft (assist by K. Walker)
2:18.0,,,56-92,,Shooting foul by P. Tucker (drawn by A. Jefferson)
2:18.0,,,56-92,,J. Lin enters the game for C. Lee
2:18.0,J. Leuer enters the game for P. Tucker,,56-92,,
2:18.0,,,56-93,1,A. Jefferson makes free throw 1 of 1
2:08.0,A. Goodwin misses 2-pt shot from 17 ft,,56-93,,
2:06.0,,,56-93,,Defensive rebound by A. Jefferson
1:58.0,,,56-93,,Turnover by M. Williams (lost ball; steal by D. Booker)
1:56.0,D. Booker makes 2-pt shot from 1 ft,2,58-93,,
1:56.0,Shooting foul by J. Lin (drawn by D. Booker),,58-93,,
1:56.0,,,58-93,,J. Lamb enters the game for N. Batum
1:56.0,D. Booker makes free throw 1 of 1,1,59-93,,
1:41.0,,,59-93,,A. Jefferson misses 2-pt shot from 1 ft
1:40.0,Defensive rebound by J. Leuer,,59-93,,
1:36.0,Turnover by P. Pressey (lost ball; steal by K. Walker),,59-93,,
1:24.0,Personal block foul by A. Goodwin (drawn by A. Jefferson),,59-93,,
1:11.0,,,59-95,2,K. Walker makes 2-pt shot from 19 ft
1:00.0,J. Leuer makes 2-pt shot from 1 ft (assist by A. Goodwin),2,61-95,,
0:47.0,,,61-95,,J. Lamb misses 3-pt shot from 23 ft
0:46.0,Defensive rebound by P. Pressey,,61-95,,
0:39.0,D. Booker misses 2-pt shot from 6 ft (block by J. Lin),,61-95,,
0:35.0,,,61-95,,Defensive rebound by K. Walker
0:30.0,,,61-98,3,J. Lamb makes 3-pt shot from 24 ft (assist by M. Williams)
0:10.0,J. Leuer misses 3-pt shot from 24 ft,,61-98,,
0:08.0,,,61-98,,Defensive rebound by J. Lamb
0:02.0,,,61-98,,A. Jefferson misses 2-pt shot from 6 ft
0:00.0,Defensive rebound by J. Leuer,,61-98,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,61-98,,J. Lamb misses 3-pt shot from 25 ft
11:45.0,Defensive rebound by A. Goodwin,,61-98,,
11:33.0,M. Teletovic makes 3-pt shot from 25 ft (assist by P. Pressey),3,64-98,,
11:17.0,,,64-100,2,J. Lamb makes 2-pt shot from 1 ft (assist by F. Kaminsky)
11:17.0,,,64-100,,Shooting foul by D. Booker (drawn by J. Lamb)
11:17.0,,,64-101,1,J. Lamb makes free throw 1 of 1
10:54.0,A. Goodwin makes 2-pt shot from 1 ft,2,66-101,,
10:41.0,,,66-101,,Shooting foul by M. Teletovic (drawn by J. Lin)
10:41.0,,,66-102,1,J. Lin makes free throw 1 of 2
10:41.0,,,66-103,1,J. Lin makes free throw 2 of 2
10:26.0,M. Teletovic misses 3-pt shot from 26 ft,,66-103,,
10:25.0,,,66-103,,Defensive rebound by J. Lin
10:18.0,,,66-103,,F. Kaminsky misses 3-pt shot from 25 ft
10:17.0,,,66-103,,Offensive rebound by J. Lamb
10:09.0,,,66-105,2,J. Lamb makes 2-pt shot from 18 ft
9:57.0,J. Leuer misses 2-pt shot from 7 ft,,66-105,,
9:55.0,,,66-105,,Defensive rebound by J. Lamb
9:41.0,,,66-105,,J. Lin misses 2-pt shot from 7 ft
9:38.0,,,66-105,,Offensive rebound by A. Jefferson
9:38.0,,,66-105,,A. Jefferson misses 2-pt shot from 8 ft
9:37.0,Defensive rebound by Team,,66-105,,
9:30.0,P. Pressey misses 2-pt shot from 2 ft (block by J. Lin),,66-105,,
9:30.0,Offensive rebound by Team,,66-105,,
9:27.0,D. Booker misses 2-pt shot from 16 ft,,66-105,,
9:26.0,,,66-105,,Defensive rebound by F. Kaminsky
9:16.0,,,66-105,,J. Lin misses 2-pt shot from 1 ft
9:15.0,Defensive rebound by J. Leuer,,66-105,,
9:07.0,M. Teletovic misses 3-pt shot from 25 ft,,66-105,,
9:06.0,,,66-105,,Defensive rebound by F. Kaminsky
9:01.0,,,66-107,2,J. Lamb makes 2-pt shot at rim (assist by F. Kaminsky)
8:48.0,A. Goodwin makes 2-pt shot from 1 ft,2,68-107,,
8:28.0,,,68-109,2,A. Jefferson makes 2-pt shot from 7 ft
8:14.0,J. Leuer makes 2-pt shot from 18 ft (assist by P. Pressey),2,70-109,,
7:58.0,,,70-112,3,T. Daniels makes 3-pt shot from 26 ft (assist by J. Lin)
7:49.0,Phoenix full timeout,,70-112,,
7:49.0,T. Chandler enters the game for D. Booker,,70-112,,
7:49.0,A. Len enters the game for P. Pressey,,70-112,,
7:49.0,R. Price enters the game for M. Teletovic,,70-112,,
7:49.0,P. Tucker enters the game for J. Leuer,,70-112,,
7:49.0,,,70-112,,A. Harrison enters the game for A. Jefferson
7:49.0,,,70-112,,T. Hansbrough enters the game for J. Lin
7:49.0,,,70-112,,J. Gutierrez enters the game for J. Lamb
7:33.0,Shooting foul by T. Daniels (drawn by A. Len),,70-112,,
7:33.0,A. Len makes free throw 1 of 2,1,71-112,,
7:33.0,A. Len makes free throw 2 of 2,1,72-112,,
7:15.0,,,72-115,3,T. Daniels makes 3-pt shot from 25 ft (assist by J. Gutierrez)
7:10.0,Shooting foul by A. Harrison (drawn by A. Len),,72-115,,
7:10.0,A. Len makes free throw 1 of 2,1,73-115,,
7:10.0,A. Len makes free throw 2 of 2,1,74-115,,
6:51.0,,,74-115,,A. Harrison misses 3-pt shot from 23 ft
6:50.0,,,74-115,,Offensive rebound by T. Hansbrough
6:45.0,,,74-115,,A. Harrison misses 3-pt shot from 22 ft
6:43.0,,,74-115,,Offensive rebound by F. Kaminsky
6:41.0,Personal foul by A. Goodwin (drawn by J. Gutierrez),,74-115,,
6:35.0,,,74-115,,T. Daniels misses 2-pt shot from 8 ft
6:34.0,Defensive rebound by P. Tucker,,74-115,,
6:28.0,Shooting foul by A. Harrison (drawn by A. Goodwin),,74-115,,
6:28.0,A. Goodwin makes free throw 1 of 2,1,75-115,,
6:28.0,A. Goodwin makes free throw 2 of 2,1,76-115,,
6:04.0,,,76-115,,T. Hansbrough misses 2-pt shot from 1 ft
6:02.0,,,76-115,,Offensive rebound by T. Hansbrough
5:58.0,,,76-115,,T. Daniels misses 2-pt shot from 19 ft
5:55.0,Defensive rebound by R. Price,,76-115,,
5:49.0,A. Goodwin misses 2-pt shot from 1 ft (block by T. Daniels),,76-115,,
5:47.0,Offensive rebound by A. Goodwin,,76-115,,
5:47.0,A. Goodwin misses 2-pt shot at rim,,76-115,,
5:44.0,,,76-115,,Defensive rebound by T. Hansbrough
5:39.0,,,76-115,,T. Daniels misses 3-pt shot from 25 ft
5:36.0,Defensive rebound by P. Tucker,,76-115,,
5:23.0,R. Price misses 3-pt shot from 25 ft,,76-115,,
5:22.0,Offensive rebound by R. Price,,76-115,,
