time,San Antonio,pts.away,score,pts.home,New York
4:42.0,D. West makes 2-pt shot from 1 ft (assist by T. Duncan),2,42-31,,
4:28.0,,,42-33,2,R. Lopez makes 2-pt shot from 17 ft (assist by L. Galloway)
4:11.0,T. Parker makes 2-pt shot from 2 ft (assist by T. Duncan),2,44-33,,
3:54.0,,,44-33,,C. Anthony misses 2-pt shot from 7 ft
3:53.0,Defensive rebound by T. Duncan,,44-33,,
3:37.0,T. Parker misses 2-pt shot from 13 ft,,44-33,,
3:36.0,,,44-33,,Defensive rebound by C. Anthony
3:28.0,,,44-33,,C. Anthony misses 2-pt shot from 10 ft
3:27.0,Defensive rebound by K. Leonard,,44-33,,
3:22.0,San Antonio full timeout,,44-33,,
3:22.0,,,44-33,,J. Calderon enters the game for L. Galloway
3:15.0,P. Mills misses 3-pt shot from 24 ft,,44-33,,
3:14.0,,,44-33,,Defensive rebound by C. Anthony
3:05.0,,,44-33,,Turnover by J. Calderon (bad pass; steal by K. Leonard)
3:04.0,Turnover by K. Leonard (step out of bounds),,44-33,,
2:56.0,,,44-33,,R. Lopez misses 2-pt shot from 1 ft
2:55.0,,,44-33,,Offensive rebound by R. Lopez
2:51.0,,,44-35,2,R. Lopez makes 2-pt shot from 1 ft
2:35.0,T. Duncan misses 2-pt shot from 20 ft,,44-35,,
2:34.0,Offensive rebound by Team,,44-35,,
2:34.0,,,44-35,,Loose ball foul by C. Anthony (drawn by K. Leonard)
2:29.0,T. Parker misses 2-pt shot from 1 ft (block by K. Porzingis),,44-35,,
2:28.0,Offensive rebound by Team,,44-35,,
2:23.0,T. Duncan misses 2-pt shot from 10 ft,,44-35,,
2:22.0,Offensive rebound by D. West,,44-35,,
2:08.0,K. Leonard misses 3-pt shot from 25 ft,,44-35,,
2:05.0,,,44-35,,Defensive rebound by R. Lopez
1:56.0,,,44-35,,R. Lopez misses 2-pt shot from 20 ft
1:55.0,Defensive rebound by T. Duncan,,44-35,,
1:32.0,K. Leonard misses 2-pt shot from 18 ft,,44-35,,
1:31.0,,,44-35,,Defensive rebound by K. Porzingis
1:14.0,,,44-35,,K. Porzingis misses 2-pt shot from 6 ft
1:13.0,Defensive rebound by K. Leonard,,44-35,,
1:03.0,P. Mills makes 3-pt shot from 24 ft (assist by D. West),3,47-35,,
0:42.0,,,47-35,,S. Vujacic misses 3-pt shot from 23 ft
0:41.0,Defensive rebound by D. West,,47-35,,
0:30.0,K. Leonard misses 2-pt shot from 3 ft (block by K. Porzingis),,47-35,,
0:29.0,,,47-35,,Defensive rebound by S. Vujacic
0:24.0,,,47-35,,Turnover by S. Vujacic (lost ball; steal by D. West)
0:22.0,Turnover by D. West (step out of bounds),,47-35,,
0:22.0,,,47-35,,New York full timeout
0:03.0,,,47-35,,S. Vujacic misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by K. Leonard,,47-35,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,47-35,,S. Vujacic misses 2-pt shot from 20 ft
11:44.0,Defensive rebound by K. Leonard,,47-35,,
11:35.0,Turnover by K. Leonard (bad pass; steal by R. Lopez),,47-35,,
11:15.0,,,47-35,,J. Calderon misses 2-pt shot from 17 ft
11:14.0,,,47-35,,Offensive rebound by K. Porzingis
11:12.0,,,47-35,,K. Porzingis misses 2-pt shot from 7 ft (block by T. Duncan)
11:11.0,Defensive rebound by L. Aldridge,,47-35,,
10:56.0,Turnover by L. Aldridge (lost ball; steal by K. Porzingis),,47-35,,
10:41.0,,,47-38,3,J. Calderon makes 3-pt shot from 24 ft (assist by S. Vujacic)
10:19.0,L. Aldridge makes 2-pt shot from 17 ft (assist by K. Leonard),2,49-38,,
10:09.0,,,49-38,,K. Porzingis misses 3-pt shot from 25 ft
10:08.0,Defensive rebound by Team,,49-38,,
10:08.0,P. Mills enters the game for D. Green,,49-38,,
9:52.0,K. Leonard makes 2-pt shot from 4 ft,2,51-38,,
9:38.0,,,51-40,2,K. Porzingis makes 2-pt shot from 1 ft (assist by R. Lopez)
9:21.0,Turnover by L. Aldridge (lost ball),,51-40,,
9:21.0,D. Green enters the game for P. Mills,,51-40,,
9:06.0,,,51-40,,C. Anthony misses 2-pt shot from 16 ft
9:05.0,,,51-40,,Offensive rebound by K. Porzingis
9:05.0,,,51-42,2,K. Porzingis makes 2-pt shot at rim
8:50.0,Shooting foul by K. Porzingis (drawn by L. Aldridge),,51-42,,
8:50.0,L. Aldridge makes free throw 1 of 2,1,52-42,,
8:50.0,L. Aldridge makes free throw 2 of 2,1,53-42,,
8:40.0,,,53-42,,J. Calderon misses 2-pt shot from 21 ft
8:39.0,,,53-42,,Offensive rebound by K. Porzingis
8:38.0,,,53-42,,Shooting foul by T. Duncan (drawn by K. Porzingis)
8:38.0,,,53-43,1,K. Porzingis makes free throw 1 of 2
8:38.0,,,53-44,1,K. Porzingis makes free throw 2 of 2
8:17.0,T. Parker makes 2-pt shot from 1 ft,2,55-44,,
8:10.0,,,55-44,,J. Calderon misses 2-pt shot from 17 ft
8:09.0,,,55-44,,Offensive rebound by C. Anthony
8:07.0,,,55-44,,C. Anthony misses 2-pt shot from 3 ft (block by T. Duncan)
8:06.0,Defensive rebound by T. Duncan,,55-44,,
7:55.0,,,55-44,,Personal foul by K. Porzingis (drawn by L. Aldridge)
7:55.0,,,55-44,,K. O'Quinn enters the game for K. Porzingis
7:44.0,K. Leonard makes 2-pt shot from 13 ft,2,57-44,,
7:26.0,,,57-46,2,C. Anthony makes 2-pt shot from 14 ft
7:15.0,T. Parker misses 2-pt shot from 20 ft,,57-46,,
7:14.0,,,57-46,,Defensive rebound by K. O'Quinn
7:05.0,,,57-46,,Shooting foul by L. Aldridge (drawn by C. Anthony)
7:05.0,,,57-47,1,C. Anthony makes free throw 1 of 2
7:05.0,San Antonio full timeout,,57-47,,
7:05.0,,,57-47,,J. Grant enters the game for S. Vujacic
7:05.0,,,57-48,1,C. Anthony makes free throw 2 of 2
6:51.0,Shooting foul by R. Lopez (drawn by T. Duncan),,57-48,,
6:51.0,T. Duncan misses free throw 1 of 2,,57-48,,
6:51.0,Offensive rebound by Team,,57-48,,
6:51.0,T. Duncan makes free throw 2 of 2,1,58-48,,
6:31.0,,,58-48,,Shooting foul by T. Duncan (drawn by J. Grant)
6:31.0,,,58-50,2,J. Grant makes 2-pt shot from 1 ft (assist by R. Lopez)
6:31.0,M. Ginobili enters the game for D. Green,,58-50,,
6:31.0,,,58-50,,J. Grant misses free throw 1 of 1
6:30.0,Defensive rebound by K. Leonard,,58-50,,
6:10.0,K. Leonard misses 3-pt shot from 24 ft,,58-50,,
6:09.0,,,58-50,,Defensive rebound by R. Lopez
5:59.0,,,58-50,,C. Anthony misses 2-pt shot from 1 ft
5:58.0,Defensive rebound by L. Aldridge,,58-50,,
5:54.0,,,58-50,,Personal foul by C. Anthony (drawn by M. Ginobili)
5:39.0,L. Aldridge makes 2-pt shot from 1 ft,2,60-50,,
5:19.0,,,60-52,2,C. Anthony makes 2-pt shot from 11 ft
5:02.0,T. Parker makes 2-pt shot from 2 ft (assist by T. Duncan),2,62-52,,
4:40.0,,,62-54,2,R. Lopez makes 2-pt shot from 17 ft (assist by J. Grant)
4:23.0,T. Duncan makes 2-pt shot from 5 ft (assist by T. Parker),2,64-54,,
4:07.0,,,64-54,,Shooting foul by T. Duncan (drawn by C. Anthony)
4:07.0,,,64-55,1,C. Anthony makes free throw 1 of 2
4:07.0,,,64-55,,L. Galloway enters the game for J. Calderon
4:07.0,,,64-55,,L. Thomas enters the game for R. Lopez
4:07.0,B. Diaw enters the game for T. Duncan,,64-55,,
4:07.0,P. Mills enters the game for T. Parker,,64-55,,
4:07.0,,,64-56,1,C. Anthony makes free throw 2 of 2
3:52.0,M. Ginobili makes 2-pt shot from 1 ft,2,66-56,,
3:39.0,,,66-58,2,J. Grant makes 2-pt shot at rim (assist by K. O'Quinn)
3:28.0,P. Mills misses 3-pt shot from 23 ft,,66-58,,
3:24.0,Offensive rebound by B. Diaw,,66-58,,
3:10.0,L. Aldridge makes 2-pt shot from 6 ft,2,68-58,,
2:58.0,Personal block foul by K. Leonard (drawn by C. Anthony),,68-58,,
2:58.0,,,68-58,,New York full timeout
2:58.0,,,68-59,1,C. Anthony makes free throw 1 of 2
2:58.0,,,68-60,1,C. Anthony makes free throw 2 of 2
2:42.0,Turnover by B. Diaw (bad pass; steal by K. O'Quinn),,68-60,,
2:34.0,,,68-60,,C. Anthony misses 3-pt shot from 25 ft
2:33.0,Defensive rebound by Team,,68-60,,
2:17.0,Turnover by M. Ginobili (bad pass; steal by C. Anthony),,68-60,,
1:58.0,,,68-62,2,J. Grant makes 2-pt shot from 1 ft
1:40.0,L. Aldridge makes 2-pt shot from 4 ft,2,70-62,,
1:28.0,,,70-62,,K. O'Quinn misses 2-pt shot from 17 ft
1:27.0,,,70-62,,Offensive rebound by K. O'Quinn
1:19.0,,,70-62,,L. Thomas misses 2-pt shot from 2 ft
1:18.0,Defensive rebound by K. Leonard,,70-62,,
1:08.0,L. Aldridge misses 2-pt shot from 12 ft,,70-62,,
1:07.0,,,70-62,,Defensive rebound by L. Galloway
0:58.0,,,70-64,2,L. Thomas makes 2-pt shot from 20 ft
0:40.0,B. Diaw misses 2-pt shot from 5 ft,,70-64,,
0:39.0,,,70-64,,Defensive rebound by K. O'Quinn
0:24.0,Shooting block foul by K. Leonard (drawn by C. Anthony),,70-64,,
0:24.0,,,70-64,,C. Anthony misses free throw 1 of 2
0:24.0,,,70-64,,Offensive rebound by Team
0:24.0,,,70-64,,K. Seraphin enters the game for K. O'Quinn
0:24.0,D. Green enters the game for K. Leonard,,70-64,,
0:24.0,T. Parker enters the game for M. Ginobili,,70-64,,
0:24.0,,,70-65,1,C. Anthony makes free throw 2 of 2
0:02.0,B. Diaw misses 3-pt shot from 22 ft,,70-65,,
0:01.0,,,70-65,,Defensive rebound by K. Seraphin
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,T. Duncan makes 2-pt shot from 2 ft (assist by M. Ginobili),2,72-65,,
11:34.0,,,72-65,,L. Thomas misses 2-pt shot from 2 ft
11:33.0,Defensive rebound by T. Duncan,,72-65,,
11:25.0,Shooting foul by J. Grant (drawn by B. Diaw),,72-65,,
11:25.0,B. Diaw makes free throw 1 of 2,1,73-65,,
11:25.0,B. Diaw misses free throw 2 of 2,,73-65,,
11:24.0,,,73-65,,Defensive rebound by K. Seraphin
11:15.0,,,73-67,2,L. Galloway makes 2-pt shot from 20 ft
11:06.0,Turnover by M. Ginobili (bad pass; steal by L. Galloway),,73-67,,
10:58.0,,,73-69,2,D. Williams makes 2-pt shot from 1 ft (assist by J. Grant)
10:44.0,Shooting foul by K. Seraphin (drawn by T. Duncan),,73-69,,
10:44.0,T. Duncan makes free throw 1 of 2,1,74-69,,
10:44.0,T. Duncan makes free throw 2 of 2,1,75-69,,
10:27.0,,,75-69,,Shooting foul by B. Diaw (drawn by J. Grant)
10:27.0,,,75-70,1,J. Grant makes free throw 1 of 2
10:27.0,,,75-71,1,J. Grant makes free throw 2 of 2
10:07.0,B. Diaw makes 2-pt shot from 1 ft (assist by M. Ginobili),2,77-71,,
9:58.0,,,77-71,,K. Seraphin misses 2-pt shot from 16 ft
9:57.0,Defensive rebound by T. Duncan,,77-71,,
9:48.0,D. Green misses 2-pt shot from 2 ft (block by D. Williams),,77-71,,
9:47.0,,,77-71,,Defensive rebound by J. Grant
9:34.0,,,77-73,2,K. Seraphin makes 2-pt shot from 14 ft (assist by J. Grant)
9:21.0,M. Ginobili makes 3-pt shot from 24 ft,3,80-73,,
9:06.0,,,80-73,,D. Williams misses 2-pt shot from 10 ft
9:05.0,Defensive rebound by B. Diaw,,80-73,,
9:01.0,San Antonio full timeout,,80-73,,
9:01.0,,,80-73,,K. Porzingis enters the game for J. Grant
9:01.0,,,80-73,,R. Lopez enters the game for D. Williams
9:01.0,,,80-73,,J. Calderon enters the game for K. Seraphin
8:47.0,T. Duncan misses 2-pt shot from 19 ft,,80-73,,
8:46.0,,,80-73,,Defensive rebound by L. Galloway
8:34.0,,,80-75,2,L. Galloway makes 2-pt shot at rim
8:20.0,P. Mills makes 2-pt shot from 18 ft,2,82-75,,
8:04.0,,,82-77,2,K. Porzingis makes 2-pt shot from 15 ft (assist by R. Lopez)
7:52.0,Turnover by P. Mills (lost ball; steal by K. Porzingis),,82-77,,
7:48.0,,,82-77,,L. Galloway misses 2-pt shot from 2 ft
7:47.0,Defensive rebound by B. Diaw,,82-77,,
7:39.0,,,82-77,,Personal foul by J. Calderon (drawn by D. Green)
7:39.0,T. Parker enters the game for M. Ginobili,,82-77,,
7:39.0,K. Leonard enters the game for P. Mills,,82-77,,
7:26.0,,,82-77,,Violation by K. Porzingis (def goaltending)
7:26.0,D. Green makes 2-pt shot from 12 ft,2,84-77,,
7:07.0,,,84-79,2,R. Lopez makes 2-pt shot from 4 ft (assist by J. Calderon)
6:45.0,B. Diaw makes 3-pt shot from 24 ft (assist by T. Parker),3,87-79,,
6:38.0,,,87-79,,New York full timeout
6:38.0,L. Aldridge enters the game for B. Diaw,,87-79,,
6:38.0,,,87-79,,C. Anthony enters the game for L. Thomas
6:22.0,,,87-79,,L. Galloway misses 2-pt shot from 3 ft (block by K. Leonard)
6:21.0,Defensive rebound by D. Green,,87-79,,
6:11.0,Shooting foul by J. Calderon (drawn by T. Parker),,87-79,,
6:11.0,T. Parker makes free throw 1 of 2,1,88-79,,
6:11.0,T. Parker makes free throw 2 of 2,1,89-79,,
5:47.0,,,89-79,,L. Galloway misses 2-pt shot from 22 ft
5:46.0,,,89-79,,Offensive rebound by L. Galloway
5:45.0,,,89-79,,Turnover by L. Galloway (bad pass)
5:23.0,T. Parker makes 2-pt shot from 22 ft,2,91-79,,
5:00.0,,,91-79,,Turnover by K. Porzingis (lost ball; steal by K. Leonard)
4:56.0,K. Leonard misses 2-pt shot from 1 ft,,91-79,,
4:55.0,,,91-79,,Defensive rebound by C. Anthony
4:50.0,,,91-79,,Offensive charge foul by K. Porzingis
4:50.0,,,91-79,,Turnover by K. Porzingis (offensive foul)
4:50.0,,,91-79,,J. Grant enters the game for J. Calderon
4:35.0,Turnover by T. Duncan (bad pass; steal by K. Porzingis),,91-79,,
4:24.0,,,91-79,,C. Anthony misses 2-pt shot from 22 ft
4:23.0,,,91-79,,Offensive rebound by Team
4:23.0,Loose ball foul by T. Duncan (drawn by R. Lopez),,91-79,,
4:04.0,,,91-79,,R. Lopez misses 2-pt shot from 4 ft
4:03.0,,,91-79,,Offensive rebound by Team
3:58.0,,,91-79,,K. Porzingis misses 3-pt shot from 25 ft
3:58.0,Defensive rebound by T. Duncan,,91-79,,
3:38.0,L. Aldridge misses 2-pt shot from 20 ft,,91-79,,
3:38.0,Offensive rebound by K. Leonard,,91-79,,
3:23.0,T. Parker misses 2-pt shot from 14 ft,,91-79,,
3:23.0,,,91-79,,Defensive rebound by K. Porzingis
3:09.0,,,91-79,,R. Lopez misses 2-pt shot from 14 ft
3:06.0,,,91-79,,Offensive rebound by K. Porzingis
3:06.0,,,91-79,,K. Porzingis misses 2-pt shot from 2 ft
3:04.0,,,91-79,,Offensive rebound by C. Anthony
3:03.0,,,91-79,,C. Anthony misses 2-pt shot from 1 ft (block by K. Leonard)
3:02.0,Defensive rebound by K. Leonard,,91-79,,
2:55.0,D. Green misses 3-pt shot from 24 ft,,91-79,,
2:52.0,,,91-79,,Defensive rebound by R. Lopez
2:49.0,,,91-79,,New York full timeout
2:49.0,Official timeout,,91-79,,
2:49.0,P. Mills enters the game for D. Green,,91-79,,
2:49.0,,,91-79,,K. O'Quinn enters the game for K. Porzingis
2:37.0,,,91-79,,K. O'Quinn misses 2-pt shot from 19 ft
2:36.0,Defensive rebound by L. Aldridge,,91-79,,
2:12.0,K. Leonard makes 2-pt shot from 4 ft,2,93-79,,
2:05.0,,,93-79,,Offensive foul by C. Anthony
2:05.0,,,93-79,,Turnover by C. Anthony (offensive foul)
2:05.0,B. Diaw enters the game for T. Duncan,,93-79,,
2:05.0,K. Anderson enters the game for T. Parker,,93-79,,
1:49.0,B. Diaw misses 2-pt shot from 13 ft,,93-79,,
1:49.0,,,93-79,,Defensive rebound by L. Galloway
1:41.0,,,93-79,,J. Grant misses 2-pt shot from 21 ft
1:40.0,,,93-79,,Offensive rebound by C. Anthony
