time,Orlando,pts.away,score,pts.home,Detroit
6:23.0,,,6-15,1,M. Morris makes free throw 1 of 3
6:23.0,,,6-16,1,M. Morris makes free throw 2 of 3
6:23.0,,,6-17,1,M. Morris makes free throw 3 of 3
6:00.0,T. Harris misses 2-pt shot from 8 ft,,6-17,,
5:59.0,,,6-17,,Defensive rebound by E. Ilyasova
5:49.0,,,6-19,2,A. Drummond makes 2-pt shot from 5 ft (assist by R. Jackson)
5:46.0,Orlando full timeout,,6-19,,
5:46.0,S. Napier enters the game for C. Frye,,6-19,,
5:46.0,A. Nicholson enters the game for E. Fournier,,6-19,,
5:28.0,N. Vucevic misses 2-pt shot from 17 ft,,6-19,,
5:27.0,,,6-19,,Defensive rebound by E. Ilyasova
5:19.0,,,6-21,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
5:02.0,V. Oladipo misses 2-pt shot from 19 ft,,6-21,,
5:02.0,,,6-21,,Defensive rebound by M. Morris
4:52.0,,,6-21,,M. Morris misses 2-pt shot from 12 ft
4:50.0,Defensive rebound by A. Nicholson,,6-21,,
4:40.0,V. Oladipo makes 2-pt shot at rim,2,8-21,,
4:40.0,Shooting foul by K. Caldwell-Pope (drawn by V. Oladipo),,8-21,,
4:40.0,V. Oladipo makes free throw 1 of 1,1,9-21,,
4:22.0,,,9-21,,Offensive foul by K. Caldwell-Pope
4:22.0,,,9-21,,Turnover by K. Caldwell-Pope (offensive foul)
4:22.0,,,9-21,,S. Johnson enters the game for K. Caldwell-Pope
4:00.0,A. Nicholson makes 3-pt shot from 26 ft (assist by T. Harris),3,12-21,,
3:38.0,,,12-21,,R. Jackson misses 3-pt shot from 26 ft
3:38.0,Defensive rebound by T. Harris,,12-21,,
3:19.0,A. Nicholson makes 2-pt shot from 6 ft,2,14-21,,
3:06.0,,,14-23,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
2:42.0,S. Napier makes 3-pt shot from 26 ft (assist by N. Vucevic),3,17-23,,
2:20.0,,,17-26,3,S. Johnson makes 3-pt shot from 24 ft (assist by R. Jackson)
1:57.0,V. Oladipo makes 2-pt shot at rim,2,19-26,,
1:45.0,,,19-26,,R. Jackson misses 2-pt shot from 8 ft
1:45.0,,,19-26,,Offensive rebound by R. Jackson
1:40.0,,,19-28,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
1:18.0,,,19-28,,Detroit full timeout
1:18.0,J. Smith enters the game for T. Harris,,19-28,,
1:18.0,A. Gordon enters the game for N. Vucevic,,19-28,,
1:18.0,,,19-28,,B. Jennings enters the game for R. Jackson
1:07.0,Turnover by Team (shot clock),,19-28,,
0:53.0,,,19-28,,Turnover by S. Johnson (lost ball; steal by S. Napier)
0:49.0,Shooting foul by E. Ilyasova (drawn by A. Gordon),,19-28,,
0:49.0,A. Gordon makes free throw 1 of 2,1,20-28,,
0:49.0,A. Gordon makes free throw 2 of 2,1,21-28,,
0:40.0,Personal foul by A. Gordon (drawn by M. Morris),,21-28,,
0:26.0,,,21-31,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by S. Johnson)
0:03.0,V. Oladipo makes 2-pt shot from 1 ft,2,23-31,,
0:00.0,,,23-31,,M. Morris misses 3-pt shot from 35 ft
0:00.0,,,23-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,A. Nicholson makes 2-pt shot at rim,2,25-31,,
11:15.0,,,25-31,,S. Johnson misses 3-pt shot from 26 ft
11:14.0,Defensive rebound by A. Nicholson,,25-31,,
10:57.0,S. Napier misses 3-pt shot from 26 ft,,25-31,,
10:57.0,,,25-31,,Defensive rebound by K. Caldwell-Pope
10:54.0,,,25-31,,Shooting foul by M. Hezonja (drawn by K. Caldwell-Pope)
10:54.0,,,25-32,1,K. Caldwell-Pope makes free throw 1 of 2
10:54.0,,,25-33,1,K. Caldwell-Pope makes free throw 2 of 2
10:42.0,,,25-33,,Personal foul by A. Baynes (drawn by A. Nicholson)
10:35.0,J. Smith makes 2-pt shot from 18 ft (assist by S. Napier),2,27-33,,
10:23.0,,,27-33,,Shooting foul by S. Napier (drawn by B. Jennings)
10:23.0,,,27-33,,B. Jennings misses free throw 1 of 2
10:23.0,,,27-33,,Offensive rebound by Team
10:23.0,,,27-34,1,B. Jennings makes free throw 2 of 2
10:15.0,J. Smith misses 2-pt shot from 2 ft (block by A. Tolliver),,27-34,,
10:14.0,Offensive rebound by J. Smith,,27-34,,
10:13.0,J. Smith misses 2-pt shot at rim,,27-34,,
10:11.0,,,27-34,,Defensive rebound by A. Baynes
10:05.0,,,27-37,3,S. Johnson makes 3-pt shot from 22 ft (assist by B. Jennings)
9:38.0,M. Hezonja misses 2-pt shot at rim,,27-37,,
9:36.0,,,27-37,,Defensive rebound by K. Caldwell-Pope
9:29.0,,,27-40,3,A. Tolliver makes 3-pt shot from 22 ft (assist by B. Jennings)
9:04.0,J. Smith misses 3-pt shot from 27 ft,,27-40,,
9:03.0,Offensive rebound by A. Gordon,,27-40,,
8:52.0,Turnover by S. Napier (lost ball; steal by S. Johnson),,27-40,,
8:46.0,,,27-42,2,B. Jennings makes 2-pt shot at rim (assist by S. Johnson)
8:41.0,Orlando full timeout,,27-42,,
8:41.0,V. Oladipo enters the game for S. Napier,,27-42,,
8:41.0,E. Fournier enters the game for M. Hezonja,,27-42,,
8:25.0,A. Nicholson misses 2-pt shot at rim,,27-42,,
8:23.0,,,27-42,,Defensive rebound by S. Johnson
8:19.0,,,27-42,,Turnover by A. Baynes (bad pass; steal by E. Fournier)
8:07.0,A. Nicholson misses 3-pt shot from 27 ft,,27-42,,
8:07.0,,,27-42,,Defensive rebound by A. Tolliver
7:58.0,,,27-42,,A. Tolliver misses 3-pt shot from 25 ft (block by J. Smith)
7:56.0,Defensive rebound by V. Oladipo,,27-42,,
7:55.0,J. Smith makes 2-pt shot at rim,2,29-42,,
7:55.0,Shooting foul by B. Jennings (drawn by J. Smith),,29-42,,
7:55.0,T. Harris enters the game for A. Nicholson,,29-42,,
7:55.0,J. Smith makes free throw 1 of 1,1,30-42,,
7:40.0,,,30-42,,S. Johnson misses 2-pt shot at rim
7:37.0,Defensive rebound by T. Harris,,30-42,,
7:31.0,J. Smith misses 2-pt shot from 2 ft (block by A. Baynes),,30-42,,
7:29.0,,,30-42,,Defensive rebound by A. Baynes
7:23.0,,,30-44,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by B. Jennings)
7:02.0,J. Smith makes 2-pt shot from 19 ft (assist by V. Oladipo),2,32-44,,
6:49.0,,,32-46,2,B. Jennings makes 2-pt shot from 5 ft
6:30.0,E. Fournier misses 2-pt shot from 12 ft,,32-46,,
6:29.0,,,32-46,,Defensive rebound by S. Johnson
6:12.0,,,32-48,2,A. Baynes makes 2-pt shot from 4 ft (assist by A. Tolliver)
5:59.0,J. Smith makes 2-pt shot at rim (assist by V. Oladipo),2,34-48,,
5:59.0,Shooting foul by A. Baynes (drawn by J. Smith),,34-48,,
5:59.0,Official timeout,,34-48,,
5:59.0,,,34-48,,A. Drummond enters the game for S. Johnson
5:59.0,,,34-48,,M. Morris enters the game for B. Jennings
5:59.0,,,34-48,,R. Jackson enters the game for A. Baynes
5:59.0,J. Smith makes free throw 1 of 1,1,35-48,,
5:44.0,,,35-48,,K. Caldwell-Pope misses 2-pt shot from 16 ft
5:44.0,Defensive rebound by V. Oladipo,,35-48,,
5:30.0,J. Smith makes 2-pt shot from 17 ft (assist by E. Fournier),2,37-48,,
5:09.0,,,37-48,,A. Tolliver misses 2-pt shot at rim
5:09.0,Defensive rebound by V. Oladipo,,37-48,,
5:02.0,V. Oladipo makes 2-pt shot at rim,2,39-48,,
4:37.0,,,39-48,,R. Jackson misses 2-pt shot from 5 ft
4:36.0,,,39-48,,Offensive rebound by A. Drummond
4:32.0,,,39-48,,A. Drummond misses 2-pt shot from 1 ft
4:32.0,,,39-48,,Offensive rebound by A. Drummond
4:29.0,,,39-50,2,A. Drummond makes 2-pt shot at rim
4:21.0,J. Smith misses 2-pt shot from 20 ft,,39-50,,
4:21.0,Offensive rebound by Team,,39-50,,
4:21.0,,,39-50,,E. Ilyasova enters the game for A. Tolliver
4:21.0,N. Vucevic enters the game for J. Smith,,39-50,,
4:15.0,,,39-50,,Personal foul by M. Morris (drawn by T. Harris)
3:54.0,E. Fournier misses 3-pt shot from 27 ft,,39-50,,
3:54.0,,,39-50,,Defensive rebound by A. Drummond
3:42.0,,,39-50,,R. Jackson misses 2-pt shot from 7 ft
3:42.0,Defensive rebound by V. Oladipo,,39-50,,
3:26.0,T. Harris makes 2-pt shot from 16 ft (assist by N. Vucevic),2,41-50,,
3:01.0,,,41-52,2,M. Morris makes 2-pt shot from 4 ft
2:51.0,N. Vucevic misses 2-pt shot from 18 ft,,41-52,,
2:51.0,,,41-52,,Defensive rebound by K. Caldwell-Pope
2:44.0,,,41-54,2,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope)
2:20.0,N. Vucevic makes 2-pt shot from 3 ft,2,43-54,,
2:04.0,,,43-54,,R. Jackson misses 3-pt shot from 26 ft
2:04.0,,,43-54,,Offensive rebound by Team
2:03.0,,,43-54,,S. Johnson enters the game for K. Caldwell-Pope
2:03.0,,,43-54,,Detroit full timeout
2:03.0,S. Napier enters the game for E. Fournier,,43-54,,
1:56.0,,,43-54,,Shooting foul by N. Vucevic (drawn by A. Drummond)
1:56.0,,,43-54,,A. Drummond misses free throw 1 of 2
1:56.0,,,43-54,,Offensive rebound by Team
1:56.0,,,43-54,,A. Drummond misses free throw 2 of 2
1:55.0,Defensive rebound by V. Oladipo,,43-54,,
1:41.0,N. Vucevic misses 2-pt shot from 16 ft,,43-54,,
1:41.0,,,43-54,,Defensive rebound by S. Johnson
1:23.0,,,43-54,,A. Drummond misses 2-pt shot at rim
1:23.0,Defensive rebound by S. Napier,,43-54,,
1:17.0,T. Harris makes 2-pt shot at rim (assist by A. Gordon),2,45-54,,
0:51.0,,,45-54,,Shooting foul by T. Harris (drawn by M. Morris)
0:51.0,,,45-55,1,M. Morris makes free throw 1 of 2
0:51.0,,,45-56,1,M. Morris makes free throw 2 of 2
0:42.0,,,45-56,,Personal foul by S. Johnson (drawn by V. Oladipo)
0:42.0,V. Oladipo makes free throw 1 of 2,1,46-56,,
0:42.0,V. Oladipo makes free throw 2 of 2,1,47-56,,
0:41.0,Personal take foul by V. Oladipo (drawn by A. Drummond),,47-56,,
0:41.0,,,47-57,1,A. Drummond makes free throw 1 of 2
0:41.0,Violation by S. Napier (lane),,47-57,,
0:41.0,,,47-57,,A. Drummond misses free throw 2 of 2
0:41.0,Defensive rebound by N. Vucevic,,47-57,,
0:25.0,Turnover by V. Oladipo (lost ball),,47-57,,
0:25.0,Jump ball: A. Drummond vs. V. Oladipo (E. Ilyasova gains possession),,,,Jump ball: A. Drummond vs. V. Oladipo (E. Ilyasova gains possession)
0:24.0,,,47-57,,Detroit full timeout
0:24.0,,,47-57,,A. Baynes enters the game for A. Drummond
0:01.0,,,47-57,,E. Ilyasova misses 2-pt shot from 14 ft
0:00.0,,,47-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,N. Vucevic makes 2-pt shot from 5 ft,2,49-57,,
11:14.0,,,49-57,,A. Drummond misses 2-pt shot from 16 ft
11:13.0,Defensive rebound by C. Frye,,49-57,,
11:05.0,N. Vucevic misses 2-pt shot from 8 ft,,49-57,,
11:04.0,Offensive rebound by N. Vucevic,,49-57,,
11:00.0,T. Harris makes 3-pt shot from 26 ft (assist by N. Vucevic),3,52-57,,
10:37.0,,,52-57,,K. Caldwell-Pope misses 3-pt shot from 25 ft
10:37.0,Defensive rebound by V. Oladipo,,52-57,,
10:23.0,N. Vucevic makes 2-pt shot from 6 ft (assist by T. Harris),2,54-57,,
10:23.0,,,54-57,,Detroit full timeout
10:08.0,,,54-59,2,R. Jackson makes 2-pt shot from 13 ft
9:45.0,T. Harris misses 3-pt shot from 25 ft,,54-59,,
9:45.0,,,54-59,,Defensive rebound by K. Caldwell-Pope
9:36.0,,,54-59,,A. Drummond misses 2-pt shot from 6 ft
9:35.0,,,54-59,,Offensive rebound by A. Drummond
9:34.0,,,54-59,,A. Drummond misses 2-pt shot from 5 ft
9:33.0,,,54-59,,Offensive rebound by A. Drummond
9:29.0,,,54-59,,Turnover by A. Drummond (bad pass; steal by V. Oladipo)
9:17.0,C. Frye makes 2-pt shot from 15 ft (assist by V. Oladipo),2,56-59,,
8:59.0,,,56-61,2,R. Jackson makes 2-pt shot from 14 ft
8:45.0,N. Vucevic makes 2-pt shot from 17 ft (assist by V. Oladipo),2,58-61,,
8:18.0,,,58-61,,E. Ilyasova misses 3-pt shot from 25 ft
8:17.0,,,58-61,,Offensive rebound by A. Drummond
8:06.0,,,58-61,,Shooting foul by V. Oladipo (drawn by R. Jackson)
8:06.0,,,58-62,1,R. Jackson makes free throw 1 of 2
8:06.0,,,58-63,1,R. Jackson makes free throw 2 of 2
7:44.0,T. Harris makes 2-pt shot at rim,2,60-63,,
7:22.0,,,60-63,,K. Caldwell-Pope misses 2-pt shot from 7 ft
7:21.0,,,60-63,,Offensive rebound by E. Ilyasova
7:20.0,,,60-63,,E. Ilyasova misses 2-pt shot from 4 ft (block by C. Frye)
7:18.0,,,60-63,,Offensive rebound by M. Morris
7:17.0,,,60-65,2,M. Morris makes 2-pt shot from 13 ft
7:06.0,,,60-65,,Personal foul by R. Jackson (drawn by V. Oladipo)
6:53.0,V. Oladipo makes 3-pt shot from 25 ft (assist by T. Harris),3,63-65,,
6:30.0,,,63-67,2,M. Morris makes 2-pt shot from 17 ft
6:06.0,N. Vucevic misses 2-pt shot at rim,,63-67,,
6:05.0,,,63-67,,Defensive rebound by K. Caldwell-Pope
6:04.0,,,63-67,,Offensive foul by K. Caldwell-Pope
6:04.0,,,63-67,,Turnover by K. Caldwell-Pope (offensive foul)
5:40.0,E. Fournier misses 2-pt shot from 7 ft,,63-67,,
5:39.0,,,63-67,,Defensive rebound by K. Caldwell-Pope
5:32.0,,,63-70,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by R. Jackson)
5:16.0,,,63-70,,Flagrant foul type 1 by M. Morris (drawn by T. Harris)
5:16.0,T. Harris makes flagrant free throw 1 of 2,1,64-70,,
5:16.0,T. Harris makes flagrant free throw 2 of 2,1,65-70,,
5:04.0,V. Oladipo misses 2-pt shot from 18 ft,,65-70,,
5:04.0,,,65-70,,Defensive rebound by R. Jackson
4:45.0,,,65-72,2,A. Drummond makes 2-pt shot from 6 ft (assist by R. Jackson)
4:19.0,C. Frye misses 3-pt shot from 23 ft,,65-72,,
4:18.0,Offensive rebound by E. Fournier,,65-72,,
4:14.0,E. Fournier misses 3-pt shot from 26 ft,,65-72,,
4:13.0,,,65-72,,Defensive rebound by M. Morris
4:10.0,Personal foul by E. Fournier (drawn by A. Drummond),,65-72,,
4:10.0,,,65-72,,S. Johnson enters the game for K. Caldwell-Pope
4:10.0,A. Gordon enters the game for C. Frye,,65-72,,
4:10.0,S. Napier enters the game for E. Fournier,,65-72,,
4:06.0,Personal foul by S. Napier (drawn by R. Jackson),,65-72,,
3:57.0,,,65-74,2,R. Jackson makes 2-pt shot from 10 ft
3:41.0,,,65-74,,Personal foul by R. Jackson (drawn by S. Napier)
3:31.0,N. Vucevic makes 2-pt shot from 4 ft,2,67-74,,
3:31.0,,,67-74,,Violation by A. Drummond (def goaltending)
3:19.0,,,67-76,2,R. Jackson makes 2-pt shot at rim
3:06.0,S. Napier misses 2-pt shot from 4 ft (block by A. Drummond),,67-76,,
3:06.0,Offensive rebound by Team,,67-76,,
2:54.0,Turnover by Team (shot clock),,67-76,,
2:54.0,Orlando full timeout,,67-76,,
2:54.0,,,67-76,,B. Jennings enters the game for R. Jackson
2:54.0,J. Smith enters the game for N. Vucevic,,67-76,,
2:40.0,,,67-79,3,E. Ilyasova makes 3-pt shot from 27 ft (assist by B. Jennings)
2:27.0,Turnover by V. Oladipo (lost ball; steal by S. Johnson),,67-79,,
2:09.0,,,67-79,,S. Johnson misses 3-pt shot from 23 ft
2:08.0,,,67-79,,Offensive rebound by E. Ilyasova
2:04.0,,,67-81,2,E. Ilyasova makes 2-pt shot from 13 ft
1:49.0,V. Oladipo makes 2-pt shot from 14 ft,2,69-81,,
1:29.0,,,69-83,2,M. Morris makes 2-pt shot from 16 ft
1:16.0,,,69-83,,Personal foul by S. Johnson (drawn by V. Oladipo)
1:16.0,A. Nicholson enters the game for A. Gordon,,69-83,,
1:08.0,S. Napier misses 3-pt shot from 23 ft,,69-83,,
1:08.0,,,69-83,,Defensive rebound by A. Drummond
1:01.0,Personal foul by J. Smith (drawn by A. Drummond),,69-83,,
1:01.0,,,69-83,,A. Baynes enters the game for A. Drummond
0:56.0,,,69-85,2,A. Baynes makes 2-pt shot at rim (assist by S. Johnson)
0:41.0,A. Nicholson makes 3-pt shot from 24 ft (assist by S. Napier),3,72-85,,
0:27.0,,,72-85,,E. Ilyasova misses 2-pt shot from 6 ft
0:26.0,Defensive rebound by V. Oladipo,,72-85,,
0:06.0,V. Oladipo makes 2-pt shot at rim,2,74-85,,
0:01.0,,,74-88,3,B. Jennings makes 3-pt shot from 26 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,74-88,,Turnover by A. Tolliver (bad pass; steal by S. Napier)
11:35.0,,,74-88,,Personal foul by S. Johnson (drawn by T. Harris)
11:29.0,Turnover by A. Nicholson (3 sec),,74-88,,
11:11.0,,,74-88,,S. Johnson misses 2-pt shot at rim (block by J. Smith)
11:10.0,Defensive rebound by E. Fournier,,74-88,,
11:07.0,,,74-88,,Personal foul by A. Tolliver (drawn by A. Nicholson)
10:54.0,A. Nicholson makes 2-pt shot from 5 ft,2,76-88,,
10:45.0,,,76-88,,Shooting foul by J. Smith (drawn by B. Jennings)
10:45.0,,,76-89,1,B. Jennings makes free throw 1 of 2
10:45.0,,,76-89,,B. Jennings misses free throw 2 of 2
10:44.0,Defensive rebound by A. Nicholson,,76-89,,
10:27.0,J. Smith misses 2-pt shot from 18 ft,,76-89,,
10:26.0,,,76-89,,Defensive rebound by S. Johnson
10:17.0,,,76-89,,S. Johnson misses 3-pt shot from 24 ft
10:16.0,Defensive rebound by A. Nicholson,,76-89,,
10:05.0,J. Smith misses 2-pt shot from 20 ft,,76-89,,
10:04.0,,,76-89,,Defensive rebound by S. Johnson
9:57.0,,,76-89,,B. Jennings misses 2-pt shot at rim
9:57.0,,,76-89,,Offensive rebound by A. Baynes
9:53.0,,,76-91,2,A. Baynes makes 2-pt shot at rim
9:38.0,J. Smith misses 2-pt shot at rim,,76-91,,
9:38.0,,,76-91,,Defensive rebound by A. Tolliver
9:20.0,Personal foul by S. Napier (drawn by B. Jennings),,76-91,,
9:20.0,V. Oladipo enters the game for T. Harris,,76-91,,
9:08.0,,,76-91,,A. Tolliver misses 3-pt shot from 26 ft
9:08.0,,,76-91,,Offensive rebound by A. Baynes
9:02.0,,,76-93,2,A. Tolliver makes 2-pt shot at rim (assist by A. Baynes)
9:02.0,Orlando full timeout,,76-93,,
9:02.0,A. Gordon enters the game for A. Nicholson,,76-93,,
9:02.0,D. Dedmon enters the game for J. Smith,,76-93,,
8:50.0,S. Napier misses 2-pt shot from 10 ft,,76-93,,
8:50.0,Offensive rebound by Team,,76-93,,
8:38.0,V. Oladipo misses 2-pt shot from 6 ft (block by A. Baynes),,76-93,,
8:36.0,,,76-93,,Defensive rebound by A. Baynes
8:30.0,,,76-93,,B. Jennings misses 2-pt shot from 1 ft
8:29.0,,,76-93,,Offensive rebound by A. Tolliver
8:12.0,,,76-93,,Shooting foul by V. Oladipo (drawn by B. Jennings)
8:12.0,,,76-94,1,B. Jennings makes free throw 1 of 2
8:12.0,,,76-95,1,B. Jennings makes free throw 2 of 2
8:04.0,Turnover by S. Napier (bad pass; steal by B. Jennings),,76-95,,
7:58.0,,,76-97,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by B. Jennings)
7:42.0,V. Oladipo misses 2-pt shot from 4 ft,,76-97,,
7:42.0,,,76-97,,Defensive rebound by A. Baynes
7:36.0,,,76-100,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by B. Jennings)
7:23.0,,,76-100,,Personal foul by K. Caldwell-Pope (drawn by V. Oladipo)
7:23.0,M. Hezonja enters the game for V. Oladipo,,76-100,,
7:18.0,E. Fournier misses 3-pt shot from 24 ft,,76-100,,
7:18.0,,,76-100,,Defensive rebound by A. Baynes
7:06.0,,,76-103,3,K. Caldwell-Pope makes 3-pt shot from 25 ft
7:06.0,Orlando full timeout,,76-103,,
7:06.0,A. Nicholson enters the game for E. Fournier,,76-103,,
6:46.0,A. Nicholson misses 2-pt shot from 7 ft,,76-103,,
6:45.0,,,76-103,,Defensive rebound by S. Johnson
6:38.0,,,76-106,3,B. Jennings makes 3-pt shot from 25 ft
6:23.0,S. Napier misses 2-pt shot from 1 ft,,76-106,,
6:21.0,,,76-106,,Defensive rebound by A. Baynes
6:13.0,,,76-106,,B. Jennings misses 2-pt shot from 5 ft
6:13.0,Defensive rebound by D. Dedmon,,76-106,,
6:06.0,S. Napier misses 2-pt shot from 14 ft,,76-106,,
6:06.0,,,76-106,,Defensive rebound by A. Tolliver
5:52.0,,,76-106,,K. Caldwell-Pope misses 3-pt shot from 25 ft
5:52.0,,,76-106,,Offensive rebound by S. Johnson
5:51.0,,,76-106,,S. Johnson misses 2-pt shot at rim
5:51.0,,,76-106,,Offensive rebound by A. Baynes
5:51.0,,,76-106,,Shooting foul by D. Dedmon (drawn by A. Baynes)
5:51.0,Official timeout,,76-106,,
5:51.0,,,76-106,,A. Baynes misses free throw 1 of 2
5:51.0,,,76-106,,Offensive rebound by Team
5:51.0,,,76-107,1,A. Baynes makes free throw 2 of 2
5:27.0,S. Napier makes 2-pt shot from 17 ft,2,78-107,,
5:09.0,,,78-110,3,B. Jennings makes 3-pt shot from 22 ft (assist by A. Baynes)
4:43.0,M. Hezonja makes 2-pt shot from 5 ft,2,80-110,,
4:24.0,,,80-110,,B. Jennings misses 3-pt shot from 26 ft
4:24.0,,,80-110,,Offensive rebound by A. Baynes
4:16.0,,,80-110,,K. Caldwell-Pope misses 3-pt shot from 23 ft
4:16.0,Defensive rebound by A. Gordon,,80-110,,
4:02.0,A. Gordon misses 3-pt shot from 25 ft,,80-110,,
4:02.0,,,80-110,,Defensive rebound by B. Jennings
3:44.0,,,80-110,,Turnover by A. Baynes (lost ball)
3:44.0,,,80-110,,D. Hilliard enters the game for K. Caldwell-Pope
3:44.0,,,80-110,,S. Blake enters the game for S. Johnson
3:44.0,,,80-110,,R. Bullock enters the game for B. Jennings
3:44.0,,,80-110,,J. Anthony enters the game for A. Baynes
3:32.0,S. Napier misses 3-pt shot from 26 ft,,80-110,,
3:32.0,Offensive rebound by Team,,80-110,,
3:32.0,,,80-110,,Loose ball foul by J. Anthony (drawn by D. Dedmon)
3:25.0,M. Hezonja misses 2-pt shot from 15 ft,,80-110,,
3:25.0,,,80-110,,Defensive rebound by A. Tolliver
3:11.0,,,80-110,,R. Bullock misses 2-pt shot from 18 ft
3:11.0,Defensive rebound by A. Nicholson,,80-110,,
3:01.0,Shooting foul by D. Hilliard (drawn by M. Hezonja),,80-110,,
3:01.0,M. Hezonja makes free throw 1 of 2,1,81-110,,
3:01.0,M. Hezonja makes free throw 2 of 2,1,82-110,,
2:43.0,,,82-110,,Turnover by S. Blake (lost ball)
2:43.0,,,82-110,,Detroit full timeout
2:19.0,Turnover by Team (shot clock),,82-110,,
2:05.0,,,82-110,,D. Hilliard misses 2-pt shot from 4 ft (block by D. Dedmon)
2:03.0,,,82-110,,Offensive rebound by A. Tolliver
1:58.0,,,82-110,,D. Hilliard misses 2-pt shot from 17 ft
1:58.0,,,82-110,,Offensive rebound by Team
1:55.0,,,82-112,2,A. Tolliver makes 2-pt shot from 18 ft (assist by R. Bullock)
1:48.0,S. Napier makes 2-pt shot from 18 ft,2,84-112,,
1:34.0,,,84-115,3,A. Tolliver makes 3-pt shot from 26 ft (assist by S. Blake)
1:19.0,S. Napier makes 3-pt shot from 23 ft (assist by A. Nicholson),3,87-115,,
1:00.0,,,87-115,,S. Blake misses 3-pt shot from 22 ft
1:00.0,,,87-115,,Offensive rebound by J. Anthony
0:52.0,,,87-115,,A. Tolliver misses 2-pt shot from 4 ft (block by D. Dedmon)
0:50.0,Defensive rebound by A. Nicholson,,87-115,,
0:45.0,S. Napier misses 3-pt shot from 24 ft,,87-115,,
0:44.0,,,87-115,,Defensive rebound by R. Bullock
