time,Sacramento,pts.away,score,pts.home,Minnesota
2:50.0,D. Cousins makes free throw 1 of 2,1,47-48,,
2:50.0,D. Cousins misses free throw 2 of 2,,47-48,,
2:50.0,,,47-48,,Defensive rebound by G. Dieng
2:34.0,,,47-48,,A. Wiggins misses 2-pt shot at rim
2:33.0,,,47-48,,Offensive rebound by A. Wiggins
2:33.0,,,47-50,2,A. Wiggins makes 2-pt shot at rim
2:27.0,D. Cousins makes 2-pt shot at rim (assist by R. Rondo),2,49-50,,
2:10.0,,,49-50,,G. Dieng misses 2-pt shot from 1 ft (block by D. Cousins)
2:10.0,Defensive rebound by Team,,49-50,,
1:44.0,R. Gay makes 3-pt shot from 26 ft,3,52-50,,
1:33.0,,,52-50,,S. Muhammad misses 3-pt shot from 25 ft
1:31.0,Defensive rebound by R. Rondo,,52-50,,
1:24.0,D. Cousins misses 3-pt shot from 24 ft,,52-50,,
1:22.0,,,52-50,,Defensive rebound by G. Dieng
1:05.0,,,52-52,2,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio)
1:05.0,,,52-52,,Shooting foul by O. Casspi (drawn by A. Wiggins)
1:05.0,,,52-53,1,A. Wiggins makes free throw 1 of 1
0:58.0,R. Rondo makes 2-pt shot at rim,2,54-53,,
0:43.0,,,54-56,3,S. Muhammad makes 3-pt shot from 23 ft (assist by A. Wiggins)
0:32.0,R. Rondo misses 2-pt shot from 22 ft,,54-56,,
0:30.0,,,54-56,,Defensive rebound by R. Rubio
0:09.0,,,54-58,2,R. Rubio makes 2-pt shot from 1 ft
0:01.0,D. Cousins misses 3-pt shot from 25 ft,,54-58,,
0:00.0,,,54-58,,Defensive rebound by A. Wiggins
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Turnover by D. Cousins (bad pass),,54-58,,
11:31.0,,,54-58,,A. Wiggins misses 2-pt shot from 20 ft
11:29.0,,,54-58,,Offensive rebound by R. Rubio
11:16.0,,,54-58,,K. Towns misses 2-pt shot at rim
11:15.0,Defensive rebound by D. Cousins,,54-58,,
11:04.0,D. Cousins makes 2-pt shot from 1 ft,2,56-58,,
10:54.0,,,56-58,,Shooting foul by D. Cousins (drawn by A. Wiggins)
10:54.0,,,56-59,1,A. Wiggins makes free throw 1 of 2
10:54.0,,,56-60,1,A. Wiggins makes free throw 2 of 2
10:53.0,,,56-60,,Technical foul by K. Garnett
10:53.0,Technical foul by O. Casspi,,56-60,,
10:38.0,D. Cousins misses 2-pt shot from 2 ft,,56-60,,
10:37.0,,,56-60,,Defensive rebound by K. Towns
10:28.0,,,56-62,2,K. Garnett makes 2-pt shot from 21 ft (assist by R. Rubio)
10:17.0,Turnover by B. McLemore (traveling),,56-62,,
10:07.0,,,56-64,2,K. Towns makes 2-pt shot from 20 ft (assist by R. Rubio)
10:00.0,Offensive foul by D. Cousins,,56-64,,
10:00.0,Turnover by D. Cousins (offensive foul),,56-64,,
9:40.0,,,56-64,,R. Rubio misses 2-pt shot from 19 ft
9:39.0,Defensive rebound by D. Cousins,,56-64,,
9:27.0,D. Cousins makes 2-pt shot from 4 ft (assist by R. Rondo),2,58-64,,
9:06.0,,,58-64,,R. Rubio misses 3-pt shot from 25 ft
9:04.0,Defensive rebound by D. Cousins,,58-64,,
8:52.0,D. Cousins misses 2-pt shot from 20 ft,,58-64,,
8:51.0,,,58-64,,Defensive rebound by K. Garnett
8:45.0,,,58-66,2,A. Wiggins makes 2-pt shot from 18 ft (assist by R. Rubio)
8:26.0,B. McLemore makes 2-pt shot from 2 ft,2,60-66,,
8:26.0,Shooting foul by K. Towns (drawn by B. McLemore),,60-66,,
8:26.0,B. McLemore misses free throw 1 of 1,,60-66,,
8:25.0,,,60-66,,Defensive rebound by K. Towns
8:02.0,,,60-68,2,K. Towns makes 2-pt shot from 1 ft
7:52.0,D. Cousins misses 2-pt shot at rim,,60-68,,
7:51.0,,,60-68,,Defensive rebound by K. Towns
7:45.0,,,60-68,,Shooting foul by B. McLemore (drawn by K. Towns)
7:45.0,Sacramento full timeout,,60-68,,
7:45.0,,,60-69,1,K. Towns makes free throw 1 of 2
7:45.0,,,60-70,1,K. Towns makes free throw 2 of 2
