time,New Orleans,pts.away,score,pts.home,Brooklyn
3:12.0,L. Babbitt makes 3-pt shot from 24 ft (assist by A. Ajinca),3,9-12,,
3:04.0,,,9-12,,Turnover by S. Larkin (lost ball; steal by T. Frazier)
3:00.0,D. Cunningham makes 2-pt shot at rim (assist by T. Frazier),2,11-12,,
3:00.0,,,11-12,,Brooklyn full timeout
3:00.0,,,11-12,,C. McCullough enters the game for T. Robinson
2:45.0,,,11-12,,H. Sims misses 2-pt shot from 1 ft
2:44.0,Defensive rebound by A. Ajinca,,11-12,,
2:34.0,L. Babbitt misses 3-pt shot from 24 ft,,11-12,,
2:33.0,,,11-12,,Defensive rebound by S. Larkin
2:22.0,,,11-12,,S. Karasev misses 2-pt shot from 19 ft
2:21.0,Defensive rebound by T. Douglas,,11-12,,
2:19.0,L. Babbitt makes 2-pt shot from 3 ft (assist by T. Douglas),2,13-12,,
2:19.0,Shooting foul by S. Karasev (drawn by L. Babbitt),,13-12,,
2:19.0,J. Ennis enters the game for D. Cunningham,,13-12,,
2:19.0,,,13-12,,W. Reed enters the game for H. Sims
2:19.0,,,13-12,,M. Brown enters the game for S. Larkin
2:19.0,L. Babbitt makes free throw 1 of 1,1,14-12,,
2:05.0,,,14-12,,W. Reed misses 2-pt shot from 2 ft (block by L. Babbitt)
2:02.0,Defensive rebound by A. Ajinca,,14-12,,
1:57.0,J. Ennis misses 2-pt shot from 4 ft,,14-12,,
1:56.0,,,14-12,,Defensive rebound by S. Karasev
1:42.0,,,14-12,,Turnover by M. Brown (lost ball; steal by J. Ennis)
1:36.0,T. Frazier makes 2-pt shot from 1 ft (assist by T. Douglas),2,16-12,,
1:19.0,,,16-12,,C. McCullough misses 2-pt shot from 14 ft
1:18.0,Defensive rebound by T. Douglas,,16-12,,
1:06.0,T. Douglas misses 2-pt shot from 16 ft,,16-12,,
1:05.0,,,16-12,,Defensive rebound by W. Reed
0:54.0,,,16-12,,C. McCullough misses 2-pt shot from 1 ft (block by A. Ajinca)
0:52.0,Defensive rebound by T. Douglas,,16-12,,
0:40.0,,,16-12,,Personal foul by M. Brown
0:40.0,J. Hamilton enters the game for T. Douglas,,16-12,,
0:28.0,Shooting foul by W. Reed (drawn by A. Ajinca),,16-12,,
0:28.0,A. Ajinca makes free throw 1 of 2,1,17-12,,
0:28.0,A. Ajinca makes free throw 2 of 2,1,18-12,,
0:12.0,Personal foul by T. Frazier,,18-12,,
0:12.0,,,18-13,1,M. Brown makes free throw 1 of 2
0:12.0,,,18-14,1,M. Brown makes free throw 2 of 2
0:00.0,L. Babbitt misses 2-pt shot from 16 ft,,18-14,,
0:00.0,Offensive rebound by Team,,18-14,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,18-14,,S. Kilpatrick misses 2-pt shot from 10 ft
11:39.0,,,18-14,,Offensive rebound by W. Reed
11:38.0,,,18-14,,W. Reed misses 2-pt shot from 2 ft
11:37.0,,,18-14,,Offensive rebound by W. Reed
11:35.0,,,18-14,,W. Reed misses 2-pt shot from 3 ft
11:34.0,Defensive rebound by A. Ajinca,,18-14,,
11:29.0,J. Ennis makes 3-pt shot from 24 ft (assist by T. Frazier),3,21-14,,
11:15.0,,,21-14,,W. Reed misses 2-pt shot from 19 ft
11:14.0,,,21-14,,Offensive rebound by S. Karasev
11:12.0,,,21-16,2,S. Karasev makes 2-pt shot from 7 ft
10:57.0,Shooting foul by C. McCullough (drawn by L. Babbitt),,21-16,,
10:57.0,L. Babbitt makes free throw 1 of 2,1,22-16,,
10:57.0,L. Babbitt misses free throw 2 of 2,,22-16,,
10:56.0,,,22-16,,Defensive rebound by W. Reed
10:37.0,,,22-19,3,S. Kilpatrick makes 3-pt shot from 25 ft (assist by S. Karasev)
10:29.0,,,22-19,,Violation by M. Brown (kicked ball)
10:29.0,D. Cunningham enters the game for L. Babbitt,,22-19,,
10:20.0,A. Ajinca misses 2-pt shot from 5 ft,,22-19,,
10:19.0,Offensive rebound by D. Cunningham,,22-19,,
10:06.0,D. Cunningham makes 3-pt shot from 23 ft (assist by J. Hamilton),3,25-19,,
9:57.0,Personal foul by J. Hamilton,,25-19,,
9:48.0,,,25-19,,S. Karasev misses 2-pt shot from 13 ft
9:47.0,Defensive rebound by A. Ajinca,,25-19,,
9:43.0,J. Ennis makes 2-pt shot at rim (assist by T. Frazier),2,27-19,,
9:26.0,,,27-19,,C. McCullough misses 3-pt shot from 24 ft
9:25.0,,,27-19,,Offensive rebound by W. Reed
9:19.0,,,27-22,3,S. Kilpatrick makes 3-pt shot from 25 ft (assist by S. Karasev)
9:06.0,T. Frazier makes 3-pt shot from 24 ft (assist by J. Hamilton),3,30-22,,
8:49.0,,,30-24,2,S. Kilpatrick makes 2-pt shot from 8 ft (assist by M. Brown)
8:44.0,,,30-24,,Personal block foul by M. Brown
8:44.0,Official timeout,,30-24,,
8:34.0,A. Ajinca makes 2-pt shot at rim (assist by T. Frazier),2,32-24,,
8:14.0,,,32-24,,Turnover by M. Brown (lost ball; steal by J. Ennis)
8:04.0,J. Ennis makes 3-pt shot from 23 ft (assist by T. Frazier),3,35-24,,
7:49.0,,,35-26,2,M. Brown makes 2-pt shot from 19 ft (assist by S. Karasev)
7:32.0,D. Cunningham misses 3-pt shot from 24 ft,,35-26,,
7:31.0,,,35-26,,Defensive rebound by S. Karasev
7:26.0,,,35-26,,S. Kilpatrick misses 3-pt shot from 24 ft
7:25.0,,,35-26,,Offensive rebound by C. McCullough
7:16.0,,,35-29,3,M. Brown makes 3-pt shot from 23 ft (assist by S. Karasev)
6:57.0,J. Hamilton misses 2-pt shot from 7 ft,,35-29,,
6:56.0,Offensive rebound by D. Cunningham,,35-29,,
6:48.0,A. Ajinca makes 2-pt shot from 7 ft (assist by T. Frazier),2,37-29,,
6:37.0,,,37-29,,Turnover by S. Karasev (lost ball; steal by D. Cunningham)
6:33.0,T. Frazier makes 2-pt shot from 1 ft (assist by D. Cunningham),2,39-29,,
6:12.0,,,39-29,,C. McCullough misses 3-pt shot from 23 ft
6:10.0,Defensive rebound by J. Hamilton,,39-29,,
6:04.0,,,39-29,,Personal foul by M. Brown
6:03.0,K. Perkins enters the game for A. Ajinca,,39-29,,
6:03.0,,,39-29,,S. Larkin enters the game for M. Brown
5:52.0,J. Ennis misses 3-pt shot from 24 ft,,39-29,,
5:51.0,,,39-29,,Defensive rebound by S. Karasev
5:39.0,,,39-29,,S. Karasev misses 3-pt shot from 24 ft
5:37.0,,,39-29,,Offensive rebound by C. McCullough
5:25.0,Personal foul by J. Ennis,,39-29,,
5:25.0,,,39-29,,Brooklyn full timeout
5:25.0,T. Douglas enters the game for J. Hamilton,,39-29,,
5:22.0,,,39-29,,Offensive foul by S. Kilpatrick
5:22.0,,,39-29,,Turnover by S. Kilpatrick (offensive foul)
5:10.0,Turnover by D. Cunningham (traveling),,39-29,,
4:56.0,,,39-29,,Turnover by S. Karasev (lost ball; steal by J. Ennis)
4:53.0,Shooting foul by W. Reed (drawn by J. Ennis),,39-29,,
4:53.0,J. Ennis makes free throw 1 of 2,1,40-29,,
4:53.0,,,40-29,,T. Robinson enters the game for C. McCullough
4:53.0,,,40-29,,W. Ellington enters the game for S. Karasev
4:53.0,J. Ennis makes free throw 2 of 2,1,41-29,,
4:38.0,,,41-29,,W. Ellington misses 2-pt shot from 5 ft
4:37.0,,,41-29,,Offensive rebound by W. Reed
4:36.0,,,41-31,2,W. Reed makes 2-pt shot at rim
4:30.0,Shooting foul by T. Robinson (drawn by D. Cunningham),,41-31,,
4:30.0,D. Cunningham makes free throw 1 of 2,1,42-31,,
4:30.0,D. Cunningham misses free throw 2 of 2,,42-31,,
4:29.0,,,42-31,,Defensive rebound by W. Reed
4:17.0,,,42-31,,Turnover by S. Larkin (lost ball; steal by J. Ennis)
4:12.0,D. Cunningham makes 2-pt shot at rim (assist by J. Ennis),2,44-31,,
4:12.0,,,44-31,,Brooklyn full timeout
4:12.0,,,44-31,,H. Sims enters the game for W. Reed
4:12.0,,,44-31,,R. Hollis-Jefferson enters the game for S. Kilpatrick
3:50.0,,,44-33,2,H. Sims makes 2-pt shot from 2 ft
3:36.0,D. Cunningham makes 2-pt shot from 19 ft (assist by T. Frazier),2,46-33,,
3:21.0,,,46-35,2,S. Larkin makes 2-pt shot from 20 ft
2:56.0,J. Ennis misses 2-pt shot from 16 ft,,46-35,,
2:55.0,Offensive rebound by Team,,46-35,,
2:55.0,,,46-35,,Loose ball foul by T. Robinson
2:55.0,K. Perkins misses free throw 1 of 2,,46-35,,
2:55.0,Offensive rebound by Team,,46-35,,
2:55.0,,,46-35,,C. McCullough enters the game for T. Robinson
2:55.0,K. Perkins makes free throw 2 of 2,1,47-35,,
2:38.0,Personal foul by T. Frazier,,47-35,,
2:38.0,L. Babbitt enters the game for D. Cunningham,,47-35,,
2:25.0,,,47-38,3,W. Ellington makes 3-pt shot from 25 ft (assist by S. Larkin)
2:10.0,T. Douglas misses 2-pt shot from 16 ft,,47-38,,
2:09.0,,,47-38,,Defensive rebound by Team
2:09.0,Loose ball foul by J. Ennis,,47-38,,
2:09.0,J. Hamilton enters the game for J. Ennis,,47-38,,
1:56.0,,,47-38,,S. Larkin misses 2-pt shot from 17 ft
1:55.0,,,47-38,,Offensive rebound by H. Sims
1:53.0,,,47-38,,Shooting foul by K. Perkins (drawn by C. McCullough)
1:53.0,,,47-39,1,C. McCullough makes free throw 1 of 2
1:53.0,,,47-40,1,C. McCullough makes free throw 2 of 2
1:30.0,K. Perkins makes 2-pt shot from 7 ft (assist by J. Hamilton),2,49-40,,
1:20.0,,,49-40,,S. Larkin misses 2-pt shot from 3 ft
1:19.0,Defensive rebound by T. Frazier,,49-40,,
1:09.0,L. Babbitt makes 2-pt shot from 8 ft,2,51-40,,
0:57.0,,,51-40,,H. Sims misses 2-pt shot from 15 ft
0:56.0,Defensive rebound by J. Hamilton,,51-40,,
0:49.0,K. Perkins makes 2-pt shot from 1 ft (assist by T. Frazier),2,53-40,,
0:27.0,,,53-42,2,C. McCullough makes 2-pt shot from 8 ft
0:05.0,T. Frazier misses 2-pt shot from 14 ft (block by R. Hollis-Jefferson),,53-42,,
0:03.0,,,53-42,,Defensive rebound by C. McCullough
0:02.0,,,53-42,,C. McCullough misses 3-pt shot from 75 ft
0:00.0,,,53-42,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,53-42,,Turnover by W. Ellington (bad pass)
11:25.0,Turnover by Team (shot clock),,53-42,,
11:25.0,,,53-42,,Brooklyn full timeout
11:06.0,,,53-42,,W. Ellington misses 3-pt shot from 26 ft
11:05.0,,,53-42,,Offensive rebound by S. Larkin
11:03.0,,,53-42,,S. Larkin misses 2-pt shot from 8 ft
11:02.0,Defensive rebound by D. Cunningham,,53-42,,
10:45.0,T. Douglas misses 3-pt shot from 25 ft,,53-42,,
10:44.0,,,53-42,,Defensive rebound by T. Robinson
10:28.0,,,53-45,3,W. Ellington makes 3-pt shot from 25 ft
10:10.0,,,53-45,,Personal foul by H. Sims
10:02.0,A. Ajinca misses 2-pt shot from 19 ft,,53-45,,
10:01.0,,,53-45,,Defensive rebound by T. Robinson
9:54.0,,,53-45,,W. Ellington misses 3-pt shot from 23 ft
9:53.0,,,53-45,,Offensive rebound by T. Robinson
9:52.0,,,53-47,2,T. Robinson makes 2-pt shot at rim
9:39.0,J. Hamilton makes 2-pt shot from 2 ft (assist by L. Babbitt),2,55-47,,
9:22.0,,,55-49,2,W. Ellington makes 2-pt shot from 14 ft (assist by H. Sims)
9:20.0,,,55-49,,Violation by Team (jump ball)
9:01.0,T. Douglas misses 2-pt shot from 12 ft,,55-49,,
9:00.0,,,55-49,,Defensive rebound by R. Hollis-Jefferson
8:45.0,,,55-49,,Offensive foul by H. Sims
8:45.0,,,55-49,,Turnover by H. Sims (offensive foul)
8:45.0,T. Frazier enters the game for J. Hamilton,,55-49,,
8:35.0,L. Babbitt misses 2-pt shot from 6 ft,,55-49,,
8:33.0,,,55-49,,Defensive rebound by H. Sims
8:25.0,,,55-49,,Shooting foul by L. Babbitt (drawn by T. Robinson)
8:25.0,,,55-49,,T. Robinson misses free throw 1 of 2
8:25.0,,,55-49,,Offensive rebound by Team
8:25.0,,,55-49,,T. Robinson misses free throw 2 of 2
8:23.0,,,55-49,,Offensive rebound by H. Sims
8:11.0,,,55-49,,Shooting foul by A. Ajinca (drawn by R. Hollis-Jefferson)
8:11.0,,,55-50,1,R. Hollis-Jefferson makes free throw 1 of 2
8:11.0,,,55-51,1,R. Hollis-Jefferson makes free throw 2 of 2
7:49.0,Turnover by D. Cunningham (lost ball; steal by R. Hollis-Jefferson),,55-51,,
7:31.0,,,55-51,,Offensive foul by R. Hollis-Jefferson
7:31.0,,,55-51,,Turnover by R. Hollis-Jefferson (offensive foul)
7:31.0,New Orleans full timeout,,55-51,,
7:08.0,A. Ajinca makes 2-pt shot from 16 ft (assist by L. Babbitt),2,57-51,,
6:48.0,,,57-51,,S. Larkin misses 2-pt shot from 20 ft
6:47.0,Defensive rebound by L. Babbitt,,57-51,,
6:36.0,D. Cunningham makes 2-pt shot from 1 ft (assist by T. Frazier),2,59-51,,
6:17.0,,,59-53,2,W. Ellington makes 2-pt shot from 19 ft (assist by S. Larkin)
6:03.0,Shooting foul by S. Larkin (drawn by T. Frazier),,59-53,,
6:03.0,T. Frazier makes free throw 1 of 2,1,60-53,,
6:03.0,T. Frazier misses free throw 2 of 2,,60-53,,
6:02.0,,,60-53,,Defensive rebound by T. Robinson
5:47.0,,,60-53,,Shooting foul by L. Babbitt (drawn by R. Hollis-Jefferson)
5:47.0,,,60-53,,R. Hollis-Jefferson misses free throw 1 of 2
5:47.0,,,60-53,,Offensive rebound by Team
5:47.0,,,60-54,1,R. Hollis-Jefferson makes free throw 2 of 2
5:33.0,L. Babbitt makes 2-pt shot from 12 ft (assist by D. Cunningham),2,62-54,,
5:14.0,,,62-56,2,S. Larkin makes 2-pt shot from 2 ft (assist by W. Ellington)
5:02.0,T. Frazier misses 2-pt shot from 14 ft,,62-56,,
5:01.0,,,62-56,,Defensive rebound by T. Robinson
4:44.0,,,62-58,2,R. Hollis-Jefferson makes 2-pt shot from 16 ft
4:37.0,L. Babbitt makes 3-pt shot from 24 ft (assist by T. Frazier),3,65-58,,
4:37.0,,,65-58,,Brooklyn full timeout
4:37.0,J. Ennis enters the game for L. Babbitt,,65-58,,
4:37.0,,,65-58,,S. Kilpatrick enters the game for H. Sims
4:36.0,,,65-58,,W. Reed enters the game for R. Hollis-Jefferson
4:25.0,,,65-58,,W. Ellington misses 3-pt shot from 24 ft
4:24.0,,,65-58,,Offensive rebound by T. Robinson
4:20.0,,,65-58,,T. Robinson misses 2-pt shot from 6 ft
4:19.0,Defensive rebound by J. Ennis,,65-58,,
4:14.0,D. Cunningham makes 2-pt shot from 2 ft (assist by T. Douglas),2,67-58,,
4:14.0,Shooting foul by W. Reed (drawn by D. Cunningham),,67-58,,
4:14.0,D. Cunningham misses free throw 1 of 1,,67-58,,
4:12.0,,,67-58,,Defensive rebound by S. Kilpatrick
3:50.0,,,67-58,,W. Ellington misses 3-pt shot from 25 ft
3:49.0,,,67-58,,Offensive rebound by T. Robinson
3:48.0,,,67-58,,Shooting foul by D. Cunningham (drawn by T. Robinson)
3:48.0,,,67-59,1,T. Robinson makes free throw 1 of 2
3:48.0,,,67-59,,S. Karasev enters the game for W. Ellington
3:48.0,,,67-59,,T. Robinson misses free throw 2 of 2
3:46.0,Defensive rebound by J. Ennis,,67-59,,
3:34.0,Offensive charge foul by D. Cunningham,,67-59,,
3:34.0,Turnover by D. Cunningham (offensive foul),,67-59,,
3:34.0,,,67-59,,C. McCullough enters the game for T. Robinson
3:34.0,,,67-59,,M. Brown enters the game for S. Larkin
3:10.0,,,67-59,,W. Reed misses 2-pt shot from 5 ft
3:09.0,,,67-59,,Offensive rebound by C. McCullough
3:07.0,,,67-61,2,C. McCullough makes 2-pt shot from 1 ft
3:06.0,New Orleans full timeout,,67-61,,
2:56.0,Shooting foul by S. Karasev (drawn by J. Ennis),,67-61,,
2:56.0,J. Ennis misses free throw 1 of 2,,67-61,,
2:56.0,Offensive rebound by Team,,67-61,,
2:56.0,K. Perkins enters the game for A. Ajinca,,67-61,,
2:56.0,J. Ennis makes free throw 2 of 2,1,68-61,,
2:38.0,,,68-63,2,W. Reed makes 2-pt shot from 2 ft (assist by S. Karasev)
2:26.0,J. Ennis misses 3-pt shot from 24 ft,,68-63,,
2:25.0,,,68-63,,Defensive rebound by Team
2:07.0,,,68-63,,Turnover by M. Brown (lost ball; steal by T. Douglas)
2:03.0,T. Douglas makes 2-pt shot from 1 ft,2,70-63,,
1:57.0,,,70-63,,Offensive charge foul by S. Kilpatrick
1:57.0,,,70-63,,Turnover by S. Kilpatrick (offensive foul)
1:57.0,J. Hamilton enters the game for T. Douglas,,70-63,,
1:57.0,L. Babbitt enters the game for D. Cunningham,,70-63,,
1:45.0,,,70-63,,Personal foul by M. Brown
1:45.0,T. Frazier makes free throw 1 of 2,1,71-63,,
1:45.0,T. Frazier makes free throw 2 of 2,1,72-63,,
1:33.0,,,72-63,,Shooting foul by K. Perkins (drawn by W. Reed)
1:33.0,,,72-63,,W. Reed misses free throw 1 of 2
1:33.0,,,72-63,,Offensive rebound by Team
1:33.0,,,72-64,1,W. Reed makes free throw 2 of 2
1:11.0,L. Babbitt makes 2-pt shot from 3 ft (assist by K. Perkins),2,74-64,,
0:46.0,,,74-64,,Turnover by C. McCullough (lost ball; steal by K. Perkins)
0:39.0,,,74-64,,Personal foul by C. McCullough
0:39.0,J. Ennis makes free throw 1 of 2,1,75-64,,
0:39.0,J. Ennis misses free throw 2 of 2,,75-64,,
0:38.0,,,75-64,,Defensive rebound by C. McCullough
0:27.0,,,75-66,2,M. Brown makes 2-pt shot from 2 ft
0:02.0,L. Babbitt misses 2-pt shot from 14 ft,,75-66,,
0:01.0,,,75-66,,Defensive rebound by S. Karasev
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,T. Frazier makes 2-pt shot from 2 ft,2,77-66,,
11:28.0,,,77-69,3,M. Brown makes 3-pt shot from 24 ft (assist by S. Karasev)
11:11.0,J. Hamilton misses 3-pt shot from 23 ft,,77-69,,
11:10.0,Offensive rebound by J. Hamilton,,77-69,,
11:08.0,J. Hamilton makes 2-pt shot from 2 ft,2,79-69,,
10:50.0,,,79-69,,S. Karasev misses 2-pt shot from 15 ft (block by J. Ennis)
10:49.0,Defensive rebound by J. Ennis,,79-69,,
10:46.0,J. Ennis makes 2-pt shot from 2 ft,2,81-69,,
10:21.0,,,81-69,,M. Brown misses 2-pt shot from 16 ft
10:20.0,Defensive rebound by Team,,81-69,,
10:04.0,J. Hamilton makes 2-pt shot from 5 ft,2,83-69,,
9:52.0,Personal foul by T. Frazier,,83-69,,
9:45.0,,,83-69,,M. Brown misses 3-pt shot from 24 ft
9:44.0,Defensive rebound by J. Hamilton,,83-69,,
9:34.0,K. Perkins makes 2-pt shot from 1 ft (assist by J. Ennis),2,85-69,,
9:34.0,,,85-69,,Brooklyn full timeout
9:34.0,,,85-69,,H. Sims enters the game for W. Reed
9:34.0,,,85-69,,T. Robinson enters the game for S. Karasev
9:34.0,,,85-69,,S. Larkin enters the game for C. McCullough
9:14.0,,,85-69,,S. Kilpatrick misses 2-pt shot from 9 ft (block by K. Perkins)
9:13.0,,,85-69,,Offensive rebound by Team
9:10.0,,,85-69,,H. Sims misses 2-pt shot from 12 ft
9:09.0,Defensive rebound by T. Frazier,,85-69,,
9:03.0,Turnover by K. Perkins (lost ball; steal by S. Larkin),,85-69,,
8:58.0,,,85-71,2,S. Kilpatrick makes 2-pt shot from 2 ft (assist by S. Larkin)
8:39.0,L. Babbitt makes 3-pt shot from 24 ft (assist by T. Frazier),3,88-71,,
8:23.0,,,88-73,2,T. Robinson makes 2-pt shot from 3 ft (assist by S. Larkin)
8:23.0,,,88-73,,Shooting foul by L. Babbitt (drawn by T. Robinson)
8:23.0,,,88-73,,W. Ellington enters the game for M. Brown
8:23.0,,,88-73,,T. Robinson misses free throw 1 of 1
8:22.0,Defensive rebound by K. Perkins,,88-73,,
8:09.0,T. Frazier makes 2-pt shot from 2 ft,2,90-73,,
7:55.0,,,90-75,2,H. Sims makes 2-pt shot from 9 ft (assist by S. Larkin)
7:33.0,J. Ennis misses 3-pt shot from 23 ft,,90-75,,
7:32.0,,,90-75,,Defensive rebound by T. Robinson
7:11.0,,,90-75,,S. Larkin misses 3-pt shot from 25 ft
7:10.0,,,90-75,,Offensive rebound by T. Robinson
7:09.0,,,90-77,2,T. Robinson makes 2-pt shot from 3 ft
7:01.0,T. Frazier makes 3-pt shot from 24 ft,3,93-77,,
6:41.0,,,93-77,,H. Sims misses 2-pt shot from 13 ft
6:40.0,,,93-77,,Offensive rebound by T. Robinson
6:33.0,,,93-79,2,S. Kilpatrick makes 2-pt shot from 2 ft (assist by W. Ellington)
6:16.0,J. Hamilton misses 3-pt shot from 23 ft,,93-79,,
6:15.0,,,93-79,,Defensive rebound by H. Sims
6:03.0,,,93-79,,Shooting foul by L. Babbitt (drawn by T. Robinson)
6:03.0,,,93-79,,T. Robinson misses free throw 1 of 2
6:03.0,,,93-79,,Offensive rebound by Team
6:03.0,A. Ajinca enters the game for K. Perkins,,93-79,,
6:03.0,D. Cunningham enters the game for L. Babbitt,,93-79,,
6:03.0,,,93-80,1,T. Robinson makes free throw 2 of 2
5:49.0,Turnover by A. Ajinca (3 sec),,93-80,,
5:49.0,Official timeout,,93-80,,
5:40.0,,,93-80,,Turnover by S. Kilpatrick (lost ball; steal by A. Ajinca)
5:34.0,J. Hamilton makes 2-pt shot from 2 ft,2,95-80,,
5:10.0,,,95-80,,S. Kilpatrick misses 2-pt shot from 6 ft (block by A. Ajinca)
5:09.0,,,95-80,,Offensive rebound by S. Kilpatrick
5:06.0,,,95-80,,S. Larkin misses 2-pt shot from 1 ft (block by A. Ajinca)
5:05.0,,,95-80,,Offensive rebound by Team
5:05.0,,,95-80,,Turnover by Team (shot clock)
4:53.0,,,95-80,,Personal foul by S. Kilpatrick
4:53.0,,,95-80,,M. Brown enters the game for S. Kilpatrick
4:48.0,T. Frazier makes 2-pt shot from 6 ft,2,97-80,,
4:32.0,,,97-82,2,H. Sims makes 2-pt shot from 15 ft (assist by S. Larkin)
4:10.0,D. Cunningham misses 2-pt shot from 17 ft,,97-82,,
