time,Golden State,pts.away,score,pts.home,Orlando
0:55.0,L. Barbosa misses 3-pt shot from 25 ft,,28-30,,
0:54.0,,,28-30,,Defensive rebound by E. Ilyasova
0:38.0,,,28-30,,V. Oladipo misses 2-pt shot from 17 ft
0:37.0,Defensive rebound by A. Iguodala,,28-30,,
0:32.0,A. Varejao makes 2-pt shot from 2 ft (assist by A. Iguodala),2,30-30,,
0:16.0,,,30-30,,E. Ilyasova misses 2-pt shot from 17 ft
0:13.0,Defensive rebound by H. Barnes,,30-30,,
0:01.0,S. Curry makes 2-pt shot from 2 ft (assist by A. Varejao),2,32-30,,
0:01.0,Shooting foul by J. Smith (drawn by S. Curry),,32-30,,
0:01.0,,,32-30,,E. Fournier enters the game for V. Oladipo
0:01.0,S. Curry makes free throw 1 of 1,1,33-30,,
0:00.0,,,33-30,,M. Hezonja misses 3-pt shot from 57 ft
0:00.0,,,33-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,33-30,,Shooting foul by L. Barbosa (drawn by J. Smith)
11:43.0,,,33-30,,J. Smith misses free throw 1 of 2
11:43.0,,,33-30,,Offensive rebound by Team
11:43.0,,,33-31,1,J. Smith makes free throw 2 of 2
11:28.0,H. Barnes misses 2-pt shot from 19 ft,,33-31,,
11:26.0,,,33-31,,Defensive rebound by E. Ilyasova
11:19.0,,,33-31,,J. Smith misses 2-pt shot from 23 ft
11:18.0,Defensive rebound by M. Speights,,33-31,,
11:08.0,Turnover by L. Barbosa (lost ball; steal by B. Jennings),,33-31,,
10:57.0,,,33-31,,J. Smith misses 2-pt shot from 15 ft
10:56.0,Defensive rebound by A. Iguodala,,33-31,,
10:49.0,S. Livingston misses 2-pt shot from 10 ft,,33-31,,
10:47.0,Offensive rebound by L. Barbosa,,33-31,,
10:46.0,L. Barbosa misses 2-pt shot from 4 ft,,33-31,,
10:46.0,Offensive rebound by Team,,33-31,,
10:38.0,M. Speights makes 2-pt shot from 16 ft (assist by S. Livingston),2,35-31,,
10:25.0,,,35-31,,M. Hezonja misses 2-pt shot from 10 ft
10:24.0,,,35-31,,Offensive rebound by Team
10:24.0,Loose ball foul by H. Barnes (drawn by E. Ilyasova),,35-31,,
10:11.0,,,35-31,,B. Jennings misses 3-pt shot from 22 ft
10:10.0,Defensive rebound by S. Livingston,,35-31,,
10:05.0,Offensive foul by M. Speights,,35-31,,
10:05.0,Turnover by M. Speights (offensive foul),,35-31,,
9:53.0,,,35-31,,E. Fournier misses 2-pt shot from 21 ft
9:52.0,Defensive rebound by Team,,35-31,,
9:31.0,S. Livingston misses 2-pt shot from 17 ft,,35-31,,
9:30.0,,,35-31,,Defensive rebound by M. Hezonja
9:23.0,,,35-31,,B. Jennings misses 2-pt shot from 4 ft
9:21.0,Defensive rebound by M. Speights,,35-31,,
9:21.0,,,35-31,,Personal foul by B. Jennings (drawn by M. Speights)
9:21.0,,,35-31,,C. Watson enters the game for B. Jennings
9:08.0,M. Speights makes 2-pt shot from 17 ft,2,37-31,,
8:51.0,,,37-33,2,E. Fournier makes 2-pt shot at rim (assist by J. Smith)
8:42.0,A. Iguodala makes 2-pt shot from 4 ft,2,39-33,,
8:34.0,,,39-35,2,J. Smith makes 2-pt shot from 20 ft (assist by C. Watson)
8:21.0,A. Iguodala misses 2-pt shot from 20 ft,,39-35,,
8:19.0,,,39-35,,Defensive rebound by J. Smith
8:10.0,,,39-35,,Shooting foul by S. Livingston (drawn by E. Fournier)
8:10.0,Official timeout,,39-35,,
8:10.0,K. Thompson enters the game for L. Barbosa,,39-35,,
8:10.0,,,39-36,1,E. Fournier makes free throw 1 of 2
8:10.0,,,39-37,1,E. Fournier makes free throw 2 of 2
7:54.0,M. Speights makes 2-pt shot from 19 ft (assist by H. Barnes),2,41-37,,
7:28.0,,,41-37,,E. Ilyasova misses 2-pt shot from 15 ft
7:26.0,Defensive rebound by S. Livingston,,41-37,,
7:18.0,M. Speights misses 2-pt shot from 17 ft,,41-37,,
7:16.0,,,41-37,,Defensive rebound by C. Watson
7:05.0,,,41-37,,Shooting foul by M. Speights (drawn by E. Ilyasova)
7:05.0,,,41-38,1,E. Ilyasova makes free throw 1 of 2
7:05.0,A. Bogut enters the game for M. Speights,,41-38,,
7:05.0,,,41-39,1,E. Ilyasova makes free throw 2 of 2
6:58.0,Turnover by S. Livingston (bad pass),,41-39,,
6:58.0,,,41-39,,A. Gordon enters the game for E. Ilyasova
6:58.0,,,41-39,,N. Vucevic enters the game for J. Smith
6:40.0,,,41-39,,N. Vucevic misses 2-pt shot from 17 ft
6:35.0,,,41-39,,Offensive rebound by A. Gordon
6:35.0,,,41-41,2,A. Gordon makes 2-pt shot from 1 ft
6:15.0,Shooting foul by C. Watson (drawn by S. Livingston),,41-41,,
6:15.0,S. Livingston makes free throw 1 of 2,1,42-41,,
6:15.0,D. Green enters the game for A. Iguodala,,42-41,,
6:15.0,S. Curry enters the game for H. Barnes,,42-41,,
6:15.0,,,42-41,,V. Oladipo enters the game for M. Hezonja
6:15.0,S. Livingston makes free throw 2 of 2,1,43-41,,
6:04.0,,,43-43,2,V. Oladipo makes 2-pt shot from 2 ft (assist by C. Watson)
5:42.0,K. Thompson misses 3-pt shot from 23 ft,,43-43,,
5:39.0,,,43-43,,Defensive rebound by V. Oladipo
5:32.0,,,43-43,,Offensive foul by N. Vucevic
5:32.0,,,43-43,,Turnover by N. Vucevic (offensive foul)
5:32.0,,,43-43,,Orlando full timeout
5:20.0,A. Bogut makes 2-pt shot from 1 ft (assist by S. Curry),2,45-43,,
5:00.0,,,45-45,2,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Fournier)
4:41.0,K. Thompson makes 2-pt shot from 9 ft (assist by S. Curry),2,47-45,,
4:31.0,Personal foul by S. Livingston (drawn by C. Watson),,47-45,,
4:31.0,,,47-46,1,C. Watson makes free throw 1 of 2
4:31.0,,,47-47,1,C. Watson makes free throw 2 of 2
4:21.0,S. Curry makes 3-pt shot from 24 ft (assist by A. Bogut),3,50-47,,
3:59.0,,,50-49,2,N. Vucevic makes 2-pt shot from 6 ft
3:42.0,A. Bogut misses 2-pt shot from 5 ft,,50-49,,
3:39.0,Offensive rebound by A. Bogut,,50-49,,
3:39.0,A. Bogut makes 2-pt shot from 2 ft,2,52-49,,
3:32.0,,,52-49,,Shooting foul by A. Bogut (drawn by C. Watson)
3:32.0,,,52-50,1,C. Watson makes free throw 1 of 2
3:32.0,A. Iguodala enters the game for S. Livingston,,52-50,,
3:32.0,,,52-51,1,C. Watson makes free throw 2 of 2
3:23.0,Offensive foul by K. Thompson,,52-51,,
3:23.0,Turnover by K. Thompson (offensive foul),,52-51,,
3:10.0,,,52-54,3,E. Fournier makes 3-pt shot from 23 ft (assist by N. Vucevic)
3:00.0,Turnover by S. Curry (bad pass; steal by E. Fournier),,52-54,,
2:57.0,Personal foul by D. Green (drawn by E. Fournier),,52-54,,
2:57.0,Golden State full timeout,,52-54,,
2:57.0,H. Barnes enters the game for A. Bogut,,52-54,,
2:57.0,,,52-55,1,E. Fournier makes free throw 1 of 2
2:57.0,,,52-56,1,E. Fournier makes free throw 2 of 2
2:43.0,H. Barnes misses 3-pt shot from 24 ft,,52-56,,
2:41.0,Offensive rebound by H. Barnes,,52-56,,
2:38.0,D. Green misses 3-pt shot from 26 ft,,52-56,,
2:36.0,Offensive rebound by H. Barnes,,52-56,,
2:24.0,Shooting foul by N. Vucevic (drawn by D. Green),,52-56,,
2:24.0,D. Green makes free throw 1 of 2,1,53-56,,
2:24.0,,,53-56,,E. Payton enters the game for C. Watson
2:24.0,D. Green misses free throw 2 of 2,,53-56,,
2:22.0,,,53-56,,Defensive rebound by N. Vucevic
2:04.0,,,53-59,3,V. Oladipo makes 3-pt shot from 23 ft (assist by E. Payton)
1:54.0,S. Curry makes 2-pt shot from 21 ft,2,55-59,,
1:31.0,,,55-59,,N. Vucevic misses 2-pt shot from 7 ft
1:29.0,,,55-59,,Offensive rebound by A. Gordon
1:29.0,,,55-61,2,A. Gordon makes 2-pt shot from 1 ft
1:20.0,S. Curry makes 2-pt shot from 2 ft,2,57-61,,
1:08.0,,,57-61,,Turnover by E. Fournier (traveling)
0:58.0,S. Curry misses 3-pt shot from 26 ft,,57-61,,
0:57.0,,,57-61,,Defensive rebound by A. Gordon
0:50.0,,,57-61,,V. Oladipo misses 2-pt shot from 20 ft
0:48.0,,,57-61,,Offensive rebound by N. Vucevic
0:44.0,,,57-61,,E. Payton misses 2-pt shot from 7 ft (block by K. Thompson)
0:41.0,,,57-61,,Offensive rebound by V. Oladipo
0:41.0,,,57-61,,V. Oladipo misses 2-pt shot at rim
0:39.0,Defensive rebound by S. Curry,,57-61,,
0:33.0,K. Thompson misses 3-pt shot from 24 ft,,57-61,,
0:32.0,,,57-61,,Defensive rebound by N. Vucevic
0:14.0,,,57-63,2,V. Oladipo makes 2-pt shot from 3 ft (assist by E. Payton)
0:05.0,D. Green makes 2-pt shot from 2 ft,2,59-63,,
0:01.0,,,59-63,,E. Payton misses 3-pt shot from 51 ft (block by S. Curry)
0:01.0,Jump ball: S. Curry vs. E. Payton (N. Vucevic gains possession),,,,Jump ball: S. Curry vs. E. Payton (N. Vucevic gains possession)
0:01.0,,,59-63,,Offensive rebound by Team
0:00.0,,,59-63,,N. Vucevic misses 3-pt shot from 30 ft
0:00.0,,,59-63,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,59-65,2,N. Vucevic makes 2-pt shot from 17 ft (assist by A. Gordon)
11:30.0,S. Curry misses 2-pt shot from 2 ft,,59-65,,
11:29.0,,,59-65,,Defensive rebound by V. Oladipo
11:29.0,Personal foul by D. Green (drawn by V. Oladipo),,59-65,,
11:13.0,,,59-65,,V. Oladipo misses 3-pt shot from 24 ft
11:12.0,Defensive rebound by S. Curry,,59-65,,
11:00.0,A. Bogut makes 2-pt shot from 1 ft (assist by D. Green),2,61-65,,
10:49.0,,,61-65,,A. Gordon misses 2-pt shot from 3 ft
10:47.0,Defensive rebound by H. Barnes,,61-65,,
10:35.0,S. Curry makes 2-pt shot from 20 ft,2,63-65,,
10:21.0,,,63-67,2,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton)
10:08.0,Shooting foul by E. Fournier (drawn by D. Green),,63-67,,
10:08.0,D. Green makes free throw 1 of 2,1,64-67,,
10:08.0,D. Green makes free throw 2 of 2,1,65-67,,
9:46.0,,,65-67,,Turnover by N. Vucevic (lost ball; steal by D. Green)
9:40.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Green),3,68-67,,
9:25.0,,,68-69,2,E. Payton makes 2-pt shot from 2 ft
9:19.0,K. Thompson misses 3-pt shot from 25 ft,,68-69,,
9:17.0,,,68-69,,Defensive rebound by N. Vucevic
9:11.0,,,68-71,2,E. Payton makes 2-pt shot at rim
8:55.0,Turnover by S. Curry (bad pass),,68-71,,
8:49.0,,,68-73,2,N. Vucevic makes 2-pt shot from 14 ft (assist by E. Payton)
8:32.0,A. Bogut makes 2-pt shot at rim (assist by D. Green),2,70-73,,
8:15.0,,,70-73,,A. Gordon misses 3-pt shot from 23 ft
8:13.0,Defensive rebound by S. Curry,,70-73,,
8:04.0,H. Barnes makes 3-pt shot from 23 ft (assist by S. Curry),3,73-73,,
7:53.0,,,73-73,,Shooting foul by A. Bogut (drawn by V. Oladipo)
7:53.0,,,73-73,,V. Oladipo misses free throw 1 of 2
7:53.0,,,73-73,,Offensive rebound by Team
7:53.0,,,73-74,1,V. Oladipo makes free throw 2 of 2
7:39.0,S. Curry misses 2-pt shot from 19 ft,,73-74,,
7:38.0,,,73-74,,Defensive rebound by A. Gordon
7:22.0,,,73-77,3,E. Payton makes 3-pt shot from 25 ft (assist by A. Gordon)
7:12.0,H. Barnes makes 2-pt shot at rim (assist by K. Thompson),2,75-77,,
7:01.0,,,75-77,,Turnover by E. Payton (traveling)
6:51.0,S. Curry makes 3-pt shot from 24 ft (assist by A. Bogut),3,78-77,,
6:28.0,,,78-77,,Shooting foul by D. Green (drawn by V. Oladipo)
6:28.0,,,78-77,,V. Oladipo misses free throw 1 of 2
6:28.0,,,78-77,,Offensive rebound by Team
6:28.0,,,78-78,1,V. Oladipo makes free throw 2 of 2
6:09.0,S. Curry makes 2-pt shot from 2 ft (assist by D. Green),2,80-78,,
6:01.0,,,80-78,,Turnover by N. Vucevic (lost ball; steal by D. Green)
5:55.0,H. Barnes misses 2-pt shot from 2 ft (block by A. Gordon),,80-78,,
5:52.0,,,80-78,,Defensive rebound by N. Vucevic
5:38.0,,,80-78,,Shooting foul by A. Bogut (drawn by E. Payton)
5:38.0,,,80-78,,Orlando full timeout
5:38.0,A. Iguodala enters the game for H. Barnes,,80-78,,
5:38.0,A. Varejao enters the game for A. Bogut,,80-78,,
5:38.0,,,80-78,,E. Payton misses free throw 1 of 2
5:38.0,,,80-78,,Offensive rebound by Team
5:38.0,,,80-78,,E. Payton misses free throw 2 of 2
5:37.0,Defensive rebound by D. Green,,80-78,,
5:23.0,Offensive foul by A. Varejao,,80-78,,
5:23.0,Turnover by A. Varejao (offensive foul),,80-78,,
5:23.0,L. Barbosa enters the game for K. Thompson,,80-78,,
5:03.0,,,80-78,,E. Fournier misses 2-pt shot from 23 ft
5:02.0,Defensive rebound by A. Varejao,,80-78,,
4:58.0,Turnover by D. Green (bad pass; steal by E. Fournier),,80-78,,
4:55.0,,,80-80,2,A. Gordon makes 2-pt shot at rim (assist by E. Fournier)
4:38.0,A. Varejao misses 2-pt shot from 2 ft,,80-80,,
4:33.0,,,80-80,,Defensive rebound by V. Oladipo
4:18.0,,,80-80,,A. Gordon misses 3-pt shot from 23 ft
4:17.0,Defensive rebound by S. Curry,,80-80,,
4:10.0,S. Curry makes 3-pt shot from 25 ft,3,83-80,,
3:58.0,,,83-80,,N. Vucevic misses 2-pt shot from 18 ft
3:57.0,Defensive rebound by A. Varejao,,83-80,,
3:52.0,,,83-80,,Violation by N. Vucevic (kicked ball)
3:51.0,,,83-80,,Personal foul by V. Oladipo (drawn by A. Iguodala)
3:43.0,A. Varejao misses 2-pt shot from 17 ft,,83-80,,
3:42.0,,,83-80,,Defensive rebound by A. Gordon
3:35.0,,,83-80,,V. Oladipo misses 3-pt shot from 25 ft
3:34.0,Defensive rebound by A. Varejao,,83-80,,
3:28.0,D. Green makes 2-pt shot from 1 ft (assist by S. Curry),2,85-80,,
3:04.0,,,85-82,2,A. Gordon makes 2-pt shot from 6 ft
2:52.0,S. Curry misses 3-pt shot from 24 ft,,85-82,,
2:50.0,,,85-82,,Defensive rebound by N. Vucevic
2:42.0,,,85-84,2,A. Gordon makes 2-pt shot at rim (assist by N. Vucevic)
2:17.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Green),3,88-84,,
2:04.0,Golden State full timeout,,88-84,,
2:04.0,,,88-84,,C. Watson enters the game for N. Vucevic
2:04.0,,,88-84,,E. Ilyasova enters the game for V. Oladipo
2:03.0,,,88-84,,Turnover by E. Fournier (bad pass; steal by D. Green)
1:58.0,S. Curry makes 3-pt shot from 26 ft (assist by A. Varejao),3,91-84,,
1:44.0,,,91-84,,A. Gordon misses 2-pt shot from 2 ft
1:42.0,,,91-84,,Offensive rebound by E. Ilyasova
1:42.0,,,91-86,2,E. Ilyasova makes 2-pt shot from 2 ft
1:30.0,Turnover by S. Curry (lost ball),,91-86,,
1:19.0,,,91-86,,A. Gordon misses 3-pt shot from 25 ft
1:18.0,Defensive rebound by Team,,91-86,,
1:05.0,Turnover by S. Curry (lost ball; steal by E. Ilyasova),,91-86,,
0:57.0,,,91-89,3,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton)
0:40.0,A. Varejao makes 2-pt shot from 2 ft (assist by S. Curry),2,93-89,,
0:40.0,Shooting foul by E. Ilyasova (drawn by A. Varejao),,93-89,,
0:40.0,A. Varejao makes free throw 1 of 1,1,94-89,,
0:33.0,,,94-89,,E. Payton misses 2-pt shot from 20 ft
0:32.0,Defensive rebound by A. Iguodala,,94-89,,
0:19.0,S. Curry makes 2-pt shot from 1 ft,2,96-89,,
0:04.0,,,96-89,,Shooting foul by A. Varejao (drawn by E. Ilyasova)
0:04.0,,,96-90,1,E. Ilyasova makes free throw 1 of 2
0:04.0,,,96-90,,J. Smith enters the game for A. Gordon
0:04.0,,,96-91,1,E. Ilyasova makes free throw 2 of 2
0:00.0,S. Curry makes 3-pt shot from 44 ft,3,99-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,M. Speights makes 2-pt shot from 19 ft (assist by A. Iguodala),2,101-91,,
11:27.0,,,101-91,,J. Smith misses 2-pt shot from 19 ft
11:25.0,Defensive rebound by S. Livingston,,101-91,,
11:24.0,Shooting foul by C. Watson (drawn by M. Speights),,101-91,,
11:24.0,M. Speights makes free throw 1 of 2,1,102-91,,
11:24.0,,,102-91,,B. Jennings enters the game for E. Payton
11:24.0,M. Speights makes free throw 2 of 2,1,103-91,,
11:06.0,,,103-93,2,C. Watson makes 2-pt shot from 2 ft
10:56.0,M. Speights makes 2-pt shot from 19 ft (assist by A. Iguodala),2,105-93,,
10:30.0,,,105-95,2,J. Smith makes 2-pt shot from 18 ft (assist by E. Fournier)
10:07.0,M. Speights makes 2-pt shot from 20 ft (assist by A. Iguodala),2,107-95,,
9:50.0,,,107-95,,Turnover by J. Smith (offensive foul)
9:50.0,,,107-95,,Offensive foul by J. Smith
9:50.0,,,107-95,,M. Hezonja enters the game for E. Fournier
9:25.0,S. Livingston misses 2-pt shot from 8 ft,,107-95,,
9:23.0,,,107-95,,Defensive rebound by M. Hezonja
9:16.0,,,107-98,3,B. Jennings makes 3-pt shot from 24 ft (assist by C. Watson)
8:56.0,M. Speights misses 2-pt shot from 21 ft,,107-98,,
8:54.0,,,107-98,,Defensive rebound by E. Ilyasova
8:42.0,,,107-98,,Shooting foul by A. Iguodala (drawn by E. Ilyasova)
8:42.0,Official timeout,,107-98,,
8:42.0,K. Thompson enters the game for L. Barbosa,,107-98,,
8:42.0,,,107-99,1,E. Ilyasova makes free throw 1 of 2
8:42.0,,,107-100,1,E. Ilyasova makes free throw 2 of 2
8:21.0,S. Livingston makes 2-pt shot from 14 ft,2,109-100,,
8:04.0,,,109-100,,Turnover by B. Jennings (lost ball; steal by S. Livingston)
7:55.0,H. Barnes makes 2-pt shot from 1 ft,2,111-100,,
7:33.0,,,111-100,,Turnover by J. Smith (bad pass; steal by A. Iguodala)
7:27.0,K. Thompson makes 2-pt shot from 2 ft (assist by A. Iguodala),2,113-100,,
7:27.0,,,113-100,,Orlando full timeout
7:27.0,,,113-100,,V. Oladipo enters the game for E. Ilyasova
7:27.0,,,113-100,,N. Vucevic enters the game for M. Hezonja
7:27.0,,,113-100,,E. Fournier enters the game for B. Jennings
7:27.0,,,113-100,,E. Payton enters the game for J. Smith
7:27.0,,,113-100,,A. Gordon enters the game for C. Watson
7:27.0,A. Bogut enters the game for M. Speights,,113-100,,
7:13.0,,,113-100,,N. Vucevic misses 2-pt shot from 13 ft
7:12.0,Defensive rebound by Team,,113-100,,
6:56.0,H. Barnes makes 2-pt shot from 16 ft,2,115-100,,
6:41.0,,,115-100,,V. Oladipo misses 2-pt shot from 16 ft
6:39.0,,,115-100,,Offensive rebound by A. Gordon
6:39.0,,,115-102,2,A. Gordon makes 2-pt shot from 3 ft
6:18.0,H. Barnes misses 2-pt shot from 16 ft,,115-102,,
6:17.0,,,115-102,,Defensive rebound by A. Gordon
6:06.0,,,115-102,,V. Oladipo misses 2-pt shot from 11 ft
6:03.0,Defensive rebound by S. Livingston,,115-102,,
5:49.0,,,115-102,,Personal foul by V. Oladipo (drawn by H. Barnes)
5:49.0,S. Curry enters the game for A. Iguodala,,115-102,,
5:34.0,Turnover by Team (shot clock),,115-102,,
5:34.0,,,115-102,,C. Watson enters the game for V. Oladipo
5:24.0,Personal foul by A. Bogut (drawn by N. Vucevic),,115-102,,
5:24.0,D. Green enters the game for S. Livingston,,115-102,,
