time,Toronto,pts.away,score,pts.home,Detroit
2:50.0,,,45-48,,Turnover by R. Jackson (offensive foul)
2:50.0,Official timeout,,45-48,,
2:50.0,L. Scola enters the game for P. Patterson,,45-48,,
2:32.0,T. Ross misses 2-pt shot from 7 ft,,45-48,,
2:31.0,,,45-48,,Defensive rebound by R. Jackson
2:08.0,,,45-48,,M. Morris misses 2-pt shot from 12 ft
2:08.0,,,45-48,,Offensive rebound by A. Drummond
2:07.0,,,45-50,2,A. Drummond makes 2-pt shot from 1 ft
2:07.0,,,45-50,,Shooting foul by J. Valanciunas (drawn by A. Drummond)
2:07.0,B. Biyombo enters the game for J. Valanciunas,,45-50,,
2:07.0,,,45-50,,J. Harper enters the game for T. Harris
2:07.0,,,45-50,,A. Drummond misses free throw 1 of 1
2:05.0,Defensive rebound by B. Biyombo,,45-50,,
1:51.0,D. Wright makes 2-pt shot from 2 ft,2,47-50,,
1:39.0,,,47-50,,Turnover by K. Caldwell-Pope (traveling)
1:21.0,D. DeRozan misses 2-pt shot from 12 ft,,47-50,,
1:19.0,Offensive rebound by D. DeRozan,,47-50,,
1:09.0,T. Ross makes 3-pt shot from 25 ft (assist by D. Wright),3,50-50,,
0:54.0,,,50-50,,R. Jackson misses 2-pt shot from 11 ft
0:53.0,Defensive rebound by D. DeRozan,,50-50,,
0:41.0,T. Ross makes 2-pt shot from 15 ft,2,52-50,,
0:26.0,,,52-52,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
0:01.0,D. DeRozan misses 2-pt shot from 8 ft,,52-52,,
0:01.0,,,52-52,,Defensive rebound by A. Drummond
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan),2,54-52,,
11:51.0,Shooting foul by R. Jackson (drawn by J. Valanciunas),,54-52,,
11:51.0,J. Valanciunas makes free throw 1 of 1,1,55-52,,
11:28.0,,,55-54,2,K. Caldwell-Pope makes 2-pt shot from 3 ft
11:10.0,D. DeRozan misses 2-pt shot from 16 ft,,55-54,,
11:08.0,,,55-54,,Defensive rebound by T. Harris
11:00.0,,,55-56,2,T. Harris makes 2-pt shot at rim
10:38.0,Turnover by J. Johnson (bad pass; steal by A. Drummond),,55-56,,
10:28.0,,,55-58,2,K. Caldwell-Pope makes 2-pt shot from 13 ft
10:09.0,D. DeRozan makes 2-pt shot at rim (assist by J. Johnson),2,57-58,,
9:51.0,,,57-58,,Shooting foul by L. Scola (drawn by M. Morris)
9:51.0,,,57-58,,M. Morris misses free throw 1 of 2
9:51.0,,,57-58,,Offensive rebound by Team
9:51.0,,,57-59,1,M. Morris makes free throw 2 of 2
9:37.0,D. DeRozan misses 2-pt shot from 14 ft,,57-59,,
9:35.0,,,57-59,,Defensive rebound by T. Harris
9:27.0,,,57-61,2,A. Drummond makes 2-pt shot from 4 ft (assist by M. Morris)
9:09.0,C. Joseph misses 2-pt shot from 2 ft,,57-61,,
9:08.0,,,57-61,,Defensive rebound by A. Drummond
9:02.0,,,57-61,,T. Harris misses 3-pt shot from 25 ft
9:01.0,Defensive rebound by J. Valanciunas,,57-61,,
8:41.0,C. Joseph misses 3-pt shot from 27 ft,,57-61,,
8:39.0,Offensive rebound by J. Valanciunas,,57-61,,
8:28.0,J. Valanciunas makes 2-pt shot from 7 ft (assist by D. DeRozan),2,59-61,,
8:14.0,,,59-63,2,R. Jackson makes 2-pt shot from 10 ft
7:49.0,C. Joseph makes 2-pt shot from 1 ft,2,61-63,,
7:26.0,,,61-65,2,A. Drummond makes 2-pt shot from 7 ft (assist by R. Jackson)
7:03.0,J. Johnson misses 3-pt shot from 26 ft,,61-65,,
7:02.0,,,61-65,,Defensive rebound by A. Drummond
6:51.0,Def 3 sec tech foul by J. Valanciunas,,61-65,,
6:51.0,,,61-66,1,R. Jackson makes technical free throw
6:37.0,,,61-68,2,M. Morris makes 2-pt shot at rim
6:37.0,Toronto full timeout,,61-68,,
6:37.0,T. Ross enters the game for J. Johnson,,61-68,,
6:37.0,B. Biyombo enters the game for J. Valanciunas,,61-68,,
6:14.0,C. Joseph makes 3-pt shot from 26 ft (assist by D. DeRozan),3,64-68,,
5:55.0,,,64-70,2,M. Morris makes 2-pt shot from 1 ft (assist by R. Jackson)
5:32.0,T. Ross makes 2-pt shot from 13 ft (assist by C. Joseph),2,66-70,,
5:16.0,,,66-70,,Shooting foul by B. Biyombo (drawn by A. Drummond)
5:16.0,,,66-70,,A. Drummond misses free throw 1 of 2
5:16.0,,,66-70,,Offensive rebound by Team
5:16.0,,,66-70,,R. Bullock enters the game for M. Morris
5:16.0,,,66-71,1,A. Drummond makes free throw 2 of 2
5:01.0,D. DeRozan misses 3-pt shot from 23 ft,,66-71,,
4:59.0,,,66-71,,Defensive rebound by A. Drummond
4:50.0,,,66-71,,R. Jackson misses 2-pt shot from 1 ft
4:48.0,,,66-71,,Offensive rebound by T. Harris
4:41.0,,,66-73,2,R. Jackson makes 2-pt shot from 1 ft
4:28.0,,,66-73,,Personal foul by R. Bullock (drawn by D. DeRozan)
4:28.0,P. Patterson enters the game for L. Scola,,66-73,,
4:14.0,C. Joseph misses 2-pt shot from 1 ft,,66-73,,
4:13.0,,,66-73,,Defensive rebound by A. Drummond
4:07.0,,,66-75,2,T. Harris makes 2-pt shot at rim (assist by R. Jackson)
3:50.0,C. Joseph misses 2-pt shot from 15 ft,,66-75,,
3:49.0,Offensive rebound by B. Biyombo,,66-75,,
3:45.0,B. Biyombo misses 2-pt shot at rim,,66-75,,
3:44.0,,,66-75,,Defensive rebound by T. Harris
3:36.0,,,66-77,2,R. Jackson makes 2-pt shot from 10 ft
3:36.0,Toronto full timeout,,66-77,,
3:26.0,D. DeRozan misses 2-pt shot from 18 ft,,66-77,,
3:24.0,Offensive rebound by D. DeRozan,,66-77,,
3:21.0,,,66-77,,Personal foul by R. Jackson (drawn by D. DeRozan)
3:21.0,,,66-77,,S. Blake enters the game for R. Jackson
3:13.0,D. DeRozan makes 2-pt shot from 14 ft,2,68-77,,
2:51.0,,,68-80,3,S. Blake makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
2:36.0,,,68-80,,Personal foul by S. Blake (drawn by C. Joseph)
2:36.0,,,68-80,,Detroit full timeout
2:36.0,D. Wright enters the game for C. Joseph,,68-80,,
2:28.0,Offensive foul by P. Patterson,,68-80,,
2:28.0,Turnover by P. Patterson (offensive foul),,68-80,,
2:12.0,,,68-82,2,K. Caldwell-Pope makes 2-pt shot from 16 ft
2:12.0,,,68-82,,Shooting foul by T. Ross (drawn by K. Caldwell-Pope)
2:12.0,,,68-83,1,K. Caldwell-Pope makes free throw 1 of 1
1:51.0,D. DeRozan misses 2-pt shot from 17 ft,,68-83,,
1:48.0,,,68-83,,Defensive rebound by T. Harris
1:28.0,,,68-86,3,S. Blake makes 3-pt shot from 23 ft (assist by K. Caldwell-Pope)
1:12.0,D. Wright misses 2-pt shot from 4 ft,,68-86,,
1:11.0,,,68-86,,Defensive rebound by A. Drummond
1:03.0,,,68-86,,A. Drummond misses 2-pt shot from 1 ft
1:02.0,Defensive rebound by B. Biyombo,,68-86,,
0:53.0,D. DeRozan makes 2-pt shot at rim,2,70-86,,
0:38.0,,,70-86,,T. Harris misses 2-pt shot from 19 ft
0:37.0,,,70-86,,Offensive rebound by A. Drummond
0:36.0,,,70-86,,Shooting foul by B. Biyombo (drawn by A. Drummond)
0:36.0,,,70-87,1,A. Drummond makes free throw 1 of 2
0:36.0,,,70-87,,A. Drummond misses free throw 2 of 2
0:34.0,Defensive rebound by B. Biyombo,,70-87,,
0:20.0,T. Ross makes 2-pt shot from 1 ft,2,72-87,,
0:10.0,Personal foul by D. Wright (drawn by S. Blake),,72-87,,
0:10.0,,,72-88,1,S. Blake makes free throw 1 of 2
0:10.0,,,72-89,1,S. Blake makes free throw 2 of 2
0:01.0,D. DeRozan misses 2-pt shot from 12 ft,,72-89,,
0:00.0,,,72-89,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,72-89,,K. Caldwell-Pope misses 2-pt shot at rim
11:45.0,Defensive rebound by B. Biyombo,,72-89,,
11:26.0,T. Ross misses 2-pt shot from 13 ft,,72-89,,
11:24.0,,,72-89,,Defensive rebound by R. Bullock
11:16.0,,,72-91,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by S. Blake)
10:55.0,T. Ross makes 3-pt shot from 24 ft,3,75-91,,
10:38.0,,,75-93,2,A. Baynes makes 2-pt shot at rim (assist by S. Blake)
10:20.0,T. Ross makes 2-pt shot from 15 ft (assist by D. DeRozan),2,77-93,,
10:03.0,,,77-95,2,A. Baynes makes 2-pt shot at rim (assist by S. Blake)
9:40.0,Shooting foul by M. Morris (drawn by D. DeRozan),,77-95,,
9:40.0,D. DeRozan misses free throw 1 of 2,,77-95,,
9:40.0,Offensive rebound by Team,,77-95,,
9:40.0,D. DeRozan makes free throw 2 of 2,1,78-95,,
9:29.0,,,78-95,,Shooting foul by D. DeRozan (drawn by A. Baynes)
9:29.0,,,78-96,1,A. Baynes makes free throw 1 of 2
9:29.0,,,78-97,1,A. Baynes makes free throw 2 of 2
9:12.0,T. Ross misses 2-pt shot from 18 ft,,78-97,,
9:11.0,,,78-97,,Defensive rebound by R. Bullock
8:52.0,,,78-100,3,R. Bullock makes 3-pt shot from 23 ft (assist by K. Caldwell-Pope)
8:37.0,T. Ross misses 2-pt shot from 12 ft,,78-100,,
8:35.0,,,78-100,,Defensive rebound by M. Morris
8:29.0,,,78-103,3,R. Bullock makes 3-pt shot from 24 ft (assist by S. Blake)
8:29.0,Toronto full timeout,,78-103,,
8:29.0,C. Joseph enters the game for D. DeRozan,,78-103,,
8:20.0,C. Joseph makes 2-pt shot from 8 ft,2,80-103,,
8:20.0,Shooting foul by S. Blake (drawn by C. Joseph),,80-103,,
8:20.0,C. Joseph makes free throw 1 of 1,1,81-103,,
8:06.0,,,81-103,,Offensive foul by A. Baynes
8:06.0,,,81-103,,Turnover by A. Baynes (offensive foul)
7:52.0,C. Joseph misses 2-pt shot from 10 ft,,81-103,,
7:51.0,,,81-103,,Defensive rebound by A. Baynes
7:35.0,,,81-103,,S. Blake misses 3-pt shot from 23 ft
7:33.0,Defensive rebound by C. Joseph,,81-103,,
7:11.0,T. Ross misses 3-pt shot from 26 ft,,81-103,,
7:10.0,Offensive rebound by P. Patterson,,81-103,,
7:10.0,,,81-103,,R. Jackson enters the game for S. Blake
7:04.0,Shooting foul by R. Bullock (drawn by T. Ross),,81-103,,
7:04.0,T. Ross makes free throw 1 of 2,1,82-103,,
7:04.0,J. Valanciunas enters the game for B. Biyombo,,82-103,,
7:04.0,T. Ross makes free throw 2 of 2,1,83-103,,
6:45.0,,,83-106,3,M. Morris makes 3-pt shot from 26 ft (assist by R. Jackson)
6:33.0,D. Wright misses 2-pt shot from 6 ft (block by A. Baynes),,83-106,,
6:32.0,,,83-106,,Defensive rebound by A. Baynes
6:19.0,,,83-106,,R. Jackson misses 2-pt shot from 18 ft
6:19.0,,,83-106,,Offensive rebound by Team
6:19.0,Loose ball foul by J. Valanciunas (drawn by A. Baynes),,83-106,,
6:05.0,,,83-108,2,A. Baynes makes 2-pt shot at rim (assist by R. Bullock)
6:05.0,Flagrant foul type 1 by C. Joseph (drawn by A. Baynes),,83-108,,
6:05.0,,,83-108,,D. Hilliard enters the game for K. Caldwell-Pope
6:05.0,,,83-108,,A. Baynes misses flagrant free throw 1 of 2
6:05.0,,,83-108,,Offensive rebound by Team
6:05.0,,,83-109,1,A. Baynes makes flagrant free throw 2 of 2
5:52.0,,,83-109,,Detroit full timeout
5:52.0,N. Powell enters the game for J. Valanciunas,,83-109,,
5:52.0,L. Nogueira enters the game for C. Joseph,,83-109,,
5:43.0,,,83-109,,M. Morris misses 3-pt shot from 25 ft
5:42.0,,,83-109,,Offensive rebound by A. Baynes
5:36.0,,,83-109,,D. Hilliard misses 3-pt shot from 22 ft
5:35.0,Defensive rebound by D. Wright,,83-109,,
5:15.0,N. Powell misses 2-pt shot from 11 ft,,83-109,,
5:13.0,,,83-109,,Defensive rebound by A. Baynes
5:10.0,,,83-109,,J. Harper enters the game for M. Morris
4:58.0,,,83-109,,R. Bullock misses 2-pt shot from 12 ft
4:57.0,Defensive rebound by N. Powell,,83-109,,
4:45.0,D. Wright makes 3-pt shot from 25 ft,3,86-109,,
4:23.0,,,86-112,3,J. Harper makes 3-pt shot from 25 ft (assist by A. Baynes)
4:09.0,,,86-112,,Personal foul by D. Hilliard (drawn by N. Powell)
4:09.0,,,86-112,,S. Blake enters the game for R. Jackson
4:09.0,,,86-112,,J. Anthony enters the game for A. Baynes
3:58.0,D. Wright makes 3-pt shot from 26 ft (assist by N. Powell),3,89-112,,
3:33.0,,,89-112,,Turnover by S. Blake (bad pass; steal by P. Patterson)
3:27.0,Shooting foul by J. Anthony (drawn by D. Wright),,89-112,,
3:27.0,D. Wright misses free throw 1 of 2,,89-112,,
3:27.0,Offensive rebound by Team,,89-112,,
3:27.0,D. Wright makes free throw 2 of 2,1,90-112,,
3:00.0,,,90-112,,J. Harper misses 2-pt shot from 20 ft
2:59.0,Defensive rebound by N. Powell,,90-112,,
2:52.0,N. Powell makes 2-pt shot at rim,2,92-112,,
2:38.0,Personal foul by P. Patterson (drawn by S. Blake),,92-112,,
2:38.0,,,92-112,,Detroit full timeout
2:23.0,,,92-112,,Turnover by Team (shot clock)
2:12.0,Shooting foul by J. Anthony (drawn by D. Wright),,92-112,,
2:12.0,D. Wright makes free throw 1 of 2,1,93-112,,
2:12.0,A. Bennett enters the game for P. Patterson,,93-112,,
2:12.0,D. Wright makes free throw 2 of 2,1,94-112,,
1:59.0,,,94-112,,R. Bullock misses 3-pt shot from 25 ft
1:58.0,Defensive rebound by D. Wright,,94-112,,
1:50.0,A. Bennett makes 3-pt shot from 25 ft (assist by D. Wright),3,97-112,,
1:29.0,,,97-112,,J. Harper misses 3-pt shot from 25 ft
1:27.0,Defensive rebound by N. Powell,,97-112,,
1:23.0,N. Powell makes 2-pt shot from 1 ft,2,99-112,,
1:06.0,,,99-112,,Turnover by J. Harper (bad pass; steal by N. Powell)
1:03.0,N. Powell makes 2-pt shot at rim (assist by D. Wright),2,101-112,,
0:55.0,Personal foul by L. Nogueira (drawn by S. Blake),,101-112,,
0:55.0,,,101-113,1,S. Blake makes free throw 1 of 2
0:55.0,,,101-114,1,S. Blake makes free throw 2 of 2
0:44.0,T. Ross misses 3-pt shot from 25 ft,,101-114,,
0:42.0,Offensive rebound by L. Nogueira,,101-114,,
0:32.0,,,101-114,,Violation by D. Hilliard (kicked ball)
0:27.0,N. Powell misses 3-pt shot from 26 ft,,101-114,,
0:26.0,,,101-114,,Defensive rebound by J. Harper
0:02.0,,,101-114,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
