time,San Antonio,pts.away,score,pts.home,Oklahoma City
4:50.0,K. Leonard makes 2-pt shot at rim (assist by D. West),2,14-11,,
4:29.0,,,14-11,,E. Kanter misses 2-pt shot from 9 ft
4:28.0,Defensive rebound by L. Aldridge,,14-11,,
4:03.0,L. Aldridge misses 2-pt shot from 2 ft,,14-11,,
4:03.0,,,14-11,,Defensive rebound by A. Roberson
3:57.0,,,14-11,,R. Westbrook misses 2-pt shot from 13 ft
3:56.0,Defensive rebound by M. Ginobili,,14-11,,
3:40.0,K. Leonard makes 2-pt shot from 1 ft,2,16-11,,
3:27.0,,,16-13,2,D. Waiters makes 2-pt shot from 19 ft
3:06.0,D. West misses 2-pt shot from 14 ft,,16-13,,
3:06.0,Offensive rebound by K. Leonard,,16-13,,
2:53.0,T. Parker misses 2-pt shot from 1 ft,,16-13,,
2:52.0,Offensive rebound by L. Aldridge,,16-13,,
2:49.0,L. Aldridge makes 2-pt shot from 4 ft,2,18-13,,
2:29.0,,,18-15,2,R. Westbrook makes 2-pt shot from 1 ft
2:22.0,,,18-15,,Personal foul by R. Westbrook
2:22.0,,,18-15,,Technical foul by R. Westbrook
2:22.0,,,18-15,,Oklahoma City full timeout
2:22.0,,,18-15,,K. Durant enters the game for S. Ibaka
2:22.0,,,18-15,,N. Collison enters the game for R. Westbrook
2:22.0,P. Mills enters the game for K. Leonard,,18-15,,
2:22.0,K. Anderson enters the game for T. Parker,,18-15,,
2:22.0,L. Aldridge makes technical free throw,1,19-15,,
2:22.0,B. Diaw enters the game for L. Aldridge,,19-15,,
2:11.0,D. West makes 2-pt shot from 4 ft,2,21-15,,
1:58.0,,,21-15,,Turnover by K. Durant (lost ball; steal by K. Anderson)
1:53.0,M. Ginobili makes 2-pt shot from 1 ft,2,23-15,,
1:29.0,,,23-15,,A. Roberson misses 2-pt shot from 2 ft (block by D. West)
1:28.0,Defensive rebound by D. West,,23-15,,
1:15.0,D. West makes 2-pt shot from 19 ft (assist by P. Mills),2,25-15,,
1:15.0,,,25-15,,Oklahoma City full timeout
1:15.0,,,25-15,,C. Payne enters the game for A. Roberson
1:01.0,,,25-15,,Shooting foul by K. Anderson (drawn by K. Durant)
1:01.0,,,25-16,1,K. Durant makes free throw 1 of 2
1:01.0,,,25-17,1,K. Durant makes free throw 2 of 2
0:45.0,B. Diaw misses 2-pt shot from 2 ft,,25-17,,
0:44.0,,,25-17,,Defensive rebound by N. Collison
0:33.0,,,25-17,,Turnover by C. Payne (lost ball; steal by K. Anderson)
0:29.0,K. Anderson makes 2-pt shot from 1 ft,2,27-17,,
0:19.0,,,27-17,,Turnover by K. Durant (lost ball; steal by K. Anderson)
0:05.0,,,27-17,,Personal take foul by D. Waiters
0:00.0,M. Ginobili misses 3-pt shot from 25 ft,,27-17,,
0:00.0,Offensive rebound by Team,,27-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Personal foul by B. Diaw,,27-17,,
11:41.0,,,27-17,,K. Durant misses 2-pt shot from 18 ft
11:40.0,Defensive rebound by P. Mills,,27-17,,
11:29.0,Turnover by M. Ginobili (lost ball; steal by D. Waiters),,27-17,,
11:24.0,,,27-19,2,D. Waiters makes 2-pt shot from 1 ft
11:09.0,B. Diaw makes 2-pt shot from 6 ft,2,29-19,,
10:52.0,,,29-19,,K. Durant misses 3-pt shot from 25 ft
10:52.0,Defensive rebound by Team,,29-19,,
10:52.0,,,29-19,,Loose ball foul by N. Collison
10:52.0,,,29-19,,S. Adams enters the game for N. Collison
10:43.0,Offensive foul by D. West,,29-19,,
10:43.0,Turnover by D. West (offensive foul),,29-19,,
10:27.0,,,29-19,,D. Waiters misses 2-pt shot from 16 ft
10:26.0,Defensive rebound by D. West,,29-19,,
10:25.0,Technical foul by D. West,,29-19,,
10:25.0,,,29-20,1,K. Durant makes technical free throw
10:08.0,D. West misses 2-pt shot from 3 ft,,29-20,,
10:07.0,,,29-20,,Defensive rebound by K. Durant
9:59.0,,,29-20,,Turnover by C. Payne (lost ball; steal by M. Ginobili)
9:55.0,,,29-20,,Shooting block foul by E. Kanter (drawn by M. Ginobili)
9:55.0,M. Ginobili makes free throw 1 of 2,1,30-20,,
9:55.0,T. Duncan enters the game for D. West,,30-20,,
9:55.0,,,30-20,,R. Westbrook enters the game for C. Payne
9:55.0,M. Ginobili makes free throw 2 of 2,1,31-20,,
9:45.0,,,31-20,,Shooting foul by T. Duncan (drawn by D. Waiters)
9:45.0,,,31-20,,D. Waiters misses free throw 1 of 2
9:45.0,,,31-20,,Offensive rebound by Team
9:45.0,K. Leonard enters the game for M. Ginobili,,31-20,,
9:45.0,,,31-21,1,D. Waiters makes free throw 2 of 2
9:29.0,K. Leonard misses 3-pt shot from 24 ft,,31-21,,
9:28.0,,,31-21,,Defensive rebound by S. Adams
9:21.0,,,31-23,2,K. Durant makes 2-pt shot from 8 ft
9:20.0,San Antonio full timeout,,31-23,,
9:20.0,L. Aldridge enters the game for K. Anderson,,31-23,,
9:20.0,T. Parker enters the game for P. Mills,,31-23,,
9:20.0,D. Green enters the game for B. Diaw,,31-23,,
8:55.0,K. Leonard makes 2-pt shot from 2 ft,2,33-23,,
8:35.0,,,33-23,,R. Westbrook misses 3-pt shot from 22 ft
8:33.0,,,33-23,,Offensive rebound by E. Kanter
8:26.0,,,33-23,,Shooting foul by L. Aldridge (drawn by S. Adams)
8:26.0,,,33-24,1,S. Adams makes free throw 1 of 2
8:26.0,,,33-25,1,S. Adams makes free throw 2 of 2
8:12.0,T. Parker misses 2-pt shot from 8 ft,,33-25,,
8:12.0,,,33-25,,Defensive rebound by E. Kanter
8:06.0,,,33-25,,Shooting foul by T. Duncan (drawn by S. Adams)
8:06.0,,,33-26,1,S. Adams makes free throw 1 of 2
8:06.0,D. West enters the game for T. Duncan,,33-26,,
8:06.0,,,33-26,,S. Adams misses free throw 2 of 2
8:06.0,,,33-26,,Offensive rebound by E. Kanter
8:03.0,,,33-26,,K. Durant misses 3-pt shot from 25 ft
8:02.0,Defensive rebound by D. West,,33-26,,
7:51.0,T. Parker makes 2-pt shot from 8 ft,2,35-26,,
7:51.0,Shooting foul by E. Kanter (drawn by T. Parker),,35-26,,
7:51.0,T. Parker makes free throw 1 of 1,1,36-26,,
7:33.0,,,36-28,2,D. Waiters makes 2-pt shot from 1 ft
7:15.0,T. Parker makes 2-pt shot from 5 ft,2,38-28,,
7:00.0,,,38-30,2,R. Westbrook makes 2-pt shot from 2 ft
6:43.0,T. Parker makes 2-pt shot from 3 ft,2,40-30,,
6:42.0,Personal foul by D. West,,40-30,,
6:42.0,,,40-30,,R. Westbrook misses free throw 1 of 2
6:42.0,,,40-30,,Offensive rebound by Team
6:42.0,,,40-30,,S. Ibaka enters the game for E. Kanter
6:42.0,B. Diaw enters the game for D. West,,40-30,,
6:42.0,,,40-31,1,R. Westbrook makes free throw 2 of 2
6:31.0,L. Aldridge misses 2-pt shot from 19 ft,,40-31,,
6:31.0,,,40-31,,Defensive rebound by S. Adams
6:20.0,,,40-34,3,D. Waiters makes 3-pt shot from 23 ft (assist by R. Westbrook)
5:54.0,D. Green misses 2-pt shot from 13 ft,,40-34,,
5:54.0,Offensive rebound by Team,,40-34,,
5:54.0,Turnover by Team (shot clock),,40-34,,
5:54.0,Official timeout,,40-34,,
5:39.0,,,40-36,2,S. Adams makes 2-pt shot at rim (assist by K. Durant)
5:13.0,T. Parker misses 2-pt shot from 10 ft,,40-36,,
5:13.0,Offensive rebound by Team,,40-36,,
5:13.0,Turnover by Team (shot clock),,40-36,,
5:04.0,,,40-36,,K. Durant misses 2-pt shot from 16 ft
5:03.0,Defensive rebound by K. Leonard,,40-36,,
4:43.0,T. Parker misses 3-pt shot from 23 ft,,40-36,,
4:42.0,,,40-36,,Defensive rebound by S. Adams
4:38.0,,,40-38,2,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook)
4:38.0,San Antonio full timeout,,40-38,,
4:38.0,M. Ginobili enters the game for D. Green,,40-38,,
4:16.0,K. Leonard misses 2-pt shot from 2 ft (block by S. Adams),,40-38,,
4:16.0,Offensive rebound by Team,,40-38,,
4:16.0,P. Mills enters the game for T. Parker,,40-38,,
4:13.0,P. Mills misses 3-pt shot from 24 ft,,40-38,,
4:12.0,Offensive rebound by L. Aldridge,,40-38,,
4:12.0,L. Aldridge misses 2-pt shot from 2 ft,,40-38,,
4:11.0,,,40-38,,Defensive rebound by S. Ibaka
3:55.0,,,40-40,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
3:34.0,,,40-40,,Violation by S. Adams (kicked ball)
3:25.0,B. Diaw misses 2-pt shot from 3 ft,,40-40,,
3:25.0,,,40-40,,Defensive rebound by S. Adams
3:12.0,,,40-40,,R. Westbrook misses 2-pt shot from 14 ft
3:12.0,Defensive rebound by K. Leonard,,40-40,,
2:58.0,L. Aldridge makes 2-pt shot from 5 ft (assist by M. Ginobili),2,42-40,,
2:40.0,,,42-40,,S. Ibaka misses 2-pt shot from 13 ft
2:39.0,Defensive rebound by P. Mills,,42-40,,
2:36.0,Offensive foul by K. Leonard,,42-40,,
2:36.0,Turnover by K. Leonard (offensive foul),,42-40,,
2:36.0,,,42-40,,Oklahoma City full timeout
2:36.0,D. West enters the game for B. Diaw,,42-40,,
2:36.0,T. Parker enters the game for P. Mills,,42-40,,
2:29.0,,,42-42,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
2:07.0,M. Ginobili makes 2-pt shot from 13 ft (assist by T. Parker),2,44-42,,
1:47.0,,,44-45,3,K. Durant makes 3-pt shot from 24 ft (assist by R. Westbrook)
1:33.0,Shooting foul by S. Adams (drawn by K. Leonard),,44-45,,
1:33.0,K. Leonard makes 2-pt shot at rim,2,46-45,,
1:33.0,K. Leonard makes free throw 1 of 1,1,47-45,,
1:21.0,,,47-45,,K. Durant misses 3-pt shot from 25 ft
1:19.0,Defensive rebound by L. Aldridge,,47-45,,
1:07.0,L. Aldridge makes 2-pt shot from 1 ft (assist by D. West),2,49-45,,
0:53.0,,,49-45,,K. Durant misses 2-pt shot from 1 ft
0:51.0,Defensive rebound by M. Ginobili,,49-45,,
0:47.0,,,49-45,,Personal foul by S. Ibaka
0:47.0,L. Aldridge makes free throw 1 of 2,1,50-45,,
0:47.0,,,50-45,,E. Kanter enters the game for S. Adams
0:47.0,L. Aldridge makes free throw 2 of 2,1,51-45,,
0:37.0,,,51-45,,R. Westbrook misses 2-pt shot from 2 ft
0:37.0,Defensive rebound by K. Leonard,,51-45,,
0:34.0,Shooting foul by D. Waiters (drawn by K. Leonard),,51-45,,
0:34.0,K. Leonard makes free throw 1 of 2,1,52-45,,
0:34.0,K. Leonard makes free throw 2 of 2,1,53-45,,
0:23.0,,,53-45,,Turnover by K. Durant (lost ball; steal by T. Parker)
0:00.0,K. Leonard misses 2-pt shot from 3 ft (block by S. Ibaka),,53-45,,
0:00.0,Offensive rebound by Team,,53-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,53-47,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
11:35.0,,,53-47,,Personal foul by R. Westbrook
11:27.0,Turnover by L. Aldridge (lost ball; steal by R. Westbrook),,53-47,,
11:18.0,,,53-47,,K. Durant misses 2-pt shot from 6 ft
11:18.0,Defensive rebound by K. Leonard,,53-47,,
11:05.0,T. Parker makes 2-pt shot from 13 ft,2,55-47,,
10:50.0,,,55-47,,S. Ibaka misses 3-pt shot from 22 ft
10:49.0,Defensive rebound by D. Green,,55-47,,
10:37.0,K. Leonard misses 2-pt shot from 4 ft,,55-47,,
10:36.0,Jump ball: K. Leonard vs. A. Roberson (K. Durant gains possession),,,,Jump ball: K. Leonard vs. A. Roberson (K. Durant gains possession)
10:36.0,,,55-47,,Defensive rebound by Team
10:27.0,,,55-49,2,K. Durant makes 2-pt shot from 1 ft
10:03.0,T. Parker makes 2-pt shot from 15 ft,2,57-49,,
9:42.0,,,57-49,,Turnover by K. Durant (lost ball; steal by D. Green)
9:41.0,,,57-49,,Personal take foul by S. Adams
9:28.0,T. Parker misses 2-pt shot from 15 ft,,57-49,,
9:27.0,,,57-49,,Defensive rebound by R. Westbrook
9:15.0,Personal foul by D. Green,,57-49,,
9:09.0,,,57-51,2,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook)
8:54.0,L. Aldridge makes 2-pt shot from 14 ft (assist by T. Parker),2,59-51,,
8:42.0,,,59-51,,Shooting foul by D. Green (drawn by R. Westbrook)
8:42.0,,,59-52,1,R. Westbrook makes free throw 1 of 2
8:42.0,D. West enters the game for T. Duncan,,59-52,,
8:42.0,,,59-53,1,R. Westbrook makes free throw 2 of 2
8:29.0,D. Green misses 3-pt shot from 25 ft,,59-53,,
8:27.0,,,59-53,,Defensive rebound by A. Roberson
8:16.0,,,59-53,,K. Durant misses 2-pt shot from 5 ft
8:16.0,Defensive rebound by D. West,,59-53,,
8:02.0,Turnover by T. Parker (bad pass),,59-53,,
7:49.0,,,59-56,3,R. Westbrook makes 3-pt shot from 25 ft
7:48.0,San Antonio full timeout,,59-56,,
7:26.0,Turnover by T. Parker (lost ball; steal by A. Roberson),,59-56,,
7:23.0,,,59-56,,Turnover by K. Durant (lost ball; steal by K. Leonard)
7:17.0,Shooting foul by A. Roberson (drawn by K. Leonard),,59-56,,
7:17.0,K. Leonard makes free throw 1 of 2,1,60-56,,
7:17.0,B. Diaw enters the game for D. West,,60-56,,
7:17.0,K. Leonard makes free throw 2 of 2,1,61-56,,
7:07.0,,,61-58,2,K. Durant makes 2-pt shot from 17 ft (assist by R. Westbrook)
6:45.0,L. Aldridge makes 2-pt shot from 17 ft (assist by D. Green),2,63-58,,
6:29.0,,,63-58,,S. Adams misses 2-pt shot from 1 ft (block by T. Parker)
6:28.0,Defensive rebound by D. Green,,63-58,,
6:15.0,K. Leonard misses 2-pt shot from 3 ft,,63-58,,
6:15.0,,,63-58,,Defensive rebound by S. Adams
5:58.0,,,63-60,2,K. Durant makes 2-pt shot from 4 ft
5:35.0,T. Parker makes 2-pt shot from 17 ft,2,65-60,,
5:25.0,,,65-62,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
5:03.0,K. Leonard makes 2-pt shot from 6 ft,2,67-62,,
4:50.0,,,67-62,,Shooting foul by D. Green (drawn by K. Durant)
4:50.0,,,67-63,1,K. Durant makes free throw 1 of 2
4:50.0,M. Ginobili enters the game for D. Green,,67-63,,
4:50.0,,,67-63,,E. Kanter enters the game for S. Adams
4:50.0,,,67-64,1,K. Durant makes free throw 2 of 2
4:29.0,K. Leonard makes 2-pt shot from 16 ft,2,69-64,,
4:20.0,,,69-64,,R. Westbrook misses 2-pt shot from 16 ft
4:19.0,,,69-64,,Offensive rebound by A. Roberson
4:15.0,,,69-67,3,S. Ibaka makes 3-pt shot from 24 ft (assist by A. Roberson)
3:55.0,L. Aldridge misses 2-pt shot from 18 ft,,69-67,,
3:53.0,,,69-67,,Defensive rebound by E. Kanter
3:47.0,,,69-69,2,R. Westbrook makes 2-pt shot from 1 ft
3:33.0,T. Parker misses 2-pt shot from 19 ft,,69-69,,
3:31.0,,,69-69,,Defensive rebound by A. Roberson
3:21.0,,,69-69,,R. Westbrook misses 2-pt shot from 7 ft
3:21.0,,,69-69,,Offensive rebound by Team
3:21.0,,,69-69,,D. Waiters enters the game for K. Durant
3:21.0,P. Mills enters the game for T. Parker,,69-69,,
3:17.0,,,69-69,,D. Waiters misses 2-pt shot from 10 ft
3:16.0,Defensive rebound by B. Diaw,,69-69,,
2:56.0,L. Aldridge misses 2-pt shot from 18 ft,,69-69,,
2:56.0,,,69-69,,Defensive rebound by D. Waiters
2:42.0,,,69-69,,Turnover by A. Roberson (lost ball; steal by K. Leonard)
2:37.0,P. Mills makes 2-pt shot from 1 ft (assist by K. Leonard),2,71-69,,
2:29.0,,,71-69,,Oklahoma City full timeout
2:29.0,D. Green enters the game for K. Leonard,,71-69,,
2:29.0,,,71-69,,K. Durant enters the game for A. Roberson
2:29.0,,,71-69,,R. Foye enters the game for R. Westbrook
2:20.0,,,71-71,2,D. Waiters makes 2-pt shot from 2 ft
2:00.0,P. Mills misses 3-pt shot from 24 ft,,71-71,,
1:59.0,,,71-71,,Defensive rebound by D. Waiters
1:53.0,,,71-73,2,D. Waiters makes 2-pt shot from 2 ft
1:36.0,L. Aldridge makes 2-pt shot from 5 ft,2,73-73,,
1:20.0,,,73-73,,K. Durant misses 3-pt shot from 25 ft
1:19.0,Defensive rebound by L. Aldridge,,73-73,,
1:02.0,B. Diaw makes 2-pt shot from 10 ft,2,75-73,,
0:39.0,,,75-75,2,R. Foye makes 2-pt shot from 1 ft
0:33.0,M. Ginobili makes 3-pt shot from 25 ft (assist by P. Mills),3,78-75,,
0:14.0,,,78-75,,Shooting foul by D. Green (drawn by K. Durant)
0:14.0,,,78-76,1,K. Durant makes free throw 1 of 2
0:14.0,D. West enters the game for L. Aldridge,,78-76,,
0:14.0,,,78-76,,S. Adams enters the game for S. Ibaka
0:14.0,,,78-77,1,K. Durant makes free throw 2 of 2
0:08.0,,,78-77,,Personal foul by D. Waiters
0:08.0,K. Leonard enters the game for M. Ginobili,,78-77,,
0:01.0,B. Diaw makes 3-pt shot from 22 ft (assist by K. Leonard),3,81-77,,
0:00.0,,,81-77,,S. Adams misses 3-pt shot from 78 ft
0:00.0,,,81-77,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,D. West misses 2-pt shot from 20 ft,,81-77,,
11:44.0,Offensive rebound by B. Diaw,,81-77,,
11:42.0,B. Diaw makes 2-pt shot from 2 ft,2,83-77,,
11:24.0,,,83-77,,Shooting foul by B. Diaw (drawn by E. Kanter)
11:24.0,,,83-78,1,E. Kanter makes free throw 1 of 2
11:24.0,,,83-79,1,E. Kanter makes free throw 2 of 2
11:07.0,B. Diaw misses 2-pt shot from 1 ft (block by S. Adams),,83-79,,
11:06.0,Offensive rebound by B. Diaw,,83-79,,
11:05.0,B. Diaw makes 2-pt shot from 4 ft,2,85-79,,
10:48.0,,,85-82,3,R. Foye makes 3-pt shot from 22 ft (assist by K. Durant)
10:27.0,M. Ginobili misses 2-pt shot from 12 ft,,85-82,,
10:26.0,,,85-82,,Defensive rebound by E. Kanter
10:08.0,,,85-85,3,E. Kanter makes 3-pt shot from 23 ft (assist by D. Waiters)
9:53.0,P. Mills makes 2-pt shot from 21 ft,2,87-85,,
9:38.0,,,87-87,2,K. Durant makes 2-pt shot from 20 ft (assist by D. Waiters)
9:20.0,K. Leonard misses 2-pt shot from 18 ft,,87-87,,
9:18.0,,,87-87,,Defensive rebound by S. Adams
9:13.0,,,87-87,,Shooting foul by D. West (drawn by K. Durant)
9:13.0,,,87-88,1,K. Durant makes free throw 1 of 2
9:13.0,,,87-88,,R. Westbrook enters the game for D. Waiters
9:13.0,San Antonio full timeout,,87-88,,
9:13.0,,,87-88,,K. Durant misses free throw 2 of 2
9:12.0,,,87-88,,Offensive rebound by S. Adams
8:59.0,,,87-91,3,K. Durant makes 3-pt shot from 25 ft
8:37.0,K. Leonard misses 3-pt shot from 24 ft,,87-91,,
8:36.0,,,87-91,,Defensive rebound by E. Kanter
8:20.0,,,87-93,2,K. Durant makes 2-pt shot from 21 ft
8:02.0,D. West misses 2-pt shot from 9 ft,,87-93,,
8:01.0,Offensive rebound by D. West,,87-93,,
8:00.0,D. West makes 2-pt shot from 2 ft,2,89-93,,
7:41.0,,,89-93,,R. Foye misses 3-pt shot from 23 ft
7:40.0,,,89-93,,Offensive rebound by E. Kanter
7:39.0,,,89-95,2,E. Kanter makes 2-pt shot at rim
7:22.0,D. West makes 2-pt shot from 3 ft (assist by P. Mills),2,91-95,,
7:06.0,,,91-95,,R. Westbrook misses 2-pt shot from 8 ft
7:06.0,,,91-95,,Offensive rebound by Team
7:06.0,Loose ball foul by D. West,,91-95,,
7:06.0,L. Aldridge enters the game for M. Ginobili,,91-95,,
7:06.0,T. Parker enters the game for P. Mills,,91-95,,
7:06.0,D. Green enters the game for B. Diaw,,91-95,,
7:04.0,,,91-95,,Offensive foul by S. Adams
7:04.0,,,91-95,,Turnover by S. Adams (offensive foul)
6:50.0,K. Leonard misses 2-pt shot from 12 ft,,91-95,,
6:49.0,,,91-95,,Defensive rebound by S. Adams
6:28.0,,,91-95,,R. Westbrook misses 2-pt shot from 2 ft
6:28.0,,,91-95,,Offensive rebound by R. Westbrook
6:28.0,,,91-95,,R. Westbrook misses 2-pt shot from 2 ft
6:27.0,,,91-95,,Offensive rebound by R. Westbrook
6:27.0,Personal foul by D. Green,,91-95,,
6:12.0,,,91-95,,E. Kanter misses 2-pt shot from 13 ft
6:12.0,Defensive rebound by D. Green,,91-95,,
5:58.0,L. Aldridge misses 2-pt shot from 5 ft,,91-95,,
5:58.0,,,91-95,,Defensive rebound by E. Kanter
5:50.0,,,91-95,,R. Westbrook misses 2-pt shot from 20 ft
5:50.0,,,91-95,,Offensive rebound by Team
5:48.0,Official timeout,,91-95,,
5:48.0,,,91-95,,D. Waiters enters the game for R. Foye
5:41.0,,,91-98,3,D. Waiters makes 3-pt shot from 25 ft (assist by K. Durant)
5:24.0,T. Parker makes 2-pt shot from 9 ft,2,93-98,,
4:58.0,,,93-98,,D. Waiters misses 2-pt shot from 22 ft
4:58.0,,,93-98,,Offensive rebound by Team
4:58.0,,,93-98,,Turnover by Team (shot clock)
4:41.0,L. Aldridge misses 2-pt shot from 17 ft,,93-98,,
4:40.0,,,93-98,,Defensive rebound by R. Westbrook
4:37.0,,,93-100,2,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook)
4:21.0,Turnover by T. Parker (lost ball; steal by R. Westbrook),,93-100,,
4:15.0,,,93-100,,D. Waiters misses 2-pt shot from 2 ft
4:15.0,,,93-100,,Offensive rebound by R. Westbrook
4:13.0,,,93-100,,Oklahoma City full timeout
4:03.0,,,93-100,,E. Kanter misses 3-pt shot from 23 ft
4:02.0,Defensive rebound by D. West,,93-100,,
3:43.0,D. West misses 2-pt shot from 14 ft,,93-100,,
3:42.0,,,93-100,,Defensive rebound by K. Durant
3:23.0,,,93-100,,Turnover by R. Westbrook (lost ball; steal by K. Leonard)
3:23.0,,,93-100,,Personal foul by K. Durant
3:14.0,T. Parker makes 2-pt shot from 2 ft,2,95-100,,
3:14.0,Shooting foul by S. Adams (drawn by T. Parker),,95-100,,
3:14.0,T. Parker makes free throw 1 of 1,1,96-100,,
2:55.0,Personal foul by D. West,,96-100,,
2:55.0,,,96-100,,K. Durant misses free throw 1 of 2
2:55.0,,,96-100,,Offensive rebound by Team
2:55.0,,,96-101,1,K. Durant makes free throw 2 of 2
2:39.0,Shooting foul by E. Kanter (drawn by L. Aldridge),,96-101,,
2:39.0,L. Aldridge misses free throw 1 of 2,,96-101,,
2:39.0,Offensive rebound by Team,,96-101,,
2:39.0,L. Aldridge makes free throw 2 of 2,1,97-101,,
2:26.0,,,97-103,2,K. Durant makes 2-pt shot from 13 ft (assist by D. Waiters)
2:10.0,Turnover by T. Parker (lost ball; steal by R. Westbrook),,97-103,,
2:05.0,,,97-105,2,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook)
2:05.0,San Antonio full timeout,,97-105,,
1:52.0,K. Leonard misses 3-pt shot from 25 ft,,97-105,,
1:51.0,Offensive rebound by D. West,,97-105,,
1:48.0,K. Leonard misses 3-pt shot from 24 ft,,97-105,,
1:47.0,,,97-105,,Defensive rebound by D. Waiters
1:30.0,,,97-108,3,K. Durant makes 3-pt shot from 23 ft (assist by R. Westbrook)
1:19.0,D. West misses 3-pt shot from 25 ft,,97-108,,
