time,Milwaukee,pts.away,score,pts.home,New York
3:15.0,,,81-97,3,K. Porzingis makes 3-pt shot from 28 ft (assist by A. Afflalo)
2:57.0,Turnover by G. Antetokounmpo (bad pass),,81-97,,
2:45.0,,,81-97,,Shooting foul by J. Parker (drawn by K. Porzingis)
2:45.0,,,81-97,,K. Porzingis misses free throw 1 of 2
2:45.0,,,81-97,,Offensive rebound by Team
2:45.0,T. Ennis enters the game for K. Middleton,,81-97,,
2:45.0,M. Plumlee enters the game for G. Monroe,,81-97,,
2:45.0,J. O'Bryant enters the game for J. Parker,,81-97,,
2:45.0,D. Inglis enters the game for G. Antetokounmpo,,81-97,,
2:45.0,,,81-97,,L. Thomas enters the game for C. Anthony
2:45.0,,,81-97,,L. Galloway enters the game for J. Calderon
2:45.0,,,81-98,1,K. Porzingis makes free throw 2 of 2
2:28.0,M. Plumlee misses 2-pt shot from 5 ft,,81-98,,
2:27.0,,,81-98,,Defensive rebound by Team
2:15.0,,,81-100,2,A. Afflalo makes 2-pt shot from 12 ft (assist by L. Thomas)
2:05.0,Shooting foul by K. Porzingis (drawn by M. Plumlee),,81-100,,
2:05.0,M. Plumlee makes free throw 1 of 2,1,82-100,,
2:05.0,,,82-100,,K. O'Quinn enters the game for K. Porzingis
2:05.0,,,82-100,,J. Grant enters the game for A. Afflalo
2:05.0,M. Plumlee makes free throw 2 of 2,1,83-100,,
1:48.0,,,83-100,,K. O'Quinn misses 2-pt shot from 16 ft
1:46.0,Defensive rebound by R. Vaughn,,83-100,,
1:38.0,,,83-100,,Def 3 sec tech foul by K. O'Quinn
1:38.0,R. Vaughn makes technical free throw,1,84-100,,
1:27.0,J. O'Bryant misses 2-pt shot from 16 ft,,84-100,,
1:26.0,Offensive rebound by M. Plumlee,,84-100,,
1:21.0,R. Vaughn makes 3-pt shot from 25 ft (assist by T. Ennis),3,87-100,,
1:01.0,,,87-100,,Turnover by J. Grant (bad pass; steal by M. Plumlee)
0:57.0,M. Plumlee misses 2-pt shot at rim,,87-100,,
0:56.0,Offensive rebound by Team,,87-100,,
0:54.0,J. O'Bryant misses 2-pt shot from 8 ft,,87-100,,
0:52.0,,,87-100,,Defensive rebound by K. O'Quinn
0:42.0,,,87-100,,Turnover by D. Williams (lost ball; steal by R. Vaughn)
0:39.0,T. Ennis misses 2-pt shot from 1 ft,,87-100,,
0:37.0,Offensive rebound by R. Vaughn,,87-100,,
0:36.0,Shooting foul by L. Thomas (drawn by R. Vaughn),,87-100,,
0:36.0,R. Vaughn makes free throw 1 of 2,1,88-100,,
0:36.0,R. Vaughn misses free throw 2 of 2,,88-100,,
0:33.0,,,88-100,,Defensive rebound by J. Grant
0:12.0,,,88-100,,J. Grant misses 2-pt shot from 19 ft (block by R. Vaughn)
0:11.0,,,88-100,,Offensive rebound by Team
0:09.0,,,88-100,,J. Grant misses 2-pt shot from 17 ft
0:07.0,Defensive rebound by D. Inglis,,88-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
