time,Philadelphia,pts.away,score,pts.home,Toronto
11:20.0,,,63-55,,Turnover by D. DeRozan (lost ball; steal by N. Noel)
11:13.0,N. Stauskas misses 2-pt shot from 3 ft,,63-55,,
11:13.0,,,63-55,,Defensive rebound by K. Lowry
10:58.0,,,63-55,,Shooting foul by J. Grant (drawn by L. Scola)
10:58.0,,,63-55,,L. Scola misses free throw 1 of 2
10:58.0,,,63-55,,Offensive rebound by Team
10:58.0,C. Wood enters the game for J. Grant,,63-55,,
10:58.0,,,63-55,,L. Scola misses free throw 2 of 2
10:57.0,Defensive rebound by N. Noel,,63-55,,
10:42.0,Turnover by I. Smith (lost ball; steal by N. Powell),,63-55,,
10:39.0,,,63-55,,Shooting foul by N. Stauskas (drawn by N. Powell)
10:39.0,,,63-56,1,N. Powell makes free throw 1 of 2
10:39.0,,,63-57,1,N. Powell makes free throw 2 of 2
10:28.0,Offensive charge foul by R. Covington,,63-57,,
10:28.0,Turnover by R. Covington (offensive foul),,63-57,,
10:16.0,,,63-59,2,D. DeRozan makes 2-pt shot from 21 ft
10:09.0,Turnover by Team (back court),,63-59,,
9:58.0,,,63-59,,L. Scola misses 3-pt shot from 24 ft
9:57.0,,,63-59,,Offensive rebound by Team
9:57.0,Loose ball foul by R. Covington,,63-59,,
9:44.0,,,63-59,,Turnover by K. Lowry (bad pass)
9:25.0,I. Smith misses 3-pt shot from 26 ft,,63-59,,
9:24.0,Offensive rebound by C. Wood,,63-59,,
9:22.0,C. Wood makes 2-pt shot at rim,2,65-59,,
8:59.0,,,65-59,,K. Lowry misses 2-pt shot from 3 ft (block by C. Wood)
8:59.0,,,65-59,,Offensive rebound by Team
8:58.0,,,65-59,,N. Powell misses 2-pt shot from 4 ft
8:58.0,,,65-59,,Offensive rebound by Team
8:58.0,,,65-59,,Turnover by Team (shot clock)
8:46.0,N. Noel makes 2-pt shot at rim (assist by N. Stauskas),2,67-59,,
8:46.0,,,67-59,,Toronto full timeout
8:35.0,,,67-59,,D. DeRozan misses 2-pt shot from 20 ft
8:35.0,,,67-59,,Offensive rebound by J. Valanciunas
8:32.0,,,67-59,,J. Valanciunas misses 2-pt shot from 2 ft
8:32.0,Defensive rebound by N. Noel,,67-59,,
8:20.0,N. Noel misses 2-pt shot from 6 ft,,67-59,,
8:19.0,,,67-59,,Defensive rebound by L. Scola
8:13.0,,,67-59,,Turnover by D. DeRozan (lost ball; steal by N. Stauskas)
8:10.0,,,67-59,,Personal foul by N. Powell
8:10.0,,,67-59,,D. Carroll enters the game for L. Scola
8:02.0,N. Noel misses 2-pt shot from 15 ft,,67-59,,
8:02.0,,,67-59,,Defensive rebound by D. Carroll
7:52.0,,,67-61,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan)
7:32.0,I. Smith misses 2-pt shot from 5 ft,,67-61,,
7:31.0,Offensive rebound by C. Wood,,67-61,,
7:31.0,C. Wood misses 2-pt shot from 2 ft (block by J. Valanciunas),,67-61,,
7:28.0,,,67-61,,Defensive rebound by Team
7:21.0,,,67-64,3,D. Carroll makes 3-pt shot from 26 ft (assist by D. DeRozan)
6:54.0,N. Stauskas misses 3-pt shot from 26 ft,,67-64,,
6:54.0,,,67-64,,Defensive rebound by D. DeRozan
6:44.0,,,67-64,,J. Valanciunas misses 2-pt shot from 5 ft
6:43.0,,,67-64,,Offensive rebound by J. Valanciunas
6:42.0,,,67-64,,J. Valanciunas misses 2-pt shot from 3 ft
6:41.0,,,67-64,,Offensive rebound by J. Valanciunas
6:39.0,,,67-66,2,J. Valanciunas makes 2-pt shot at rim
6:30.0,Turnover by R. Covington (lost ball; steal by D. DeRozan),,67-66,,
6:27.0,,,67-68,2,D. DeRozan makes 2-pt shot at rim
6:27.0,Philadelphia full timeout,,67-68,,
6:27.0,H. Thompson enters the game for C. Wood,,67-68,,
6:17.0,Shooting foul by D. Carroll (drawn by R. Covington),,67-68,,
6:17.0,R. Covington misses free throw 1 of 2,,67-68,,
6:17.0,Offensive rebound by Team,,67-68,,
6:17.0,R. Covington makes free throw 2 of 2,1,68-68,,
5:57.0,,,68-70,2,D. DeRozan makes 2-pt shot from 11 ft
5:44.0,Shooting foul by J. Valanciunas (drawn by N. Noel),,68-70,,
5:44.0,N. Noel makes free throw 1 of 2,1,69-70,,
5:44.0,N. Noel makes free throw 2 of 2,1,70-70,,
5:31.0,,,70-72,2,K. Lowry makes 2-pt shot from 21 ft
5:19.0,N. Stauskas makes 2-pt shot at rim (assist by N. Noel),2,72-72,,
5:03.0,,,72-72,,J. Valanciunas misses 2-pt shot from 3 ft (block by N. Noel)
5:01.0,,,72-72,,Offensive rebound by D. Carroll
4:59.0,,,72-72,,D. Carroll misses 3-pt shot from 22 ft
