time,San Antonio,pts.away,score,pts.home,Boston
10:46.0,M. Ginobili misses 2-pt shot from 2 ft (block by A. Johnson),,24-15,,
10:45.0,Offensive rebound by Team,,24-15,,
10:45.0,D. Green enters the game for M. Ginobili,,24-15,,
10:39.0,T. Duncan makes 2-pt shot from 3 ft (assist by B. Diaw),2,26-15,,
10:28.0,,,26-17,2,M. Smart makes 2-pt shot from 2 ft (assist by I. Thomas)
10:11.0,B. Diaw misses 2-pt shot from 2 ft,,26-17,,
10:10.0,,,26-17,,Defensive rebound by J. Jerebko
9:59.0,,,26-19,2,J. Jerebko makes 2-pt shot from 5 ft (assist by I. Thomas)
9:59.0,San Antonio full timeout,,26-19,,
9:59.0,K. Leonard enters the game for R. Butler,,26-19,,
9:43.0,D. Green misses 2-pt shot from 1 ft,,26-19,,
9:42.0,,,26-19,,Defensive rebound by K. Olynyk
9:35.0,,,26-19,,M. Smart misses 2-pt shot from 9 ft
9:33.0,Defensive rebound by D. Green,,26-19,,
9:28.0,Shooting foul by A. Johnson (drawn by T. Duncan),,26-19,,
9:28.0,T. Duncan misses free throw 1 of 2,,26-19,,
9:28.0,Offensive rebound by Team,,26-19,,
9:28.0,T. Duncan makes free throw 2 of 2,1,27-19,,
9:04.0,,,27-19,,Turnover by K. Olynyk (lost ball; steal by D. Green)
8:56.0,T. Parker misses 2-pt shot from 3 ft,,27-19,,
8:56.0,,,27-19,,Defensive rebound by J. Jerebko
8:48.0,,,27-19,,M. Smart misses 3-pt shot from 23 ft
8:47.0,Defensive rebound by T. Duncan,,27-19,,
8:44.0,Shooting foul by M. Smart (drawn by D. Green),,27-19,,
8:44.0,D. Green misses free throw 1 of 2,,27-19,,
8:44.0,Offensive rebound by Team,,27-19,,
8:44.0,,,27-19,,D. Lee enters the game for A. Johnson
8:44.0,,,27-19,,J. Crowder enters the game for I. Thomas
8:44.0,L. Aldridge enters the game for B. Diaw,,27-19,,
8:44.0,D. Green misses free throw 2 of 2,,27-19,,
8:43.0,,,27-19,,Defensive rebound by K. Olynyk
8:32.0,,,27-19,,M. Smart misses 3-pt shot from 24 ft
8:31.0,Defensive rebound by K. Leonard,,27-19,,
8:19.0,K. Leonard makes 2-pt shot from 8 ft (assist by T. Duncan),2,29-19,,
8:01.0,,,29-19,,Turnover by D. Lee (dbl dribble)
7:44.0,T. Duncan misses 2-pt shot from 4 ft,,29-19,,
7:43.0,Offensive rebound by L. Aldridge,,29-19,,
7:40.0,D. Green misses 3-pt shot from 24 ft,,29-19,,
7:39.0,,,29-19,,Defensive rebound by K. Olynyk
7:29.0,,,29-22,3,J. Crowder makes 3-pt shot from 23 ft (assist by K. Olynyk)
7:07.0,K. Leonard makes 2-pt shot from 14 ft (assist by L. Aldridge),2,31-22,,
6:49.0,,,31-22,,J. Crowder misses 3-pt shot from 24 ft
6:48.0,Defensive rebound by K. Leonard,,31-22,,
6:38.0,L. Aldridge misses 2-pt shot from 5 ft (block by K. Olynyk),,31-22,,
6:37.0,,,31-22,,Defensive rebound by D. Lee
6:32.0,,,31-24,2,M. Smart makes 2-pt shot from 1 ft (assist by D. Lee)
6:15.0,K. Leonard misses 2-pt shot from 20 ft,,31-24,,
6:15.0,,,31-24,,Defensive rebound by K. Olynyk
6:08.0,,,31-24,,Turnover by M. Smart (bad pass; steal by D. Green)
5:59.0,Turnover by K. Leonard (traveling),,31-24,,
5:59.0,Official timeout,,31-24,,
5:59.0,,,31-24,,A. Bradley enters the game for J. Jerebko
5:46.0,,,31-24,,J. Crowder misses 3-pt shot from 24 ft
5:45.0,,,31-24,,Offensive rebound by D. Lee
5:43.0,,,31-24,,D. Lee misses 2-pt shot from 2 ft (block by T. Duncan)
5:42.0,Defensive rebound by T. Duncan,,31-24,,
5:25.0,T. Duncan misses 2-pt shot from 4 ft,,31-24,,
5:24.0,Offensive rebound by L. Aldridge,,31-24,,
5:24.0,Shooting foul by J. Crowder (drawn by L. Aldridge),,31-24,,
5:24.0,L. Aldridge makes free throw 1 of 2,1,32-24,,
5:24.0,M. Ginobili enters the game for T. Duncan,,32-24,,
5:24.0,B. Diaw enters the game for D. Green,,32-24,,
5:24.0,L. Aldridge misses free throw 2 of 2,,32-24,,
5:23.0,,,32-24,,Defensive rebound by D. Lee
5:06.0,,,32-26,2,M. Smart makes 2-pt shot from 2 ft
4:56.0,Turnover by T. Parker (lost ball; steal by M. Smart),,32-26,,
4:56.0,Clear path foul by T. Parker,,32-26,,
4:56.0,,,32-26,,M. Smart misses clear path free throw 1 of 2
4:56.0,,,32-26,,Offensive rebound by Team
4:56.0,,,32-27,1,M. Smart makes clear path free throw 2 of 2
4:48.0,,,32-27,,A. Bradley misses 3-pt shot from 24 ft
4:47.0,,,32-27,,Offensive rebound by D. Lee
4:45.0,P. Mills enters the game for T. Parker,,32-27,,
4:39.0,,,32-27,,Turnover by K. Olynyk (lost ball; steal by M. Ginobili)
4:36.0,,,32-27,,Violation by J. Crowder (kicked ball)
4:27.0,K. Leonard misses 2-pt shot from 5 ft,,32-27,,
4:27.0,,,32-27,,Defensive rebound by K. Olynyk
4:11.0,,,32-27,,D. Lee misses 2-pt shot from 5 ft
4:10.0,Defensive rebound by M. Ginobili,,32-27,,
4:02.0,B. Diaw misses 3-pt shot from 24 ft,,32-27,,
4:01.0,Offensive rebound by M. Ginobili,,32-27,,
3:54.0,M. Ginobili makes 3-pt shot from 24 ft (assist by L. Aldridge),3,35-27,,
3:44.0,,,35-29,2,J. Crowder makes 2-pt shot from 2 ft (assist by M. Smart)
3:33.0,M. Ginobili misses 3-pt shot from 25 ft,,35-29,,
3:32.0,,,35-29,,Defensive rebound by D. Lee
3:26.0,R. Butler enters the game for K. Leonard,,35-29,,
3:26.0,,,35-29,,J. Sullinger enters the game for K. Olynyk
3:26.0,,,35-29,,I. Thomas enters the game for A. Bradley
3:18.0,,,35-29,,J. Sullinger misses 2-pt shot from 8 ft
3:18.0,Defensive rebound by L. Aldridge,,35-29,,
3:11.0,R. Butler misses 3-pt shot from 23 ft,,35-29,,
3:10.0,,,35-29,,Defensive rebound by J. Sullinger
3:03.0,,,35-29,,I. Thomas misses 2-pt shot from 9 ft
2:58.0,Defensive rebound by L. Aldridge,,35-29,,
2:57.0,Turnover by L. Aldridge (lost ball; steal by J. Crowder),,35-29,,
2:53.0,,,35-29,,J. Crowder misses 2-pt shot from 2 ft
2:52.0,,,35-29,,Offensive rebound by J. Crowder
2:51.0,,,35-29,,J. Sullinger misses 2-pt shot from 3 ft (block by R. Butler)
2:50.0,,,35-29,,Offensive rebound by J. Sullinger
2:49.0,,,35-29,,I. Thomas misses 3-pt shot from 26 ft
2:48.0,Defensive rebound by Team,,35-29,,
2:48.0,,,35-29,,Loose ball foul by M. Smart (drawn by R. Butler)
2:48.0,,,35-29,,Boston full timeout
2:48.0,,,35-29,,A. Johnson enters the game for D. Lee
2:48.0,R. Butler makes free throw 1 of 2,1,36-29,,
2:48.0,R. Butler makes free throw 2 of 2,1,37-29,,
2:39.0,Personal foul by M. Ginobili (drawn by M. Smart),,37-29,,
2:35.0,,,37-29,,Offensive charge foul by J. Crowder
2:35.0,,,37-29,,Turnover by J. Crowder (offensive foul)
2:18.0,L. Aldridge misses 2-pt shot from 12 ft,,37-29,,
2:17.0,,,37-29,,Defensive rebound by J. Sullinger
2:00.0,,,37-29,,I. Thomas misses 2-pt shot from 19 ft
1:59.0,Defensive rebound by M. Ginobili,,37-29,,
1:45.0,M. Ginobili makes 3-pt shot from 24 ft (assist by B. Diaw),3,40-29,,
1:29.0,,,40-29,,Turnover by I. Thomas (lost ball; steal by M. Ginobili)
1:07.0,R. Butler misses 3-pt shot from 23 ft,,40-29,,
1:05.0,Offensive rebound by L. Aldridge,,40-29,,
0:56.0,,,40-29,,Personal foul by J. Sullinger (drawn by M. Ginobili)
0:56.0,M. Ginobili makes free throw 1 of 2,1,41-29,,
0:56.0,M. Ginobili makes free throw 2 of 2,1,42-29,,
0:45.0,,,42-29,,J. Sullinger misses 2-pt shot from 19 ft
0:45.0,Defensive rebound by L. Aldridge,,42-29,,
0:32.0,L. Aldridge makes 2-pt shot from 4 ft,2,44-29,,
0:19.0,,,44-29,,J. Crowder misses 3-pt shot from 24 ft
0:18.0,Defensive rebound by L. Aldridge,,44-29,,
0:06.0,Turnover by M. Ginobili (lost ball; steal by M. Smart),,44-29,,
0:03.0,,,44-31,2,M. Smart makes 2-pt shot from 1 ft
0:00.0,M. Ginobili misses 3-pt shot from 27 ft,,44-31,,
0:00.0,Offensive rebound by Team,,44-31,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,L. Aldridge makes 2-pt shot from 1 ft (assist by T. Duncan),2,46-31,,
11:34.0,,,46-31,,J. Crowder misses 2-pt shot from 17 ft
11:33.0,Defensive rebound by T. Duncan,,46-31,,
11:24.0,L. Aldridge misses 2-pt shot from 7 ft,,46-31,,
11:21.0,,,46-31,,Defensive rebound by Team
11:11.0,,,46-34,3,J. Sullinger makes 3-pt shot from 25 ft (assist by A. Bradley)
10:51.0,L. Aldridge misses 2-pt shot from 3 ft (block by J. Crowder),,46-34,,
10:49.0,,,46-34,,Defensive rebound by J. Crowder
10:44.0,,,46-34,,Shooting foul by T. Duncan (drawn by M. Smart)
10:44.0,,,46-34,,M. Smart misses free throw 1 of 2
10:44.0,,,46-34,,Offensive rebound by Team
10:44.0,,,46-35,1,M. Smart makes free throw 2 of 2
10:23.0,T. Duncan misses 2-pt shot from 18 ft,,46-35,,
10:22.0,Offensive rebound by L. Aldridge,,46-35,,
10:22.0,L. Aldridge misses 2-pt shot from 1 ft,,46-35,,
10:20.0,,,46-35,,Defensive rebound by Team
10:04.0,,,46-35,,J. Sullinger misses 3-pt shot from 25 ft
10:03.0,Defensive rebound by D. Green,,46-35,,
9:57.0,,,46-35,,Personal foul by J. Sullinger (drawn by L. Aldridge)
9:42.0,Turnover by K. Leonard (lost ball; steal by J. Crowder),,46-35,,
9:42.0,Jump ball: J. Crowder vs. K. Leonard (A. Bradley gains possession),,,,Jump ball: J. Crowder vs. K. Leonard (A. Bradley gains possession)
9:29.0,,,46-37,2,A. Bradley makes 2-pt shot from 2 ft
9:11.0,Turnover by T. Parker (bad pass),,46-37,,
9:01.0,,,46-39,2,A. Bradley makes 2-pt shot from 15 ft
9:00.0,San Antonio full timeout,,46-39,,
8:44.0,L. Aldridge makes 2-pt shot from 2 ft (assist by T. Duncan),2,48-39,,
8:25.0,,,48-39,,A. Bradley misses 2-pt shot from 19 ft
8:24.0,,,48-39,,Offensive rebound by D. Lee
8:23.0,,,48-39,,D. Lee misses 2-pt shot from 2 ft
8:21.0,Defensive rebound by T. Parker,,48-39,,
8:07.0,K. Leonard misses 3-pt shot from 25 ft,,48-39,,
8:05.0,Offensive rebound by T. Parker,,48-39,,
7:58.0,Offensive foul by T. Duncan,,48-39,,
7:58.0,Turnover by T. Duncan (offensive foul),,48-39,,
7:46.0,,,48-39,,J. Sullinger misses 2-pt shot from 5 ft
7:46.0,Defensive rebound by D. Green,,48-39,,
7:32.0,T. Duncan misses 2-pt shot from 3 ft,,48-39,,
7:31.0,,,48-39,,Defensive rebound by J. Sullinger
7:26.0,,,48-39,,Turnover by D. Lee (bad pass; steal by K. Leonard)
7:17.0,T. Duncan makes 2-pt shot from 5 ft (assist by K. Leonard),2,50-39,,
7:00.0,,,50-39,,J. Sullinger misses 2-pt shot from 14 ft
6:59.0,Defensive rebound by T. Duncan,,50-39,,
6:46.0,Shooting foul by D. Lee (drawn by L. Aldridge),,50-39,,
6:46.0,L. Aldridge makes free throw 1 of 2,1,51-39,,
6:46.0,L. Aldridge makes free throw 2 of 2,1,52-39,,
6:34.0,,,52-41,2,M. Smart makes 2-pt shot from 4 ft (assist by J. Sullinger)
6:14.0,T. Parker makes 2-pt shot from 18 ft,2,54-41,,
6:06.0,,,54-41,,J. Crowder misses 3-pt shot from 23 ft
6:05.0,Defensive rebound by T. Duncan,,54-41,,
6:04.0,Turnover by T. Duncan (bad pass; steal by J. Crowder),,54-41,,
5:56.0,,,54-41,,Shooting foul by D. Green (drawn by A. Bradley)
5:56.0,,,54-41,,A. Bradley misses free throw 1 of 2
5:56.0,,,54-41,,Offensive rebound by Team
5:56.0,,,54-41,,A. Johnson enters the game for J. Sullinger
5:56.0,,,54-42,1,A. Bradley makes free throw 2 of 2
5:39.0,Turnover by T. Duncan (lost ball; steal by M. Smart),,54-42,,
5:31.0,,,54-44,2,J. Crowder makes 2-pt shot at rim (assist by M. Smart)
5:15.0,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker),2,56-44,,
5:05.0,,,56-44,,D. Lee misses 2-pt shot from 21 ft
5:03.0,Defensive rebound by L. Aldridge,,56-44,,
4:50.0,Turnover by T. Parker (lost ball; steal by M. Smart),,56-44,,
4:49.0,Personal foul by T. Parker (drawn by M. Smart),,56-44,,
4:49.0,,,56-44,,K. Olynyk enters the game for J. Crowder
4:49.0,,,56-44,,I. Thomas enters the game for D. Lee
4:49.0,P. Mills enters the game for T. Duncan,,56-44,,
4:49.0,B. Diaw enters the game for D. Green,,56-44,,
4:49.0,M. Ginobili enters the game for T. Parker,,56-44,,
4:39.0,,,56-44,,A. Johnson misses 3-pt shot from 24 ft
4:38.0,,,56-44,,Offensive rebound by M. Smart
4:28.0,,,56-44,,I. Thomas misses 2-pt shot from 1 ft
4:27.0,,,56-44,,Offensive rebound by A. Johnson
4:26.0,,,56-44,,A. Johnson misses 2-pt shot at rim
4:25.0,,,56-44,,Offensive rebound by A. Johnson
4:25.0,,,56-46,2,A. Johnson makes 2-pt shot at rim
4:09.0,K. Leonard makes 2-pt shot from 10 ft,2,58-46,,
3:52.0,,,58-48,2,A. Bradley makes 2-pt shot from 7 ft
3:36.0,Shooting foul by A. Johnson (drawn by L. Aldridge),,58-48,,
3:36.0,L. Aldridge makes free throw 1 of 2,1,59-48,,
3:36.0,L. Aldridge makes free throw 2 of 2,1,60-48,,
3:23.0,,,60-48,,A. Bradley misses 2-pt shot from 1 ft (block by K. Leonard)
3:22.0,Defensive rebound by L. Aldridge,,60-48,,
3:07.0,K. Leonard misses 2-pt shot from 8 ft,,60-48,,
3:06.0,,,60-48,,Defensive rebound by K. Olynyk
3:01.0,,,60-48,,M. Smart misses 3-pt shot from 25 ft
2:59.0,,,60-48,,Offensive rebound by K. Olynyk
2:57.0,,,60-48,,Boston full timeout
2:57.0,,,60-48,,E. Turner enters the game for M. Smart
2:57.0,D. West enters the game for K. Leonard,,60-48,,
2:57.0,D. Green enters the game for L. Aldridge,,60-48,,
2:54.0,,,60-48,,Offensive foul by I. Thomas
2:54.0,,,60-48,,Turnover by I. Thomas (offensive foul)
2:47.0,Turnover by M. Ginobili (bad pass),,60-48,,
2:38.0,,,60-48,,E. Turner misses 2-pt shot from 3 ft
2:37.0,,,60-48,,Offensive rebound by A. Johnson
2:37.0,,,60-50,2,A. Johnson makes 2-pt shot at rim
2:28.0,D. Green misses 3-pt shot from 23 ft,,60-50,,
2:28.0,,,60-50,,Defensive rebound by E. Turner
2:22.0,,,60-50,,K. Olynyk misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by M. Ginobili,,60-50,,
2:14.0,Turnover by M. Ginobili (bad pass; steal by K. Olynyk),,60-50,,
2:08.0,,,60-50,,A. Bradley misses 2-pt shot from 4 ft
2:07.0,,,60-50,,Offensive rebound by E. Turner
2:03.0,,,60-50,,I. Thomas misses 3-pt shot from 24 ft
2:00.0,Defensive rebound by M. Ginobili,,60-50,,
1:42.0,B. Diaw misses 2-pt shot from 2 ft,,60-50,,
1:41.0,Offensive rebound by D. West,,60-50,,
1:40.0,Turnover by D. West (traveling),,60-50,,
1:30.0,,,60-50,,Turnover by E. Turner (lost ball; steal by M. Ginobili)
1:18.0,B. Diaw misses 2-pt shot from 11 ft,,60-50,,
1:17.0,Offensive rebound by Team,,60-50,,
1:17.0,,,60-50,,J. Jerebko enters the game for A. Bradley
1:09.0,Turnover by D. West (offensive foul),,60-50,,
1:09.0,Offensive charge foul by D. West,,60-50,,
1:01.0,,,60-52,2,I. Thomas makes 2-pt shot from 1 ft
0:49.0,M. Ginobili makes 2-pt shot from 1 ft,2,62-52,,
0:39.0,,,62-52,,K. Olynyk misses 3-pt shot from 25 ft
0:39.0,Defensive rebound by M. Ginobili,,62-52,,
0:34.0,D. Green makes 2-pt shot from 2 ft (assist by M. Ginobili),2,64-52,,
0:23.0,,,64-52,,Shooting foul by D. West (drawn by I. Thomas)
0:23.0,,,64-53,1,I. Thomas makes free throw 1 of 2
0:23.0,,,64-53,,M. Smart enters the game for K. Olynyk
0:23.0,,,64-54,1,I. Thomas makes free throw 2 of 2
0:01.0,D. Green misses 3-pt shot from 24 ft,,64-54,,
0:00.0,Offensive rebound by Team,,64-54,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,64-56,2,I. Thomas makes 2-pt shot at rim
11:23.0,,,64-56,,Personal foul by J. Jerebko (drawn by B. Diaw)
11:12.0,D. Green makes 2-pt shot from 1 ft (assist by B. Diaw),2,66-56,,
11:03.0,Personal foul by M. Ginobili (drawn by M. Smart),,66-56,,
11:03.0,K. Leonard enters the game for M. Ginobili,,66-56,,
10:59.0,Personal foul by P. Mills (drawn by I. Thomas),,66-56,,
10:53.0,,,66-59,3,I. Thomas makes 3-pt shot from 25 ft (assist by E. Turner)
10:26.0,D. Green misses 2-pt shot from 19 ft,,66-59,,
10:25.0,,,66-59,,Defensive rebound by I. Thomas
10:25.0,Personal foul by K. Leonard (drawn by I. Thomas),,66-59,,
10:15.0,,,66-59,,Offensive foul by J. Jerebko
10:15.0,,,66-59,,Turnover by J. Jerebko (offensive foul)
10:02.0,B. Diaw makes 2-pt shot from 2 ft,2,68-59,,
10:02.0,Shooting foul by J. Jerebko (drawn by B. Diaw),,68-59,,
10:02.0,B. Diaw makes free throw 1 of 1,1,69-59,,
9:52.0,,,69-61,2,A. Johnson makes 2-pt shot from 3 ft (assist by I. Thomas)
9:39.0,K. Leonard misses 2-pt shot from 2 ft,,69-61,,
9:38.0,,,69-61,,Defensive rebound by E. Turner
9:32.0,,,69-61,,M. Smart misses 3-pt shot from 23 ft
9:31.0,Defensive rebound by K. Leonard,,69-61,,
9:24.0,D. Green misses 2-pt shot from 2 ft (block by E. Turner),,69-61,,
9:23.0,Offensive rebound by D. Green,,69-61,,
9:20.0,B. Diaw makes 2-pt shot from 1 ft (assist by D. Green),2,71-61,,
9:03.0,,,71-61,,I. Thomas misses 2-pt shot from 17 ft
9:02.0,Defensive rebound by B. Diaw,,71-61,,
8:58.0,San Antonio full timeout,,71-61,,
8:58.0,,,71-61,,A. Bradley enters the game for I. Thomas
8:58.0,,,71-61,,J. Sullinger enters the game for J. Jerebko
8:46.0,D. West makes 2-pt shot from 4 ft,2,73-61,,
8:35.0,Personal foul by B. Diaw (drawn by M. Smart),,73-61,,
8:23.0,,,73-61,,J. Sullinger misses 2-pt shot from 18 ft
8:21.0,Defensive rebound by K. Leonard,,73-61,,
8:09.0,P. Mills makes 2-pt shot from 19 ft,2,75-61,,
7:56.0,,,75-63,2,A. Johnson makes 2-pt shot from 5 ft (assist by E. Turner)
7:45.0,K. Leonard misses 2-pt shot at rim,,75-63,,
7:44.0,,,75-63,,Defensive rebound by Team
7:44.0,T. Parker enters the game for P. Mills,,75-63,,
7:44.0,L. Aldridge enters the game for B. Diaw,,75-63,,
7:24.0,,,75-66,3,A. Bradley makes 3-pt shot from 24 ft (assist by E. Turner)
7:00.0,L. Aldridge misses 2-pt shot from 9 ft,,75-66,,
7:00.0,,,75-66,,Defensive rebound by E. Turner
6:52.0,,,75-66,,A. Bradley misses 2-pt shot from 2 ft
6:51.0,,,75-66,,Offensive rebound by J. Sullinger
6:51.0,,,75-68,2,J. Sullinger makes 2-pt shot from 1 ft
6:28.0,T. Parker misses 2-pt shot from 19 ft,,75-68,,
6:27.0,Offensive rebound by D. West,,75-68,,
6:13.0,San Antonio full timeout,,75-68,,
