time,Golden State,pts.away,score,pts.home,LA Clippers
7:25.0,M. Speights enters the game for D. Green,,10-19,,
7:25.0,,,10-19,,D. Jordan misses free throw 2 of 2
7:24.0,Defensive rebound by H. Barnes,,10-19,,
7:01.0,H. Barnes makes 3-pt shot from 23 ft (assist by A. Iguodala),3,13-19,,
6:32.0,,,13-22,3,C. Paul makes 3-pt shot from 25 ft
6:18.0,Shooting foul by P. Pierce (drawn by K. Thompson),,13-22,,
6:18.0,K. Thompson makes free throw 1 of 2,1,14-22,,
6:18.0,,,14-22,,A. Rivers enters the game for J. Crawford
6:18.0,K. Thompson makes free throw 2 of 2,1,15-22,,
6:01.0,,,15-24,2,C. Paul makes 2-pt shot from 9 ft
5:47.0,Shooting foul by P. Pierce (drawn by K. Thompson),,15-24,,
5:47.0,K. Thompson makes free throw 1 of 2,1,16-24,,
5:47.0,K. Thompson misses free throw 2 of 2,,16-24,,
5:46.0,,,16-24,,Defensive rebound by B. Griffin
5:32.0,,,16-26,2,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul)
5:13.0,H. Barnes misses 2-pt shot from 14 ft,,16-26,,
5:11.0,,,16-26,,Defensive rebound by B. Griffin
4:50.0,,,16-28,2,B. Griffin makes 2-pt shot from 18 ft
4:36.0,H. Barnes misses 2-pt shot at rim,,16-28,,
4:35.0,,,16-28,,Defensive rebound by D. Jordan
4:30.0,,,16-30,2,C. Paul makes 2-pt shot from 16 ft
4:10.0,K. Thompson misses 3-pt shot from 26 ft,,16-30,,
4:09.0,,,16-30,,Defensive rebound by C. Paul
3:55.0,,,16-30,,B. Griffin misses 2-pt shot from 13 ft
3:53.0,,,16-30,,Offensive rebound by D. Jordan
3:53.0,,,16-30,,J. Crawford enters the game for C. Paul
3:53.0,F. Ezeli enters the game for A. Bogut,,16-30,,
3:46.0,,,16-32,2,J. Crawford makes 2-pt shot from 19 ft (assist by B. Griffin)
3:21.0,H. Barnes misses 3-pt shot from 27 ft,,16-32,,
3:21.0,Offensive rebound by K. Thompson,,16-32,,
3:16.0,M. Speights misses 2-pt shot from 1 ft,,16-32,,
3:15.0,Offensive rebound by M. Speights,,16-32,,
3:12.0,M. Speights misses 2-pt shot from 1 ft,,16-32,,
3:11.0,,,16-32,,Defensive rebound by B. Griffin
3:05.0,,,16-32,,B. Griffin misses 2-pt shot from 3 ft
3:03.0,,,16-32,,Offensive rebound by D. Jordan
3:03.0,,,16-34,2,D. Jordan makes 2-pt shot at rim
2:55.0,Turnover by F. Ezeli (bad pass; steal by A. Rivers),,16-34,,
2:55.0,Personal take foul by F. Ezeli (drawn by A. Rivers),,16-34,,
2:55.0,,,16-34,,LA Clippers full timeout
2:55.0,,,16-34,,J. Smith enters the game for P. Pierce
2:55.0,,,16-34,,W. Johnson enters the game for D. Jordan
2:55.0,,,16-34,,A. Rivers misses free throw 1 of 2
2:55.0,,,16-34,,Offensive rebound by Team
2:55.0,,,16-34,,A. Rivers misses free throw 2 of 2
2:54.0,Defensive rebound by M. Speights,,16-34,,
2:37.0,A. Iguodala makes 2-pt shot from 20 ft (assist by M. Speights),2,18-34,,
2:23.0,,,18-34,,J. Crawford misses 2-pt shot from 18 ft
2:21.0,Defensive rebound by H. Barnes,,18-34,,
2:12.0,Turnover by A. Iguodala (bad pass),,18-34,,
2:12.0,B. Rush enters the game for H. Barnes,,18-34,,
1:52.0,,,18-36,2,B. Griffin makes 2-pt shot from 1 ft
1:42.0,Shooting foul by J. Smith (drawn by M. Speights),,18-36,,
1:42.0,M. Speights misses free throw 1 of 2,,18-36,,
1:42.0,Offensive rebound by Team,,18-36,,
1:42.0,M. Speights makes free throw 2 of 2,1,19-36,,
1:27.0,,,19-39,3,W. Johnson makes 3-pt shot from 23 ft (assist by J. Smith)
1:07.0,K. Thompson makes 2-pt shot from 19 ft (assist by F. Ezeli),2,21-39,,
0:51.0,,,21-41,2,B. Griffin makes 2-pt shot from 11 ft
0:39.0,Shooting foul by J. Smith (drawn by F. Ezeli),,21-41,,
0:39.0,F. Ezeli makes free throw 1 of 2,1,22-41,,
0:39.0,F. Ezeli misses free throw 2 of 2,,22-41,,
0:39.0,,,22-41,,Defensive rebound by J. Smith
0:28.0,,,22-41,,J. Crawford misses 3-pt shot from 28 ft
0:27.0,Defensive rebound by B. Rush,,22-41,,
0:09.0,K. Thompson makes 3-pt shot from 25 ft (assist by A. Iguodala),3,25-41,,
0:02.0,,,25-41,,B. Griffin misses 2-pt shot from 20 ft
0:00.0,Defensive rebound by M. Speights,,25-41,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,25-43,2,A. Rivers makes 2-pt shot from 16 ft
11:29.0,,,25-43,,Loose ball foul by W. Johnson (drawn by F. Ezeli)
11:24.0,Turnover by A. Iguodala (bad pass; steal by W. Johnson),,25-43,,
11:18.0,,,25-45,2,A. Rivers makes 2-pt shot from 2 ft (assist by W. Johnson)
11:09.0,,,25-45,,Personal foul by A. Rivers (drawn by S. Curry)
11:04.0,Turnover by S. Curry (traveling),,25-45,,
10:45.0,,,25-45,,J. Crawford misses 2-pt shot from 15 ft
10:45.0,Defensive rebound by S. Curry,,25-45,,
10:34.0,F. Ezeli makes 2-pt shot at rim (assist by D. Green),2,27-45,,
10:14.0,,,27-48,3,J. Smith makes 3-pt shot from 25 ft (assist by J. Crawford)
10:01.0,S. Curry misses 3-pt shot from 26 ft,,27-48,,
10:00.0,,,27-48,,Defensive rebound by J. Crawford
9:58.0,,,27-48,,Turnover by J. Crawford (bad pass; steal by S. Curry)
9:42.0,B. Rush misses 3-pt shot from 24 ft,,27-48,,
9:42.0,,,27-48,,Defensive rebound by J. Crawford
9:22.0,,,27-50,2,J. Crawford makes 2-pt shot from 18 ft
9:03.0,S. Curry misses 2-pt shot from 3 ft (block by J. Smith),,27-50,,
9:02.0,Offensive rebound by A. Iguodala,,27-50,,
8:55.0,D. Green makes 2-pt shot from 11 ft (assist by B. Rush),2,29-50,,
8:40.0,,,29-50,,J. Smith misses 3-pt shot from 24 ft
8:39.0,Defensive rebound by S. Curry,,29-50,,
8:33.0,D. Green misses 2-pt shot from 1 ft,,29-50,,
8:29.0,,,29-50,,Defensive rebound by J. Smith
8:13.0,Official timeout,,29-50,,
8:13.0,K. Thompson enters the game for A. Iguodala,,29-50,,
8:13.0,H. Barnes enters the game for B. Rush,,29-50,,
8:09.0,,,29-50,,J. Crawford misses 2-pt shot from 19 ft
8:08.0,Defensive rebound by S. Curry,,29-50,,
8:01.0,S. Curry misses 2-pt shot from 3 ft,,29-50,,
8:00.0,Offensive rebound by F. Ezeli,,29-50,,
7:54.0,S. Curry makes 3-pt shot from 23 ft (assist by F. Ezeli),3,32-50,,
7:44.0,,,32-50,,Shooting foul by D. Green (drawn by J. Crawford)
7:44.0,,,32-51,1,J. Crawford makes free throw 1 of 2
7:44.0,,,32-52,1,J. Crawford makes free throw 2 of 2
7:32.0,Turnover by S. Curry (bad pass; steal by D. Jordan),,32-52,,
7:26.0,,,32-55,3,A. Rivers makes 3-pt shot from 26 ft (assist by J. Crawford)
7:14.0,,,32-55,,C. Paul enters the game for A. Rivers
7:14.0,,,32-55,,P. Pierce enters the game for W. Johnson
7:07.0,K. Thompson misses 2-pt shot from 17 ft,,32-55,,
7:07.0,,,32-55,,Defensive rebound by D. Jordan
6:55.0,,,32-55,,J. Smith misses 2-pt shot from 3 ft
6:55.0,Defensive rebound by Team,,32-55,,
6:45.0,S. Curry misses 3-pt shot from 26 ft,,32-55,,
6:45.0,Offensive rebound by Team,,32-55,,
6:45.0,,,32-55,,Loose ball foul by C. Paul (drawn by D. Green)
6:39.0,,,32-55,,Personal foul by P. Pierce (drawn by F. Ezeli)
6:30.0,F. Ezeli misses 2-pt shot at rim,,32-55,,
6:29.0,,,32-55,,Defensive rebound by Team
6:14.0,,,32-55,,J. Crawford misses 3-pt shot from 24 ft
6:13.0,Defensive rebound by H. Barnes,,32-55,,
6:06.0,K. Thompson misses 2-pt shot from 10 ft,,32-55,,
6:02.0,,,32-55,,Defensive rebound by J. Crawford
6:00.0,,,32-55,,Turnover by C. Paul (bad pass; steal by D. Green)
5:54.0,H. Barnes makes 2-pt shot from 3 ft (assist by K. Thompson),2,34-55,,
5:48.0,,,34-55,,LA Clippers full timeout
5:48.0,,,34-55,,B. Griffin enters the game for J. Smith
5:48.0,A. Bogut enters the game for F. Ezeli,,34-55,,
5:48.0,J. Thompson enters the game for D. Green,,34-55,,
5:42.0,Personal foul by A. Bogut (drawn by B. Griffin),,34-55,,
5:31.0,,,34-55,,Shooting foul by J. Thompson (drawn by D. Jordan)
5:31.0,,,34-55,,D. Jordan misses free throw 1 of 2
5:31.0,,,34-55,,Offensive rebound by Team
5:31.0,,,34-55,,D. Jordan misses free throw 2 of 2
5:30.0,Defensive rebound by J. Thompson,,34-55,,
5:14.0,H. Barnes makes 2-pt shot from 17 ft (assist by S. Curry),2,36-55,,
4:54.0,,,36-55,,Turnover by B. Griffin (bad pass)
4:54.0,,,36-55,,A. Rivers enters the game for J. Crawford
4:44.0,J. Thompson misses 2-pt shot from 3 ft (block by B. Griffin),,36-55,,
4:43.0,,,36-55,,Defensive rebound by P. Pierce
4:36.0,,,36-55,,C. Paul misses 3-pt shot from 26 ft
4:36.0,Defensive rebound by H. Barnes,,36-55,,
4:36.0,,,36-55,,Personal foul by D. Jordan (drawn by S. Curry)
4:36.0,,,36-55,,Technical foul by D. Jordan (drawn by S. Curry)
4:36.0,S. Curry makes technical free throw,1,37-55,,
4:36.0,S. Curry makes free throw 1 of 2,1,38-55,,
4:36.0,S. Curry makes free throw 2 of 2,1,39-55,,
4:19.0,,,39-55,,C. Paul misses 2-pt shot from 13 ft
4:16.0,Defensive rebound by S. Curry,,39-55,,
4:14.0,Turnover by S. Curry (lost ball; steal by C. Paul),,39-55,,
4:13.0,Personal foul by A. Bogut (drawn by C. Paul),,39-55,,
4:13.0,,,39-55,,Technical foul by Team
4:13.0,S. Curry makes technical free throw,1,40-55,,
4:13.0,A. Iguodala enters the game for H. Barnes,,40-55,,
3:54.0,,,40-55,,A. Rivers misses 3-pt shot from 26 ft
3:53.0,,,40-55,,Offensive rebound by B. Griffin
3:50.0,Personal foul by J. Thompson (drawn by B. Griffin),,40-55,,
3:50.0,,,40-56,1,B. Griffin makes free throw 1 of 2
3:50.0,,,40-57,1,B. Griffin makes free throw 2 of 2
3:36.0,A. Iguodala misses 2-pt shot from 5 ft,,40-57,,
3:36.0,Offensive rebound by Team,,40-57,,
3:32.0,Shooting foul by P. Pierce (drawn by K. Thompson),,40-57,,
3:32.0,K. Thompson misses free throw 1 of 2,,40-57,,
3:32.0,Offensive rebound by Team,,40-57,,
3:32.0,,,40-57,,W. Johnson enters the game for P. Pierce
3:32.0,K. Thompson makes free throw 2 of 2,1,41-57,,
3:22.0,,,41-59,2,C. Paul makes 2-pt shot from 5 ft (assist by B. Griffin)
3:22.0,,,41-59,,Shooting foul by J. Thompson (drawn by C. Paul)
3:22.0,,,41-60,1,C. Paul makes free throw 1 of 1
3:17.0,,,41-60,,Personal foul by C. Paul (drawn by K. Thompson)
3:17.0,K. Thompson makes free throw 1 of 2,1,42-60,,
3:17.0,H. Barnes enters the game for J. Thompson,,42-60,,
3:17.0,K. Thompson makes free throw 2 of 2,1,43-60,,
2:53.0,,,43-60,,A. Rivers misses 2-pt shot from 4 ft
2:50.0,Defensive rebound by A. Bogut,,43-60,,
2:33.0,S. Curry makes 2-pt shot from 3 ft,2,45-60,,
2:27.0,,,45-60,,Offensive foul by D. Jordan
2:27.0,,,45-60,,Turnover by D. Jordan (offensive foul)
2:27.0,Golden State full timeout,,45-60,,
2:27.0,,,45-60,,J. Crawford enters the game for A. Rivers
2:19.0,Turnover by K. Thompson (turnover),,45-60,,
2:07.0,,,45-62,2,W. Johnson makes 2-pt shot at rim (assist by B. Griffin)
1:44.0,H. Barnes makes 2-pt shot from 3 ft,2,47-62,,
1:44.0,Personal foul by H. Barnes (drawn by C. Paul),,47-62,,
1:44.0,,,47-63,1,C. Paul makes free throw 1 of 2
1:44.0,,,47-64,1,C. Paul makes free throw 2 of 2
1:22.0,H. Barnes makes 2-pt shot from 3 ft (assist by A. Iguodala),2,49-64,,
1:00.0,,,49-64,,W. Johnson misses 2-pt shot from 18 ft
1:00.0,Defensive rebound by S. Curry,,49-64,,
0:47.0,A. Bogut misses 2-pt shot from 4 ft,,49-64,,
0:43.0,,,49-64,,Defensive rebound by B. Griffin
0:42.0,,,49-66,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
0:37.0,Shooting foul by D. Jordan (drawn by S. Curry),,49-66,,
0:37.0,S. Curry makes free throw 1 of 2,1,50-66,,
0:37.0,,,50-66,,J. Smith enters the game for D. Jordan
0:37.0,J. McAdoo enters the game for A. Bogut,,50-66,,
0:37.0,S. Curry makes free throw 2 of 2,1,51-66,,
0:37.0,,,51-66,,LA Clippers full timeout
0:37.0,,,51-66,,A. Rivers enters the game for J. Smith
0:27.0,,,51-68,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
0:07.0,S. Curry makes 3-pt shot from 27 ft,3,54-68,,
0:01.0,,,54-68,,Turnover by J. Crawford (step out of bounds)
0:01.0,Golden State full timeout,,54-68,,
0:01.0,M. Speights enters the game for J. McAdoo,,54-68,,
0:01.0,,,54-68,,D. Jordan enters the game for J. Crawford
0:01.0,,,54-68,,L. Mbah a Moute enters the game for C. Paul
0:01.0,Turnover by A. Iguodala (turnover),,54-68,,
0:01.0,,,54-68,,J. Crawford enters the game for D. Jordan
0:01.0,,,54-68,,C. Paul enters the game for L. Mbah a Moute
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,54-70,2,J. Crawford makes 2-pt shot from 12 ft (assist by D. Jordan)
11:28.0,,,54-70,,Personal foul by J. Crawford (drawn by D. Green)
11:21.0,Offensive foul by D. Green,,54-70,,
11:21.0,Turnover by D. Green (offensive foul),,54-70,,
11:02.0,,,54-72,2,B. Griffin makes 2-pt shot from 6 ft
10:51.0,D. Green makes 3-pt shot from 25 ft (assist by S. Curry),3,57-72,,
10:38.0,,,57-72,,B. Griffin misses 2-pt shot from 2 ft
10:35.0,Defensive rebound by D. Green,,57-72,,
10:23.0,D. Green misses 2-pt shot at rim,,57-72,,
10:22.0,Offensive rebound by K. Thompson,,57-72,,
10:18.0,S. Curry misses 3-pt shot from 26 ft,,57-72,,
10:17.0,,,57-72,,Defensive rebound by C. Paul
10:14.0,,,57-72,,J. Crawford misses 3-pt shot from 27 ft
10:13.0,Defensive rebound by H. Barnes,,57-72,,
10:10.0,,,57-72,,Personal foul by J. Crawford (drawn by H. Barnes)
10:02.0,D. Green makes 3-pt shot from 26 ft (assist by S. Curry),3,60-72,,
9:52.0,Personal foul by K. Thompson (drawn by J. Crawford),,60-72,,
9:46.0,,,60-72,,Turnover by C. Paul (lost ball; steal by S. Curry)
9:36.0,H. Barnes misses 3-pt shot from 23 ft,,60-72,,
9:35.0,,,60-72,,Defensive rebound by J. Crawford
9:24.0,,,60-74,2,J. Crawford makes 2-pt shot from 14 ft
9:10.0,A. Bogut makes 2-pt shot from 2 ft (assist by K. Thompson),2,62-74,,
8:41.0,,,62-76,2,C. Paul makes 2-pt shot from 19 ft
8:32.0,Shooting foul by J. Crawford (drawn by K. Thompson),,62-76,,
8:32.0,K. Thompson makes free throw 1 of 2,1,63-76,,
8:32.0,,,63-76,,A. Rivers enters the game for J. Crawford
8:32.0,K. Thompson makes free throw 2 of 2,1,64-76,,
8:11.0,,,64-79,3,B. Griffin makes 3-pt shot from 26 ft
8:03.0,H. Barnes misses 2-pt shot from 22 ft,,64-79,,
8:03.0,,,64-79,,Defensive rebound by A. Rivers
7:46.0,,,64-79,,P. Pierce misses 3-pt shot from 28 ft
7:46.0,Defensive rebound by K. Thompson,,64-79,,
7:42.0,Turnover by K. Thompson (bad pass; steal by B. Griffin),,64-79,,
7:33.0,,,64-79,,C. Paul misses 3-pt shot from 24 ft
7:32.0,Defensive rebound by S. Curry,,64-79,,
7:19.0,S. Curry makes 2-pt shot from 20 ft (assist by A. Bogut),2,66-79,,
7:15.0,,,66-79,,LA Clippers full timeout
6:56.0,,,66-79,,P. Pierce misses 3-pt shot from 26 ft
6:55.0,Defensive rebound by S. Curry,,66-79,,
6:50.0,S. Curry makes 2-pt shot from 3 ft,2,68-79,,
6:42.0,,,68-79,,Turnover by C. Paul (step out of bounds)
6:28.0,S. Curry misses 3-pt shot from 26 ft,,68-79,,
6:27.0,,,68-79,,Defensive rebound by C. Paul
6:21.0,,,68-81,2,C. Paul makes 2-pt shot from 12 ft
6:04.0,H. Barnes makes 2-pt shot from 19 ft (assist by A. Bogut),2,70-81,,
5:46.0,,,70-83,2,A. Rivers makes 2-pt shot from 2 ft (assist by C. Paul)
5:27.0,K. Thompson misses 2-pt shot from 11 ft,,70-83,,
5:25.0,,,70-83,,Defensive rebound by D. Jordan
5:02.0,,,70-83,,C. Paul misses 3-pt shot from 28 ft
5:00.0,Defensive rebound by D. Green,,70-83,,
4:54.0,Shooting foul by D. Jordan (drawn by D. Green),,70-83,,
4:54.0,D. Green makes free throw 1 of 2,1,71-83,,
4:54.0,,,71-83,,W. Johnson enters the game for P. Pierce
4:54.0,,,71-83,,J. Crawford enters the game for C. Paul
4:54.0,F. Ezeli enters the game for A. Bogut,,71-83,,
4:54.0,A. Iguodala enters the game for H. Barnes,,71-83,,
4:54.0,,,71-83,,J. Smith enters the game for D. Jordan
4:54.0,D. Green makes free throw 2 of 2,1,72-83,,
4:41.0,,,72-83,,A. Rivers misses 2-pt shot from 19 ft
4:40.0,Defensive rebound by A. Iguodala,,72-83,,
4:26.0,S. Curry makes 2-pt shot from 4 ft (assist by D. Green),2,74-83,,
4:11.0,,,74-83,,B. Griffin misses 2-pt shot from 12 ft
4:09.0,Defensive rebound by D. Green,,74-83,,
3:59.0,D. Green makes 2-pt shot from 2 ft (assist by A. Iguodala),2,76-83,,
3:45.0,,,76-83,,Shooting foul by F. Ezeli (drawn by B. Griffin)
3:45.0,,,76-84,1,B. Griffin makes free throw 1 of 2
3:45.0,,,76-84,,B. Griffin misses free throw 2 of 2
3:44.0,Defensive rebound by F. Ezeli,,76-84,,
3:32.0,S. Curry misses 3-pt shot from 26 ft,,76-84,,
3:32.0,,,76-84,,Defensive rebound by J. Crawford
3:20.0,,,76-87,3,J. Smith makes 3-pt shot from 25 ft (assist by A. Rivers)
3:12.0,Turnover by D. Green (bad pass; steal by A. Rivers),,76-87,,
3:02.0,,,76-87,,W. Johnson misses 3-pt shot from 24 ft
3:01.0,Defensive rebound by D. Green,,76-87,,
2:47.0,S. Curry makes 2-pt shot from 3 ft,2,78-87,,
2:31.0,,,78-89,2,B. Griffin makes 2-pt shot from 22 ft
2:31.0,Golden State full timeout,,78-89,,
2:21.0,Turnover by D. Green (step out of bounds),,78-89,,
2:06.0,,,78-89,,A. Rivers misses 2-pt shot from 4 ft
2:04.0,Defensive rebound by S. Curry,,78-89,,
2:04.0,,,78-89,,Personal foul by B. Griffin (drawn by F. Ezeli)
2:04.0,F. Ezeli makes free throw 1 of 2,1,79-89,,
2:04.0,I. Clark enters the game for K. Thompson,,79-89,,
2:04.0,F. Ezeli makes free throw 2 of 2,1,80-89,,
1:51.0,,,80-89,,W. Johnson misses 2-pt shot from 20 ft
1:51.0,,,80-89,,Offensive rebound by W. Johnson
1:47.0,,,80-89,,Turnover by J. Smith (bad pass; steal by S. Curry)
1:39.0,Shooting foul by J. Smith (drawn by S. Curry),,80-89,,
1:39.0,S. Curry makes free throw 1 of 2,1,81-89,,
1:39.0,S. Curry makes free throw 2 of 2,1,82-89,,
1:16.0,,,82-89,,J. Crawford misses 3-pt shot from 24 ft
1:16.0,,,82-89,,Offensive rebound by Team
1:15.0,,,82-89,,Turnover by Team (shot clock)
1:01.0,S. Curry misses 3-pt shot from 24 ft,,82-89,,
1:00.0,,,82-89,,Defensive rebound by W. Johnson
0:55.0,,,82-91,2,W. Johnson makes 2-pt shot at rim (assist by J. Smith)
0:30.0,S. Curry misses 2-pt shot from 15 ft,,82-91,,
0:30.0,,,82-91,,Defensive rebound by A. Rivers
0:06.0,,,82-91,,J. Crawford misses 3-pt shot from 26 ft
0:05.0,Defensive rebound by I. Clark,,82-91,,
0:00.0,D. Green makes 3-pt shot from 23 ft (assist by I. Clark),3,85-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,H. Barnes makes 3-pt shot from 25 ft (assist by A. Iguodala),3,88-91,,
11:22.0,,,88-93,2,J. Crawford makes 2-pt shot from 3 ft
11:03.0,H. Barnes makes 2-pt shot from 1 ft,2,90-93,,
10:49.0,,,90-93,,Shooting foul by M. Speights (drawn by D. Jordan)
10:49.0,,,90-94,1,D. Jordan makes free throw 1 of 2
10:49.0,,,90-95,1,D. Jordan makes free throw 2 of 2
10:30.0,I. Clark misses 2-pt shot from 8 ft,,90-95,,
10:27.0,Offensive rebound by F. Ezeli,,90-95,,
10:21.0,Shooting foul by J. Smith (drawn by M. Speights),,90-95,,
10:21.0,M. Speights makes free throw 1 of 2,1,91-95,,
10:21.0,M. Speights makes free throw 2 of 2,1,92-95,,
10:11.0,,,92-95,,Shooting foul by I. Clark (drawn by A. Rivers)
10:11.0,,,92-95,,A. Rivers misses free throw 1 of 2
10:11.0,,,92-95,,Offensive rebound by Team
10:11.0,,,92-96,1,A. Rivers makes free throw 2 of 2
9:48.0,H. Barnes makes 3-pt shot from 25 ft (assist by F. Ezeli),3,95-96,,
9:35.0,,,95-96,,D. Jordan misses 2-pt shot from 1 ft (block by F. Ezeli)
9:33.0,,,95-96,,Offensive rebound by A. Rivers
9:25.0,,,95-96,,P. Pierce misses 3-pt shot from 24 ft
9:23.0,Defensive rebound by F. Ezeli,,95-96,,
9:06.0,M. Speights misses 2-pt shot from 18 ft,,95-96,,
9:06.0,,,95-96,,Defensive rebound by P. Pierce
9:06.0,Loose ball foul by F. Ezeli (drawn by D. Jordan),,95-96,,
9:03.0,,,95-96,,C. Paul enters the game for A. Rivers
8:50.0,,,95-96,,J. Smith misses 2-pt shot from 4 ft (block by I. Clark)
8:50.0,,,95-96,,Offensive rebound by D. Jordan
8:50.0,,,95-96,,Shooting foul by M. Speights (drawn by D. Jordan)
8:50.0,Official timeout,,95-96,,
8:50.0,K. Thompson enters the game for I. Clark,,95-96,,
8:50.0,,,95-97,1,D. Jordan makes free throw 1 of 2
8:50.0,,,95-98,1,D. Jordan makes free throw 2 of 2
8:31.0,S. Curry enters the game for A. Iguodala,,95-98,,
8:27.0,Jump ball: F. Ezeli vs. J. Smith (P. Pierce gains possession),,,,Jump ball: F. Ezeli vs. J. Smith (P. Pierce gains possession)
8:27.0,Turnover by F. Ezeli (lost ball; steal by J. Smith),,95-98,,
8:17.0,,,95-100,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
8:04.0,Turnover by S. Curry (bad pass; steal by J. Smith),,95-100,,
7:59.0,,,95-102,2,J. Smith makes 2-pt shot at rim
7:41.0,H. Barnes misses 2-pt shot from 17 ft,,95-102,,
7:41.0,Offensive rebound by M. Speights,,95-102,,
7:41.0,Shooting foul by J. Smith (drawn by M. Speights),,95-102,,
7:41.0,M. Speights misses free throw 1 of 2,,95-102,,
7:41.0,Offensive rebound by Team,,95-102,,
7:41.0,,,95-102,,B. Griffin enters the game for J. Smith
7:41.0,M. Speights makes free throw 2 of 2,1,96-102,,
7:27.0,,,96-102,,C. Paul misses 2-pt shot from 5 ft
7:24.0,Defensive rebound by M. Speights,,96-102,,
7:21.0,Turnover by M. Speights (lost ball; steal by C. Paul),,96-102,,
7:15.0,,,96-102,,D. Jordan misses 2-pt shot from 3 ft (block by F. Ezeli)
7:14.0,Defensive rebound by S. Curry,,96-102,,
7:14.0,Turnover by H. Barnes (turnover),,96-102,,
7:14.0,D. Green enters the game for M. Speights,,96-102,,
6:51.0,,,96-105,3,C. Paul makes 3-pt shot from 25 ft
6:44.0,Golden State full timeout,,96-105,,
6:44.0,A. Iguodala enters the game for H. Barnes,,96-105,,
6:31.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Green),3,99-105,,
6:10.0,Personal foul by K. Thompson (drawn by B. Griffin),,99-105,,
6:10.0,,,99-105,,B. Griffin misses free throw 1 of 2
6:10.0,,,99-105,,Offensive rebound by Team
6:10.0,,,99-106,1,B. Griffin makes free throw 2 of 2
6:01.0,Turnover by S. Curry (lost ball; steal by C. Paul),,99-106,,
5:54.0,,,99-109,3,C. Paul makes 3-pt shot from 23 ft (assist by B. Griffin)
5:54.0,,,99-109,,Violation by Team (jump ball)
5:41.0,H. Barnes enters the game for F. Ezeli,,99-109,,
5:33.0,S. Curry makes 3-pt shot from 25 ft (assist by H. Barnes),3,102-109,,
5:11.0,,,102-109,,C. Paul misses 3-pt shot from 24 ft
