time,Indiana,pts.away,score,pts.home,Oklahoma City
1:00.0,,,24-22,2,E. Kanter makes 2-pt shot from 14 ft (assist by K. Durant)
0:48.0,J. Young misses 3-pt shot from 24 ft,,24-22,,
0:48.0,,,24-22,,Defensive rebound by E. Kanter
0:29.0,,,24-24,2,K. Durant makes 2-pt shot at rim (assist by N. Collison)
0:05.0,J. Hill misses 2-pt shot from 9 ft,,24-24,,
0:05.0,Offensive rebound by Team,,24-24,,
0:05.0,Turnover by Team (shot clock),,24-24,,
0:01.0,,,24-24,,K. Singler misses 3-pt shot from 24 ft
0:00.0,,,24-24,,Offensive rebound by E. Kanter
0:00.0,,,24-24,,E. Kanter misses 2-pt shot from 1 ft
0:00.0,,,24-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,24-26,2,E. Kanter makes 2-pt shot from 4 ft (assist by K. Singler)
11:23.0,J. Young misses 3-pt shot from 24 ft,,24-26,,
11:22.0,,,24-26,,Defensive rebound by E. Kanter
11:05.0,,,24-26,,E. Kanter misses 2-pt shot from 3 ft
11:03.0,Defensive rebound by L. Allen,,24-26,,
10:55.0,J. Hill misses 2-pt shot from 4 ft,,24-26,,
10:55.0,,,24-26,,Defensive rebound by N. Collison
10:47.0,,,24-26,,Turnover by C. Payne (lost ball; steal by J. Young)
10:44.0,J. Young makes 2-pt shot at rim,2,26-26,,
10:24.0,,,26-26,,C. Payne misses 2-pt shot from 17 ft
10:24.0,,,26-26,,Offensive rebound by N. Collison
10:23.0,,,26-26,,S. Adams enters the game for N. Collison
10:09.0,,,26-26,,A. Morrow misses 3-pt shot from 24 ft
10:08.0,Defensive rebound by Team,,26-26,,
10:08.0,,,26-26,,Loose ball foul by S. Adams
9:51.0,,,26-26,,Personal foul by A. Morrow
9:47.0,C. Budinger misses 2-pt shot from 5 ft,,26-26,,
9:47.0,Offensive rebound by J. Hill,,26-26,,
9:46.0,J. Hill makes 2-pt shot from 3 ft,2,28-26,,
9:28.0,Personal foul by S. Hill,,28-26,,
9:13.0,,,28-26,,E. Kanter misses 2-pt shot from 12 ft
9:12.0,Defensive rebound by S. Hill,,28-26,,
9:05.0,S. Hill misses 2-pt shot from 1 ft,,28-26,,
9:04.0,,,28-26,,Defensive rebound by S. Adams
8:48.0,,,28-26,,K. Singler misses 2-pt shot from 3 ft
8:47.0,Defensive rebound by J. Hill,,28-26,,
8:44.0,,,28-26,,Violation by S. Adams (kicked ball)
8:44.0,Indiana full timeout,,28-26,,
8:44.0,,,28-26,,R. Westbrook enters the game for C. Payne
8:44.0,G. Hill enters the game for J. Young,,28-26,,
8:31.0,C. Budinger misses 3-pt shot from 23 ft,,28-26,,
8:30.0,Offensive rebound by J. Hill,,28-26,,
8:24.0,J. Hill misses 2-pt shot from 5 ft,,28-26,,
8:24.0,,,28-26,,Defensive rebound by R. Westbrook
8:20.0,Violation by S. Hill (kicked ball),,28-26,,
8:20.0,,,28-26,,S. Ibaka enters the game for E. Kanter
8:20.0,M. Turner enters the game for L. Allen,,28-26,,
8:12.0,,,28-26,,K. Singler misses 3-pt shot from 24 ft
8:12.0,,,28-26,,Offensive rebound by S. Ibaka
8:08.0,,,28-29,3,R. Westbrook makes 3-pt shot from 24 ft (assist by S. Ibaka)
7:47.0,S. Hill misses 2-pt shot from 19 ft,,28-29,,
7:47.0,,,28-29,,Defensive rebound by S. Adams
7:41.0,,,28-31,2,K. Singler makes 2-pt shot from 1 ft (assist by R. Westbrook)
7:17.0,G. Hill misses 3-pt shot from 24 ft,,28-31,,
7:16.0,,,28-31,,Defensive rebound by K. Singler
7:06.0,,,28-33,2,R. Westbrook makes 2-pt shot from 15 ft
7:06.0,Indiana full timeout,,28-33,,
7:06.0,M. Ellis enters the game for S. Hill,,28-33,,
6:46.0,Turnover by M. Ellis (lost ball; steal by K. Singler),,28-33,,
6:39.0,,,28-33,,A. Morrow misses 3-pt shot from 24 ft
6:39.0,,,28-33,,Offensive rebound by K. Singler
6:35.0,,,28-36,3,A. Morrow makes 3-pt shot from 23 ft (assist by K. Singler)
6:19.0,Turnover by M. Ellis (bad pass),,28-36,,
6:19.0,,,28-36,,K. Durant enters the game for K. Singler
6:19.0,I. Mahinmi enters the game for J. Hill,,28-36,,
6:19.0,P. George enters the game for C. Budinger,,28-36,,
6:11.0,,,28-38,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
5:59.0,P. George misses 3-pt shot from 24 ft,,28-38,,
5:58.0,Offensive rebound by I. Mahinmi,,28-38,,
5:55.0,I. Mahinmi misses 2-pt shot from 2 ft,,28-38,,
5:55.0,,,28-38,,Defensive rebound by S. Ibaka
5:49.0,,,28-38,,K. Durant misses 3-pt shot from 24 ft
5:48.0,Defensive rebound by M. Turner,,28-38,,
5:41.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by G. Hill),2,30-38,,
5:24.0,,,30-38,,D. Waiters enters the game for A. Morrow
5:23.0,,,30-40,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
5:20.0,Indiana full timeout,,30-40,,
5:10.0,M. Ellis misses 2-pt shot from 19 ft,,30-40,,
5:10.0,,,30-40,,Defensive rebound by S. Adams
4:55.0,,,30-40,,K. Durant misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by M. Turner,,30-40,,
4:41.0,Shooting foul by K. Durant (drawn by P. George),,30-40,,
4:41.0,P. George makes free throw 1 of 3,1,31-40,,
4:41.0,P. George makes free throw 2 of 3,1,32-40,,
4:41.0,P. George makes free throw 3 of 3,1,33-40,,
4:26.0,,,33-42,2,K. Durant makes 2-pt shot from 18 ft (assist by R. Westbrook)
4:09.0,Shooting foul by S. Adams (drawn by I. Mahinmi),,33-42,,
4:09.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by P. George),2,35-42,,
4:09.0,I. Mahinmi makes free throw 1 of 1,1,36-42,,
3:55.0,,,36-42,,Turnover by S. Adams (lost ball; steal by M. Ellis)
3:44.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by P. George),2,38-42,,
3:30.0,,,38-44,2,S. Ibaka makes 2-pt shot from 17 ft (assist by R. Westbrook)
3:13.0,P. George misses 3-pt shot from 24 ft,,38-44,,
3:12.0,,,38-44,,Defensive rebound by S. Adams
3:04.0,,,38-44,,Offensive foul by K. Durant
3:04.0,,,38-44,,Turnover by K. Durant (offensive foul)
2:51.0,G. Hill makes 3-pt shot from 24 ft (assist by I. Mahinmi),3,41-44,,
2:40.0,,,41-46,2,R. Westbrook makes 2-pt shot from 12 ft
2:16.0,M. Ellis misses 2-pt shot from 3 ft,,41-46,,
2:16.0,,,41-46,,Defensive rebound by S. Ibaka
2:12.0,,,41-48,2,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook)
2:12.0,,,41-48,,Shooting foul by P. George (drawn by K. Durant)
2:12.0,,,41-48,,Oklahoma City full timeout
2:12.0,,,41-49,1,K. Durant makes free throw 1 of 1
1:51.0,M. Turner misses 2-pt shot from 16 ft,,41-49,,
1:50.0,Offensive rebound by G. Hill,,41-49,,
1:48.0,P. George makes 3-pt shot from 25 ft (assist by G. Hill),3,44-49,,
1:27.0,,,44-51,2,S. Ibaka makes 2-pt shot from 15 ft (assist by D. Waiters)
1:08.0,G. Hill misses 2-pt shot from 21 ft,,44-51,,
1:08.0,,,44-51,,Defensive rebound by K. Durant
1:03.0,,,44-51,,Turnover by R. Westbrook (bad pass)
0:51.0,Turnover by I. Mahinmi (lost ball),,44-51,,
0:43.0,Personal foul by P. George,,44-51,,
0:43.0,S. Hill enters the game for P. George,,44-51,,
0:29.0,,,44-51,,K. Durant misses 2-pt shot from 16 ft
0:29.0,Defensive rebound by I. Mahinmi,,44-51,,
0:03.0,Turnover by Team (shot clock),,44-51,,
0:00.0,,,44-51,,R. Westbrook misses 3-pt shot from 25 ft
0:00.0,,,44-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,44-51,,K. Durant misses 3-pt shot from 24 ft
11:43.0,Defensive rebound by M. Turner,,44-51,,
11:26.0,P. George misses 3-pt shot from 24 ft,,44-51,,
11:25.0,,,44-51,,Defensive rebound by K. Durant
11:15.0,,,44-53,2,S. Ibaka makes 2-pt shot from 1 ft (assist by S. Adams)
11:00.0,Turnover by G. Hill (lost ball; steal by R. Westbrook),,44-53,,
10:59.0,Personal foul by P. George,,44-53,,
10:49.0,,,44-53,,D. Waiters misses 2-pt shot from 17 ft
10:49.0,Defensive rebound by G. Hill,,44-53,,
10:43.0,M. Ellis makes 2-pt shot from 1 ft (assist by G. Hill),2,46-53,,
10:43.0,Shooting foul by S. Adams (drawn by M. Ellis),,46-53,,
10:43.0,M. Ellis makes free throw 1 of 1,1,47-53,,
10:33.0,,,47-55,2,R. Westbrook makes 2-pt shot from 14 ft
10:18.0,I. Mahinmi misses 2-pt shot from 2 ft (block by R. Westbrook),,47-55,,
10:17.0,,,47-55,,Defensive rebound by S. Ibaka
10:14.0,,,47-55,,Turnover by K. Durant (lost ball; steal by M. Ellis)
10:08.0,Turnover by I. Mahinmi (bad pass),,47-55,,
9:57.0,,,47-55,,S. Ibaka misses 2-pt shot from 18 ft
9:56.0,Defensive rebound by I. Mahinmi,,47-55,,
9:45.0,M. Turner misses 2-pt shot from 14 ft,,47-55,,
9:44.0,,,47-55,,Defensive rebound by K. Durant
9:32.0,,,47-55,,Turnover by K. Durant (lost ball; steal by I. Mahinmi)
9:30.0,,,47-55,,Personal take foul by R. Westbrook
9:17.0,P. George makes 2-pt shot from 1 ft (assist by G. Hill),2,49-55,,
9:11.0,,,49-55,,Oklahoma City full timeout
8:51.0,,,49-55,,K. Durant misses 2-pt shot from 21 ft
8:51.0,,,49-55,,Offensive rebound by Team
8:47.0,,,49-55,,Turnover by K. Durant (lost ball; steal by I. Mahinmi)
8:44.0,Shooting foul by D. Waiters (drawn by M. Ellis),,49-55,,
8:44.0,M. Ellis makes free throw 1 of 2,1,50-55,,
8:44.0,,,50-55,,E. Kanter enters the game for S. Adams
8:44.0,M. Ellis misses free throw 2 of 2,,50-55,,
8:43.0,,,50-55,,Defensive rebound by D. Waiters
8:28.0,,,50-55,,E. Kanter misses 2-pt shot at rim (block by M. Turner)
8:27.0,Defensive rebound by G. Hill,,50-55,,
8:19.0,P. George misses 3-pt shot from 24 ft,,50-55,,
8:18.0,,,50-55,,Defensive rebound by E. Kanter
8:06.0,,,50-55,,S. Ibaka misses 2-pt shot from 13 ft
8:05.0,Defensive rebound by G. Hill,,50-55,,
7:55.0,M. Turner misses 2-pt shot from 14 ft,,50-55,,
7:55.0,,,50-55,,Defensive rebound by D. Waiters
7:46.0,,,50-55,,D. Waiters misses 2-pt shot from 2 ft (block by I. Mahinmi)
7:46.0,,,50-55,,Offensive rebound by Team
7:41.0,,,50-55,,K. Durant misses 2-pt shot from 1 ft (block by M. Turner)
7:40.0,Defensive rebound by I. Mahinmi,,50-55,,
7:34.0,P. George makes 2-pt shot at rim (assist by G. Hill),2,52-55,,
7:19.0,,,52-57,2,R. Westbrook makes 2-pt shot from 12 ft
7:09.0,Turnover by M. Turner (lost ball; steal by D. Waiters),,52-57,,
7:04.0,,,52-59,2,R. Westbrook makes 2-pt shot from 2 ft (assist by D. Waiters)
6:47.0,,,52-59,,Personal foul by K. Durant
6:39.0,M. Ellis misses 2-pt shot from 5 ft,,52-59,,
6:38.0,,,52-59,,Defensive rebound by E. Kanter
6:31.0,,,52-59,,Turnover by R. Westbrook (lost ball; steal by M. Ellis)
6:25.0,G. Hill misses 3-pt shot from 22 ft,,52-59,,
6:23.0,,,52-59,,Defensive rebound by R. Westbrook
6:13.0,,,52-59,,D. Waiters misses 2-pt shot from 16 ft
6:12.0,Defensive rebound by P. George,,52-59,,
6:01.0,G. Hill misses 2-pt shot from 20 ft,,52-59,,
6:01.0,,,52-59,,Defensive rebound by S. Ibaka
5:51.0,,,52-59,,K. Durant misses 3-pt shot from 24 ft
5:50.0,Defensive rebound by I. Mahinmi,,52-59,,
5:39.0,I. Mahinmi makes 2-pt shot from 3 ft (assist by P. George),2,54-59,,
5:20.0,,,54-61,2,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook)
5:05.0,Shooting foul by S. Ibaka (drawn by M. Turner),,54-61,,
5:05.0,M. Turner misses free throw 1 of 2,,54-61,,
5:05.0,Offensive rebound by Team,,54-61,,
5:05.0,M. Turner makes free throw 2 of 2,1,55-61,,
4:54.0,,,55-63,2,R. Westbrook makes 2-pt shot from 14 ft
4:37.0,P. George makes 2-pt shot from 11 ft,2,57-63,,
4:23.0,Personal foul by I. Mahinmi,,57-63,,
4:23.0,,,57-63,,N. Collison enters the game for S. Ibaka
4:16.0,,,57-65,2,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook)
4:08.0,M. Turner makes 2-pt shot from 5 ft (assist by P. George),2,59-65,,
4:08.0,Shooting foul by N. Collison (drawn by M. Turner),,59-65,,
4:08.0,S. Hill enters the game for P. George,,59-65,,
4:08.0,M. Turner misses free throw 1 of 1,,59-65,,
4:07.0,,,59-65,,Defensive rebound by K. Durant
3:55.0,,,59-65,,E. Kanter misses 2-pt shot at rim (block by M. Turner)
3:54.0,Defensive rebound by G. Hill,,59-65,,
3:46.0,Indiana full timeout,,59-65,,
3:37.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by M. Ellis),2,61-65,,
3:17.0,,,61-65,,E. Kanter misses 2-pt shot from 2 ft (block by M. Turner)
3:15.0,,,61-65,,Offensive rebound by E. Kanter
3:13.0,,,61-65,,E. Kanter misses 2-pt shot from 1 ft (block by M. Turner)
3:12.0,Defensive rebound by M. Ellis,,61-65,,
2:53.0,I. Mahinmi misses 2-pt shot from 7 ft,,61-65,,
2:53.0,,,61-65,,Defensive rebound by R. Westbrook
2:47.0,Personal foul by M. Turner,,61-65,,
2:47.0,,,61-66,1,E. Kanter makes free throw 1 of 2
2:47.0,,,61-67,1,E. Kanter makes free throw 2 of 2
2:29.0,M. Turner misses 2-pt shot from 13 ft,,61-67,,
2:28.0,Offensive rebound by I. Mahinmi,,61-67,,
2:26.0,Offensive charge foul by M. Turner,,61-67,,
2:26.0,Turnover by M. Turner (offensive foul),,61-67,,
2:26.0,,,61-67,,C. Payne enters the game for R. Westbrook
2:26.0,L. Allen enters the game for M. Turner,,61-67,,
2:26.0,,,61-67,,K. Singler enters the game for D. Waiters
2:06.0,,,61-67,,E. Kanter misses 2-pt shot from 4 ft
2:06.0,Defensive rebound by I. Mahinmi,,61-67,,
2:00.0,M. Ellis makes 2-pt shot at rim,2,63-67,,
1:50.0,,,63-69,2,K. Durant makes 2-pt shot from 14 ft
1:36.0,Shooting foul by K. Singler (drawn by M. Ellis),,63-69,,
1:36.0,M. Ellis misses free throw 1 of 2,,63-69,,
1:36.0,Offensive rebound by Team,,63-69,,
1:36.0,J. Hill enters the game for I. Mahinmi,,63-69,,
1:36.0,J. Young enters the game for G. Hill,,63-69,,
1:36.0,M. Ellis misses free throw 2 of 2,,63-69,,
1:36.0,,,63-69,,Defensive rebound by K. Singler
1:23.0,,,63-71,2,C. Payne makes 2-pt shot from 13 ft
1:13.0,J. Young misses 2-pt shot from 12 ft,,63-71,,
1:12.0,,,63-71,,Defensive rebound by N. Collison
1:03.0,,,63-71,,K. Durant misses 2-pt shot from 2 ft
1:00.0,,,63-71,,Offensive rebound by E. Kanter
1:00.0,,,63-71,,E. Kanter misses 2-pt shot from 1 ft
1:00.0,Defensive rebound by L. Allen,,63-71,,
0:56.0,M. Ellis makes 2-pt shot from 1 ft,2,65-71,,
0:41.0,,,65-74,3,E. Kanter makes 3-pt shot from 22 ft (assist by K. Durant)
0:24.0,Shooting foul by C. Payne (drawn by M. Ellis),,65-74,,
0:24.0,M. Ellis makes free throw 1 of 2,1,66-74,,
0:24.0,M. Ellis makes free throw 2 of 2,1,67-74,,
0:10.0,Personal foul by S. Hill,,67-74,,
0:03.0,Personal foul by M. Ellis,,67-74,,
0:03.0,,,67-75,1,K. Durant makes free throw 1 of 2
0:03.0,,,67-76,1,K. Durant makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,M. Ellis makes 2-pt shot from 14 ft,2,69-76,,
11:17.0,,,69-76,,A. Morrow misses 2-pt shot from 14 ft
11:16.0,Defensive rebound by J. Hill,,69-76,,
11:10.0,M. Ellis makes 2-pt shot from 16 ft,2,71-76,,
10:49.0,,,71-78,2,C. Payne makes 2-pt shot from 23 ft
10:35.0,L. Allen makes 2-pt shot at rim (assist by J. Hill),2,73-78,,
10:15.0,,,73-78,,C. Payne misses 3-pt shot from 25 ft
10:15.0,Defensive rebound by C. Budinger,,73-78,,
10:09.0,Turnover by C. Budinger (lost ball; steal by C. Payne),,73-78,,
9:50.0,,,73-78,,A. Morrow misses 3-pt shot from 24 ft
9:50.0,Defensive rebound by J. Young,,73-78,,
9:42.0,J. Young makes 2-pt shot from 2 ft,2,75-78,,
9:42.0,,,75-78,,Oklahoma City full timeout
9:42.0,,,75-78,,S. Ibaka enters the game for E. Kanter
9:42.0,M. Turner enters the game for L. Allen,,75-78,,
9:31.0,,,75-80,2,C. Payne makes 2-pt shot from 9 ft
9:09.0,J. Hill misses 2-pt shot from 3 ft,,75-80,,
9:08.0,,,75-80,,Defensive rebound by S. Ibaka
8:56.0,,,75-80,,C. Payne misses 3-pt shot from 25 ft
8:55.0,Defensive rebound by J. Young,,75-80,,
8:47.0,J. Young misses 2-pt shot from 17 ft,,75-80,,
8:47.0,Offensive rebound by Team,,75-80,,
8:47.0,,,75-80,,Loose ball foul by C. Payne
8:47.0,,,75-80,,R. Westbrook enters the game for K. Singler
8:47.0,G. Hill enters the game for M. Ellis,,75-80,,
8:47.0,P. George enters the game for J. Hill,,75-80,,
8:47.0,I. Mahinmi enters the game for J. Young,,75-80,,
8:40.0,M. Turner makes 2-pt shot from 19 ft (assist by G. Hill),2,77-80,,
8:21.0,,,77-82,2,A. Morrow makes 2-pt shot from 4 ft
8:02.0,,,77-82,,Personal foul by C. Payne
8:02.0,,,77-82,,K. Durant enters the game for C. Payne
7:55.0,P. George makes 3-pt shot from 24 ft (assist by M. Turner),3,80-82,,
7:42.0,,,80-82,,R. Westbrook misses 2-pt shot from 8 ft
7:42.0,Defensive rebound by Team,,80-82,,
7:42.0,,,80-82,,Loose ball foul by S. Ibaka
7:42.0,S. Hill enters the game for C. Budinger,,80-82,,
7:21.0,I. Mahinmi misses 2-pt shot from 17 ft,,80-82,,
7:21.0,,,80-82,,Defensive rebound by S. Ibaka
7:12.0,,,80-82,,S. Ibaka misses 2-pt shot from 20 ft
7:11.0,Defensive rebound by I. Mahinmi,,80-82,,
7:00.0,M. Turner makes 2-pt shot from 1 ft (assist by P. George),2,82-82,,
6:48.0,,,82-84,2,K. Durant makes 2-pt shot from 11 ft (assist by R. Westbrook)
6:32.0,,,82-84,,D. Waiters enters the game for A. Morrow
6:25.0,M. Turner misses 2-pt shot from 1 ft,,82-84,,
6:24.0,,,82-84,,Defensive rebound by S. Adams
6:19.0,,,82-86,2,R. Westbrook makes 2-pt shot from 1 ft
6:02.0,I. Mahinmi makes 2-pt shot at rim (assist by P. George),2,84-86,,
5:47.0,Violation by M. Turner (kicked ball),,84-86,,
5:47.0,Official timeout,,84-86,,
5:47.0,M. Ellis enters the game for S. Hill,,84-86,,
5:34.0,,,84-86,,R. Westbrook misses 3-pt shot from 24 ft
5:34.0,Defensive rebound by G. Hill,,84-86,,
5:17.0,M. Ellis misses 2-pt shot from 20 ft,,84-86,,
5:16.0,,,84-86,,Defensive rebound by S. Ibaka
5:03.0,,,84-89,3,K. Durant makes 3-pt shot from 23 ft (assist by R. Westbrook)
4:38.0,I. Mahinmi misses 2-pt shot from 17 ft,,84-89,,
4:37.0,,,84-89,,Defensive rebound by K. Durant
4:24.0,,,84-89,,Turnover by K. Durant (lost ball; steal by P. George)
4:16.0,G. Hill misses 2-pt shot from 3 ft,,84-89,,
4:15.0,,,84-89,,Defensive rebound by S. Adams
3:56.0,,,84-91,2,S. Adams makes 2-pt shot from 2 ft (assist by K. Durant)
3:56.0,Indiana full timeout,,84-91,,
3:39.0,I. Mahinmi misses 2-pt shot from 4 ft (block by S. Adams),,84-91,,
3:38.0,Offensive rebound by G. Hill,,84-91,,
3:35.0,G. Hill misses 2-pt shot from 16 ft,,84-91,,
3:34.0,,,84-91,,Defensive rebound by S. Ibaka
3:17.0,,,84-91,,D. Waiters misses 3-pt shot from 22 ft
3:16.0,Defensive rebound by P. George,,84-91,,
3:00.0,Shooting foul by S. Ibaka (drawn by P. George),,84-91,,
3:00.0,P. George makes free throw 1 of 2,1,85-91,,
3:00.0,P. George makes free throw 2 of 2,1,86-91,,
2:47.0,,,86-93,2,K. Durant makes 2-pt shot from 15 ft (assist by R. Westbrook)
2:28.0,G. Hill makes 3-pt shot from 24 ft (assist by I. Mahinmi),3,89-93,,
2:03.0,,,89-93,,S. Ibaka misses 2-pt shot from 1 ft (block by I. Mahinmi)
