time,Cleveland,pts.away,score,pts.home,Atlanta
7:29.0,,,10-14,3,P. Millsap makes 3-pt shot from 24 ft (assist by J. Teague)
7:15.0,K. Irving misses 3-pt shot from 25 ft,,10-14,,
7:13.0,,,10-14,,Defensive rebound by K. Bazemore
7:09.0,,,10-14,,J. Teague misses 2-pt shot at rim (block by K. Irving)
7:09.0,,,10-14,,Offensive rebound by Team
7:05.0,,,10-14,,K. Bazemore misses 3-pt shot from 23 ft
7:04.0,Defensive rebound by T. Mozgov,,10-14,,
6:48.0,J. Smith misses 2-pt shot from 11 ft,,10-14,,
6:47.0,,,10-14,,Defensive rebound by P. Millsap
6:37.0,,,10-17,3,J. Teague makes 3-pt shot from 24 ft
6:17.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,12-17,,
6:08.0,,,12-17,,A. Horford misses 3-pt shot from 24 ft
6:07.0,Defensive rebound by L. James,,12-17,,
5:54.0,K. Irving makes 2-pt shot from 11 ft (assist by L. James),2,14-17,,
5:37.0,,,14-17,,Shooting foul by L. James (drawn by K. Bazemore)
5:37.0,,,14-18,1,K. Bazemore makes free throw 1 of 2
5:37.0,T. Thompson enters the game for T. Mozgov,,14-18,,
5:37.0,,,14-18,,K. Humphries enters the game for A. Horford
5:37.0,,,14-18,,T. Sefolosha enters the game for K. Korver
5:37.0,,,14-19,1,K. Bazemore makes free throw 2 of 2
5:23.0,J. Smith makes 3-pt shot from 24 ft (assist by K. Love),3,17-19,,
5:13.0,,,17-21,2,J. Teague makes 2-pt shot from 1 ft
4:59.0,K. Irving makes 3-pt shot from 24 ft (assist by K. Love),3,20-21,,
4:49.0,,,20-21,,Turnover by P. Millsap (lost ball; steal by K. Irving)
4:45.0,K. Irving makes 2-pt shot from 2 ft,2,22-21,,
4:45.0,,,22-21,,Atlanta full timeout
4:45.0,,,22-21,,T. Hardaway enters the game for K. Bazemore
4:21.0,,,22-21,,P. Millsap misses 2-pt shot from 18 ft
4:19.0,Defensive rebound by T. Thompson,,22-21,,
3:57.0,J. Smith makes 3-pt shot from 27 ft (assist by K. Irving),3,25-21,,
3:46.0,,,25-21,,J. Teague misses 2-pt shot from 7 ft (block by K. Irving)
3:46.0,,,25-21,,Offensive rebound by Team
3:46.0,,,25-21,,D. Schroder enters the game for J. Teague
3:46.0,M. Dellavedova enters the game for K. Irving,,25-21,,
3:38.0,,,25-21,,P. Millsap misses 3-pt shot from 24 ft
3:37.0,Defensive rebound by K. Love,,25-21,,
3:14.0,L. James misses 2-pt shot from 2 ft (block by K. Humphries),,25-21,,
3:12.0,,,25-21,,Defensive rebound by K. Humphries
3:01.0,,,25-21,,P. Millsap misses 2-pt shot from 1 ft (block by T. Thompson)
3:00.0,,,25-21,,Offensive rebound by P. Millsap
2:57.0,,,25-21,,T. Hardaway misses 3-pt shot from 24 ft
2:56.0,Defensive rebound by M. Dellavedova,,25-21,,
2:52.0,L. James makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,27-21,,
2:38.0,,,27-21,,P. Millsap misses 2-pt shot from 3 ft
2:36.0,Defensive rebound by T. Thompson,,27-21,,
2:25.0,Shooting foul by K. Humphries (drawn by K. Love),,27-21,,
2:25.0,K. Love misses free throw 1 of 2,,27-21,,
2:25.0,Offensive rebound by Team,,27-21,,
2:25.0,K. Irving enters the game for J. Smith,,27-21,,
2:25.0,I. Shumpert enters the game for L. James,,27-21,,
2:25.0,,,27-21,,A. Horford enters the game for P. Millsap
2:25.0,K. Love makes free throw 2 of 2,1,28-21,,
2:11.0,,,28-21,,T. Hardaway misses 3-pt shot from 24 ft
2:07.0,Defensive rebound by K. Love,,28-21,,
1:52.0,T. Thompson makes 2-pt shot at rim (assist by K. Love),2,30-21,,
1:32.0,,,30-21,,D. Schroder misses 2-pt shot from 12 ft
1:31.0,,,30-21,,Offensive rebound by Team
1:31.0,,,30-21,,K. Korver enters the game for T. Sefolosha
1:31.0,C. Frye enters the game for K. Love,,30-21,,
1:26.0,,,30-21,,Shooting foul by C. Frye (drawn by K. Humphries)
1:26.0,,,30-22,1,K. Humphries makes free throw 1 of 2
1:26.0,,,30-23,1,K. Humphries makes free throw 2 of 2
1:07.0,K. Irving misses 3-pt shot from 24 ft,,30-23,,
1:06.0,,,30-23,,Defensive rebound by A. Horford
0:55.0,,,30-23,,K. Humphries misses 2-pt shot from 20 ft
0:53.0,Defensive rebound by K. Irving,,30-23,,
0:39.0,C. Frye misses 2-pt shot from 9 ft,,30-23,,
0:37.0,,,30-23,,Defensive rebound by A. Horford
0:34.0,,,30-23,,T. Hardaway misses 2-pt shot from 2 ft (block by M. Dellavedova)
0:34.0,Defensive rebound by Team,,30-23,,
0:34.0,,,30-23,,M. Scott enters the game for K. Humphries
0:15.0,Shooting foul by T. Hardaway (drawn by M. Dellavedova),,30-23,,
0:15.0,M. Dellavedova makes free throw 1 of 2,1,31-23,,
0:15.0,M. Dellavedova makes free throw 2 of 2,1,32-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,32-23,,K. Korver misses 2-pt shot from 21 ft
11:44.0,Defensive rebound by M. Dellavedova,,32-23,,
11:37.0,C. Frye misses 3-pt shot from 24 ft,,32-23,,
11:36.0,Offensive rebound by K. Irving,,32-23,,
11:34.0,Turnover by C. Frye (dbl dribble),,32-23,,
11:19.0,,,32-23,,A. Horford misses 3-pt shot from 23 ft
11:18.0,Defensive rebound by K. Irving,,32-23,,
11:10.0,K. Irving misses 2-pt shot from 1 ft,,32-23,,
11:08.0,Offensive rebound by T. Thompson,,32-23,,
10:58.0,I. Shumpert misses 3-pt shot from 24 ft,,32-23,,
10:55.0,Offensive rebound by T. Thompson,,32-23,,
10:47.0,I. Shumpert makes 2-pt shot from 17 ft (assist by K. Irving),2,34-23,,
10:38.0,Personal foul by M. Dellavedova,,34-23,,
10:38.0,,,34-23,,D. Schroder misses free throw 1 of 2
10:38.0,,,34-23,,Offensive rebound by Team
10:38.0,,,34-24,1,D. Schroder makes free throw 2 of 2
10:13.0,K. Irving misses 2-pt shot from 10 ft,,34-24,,
10:09.0,,,34-24,,Defensive rebound by M. Scott
9:56.0,,,34-24,,T. Hardaway misses 2-pt shot from 10 ft
9:54.0,Defensive rebound by C. Frye,,34-24,,
9:44.0,M. Dellavedova makes 2-pt shot from 1 ft,2,36-24,,
9:30.0,,,36-24,,D. Schroder misses 2-pt shot from 1 ft
9:29.0,Defensive rebound by I. Shumpert,,36-24,,
9:20.0,M. Dellavedova misses 3-pt shot from 25 ft,,36-24,,
9:18.0,,,36-24,,Defensive rebound by D. Schroder
9:03.0,,,36-24,,Turnover by D. Schroder (lost ball; steal by T. Thompson)
8:58.0,Cleveland full timeout,,36-24,,
8:58.0,,,36-24,,K. Bazemore enters the game for T. Hardaway
8:58.0,L. James enters the game for K. Irving,,36-24,,
8:46.0,L. James misses 2-pt shot from 14 ft,,36-24,,
8:45.0,,,36-24,,Defensive rebound by A. Horford
8:31.0,,,36-24,,D. Schroder misses 2-pt shot from 19 ft
8:29.0,Defensive rebound by T. Thompson,,36-24,,
8:21.0,C. Frye misses 3-pt shot from 24 ft,,36-24,,
8:20.0,,,36-24,,Defensive rebound by K. Bazemore
8:10.0,,,36-26,2,D. Schroder makes 2-pt shot from 1 ft (assist by K. Bazemore)
7:57.0,,,36-26,,Personal foul by D. Schroder
7:57.0,K. Love enters the game for C. Frye,,36-26,,
7:57.0,,,36-26,,P. Millsap enters the game for M. Scott
7:56.0,Turnover by M. Dellavedova (lost ball; steal by D. Schroder),,36-26,,
7:52.0,,,36-26,,Shooting foul by M. Dellavedova (drawn by D. Schroder)
7:52.0,,,36-27,1,D. Schroder makes free throw 1 of 2
7:52.0,,,36-28,1,D. Schroder makes free throw 2 of 2
7:41.0,Turnover by M. Dellavedova (bad pass),,36-28,,
7:41.0,J. Smith enters the game for M. Dellavedova,,36-28,,
7:30.0,,,36-28,,Turnover by D. Schroder (lost ball; steal by L. James)
7:23.0,L. James makes 2-pt shot from 1 ft (assist by J. Smith),2,38-28,,
7:10.0,,,38-28,,A. Horford misses 3-pt shot from 24 ft
7:09.0,Defensive rebound by T. Thompson,,38-28,,
6:56.0,K. Love misses 3-pt shot from 22 ft,,38-28,,
6:54.0,Offensive rebound by T. Thompson,,38-28,,
6:51.0,K. Love makes 3-pt shot from 23 ft (assist by T. Thompson),3,41-28,,
6:46.0,,,41-28,,Atlanta full timeout
6:46.0,,,41-28,,K. Humphries enters the game for A. Horford
6:46.0,,,41-28,,T. Sefolosha enters the game for K. Korver
6:46.0,,,41-28,,J. Teague enters the game for D. Schroder
6:26.0,,,41-28,,P. Millsap misses 2-pt shot from 17 ft
6:24.0,,,41-28,,Offensive rebound by K. Humphries
6:11.0,,,41-28,,K. Bazemore misses 2-pt shot from 1 ft
6:09.0,Defensive rebound by K. Love,,41-28,,
6:08.0,L. James makes 2-pt shot from 1 ft,2,43-28,,
6:08.0,Shooting foul by K. Bazemore (drawn by L. James),,43-28,,
6:08.0,L. James makes free throw 1 of 1,1,44-28,,
5:49.0,,,44-28,,K. Humphries misses 3-pt shot from 23 ft
5:48.0,Defensive rebound by J. Smith,,44-28,,
5:40.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,47-28,,
5:39.0,,,47-28,,Atlanta full timeout
5:24.0,,,47-28,,J. Teague misses 3-pt shot from 24 ft
5:22.0,Defensive rebound by T. Thompson,,47-28,,
5:12.0,I. Shumpert misses 2-pt shot from 20 ft,,47-28,,
5:11.0,,,47-28,,Defensive rebound by K. Bazemore
5:01.0,,,47-30,2,T. Sefolosha makes 2-pt shot from 18 ft (assist by K. Humphries)
4:41.0,J. Smith misses 2-pt shot from 10 ft,,47-30,,
4:39.0,,,47-30,,Defensive rebound by P. Millsap
4:39.0,Personal foul by T. Thompson,,47-30,,
4:39.0,K. Irving enters the game for T. Thompson,,47-30,,
4:15.0,,,47-30,,J. Teague misses 3-pt shot from 24 ft
4:14.0,Defensive rebound by K. Love,,47-30,,
4:05.0,I. Shumpert misses 3-pt shot from 24 ft,,47-30,,
4:04.0,,,47-30,,Defensive rebound by K. Bazemore
4:02.0,Personal block foul by K. Irving,,47-30,,
3:49.0,,,47-30,,K. Humphries misses 2-pt shot from 20 ft
3:47.0,Defensive rebound by L. James,,47-30,,
3:45.0,,,47-30,,Personal foul by P. Millsap
3:45.0,,,47-30,,A. Horford enters the game for K. Humphries
3:34.0,K. Irving makes 2-pt shot from 22 ft,2,49-30,,
3:18.0,,,49-32,2,K. Bazemore makes 2-pt shot from 1 ft
3:05.0,I. Shumpert makes 2-pt shot from 1 ft (assist by K. Irving),2,51-32,,
2:56.0,Personal foul by L. James,,51-32,,
2:56.0,Official timeout,,51-32,,
2:56.0,T. Thompson enters the game for I. Shumpert,,51-32,,
2:56.0,,,51-33,1,P. Millsap makes free throw 1 of 2
2:56.0,,,51-34,1,P. Millsap makes free throw 2 of 2
2:39.0,,,51-34,,Personal foul by T. Sefolosha
2:33.0,Shooting foul by J. Teague (drawn by K. Irving),,51-34,,
2:33.0,K. Irving makes free throw 1 of 2,1,52-34,,
2:33.0,,,52-34,,K. Korver enters the game for K. Bazemore
2:33.0,K. Irving makes free throw 2 of 2,1,53-34,,
2:23.0,,,53-34,,P. Millsap misses 2-pt shot from 1 ft
2:21.0,Defensive rebound by K. Love,,53-34,,
2:13.0,J. Smith misses 3-pt shot from 23 ft,,53-34,,
2:12.0,,,53-34,,Defensive rebound by A. Horford
2:06.0,,,53-34,,Turnover by T. Sefolosha (lost ball; steal by K. Irving)
2:00.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,55-34,,
1:56.0,,,55-34,,Offensive charge foul by T. Sefolosha
1:56.0,,,55-34,,Turnover by T. Sefolosha (offensive foul)
1:35.0,Turnover by K. Irving (bad pass),,55-34,,
1:19.0,,,55-36,2,A. Horford makes 2-pt shot from 2 ft (assist by J. Teague)
1:19.0,Shooting block foul by K. Love (drawn by A. Horford),,55-36,,
1:19.0,C. Frye enters the game for K. Love,,55-36,,
1:19.0,,,55-37,1,A. Horford makes free throw 1 of 1
1:10.0,L. James misses 2-pt shot from 11 ft,,55-37,,
1:07.0,,,55-37,,Defensive rebound by T. Sefolosha
1:00.0,,,55-37,,J. Teague misses 2-pt shot from 1 ft
0:59.0,Defensive rebound by T. Thompson,,55-37,,
0:53.0,Shooting foul by A. Horford (drawn by T. Thompson),,55-37,,
0:53.0,T. Thompson misses free throw 1 of 2,,55-37,,
0:53.0,Offensive rebound by Team,,55-37,,
0:53.0,I. Shumpert enters the game for L. James,,55-37,,
0:53.0,,,55-37,,T. Hardaway enters the game for T. Sefolosha
0:53.0,T. Thompson misses free throw 2 of 2,,55-37,,
0:51.0,,,55-37,,Defensive rebound by P. Millsap
0:37.0,,,55-39,2,P. Millsap makes 2-pt shot from 5 ft (assist by J. Teague)
0:30.0,K. Irving misses 2-pt shot from 1 ft (block by P. Millsap),,55-39,,
0:26.0,,,55-39,,Defensive rebound by K. Korver
0:21.0,,,55-39,,Shooting foul by T. Thompson (drawn by A. Horford)
0:21.0,,,55-40,1,A. Horford makes free throw 1 of 2
0:21.0,L. James enters the game for K. Irving,,55-40,,
0:21.0,,,55-40,,T. Sefolosha enters the game for J. Teague
0:21.0,,,55-41,1,A. Horford makes free throw 2 of 2
0:01.0,L. James misses 3-pt shot from 25 ft,,55-41,,
0:00.0,Offensive rebound by Team,,55-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,55-43,2,P. Millsap makes 2-pt shot from 1 ft (assist by K. Bazemore)
11:29.0,L. James makes 2-pt shot from 20 ft (assist by T. Mozgov),2,57-43,,
11:10.0,,,57-43,,J. Teague misses 2-pt shot from 18 ft
11:06.0,Defensive rebound by T. Mozgov,,57-43,,
11:06.0,,,57-43,,Personal foul by P. Millsap
10:53.0,J. Smith misses 3-pt shot from 23 ft,,57-43,,
10:51.0,,,57-43,,Defensive rebound by J. Teague
10:39.0,,,57-46,3,K. Bazemore makes 3-pt shot from 23 ft (assist by P. Millsap)
10:28.0,K. Irving misses 2-pt shot from 20 ft (block by J. Teague),,57-46,,
10:26.0,,,57-46,,Defensive rebound by K. Korver
10:20.0,,,57-49,3,K. Korver makes 3-pt shot from 24 ft (assist by K. Bazemore)
10:20.0,Cleveland full timeout,,57-49,,
10:04.0,Turnover by K. Love (lost ball),,57-49,,
9:50.0,,,57-51,2,P. Millsap makes 2-pt shot from 15 ft (assist by A. Horford)
9:34.0,T. Mozgov misses 2-pt shot from 2 ft,,57-51,,
9:31.0,,,57-51,,Defensive rebound by P. Millsap
9:26.0,,,57-51,,Turnover by P. Millsap (lost ball; steal by K. Love)
9:17.0,L. James makes 2-pt shot from 1 ft,2,59-51,,
9:04.0,,,59-51,,A. Horford misses 3-pt shot from 25 ft
9:03.0,,,59-51,,Offensive rebound by P. Millsap
8:57.0,,,59-51,,P. Millsap misses 2-pt shot from 11 ft
8:55.0,Defensive rebound by L. James,,59-51,,
8:42.0,K. Irving misses 3-pt shot from 25 ft,,59-51,,
8:39.0,,,59-51,,Defensive rebound by K. Bazemore
8:35.0,,,59-54,3,K. Korver makes 3-pt shot from 23 ft (assist by K. Bazemore)
8:20.0,K. Irving misses 2-pt shot from 12 ft,,59-54,,
8:19.0,,,59-54,,Defensive rebound by Team
8:19.0,Loose ball foul by K. Love,,59-54,,
8:09.0,,,59-54,,J. Teague misses 2-pt shot from 12 ft
8:05.0,Defensive rebound by T. Mozgov,,59-54,,
7:52.0,L. James misses 2-pt shot at rim,,59-54,,
7:51.0,Offensive rebound by L. James,,59-54,,
7:51.0,,,59-54,,Personal foul by K. Korver
7:41.0,K. Love makes 2-pt shot from 4 ft (assist by J. Smith),2,61-54,,
7:22.0,,,61-56,2,J. Teague makes 2-pt shot from 2 ft
7:06.0,K. Irving misses 3-pt shot from 25 ft,,61-56,,
7:04.0,,,61-56,,Defensive rebound by P. Millsap
6:56.0,,,61-56,,K. Bazemore misses 3-pt shot from 24 ft
6:55.0,Defensive rebound by T. Mozgov,,61-56,,
6:44.0,K. Love misses 3-pt shot from 22 ft,,61-56,,
6:43.0,,,61-56,,Defensive rebound by K. Korver
6:36.0,,,61-56,,J. Teague misses 3-pt shot from 24 ft
6:35.0,,,61-56,,Offensive rebound by K. Bazemore
6:28.0,,,61-56,,Shooting foul by K. Love (drawn by A. Horford)
6:28.0,,,61-57,1,A. Horford makes free throw 1 of 2
6:28.0,T. Thompson enters the game for K. Love,,61-57,,
6:28.0,I. Shumpert enters the game for T. Mozgov,,61-57,,
6:28.0,,,61-57,,A. Horford misses free throw 2 of 2
6:27.0,Defensive rebound by I. Shumpert,,61-57,,
6:15.0,,,61-57,,Personal foul by K. Bazemore
6:11.0,Turnover by L. James (lost ball; steal by P. Millsap),,61-57,,
6:03.0,,,61-57,,K. Bazemore misses 2-pt shot from 20 ft
6:01.0,,,61-57,,Offensive rebound by P. Millsap
5:57.0,,,61-57,,K. Korver misses 3-pt shot from 24 ft
5:54.0,Defensive rebound by L. James,,61-57,,
5:45.0,L. James misses 3-pt shot from 25 ft,,61-57,,
5:43.0,,,61-57,,Defensive rebound by P. Millsap
5:38.0,,,61-57,,Shooting foul by L. James (drawn by J. Teague)
5:38.0,Cleveland full timeout,,61-57,,
5:38.0,,,61-57,,K. Humphries enters the game for A. Horford
5:38.0,,,61-58,1,J. Teague makes free throw 1 of 2
5:38.0,,,61-59,1,J. Teague makes free throw 2 of 2
5:21.0,L. James misses 2-pt shot at rim,,61-59,,
5:21.0,,,61-59,,Defensive rebound by K. Humphries
5:21.0,Personal foul by T. Thompson,,61-59,,
5:06.0,,,61-62,3,P. Millsap makes 3-pt shot from 24 ft (assist by J. Teague)
4:51.0,,,61-62,,Violation by P. Millsap (kicked ball)
4:42.0,L. James misses 3-pt shot from 24 ft,,61-62,,
4:40.0,,,61-62,,Defensive rebound by K. Bazemore
4:35.0,,,61-62,,Turnover by K. Bazemore (lost ball; steal by L. James)
4:26.0,J. Smith misses 3-pt shot from 25 ft,,61-62,,
4:24.0,,,61-62,,Defensive rebound by K. Bazemore
4:17.0,,,61-62,,J. Teague misses 2-pt shot from 3 ft
4:14.0,Defensive rebound by L. James,,61-62,,
4:07.0,K. Irving misses 2-pt shot from 13 ft,,61-62,,
4:05.0,,,61-62,,Defensive rebound by K. Bazemore
4:01.0,,,61-64,2,P. Millsap makes 2-pt shot from 1 ft (assist by K. Bazemore)
3:45.0,Shooting foul by P. Millsap (drawn by K. Irving),,61-64,,
3:45.0,K. Irving misses free throw 1 of 2,,61-64,,
3:45.0,Offensive rebound by Team,,61-64,,
3:45.0,,,61-64,,T. Sefolosha enters the game for K. Bazemore
3:45.0,K. Irving makes free throw 2 of 2,1,62-64,,
3:31.0,,,62-64,,K. Humphries misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by I. Shumpert,,62-64,,
3:22.0,I. Shumpert makes 2-pt shot from 22 ft,2,64-64,,
3:10.0,Personal foul by K. Irving,,64-64,,
3:10.0,,,64-65,1,J. Teague makes free throw 1 of 2
3:10.0,M. Dellavedova enters the game for K. Irving,,64-65,,
3:10.0,,,64-65,,A. Horford enters the game for P. Millsap
3:10.0,,,64-65,,K. Bazemore enters the game for K. Korver
3:10.0,,,64-66,1,J. Teague makes free throw 2 of 2
2:53.0,Turnover by M. Dellavedova (lost ball),,64-66,,
2:53.0,,,64-66,,D. Schroder enters the game for J. Teague
2:39.0,,,64-66,,D. Schroder misses 2-pt shot from 19 ft
2:37.0,Defensive rebound by L. James,,64-66,,
2:30.0,,,64-66,,Personal foul by K. Humphries
2:30.0,L. James makes free throw 1 of 2,1,65-66,,
2:30.0,L. James makes free throw 2 of 2,1,66-66,,
2:20.0,,,66-66,,Turnover by T. Sefolosha (discontinued dribble)
2:20.0,,,66-66,,T. Hardaway enters the game for K. Bazemore
2:14.0,,,66-66,,Violation by A. Horford (def goaltending)
2:14.0,L. James makes 2-pt shot from 1 ft,2,68-66,,
2:05.0,,,68-68,2,T. Sefolosha makes 2-pt shot from 2 ft (assist by D. Schroder)
1:42.0,J. Smith misses 2-pt shot from 1 ft,,68-68,,
1:41.0,Offensive rebound by T. Thompson,,68-68,,
1:40.0,T. Thompson makes 2-pt shot from 1 ft,2,70-68,,
1:29.0,,,70-68,,D. Schroder misses 2-pt shot from 6 ft
1:29.0,,,70-68,,Offensive rebound by Team
1:29.0,Loose ball foul by T. Thompson,,70-68,,
1:29.0,,,70-68,,K. Humphries misses free throw 1 of 2
1:29.0,,,70-68,,Offensive rebound by Team
1:29.0,C. Frye enters the game for T. Thompson,,70-68,,
1:29.0,,,70-69,1,K. Humphries makes free throw 2 of 2
1:13.0,C. Frye makes 3-pt shot from 24 ft (assist by L. James),3,73-69,,
1:04.0,,,73-71,2,D. Schroder makes 2-pt shot from 1 ft
0:45.0,C. Frye makes 2-pt shot at rim (assist by M. Dellavedova),2,75-71,,
0:31.0,,,75-71,,Turnover by D. Schroder (lost ball; steal by I. Shumpert)
0:28.0,Shooting foul by D. Schroder (drawn by I. Shumpert),,75-71,,
0:28.0,I. Shumpert makes free throw 1 of 2,1,76-71,,
0:28.0,,,76-71,,K. Korver enters the game for T. Sefolosha
0:28.0,,,76-71,,M. Scott enters the game for K. Humphries
0:28.0,I. Shumpert makes free throw 2 of 2,1,77-71,,
0:09.0,,,77-71,,A. Horford misses 2-pt shot from 18 ft
0:07.0,Defensive rebound by I. Shumpert,,77-71,,
0:02.0,,,77-71,,T. Sefolosha enters the game for K. Korver
0:02.0,,,77-71,,K. Bazemore enters the game for T. Hardaway
0:00.0,J. Smith misses 3-pt shot from 24 ft,,77-71,,
0:00.0,Offensive rebound by Team,,77-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,I. Shumpert misses 2-pt shot at rim (block by A. Horford),,77-71,,
11:41.0,,,77-71,,Defensive rebound by D. Schroder
11:41.0,,,77-71,,Offensive charge foul by D. Schroder
11:41.0,,,77-71,,Turnover by D. Schroder (offensive foul)
11:17.0,L. James makes 2-pt shot at rim,2,79-71,,
11:05.0,,,79-73,2,T. Hardaway makes 2-pt shot from 17 ft
10:43.0,,,79-73,,Personal foul by D. Schroder
10:35.0,M. Dellavedova misses 2-pt shot from 2 ft,,79-73,,
10:34.0,,,79-73,,Defensive rebound by A. Horford
10:22.0,,,79-73,,A. Horford misses 2-pt shot from 18 ft
10:21.0,Defensive rebound by L. James,,79-73,,
10:06.0,Shooting foul by M. Scott (drawn by C. Frye),,79-73,,
10:06.0,C. Frye misses free throw 1 of 2,,79-73,,
10:06.0,Offensive rebound by Team,,79-73,,
10:06.0,K. Irving enters the game for J. Smith,,79-73,,
10:06.0,,,79-73,,K. Bazemore enters the game for T. Hardaway
10:06.0,C. Frye makes free throw 2 of 2,1,80-73,,
9:57.0,,,80-73,,Turnover by D. Schroder (lost ball; steal by L. James)
9:54.0,L. James makes 2-pt shot at rim,2,82-73,,
9:54.0,,,82-73,,Atlanta full timeout
9:54.0,,,82-73,,P. Millsap enters the game for D. Schroder
9:54.0,,,82-73,,J. Teague enters the game for M. Scott
9:40.0,,,82-73,,J. Teague misses 2-pt shot from 7 ft
9:38.0,Defensive rebound by L. James,,82-73,,
9:23.0,M. Dellavedova makes 2-pt shot from 1 ft (assist by L. James),2,84-73,,
8:56.0,,,84-73,,P. Millsap misses 3-pt shot from 24 ft
8:56.0,,,84-73,,Offensive rebound by Team
8:56.0,,,84-73,,Turnover by Team (shot clock)
8:45.0,C. Frye misses 3-pt shot from 24 ft,,84-73,,
8:44.0,,,84-73,,Defensive rebound by Team
8:34.0,,,84-75,2,A. Horford makes 2-pt shot from 19 ft (assist by J. Teague)
8:02.0,L. James misses 2-pt shot from 14 ft,,84-75,,
8:01.0,,,84-75,,Defensive rebound by A. Horford
7:50.0,Personal foul by M. Dellavedova,,84-75,,
7:50.0,T. Thompson enters the game for L. James,,84-75,,
7:43.0,,,84-75,,K. Korver misses 3-pt shot from 24 ft
7:40.0,Defensive rebound by T. Thompson,,84-75,,
7:27.0,K. Irving misses 3-pt shot from 24 ft,,84-75,,
7:24.0,,,84-75,,Defensive rebound by K. Korver
7:21.0,,,84-75,,Shooting foul by M. Dellavedova (drawn by J. Teague)
7:21.0,,,84-76,1,J. Teague makes free throw 1 of 2
7:21.0,,,84-76,,M. Scott enters the game for A. Horford
7:21.0,,,84-77,1,J. Teague makes free throw 2 of 2
7:10.0,K. Irving misses 2-pt shot from 1 ft (block by K. Bazemore),,84-77,,
7:06.0,,,84-77,,Defensive rebound by J. Teague
7:04.0,,,84-79,2,J. Teague makes 2-pt shot at rim
7:04.0,Cleveland full timeout,,84-79,,
7:04.0,K. Love enters the game for C. Frye,,84-79,,
6:50.0,Shooting foul by J. Teague (drawn by K. Love),,84-79,,
6:50.0,K. Love makes free throw 1 of 2,1,85-79,,
6:50.0,K. Love misses free throw 2 of 2,,85-79,,
6:49.0,,,85-79,,Defensive rebound by K. Bazemore
6:24.0,,,85-81,2,P. Millsap makes 2-pt shot at rim (assist by K. Bazemore)
6:03.0,I. Shumpert makes 3-pt shot from 23 ft (assist by K. Irving),3,88-81,,
5:43.0,,,88-84,3,K. Korver makes 3-pt shot from 25 ft (assist by J. Teague)
5:19.0,I. Shumpert misses 2-pt shot from 23 ft,,88-84,,
5:18.0,,,88-84,,Defensive rebound by J. Teague
5:13.0,L. James enters the game for M. Dellavedova,,88-84,,
