time,Houston,pts.away,score,pts.home,Boston
1:51.0,,,16-18,,J. Jerebko enters the game for I. Thomas
1:51.0,D. Howard enters the game for C. Capela,,16-18,,
1:50.0,,,16-18,,Shooting foul by D. Howard (drawn by J. Sullinger)
1:50.0,,,16-19,1,J. Sullinger makes free throw 1 of 2
1:50.0,,,16-20,1,J. Sullinger makes free throw 2 of 2
1:32.0,D. Howard misses 2-pt shot at rim,,16-20,,
1:31.0,,,16-20,,Defensive rebound by J. Jerebko
1:14.0,,,16-20,,E. Turner misses 2-pt shot from 12 ft
1:13.0,Defensive rebound by D. Howard,,16-20,,
1:10.0,Shooting foul by M. Smart (drawn by C. Brewer),,16-20,,
1:10.0,C. Brewer misses free throw 1 of 2,,16-20,,
1:10.0,Offensive rebound by Team,,16-20,,
1:10.0,,,16-20,,T. Zeller enters the game for J. Sullinger
1:10.0,C. Brewer makes free throw 2 of 2,1,17-20,,
1:01.0,Personal foul by M. Beasley,,17-20,,
1:01.0,,,17-20,,M. Smart misses free throw 1 of 2
1:01.0,,,17-20,,Offensive rebound by Team
1:01.0,,,17-21,1,M. Smart makes free throw 2 of 2
0:48.0,M. Beasley misses 2-pt shot from 10 ft,,17-21,,
0:47.0,Offensive rebound by D. Howard,,17-21,,
0:46.0,D. Howard makes 2-pt shot at rim,2,19-21,,
0:26.0,,,19-21,,Turnover by T. Zeller (lost ball; steal by M. Beasley)
0:25.0,Turnover by J. Harden (lost ball; steal by E. Turner),,19-21,,
0:18.0,,,19-21,,Shooting foul by M. Beasley (drawn by J. Crowder)
0:18.0,,,19-22,1,J. Crowder makes free throw 1 of 2
0:18.0,K. McDaniels enters the game for M. Beasley,,19-22,,
0:18.0,,,19-23,1,J. Crowder makes free throw 2 of 2
0:14.0,,,19-23,,Personal take foul by T. Zeller
0:14.0,D. Howard misses free throw 1 of 2,,19-23,,
0:14.0,Offensive rebound by Team,,19-23,,
0:14.0,T. Ariza enters the game for J. Terry,,19-23,,
0:14.0,,,19-23,,I. Thomas enters the game for J. Jerebko
0:14.0,D. Howard misses free throw 2 of 2,,19-23,,
0:14.0,,,19-23,,Defensive rebound by E. Turner
0:01.0,,,19-23,,M. Smart misses 3-pt shot from 24 ft
0:00.0,,,19-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,19-25,2,T. Zeller makes 2-pt shot from 15 ft (assist by E. Turner)
11:21.0,M. Beasley makes 2-pt shot at rim,2,21-25,,
10:58.0,,,21-25,,M. Smart misses 3-pt shot from 24 ft
10:57.0,Defensive rebound by D. Howard,,21-25,,
10:50.0,C. Brewer misses 3-pt shot from 23 ft,,21-25,,
10:49.0,,,21-25,,Defensive rebound by M. Smart
10:48.0,Personal foul by M. Beasley,,21-25,,
10:48.0,T. Ariza enters the game for M. Beasley,,21-25,,
10:37.0,,,21-25,,M. Smart misses 2-pt shot from 5 ft
10:36.0,,,21-25,,Offensive rebound by J. Jerebko
10:35.0,,,21-25,,J. Jerebko misses 2-pt shot from 2 ft
10:34.0,Defensive rebound by T. Ariza,,21-25,,
10:23.0,T. Ariza misses 3-pt shot from 24 ft,,21-25,,
10:22.0,,,21-25,,Defensive rebound by E. Turner
10:17.0,Personal foul by T. Ariza,,21-25,,
9:58.0,,,21-27,2,M. Smart makes 2-pt shot from 1 ft (assist by T. Zeller)
9:42.0,D. Howard makes 2-pt shot at rim (assist by J. Terry),2,23-27,,
9:24.0,,,23-27,,T. Zeller misses 2-pt shot from 20 ft
9:23.0,Defensive rebound by T. Ariza,,23-27,,
9:12.0,C. Brewer makes 2-pt shot from 12 ft,2,25-27,,
9:00.0,,,25-27,,M. Smart misses 3-pt shot from 25 ft
8:59.0,Defensive rebound by P. Beverley,,25-27,,
8:46.0,Turnover by J. Terry (lost ball; steal by E. Turner),,25-27,,
8:40.0,,,25-29,2,J. Jerebko makes 2-pt shot from 1 ft
8:32.0,Houston full timeout,,25-29,,
8:14.0,C. Brewer misses 2-pt shot from 2 ft,,25-29,,
8:12.0,Offensive rebound by T. Ariza,,25-29,,
8:11.0,T. Ariza misses 2-pt shot from 2 ft,,25-29,,
8:09.0,Offensive rebound by D. Howard,,25-29,,
8:08.0,D. Howard makes 2-pt shot from 1 ft,2,27-29,,
7:54.0,,,27-29,,A. Bradley misses 2-pt shot from 22 ft
7:53.0,Defensive rebound by D. Howard,,27-29,,
7:48.0,C. Brewer makes 2-pt shot from 1 ft (assist by D. Howard),2,29-29,,
7:36.0,,,29-29,,Turnover by E. Turner (lost ball; steal by D. Howard)
7:30.0,J. Terry makes 2-pt shot from 3 ft (assist by C. Brewer),2,31-29,,
7:09.0,,,31-29,,A. Bradley misses 3-pt shot from 23 ft
7:08.0,Defensive rebound by T. Ariza,,31-29,,
7:01.0,P. Beverley misses 3-pt shot from 24 ft,,31-29,,
7:00.0,,,31-29,,Defensive rebound by J. Jerebko
6:55.0,,,31-31,2,T. Zeller makes 2-pt shot from 1 ft (assist by E. Turner)
6:55.0,,,31-31,,Shooting foul by P. Beverley (drawn by T. Zeller)
6:55.0,C. Capela enters the game for D. Howard,,31-31,,
6:55.0,J. Harden enters the game for J. Terry,,31-31,,
6:55.0,,,31-31,,I. Thomas enters the game for M. Smart
6:55.0,,,31-32,1,T. Zeller makes free throw 1 of 1
6:41.0,T. Ariza misses 3-pt shot from 23 ft,,31-32,,
6:40.0,,,31-32,,Defensive rebound by J. Jerebko
6:31.0,,,31-32,,Turnover by A. Bradley (bad pass)
6:17.0,T. Ariza makes 3-pt shot from 24 ft (assist by P. Beverley),3,34-32,,
6:01.0,Personal foul by J. Harden,,34-32,,
6:01.0,K. McDaniels enters the game for C. Brewer,,34-32,,
5:52.0,,,34-32,,I. Thomas misses 3-pt shot from 24 ft
5:51.0,Defensive rebound by P. Beverley,,34-32,,
5:42.0,C. Capela makes 2-pt shot at rim (assist by P. Beverley),2,36-32,,
5:42.0,,,36-32,,Boston full timeout
5:42.0,,,36-32,,J. Crowder enters the game for J. Jerebko
5:42.0,,,36-32,,A. Johnson enters the game for T. Zeller
5:22.0,,,36-32,,I. Thomas misses 2-pt shot from 1 ft
5:21.0,Defensive rebound by P. Beverley,,36-32,,
5:17.0,Turnover by P. Beverley (lost ball; steal by E. Turner),,36-32,,
5:12.0,,,36-34,2,I. Thomas makes 2-pt shot from 1 ft (assist by E. Turner)
4:47.0,Turnover by J. Harden (lost ball; steal by J. Crowder),,36-34,,
4:36.0,,,36-34,,E. Turner misses 2-pt shot from 9 ft
4:35.0,Defensive rebound by T. Ariza,,36-34,,
4:22.0,C. Capela makes 2-pt shot at rim (assist by T. Ariza),2,38-34,,
4:04.0,Personal foul by C. Capela,,38-34,,
4:04.0,,,38-34,,I. Thomas misses free throw 1 of 2
4:04.0,,,38-34,,Offensive rebound by Team
4:04.0,,,38-34,,J. Sullinger enters the game for E. Turner
4:04.0,,,38-35,1,I. Thomas makes free throw 2 of 2
3:48.0,T. Ariza makes 3-pt shot from 23 ft,3,41-35,,
3:43.0,,,41-35,,I. Thomas misses 2-pt shot from 2 ft (block by C. Capela)
3:42.0,,,41-35,,Offensive rebound by Team
3:33.0,,,41-37,2,J. Sullinger makes 2-pt shot from 4 ft (assist by A. Bradley)
3:23.0,J. Harden misses 2-pt shot from 4 ft (block by J. Sullinger),,41-37,,
3:22.0,Offensive rebound by Team,,41-37,,
3:16.0,C. Capela misses 2-pt shot from 6 ft,,41-37,,
3:15.0,Offensive rebound by K. McDaniels,,41-37,,
3:14.0,K. McDaniels misses 2-pt shot from 1 ft,,41-37,,
3:13.0,,,41-37,,Defensive rebound by J. Sullinger
2:59.0,,,41-37,,J. Sullinger misses 2-pt shot from 16 ft
2:58.0,Defensive rebound by K. McDaniels,,41-37,,
2:46.0,K. McDaniels misses 3-pt shot from 23 ft,,41-37,,
2:45.0,,,41-37,,Defensive rebound by A. Bradley
2:35.0,Personal foul by C. Capela,,41-37,,
2:35.0,Official timeout,,41-37,,
2:35.0,D. Howard enters the game for P. Beverley,,41-37,,
2:35.0,C. Brewer enters the game for C. Capela,,41-37,,
2:35.0,,,41-38,1,I. Thomas makes free throw 1 of 2
2:35.0,,,41-39,1,I. Thomas makes free throw 2 of 2
2:31.0,,,41-39,,Personal block foul by A. Bradley
2:19.0,,,41-39,,Violation by J. Crowder (kicked ball)
2:05.0,K. McDaniels misses 3-pt shot from 29 ft,,41-39,,
2:04.0,Offensive rebound by Team,,41-39,,
2:04.0,Turnover by Team (shot clock),,41-39,,
1:48.0,,,41-41,2,J. Sullinger makes 2-pt shot from 4 ft
1:37.0,Shooting foul by A. Bradley (drawn by J. Harden),,41-41,,
1:37.0,J. Harden misses free throw 1 of 2,,41-41,,
1:37.0,Offensive rebound by Team,,41-41,,
1:37.0,J. Harden makes free throw 2 of 2,1,42-41,,
1:22.0,,,42-41,,J. Crowder misses 3-pt shot from 25 ft
1:20.0,,,42-41,,Offensive rebound by Team
1:20.0,,,42-41,,E. Turner enters the game for A. Bradley
1:15.0,,,42-43,2,J. Sullinger makes 2-pt shot from 1 ft (assist by E. Turner)
0:56.0,J. Harden makes 2-pt shot from 20 ft (assist by K. McDaniels),2,44-43,,
0:42.0,,,44-43,,Turnover by I. Thomas (lost ball; steal by J. Harden)
0:39.0,C. Brewer makes 2-pt shot at rim (assist by K. McDaniels),2,46-43,,
0:31.0,,,46-43,,Turnover by E. Turner (bad pass)
0:31.0,,,46-43,,M. Smart enters the game for I. Thomas
0:27.0,J. Harden misses 2-pt shot from 1 ft,,46-43,,
0:26.0,,,46-43,,Defensive rebound by M. Smart
0:04.0,,,46-43,,E. Turner misses 2-pt shot from 6 ft
0:03.0,,,46-43,,Offensive rebound by J. Crowder
0:01.0,,,46-43,,A. Johnson misses 2-pt shot from 6 ft
0:01.0,,,46-43,,Offensive rebound by J. Sullinger
0:00.0,,,46-43,,J. Sullinger misses 2-pt shot from 3 ft
0:00.0,,,46-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,46-43,,I. Thomas misses 3-pt shot from 24 ft
11:34.0,Defensive rebound by D. Howard,,46-43,,
11:21.0,D. Motiejunas makes 2-pt shot from 10 ft (assist by T. Ariza),2,48-43,,
11:05.0,,,48-43,,J. Crowder misses 2-pt shot from 8 ft
11:04.0,Defensive rebound by T. Ariza,,48-43,,
10:51.0,T. Ariza misses 3-pt shot from 25 ft,,48-43,,
10:50.0,Offensive rebound by P. Beverley,,48-43,,
10:49.0,P. Beverley makes 2-pt shot from 1 ft,2,50-43,,
10:48.0,,,50-43,,Boston full timeout
10:48.0,,,50-43,,M. Smart enters the game for A. Johnson
10:34.0,,,50-43,,J. Crowder misses 3-pt shot from 23 ft
10:33.0,,,50-43,,Offensive rebound by J. Sullinger
10:28.0,,,50-43,,A. Bradley misses 3-pt shot from 23 ft
10:27.0,Defensive rebound by D. Motiejunas,,50-43,,
10:22.0,J. Harden makes 2-pt shot from 1 ft (assist by D. Motiejunas),2,52-43,,
10:14.0,,,52-43,,Turnover by I. Thomas (lost ball; steal by T. Ariza)
10:13.0,Houston full timeout,,52-43,,
9:51.0,Shooting foul by I. Thomas (drawn by P. Beverley),,52-43,,
9:51.0,P. Beverley makes free throw 1 of 2,1,53-43,,
9:51.0,P. Beverley misses free throw 2 of 2,,53-43,,
9:51.0,,,53-43,,Defensive rebound by Team
9:28.0,,,53-43,,J. Crowder misses 3-pt shot from 24 ft
9:27.0,Defensive rebound by D. Howard,,53-43,,
9:13.0,Turnover by D. Howard (lost ball; steal by J. Sullinger),,53-43,,
9:08.0,,,53-45,2,J. Crowder makes 2-pt shot from 1 ft (assist by J. Sullinger)
8:58.0,J. Harden makes 3-pt shot from 24 ft (assist by T. Ariza),3,56-45,,
8:42.0,,,56-45,,J. Sullinger misses 2-pt shot from 18 ft
8:41.0,Defensive rebound by D. Motiejunas,,56-45,,
8:34.0,Turnover by P. Beverley (step out of bounds),,56-45,,
8:21.0,Personal foul by D. Howard,,56-45,,
8:21.0,C. Brewer enters the game for D. Motiejunas,,56-45,,
8:21.0,,,56-45,,E. Turner enters the game for J. Crowder
8:18.0,,,56-48,3,I. Thomas makes 3-pt shot from 25 ft (assist by E. Turner)
8:06.0,J. Harden misses 3-pt shot from 29 ft,,56-48,,
8:04.0,,,56-48,,Defensive rebound by E. Turner
8:03.0,,,56-50,2,A. Bradley makes 2-pt shot at rim (assist by E. Turner)
8:03.0,Houston full timeout,,56-50,,
7:47.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,58-50,,
7:31.0,,,58-50,,Turnover by A. Bradley (lost ball; steal by C. Brewer)
7:30.0,Turnover by C. Brewer (lost ball; steal by I. Thomas),,58-50,,
7:29.0,Loose ball foul by C. Brewer,,58-50,,
7:10.0,,,58-50,,Shooting foul by T. Ariza (drawn by E. Turner)
7:10.0,,,58-51,1,E. Turner makes free throw 1 of 2
7:10.0,,,58-52,1,E. Turner makes free throw 2 of 2
6:50.0,C. Brewer misses 3-pt shot from 23 ft,,58-52,,
6:49.0,,,58-52,,Defensive rebound by J. Sullinger
6:45.0,,,58-53,1,I. Thomas makes free throw 2 of 2
6:45.0,,,58-53,,Shooting foul by J. Harden (drawn by I. Thomas)
6:45.0,,,58-54,1,I. Thomas makes free throw 1 of 2
6:32.0,D. Howard misses 2-pt shot from 7 ft,,58-54,,
6:31.0,,,58-54,,Defensive rebound by E. Turner
6:23.0,,,58-56,2,J. Sullinger makes 2-pt shot from 1 ft
6:23.0,,,58-56,,Shooting foul by C. Brewer (drawn by J. Sullinger)
6:23.0,,,58-56,,J. Sullinger misses free throw 1 of 1
6:22.0,Defensive rebound by T. Ariza,,58-56,,
6:05.0,T. Ariza makes 2-pt shot from 2 ft,2,60-56,,
5:54.0,,,60-56,,I. Thomas misses 2-pt shot from 15 ft
5:54.0,,,60-56,,Offensive rebound by Team
5:54.0,Personal foul by C. Brewer,,60-56,,
5:54.0,,,60-57,1,M. Smart makes free throw 1 of 2
5:54.0,,,60-58,1,M. Smart makes free throw 2 of 2
5:40.0,Shooting foul by J. Sullinger (drawn by J. Harden),,60-58,,
5:40.0,J. Harden makes free throw 1 of 2,1,61-58,,
5:40.0,J. Harden makes free throw 2 of 2,1,62-58,,
5:22.0,,,62-58,,A. Bradley misses 3-pt shot from 23 ft
5:22.0,Defensive rebound by T. Ariza,,62-58,,
5:13.0,C. Brewer makes 3-pt shot from 23 ft (assist by T. Ariza),3,65-58,,
4:51.0,,,65-58,,J. Sullinger misses 2-pt shot from 2 ft
4:50.0,Defensive rebound by Team,,65-58,,
4:50.0,C. Capela enters the game for D. Howard,,65-58,,
4:37.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,67-58,,
4:15.0,,,67-60,2,J. Sullinger makes 2-pt shot from 2 ft (assist by E. Turner)
4:04.0,Turnover by J. Harden (lost ball; steal by A. Bradley),,67-60,,
3:58.0,,,67-62,2,A. Bradley makes 2-pt shot at rim
3:43.0,J. Harden makes 2-pt shot from 1 ft,2,69-62,,
3:34.0,,,69-65,3,J. Sullinger makes 3-pt shot from 24 ft (assist by I. Thomas)
3:07.0,Shooting foul by I. Thomas (drawn by J. Harden),,69-65,,
3:07.0,J. Harden makes free throw 1 of 2,1,70-65,,
3:07.0,,,70-65,,T. Zeller enters the game for J. Sullinger
3:07.0,M. Beasley enters the game for T. Ariza,,70-65,,
3:07.0,J. Terry enters the game for P. Beverley,,70-65,,
3:07.0,J. Harden makes free throw 2 of 2,1,71-65,,
2:50.0,,,71-65,,I. Thomas misses 2-pt shot from 1 ft
2:49.0,,,71-65,,Offensive rebound by M. Smart
2:47.0,,,71-65,,E. Turner misses 3-pt shot from 25 ft
2:46.0,,,71-65,,Offensive rebound by A. Bradley
2:44.0,,,71-67,2,A. Bradley makes 2-pt shot from 2 ft
2:32.0,J. Harden makes 2-pt shot from 2 ft,2,73-67,,
2:22.0,,,73-67,,Shooting foul by C. Brewer (drawn by T. Zeller)
2:22.0,,,73-68,1,T. Zeller makes free throw 1 of 2
2:22.0,,,73-68,,T. Rozier enters the game for I. Thomas
2:22.0,K. McDaniels enters the game for C. Brewer,,73-68,,
2:22.0,,,73-69,1,T. Zeller makes free throw 2 of 2
2:14.0,Shooting foul by T. Zeller (drawn by J. Harden),,73-69,,
2:14.0,J. Harden makes free throw 1 of 2,1,74-69,,
2:14.0,J. Harden makes free throw 2 of 2,1,75-69,,
1:51.0,,,75-69,,Shooting foul by J. Harden (drawn by A. Bradley)
1:51.0,,,75-69,,A. Bradley misses free throw 1 of 2
1:51.0,,,75-69,,Offensive rebound by Team
1:51.0,P. Beverley enters the game for J. Harden,,75-69,,
1:51.0,,,75-70,1,A. Bradley makes free throw 2 of 2
1:48.0,,,75-70,,Personal take foul by T. Zeller
1:48.0,C. Capela misses free throw 1 of 2,,75-70,,
1:48.0,Offensive rebound by Team,,75-70,,
1:48.0,C. Capela misses free throw 2 of 2,,75-70,,
1:48.0,,,75-70,,Defensive rebound by E. Turner
1:34.0,,,75-70,,Shooting foul by K. McDaniels (drawn by E. Turner)
1:34.0,,,75-70,,E. Turner misses free throw 1 of 2
1:34.0,,,75-70,,Offensive rebound by Team
1:34.0,T. Ariza enters the game for C. Capela,,75-70,,
1:34.0,,,75-71,1,E. Turner makes free throw 2 of 2
1:18.0,M. Beasley misses 2-pt shot from 1 ft,,75-71,,
1:17.0,,,75-71,,Defensive rebound by E. Turner
1:03.0,,,75-71,,E. Turner misses 2-pt shot from 5 ft
1:02.0,,,75-71,,Offensive rebound by T. Rozier
0:49.0,,,75-71,,T. Zeller misses 2-pt shot from 3 ft
0:48.0,Defensive rebound by Team,,75-71,,
0:40.0,M. Beasley misses 2-pt shot from 15 ft,,75-71,,
0:39.0,Offensive rebound by P. Beverley,,75-71,,
0:28.0,Turnover by K. McDaniels (lost ball; steal by E. Turner),,75-71,,
0:24.0,,,75-73,2,A. Bradley makes 2-pt shot from 1 ft (assist by E. Turner)
0:02.0,M. Beasley misses 2-pt shot from 3 ft,,75-73,,
0:01.0,Offensive rebound by M. Beasley,,75-73,,
0:00.0,M. Beasley makes 2-pt shot from 1 ft,2,77-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,M. Beasley makes 2-pt shot from 2 ft,2,79-73,,
11:29.0,,,79-73,,I. Thomas misses 3-pt shot from 24 ft
11:28.0,,,79-73,,Offensive rebound by T. Rozier
11:17.0,,,79-76,3,T. Rozier makes 3-pt shot from 23 ft (assist by E. Turner)
11:02.0,P. Beverley misses 3-pt shot from 24 ft,,79-76,,
11:01.0,,,79-76,,Defensive rebound by I. Thomas
10:51.0,,,79-76,,Turnover by T. Rozier (lost ball; steal by P. Beverley)
10:38.0,K. McDaniels makes 2-pt shot from 1 ft,2,81-76,,
10:25.0,,,81-76,,I. Thomas misses 2-pt shot from 1 ft
10:24.0,Defensive rebound by M. Beasley,,81-76,,
10:16.0,M. Beasley makes 2-pt shot from 22 ft (assist by P. Beverley),2,83-76,,
9:56.0,,,83-79,3,I. Thomas makes 3-pt shot from 25 ft (assist by T. Zeller)
9:38.0,M. Beasley makes 2-pt shot from 17 ft (assist by D. Howard),2,85-79,,
9:20.0,,,85-79,,T. Zeller misses 2-pt shot from 11 ft
9:19.0,Defensive rebound by D. Howard,,85-79,,
9:10.0,M. Beasley makes 2-pt shot from 14 ft,2,87-79,,
9:10.0,,,87-79,,Boston full timeout
9:10.0,,,87-79,,A. Bradley enters the game for E. Turner
9:10.0,,,87-79,,J. Mickey enters the game for J. Jerebko
8:53.0,,,87-79,,T. Rozier misses 3-pt shot from 24 ft
8:52.0,,,87-79,,Offensive rebound by T. Rozier
8:49.0,,,87-79,,T. Rozier misses 2-pt shot from 4 ft
8:48.0,Defensive rebound by M. Beasley,,87-79,,
8:45.0,Turnover by M. Beasley (bad pass),,87-79,,
8:38.0,,,87-79,,T. Zeller misses 2-pt shot from 18 ft
8:37.0,Defensive rebound by M. Beasley,,87-79,,
8:20.0,M. Beasley misses 2-pt shot from 2 ft,,87-79,,
8:19.0,Offensive rebound by M. Beasley,,87-79,,
8:17.0,M. Beasley misses 2-pt shot from 1 ft,,87-79,,
8:16.0,Offensive rebound by M. Beasley,,87-79,,
8:14.0,M. Beasley makes 2-pt shot from 1 ft,2,89-79,,
7:58.0,,,89-79,,Turnover by I. Thomas (bad pass)
7:58.0,,,89-79,,J. Sullinger enters the game for T. Zeller
7:42.0,J. Terry misses 3-pt shot from 23 ft,,89-79,,
7:41.0,,,89-79,,Defensive rebound by T. Rozier
7:36.0,,,89-81,2,A. Bradley makes 2-pt shot at rim (assist by T. Rozier)
7:23.0,M. Beasley misses 2-pt shot from 20 ft,,89-81,,
7:22.0,,,89-81,,Defensive rebound by T. Rozier
7:09.0,,,89-84,3,I. Thomas makes 3-pt shot from 24 ft (assist by T. Rozier)
7:08.0,Houston full timeout,,89-84,,
7:08.0,,,89-84,,M. Smart enters the game for J. Mickey
7:08.0,J. Harden enters the game for M. Beasley,,89-84,,
7:08.0,T. Ariza enters the game for K. McDaniels,,89-84,,
6:51.0,Turnover by D. Howard (lost ball; steal by M. Smart),,89-84,,
6:36.0,,,89-86,2,M. Smart makes 2-pt shot from 1 ft (assist by T. Rozier)
6:25.0,J. Harden misses 2-pt shot from 1 ft,,89-86,,
6:24.0,,,89-86,,Defensive rebound by J. Sullinger
