time,Atlanta,pts.away,score,pts.home,Washington
3:47.0,,,15-23,,Defensive rebound by O. Porter
3:37.0,,,15-25,2,J. Wall makes 2-pt shot from 1 ft
3:16.0,Turnover by K. Humphries (bad pass),,15-25,,
3:16.0,,,15-25,,G. Temple enters the game for B. Beal
3:16.0,D. Schroder enters the game for J. Teague,,15-25,,
3:03.0,,,15-25,,G. Temple misses 3-pt shot from 26 ft
3:02.0,Defensive rebound by K. Humphries,,15-25,,
2:52.0,T. Sefolosha makes 2-pt shot from 20 ft (assist by K. Humphries),2,17-25,,
2:35.0,,,17-25,,M. Gortat misses 2-pt shot at rim (block by K. Humphries)
2:35.0,,,17-25,,Offensive rebound by Team
2:35.0,,,17-25,,Washington full timeout
2:35.0,T. Hardaway enters the game for K. Korver,,17-25,,
2:25.0,,,17-25,,M. Gortat misses 2-pt shot from 7 ft
2:24.0,Defensive rebound by T. Sefolosha,,17-25,,
2:12.0,D. Schroder makes 2-pt shot from 1 ft,2,19-25,,
2:01.0,,,19-25,,N. Hilario enters the game for M. Gortat
1:54.0,,,19-25,,J. Wall misses 2-pt shot from 17 ft
1:53.0,Defensive rebound by P. Millsap,,19-25,,
1:29.0,K. Humphries misses 3-pt shot from 29 ft,,19-25,,
1:28.0,,,19-25,,Defensive rebound by N. Hilario
1:19.0,,,19-25,,Turnover by J. Wall (lost ball; steal by D. Schroder)
1:16.0,Shooting foul by G. Temple (drawn by D. Schroder),,19-25,,
1:16.0,D. Schroder makes free throw 1 of 2,1,20-25,,
1:16.0,,,20-25,,R. Sessions enters the game for J. Wall
1:16.0,A. Horford enters the game for P. Millsap,,20-25,,
1:16.0,D. Schroder makes free throw 2 of 2,1,21-25,,
1:03.0,,,21-25,,G. Temple misses 2-pt shot from 14 ft
1:02.0,Defensive rebound by A. Horford,,21-25,,
0:50.0,,,21-25,,Personal foul by G. Temple
0:50.0,T. Hardaway makes free throw 1 of 2,1,22-25,,
0:50.0,,,22-25,,M. Thornton enters the game for G. Temple
0:50.0,T. Hardaway misses free throw 2 of 2,,22-25,,
0:50.0,,,22-25,,Defensive rebound by R. Sessions
0:32.0,,,22-25,,R. Sessions misses 2-pt shot from 9 ft
0:31.0,Defensive rebound by A. Horford,,22-25,,
0:12.0,K. Humphries misses 3-pt shot from 25 ft,,22-25,,
0:10.0,Offensive rebound by T. Sefolosha,,22-25,,
0:06.0,D. Schroder misses 3-pt shot from 25 ft,,22-25,,
0:05.0,,,22-25,,Defensive rebound by N. Hilario
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,22-25,,M. Thornton misses 2-pt shot from 18 ft
11:34.0,Defensive rebound by T. Sefolosha,,22-25,,
11:14.0,Turnover by M. Scott (traveling),,22-25,,
10:58.0,,,22-25,,B. Beal misses 2-pt shot from 7 ft
10:57.0,Defensive rebound by D. Schroder,,22-25,,
10:47.0,D. Schroder makes 2-pt shot from 9 ft,2,24-25,,
10:47.0,Shooting foul by N. Hilario (drawn by D. Schroder),,24-25,,
10:47.0,K. Korver enters the game for T. Sefolosha,,24-25,,
10:47.0,D. Schroder makes free throw 1 of 1,1,25-25,,
10:32.0,,,25-25,,M. Thornton misses 3-pt shot from 26 ft
10:31.0,Defensive rebound by M. Scott,,25-25,,
10:23.0,K. Korver misses 3-pt shot from 27 ft,,25-25,,
10:22.0,,,25-25,,Defensive rebound by J. Dudley
10:16.0,,,25-28,3,J. Dudley makes 3-pt shot from 25 ft (assist by R. Sessions)
9:54.0,T. Hardaway misses 3-pt shot from 24 ft,,25-28,,
9:53.0,,,25-28,,Defensive rebound by M. Thornton
9:45.0,,,25-28,,R. Sessions misses 2-pt shot from 2 ft
9:44.0,Defensive rebound by M. Scott,,25-28,,
9:37.0,T. Hardaway makes 3-pt shot from 23 ft (assist by K. Korver),3,28-28,,
9:23.0,,,28-28,,N. Hilario misses 2-pt shot from 15 ft
9:22.0,Defensive rebound by D. Schroder,,28-28,,
9:20.0,,,28-28,,Personal foul by B. Beal
9:08.0,A. Horford makes 3-pt shot from 26 ft (assist by D. Schroder),3,31-28,,
8:52.0,,,31-28,,N. Hilario misses 2-pt shot from 8 ft
8:52.0,,,31-28,,Offensive rebound by Team
8:52.0,Loose ball foul by M. Scott,,31-28,,
8:52.0,Official timeout,,31-28,,
8:36.0,,,31-30,2,B. Beal makes 2-pt shot from 1 ft
8:18.0,Shooting foul by R. Sessions (drawn by D. Schroder),,31-30,,
8:18.0,D. Schroder makes free throw 1 of 2,1,32-30,,
8:18.0,D. Schroder makes free throw 2 of 2,1,33-30,,
8:07.0,,,33-32,2,N. Hilario makes 2-pt shot at rim (assist by R. Sessions)
7:38.0,D. Schroder makes 2-pt shot from 17 ft,2,35-32,,
7:23.0,,,35-32,,M. Thornton misses 3-pt shot from 24 ft
7:21.0,Defensive rebound by Team,,35-32,,
7:21.0,,,35-32,,J. Wall enters the game for R. Sessions
7:14.0,A. Horford makes 2-pt shot at rim (assist by D. Schroder),2,37-32,,
6:58.0,Def 3 sec tech foul by A. Horford,,37-32,,
6:58.0,,,37-33,1,B. Beal makes technical free throw
6:58.0,T. Sefolosha enters the game for T. Hardaway,,37-33,,
6:58.0,,,37-33,,M. Gortat enters the game for N. Hilario
6:47.0,,,37-35,2,J. Wall makes 2-pt shot from 1 ft (assist by B. Beal)
6:26.0,M. Scott misses 3-pt shot from 27 ft,,37-35,,
6:25.0,,,37-35,,Defensive rebound by M. Gortat
6:10.0,,,37-37,2,M. Thornton makes 2-pt shot from 1 ft (assist by M. Gortat)
6:10.0,,,37-37,,Shooting foul by K. Korver (drawn by M. Thornton)
6:10.0,J. Teague enters the game for D. Schroder,,37-37,,
6:10.0,,,37-38,1,M. Thornton makes free throw 1 of 1
5:57.0,K. Korver misses 3-pt shot from 29 ft,,37-38,,
5:57.0,Offensive rebound by Team,,37-38,,
5:57.0,,,37-38,,Loose ball foul by M. Thornton
5:57.0,,,37-38,,Washington full timeout
5:57.0,,,37-38,,M. Morris enters the game for J. Dudley
5:57.0,P. Millsap enters the game for A. Horford,,37-38,,
5:57.0,,,37-38,,O. Porter enters the game for M. Thornton
5:43.0,K. Korver misses 2-pt shot from 8 ft,,37-38,,
5:42.0,Offensive rebound by M. Scott,,37-38,,
5:41.0,M. Scott misses 2-pt shot from 4 ft,,37-38,,
5:40.0,,,37-38,,Defensive rebound by M. Gortat
5:37.0,,,37-38,,Turnover by O. Porter (traveling)
5:37.0,K. Humphries enters the game for M. Scott,,37-38,,
5:22.0,P. Millsap makes 3-pt shot from 28 ft (assist by J. Teague),3,40-38,,
5:03.0,,,40-40,2,B. Beal makes 2-pt shot from 6 ft
4:50.0,P. Millsap misses 3-pt shot from 28 ft,,40-40,,
4:49.0,,,40-40,,Defensive rebound by O. Porter
4:41.0,,,40-42,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
4:41.0,,,40-42,,Shooting foul by K. Korver (drawn by M. Gortat)
4:41.0,,,40-43,1,M. Gortat makes free throw 1 of 1
4:34.0,J. Teague makes 3-pt shot from 25 ft,3,43-43,,
4:08.0,,,43-45,2,J. Wall makes 2-pt shot from 21 ft (assist by M. Gortat)
3:46.0,T. Sefolosha makes 3-pt shot from 25 ft (assist by P. Millsap),3,46-45,,
3:36.0,,,46-45,,J. Wall misses 2-pt shot from 17 ft
3:35.0,,,46-45,,Offensive rebound by Team
3:25.0,,,46-45,,B. Beal misses 2-pt shot from 18 ft
3:24.0,Defensive rebound by J. Teague,,46-45,,
3:16.0,J. Teague makes 2-pt shot at rim,2,48-45,,
3:09.0,,,48-45,,O. Porter misses 2-pt shot from 1 ft
3:08.0,,,48-45,,Offensive rebound by M. Morris
3:07.0,,,48-47,2,M. Morris makes 2-pt shot at rim
2:58.0,Atlanta full timeout,,48-47,,
2:58.0,A. Horford enters the game for K. Humphries,,48-47,,
2:45.0,Turnover by A. Horford (offensive foul),,48-47,,
2:45.0,Offensive charge foul by A. Horford,,48-47,,
2:29.0,,,48-47,,B. Beal misses 2-pt shot from 1 ft
2:28.0,Defensive rebound by T. Sefolosha,,48-47,,
2:22.0,T. Sefolosha makes 2-pt shot at rim (assist by J. Teague),2,50-47,,
2:11.0,,,50-49,2,M. Morris makes 2-pt shot from 20 ft
1:59.0,,,50-49,,Personal foul by M. Morris
1:59.0,A. Horford makes free throw 1 of 2,1,51-49,,
1:59.0,T. Hardaway enters the game for K. Korver,,51-49,,
1:59.0,,,51-49,,J. Dudley enters the game for M. Morris
1:59.0,,,51-49,,M. Thornton enters the game for B. Beal
1:59.0,A. Horford makes free throw 2 of 2,1,52-49,,
1:42.0,,,52-51,2,J. Dudley makes 2-pt shot from 20 ft (assist by M. Thornton)
1:29.0,Turnover by P. Millsap (traveling),,52-51,,
1:14.0,,,52-51,,J. Dudley misses 3-pt shot from 26 ft
1:13.0,Defensive rebound by J. Teague,,52-51,,
1:00.0,T. Hardaway misses 3-pt shot from 27 ft,,52-51,,
0:59.0,,,52-51,,Defensive rebound by O. Porter
0:51.0,,,52-53,2,J. Wall makes 2-pt shot from 1 ft
0:32.0,J. Teague misses 3-pt shot from 27 ft,,52-53,,
0:31.0,,,52-53,,Defensive rebound by O. Porter
0:21.0,,,52-56,3,M. Thornton makes 3-pt shot from 23 ft (assist by J. Dudley)
0:02.0,P. Millsap misses 2-pt shot from 9 ft,,52-56,,
0:01.0,,,52-56,,Defensive rebound by O. Porter
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,52-56,,O. Porter misses 2-pt shot from 1 ft (block by K. Korver)
11:40.0,Defensive rebound by J. Teague,,52-56,,
11:20.0,K. Korver misses 3-pt shot from 26 ft,,52-56,,
11:19.0,Offensive rebound by P. Millsap,,52-56,,
11:15.0,K. Bazemore makes 2-pt shot from 1 ft (assist by P. Millsap),2,54-56,,
10:57.0,,,54-56,,Shooting foul by K. Bazemore (drawn by B. Beal)
10:57.0,,,54-57,1,B. Beal makes free throw 1 of 2
10:57.0,,,54-58,1,B. Beal makes free throw 2 of 2
10:39.0,K. Korver makes 3-pt shot from 24 ft,3,57-58,,
10:19.0,,,57-60,2,M. Morris makes 2-pt shot from 8 ft
10:10.0,Turnover by A. Horford (bad pass),,57-60,,
9:49.0,,,57-60,,B. Beal misses 2-pt shot from 16 ft
9:48.0,Defensive rebound by P. Millsap,,57-60,,
9:36.0,P. Millsap makes 2-pt shot from 14 ft,2,59-60,,
9:24.0,,,59-60,,J. Wall misses 2-pt shot from 20 ft
9:23.0,Defensive rebound by P. Millsap,,59-60,,
9:13.0,P. Millsap makes 2-pt shot from 1 ft (assist by A. Horford),2,61-60,,
9:03.0,,,61-63,3,M. Morris makes 3-pt shot from 25 ft (assist by J. Wall)
8:59.0,,,61-63,,Personal foul by B. Beal
8:44.0,P. Millsap misses 2-pt shot from 9 ft,,61-63,,
8:43.0,,,61-63,,Defensive rebound by M. Gortat
8:41.0,Personal block foul by J. Teague,,61-63,,
8:19.0,,,61-63,,B. Beal misses 3-pt shot from 27 ft
8:18.0,Defensive rebound by P. Millsap,,61-63,,
8:16.0,Turnover by P. Millsap (lost ball; steal by J. Wall),,61-63,,
8:13.0,,,61-63,,Turnover by M. Morris (offensive goaltending)
7:55.0,K. Bazemore misses 3-pt shot from 26 ft,,61-63,,
7:54.0,,,61-63,,Defensive rebound by M. Gortat
7:35.0,,,61-65,2,O. Porter makes 2-pt shot from 19 ft (assist by J. Wall)
7:26.0,J. Teague misses 3-pt shot from 25 ft,,61-65,,
7:25.0,,,61-65,,Defensive rebound by M. Gortat
7:22.0,,,61-65,,Turnover by J. Wall (lost ball; steal by J. Teague)
7:14.0,K. Korver misses 3-pt shot from 26 ft,,61-65,,
7:13.0,,,61-65,,Defensive rebound by M. Morris
7:04.0,,,61-65,,Turnover by J. Wall (lost ball)
7:04.0,T. Sefolosha enters the game for K. Bazemore,,61-65,,
6:45.0,P. Millsap makes 2-pt shot from 17 ft (assist by K. Korver),2,63-65,,
6:30.0,,,63-67,2,O. Porter makes 2-pt shot from 2 ft
6:20.0,,,63-67,,Personal foul by O. Porter
6:03.0,P. Millsap makes 2-pt shot from 19 ft (assist by J. Teague),2,65-67,,
5:52.0,,,65-69,2,M. Gortat makes 2-pt shot at rim (assist by B. Beal)
5:43.0,Offensive foul by P. Millsap,,65-69,,
5:43.0,Turnover by P. Millsap (offensive foul),,65-69,,
5:43.0,,,65-69,,Washington full timeout
5:43.0,T. Hardaway enters the game for A. Horford,,65-69,,
5:43.0,K. Humphries enters the game for K. Korver,,65-69,,
5:32.0,Personal foul by T. Sefolosha,,65-69,,
5:24.0,,,65-69,,M. Morris misses 2-pt shot from 19 ft
5:23.0,Defensive rebound by J. Teague,,65-69,,
5:09.0,K. Humphries makes 2-pt shot from 4 ft (assist by T. Sefolosha),2,67-69,,
4:58.0,Personal foul by P. Millsap,,67-69,,
4:49.0,,,67-69,,J. Wall misses 2-pt shot from 1 ft (block by K. Humphries)
4:48.0,,,67-69,,Offensive rebound by M. Gortat
4:47.0,,,67-69,,Shooting foul by K. Humphries (drawn by M. Gortat)
4:47.0,,,67-69,,M. Gortat misses free throw 1 of 2
4:47.0,,,67-69,,Offensive rebound by Team
4:47.0,,,67-69,,G. Temple enters the game for B. Beal
4:47.0,,,67-70,1,M. Gortat makes free throw 2 of 2
4:34.0,Turnover by T. Hardaway (bad pass),,67-70,,
4:26.0,,,67-70,,O. Porter misses 3-pt shot from 24 ft
4:25.0,Defensive rebound by P. Millsap,,67-70,,
4:16.0,Shooting foul by G. Temple (drawn by J. Teague),,67-70,,
4:16.0,J. Teague misses free throw 1 of 2,,67-70,,
4:16.0,Offensive rebound by Team,,67-70,,
4:16.0,D. Schroder enters the game for T. Hardaway,,67-70,,
4:16.0,J. Teague misses free throw 2 of 2,,67-70,,
4:15.0,Offensive rebound by P. Millsap,,67-70,,
4:06.0,Turnover by D. Schroder (bad pass),,67-70,,
4:06.0,T. Hardaway enters the game for J. Teague,,67-70,,
3:54.0,,,67-70,,Turnover by J. Wall (lost ball; steal by K. Humphries)
3:46.0,P. Millsap misses 3-pt shot from 26 ft,,67-70,,
3:45.0,,,67-70,,Defensive rebound by J. Wall
3:33.0,,,67-70,,M. Morris misses 3-pt shot from 26 ft
3:32.0,Defensive rebound by K. Humphries,,67-70,,
3:25.0,Atlanta full timeout,,67-70,,
3:25.0,,,67-70,,J. Dudley enters the game for M. Morris
3:19.0,P. Millsap misses 2-pt shot from 1 ft (block by M. Gortat),,67-70,,
3:19.0,Offensive rebound by Team,,67-70,,
3:11.0,D. Schroder makes 3-pt shot from 25 ft (assist by P. Millsap),3,70-70,,
2:52.0,,,70-70,,J. Dudley misses 3-pt shot from 25 ft
2:51.0,Defensive rebound by K. Humphries,,70-70,,
2:44.0,T. Hardaway makes 2-pt shot at rim,2,72-70,,
2:37.0,,,72-70,,Offensive charge foul by J. Wall
2:37.0,,,72-70,,Turnover by J. Wall (offensive foul)
2:25.0,D. Schroder makes 2-pt shot at rim,2,74-70,,
2:25.0,Shooting foul by G. Temple (drawn by D. Schroder),,74-70,,
2:25.0,,,74-70,,M. Thornton enters the game for G. Temple
2:25.0,D. Schroder makes free throw 1 of 1,1,75-70,,
2:02.0,,,75-70,,J. Wall misses 2-pt shot from 18 ft
2:01.0,Defensive rebound by T. Hardaway,,75-70,,
1:55.0,T. Hardaway makes 2-pt shot at rim,2,77-70,,
1:37.0,,,77-70,,R. Sessions enters the game for J. Wall
1:29.0,,,77-70,,J. Dudley misses 2-pt shot from 15 ft
1:28.0,Defensive rebound by D. Schroder,,77-70,,
1:24.0,P. Millsap makes 2-pt shot at rim (assist by D. Schroder),2,79-70,,
1:08.0,,,79-73,3,M. Thornton makes 3-pt shot from 26 ft (assist by M. Gortat)
0:47.0,D. Schroder makes 2-pt shot from 9 ft,2,81-73,,
0:47.0,Shooting foul by J. Dudley (drawn by D. Schroder),,81-73,,
0:47.0,A. Horford enters the game for P. Millsap,,81-73,,
0:47.0,D. Schroder misses free throw 1 of 1,,81-73,,
0:47.0,,,81-73,,Defensive rebound by M. Gortat
0:30.0,,,81-73,,M. Thornton misses 2-pt shot from 4 ft
0:29.0,Defensive rebound by Team,,81-73,,
0:07.0,A. Horford misses 3-pt shot from 24 ft,,81-73,,
0:06.0,,,81-73,,Defensive rebound by J. Dudley
0:04.0,Personal foul by T. Sefolosha,,81-73,,
0:04.0,,,81-74,1,R. Sessions makes free throw 1 of 2
0:04.0,,,81-74,,N. Hilario enters the game for M. Gortat
0:04.0,K. Korver enters the game for T. Sefolosha,,81-74,,
0:04.0,,,81-75,1,R. Sessions makes free throw 2 of 2
0:01.0,Turnover by D. Schroder (lost ball; steal by N. Hilario),,81-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,K. Korver makes 3-pt shot from 25 ft (assist by A. Horford),3,84-75,,
11:17.0,,,84-75,,Turnover by J. Dudley (lost ball; steal by T. Hardaway)
11:13.0,M. Scott makes 2-pt shot from 1 ft (assist by D. Schroder),2,86-75,,
11:02.0,,,86-75,,Turnover by R. Sessions (bad pass)
10:46.0,A. Horford makes 3-pt shot from 26 ft (assist by D. Schroder),3,89-75,,
10:46.0,,,89-75,,Washington full timeout
10:46.0,,,89-75,,M. Morris enters the game for J. Dudley
10:46.0,,,89-75,,J. Wall enters the game for R. Sessions
10:45.0,,,89-75,,Turnover by J. Wall (lost ball)
10:30.0,Turnover by D. Schroder (discontinued dribble),,89-75,,
10:19.0,,,89-75,,Offensive foul by M. Morris
10:19.0,,,89-75,,Turnover by M. Morris (offensive foul)
10:03.0,K. Korver makes 3-pt shot from 22 ft (assist by A. Horford),3,92-75,,
9:41.0,,,92-78,3,M. Thornton makes 3-pt shot from 27 ft (assist by N. Hilario)
9:29.0,D. Schroder misses 2-pt shot from 1 ft,,92-78,,
9:29.0,,,92-78,,Defensive rebound by M. Morris
9:19.0,,,92-78,,J. Wall misses 3-pt shot from 27 ft
9:18.0,,,92-78,,Offensive rebound by M. Morris
9:16.0,,,92-80,2,M. Morris makes 2-pt shot at rim
9:01.0,,,92-80,,Personal foul by N. Hilario
8:53.0,A. Horford misses 3-pt shot from 26 ft,,92-80,,
8:52.0,,,92-80,,Defensive rebound by M. Morris
8:44.0,,,92-80,,N. Hilario misses 2-pt shot at rim
8:43.0,Defensive rebound by M. Scott,,92-80,,
8:38.0,T. Hardaway makes 3-pt shot from 28 ft (assist by D. Schroder),3,95-80,,
8:23.0,,,95-83,3,M. Morris makes 3-pt shot from 24 ft (assist by J. Wall)
8:11.0,Atlanta full timeout,,95-83,,
8:03.0,M. Scott makes 3-pt shot from 26 ft (assist by D. Schroder),3,98-83,,
7:44.0,,,98-83,,J. Wall misses 2-pt shot at rim
7:43.0,Defensive rebound by A. Horford,,98-83,,
7:24.0,T. Hardaway misses 3-pt shot from 22 ft,,98-83,,
7:23.0,,,98-83,,Defensive rebound by N. Hilario
7:15.0,,,98-86,3,M. Thornton makes 3-pt shot from 26 ft (assist by J. Wall)
7:00.0,M. Scott makes 3-pt shot from 25 ft (assist by D. Schroder),3,101-86,,
6:48.0,,,101-86,,N. Hilario misses 2-pt shot from 1 ft
6:46.0,Defensive rebound by D. Schroder,,101-86,,
6:43.0,Turnover by A. Horford (lost ball; steal by M. Morris),,101-86,,
6:32.0,Personal foul by D. Schroder,,101-86,,
6:32.0,,,101-86,,M. Gortat enters the game for N. Hilario
6:32.0,,,101-86,,O. Porter enters the game for B. Beal
6:32.0,J. Teague enters the game for A. Horford,,101-86,,
6:32.0,P. Millsap enters the game for D. Schroder,,101-86,,
6:32.0,T. Sefolosha enters the game for T. Hardaway,,101-86,,
6:28.0,,,101-86,,O. Porter misses 3-pt shot from 26 ft
6:27.0,Defensive rebound by M. Scott,,101-86,,
6:07.0,Shooting foul by M. Morris (drawn by J. Teague),,101-86,,
6:07.0,J. Teague makes free throw 1 of 2,1,102-86,,
6:07.0,J. Teague misses free throw 2 of 2,,102-86,,
6:05.0,,,102-86,,Defensive rebound by M. Gortat
5:54.0,,,102-86,,M. Thornton misses 3-pt shot from 26 ft
5:53.0,Defensive rebound by M. Scott,,102-86,,
5:45.0,J. Teague makes 3-pt shot from 25 ft (assist by P. Millsap),3,105-86,,
5:31.0,,,105-88,2,M. Gortat makes 2-pt shot at rim (assist by M. Morris)
5:14.0,M. Scott misses 2-pt shot from 17 ft,,105-88,,
5:12.0,,,105-88,,Defensive rebound by M. Gortat
5:06.0,,,105-88,,J. Dudley enters the game for M. Morris
5:04.0,,,105-88,,Turnover by J. Dudley (lost ball; steal by P. Millsap)
5:00.0,Shooting foul by J. Wall (drawn by T. Sefolosha),,105-88,,
5:00.0,T. Sefolosha misses free throw 1 of 2,,105-88,,
5:00.0,Offensive rebound by Team,,105-88,,
5:00.0,T. Hardaway enters the game for K. Korver,,105-88,,
5:00.0,T. Sefolosha makes free throw 2 of 2,1,106-88,,
4:56.0,,,106-88,,Turnover by J. Wall (lost ball; steal by T. Sefolosha)
4:51.0,M. Scott makes 2-pt shot at rim (assist by T. Sefolosha),2,108-88,,
4:36.0,,,108-88,,Turnover by M. Gortat (lost ball; steal by P. Millsap)
4:24.0,T. Hardaway misses 3-pt shot from 24 ft,,108-88,,
4:23.0,,,108-88,,Defensive rebound by J. Dudley
4:19.0,Personal foul by J. Teague,,108-88,,
4:19.0,,,108-88,,M. Morris enters the game for J. Dudley
4:11.0,,,108-90,2,M. Thornton makes 2-pt shot from 6 ft
4:02.0,Turnover by J. Teague (lost ball; steal by M. Thornton),,108-90,,
3:49.0,,,108-90,,M. Gortat misses 2-pt shot at rim
3:47.0,,,108-90,,Offensive rebound by M. Morris
3:41.0,,,108-90,,M. Thornton misses 3-pt shot from 27 ft
3:40.0,,,108-90,,Offensive rebound by M. Gortat
3:23.0,,,108-90,,J. Wall misses 2-pt shot at rim (block by T. Sefolosha)
3:23.0,,,108-90,,Offensive rebound by Team
3:23.0,D. Schroder enters the game for J. Teague,,108-90,,
3:23.0,,,108-90,,Technical foul by J. Wall
3:23.0,T. Hardaway makes technical free throw,1,109-90,,
3:18.0,,,109-92,2,J. Wall makes 2-pt shot at rim
3:01.0,D. Schroder makes 2-pt shot from 17 ft,2,111-92,,
2:54.0,Personal foul by T. Hardaway,,111-92,,
2:54.0,Official timeout,,111-92,,
2:45.0,,,111-92,,J. Wall misses 2-pt shot at rim
2:43.0,,,111-92,,Offensive rebound by M. Morris
2:41.0,,,111-92,,M. Morris misses 3-pt shot from 26 ft
2:40.0,,,111-92,,Offensive rebound by M. Thornton
2:37.0,,,111-92,,M. Thornton misses 2-pt shot from 21 ft
2:37.0,Defensive rebound by T. Sefolosha,,111-92,,
2:19.0,Shooting foul by M. Morris (drawn by D. Schroder),,111-92,,
