time,New Orleans,pts.away,score,pts.home,Milwaukee
4:51.0,,,42-45,,Shooting foul by A. Gee (drawn by G. Monroe)
4:51.0,,,42-46,1,G. Monroe makes free throw 1 of 2
4:51.0,,,42-46,,K. Middleton enters the game for R. Vaughn
4:51.0,,,42-47,1,G. Monroe makes free throw 2 of 2
4:37.0,J. Holiday misses 2-pt shot from 5 ft,,42-47,,
4:35.0,Offensive rebound by Team,,42-47,,
4:35.0,D. Cunningham enters the game for A. Gee,,42-47,,
4:24.0,R. Anderson misses 3-pt shot from 24 ft,,42-47,,
4:22.0,Offensive rebound by D. Cunningham,,42-47,,
4:06.0,R. Anderson misses 2-pt shot from 1 ft,,42-47,,
4:05.0,Offensive rebound by R. Anderson,,42-47,,
4:02.0,R. Anderson makes 2-pt shot at rim,2,44-47,,
3:51.0,,,44-47,,K. Middleton misses 3-pt shot from 25 ft
3:50.0,Defensive rebound by J. Holiday,,44-47,,
3:33.0,K. Perkins misses 2-pt shot from 7 ft,,44-47,,
3:31.0,,,44-47,,Defensive rebound by G. Monroe
3:21.0,,,44-49,2,G. Monroe makes 2-pt shot at rim (assist by J. Parker)
3:10.0,,,44-49,,Personal foul by G. Monroe
3:00.0,J. Holiday makes 2-pt shot from 17 ft,2,46-49,,
2:50.0,,,46-51,2,G. Antetokounmpo makes 2-pt shot at rim
2:50.0,,,46-51,,Shooting foul by L. Babbitt (drawn by G. Antetokounmpo)
2:50.0,Official timeout,,46-51,,
2:50.0,T. Douglas enters the game for J. Holiday,,46-51,,
2:50.0,,,46-52,1,G. Antetokounmpo makes free throw 1 of 1
2:40.0,Shooting foul by G. Antetokounmpo (drawn by R. Anderson),,46-52,,
2:40.0,R. Anderson makes free throw 1 of 2,1,47-52,,
2:40.0,R. Anderson makes free throw 2 of 2,1,48-52,,
2:26.0,,,48-52,,G. Antetokounmpo misses 2-pt shot from 5 ft
2:24.0,Defensive rebound by L. Babbitt,,48-52,,
2:07.0,L. Babbitt misses 2-pt shot from 5 ft,,48-52,,
2:04.0,Offensive rebound by L. Babbitt,,48-52,,
2:02.0,L. Babbitt makes 2-pt shot from 3 ft,2,50-52,,
1:43.0,,,50-54,2,K. Middleton makes 2-pt shot from 11 ft
1:29.0,L. Babbitt misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,50-54,,
1:29.0,Offensive rebound by Team,,50-54,,
1:19.0,R. Anderson makes 2-pt shot from 9 ft,2,52-54,,
1:05.0,,,52-54,,J. Bayless misses 2-pt shot from 11 ft
1:04.0,Defensive rebound by T. Douglas,,52-54,,
0:43.0,Turnover by R. Anderson (bad pass),,52-54,,
0:25.0,,,52-54,,Shooting foul by D. Cunningham (drawn by G. Antetokounmpo)
0:25.0,,,52-54,,G. Antetokounmpo misses free throw 1 of 2
0:25.0,,,52-54,,Offensive rebound by Team
