time,LA Clippers,pts.away,score,pts.home,Portland
10:24.0,Offensive rebound by Team,,21-24,,
10:24.0,P. Pierce makes free throw 2 of 2,1,22-24,,
10:15.0,,,22-26,2,C. Kaman makes 2-pt shot from 16 ft (assist by C. McCollum)
9:53.0,P. Pierce misses 2-pt shot from 18 ft,,22-26,,
9:52.0,,,22-26,,Defensive rebound by G. Henderson
9:36.0,,,22-26,,C. Kaman misses 2-pt shot from 14 ft
9:35.0,Defensive rebound by P. Pierce,,22-26,,
9:27.0,,,22-26,,Personal foul by A. Crabbe
9:18.0,J. Green misses 2-pt shot from 2 ft,,22-26,,
9:16.0,Offensive rebound by C. Aldrich,,22-26,,
9:16.0,C. Aldrich makes 2-pt shot at rim,2,24-26,,
9:00.0,,,24-28,2,C. McCollum makes 2-pt shot from 1 ft
9:00.0,,,24-28,,Shooting foul by P. Pierce (drawn by C. McCollum)
9:00.0,,,24-29,1,C. McCollum makes free throw 1 of 1
8:49.0,A. Rivers makes 2-pt shot from 1 ft,2,26-29,,
8:42.0,,,26-31,2,C. McCollum makes 2-pt shot from 16 ft
8:42.0,,,26-31,,Shooting foul by A. Rivers (drawn by C. McCollum)
8:42.0,Official timeout,,26-31,,
8:42.0,,,26-32,1,C. McCollum makes free throw 1 of 1
8:21.0,J. Green misses 2-pt shot from 5 ft,,26-32,,
8:21.0,,,26-32,,Defensive rebound by G. Henderson
8:15.0,,,26-32,,G. Henderson misses 2-pt shot from 1 ft
8:11.0,,,26-32,,Offensive rebound by E. Davis
8:10.0,,,26-34,2,E. Davis makes 2-pt shot at rim
8:00.0,J. Crawford misses 3-pt shot from 22 ft,,26-34,,
7:59.0,,,26-34,,Defensive rebound by E. Davis
7:48.0,,,26-34,,A. Crabbe misses 3-pt shot from 26 ft
7:46.0,Defensive rebound by C. Aldrich,,26-34,,
7:34.0,P. Pierce misses 3-pt shot from 26 ft,,26-34,,
7:33.0,,,26-34,,Defensive rebound by G. Henderson
7:22.0,,,26-34,,C. Kaman misses 2-pt shot from 15 ft
7:21.0,Defensive rebound by J. Green,,26-34,,
7:11.0,Turnover by A. Rivers (lost ball; steal by E. Davis),,26-34,,
7:01.0,,,26-36,2,C. McCollum makes 2-pt shot from 13 ft
7:01.0,LA Clippers full timeout,,26-36,,
7:01.0,,,26-36,,M. Plumlee enters the game for E. Davis
7:01.0,,,26-36,,A. Aminu enters the game for C. Kaman
7:01.0,B. Griffin enters the game for J. Crawford,,26-36,,
7:01.0,J. Redick enters the game for A. Rivers,,26-36,,
7:01.0,D. Jordan enters the game for C. Aldrich,,26-36,,
7:01.0,C. Paul enters the game for P. Pierce,,26-36,,
6:47.0,B. Griffin misses 2-pt shot from 20 ft,,26-36,,
6:47.0,Offensive rebound by Team,,26-36,,
6:47.0,,,26-36,,Loose ball foul by M. Plumlee
6:37.0,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul),2,28-36,,
6:14.0,,,28-36,,G. Henderson misses 2-pt shot from 12 ft (block by J. Redick)
6:14.0,,,28-36,,Offensive rebound by Team
6:10.0,,,28-36,,G. Henderson misses 3-pt shot from 28 ft
6:09.0,Defensive rebound by B. Griffin,,28-36,,
5:57.0,C. Paul makes 2-pt shot from 2 ft (assist by J. Redick),2,30-36,,
5:42.0,,,30-36,,A. Aminu misses 2-pt shot from 2 ft (block by D. Jordan)
5:40.0,,,30-36,,Offensive rebound by A. Aminu
5:39.0,,,30-38,2,A. Aminu makes 2-pt shot at rim
5:20.0,J. Redick makes 2-pt shot from 10 ft (assist by C. Paul),2,32-38,,
5:11.0,,,32-38,,C. McCollum misses 2-pt shot from 16 ft
5:10.0,Defensive rebound by J. Green,,32-38,,
4:59.0,C. Paul misses 2-pt shot from 15 ft,,32-38,,
4:58.0,,,32-38,,Defensive rebound by M. Plumlee
4:49.0,,,32-38,,Offensive foul by M. Plumlee
4:49.0,,,32-38,,Turnover by M. Plumlee (offensive foul)
4:49.0,,,32-38,,D. Lillard enters the game for A. Crabbe
4:49.0,,,32-38,,M. Harkless enters the game for G. Henderson
4:30.0,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul),2,34-38,,
4:29.0,,,34-38,,Portland full timeout
4:29.0,L. Mbah a Moute enters the game for J. Green,,34-38,,
4:14.0,,,34-38,,A. Aminu misses 3-pt shot from 23 ft
4:13.0,,,34-38,,Offensive rebound by M. Harkless
4:11.0,,,34-38,,M. Harkless misses 2-pt shot from 1 ft
4:09.0,,,34-38,,Offensive rebound by D. Lillard
3:57.0,,,34-38,,Shooting foul by L. Mbah a Moute (drawn by D. Lillard)
3:57.0,,,34-39,1,D. Lillard makes free throw 1 of 2
3:57.0,,,34-40,1,D. Lillard makes free throw 2 of 2
3:39.0,Turnover by J. Redick (bad pass),,34-40,,
3:30.0,,,34-40,,Turnover by D. Lillard (lost ball; steal by J. Redick)
3:14.0,B. Griffin misses 2-pt shot from 6 ft,,34-40,,
3:13.0,,,34-40,,Defensive rebound by M. Plumlee
2:57.0,,,34-42,2,C. McCollum makes 2-pt shot from 17 ft (assist by M. Plumlee)
2:36.0,J. Redick misses 2-pt shot from 16 ft,,34-42,,
2:34.0,,,34-42,,Defensive rebound by M. Plumlee
2:29.0,,,34-42,,Turnover by D. Lillard (lost ball; steal by C. Paul)
2:25.0,Turnover by C. Paul (offensive foul),,34-42,,
2:25.0,Offensive charge foul by C. Paul,,34-42,,
2:14.0,,,34-42,,C. McCollum misses 2-pt shot from 14 ft
2:13.0,,,34-42,,Offensive rebound by C. McCollum
2:11.0,,,34-44,2,C. McCollum makes 2-pt shot from 15 ft
1:55.0,,,34-44,,Personal foul by A. Aminu
1:55.0,W. Johnson enters the game for L. Mbah a Moute,,34-44,,
1:48.0,C. Paul makes 2-pt shot from 22 ft (assist by B. Griffin),2,36-44,,
1:37.0,,,36-44,,Shooting foul by C. Paul (drawn by D. Lillard)
1:37.0,,,36-45,1,D. Lillard makes free throw 1 of 2
1:37.0,,,36-46,1,D. Lillard makes free throw 2 of 2
1:27.0,Shooting foul by M. Harkless (drawn by C. Paul),,36-46,,
1:27.0,C. Paul makes free throw 1 of 2,1,37-46,,
1:27.0,C. Paul makes free throw 2 of 2,1,38-46,,
1:02.0,,,38-49,3,A. Aminu makes 3-pt shot from 26 ft (assist by M. Plumlee)
0:37.0,C. Paul misses 3-pt shot from 26 ft,,38-49,,
0:35.0,Offensive rebound by D. Jordan,,38-49,,
0:35.0,D. Jordan misses 2-pt shot at rim,,38-49,,
0:35.0,,,38-49,,Defensive rebound by Team
0:29.0,,,38-49,,D. Lillard misses 3-pt shot from 27 ft
0:29.0,,,38-49,,Offensive rebound by D. Lillard
0:11.0,,,38-49,,D. Lillard misses 2-pt shot from 17 ft
0:10.0,Defensive rebound by D. Jordan,,38-49,,
0:05.0,J. Redick misses 2-pt shot at rim (block by A. Aminu),,38-49,,
0:04.0,Offensive rebound by D. Jordan,,38-49,,
0:04.0,D. Jordan makes 2-pt shot at rim,2,40-49,,
0:00.0,,,40-49,,Offensive foul by C. McCollum
0:00.0,,,40-49,,Turnover by C. McCollum (offensive foul)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Turnover by B. Griffin (lost ball),,40-49,,
11:19.0,,,40-49,,M. Plumlee misses 2-pt shot from 6 ft
11:18.0,Defensive rebound by D. Jordan,,40-49,,
11:14.0,,,40-49,,Personal foul by A. Aminu
11:06.0,C. Paul makes 2-pt shot from 18 ft,2,42-49,,
10:47.0,,,42-51,2,A. Aminu makes 2-pt shot from 18 ft (assist by M. Plumlee)
10:30.0,C. Paul misses 2-pt shot from 18 ft,,42-51,,
10:30.0,,,42-51,,Defensive rebound by M. Plumlee
10:13.0,,,42-51,,M. Harkless misses 3-pt shot from 25 ft
10:13.0,Defensive rebound by Team,,42-51,,
9:58.0,B. Griffin misses 2-pt shot from 18 ft,,42-51,,
9:57.0,,,42-51,,Defensive rebound by M. Plumlee
9:50.0,,,42-51,,Shooting foul by J. Redick (drawn by M. Harkless)
9:50.0,,,42-51,,M. Harkless misses free throw 1 of 2
9:50.0,,,42-51,,Offensive rebound by Team
9:50.0,,,42-51,,M. Harkless misses free throw 2 of 2
9:49.0,Defensive rebound by B. Griffin,,42-51,,
9:40.0,B. Griffin misses 2-pt shot from 7 ft,,42-51,,
9:39.0,,,42-51,,Defensive rebound by A. Aminu
9:34.0,,,42-51,,A. Aminu misses 2-pt shot from 16 ft
9:33.0,Defensive rebound by B. Griffin,,42-51,,
9:27.0,,,42-51,,Personal foul by M. Harkless
9:19.0,,,42-51,,Personal foul by A. Aminu
9:11.0,C. Paul misses 3-pt shot from 27 ft,,42-51,,
9:10.0,,,42-51,,Defensive rebound by M. Plumlee
9:03.0,,,42-53,2,D. Lillard makes 2-pt shot from 1 ft
8:44.0,J. Redick misses 2-pt shot from 16 ft,,42-53,,
8:43.0,,,42-53,,Defensive rebound by A. Aminu
8:37.0,,,42-53,,C. McCollum misses 3-pt shot from 25 ft
8:36.0,Defensive rebound by D. Jordan,,42-53,,
8:19.0,B. Griffin misses 2-pt shot from 20 ft,,42-53,,
8:19.0,Offensive rebound by D. Jordan,,42-53,,
8:13.0,J. Redick makes 3-pt shot from 26 ft (assist by B. Griffin),3,45-53,,
7:58.0,,,45-53,,Turnover by M. Harkless (lost ball; steal by B. Griffin)
7:38.0,B. Griffin makes 2-pt shot from 5 ft,2,47-53,,
7:37.0,,,47-53,,Portland full timeout
7:20.0,,,47-53,,D. Lillard misses 3-pt shot from 26 ft
7:20.0,,,47-53,,Offensive rebound by M. Plumlee
7:20.0,,,47-55,2,M. Plumlee makes 2-pt shot at rim
6:58.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by C. Paul),2,49-55,,
6:39.0,,,49-55,,A. Aminu misses 3-pt shot from 26 ft
6:38.0,,,49-55,,Offensive rebound by M. Plumlee
6:32.0,,,49-55,,A. Aminu misses 2-pt shot from 4 ft
6:30.0,,,49-55,,Offensive rebound by M. Harkless
6:21.0,Technical foul by C. Paul,,49-55,,
6:21.0,,,49-56,1,D. Lillard makes technical free throw
6:21.0,J. Crawford enters the game for L. Mbah a Moute,,49-56,,
6:12.0,,,49-56,,Turnover by D. Lillard (lost ball; steal by D. Jordan)
6:00.0,J. Crawford makes 2-pt shot from 17 ft,2,51-56,,
5:40.0,,,51-59,3,D. Lillard makes 3-pt shot from 26 ft (assist by C. McCollum)
5:13.0,C. Paul makes 3-pt shot from 26 ft (assist by B. Griffin),3,54-59,,
5:00.0,,,54-59,,Turnover by D. Lillard (bad pass)
5:00.0,J. Green enters the game for J. Redick,,54-59,,
5:00.0,,,54-59,,E. Davis enters the game for A. Aminu
5:00.0,,,54-59,,A. Crabbe enters the game for M. Harkless
4:46.0,C. Paul makes 2-pt shot from 18 ft,2,56-59,,
4:38.0,,,56-59,,C. McCollum misses 2-pt shot from 14 ft
4:36.0,,,56-59,,Offensive rebound by C. McCollum
4:32.0,,,56-59,,D. Lillard misses 2-pt shot from 2 ft
4:30.0,Defensive rebound by B. Griffin,,56-59,,
4:16.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,58-59,,
3:54.0,,,58-61,2,C. McCollum makes 2-pt shot from 18 ft (assist by A. Crabbe)
3:38.0,,,58-61,,Personal foul by D. Lillard
3:38.0,,,58-61,,M. Harkless enters the game for C. McCollum
3:28.0,C. Paul misses 2-pt shot from 19 ft,,58-61,,
3:27.0,Offensive rebound by D. Jordan,,58-61,,
3:27.0,D. Jordan misses 2-pt shot at rim,,58-61,,
3:27.0,Offensive rebound by D. Jordan,,58-61,,
3:27.0,Shooting foul by E. Davis (drawn by D. Jordan),,58-61,,
3:27.0,D. Jordan makes free throw 1 of 2,1,59-61,,
3:27.0,D. Jordan misses free throw 2 of 2,,59-61,,
3:26.0,,,59-61,,Defensive rebound by M. Plumlee
3:14.0,,,59-63,2,M. Harkless makes 2-pt shot from 2 ft (assist by M. Plumlee)
3:09.0,,,59-63,,Personal take foul by E. Davis
3:09.0,D. Jordan makes free throw 1 of 2,1,60-63,,
3:09.0,D. Jordan misses free throw 2 of 2,,60-63,,
3:08.0,,,60-63,,Defensive rebound by M. Plumlee
2:54.0,,,60-65,2,M. Harkless makes 2-pt shot at rim (assist by M. Plumlee)
2:54.0,LA Clippers full timeout,,60-65,,
2:54.0,C. Aldrich enters the game for D. Jordan,,60-65,,
2:47.0,,,60-65,,Personal foul by E. Davis
2:47.0,B. Griffin makes free throw 1 of 2,1,61-65,,
2:47.0,B. Griffin makes free throw 2 of 2,1,62-65,,
2:33.0,,,62-65,,Turnover by M. Plumlee (lost ball; steal by B. Griffin)
2:22.0,J. Crawford misses 2-pt shot from 15 ft,,62-65,,
2:21.0,,,62-65,,Defensive rebound by M. Plumlee
2:15.0,,,62-65,,A. Crabbe misses 3-pt shot from 23 ft
2:13.0,Defensive rebound by C. Aldrich,,62-65,,
2:00.0,C. Aldrich misses 2-pt shot from 8 ft,,62-65,,
1:58.0,,,62-65,,Defensive rebound by M. Plumlee
1:46.0,,,62-67,2,D. Lillard makes 2-pt shot from 13 ft (assist by M. Plumlee)
1:25.0,B. Griffin misses 2-pt shot from 15 ft,,62-67,,
1:24.0,,,62-67,,Defensive rebound by D. Lillard
1:14.0,,,62-67,,E. Davis misses 2-pt shot from 3 ft
1:11.0,,,62-67,,Offensive rebound by M. Harkless
1:11.0,,,62-69,2,M. Harkless makes 2-pt shot from 1 ft
0:58.0,,,62-69,,Personal foul by D. Lillard
0:58.0,C. Paul makes free throw 1 of 2,1,63-69,,
0:58.0,,,63-69,,C. Kaman enters the game for M. Plumlee
0:58.0,,,63-69,,G. Henderson enters the game for M. Harkless
0:58.0,W. Johnson enters the game for B. Griffin,,63-69,,
0:58.0,C. Paul makes free throw 2 of 2,1,64-69,,
0:44.0,Personal foul by C. Aldrich,,64-69,,
0:44.0,A. Rivers enters the game for C. Paul,,64-69,,
0:41.0,,,64-69,,Turnover by C. Kaman (lost ball; steal by C. Aldrich)
0:34.0,J. Crawford makes 2-pt shot from 20 ft,2,66-69,,
0:26.0,Personal take foul by J. Green,,66-69,,
0:26.0,,,66-70,1,E. Davis makes free throw 1 of 2
0:26.0,,,66-70,,A. Aminu enters the game for D. Lillard
0:26.0,,,66-70,,E. Davis misses free throw 2 of 2
0:26.0,Defensive rebound by C. Aldrich,,66-70,,
0:24.0,,,66-70,,Personal foul by C. Kaman
0:24.0,C. Aldrich makes free throw 1 of 2,1,67-70,,
0:24.0,,,67-70,,C. McCollum enters the game for E. Davis
0:24.0,L. Mbah a Moute enters the game for J. Crawford,,67-70,,
0:24.0,,,67-70,,D. Lillard enters the game for A. Aminu
0:24.0,C. Aldrich misses free throw 2 of 2,,67-70,,
0:23.0,,,67-70,,Defensive rebound by A. Crabbe
0:03.0,,,67-70,,C. Kaman misses 2-pt shot from 13 ft
0:03.0,Defensive rebound by C. Aldrich,,67-70,,
0:00.0,W. Johnson misses 3-pt shot from 54 ft,,67-70,,
0:00.0,Offensive rebound by Team,,67-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,67-70,,Turnover by C. McCollum (lost ball; steal by J. Green)
11:23.0,J. Green misses 2-pt shot from 3 ft,,67-70,,
11:22.0,,,67-70,,Defensive rebound by A. Aminu
11:14.0,,,67-70,,C. McCollum misses 2-pt shot from 10 ft
11:14.0,Defensive rebound by C. Aldrich,,67-70,,
11:02.0,J. Crawford misses 2-pt shot from 9 ft,,67-70,,
10:59.0,,,67-70,,Defensive rebound by E. Davis
10:49.0,,,67-70,,G. Henderson misses 2-pt shot from 19 ft
10:48.0,Defensive rebound by A. Rivers,,67-70,,
10:35.0,A. Rivers misses 2-pt shot from 9 ft,,67-70,,
10:32.0,,,67-70,,Defensive rebound by E. Davis
10:24.0,,,67-70,,G. Henderson misses 2-pt shot from 7 ft (block by W. Johnson)
10:22.0,Defensive rebound by W. Johnson,,67-70,,
10:11.0,Turnover by W. Johnson (3 sec),,67-70,,
9:49.0,,,67-70,,C. McCollum misses 3-pt shot from 27 ft
9:48.0,Defensive rebound by Team,,67-70,,
9:33.0,J. Crawford makes 2-pt shot from 17 ft,2,69-70,,
9:13.0,,,69-72,2,C. McCollum makes 2-pt shot from 2 ft
8:59.0,J. Crawford makes 2-pt shot from 17 ft,2,71-72,,
8:48.0,,,71-72,,Shooting foul by C. Aldrich (drawn by E. Davis)
8:48.0,Official timeout,,71-72,,
8:48.0,,,71-72,,D. Lillard enters the game for A. Crabbe
8:48.0,,,71-73,1,E. Davis makes free throw 1 of 2
8:48.0,,,71-73,,E. Davis misses free throw 2 of 2
8:47.0,Defensive rebound by C. Aldrich,,71-73,,
8:38.0,,,71-73,,Personal foul by C. McCollum
8:28.0,J. Crawford misses 2-pt shot from 15 ft,,71-73,,
8:27.0,,,71-73,,Defensive rebound by G. Henderson
8:16.0,,,71-75,2,C. McCollum makes 2-pt shot from 3 ft
7:52.0,,,71-75,,Shooting block foul by E. Davis (drawn by J. Green)
7:52.0,J. Green misses free throw 1 of 2,,71-75,,
7:52.0,Offensive rebound by Team,,71-75,,
7:52.0,B. Griffin enters the game for C. Aldrich,,71-75,,
7:52.0,C. Paul enters the game for W. Johnson,,71-75,,
7:52.0,,,71-75,,M. Harkless enters the game for G. Henderson
7:52.0,J. Green makes free throw 2 of 2,1,72-75,,
7:35.0,,,72-75,,C. McCollum misses 2-pt shot from 7 ft
7:34.0,,,72-75,,Offensive rebound by E. Davis
7:34.0,,,72-77,2,E. Davis makes 2-pt shot from 1 ft
7:14.0,C. Paul makes 2-pt shot from 17 ft,2,74-77,,
6:55.0,,,74-77,,Turnover by D. Lillard (lost ball; steal by J. Green)
6:50.0,J. Green makes 2-pt shot from 1 ft,2,76-77,,
6:30.0,,,76-77,,Turnover by M. Harkless (lost ball; steal by C. Paul)
6:26.0,,,76-77,,Violation by E. Davis (def goaltending)
6:26.0,A. Rivers makes 2-pt shot from 2 ft (assist by J. Crawford),2,78-77,,
6:26.0,,,78-77,,Portland full timeout
6:26.0,,,78-77,,M. Plumlee enters the game for E. Davis
6:08.0,,,78-77,,D. Lillard misses 2-pt shot from 19 ft
6:08.0,,,78-77,,Offensive rebound by M. Harkless
6:00.0,,,78-79,2,D. Lillard makes 2-pt shot from 14 ft
5:39.0,B. Griffin misses 2-pt shot from 15 ft,,78-79,,
5:38.0,,,78-79,,Defensive rebound by M. Plumlee
5:28.0,,,78-81,2,M. Plumlee makes 2-pt shot from 4 ft (assist by D. Lillard)
5:27.0,LA Clippers full timeout,,78-81,,
5:27.0,D. Jordan enters the game for J. Green,,78-81,,
5:27.0,J. Redick enters the game for A. Rivers,,78-81,,
5:10.0,J. Crawford makes 2-pt shot from 17 ft (assist by C. Paul),2,80-81,,
4:44.0,,,80-81,,Turnover by M. Harkless (bad pass)
4:28.0,C. Paul makes 2-pt shot from 15 ft,2,82-81,,
4:13.0,Jump ball: C. McCollum vs. C. Paul (M. Plumlee gains possession),,,,Jump ball: C. McCollum vs. C. Paul (M. Plumlee gains possession)
4:06.0,,,82-81,,D. Lillard misses 3-pt shot from 29 ft
4:05.0,Defensive rebound by D. Jordan,,82-81,,
3:52.0,J. Crawford makes 2-pt shot from 13 ft (assist by C. Paul),2,84-81,,
3:52.0,Shooting foul by M. Harkless (drawn by J. Crawford),,84-81,,
3:52.0,J. Crawford makes free throw 1 of 1,1,85-81,,
3:31.0,,,85-84,3,C. McCollum makes 3-pt shot from 26 ft
3:15.0,B. Griffin misses 3-pt shot from 24 ft,,85-84,,
3:14.0,,,85-84,,Defensive rebound by C. McCollum
3:07.0,,,85-84,,M. Plumlee misses 2-pt shot from 7 ft
3:04.0,Defensive rebound by Team,,85-84,,
