time,Philadelphia,pts.away,score,pts.home,San Antonio
9:18.0,Offensive rebound by J. Okafor,,44-52,,
9:15.0,J. Okafor makes 2-pt shot from 1 ft,2,46-52,,
8:56.0,,,46-52,,Shooting foul by J. Okafor (drawn by T. Duncan)
8:56.0,,,46-53,1,T. Duncan makes free throw 1 of 2
8:56.0,,,46-53,,T. Duncan misses free throw 2 of 2
8:55.0,Defensive rebound by J. Okafor,,46-53,,
8:37.0,T. McConnell makes 2-pt shot from 16 ft (assist by J. Okafor),2,48-53,,
8:13.0,,,48-55,2,T. Parker makes 2-pt shot from 20 ft
7:58.0,,,48-55,,Personal foul by T. Duncan (drawn by J. Okafor)
7:46.0,Turnover by J. Okafor (traveling),,48-55,,
7:27.0,Personal foul by J. Grant (drawn by K. Anderson),,48-55,,
7:27.0,J. Sampson enters the game for J. Grant,,48-55,,
7:19.0,,,48-57,2,T. Parker makes 2-pt shot from 18 ft
7:00.0,Turnover by N. Noel (lost ball; steal by T. Duncan),,48-57,,
6:53.0,,,48-60,3,D. Green makes 3-pt shot from 25 ft (assist by K. Anderson)
6:53.0,Philadelphia full timeout,,48-60,,
6:38.0,J. Sampson misses 2-pt shot from 4 ft (block by T. Duncan),,48-60,,
6:37.0,,,48-60,,Defensive rebound by L. Aldridge
6:32.0,,,48-60,,Turnover by T. Parker (bad pass)
6:32.0,H. Thompson enters the game for N. Noel,,48-60,,
6:32.0,C. Wood enters the game for I. Canaan,,48-60,,
6:09.0,J. Okafor misses 2-pt shot from 15 ft,,48-60,,
6:08.0,,,48-60,,Defensive rebound by K. Anderson
5:55.0,,,48-62,2,T. Duncan makes 2-pt shot from 6 ft (assist by D. Green)
5:32.0,J. Okafor misses 2-pt shot from 1 ft,,48-62,,
5:31.0,Offensive rebound by J. Okafor,,48-62,,
5:31.0,J. Okafor makes 2-pt shot from 1 ft,2,50-62,,
5:12.0,,,50-64,2,L. Aldridge makes 2-pt shot from 6 ft
5:01.0,J. Sampson misses 2-pt shot from 3 ft (block by T. Duncan),,50-64,,
4:59.0,,,50-64,,Defensive rebound by L. Aldridge
4:50.0,,,50-64,,T. Parker misses 2-pt shot from 3 ft
4:50.0,,,50-64,,Offensive rebound by L. Aldridge
4:50.0,,,50-64,,Shooting foul by J. Sampson (drawn by L. Aldridge)
4:50.0,,,50-65,1,L. Aldridge makes free throw 1 of 2
4:50.0,P. Pressey enters the game for T. McConnell,,50-65,,
4:50.0,,,50-65,,D. West enters the game for T. Duncan
4:50.0,,,50-65,,P. Mills enters the game for T. Parker
4:50.0,,,50-65,,R. Butler enters the game for D. Green
4:50.0,,,50-66,1,L. Aldridge makes free throw 2 of 2
4:38.0,C. Wood makes 2-pt shot from 1 ft (assist by P. Pressey),2,52-66,,
4:21.0,,,52-66,,D. West misses 2-pt shot from 19 ft
4:20.0,Defensive rebound by Team,,52-66,,
4:04.0,J. Okafor misses 2-pt shot from 1 ft,,52-66,,
4:03.0,,,52-66,,Defensive rebound by D. West
3:48.0,,,52-66,,L. Aldridge misses 2-pt shot from 4 ft
3:45.0,Defensive rebound by P. Pressey,,52-66,,
3:39.0,H. Thompson misses 3-pt shot from 26 ft,,52-66,,
3:38.0,,,52-66,,Defensive rebound by L. Aldridge
3:30.0,,,52-66,,P. Mills misses 3-pt shot from 24 ft
3:29.0,Defensive rebound by J. Okafor,,52-66,,
3:20.0,J. Sampson makes 3-pt shot from 22 ft,3,55-66,,
2:57.0,,,55-69,3,K. Anderson makes 3-pt shot from 23 ft (assist by L. Aldridge)
2:27.0,P. Pressey misses 2-pt shot from 6 ft,,55-69,,
2:26.0,,,55-69,,Defensive rebound by L. Aldridge
2:07.0,,,55-69,,D. West misses 2-pt shot from 18 ft
2:07.0,,,55-69,,Offensive rebound by L. Aldridge
2:07.0,Personal foul by C. Wood (drawn by L. Aldridge),,55-69,,
2:07.0,,,55-69,,San Antonio full timeout
2:07.0,N. Stauskas enters the game for J. Okafor,,55-69,,
2:07.0,N. Noel enters the game for J. Sampson,,55-69,,
2:07.0,,,55-70,1,L. Aldridge makes free throw 1 of 2
2:07.0,,,55-70,,J. Simmons enters the game for K. Anderson
2:07.0,,,55-71,1,L. Aldridge makes free throw 2 of 2
1:53.0,H. Thompson misses 2-pt shot from 14 ft,,55-71,,
1:52.0,,,55-71,,Defensive rebound by L. Aldridge
1:35.0,,,55-74,3,R. Butler makes 3-pt shot from 24 ft (assist by J. Simmons)
1:22.0,C. Wood makes 3-pt shot from 26 ft,3,58-74,,
1:17.0,,,58-74,,Turnover by P. Mills (lost ball; steal by P. Pressey)
1:12.0,P. Pressey makes 2-pt shot at rim,2,60-74,,
0:53.0,Personal block foul by P. Pressey (drawn by J. Simmons),,60-74,,
0:53.0,,,60-75,1,J. Simmons makes free throw 1 of 2
0:53.0,,,60-75,,B. Diaw enters the game for L. Aldridge
0:53.0,,,60-76,1,J. Simmons makes free throw 2 of 2
0:42.0,C. Wood misses 2-pt shot from 16 ft,,60-76,,
0:41.0,,,60-76,,Defensive rebound by R. Butler
0:31.0,,,60-76,,P. Mills misses 2-pt shot from 20 ft
0:30.0,,,60-76,,Offensive rebound by Team
0:07.0,,,60-76,,D. West misses 2-pt shot from 1 ft
0:06.0,Defensive rebound by C. Wood,,60-76,,
0:01.0,P. Pressey misses 2-pt shot from 17 ft,,60-76,,
0:00.0,,,60-76,,Defensive rebound by J. Simmons
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,N. Noel misses 2-pt shot from 2 ft,,60-76,,
11:41.0,,,60-76,,Defensive rebound by D. West
11:32.0,,,60-78,2,D. West makes 2-pt shot from 1 ft (assist by B. Diaw)
11:10.0,Jump ball: B. Diaw vs. J. Okafor (J. Simmons gains possession),,,,Jump ball: B. Diaw vs. J. Okafor (J. Simmons gains possession)
11:10.0,Turnover by H. Thompson (lost ball; steal by J. Simmons),,60-78,,
10:53.0,,,60-78,,B. Diaw misses 2-pt shot from 15 ft
10:52.0,Defensive rebound by N. Noel,,60-78,,
10:45.0,P. Pressey makes 2-pt shot from 1 ft,2,62-78,,
10:27.0,,,62-78,,R. Butler misses 3-pt shot from 24 ft
10:23.0,,,62-78,,Offensive rebound by J. Simmons
10:19.0,,,62-78,,P. Mills misses 3-pt shot from 25 ft
10:18.0,Defensive rebound by J. Okafor,,62-78,,
10:05.0,H. Thompson makes 3-pt shot from 25 ft (assist by P. Pressey),3,65-78,,
9:49.0,,,65-80,2,D. West makes 2-pt shot from 2 ft (assist by J. Simmons)
9:33.0,P. Pressey makes 2-pt shot from 12 ft (assist by N. Noel),2,67-80,,
9:12.0,,,67-83,3,P. Mills makes 3-pt shot from 24 ft (assist by D. West)
9:12.0,Philadelphia full timeout,,67-83,,
9:12.0,,,67-83,,R. McCallum enters the game for P. Mills
9:12.0,,,67-83,,D. Green enters the game for R. Butler
9:12.0,J. Sampson enters the game for N. Stauskas,,67-83,,
8:52.0,J. Sampson misses 3-pt shot from 26 ft,,67-83,,
8:51.0,,,67-83,,Defensive rebound by R. McCallum
8:45.0,,,67-83,,D. Green misses 3-pt shot from 25 ft
8:44.0,,,67-83,,Offensive rebound by Team
8:44.0,Loose ball foul by J. Sampson (drawn by D. West),,67-83,,
8:30.0,,,67-83,,Turnover by D. West (bad pass)
8:18.0,J. Okafor makes 2-pt shot from 13 ft (assist by P. Pressey),2,69-83,,
8:05.0,,,69-83,,Turnover by B. Diaw (bad pass)
8:05.0,J. Grant enters the game for N. Noel,,69-83,,
