time,New York,pts.away,score,pts.home,Toronto
4:14.0,L. Galloway misses 3-pt shot from 24 ft,,36-47,,
4:13.0,,,36-47,,Defensive rebound by N. Powell
4:12.0,Personal foul by L. Galloway (drawn by K. Lowry),,36-47,,
3:54.0,,,36-50,3,K. Lowry makes 3-pt shot from 25 ft
3:33.0,D. Williams misses 2-pt shot from 14 ft,,36-50,,
3:33.0,,,36-50,,Defensive rebound by J. Valanciunas
3:21.0,,,36-50,,K. Lowry misses 3-pt shot from 25 ft
3:20.0,,,36-50,,Offensive rebound by Team
3:18.0,,,36-50,,C. Joseph enters the game for K. Lowry
3:08.0,,,36-50,,D. DeRozan misses 2-pt shot from 19 ft
3:08.0,Defensive rebound by K. O'Quinn,,36-50,,
2:58.0,A. Afflalo misses 2-pt shot from 4 ft,,36-50,,
2:57.0,,,36-50,,Defensive rebound by L. Scola
2:46.0,,,36-50,,N. Powell misses 2-pt shot from 1 ft
2:44.0,Defensive rebound by D. Williams,,36-50,,
2:39.0,K. O'Quinn makes 2-pt shot from 2 ft (assist by D. Williams),2,38-50,,
2:14.0,New York full timeout,,38-50,,
2:14.0,,,38-50,,J. Johnson enters the game for N. Powell
2:14.0,J. Grant enters the game for L. Thomas,,38-50,,
2:11.0,,,38-50,,J. Valanciunas misses 2-pt shot from 20 ft (block by K. O'Quinn)
2:10.0,Defensive rebound by L. Galloway,,38-50,,
1:53.0,D. Williams misses 3-pt shot from 25 ft,,38-50,,
1:52.0,,,38-50,,Defensive rebound by J. Valanciunas
1:38.0,,,38-50,,D. DeRozan misses 2-pt shot from 1 ft
1:38.0,,,38-50,,Offensive rebound by J. Johnson
1:35.0,,,38-50,,J. Johnson misses 2-pt shot from 2 ft
1:34.0,,,38-50,,Offensive rebound by J. Valanciunas
1:34.0,,,38-50,,J. Valanciunas misses 2-pt shot from 1 ft
1:34.0,,,38-50,,Offensive rebound by J. Valanciunas
1:34.0,,,38-50,,J. Valanciunas misses 2-pt shot from 1 ft
1:33.0,,,38-50,,Offensive rebound by J. Valanciunas
1:33.0,,,38-50,,J. Valanciunas misses 2-pt shot from 2 ft
1:32.0,,,38-50,,Offensive rebound by J. Valanciunas
1:32.0,,,38-50,,Shooting foul by K. O'Quinn (drawn by J. Valanciunas)
1:32.0,,,38-50,,Technical foul by J. Valanciunas
1:32.0,A. Afflalo makes technical free throw,1,39-50,,
1:32.0,,,39-51,1,J. Valanciunas makes free throw 1 of 2
1:32.0,,,39-52,1,J. Valanciunas makes free throw 2 of 2
1:19.0,K. O'Quinn misses 2-pt shot from 14 ft,,39-52,,
1:19.0,,,39-52,,Defensive rebound by L. Scola
0:59.0,,,39-52,,J. Valanciunas misses 2-pt shot from 15 ft
0:58.0,Defensive rebound by K. O'Quinn,,39-52,,
0:50.0,L. Galloway makes 2-pt shot from 1 ft (assist by A. Afflalo),2,41-52,,
0:39.0,,,41-52,,D. DeRozan misses 2-pt shot from 5 ft
0:39.0,Defensive rebound by Team,,41-52,,
0:32.0,,,41-52,,Personal block foul by D. DeRozan (drawn by J. Grant)
0:32.0,J. Grant makes free throw 1 of 2,1,42-52,,
0:32.0,J. Grant makes free throw 2 of 2,1,43-52,,
0:18.0,,,43-52,,J. Valanciunas misses 2-pt shot from 4 ft (block by K. O'Quinn)
0:17.0,,,43-52,,Offensive rebound by J. Valanciunas
0:15.0,,,43-52,,Shooting foul by K. O'Quinn (drawn by J. Johnson)
0:15.0,,,43-52,,J. Johnson misses free throw 1 of 2
0:15.0,,,43-52,,Offensive rebound by Team
0:15.0,,,43-52,,T. Ross enters the game for D. DeRozan
0:15.0,,,43-53,1,J. Johnson makes free throw 2 of 2
0:12.0,New York full timeout,,43-53,,
