time,Boston,pts.away,score,pts.home,Utah
11:43.0,Shooting foul by J. Ingles (drawn by E. Turner),,24-26,,
11:43.0,E. Turner misses free throw 1 of 2,,24-26,,
11:43.0,Offensive rebound by Team,,24-26,,
11:43.0,E. Turner misses free throw 2 of 2,,24-26,,
11:42.0,,,24-26,,Defensive rebound by R. Gobert
11:28.0,,,24-26,,T. Burke misses 2-pt shot from 20 ft
11:28.0,Defensive rebound by A. Bradley,,24-26,,
11:13.0,E. Turner misses 2-pt shot from 3 ft,,24-26,,
11:12.0,Offensive rebound by T. Zeller,,24-26,,
11:12.0,T. Zeller misses 2-pt shot at rim,,24-26,,
11:10.0,Offensive rebound by T. Zeller,,24-26,,
11:06.0,A. Bradley misses 2-pt shot from 14 ft,,24-26,,
11:06.0,,,24-26,,Defensive rebound by R. Gobert
11:06.0,Personal foul by T. Zeller,,24-26,,
10:46.0,,,24-26,,Shooting foul by T. Zeller (drawn by T. Booker)
10:46.0,,,24-26,,T. Booker misses free throw 1 of 2
10:46.0,,,24-26,,Offensive rebound by Team
10:46.0,,,24-26,,T. Booker misses free throw 2 of 2
10:46.0,,,24-26,,Offensive rebound by R. Gobert
10:34.0,,,24-29,3,T. Burke makes 3-pt shot from 25 ft (assist by R. Hood)
10:21.0,M. Smart misses 3-pt shot from 23 ft,,24-29,,
10:20.0,,,24-29,,Defensive rebound by R. Hood
10:10.0,,,24-29,,T. Booker misses 2-pt shot at rim
10:10.0,Defensive rebound by T. Zeller,,24-29,,
9:53.0,Turnover by T. Zeller (lost ball),,24-29,,
9:53.0,,,24-29,,T. Lyles enters the game for T. Booker
9:53.0,,,24-29,,C. Johnson enters the game for J. Ingles
9:50.0,Personal foul by A. Bradley,,24-29,,
9:43.0,,,24-32,3,C. Johnson makes 3-pt shot from 23 ft (assist by T. Burke)
9:16.0,M. Smart makes 3-pt shot from 24 ft,3,27-32,,
8:56.0,,,27-32,,Utah full timeout
8:56.0,A. Johnson enters the game for T. Zeller,,27-32,,
8:50.0,,,27-32,,T. Burke misses 3-pt shot from 24 ft
8:49.0,Defensive rebound by M. Smart,,27-32,,
8:37.0,E. Turner makes 2-pt shot from 17 ft,2,29-32,,
8:24.0,,,29-32,,Turnover by C. Johnson (traveling)
8:24.0,,,29-32,,G. Hayward enters the game for C. Johnson
8:24.0,,,29-32,,J. Ingles enters the game for R. Hood
8:03.0,E. Turner misses 2-pt shot from 2 ft,,29-32,,
8:03.0,,,29-32,,Defensive rebound by R. Gobert
7:47.0,,,29-32,,Shooting foul by J. Jerebko (drawn by R. Gobert)
7:47.0,,,29-32,,R. Gobert misses free throw 1 of 2
7:47.0,,,29-32,,Offensive rebound by Team
7:47.0,,,29-32,,R. Neto enters the game for T. Burke
7:47.0,,,29-32,,R. Gobert misses free throw 2 of 2
7:46.0,Defensive rebound by M. Smart,,29-32,,
7:35.0,A. Bradley misses 2-pt shot from 18 ft,,29-32,,
7:34.0,,,29-32,,Defensive rebound by T. Lyles
7:22.0,Personal foul by M. Smart,,29-32,,
7:22.0,I. Thomas enters the game for E. Turner,,29-32,,
7:22.0,,,29-33,1,J. Ingles makes free throw 1 of 2
7:22.0,,,29-33,,J. Ingles misses free throw 2 of 2
7:21.0,Defensive rebound by A. Bradley,,29-33,,
7:08.0,I. Thomas misses 2-pt shot from 20 ft (block by R. Gobert),,29-33,,
7:07.0,,,29-33,,Defensive rebound by R. Gobert
7:02.0,,,29-35,2,R. Neto makes 2-pt shot from 2 ft (assist by R. Gobert)
6:49.0,M. Smart misses 3-pt shot from 24 ft,,29-35,,
6:49.0,,,29-35,,Defensive rebound by G. Hayward
6:38.0,,,29-35,,G. Hayward misses 2-pt shot from 12 ft
6:38.0,,,29-35,,Offensive rebound by R. Gobert
6:35.0,,,29-35,,Turnover by R. Gobert (lost ball; steal by A. Johnson)
6:32.0,Shooting foul by J. Ingles (drawn by I. Thomas),,29-35,,
6:32.0,I. Thomas makes free throw 1 of 3,1,30-35,,
6:32.0,I. Thomas makes free throw 2 of 3,1,31-35,,
6:32.0,J. Sullinger enters the game for J. Jerebko,,31-35,,
6:32.0,I. Thomas makes free throw 3 of 3,1,32-35,,
6:10.0,,,32-38,3,J. Ingles makes 3-pt shot from 24 ft (assist by T. Lyles)
5:45.0,A. Bradley makes 3-pt shot from 22 ft,3,35-38,,
5:37.0,Personal foul by A. Bradley,,35-38,,
5:37.0,,,35-38,,Utah full timeout
5:37.0,J. Crowder enters the game for M. Smart,,35-38,,
5:37.0,,,35-38,,R. Hood enters the game for J. Ingles
5:37.0,,,35-38,,D. Favors enters the game for R. Gobert
5:37.0,,,35-39,1,G. Hayward makes free throw 1 of 2
5:37.0,,,35-39,,G. Hayward misses free throw 2 of 2
5:37.0,Defensive rebound by J. Sullinger,,35-39,,
5:19.0,Turnover by A. Bradley (lost ball; steal by R. Hood),,35-39,,
5:15.0,,,35-41,2,T. Lyles makes 2-pt shot from 1 ft (assist by R. Neto)
4:58.0,J. Sullinger makes 2-pt shot from 5 ft,2,37-41,,
4:37.0,,,37-43,2,D. Favors makes 2-pt shot from 8 ft
4:19.0,J. Sullinger makes 2-pt shot from 4 ft,2,39-43,,
4:00.0,Def 3 sec tech foul by A. Johnson,,39-43,,
4:00.0,,,39-44,1,G. Hayward makes technical free throw
4:00.0,,,39-44,,R. Gobert enters the game for T. Lyles
3:49.0,,,39-47,3,R. Hood makes 3-pt shot from 25 ft (assist by D. Favors)
3:32.0,J. Sullinger misses 2-pt shot from 2 ft (block by R. Gobert),,39-47,,
3:31.0,Offensive rebound by Team,,39-47,,
3:31.0,,,39-47,,Loose ball foul by R. Hood
3:16.0,A. Johnson misses 2-pt shot from 8 ft,,39-47,,
3:16.0,,,39-47,,Defensive rebound by Team
3:16.0,Personal foul by A. Johnson,,39-47,,
3:16.0,,,39-48,1,R. Gobert makes free throw 1 of 2
3:16.0,E. Turner enters the game for A. Johnson,,39-48,,
3:16.0,,,39-49,1,R. Gobert makes free throw 2 of 2
3:04.0,J. Crowder makes 2-pt shot from 16 ft,2,41-49,,
3:04.0,Shooting foul by D. Favors (drawn by J. Crowder),,41-49,,
3:04.0,J. Crowder makes free throw 1 of 1,1,42-49,,
2:44.0,,,42-49,,Shooting foul by I. Thomas (drawn by R. Hood)
2:44.0,Boston full timeout,,42-49,,
2:44.0,,,42-49,,T. Booker enters the game for D. Favors
2:44.0,,,42-50,1,R. Hood makes free throw 1 of 2
2:44.0,,,42-51,1,R. Hood makes free throw 2 of 2
2:32.0,J. Crowder makes 2-pt shot from 20 ft (assist by I. Thomas),2,44-51,,
2:10.0,,,44-51,,Turnover by R. Gobert (lost ball; steal by J. Sullinger)
2:04.0,I. Thomas misses 2-pt shot from 2 ft (block by R. Hood),,44-51,,
2:03.0,Offensive rebound by A. Bradley,,44-51,,
1:50.0,,,44-51,,Personal foul by R. Hood
1:50.0,J. Crowder makes free throw 1 of 2,1,45-51,,
1:50.0,M. Smart enters the game for A. Bradley,,45-51,,
1:50.0,J. Crowder makes free throw 2 of 2,1,46-51,,
1:26.0,,,46-51,,R. Hood misses 2-pt shot from 17 ft
1:25.0,Defensive rebound by J. Sullinger,,46-51,,
1:07.0,Turnover by J. Sullinger (lost ball; steal by G. Hayward),,46-51,,
1:00.0,,,46-54,3,R. Neto makes 3-pt shot from 24 ft (assist by G. Hayward)
0:46.0,I. Thomas makes 2-pt shot from 2 ft,2,48-54,,
0:46.0,Shooting foul by T. Booker (drawn by I. Thomas),,48-54,,
0:46.0,,,48-54,,C. Johnson enters the game for T. Booker
0:46.0,I. Thomas makes free throw 1 of 1,1,49-54,,
0:37.0,Personal foul by J. Crowder,,49-54,,
0:37.0,,,49-54,,R. Gobert misses free throw 1 of 2
0:37.0,,,49-54,,Offensive rebound by Team
0:37.0,,,49-54,,R. Gobert misses free throw 2 of 2
0:37.0,Defensive rebound by J. Sullinger,,49-54,,
0:23.0,J. Crowder misses 2-pt shot from 6 ft,,49-54,,
0:22.0,,,49-54,,Defensive rebound by R. Neto
0:01.0,,,49-54,,G. Hayward misses 3-pt shot from 24 ft
0:00.0,,,49-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,I. Thomas misses 3-pt shot from 24 ft,,49-54,,
11:48.0,,,49-54,,Defensive rebound by Team
11:31.0,,,49-54,,G. Hayward misses 2-pt shot from 11 ft
11:30.0,Defensive rebound by J. Sullinger,,49-54,,
11:27.0,Shooting foul by R. Neto (drawn by I. Thomas),,49-54,,
11:27.0,I. Thomas makes free throw 1 of 2,1,50-54,,
11:27.0,I. Thomas makes free throw 2 of 2,1,51-54,,
11:05.0,,,51-56,2,G. Hayward makes 2-pt shot from 6 ft
10:45.0,A. Bradley misses 2-pt shot from 17 ft,,51-56,,
10:44.0,Offensive rebound by J. Sullinger,,51-56,,
10:42.0,Turnover by J. Sullinger (lost ball; steal by R. Neto),,51-56,,
10:37.0,Personal foul by I. Thomas,,51-56,,
10:30.0,,,51-56,,R. Hood misses 3-pt shot from 23 ft
10:29.0,Defensive rebound by J. Sullinger,,51-56,,
10:18.0,A. Bradley makes 2-pt shot from 2 ft (assist by J. Sullinger),2,53-56,,
9:57.0,,,53-58,2,D. Favors makes 2-pt shot from 12 ft
9:45.0,J. Crowder misses 2-pt shot from 21 ft,,53-58,,
9:45.0,,,53-58,,Defensive rebound by R. Neto
9:33.0,,,53-60,2,D. Favors makes 2-pt shot from 6 ft (assist by R. Neto)
9:23.0,Turnover by A. Johnson (bad pass),,53-60,,
9:12.0,Personal foul by J. Crowder,,53-60,,
9:05.0,Personal foul by A. Johnson,,53-60,,
9:05.0,Technical foul by A. Johnson,,53-60,,
9:05.0,,,53-61,1,G. Hayward makes technical free throw
9:05.0,T. Zeller enters the game for A. Johnson,,53-61,,
8:52.0,,,53-61,,R. Gobert misses 2-pt shot from 3 ft
8:52.0,Defensive rebound by J. Sullinger,,53-61,,
8:40.0,J. Sullinger misses 2-pt shot from 5 ft (block by D. Favors),,53-61,,
8:39.0,,,53-61,,Defensive rebound by R. Neto
8:33.0,,,53-61,,G. Hayward misses 3-pt shot from 24 ft
8:32.0,Defensive rebound by A. Bradley,,53-61,,
8:17.0,J. Sullinger misses 2-pt shot from 16 ft,,53-61,,
8:17.0,Offensive rebound by T. Zeller,,53-61,,
8:16.0,,,53-61,,Personal foul by R. Neto
8:16.0,,,53-61,,T. Burke enters the game for R. Neto
8:16.0,,,53-61,,T. Booker enters the game for D. Favors
8:12.0,,,53-61,,Personal foul by T. Booker
8:06.0,Shooting foul by R. Gobert (drawn by J. Sullinger),,53-61,,
8:06.0,J. Sullinger makes free throw 1 of 2,1,54-61,,
8:06.0,J. Sullinger misses free throw 2 of 2,,54-61,,
8:06.0,,,54-61,,Defensive rebound by R. Gobert
7:50.0,,,54-61,,T. Burke misses 3-pt shot from 24 ft
7:48.0,Defensive rebound by J. Crowder,,54-61,,
7:37.0,I. Thomas makes 3-pt shot from 23 ft (assist by A. Bradley),3,57-61,,
7:29.0,,,57-64,3,G. Hayward makes 3-pt shot from 23 ft (assist by T. Burke)
7:17.0,I. Thomas makes 3-pt shot from 23 ft (assist by A. Bradley),3,60-64,,
7:17.0,Shooting foul by T. Burke (drawn by I. Thomas),,60-64,,
7:17.0,,,60-64,,D. Favors enters the game for R. Gobert
7:17.0,I. Thomas misses free throw 1 of 1,,60-64,,
7:16.0,,,60-64,,Defensive rebound by D. Favors
6:54.0,,,60-64,,T. Burke misses 3-pt shot from 22 ft
6:53.0,,,60-64,,Offensive rebound by T. Booker
6:52.0,,,60-66,2,T. Booker makes 2-pt shot from 1 ft
6:36.0,I. Thomas misses 3-pt shot from 24 ft,,60-66,,
6:36.0,,,60-66,,Defensive rebound by Team
6:36.0,Loose ball foul by T. Zeller,,60-66,,
6:19.0,,,60-68,2,D. Favors makes 2-pt shot from 2 ft
6:19.0,,,60-68,,Shooting foul by T. Zeller (drawn by D. Favors)
6:19.0,,,60-69,1,D. Favors makes free throw 1 of 1
6:03.0,I. Thomas makes 2-pt shot from 2 ft,2,62-69,,
5:56.0,,,62-69,,T. Burke misses 2-pt shot from 2 ft
5:55.0,,,62-69,,Offensive rebound by T. Booker
5:55.0,,,62-71,2,T. Booker makes 2-pt shot from 1 ft
5:55.0,Boston full timeout,,62-71,,
5:55.0,E. Turner enters the game for J. Sullinger,,62-71,,
5:55.0,M. Smart enters the game for A. Bradley,,62-71,,
5:55.0,,,62-71,,C. Johnson enters the game for R. Hood
5:41.0,J. Crowder misses 3-pt shot from 24 ft,,62-71,,
5:41.0,,,62-71,,Defensive rebound by G. Hayward
5:19.0,,,62-71,,Shooting foul by E. Turner (drawn by G. Hayward)
5:19.0,,,62-72,1,G. Hayward makes free throw 1 of 2
5:19.0,,,62-72,,G. Hayward misses free throw 2 of 2
5:19.0,Defensive rebound by J. Crowder,,62-72,,
5:03.0,M. Smart misses 2-pt shot from 2 ft,,62-72,,
5:03.0,,,62-72,,Defensive rebound by T. Booker
4:50.0,Personal foul by M. Smart,,62-72,,
4:50.0,,,62-72,,G. Hayward misses free throw 1 of 2
4:50.0,,,62-72,,Offensive rebound by Team
4:50.0,,,62-73,1,G. Hayward makes free throw 2 of 2
4:39.0,T. Zeller misses 2-pt shot from 18 ft,,62-73,,
4:39.0,,,62-73,,Defensive rebound by T. Booker
4:24.0,,,62-75,2,G. Hayward makes 2-pt shot at rim (assist by T. Booker)
4:10.0,M. Smart misses 2-pt shot from 4 ft (block by D. Favors),,62-75,,
4:09.0,,,62-75,,Defensive rebound by D. Favors
4:05.0,,,62-77,2,T. Booker makes 2-pt shot at rim (assist by G. Hayward)
3:39.0,I. Thomas misses 2-pt shot from 22 ft,,62-77,,
3:38.0,,,62-77,,Defensive rebound by C. Johnson
3:27.0,,,62-79,2,D. Favors makes 2-pt shot from 1 ft (assist by C. Johnson)
3:27.0,Boston full timeout,,62-79,,
3:27.0,J. Jerebko enters the game for I. Thomas,,62-79,,
3:18.0,,,62-79,,Personal foul by T. Burke
3:18.0,M. Smart misses free throw 1 of 2,,62-79,,
3:18.0,Offensive rebound by Team,,62-79,,
3:18.0,M. Smart makes free throw 2 of 2,1,63-79,,
3:03.0,,,63-79,,D. Favors misses 2-pt shot from 8 ft
3:03.0,,,63-79,,Offensive rebound by C. Johnson
2:49.0,,,63-79,,C. Johnson misses 3-pt shot from 22 ft
2:48.0,Defensive rebound by J. Jerebko,,63-79,,
2:36.0,J. Jerebko makes 2-pt shot from 2 ft (assist by M. Smart),2,65-79,,
2:14.0,,,65-79,,D. Favors misses 2-pt shot from 14 ft
2:14.0,Defensive rebound by Team,,65-79,,
2:14.0,,,65-79,,Loose ball foul by T. Booker
2:14.0,J. Jerebko makes free throw 1 of 2,1,66-79,,
2:14.0,,,66-79,,R. Gobert enters the game for T. Booker
2:14.0,,,66-79,,J. Ingles enters the game for G. Hayward
2:14.0,,,66-79,,R. Hood enters the game for T. Burke
2:14.0,J. Jerebko makes free throw 2 of 2,1,67-79,,
1:54.0,,,67-79,,Shooting foul by M. Smart (drawn by R. Hood)
1:54.0,,,67-80,1,R. Hood makes free throw 1 of 2
1:54.0,,,67-81,1,R. Hood makes free throw 2 of 2
1:45.0,,,67-81,,Personal foul by C. Johnson
1:45.0,M. Smart makes free throw 1 of 2,1,68-81,,
1:45.0,M. Smart misses free throw 2 of 2,,68-81,,
1:44.0,,,68-81,,Defensive rebound by R. Gobert
1:22.0,,,68-81,,J. Ingles misses 3-pt shot from 24 ft
1:21.0,Defensive rebound by J. Jerebko,,68-81,,
1:09.0,J. Jerebko misses 3-pt shot from 25 ft,,68-81,,
1:08.0,,,68-81,,Defensive rebound by C. Johnson
1:01.0,Personal block foul by J. Crowder,,68-81,,
1:01.0,,,68-82,1,R. Hood makes free throw 1 of 2
1:01.0,,,68-82,,R. Hood misses free throw 2 of 2
1:01.0,Defensive rebound by T. Zeller,,68-82,,
0:48.0,Shooting foul by D. Favors (drawn by E. Turner),,68-82,,
0:48.0,E. Turner makes free throw 1 of 2,1,69-82,,
0:48.0,,,69-82,,T. Burke enters the game for C. Johnson
0:48.0,E. Turner makes free throw 2 of 2,1,70-82,,
0:31.0,,,70-82,,D. Favors misses 2-pt shot from 9 ft
0:31.0,,,70-82,,Offensive rebound by Team
0:31.0,Loose ball foul by J. Jerebko,,70-82,,
0:31.0,,,70-83,1,R. Gobert makes free throw 1 of 2
0:31.0,,,70-83,,C. Johnson enters the game for T. Burke
0:31.0,,,70-83,,T. Booker enters the game for D. Favors
0:31.0,,,70-83,,R. Gobert misses free throw 2 of 2
0:31.0,,,70-83,,Offensive rebound by J. Ingles
0:10.0,,,70-83,,R. Hood misses 3-pt shot from 24 ft
0:09.0,Defensive rebound by M. Smart,,70-83,,
0:04.0,Shooting foul by R. Hood (drawn by M. Smart),,70-83,,
0:04.0,M. Smart makes free throw 1 of 2,1,71-83,,
0:04.0,,,71-83,,T. Burke enters the game for C. Johnson
0:04.0,M. Smart makes free throw 2 of 2,1,72-83,,
0:01.0,,,72-83,,T. Burke misses 3-pt shot from 24 ft
0:00.0,,,72-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,72-83,,R. Hood misses 2-pt shot from 7 ft
11:38.0,Defensive rebound by J. Sullinger,,72-83,,
11:20.0,A. Bradley makes 2-pt shot from 3 ft,2,74-83,,
11:02.0,,,74-83,,Turnover by T. Burke (bad pass)
10:45.0,A. Bradley misses 3-pt shot from 24 ft,,74-83,,
10:44.0,Offensive rebound by J. Sullinger,,74-83,,
10:41.0,J. Sullinger makes 2-pt shot from 4 ft,2,76-83,,
10:24.0,Personal foul by J. Jerebko,,76-83,,
10:24.0,,,76-83,,R. Neto enters the game for T. Burke
10:24.0,,,76-83,,G. Hayward enters the game for J. Ingles
10:13.0,,,76-83,,G. Hayward misses 2-pt shot from 20 ft
10:10.0,,,76-83,,Offensive rebound by R. Gobert
10:10.0,,,76-85,2,R. Gobert makes 2-pt shot from 1 ft
9:53.0,J. Sullinger misses 2-pt shot from 9 ft,,76-85,,
9:53.0,,,76-85,,Defensive rebound by T. Booker
9:30.0,,,76-85,,Turnover by Team (shot clock)
9:30.0,,,76-85,,D. Favors enters the game for T. Booker
9:18.0,J. Jerebko misses 2-pt shot from 2 ft (block by R. Gobert),,76-85,,
9:17.0,,,76-85,,Defensive rebound by D. Favors
9:04.0,,,76-87,2,G. Hayward makes 2-pt shot from 15 ft
8:57.0,Shooting foul by R. Gobert (drawn by M. Smart),,76-87,,
8:57.0,Boston full timeout,,76-87,,
8:57.0,,,76-87,,C. Johnson enters the game for R. Hood
8:57.0,M. Smart makes free throw 1 of 2,1,77-87,,
8:57.0,M. Smart misses free throw 2 of 2,,77-87,,
8:57.0,,,77-87,,Defensive rebound by Team
8:57.0,Loose ball foul by J. Sullinger,,77-87,,
8:42.0,,,77-89,2,D. Favors makes 2-pt shot at rim (assist by G. Hayward)
8:14.0,J. Sullinger misses 3-pt shot from 26 ft,,77-89,,
8:13.0,,,77-89,,Defensive rebound by R. Gobert
8:06.0,J. Crowder enters the game for J. Jerebko,,77-89,,
8:05.0,,,77-89,,Shooting foul by E. Turner (drawn by G. Hayward)
8:05.0,,,77-89,,G. Hayward misses free throw 1 of 2
8:05.0,,,77-89,,Offensive rebound by Team
8:05.0,I. Thomas enters the game for E. Turner,,77-89,,
8:05.0,,,77-90,1,G. Hayward makes free throw 2 of 2
7:46.0,I. Thomas makes 2-pt shot from 3 ft (assist by J. Sullinger),2,79-90,,
7:28.0,,,79-90,,Shooting foul by M. Smart (drawn by G. Hayward)
7:28.0,,,79-90,,G. Hayward misses free throw 1 of 2
7:28.0,,,79-90,,Offensive rebound by Team
7:28.0,,,79-91,1,G. Hayward makes free throw 2 of 2
7:18.0,I. Thomas makes 2-pt shot from 2 ft (assist by J. Crowder),2,81-91,,
7:03.0,,,81-93,2,G. Hayward makes 2-pt shot from 10 ft
7:03.0,,,81-93,,Shooting foul by M. Smart (drawn by G. Hayward)
7:03.0,E. Turner enters the game for M. Smart,,81-93,,
7:03.0,,,81-94,1,G. Hayward makes free throw 1 of 1
6:49.0,I. Thomas misses 2-pt shot from 6 ft,,81-94,,
6:48.0,,,81-94,,Defensive rebound by R. Gobert
6:36.0,,,81-94,,Turnover by R. Neto (lost ball; steal by I. Thomas)
6:27.0,A. Bradley misses 3-pt shot from 23 ft,,81-94,,
6:26.0,,,81-94,,Defensive rebound by D. Favors
