time,Portland,pts.away,score,pts.home,Minnesota
10:42.0,A. Aminu makes 2-pt shot from 1 ft (assist by C. McCollum),2,25-34,,
10:20.0,,,25-34,,Z. LaVine misses 2-pt shot from 18 ft (block by C. McCollum)
10:18.0,,,25-34,,Offensive rebound by N. Bjelica
10:16.0,,,25-34,,N. Bjelica misses 3-pt shot from 25 ft
10:14.0,Defensive rebound by E. Davis,,25-34,,
10:04.0,A. Aminu makes 3-pt shot from 23 ft (assist by A. Crabbe),3,28-34,,
9:48.0,,,28-34,,Shooting foul by N. Vonleh (drawn by Z. LaVine)
9:48.0,,,28-35,1,Z. LaVine makes free throw 1 of 2
9:48.0,,,28-36,1,Z. LaVine makes free throw 2 of 2
9:28.0,A. Crabbe misses 3-pt shot from 24 ft,,28-36,,
9:27.0,,,28-36,,Defensive rebound by S. Muhammad
9:16.0,,,28-38,2,S. Muhammad makes 2-pt shot from 1 ft (assist by G. Dieng)
9:00.0,A. Aminu makes 3-pt shot from 25 ft,3,31-38,,
8:44.0,,,31-38,,Turnover by K. Martin (traveling)
8:44.0,Portland full timeout,,31-38,,
8:27.0,Turnover by C. McCollum (bad pass; steal by S. Muhammad),,31-38,,
8:26.0,Clear path foul by A. Aminu,,31-38,,
8:26.0,,,31-39,1,S. Muhammad makes clear path free throw 1 of 2
8:26.0,,,31-40,1,S. Muhammad makes clear path free throw 2 of 2
8:19.0,Personal foul by N. Vonleh (drawn by N. Bjelica),,31-40,,
8:12.0,,,31-40,,S. Muhammad misses 2-pt shot from 7 ft
8:11.0,,,31-40,,Offensive rebound by N. Bjelica
8:07.0,,,31-40,,S. Muhammad misses 2-pt shot from 1 ft
8:06.0,Defensive rebound by A. Aminu,,31-40,,
8:01.0,A. Aminu misses 2-pt shot at rim,,31-40,,
7:59.0,,,31-40,,Defensive rebound by G. Dieng
7:47.0,,,31-42,2,S. Muhammad makes 2-pt shot from 2 ft (assist by Z. LaVine)
7:33.0,,,31-42,,Personal foul by K. Martin (drawn by C. McCollum)
7:27.0,A. Crabbe misses 2-pt shot from 15 ft,,31-42,,
7:26.0,,,31-42,,Defensive rebound by S. Muhammad
7:07.0,,,31-44,2,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine)
6:50.0,N. Vonleh makes 2-pt shot at rim (assist by C. McCollum),2,33-44,,
6:35.0,,,33-44,,Turnover by N. Bjelica (traveling)
6:35.0,D. Lillard enters the game for A. Crabbe,,33-44,,
6:18.0,N. Vonleh misses 2-pt shot from 13 ft,,33-44,,
6:16.0,Offensive rebound by E. Davis,,33-44,,
6:10.0,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard),3,36-44,,
6:01.0,,,36-44,,Minnesota full timeout
6:01.0,,,36-44,,R. Rubio enters the game for Z. LaVine
6:01.0,M. Plumlee enters the game for E. Davis,,36-44,,
6:01.0,,,36-44,,K. Towns enters the game for G. Dieng
6:01.0,M. Leonard enters the game for N. Vonleh,,36-44,,
6:01.0,,,36-44,,A. Wiggins enters the game for K. Martin
6:01.0,,,36-44,,T. Prince enters the game for S. Muhammad
5:50.0,,,36-44,,Turnover by A. Wiggins (lost ball; steal by D. Lillard)
5:46.0,D. Lillard makes 2-pt shot at rim,2,38-44,,
5:25.0,,,38-44,,A. Wiggins misses 2-pt shot from 1 ft (block by M. Plumlee)
5:23.0,,,38-44,,Offensive rebound by N. Bjelica
5:21.0,,,38-44,,N. Bjelica misses 3-pt shot from 25 ft
5:18.0,,,38-44,,Offensive rebound by A. Wiggins
5:18.0,,,38-46,2,A. Wiggins makes 2-pt shot at rim
5:05.0,Offensive foul by M. Plumlee,,38-46,,
5:05.0,Turnover by M. Plumlee (offensive foul),,38-46,,
5:05.0,,,38-46,,K. Garnett enters the game for N. Bjelica
4:46.0,,,38-46,,Shooting foul by M. Leonard (drawn by A. Wiggins)
4:46.0,,,38-46,,A. Wiggins misses free throw 1 of 2
4:46.0,,,38-46,,Offensive rebound by Team
4:46.0,,,38-47,1,A. Wiggins makes free throw 2 of 2
4:36.0,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Lillard),2,40-47,,
4:19.0,,,40-49,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
4:00.0,A. Aminu makes 2-pt shot from 16 ft (assist by D. Lillard),2,42-49,,
3:45.0,,,42-49,,K. Towns misses 2-pt shot from 18 ft
3:44.0,Defensive rebound by A. Aminu,,42-49,,
3:37.0,Shooting foul by R. Rubio (drawn by D. Lillard),,42-49,,
3:37.0,D. Lillard makes free throw 1 of 2,1,43-49,,
3:37.0,D. Lillard makes free throw 2 of 2,1,44-49,,
3:19.0,,,44-49,,A. Wiggins misses 2-pt shot from 17 ft
3:18.0,Defensive rebound by M. Leonard,,44-49,,
3:08.0,D. Lillard misses 3-pt shot from 23 ft (block by K. Towns),,44-49,,
3:08.0,Offensive rebound by Team,,44-49,,
2:54.0,M. Plumlee makes 2-pt shot from 6 ft,2,46-49,,
2:38.0,,,46-49,,Shooting foul by D. Lillard (drawn by R. Rubio)
2:38.0,Portland full timeout,,46-49,,
2:38.0,,,46-50,1,R. Rubio makes free throw 1 of 2
2:38.0,,,46-51,1,R. Rubio makes free throw 2 of 2
2:23.0,M. Leonard misses 3-pt shot from 24 ft,,46-51,,
2:22.0,,,46-51,,Defensive rebound by K. Towns
2:04.0,Personal foul by A. Aminu (drawn by A. Wiggins),,46-51,,
2:04.0,,,46-52,1,A. Wiggins makes free throw 1 of 2
2:04.0,M. Harkless enters the game for A. Aminu,,46-52,,
2:04.0,,,46-53,1,A. Wiggins makes free throw 2 of 2
1:47.0,M. Harkless makes 2-pt shot from 6 ft,2,48-53,,
1:47.0,Shooting foul by K. Towns (drawn by M. Harkless),,48-53,,
1:47.0,,,48-53,,K. Martin enters the game for A. Wiggins
1:47.0,M. Harkless makes free throw 1 of 1,1,49-53,,
1:36.0,,,49-53,,T. Prince misses 2-pt shot from 1 ft
1:34.0,Defensive rebound by M. Harkless,,49-53,,
1:25.0,C. McCollum makes 2-pt shot from 22 ft,2,51-53,,
1:12.0,,,51-53,,Offensive foul by K. Towns
1:12.0,,,51-53,,Turnover by K. Towns (offensive foul)
1:12.0,,,51-53,,G. Dieng enters the game for K. Towns
0:53.0,C. McCollum misses 2-pt shot from 22 ft,,51-53,,
0:51.0,,,51-53,,Defensive rebound by R. Rubio
0:41.0,,,51-53,,R. Rubio misses 2-pt shot from 18 ft (block by D. Lillard)
0:39.0,Defensive rebound by M. Plumlee,,51-53,,
0:28.0,C. McCollum makes 2-pt shot from 6 ft,2,53-53,,
0:06.0,,,53-53,,G. Dieng misses 2-pt shot from 16 ft
0:05.0,Defensive rebound by M. Harkless,,53-53,,
0:01.0,M. Harkless misses 2-pt shot from 5 ft,,53-53,,
0:00.0,Offensive rebound by Team,,53-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,A. Aminu misses 2-pt shot from 14 ft,,53-53,,
11:39.0,,,53-53,,Defensive rebound by R. Rubio
11:27.0,,,53-53,,K. Towns misses 2-pt shot from 19 ft
11:26.0,,,53-53,,Offensive rebound by Team
11:17.0,,,53-53,,A. Wiggins misses 2-pt shot from 17 ft
11:16.0,Defensive rebound by A. Aminu,,53-53,,
11:09.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,55-53,,
10:53.0,,,55-53,,Offensive foul by R. Rubio
10:53.0,,,55-53,,Turnover by R. Rubio (offensive foul)
10:32.0,C. McCollum makes 2-pt shot from 11 ft,2,57-53,,
10:10.0,,,57-53,,A. Wiggins misses 2-pt shot from 20 ft
10:09.0,,,57-53,,Offensive rebound by Team
10:08.0,,,57-53,,N. Bjelica enters the game for K. Garnett
9:56.0,,,57-53,,T. Prince misses 2-pt shot from 1 ft
9:55.0,Defensive rebound by A. Aminu,,57-53,,
9:48.0,C. McCollum makes 3-pt shot from 24 ft (assist by M. Leonard),3,60-53,,
9:47.0,,,60-53,,Minnesota full timeout
9:28.0,,,60-55,2,A. Wiggins makes 2-pt shot from 3 ft
9:12.0,D. Lillard makes 2-pt shot at rim (assist by M. Plumlee),2,62-55,,
8:45.0,,,62-57,2,N. Bjelica makes 2-pt shot from 17 ft (assist by A. Wiggins)
8:26.0,A. Aminu makes 2-pt shot from 1 ft,2,64-57,,
8:10.0,,,64-59,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
8:00.0,D. Lillard misses 2-pt shot from 8 ft,,64-59,,
7:59.0,Offensive rebound by D. Lillard,,64-59,,
7:56.0,M. Leonard misses 3-pt shot from 24 ft,,64-59,,
7:55.0,,,64-59,,Defensive rebound by R. Rubio
7:42.0,,,64-59,,R. Rubio misses 3-pt shot from 24 ft
7:41.0,Defensive rebound by C. McCollum,,64-59,,
7:35.0,C. McCollum misses 3-pt shot from 24 ft,,64-59,,
7:34.0,,,64-59,,Defensive rebound by K. Towns
7:28.0,,,64-59,,Shooting foul by M. Leonard (drawn by R. Rubio)
7:28.0,,,64-60,1,R. Rubio makes free throw 1 of 2
7:28.0,,,64-60,,K. Martin enters the game for T. Prince
7:28.0,,,64-61,1,R. Rubio makes free throw 2 of 2
7:12.0,D. Lillard makes 3-pt shot from 24 ft (assist by M. Plumlee),3,67-61,,
6:55.0,,,67-63,2,K. Towns makes 2-pt shot from 4 ft (assist by R. Rubio)
6:38.0,Turnover by M. Plumlee (bad pass; steal by R. Rubio),,67-63,,
6:33.0,,,67-63,,K. Martin misses 3-pt shot from 24 ft
6:31.0,Defensive rebound by M. Leonard,,67-63,,
6:26.0,A. Aminu makes 2-pt shot at rim (assist by C. McCollum),2,69-63,,
5:57.0,,,69-63,,R. Rubio misses 3-pt shot from 25 ft
5:56.0,Defensive rebound by M. Leonard,,69-63,,
5:46.0,D. Lillard misses 2-pt shot from 1 ft (block by K. Towns),,69-63,,
5:44.0,,,69-63,,Defensive rebound by A. Wiggins
5:36.0,,,69-63,,A. Wiggins misses 2-pt shot from 1 ft
5:35.0,,,69-63,,Offensive rebound by A. Wiggins
5:34.0,,,69-63,,A. Wiggins misses 2-pt shot from 3 ft
5:33.0,,,69-63,,Offensive rebound by A. Wiggins
5:32.0,,,69-63,,A. Wiggins misses 2-pt shot from 2 ft (block by M. Leonard)
5:30.0,Defensive rebound by C. McCollum,,69-63,,
5:21.0,M. Leonard misses 3-pt shot from 23 ft,,69-63,,
5:20.0,,,69-63,,Defensive rebound by A. Wiggins
5:09.0,,,69-63,,Shooting foul by A. Aminu (drawn by K. Martin)
5:09.0,,,69-63,,K. Martin misses free throw 1 of 2
5:09.0,,,69-63,,Offensive rebound by Team
5:09.0,,,69-63,,S. Muhammad enters the game for A. Wiggins
5:09.0,A. Crabbe enters the game for C. McCollum,,69-63,,
5:09.0,M. Harkless enters the game for A. Aminu,,69-63,,
5:09.0,,,69-64,1,K. Martin makes free throw 2 of 2
4:49.0,Turnover by M. Leonard (bad pass; steal by R. Rubio),,69-64,,
4:44.0,,,69-64,,Shooting foul by M. Leonard (drawn by S. Muhammad)
4:44.0,,,69-65,1,S. Muhammad makes free throw 1 of 2
4:44.0,E. Davis enters the game for M. Plumlee,,69-65,,
4:44.0,,,69-65,,G. Dieng enters the game for K. Towns
4:44.0,,,69-65,,S. Muhammad misses free throw 2 of 2
4:44.0,Defensive rebound by M. Leonard,,69-65,,
4:35.0,D. Lillard misses 2-pt shot from 15 ft,,69-65,,
4:33.0,,,69-65,,Defensive rebound by R. Rubio
4:26.0,,,69-67,2,N. Bjelica makes 2-pt shot from 1 ft (assist by R. Rubio)
4:03.0,E. Davis misses 2-pt shot from 1 ft,,69-67,,
4:02.0,,,69-67,,Defensive rebound by N. Bjelica
3:54.0,,,69-67,,R. Rubio misses 2-pt shot from 20 ft
3:53.0,Defensive rebound by E. Davis,,69-67,,
3:48.0,,,69-67,,Personal block foul by R. Rubio (drawn by D. Lillard)
3:48.0,,,69-67,,Z. LaVine enters the game for R. Rubio
3:48.0,N. Vonleh enters the game for M. Leonard,,69-67,,
3:43.0,D. Lillard makes 2-pt shot from 19 ft,2,71-67,,
3:43.0,Shooting foul by Z. LaVine (drawn by D. Lillard),,71-67,,
3:43.0,D. Lillard misses free throw 1 of 1,,71-67,,
3:41.0,,,71-67,,Defensive rebound by G. Dieng
3:26.0,,,71-69,2,K. Martin makes 2-pt shot from 17 ft
3:08.0,D. Lillard makes 3-pt shot from 25 ft (assist by M. Harkless),3,74-69,,
2:54.0,,,74-69,,K. Martin misses 2-pt shot from 17 ft
2:53.0,Defensive rebound by M. Harkless,,74-69,,
2:44.0,,,74-69,,Personal foul by K. Martin (drawn by A. Crabbe)
2:44.0,Portland full timeout,,74-69,,
2:44.0,,,74-69,,Violation by Team (delay of game)
2:35.0,Shooting foul by G. Dieng (drawn by N. Vonleh),,74-69,,
2:35.0,N. Vonleh makes free throw 1 of 2,1,75-69,,
2:35.0,N. Vonleh misses free throw 2 of 2,,75-69,,
2:35.0,,,75-69,,Defensive rebound by K. Martin
2:22.0,,,75-71,2,G. Dieng makes 2-pt shot from 2 ft (assist by Z. LaVine)
2:01.0,E. Davis makes 2-pt shot at rim (assist by D. Lillard),2,77-71,,
1:49.0,,,77-73,2,Z. LaVine makes 2-pt shot from 2 ft
1:37.0,,,77-73,,Personal foul by G. Dieng (drawn by E. Davis)
1:37.0,E. Davis misses free throw 1 of 2,,77-73,,
1:37.0,Offensive rebound by Team,,77-73,,
1:37.0,E. Davis makes free throw 2 of 2,1,78-73,,
1:27.0,Personal foul by D. Lillard (drawn by Z. LaVine),,78-73,,
1:27.0,Violation by Team (delay of game),,78-73,,
1:17.0,,,78-73,,G. Dieng misses 2-pt shot from 7 ft
1:13.0,,,78-73,,Offensive rebound by G. Dieng
1:13.0,,,78-75,2,G. Dieng makes 2-pt shot at rim
0:58.0,E. Davis misses 2-pt shot from 1 ft,,78-75,,
0:56.0,Offensive rebound by E. Davis,,78-75,,
0:53.0,D. Lillard makes 3-pt shot from 24 ft (assist by E. Davis),3,81-75,,
0:43.0,Personal foul by E. Davis (drawn by Z. LaVine),,81-75,,
0:43.0,,,81-76,1,Z. LaVine makes free throw 1 of 2
0:43.0,,,81-77,1,Z. LaVine makes free throw 2 of 2
0:33.0,D. Lillard makes 2-pt shot from 18 ft,2,83-77,,
0:26.0,,,83-80,3,K. Martin makes 3-pt shot from 24 ft (assist by Z. LaVine)
0:04.0,D. Lillard misses 2-pt shot from 22 ft,,83-80,,
0:03.0,,,83-80,,Defensive rebound by N. Bjelica
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,83-80,,Turnover by K. Martin (traveling)
11:27.0,Turnover by N. Vonleh (lost ball; steal by N. Bjelica),,83-80,,
11:22.0,Violation by N. Vonleh (def goaltending),,83-80,,
11:22.0,,,83-82,2,K. Martin makes 2-pt shot from 1 ft
10:59.0,C. McCollum misses 2-pt shot from 18 ft,,83-82,,
10:58.0,,,83-82,,Defensive rebound by N. Bjelica
10:53.0,,,83-82,,Shooting foul by N. Vonleh (drawn by K. Martin)
10:53.0,,,83-82,,K. Martin misses free throw 1 of 2
10:53.0,,,83-82,,Offensive rebound by Team
10:53.0,,,83-83,1,K. Martin makes free throw 2 of 2
10:40.0,C. McCollum misses 2-pt shot from 5 ft,,83-83,,
10:39.0,Offensive rebound by Team,,83-83,,
10:39.0,,,83-83,,Loose ball foul by S. Muhammad (drawn by N. Vonleh)
10:21.0,A. Crabbe misses 2-pt shot from 17 ft,,83-83,,
10:20.0,Offensive rebound by M. Harkless,,83-83,,
10:18.0,M. Harkless makes 2-pt shot at rim,2,85-83,,
10:00.0,,,85-83,,Z. LaVine misses 2-pt shot from 13 ft
9:59.0,Defensive rebound by E. Davis,,85-83,,
9:47.0,M. Harkless misses 2-pt shot from 2 ft,,85-83,,
9:46.0,,,85-83,,Defensive rebound by S. Muhammad
9:41.0,,,85-85,2,Z. LaVine makes 2-pt shot at rim
9:26.0,,,85-85,,Personal block foul by N. Bjelica (drawn by C. McCollum)
9:20.0,C. McCollum misses 3-pt shot from 24 ft,,85-85,,
9:19.0,Offensive rebound by E. Davis,,85-85,,
9:17.0,Shooting foul by N. Bjelica (drawn by E. Davis),,85-85,,
9:17.0,E. Davis makes free throw 1 of 2,1,86-85,,
9:17.0,E. Davis makes free throw 2 of 2,1,87-85,,
9:08.0,,,87-87,2,G. Dieng makes 2-pt shot from 17 ft (assist by Z. LaVine)
8:53.0,Turnover by A. Crabbe (lost ball),,87-87,,
8:53.0,,,87-87,,Minnesota full timeout
8:53.0,A. Aminu enters the game for M. Harkless,,87-87,,
8:41.0,,,87-87,,S. Muhammad misses 2-pt shot from 5 ft
8:40.0,Defensive rebound by E. Davis,,87-87,,
8:25.0,A. Crabbe makes 3-pt shot from 24 ft (assist by C. McCollum),3,90-87,,
8:16.0,,,90-87,,Z. LaVine misses 2-pt shot from 2 ft
8:15.0,Defensive rebound by E. Davis,,90-87,,
8:08.0,C. McCollum misses 2-pt shot from 17 ft,,90-87,,
8:07.0,Offensive rebound by E. Davis,,90-87,,
8:07.0,E. Davis makes 2-pt shot from 1 ft,2,92-87,,
8:07.0,,,92-87,,Minnesota full timeout
8:07.0,,,92-87,,R. Rubio enters the game for Z. LaVine
8:07.0,,,92-87,,K. Towns enters the game for G. Dieng
8:07.0,,,92-87,,A. Wiggins enters the game for S. Muhammad
7:58.0,,,92-87,,K. Martin misses 2-pt shot from 3 ft (block by E. Davis)
7:54.0,Defensive rebound by C. McCollum,,92-87,,
7:49.0,C. McCollum misses 2-pt shot from 16 ft,,92-87,,
7:48.0,,,92-87,,Defensive rebound by A. Wiggins
7:33.0,,,92-87,,Offensive foul by K. Towns
7:33.0,,,92-87,,Turnover by K. Towns (offensive foul)
7:22.0,Offensive foul by C. McCollum,,92-87,,
7:22.0,Turnover by C. McCollum (offensive foul),,92-87,,
7:22.0,D. Lillard enters the game for A. Crabbe,,92-87,,
7:09.0,,,92-87,,Shooting foul by E. Davis (drawn by A. Wiggins)
7:09.0,,,92-88,1,A. Wiggins makes free throw 1 of 2
7:09.0,,,92-88,,K. Garnett enters the game for N. Bjelica
7:09.0,M. Plumlee enters the game for E. Davis,,92-88,,
7:09.0,,,92-89,1,A. Wiggins makes free throw 2 of 2
7:01.0,,,92-89,,Personal foul by K. Martin (drawn by A. Aminu)
6:50.0,D. Lillard misses 3-pt shot from 25 ft,,92-89,,
6:49.0,Offensive rebound by A. Aminu,,92-89,,
6:43.0,N. Vonleh misses 3-pt shot from 23 ft,,92-89,,
6:41.0,,,92-89,,Defensive rebound by K. Towns
6:30.0,,,92-89,,A. Wiggins misses 3-pt shot from 22 ft
6:28.0,Defensive rebound by N. Vonleh,,92-89,,
6:28.0,,,92-89,,Personal foul by R. Rubio (drawn by N. Vonleh)
6:28.0,N. Vonleh makes free throw 1 of 2,1,93-89,,
6:28.0,N. Vonleh makes free throw 2 of 2,1,94-89,,
6:12.0,,,94-89,,K. Garnett misses 2-pt shot from 13 ft
6:11.0,Defensive rebound by N. Vonleh,,94-89,,
6:04.0,,,94-89,,Violation by K. Towns (kicked ball)
5:59.0,C. McCollum makes 2-pt shot from 17 ft,2,96-89,,
5:47.0,,,96-89,,R. Rubio misses 2-pt shot from 19 ft
