time,Phoenix,pts.away,score,pts.home,Portland
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,B. Knight misses 2-pt shot from 19 ft,,56-48,,
11:47.0,,,56-48,,Defensive rebound by A. Aminu
11:30.0,,,56-48,,A. Aminu misses 2-pt shot from 20 ft
11:30.0,,,56-48,,Offensive rebound by Team
11:30.0,Loose ball foul by M. Morris (drawn by M. Plumlee),,56-48,,
11:30.0,J. Leuer enters the game for M. Morris,,56-48,,
11:22.0,,,56-50,2,D. Lillard makes 2-pt shot from 1 ft
11:07.0,E. Bledsoe misses 3-pt shot from 24 ft,,56-50,,
11:06.0,,,56-50,,Defensive rebound by M. Plumlee
11:02.0,,,56-50,,Turnover by D. Lillard (bad pass; steal by E. Bledsoe)
10:59.0,Turnover by E. Bledsoe (lost ball; steal by D. Lillard),,56-50,,
10:46.0,,,56-52,2,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum)
10:24.0,T. Chandler misses 2-pt shot at rim,,56-52,,
10:23.0,,,56-52,,Defensive rebound by A. Aminu
10:16.0,,,56-52,,M. Harkless misses 3-pt shot from 22 ft
10:16.0,Defensive rebound by T. Chandler,,56-52,,
10:09.0,,,56-52,,Personal foul by C. McCollum (drawn by E. Bledsoe)
9:53.0,B. Knight misses 3-pt shot from 24 ft,,56-52,,
9:53.0,,,56-52,,Defensive rebound by D. Lillard
9:49.0,,,56-54,2,C. McCollum makes 2-pt shot from 1 ft (assist by D. Lillard)
9:49.0,Phoenix full timeout,,56-54,,
9:35.0,E. Bledsoe misses 2-pt shot from 21 ft,,56-54,,
9:34.0,,,56-54,,Defensive rebound by A. Aminu
9:27.0,,,56-54,,Turnover by A. Aminu (bad pass; steal by B. Knight)
9:24.0,Shooting foul by C. McCollum (drawn by E. Bledsoe),,56-54,,
9:24.0,E. Bledsoe misses free throw 1 of 2,,56-54,,
9:24.0,Offensive rebound by Team,,56-54,,
9:24.0,E. Bledsoe makes free throw 2 of 2,1,57-54,,
9:06.0,,,57-56,2,M. Plumlee makes 2-pt shot from 8 ft (assist by A. Aminu)
8:56.0,J. Leuer misses 3-pt shot from 24 ft,,57-56,,
8:53.0,Offensive rebound by T. Chandler,,57-56,,
8:44.0,B. Knight misses 2-pt shot from 11 ft,,57-56,,
8:43.0,,,57-56,,Defensive rebound by M. Plumlee
8:33.0,,,57-58,2,D. Lillard makes 2-pt shot from 1 ft
8:20.0,,,57-58,,Personal foul by D. Lillard (drawn by E. Bledsoe)
8:20.0,T. Warren enters the game for P. Tucker,,57-58,,
8:14.0,E. Bledsoe misses 2-pt shot from 20 ft,,57-58,,
8:14.0,,,57-58,,Defensive rebound by M. Plumlee
8:04.0,,,57-58,,D. Lillard misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by T. Warren,,57-58,,
8:00.0,Turnover by E. Bledsoe (lost ball; steal by D. Lillard),,57-58,,
7:55.0,,,57-58,,C. McCollum misses 3-pt shot from 25 ft
7:54.0,Defensive rebound by B. Knight,,57-58,,
7:46.0,Turnover by B. Knight (bad pass; steal by M. Harkless),,57-58,,
7:33.0,,,57-58,,Turnover by M. Plumlee (bad pass)
7:21.0,J. Leuer misses 2-pt shot from 7 ft,,57-58,,
7:20.0,,,57-58,,Defensive rebound by C. McCollum
7:14.0,,,57-58,,C. McCollum misses 2-pt shot from 1 ft
7:13.0,,,57-58,,Offensive rebound by M. Harkless
7:13.0,,,57-58,,M. Harkless misses 2-pt shot from 1 ft
7:13.0,,,57-58,,Offensive rebound by M. Harkless
7:13.0,Personal foul by J. Leuer (drawn by M. Harkless),,57-58,,
7:05.0,,,57-61,3,M. Harkless makes 3-pt shot from 24 ft (assist by M. Plumlee)
6:50.0,T. Warren misses 3-pt shot from 22 ft,,57-61,,
6:49.0,Offensive rebound by Team,,57-61,,
6:49.0,M. Morris enters the game for T. Chandler,,57-61,,
6:46.0,B. Knight misses 3-pt shot from 23 ft,,57-61,,
6:45.0,,,57-61,,Defensive rebound by A. Aminu
6:42.0,,,57-61,,Offensive charge foul by A. Aminu
6:42.0,,,57-61,,Turnover by A. Aminu (offensive foul)
6:42.0,,,57-61,,E. Davis enters the game for M. Plumlee
6:27.0,B. Knight makes 3-pt shot from 24 ft (assist by J. Leuer),3,60-61,,
6:13.0,,,60-61,,Shooting foul by T. Warren (drawn by M. Harkless)
6:13.0,,,60-61,,M. Harkless misses free throw 1 of 2
6:13.0,,,60-61,,Offensive rebound by Team
6:13.0,,,60-61,,A. Crabbe enters the game for C. McCollum
6:13.0,,,60-61,,M. Harkless misses free throw 2 of 2
6:12.0,Defensive rebound by M. Morris,,60-61,,
5:52.0,Turnover by M. Morris (lost ball; steal by E. Davis),,60-61,,
5:46.0,Shooting block foul by J. Leuer (drawn by A. Crabbe),,60-61,,
5:46.0,,,60-62,1,A. Crabbe makes free throw 1 of 2
5:46.0,,,60-62,,M. Leonard enters the game for M. Harkless
5:46.0,,,60-63,1,A. Crabbe makes free throw 2 of 2
5:41.0,,,60-63,,Personal foul by A. Crabbe (drawn by B. Knight)
5:22.0,B. Knight makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,63-63,,
5:04.0,,,63-63,,Turnover by D. Lillard (bad pass; steal by E. Bledsoe)
5:00.0,E. Bledsoe makes 2-pt shot at rim (assist by B. Knight),2,65-63,,
4:31.0,,,65-65,2,A. Crabbe makes 2-pt shot from 20 ft (assist by D. Lillard)
4:20.0,Offensive foul by M. Morris,,65-65,,
4:20.0,Turnover by M. Morris (offensive foul),,65-65,,
4:20.0,A. Len enters the game for M. Morris,,65-65,,
4:09.0,,,65-65,,D. Lillard misses 3-pt shot from 25 ft
4:08.0,Defensive rebound by J. Leuer,,65-65,,
3:49.0,E. Bledsoe makes 3-pt shot from 26 ft,3,68-65,,
3:33.0,,,68-65,,D. Lillard misses 2-pt shot from 2 ft (block by E. Bledsoe)
3:33.0,Jump ball: E. Bledsoe vs. D. Lillard (J. Leuer gains possession),,,,Jump ball: E. Bledsoe vs. D. Lillard (J. Leuer gains possession)
3:33.0,Defensive rebound by Team,,68-65,,
3:25.0,Turnover by A. Len (lost ball),,68-65,,
3:25.0,R. Price enters the game for E. Bledsoe,,68-65,,
3:13.0,,,68-65,,D. Lillard misses 3-pt shot from 25 ft
3:13.0,Defensive rebound by B. Knight,,68-65,,
2:57.0,R. Price misses 2-pt shot from 18 ft,,68-65,,
2:56.0,,,68-65,,Defensive rebound by A. Aminu
2:51.0,,,68-67,2,M. Leonard makes 2-pt shot at rim (assist by A. Aminu)
2:30.0,J. Leuer misses 2-pt shot from 21 ft,,68-67,,
2:30.0,,,68-67,,Defensive rebound by Team
2:30.0,Loose ball foul by A. Len (drawn by E. Davis),,68-67,,
2:30.0,,,68-67,,Portland full timeout
2:30.0,,,68-67,,C. McCollum enters the game for D. Lillard
2:30.0,,,68-67,,E. Davis misses free throw 1 of 2
2:30.0,,,68-67,,Offensive rebound by Team
2:30.0,,,68-67,,E. Davis misses free throw 2 of 2
2:29.0,Defensive rebound by J. Leuer,,68-67,,
2:09.0,R. Price makes 2-pt shot from 14 ft,2,70-67,,
2:09.0,Shooting foul by A. Crabbe (drawn by R. Price),,70-67,,
2:09.0,,,70-67,,M. Harkless enters the game for A. Aminu
2:09.0,R. Price makes free throw 1 of 1,1,71-67,,
1:58.0,,,71-67,,A. Crabbe misses 3-pt shot from 24 ft
1:57.0,,,71-67,,Offensive rebound by E. Davis
1:57.0,,,71-67,,Shooting foul by T. Warren (drawn by E. Davis)
1:57.0,,,71-68,1,E. Davis makes free throw 1 of 2
1:57.0,,,71-68,,E. Davis misses free throw 2 of 2
1:55.0,Defensive rebound by J. Leuer,,71-68,,
1:37.0,Turnover by A. Len (lost ball),,71-68,,
1:37.0,,,71-68,,T. Frazier enters the game for A. Crabbe
1:19.0,,,71-68,,Turnover by T. Frazier (dbl dribble)
1:02.0,A. Len misses 2-pt shot at rim,,71-68,,
1:01.0,Offensive rebound by A. Len,,71-68,,
1:01.0,A. Len misses 2-pt shot at rim,,71-68,,
1:00.0,Offensive rebound by A. Len,,71-68,,
0:59.0,A. Len misses 2-pt shot at rim,,71-68,,
0:58.0,,,71-68,,Defensive rebound by E. Davis
0:49.0,,,71-70,2,C. McCollum makes 2-pt shot from 2 ft
0:42.0,B. Knight makes 3-pt shot from 23 ft,3,74-70,,
0:31.0,,,74-70,,C. McCollum misses 2-pt shot from 4 ft
0:31.0,Defensive rebound by J. Leuer,,74-70,,
0:26.0,B. Knight misses 3-pt shot from 24 ft,,74-70,,
0:25.0,Offensive rebound by Team,,74-70,,
0:03.0,B. Knight misses 2-pt shot from 22 ft,,74-70,,
0:02.0,,,74-70,,Defensive rebound by C. McCollum
0:00.0,,,74-70,,Shooting foul by B. Knight (drawn by M. Leonard)
0:00.0,,,74-71,1,M. Leonard makes free throw 1 of 2
0:00.0,,,74-71,,M. Leonard misses free throw 2 of 2
0:00.0,,,74-71,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,74-73,2,M. Harkless makes 2-pt shot from 2 ft
11:20.0,E. Bledsoe misses 2-pt shot from 9 ft,,74-73,,
11:20.0,,,74-73,,Defensive rebound by Team
10:56.0,,,74-73,,M. Harkless misses 3-pt shot from 23 ft
10:56.0,Defensive rebound by T. Chandler,,74-73,,
10:42.0,T. Warren misses 2-pt shot from 19 ft,,74-73,,
10:40.0,,,74-73,,Defensive rebound by T. Frazier
10:30.0,,,74-75,2,C. McCollum makes 2-pt shot from 16 ft
10:15.0,,,74-75,,Personal foul by T. Frazier (drawn by P. Tucker)
10:15.0,M. Teletovic enters the game for T. Warren,,74-75,,
10:10.0,E. Bledsoe makes 2-pt shot from 2 ft,2,76-75,,
9:56.0,,,76-75,,M. Leonard misses 2-pt shot from 18 ft
9:55.0,Defensive rebound by T. Chandler,,76-75,,
9:43.0,P. Tucker misses 3-pt shot from 22 ft,,76-75,,
9:43.0,,,76-75,,Defensive rebound by E. Davis
9:36.0,,,76-75,,T. Frazier misses 2-pt shot from 1 ft (block by T. Chandler)
9:35.0,,,76-75,,Offensive rebound by T. Frazier
9:29.0,,,76-75,,M. Leonard misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by T. Chandler,,76-75,,
9:19.0,R. Price makes 2-pt shot from 2 ft,2,78-75,,
8:57.0,,,78-75,,M. Harkless misses 3-pt shot from 24 ft
8:56.0,,,78-75,,Offensive rebound by E. Davis
8:42.0,,,78-75,,E. Davis misses 2-pt shot from 5 ft
8:41.0,Defensive rebound by R. Price,,78-75,,
8:35.0,M. Teletovic misses 3-pt shot from 23 ft,,78-75,,
8:34.0,,,78-75,,Defensive rebound by Team
8:34.0,Official timeout,,78-75,,
8:34.0,,,78-75,,D. Lillard enters the game for C. McCollum
8:34.0,,,78-75,,A. Aminu enters the game for T. Frazier
8:19.0,,,78-77,2,M. Leonard makes 2-pt shot from 19 ft (assist by D. Lillard)
7:57.0,M. Teletovic misses 3-pt shot from 25 ft,,78-77,,
7:57.0,,,78-77,,Defensive rebound by E. Davis
7:45.0,,,78-79,2,M. Leonard makes 2-pt shot from 17 ft (assist by D. Lillard)
7:30.0,E. Bledsoe misses 2-pt shot from 20 ft,,78-79,,
7:29.0,,,78-79,,Defensive rebound by E. Davis
7:19.0,,,78-79,,D. Lillard misses 3-pt shot from 25 ft
7:18.0,Defensive rebound by T. Chandler,,78-79,,
7:09.0,E. Bledsoe makes 2-pt shot from 6 ft,2,80-79,,
6:47.0,,,80-81,2,A. Aminu makes 2-pt shot from 16 ft
6:36.0,E. Bledsoe makes 2-pt shot from 17 ft,2,82-81,,
6:17.0,,,82-81,,A. Aminu misses 3-pt shot from 25 ft
6:16.0,,,82-81,,Offensive rebound by M. Harkless
6:13.0,,,82-81,,M. Harkless misses 2-pt shot from 1 ft
6:12.0,Defensive rebound by E. Bledsoe,,82-81,,
6:12.0,Phoenix full timeout,,82-81,,
6:12.0,,,82-81,,M. Plumlee enters the game for E. Davis
6:12.0,,,82-81,,A. Crabbe enters the game for M. Harkless
6:12.0,M. Morris enters the game for M. Teletovic,,82-81,,
6:12.0,B. Knight enters the game for R. Price,,82-81,,
5:51.0,E. Bledsoe misses 3-pt shot from 24 ft,,82-81,,
5:49.0,Offensive rebound by T. Chandler,,82-81,,
5:30.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by B. Knight),2,84-81,,
5:13.0,,,84-81,,D. Lillard misses 2-pt shot from 4 ft (block by E. Bledsoe)
5:12.0,,,84-81,,Offensive rebound by M. Plumlee
5:10.0,,,84-81,,A. Crabbe misses 3-pt shot from 22 ft
5:10.0,Defensive rebound by Team,,84-81,,
5:10.0,,,84-81,,Loose ball foul by M. Plumlee (drawn by P. Tucker)
5:10.0,,,84-81,,C. McCollum enters the game for M. Leonard
4:54.0,B. Knight makes 2-pt shot from 20 ft,2,86-81,,
4:34.0,,,86-81,,D. Lillard misses 3-pt shot from 25 ft
4:32.0,Defensive rebound by P. Tucker,,86-81,,
4:20.0,B. Knight makes 2-pt shot from 2 ft,2,88-81,,
4:20.0,,,88-81,,Portland full timeout
