time,Cleveland,pts.away,score,pts.home,Sacramento
4:41.0,L. James makes 2-pt shot from 15 ft,2,18-14,,
4:30.0,,,18-14,,Shooting foul by I. Shumpert (drawn by D. Cousins)
4:30.0,,,18-15,1,D. Cousins makes free throw 1 of 2
4:30.0,,,18-15,,J. Anderson enters the game for R. Gay
4:30.0,,,18-15,,O. Casspi enters the game for D. Collison
4:30.0,,,18-16,1,D. Cousins makes free throw 2 of 2
4:18.0,,,18-16,,Personal foul by J. Anderson
4:18.0,M. Dellavedova enters the game for K. Irving,,18-16,,
4:04.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by I. Shumpert),3,21-16,,
3:50.0,,,21-16,,R. Rondo misses 2-pt shot from 21 ft
3:48.0,,,21-16,,Offensive rebound by D. Cousins
3:48.0,,,21-18,2,D. Cousins makes 2-pt shot from 2 ft
3:35.0,K. Love misses 2-pt shot from 10 ft,,21-18,,
3:32.0,Offensive rebound by T. Thompson,,21-18,,
3:31.0,T. Thompson makes 2-pt shot from 4 ft,2,23-18,,
3:13.0,,,23-20,2,D. Cousins makes 2-pt shot from 20 ft (assist by R. Rondo)
2:53.0,,,23-20,,Personal foul by W. Cauley-Stein
2:53.0,,,23-20,,Sacramento full timeout
2:47.0,M. Dellavedova misses 2-pt shot from 9 ft,,23-20,,
2:46.0,Offensive rebound by T. Thompson,,23-20,,
2:46.0,T. Thompson misses 2-pt shot at rim,,23-20,,
2:46.0,,,23-20,,Defensive rebound by Team
2:43.0,Jump ball: D. Cousins vs. T. Thompson (R. Rondo gains possession),,,,Jump ball: D. Cousins vs. T. Thompson (R. Rondo gains possession)
2:27.0,,,23-20,,Turnover by O. Casspi (lost ball; steal by K. Love)
2:19.0,L. James misses 2-pt shot from 15 ft,,23-20,,
2:18.0,,,23-20,,Defensive rebound by O. Casspi
2:07.0,,,23-20,,D. Cousins misses 3-pt shot from 24 ft
2:07.0,Defensive rebound by K. Love,,23-20,,
1:48.0,K. Love makes 2-pt shot from 10 ft,2,25-20,,
1:35.0,,,25-22,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by D. Cousins)
1:14.0,I. Shumpert misses 2-pt shot from 7 ft,,25-22,,
1:14.0,Offensive rebound by T. Thompson,,25-22,,
1:13.0,Shooting foul by O. Casspi (drawn by T. Thompson),,25-22,,
1:13.0,T. Thompson makes free throw 1 of 2,1,26-22,,
1:13.0,J. Smith enters the game for L. James,,26-22,,
1:13.0,R. Jefferson enters the game for K. Love,,26-22,,
1:13.0,,,26-22,,K. Koufos enters the game for D. Cousins
1:13.0,T. Thompson misses free throw 2 of 2,,26-22,,
1:12.0,,,26-22,,Defensive rebound by K. Koufos
0:59.0,,,26-22,,J. Anderson misses 3-pt shot from 24 ft
0:59.0,Defensive rebound by R. Jefferson,,26-22,,
0:42.0,T. Thompson makes 2-pt shot from 4 ft (assist by R. Jefferson),2,28-22,,
0:34.0,,,28-25,3,R. Rondo makes 3-pt shot from 24 ft
0:18.0,M. Dellavedova misses 3-pt shot from 24 ft,,28-25,,
0:17.0,,,28-25,,Defensive rebound by W. Cauley-Stein
0:02.0,,,28-25,,R. Rondo misses 2-pt shot from 8 ft
0:02.0,Defensive rebound by I. Shumpert,,28-25,,
0:00.0,I. Shumpert misses 3-pt shot from 51 ft,,28-25,,
0:00.0,Offensive rebound by Team,,28-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,28-25,,R. Gay misses 2-pt shot from 20 ft
11:44.0,Defensive rebound by C. Frye,,28-25,,
11:31.0,J. Smith misses 3-pt shot from 25 ft,,28-25,,
11:30.0,,,28-25,,Defensive rebound by K. Koufos
11:17.0,,,28-25,,Shooting foul by C. Frye (drawn by K. Koufos)
11:17.0,,,28-25,,K. Koufos misses free throw 1 of 2
11:17.0,,,28-25,,Offensive rebound by Team
11:17.0,K. Irving enters the game for M. Dellavedova,,28-25,,
11:17.0,,,28-26,1,K. Koufos makes free throw 2 of 2
10:55.0,C. Frye makes 3-pt shot from 24 ft (assist by K. Irving),3,31-26,,
10:40.0,,,31-28,2,R. Gay makes 2-pt shot from 2 ft
10:25.0,R. Jefferson misses 3-pt shot from 23 ft,,31-28,,
10:25.0,,,31-28,,Defensive rebound by R. Gay
10:07.0,,,31-31,3,R. Gay makes 3-pt shot from 24 ft
9:59.0,,,31-31,,Personal foul by D. Collison
9:48.0,Turnover by K. Irving (lost ball; steal by K. Koufos),,31-31,,
9:38.0,,,31-33,2,D. Collison makes 2-pt shot from 3 ft
9:33.0,Cleveland full timeout,,31-33,,
9:21.0,K. Irving misses 3-pt shot from 22 ft,,31-33,,
9:19.0,,,31-33,,Defensive rebound by D. Collison
9:11.0,,,31-35,2,K. Koufos makes 2-pt shot from 8 ft (assist by D. Collison)
8:56.0,Shooting foul by K. Koufos (drawn by I. Shumpert),,31-35,,
8:56.0,I. Shumpert misses free throw 1 of 2,,31-35,,
8:56.0,Offensive rebound by Team,,31-35,,
8:56.0,,,31-35,,C. Butler enters the game for K. Koufos
8:56.0,I. Shumpert makes free throw 2 of 2,1,32-35,,
8:32.0,,,32-38,3,R. Gay makes 3-pt shot from 22 ft (assist by C. Butler)
8:23.0,K. Irving makes 2-pt shot from 3 ft,2,34-38,,
8:23.0,Shooting foul by W. Cauley-Stein (drawn by K. Irving),,34-38,,
8:23.0,K. Irving makes free throw 1 of 1,1,35-38,,
8:05.0,,,35-40,2,C. Butler makes 2-pt shot from 20 ft (assist by R. Gay)
7:53.0,Shooting foul by W. Cauley-Stein (drawn by K. Irving),,35-40,,
7:53.0,K. Irving makes 2-pt shot from 2 ft,2,37-40,,
7:53.0,T. Thompson enters the game for C. Frye,,37-40,,
7:53.0,,,37-40,,D. Cousins enters the game for W. Cauley-Stein
7:53.0,K. Irving makes free throw 1 of 1,1,38-40,,
7:39.0,,,38-42,2,O. Casspi makes 2-pt shot from 1 ft
7:29.0,J. Smith misses 2-pt shot from 2 ft,,38-42,,
7:27.0,,,38-42,,Defensive rebound by R. Gay
7:19.0,,,38-42,,O. Casspi misses 3-pt shot from 24 ft
7:19.0,Defensive rebound by Team,,38-42,,
7:19.0,M. Dellavedova enters the game for I. Shumpert,,38-42,,
6:56.0,R. Jefferson misses 3-pt shot from 24 ft,,38-42,,
6:55.0,,,38-42,,Defensive rebound by D. Cousins
6:45.0,,,38-42,,Shooting foul by R. Jefferson (drawn by C. Butler)
6:45.0,,,38-43,1,C. Butler makes free throw 1 of 2
6:45.0,L. James enters the game for R. Jefferson,,38-43,,
6:45.0,,,38-44,1,C. Butler makes free throw 2 of 2
6:26.0,J. Smith misses 3-pt shot from 25 ft,,38-44,,
6:25.0,,,38-44,,Defensive rebound by D. Cousins
6:16.0,Violation by T. Thompson (def goaltending),,38-44,,
6:16.0,,,38-46,2,O. Casspi makes 2-pt shot from 8 ft (assist by D. Collison)
5:58.0,J. Smith makes 2-pt shot from 2 ft,2,40-46,,
5:48.0,Personal foul by J. Smith,,40-46,,
5:48.0,Official timeout,,40-46,,
5:48.0,K. Love enters the game for K. Irving,,40-46,,
5:48.0,,,40-46,,R. Rondo enters the game for O. Casspi
5:36.0,,,40-46,,D. Collison misses 2-pt shot from 11 ft
5:36.0,Defensive rebound by T. Thompson,,40-46,,
5:13.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,43-46,,
4:56.0,Personal foul by M. Dellavedova,,43-46,,
4:47.0,,,43-46,,Shooting foul by K. Love (drawn by R. Gay)
4:47.0,,,43-47,1,R. Gay makes free throw 1 of 2
4:47.0,,,43-48,1,R. Gay makes free throw 2 of 2
4:33.0,K. Love misses 3-pt shot from 24 ft,,43-48,,
4:32.0,Offensive rebound by K. Love,,43-48,,
4:23.0,J. Smith makes 2-pt shot from 10 ft (assist by K. Love),2,45-48,,
4:06.0,,,45-48,,D. Cousins misses 2-pt shot from 1 ft
4:05.0,Defensive rebound by K. Love,,45-48,,
4:03.0,Shooting foul by C. Butler (drawn by L. James),,45-48,,
4:03.0,L. James makes free throw 1 of 2,1,46-48,,
4:03.0,L. James makes free throw 2 of 2,1,47-48,,
3:40.0,,,47-51,3,C. Butler makes 3-pt shot from 24 ft (assist by D. Collison)
3:40.0,,,47-51,,Shooting foul by J. Smith (drawn by C. Butler)
3:40.0,K. Irving enters the game for J. Smith,,47-51,,
3:40.0,,,47-51,,C. Butler misses free throw 1 of 1
3:40.0,Defensive rebound by K. Love,,47-51,,
3:26.0,M. Dellavedova misses 3-pt shot from 25 ft,,47-51,,
3:25.0,,,47-51,,Defensive rebound by D. Collison
3:19.0,,,47-51,,R. Gay misses 2-pt shot from 3 ft
3:18.0,Defensive rebound by T. Thompson,,47-51,,
3:12.0,L. James misses 2-pt shot from 4 ft,,47-51,,
3:12.0,,,47-51,,Defensive rebound by Team
2:54.0,,,47-51,,C. Butler misses 2-pt shot from 20 ft
2:54.0,Defensive rebound by L. James,,47-51,,
2:39.0,,,47-51,,Personal foul by C. Butler
2:39.0,,,47-51,,Sacramento full timeout
2:39.0,,,47-51,,Q. Acy enters the game for C. Butler
2:39.0,K. Love makes free throw 1 of 2,1,48-51,,
2:39.0,K. Love makes free throw 2 of 2,1,49-51,,
2:25.0,,,49-53,2,R. Rondo makes 2-pt shot from 2 ft
2:10.0,Shooting foul by Q. Acy (drawn by K. Irving),,49-53,,
2:10.0,K. Irving makes free throw 1 of 2,1,50-53,,
2:10.0,K. Irving misses free throw 2 of 2,,50-53,,
2:09.0,,,50-53,,Defensive rebound by D. Cousins
1:55.0,Personal foul by M. Dellavedova,,50-53,,
1:55.0,,,50-54,1,D. Cousins makes free throw 1 of 2
1:55.0,,,50-55,1,D. Cousins makes free throw 2 of 2
1:38.0,K. Love misses 3-pt shot from 23 ft,,50-55,,
1:37.0,,,50-55,,Defensive rebound by Q. Acy
1:28.0,,,50-57,2,D. Collison makes 2-pt shot from 2 ft (assist by R. Rondo)
1:00.0,K. Irving misses 3-pt shot from 23 ft,,50-57,,
1:00.0,,,50-57,,Defensive rebound by R. Rondo
0:53.0,,,50-60,3,D. Collison makes 3-pt shot from 23 ft (assist by R. Gay)
0:39.0,Shooting foul by D. Cousins (drawn by L. James),,50-60,,
0:39.0,L. James misses free throw 1 of 2,,50-60,,
0:39.0,Offensive rebound by Team,,50-60,,
0:39.0,I. Shumpert enters the game for M. Dellavedova,,50-60,,
0:39.0,L. James makes free throw 2 of 2,1,51-60,,
0:29.0,,,51-60,,D. Cousins misses 3-pt shot from 24 ft
0:29.0,Defensive rebound by I. Shumpert,,51-60,,
0:10.0,I. Shumpert makes 3-pt shot from 24 ft (assist by L. James),3,54-60,,
0:05.0,,,54-60,,Turnover by D. Cousins (offensive foul)
0:05.0,,,54-60,,Offensive foul by D. Cousins
0:05.0,M. Dellavedova enters the game for T. Thompson,,54-60,,
0:05.0,,,54-60,,J. Anderson enters the game for D. Cousins
0:01.0,Turnover by L. James (lost ball),,54-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,54-62,2,Q. Acy makes 2-pt shot at rim
11:21.0,Turnover by L. James (lost ball; steal by R. Gay),,54-62,,
11:07.0,,,54-65,3,D. Collison makes 3-pt shot from 23 ft (assist by R. Rondo)
11:07.0,Cleveland full timeout,,54-65,,
10:52.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,57-65,,
10:35.0,,,57-65,,D. Collison misses 2-pt shot from 2 ft
10:34.0,Defensive rebound by K. Love,,57-65,,
10:18.0,L. James misses 2-pt shot from 21 ft,,57-65,,
10:17.0,,,57-65,,Defensive rebound by Q. Acy
9:54.0,,,57-65,,D. Cousins misses 3-pt shot from 24 ft
9:53.0,Defensive rebound by L. James,,57-65,,
9:40.0,K. Irving misses 3-pt shot from 26 ft,,57-65,,
9:39.0,Offensive rebound by J. Smith,,57-65,,
9:35.0,J. Smith makes 3-pt shot from 25 ft,3,60-65,,
9:17.0,,,60-65,,Turnover by R. Gay (bad pass)
9:08.0,Turnover by L. James (lost ball; steal by D. Cousins),,60-65,,
9:05.0,Personal foul by T. Thompson,,60-65,,
8:53.0,,,60-65,,D. Cousins misses 2-pt shot from 2 ft
8:52.0,Defensive rebound by T. Thompson,,60-65,,
8:50.0,Shooting foul by R. Gay (drawn by L. James),,60-65,,
8:50.0,L. James makes free throw 1 of 2,1,61-65,,
8:50.0,L. James makes free throw 2 of 2,1,62-65,,
8:35.0,,,62-65,,D. Cousins misses 2-pt shot from 2 ft
8:35.0,,,62-65,,Offensive rebound by Team
8:35.0,Inbound foul by J. Smith,,62-65,,
8:35.0,,,62-65,,D. Cousins misses free throw 1 of 2
8:35.0,,,62-65,,Offensive rebound by Team
8:35.0,,,62-66,1,D. Cousins makes free throw 2 of 2
8:24.0,J. Smith misses 3-pt shot from 24 ft,,62-66,,
8:24.0,,,62-66,,Defensive rebound by D. Cousins
8:19.0,,,62-66,,Turnover by D. Cousins (lost ball; steal by T. Thompson)
8:14.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,64-66,,
8:12.0,,,64-66,,Sacramento full timeout
8:02.0,Shooting block foul by J. Smith (drawn by D. Cousins),,64-66,,
8:02.0,,,64-66,,D. Cousins misses free throw 1 of 2
8:02.0,,,64-66,,Offensive rebound by Team
8:02.0,,,64-67,1,D. Cousins makes free throw 2 of 2
7:50.0,Turnover by L. James (traveling),,64-67,,
7:34.0,,,64-67,,Q. Acy misses 3-pt shot from 23 ft
7:34.0,,,64-67,,Offensive rebound by Team
7:34.0,Loose ball foul by K. Love,,64-67,,
7:34.0,M. Dellavedova enters the game for J. Smith,,64-67,,
7:17.0,,,64-67,,D. Cousins misses 2-pt shot from 2 ft
7:17.0,,,64-67,,Offensive rebound by D. Cousins
7:17.0,,,64-67,,D. Cousins misses 2-pt shot from 2 ft
7:17.0,,,64-67,,Offensive rebound by Team
7:16.0,,,64-67,,Shooting foul by T. Thompson (drawn by D. Cousins)
7:16.0,,,64-67,,D. Cousins misses free throw 1 of 2
7:16.0,,,64-67,,Offensive rebound by Team
7:16.0,,,64-68,1,D. Cousins makes free throw 2 of 2
7:06.0,K. Irving misses 2-pt shot from 15 ft,,64-68,,
7:05.0,,,64-68,,Defensive rebound by Q. Acy
6:58.0,,,64-68,,Turnover by D. Collison (lost ball; steal by K. Love)
6:51.0,L. James misses 3-pt shot from 23 ft,,64-68,,
6:49.0,Offensive rebound by T. Thompson,,64-68,,
6:47.0,Turnover by T. Thompson (lost ball; steal by D. Collison),,64-68,,
6:40.0,,,64-68,,R. Rondo misses 3-pt shot from 25 ft
6:39.0,Defensive rebound by K. Love,,64-68,,
6:39.0,,,64-68,,Loose ball foul by D. Cousins
6:16.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by K. Irving),3,67-68,,
5:52.0,,,67-70,2,D. Cousins makes 2-pt shot from 17 ft (assist by R. Rondo)
5:45.0,K. Irving makes 2-pt shot from 2 ft (assist by L. James),2,69-70,,
5:30.0,,,69-72,2,D. Cousins makes 2-pt shot from 1 ft (assist by D. Collison)
5:20.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,71-72,,
5:05.0,,,71-74,2,D. Cousins makes 2-pt shot from 8 ft
4:54.0,L. James makes 2-pt shot from 2 ft,2,73-74,,
4:31.0,,,73-74,,D. Collison misses 2-pt shot from 2 ft
4:29.0,Defensive rebound by K. Love,,73-74,,
4:28.0,L. James makes 2-pt shot from 7 ft,2,75-74,,
4:28.0,Shooting foul by Q. Acy (drawn by L. James),,75-74,,
4:28.0,,,75-74,,W. Cauley-Stein enters the game for R. Gay
4:28.0,,,75-74,,J. Anderson enters the game for Q. Acy
4:28.0,,,75-74,,O. Casspi enters the game for D. Collison
4:28.0,L. James makes free throw 1 of 1,1,76-74,,
4:09.0,,,76-76,2,R. Rondo makes 2-pt shot from 8 ft
3:54.0,Turnover by K. Love (traveling),,76-76,,
3:29.0,,,76-76,,R. Rondo misses 3-pt shot from 26 ft
3:29.0,,,76-76,,Offensive rebound by Team
3:29.0,,,76-76,,Turnover by Team (shot clock)
3:29.0,,,76-76,,K. Koufos enters the game for D. Cousins
3:18.0,L. James misses 2-pt shot from 6 ft,,76-76,,
3:17.0,Offensive rebound by T. Thompson,,76-76,,
3:17.0,T. Thompson makes 2-pt shot from 2 ft,2,78-76,,
3:17.0,Shooting foul by W. Cauley-Stein (drawn by T. Thompson),,78-76,,
3:17.0,T. Thompson makes free throw 1 of 1,1,79-76,,
2:58.0,,,79-76,,R. Rondo misses 2-pt shot from 4 ft (block by K. Love)
2:56.0,Defensive rebound by K. Irving,,79-76,,
2:54.0,L. James makes 2-pt shot from 1 ft (assist by K. Irving),2,81-76,,
2:53.0,,,81-76,,Sacramento full timeout
2:53.0,,,81-76,,R. Gay enters the game for W. Cauley-Stein
2:53.0,C. Frye enters the game for T. Thompson,,81-76,,
2:39.0,,,81-78,2,R. Gay makes 2-pt shot from 14 ft (assist by R. Rondo)
2:22.0,K. Irving misses 2-pt shot from 19 ft,,81-78,,
2:21.0,,,81-78,,Defensive rebound by J. Anderson
2:06.0,,,81-80,2,O. Casspi makes 2-pt shot from 7 ft
1:54.0,Turnover by K. Irving (traveling),,81-80,,
1:49.0,I. Shumpert enters the game for L. James,,81-80,,
1:40.0,,,81-80,,R. Gay misses 2-pt shot at rim
1:38.0,Defensive rebound by K. Love,,81-80,,
1:31.0,Turnover by K. Love (traveling),,81-80,,
1:16.0,,,81-80,,R. Rondo misses 2-pt shot from 7 ft
1:15.0,Defensive rebound by I. Shumpert,,81-80,,
1:06.0,K. Irving makes 2-pt shot from 3 ft,2,83-80,,
0:46.0,,,83-82,2,O. Casspi makes 2-pt shot from 6 ft
0:30.0,K. Irving makes 3-pt shot from 26 ft (assist by K. Love),3,86-82,,
0:13.0,,,86-82,,O. Casspi misses 2-pt shot from 6 ft
0:13.0,,,86-82,,Offensive rebound by K. Koufos
0:13.0,,,86-84,2,K. Koufos makes 2-pt shot at rim
0:00.0,K. Irving makes 3-pt shot from 27 ft,3,89-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,M. Dellavedova misses 2-pt shot from 10 ft,,89-84,,
11:44.0,,,89-84,,Defensive rebound by C. Butler
11:29.0,,,89-86,2,O. Casspi makes 2-pt shot from 2 ft
11:00.0,C. Frye misses 3-pt shot from 24 ft,,89-86,,
11:00.0,,,89-86,,Defensive rebound by R. Gay
10:53.0,,,89-88,2,D. Collison makes 2-pt shot from 5 ft
10:43.0,,,89-88,,Personal foul by O. Casspi
10:34.0,K. Irving makes 2-pt shot from 2 ft,2,91-88,,
10:24.0,,,91-88,,D. Collison misses 2-pt shot from 16 ft
10:23.0,Defensive rebound by I. Shumpert,,91-88,,
10:22.0,,,91-88,,Personal foul by D. Collison
10:13.0,Shooting foul by C. Butler (drawn by R. Jefferson),,91-88,,
10:13.0,R. Jefferson makes free throw 1 of 2,1,92-88,,
10:13.0,R. Jefferson misses free throw 2 of 2,,92-88,,
10:11.0,,,92-88,,Defensive rebound by K. Koufos
9:56.0,,,92-88,,Shooting foul by I. Shumpert (drawn by R. Gay)
9:56.0,,,92-89,1,R. Gay makes free throw 1 of 2
9:56.0,,,92-89,,R. Gay misses free throw 2 of 2
9:55.0,Defensive rebound by I. Shumpert,,92-89,,
9:41.0,K. Irving misses 3-pt shot from 28 ft,,92-89,,
9:40.0,,,92-89,,Defensive rebound by R. Gay
9:28.0,,,92-92,3,O. Casspi makes 3-pt shot from 26 ft (assist by D. Collison)
9:19.0,K. Irving misses 2-pt shot from 12 ft,,92-92,,
9:17.0,Offensive rebound by R. Jefferson,,92-92,,
9:13.0,C. Frye misses 3-pt shot from 25 ft,,92-92,,
9:13.0,,,92-92,,Defensive rebound by C. Butler
9:08.0,,,92-92,,D. Collison misses 2-pt shot from 2 ft
9:07.0,Defensive rebound by C. Frye,,92-92,,
8:57.0,K. Irving makes 2-pt shot from 3 ft (assist by M. Dellavedova),2,94-92,,
8:57.0,Shooting foul by K. Koufos (drawn by K. Irving),,94-92,,
8:57.0,Official timeout,,94-92,,
8:57.0,,,94-92,,Technical foul by K. Koufos
8:57.0,,,94-92,,D. Cousins enters the game for K. Koufos
8:57.0,K. Irving makes technical free throw,1,95-92,,
8:57.0,T. Thompson enters the game for C. Frye,,95-92,,
8:57.0,K. Irving makes free throw 1 of 1,1,96-92,,
8:50.0,Personal foul by R. Jefferson,,96-92,,
8:50.0,L. James enters the game for K. Irving,,96-92,,
8:37.0,,,96-92,,Shooting foul by L. James (drawn by D. Cousins)
8:37.0,,,96-93,1,D. Cousins makes free throw 1 of 2
8:37.0,,,96-94,1,D. Cousins makes free throw 2 of 2
8:15.0,Technical foul by Team,,96-94,,
8:15.0,,,96-95,1,D. Collison makes technical free throw
8:13.0,L. James misses 3-pt shot from 33 ft,,96-95,,
8:13.0,Offensive rebound by Team,,96-95,,
8:13.0,Turnover by Team (shot clock),,96-95,,
8:08.0,,,96-95,,Shooting foul by T. Thompson (drawn by D. Cousins)
8:08.0,,,96-95,,D. Cousins misses free throw 1 of 2
8:08.0,,,96-95,,Offensive rebound by Team
8:08.0,,,96-96,1,D. Cousins makes free throw 2 of 2
7:53.0,Turnover by L. James (lost ball; steal by R. Gay),,96-96,,
7:49.0,,,96-96,,O. Casspi misses 2-pt shot from 4 ft
7:48.0,Defensive rebound by T. Thompson,,96-96,,
7:46.0,Turnover by T. Thompson (lost ball; steal by D. Collison),,96-96,,
7:42.0,,,96-96,,C. Butler misses 3-pt shot from 23 ft
7:41.0,Defensive rebound by L. James,,96-96,,
7:36.0,L. James makes 3-pt shot from 25 ft,3,99-96,,
7:24.0,,,99-96,,D. Cousins misses 2-pt shot from 4 ft
7:24.0,Defensive rebound by T. Thompson,,99-96,,
7:24.0,,,99-96,,Personal foul by D. Cousins
7:24.0,,,99-96,,Technical foul by D. Cousins
7:24.0,M. Dellavedova makes technical free throw,1,100-96,,
7:24.0,T. Thompson makes free throw 1 of 2,1,101-96,,
7:24.0,K. Love enters the game for I. Shumpert,,101-96,,
7:24.0,K. Irving enters the game for M. Dellavedova,,101-96,,
7:24.0,J. Smith enters the game for R. Jefferson,,101-96,,
7:24.0,,,101-96,,R. Rondo enters the game for C. Butler
7:24.0,T. Thompson makes free throw 2 of 2,1,102-96,,
7:08.0,,,102-98,2,D. Cousins makes 2-pt shot from 6 ft
6:56.0,L. James misses 2-pt shot from 2 ft,,102-98,,
6:54.0,,,102-98,,Defensive rebound by D. Cousins
6:41.0,,,102-98,,D. Cousins misses 2-pt shot from 5 ft
6:39.0,Defensive rebound by J. Smith,,102-98,,
6:34.0,K. Irving misses 3-pt shot from 24 ft,,102-98,,
6:32.0,Offensive rebound by L. James,,102-98,,
6:32.0,L. James misses 2-pt shot from 2 ft,,102-98,,
6:32.0,Offensive rebound by T. Thompson,,102-98,,
6:32.0,T. Thompson makes 2-pt shot from 2 ft,2,104-98,,
6:32.0,Shooting foul by O. Casspi (drawn by T. Thompson),,104-98,,
6:32.0,,,104-98,,Sacramento full timeout
6:32.0,,,104-98,,Q. Acy enters the game for O. Casspi
6:32.0,T. Thompson makes free throw 1 of 1,1,105-98,,
6:24.0,,,105-98,,Shooting foul by K. Love (drawn by D. Cousins)
6:24.0,,,105-98,,D. Cousins misses free throw 1 of 2
6:24.0,,,105-98,,Offensive rebound by Team
6:24.0,,,105-98,,D. Cousins misses free throw 2 of 2
6:23.0,Defensive rebound by T. Thompson,,105-98,,
6:03.0,L. James misses 3-pt shot from 25 ft,,105-98,,
6:02.0,,,105-98,,Defensive rebound by Q. Acy
