time,Chicago,pts.away,score,pts.home,LA Lakers
6:29.0,,,43-30,,Personal foul by K. Bryant (drawn by B. Portis)
6:22.0,J. Butler makes 2-pt shot from 18 ft,2,45-30,,
6:07.0,,,45-30,,K. Bryant misses 3-pt shot from 24 ft
6:05.0,Defensive rebound by T. Gibson,,45-30,,
6:01.0,Turnover by D. Rose (bad pass; steal by J. Randle),,45-30,,
5:42.0,,,45-30,,D. Russell misses 3-pt shot from 24 ft
5:41.0,Defensive rebound by B. Portis,,45-30,,
5:26.0,D. Rose misses 3-pt shot from 24 ft,,45-30,,
5:25.0,,,45-30,,Defensive rebound by J. Randle
5:19.0,,,45-32,2,B. Bass makes 2-pt shot at rim (assist by D. Russell)
5:03.0,J. Butler misses 2-pt shot from 13 ft,,45-32,,
5:01.0,Offensive rebound by B. Portis,,45-32,,
4:52.0,J. Butler makes 2-pt shot from 1 ft,2,47-32,,
4:36.0,Violation by D. Rose (kicked ball),,47-32,,
4:36.0,P. Gasol enters the game for B. Portis,,47-32,,
4:36.0,,,47-32,,J. Clarkson enters the game for D. Russell
4:36.0,,,47-32,,R. Hibbert enters the game for B. Bass
4:25.0,,,47-35,3,K. Bryant makes 3-pt shot from 23 ft (assist by R. Hibbert)
4:12.0,P. Gasol makes 2-pt shot from 14 ft (assist by D. Rose),2,49-35,,
3:55.0,A. Brooks enters the game for D. Rose,,49-35,,
3:42.0,,,49-35,,R. Hibbert misses 2-pt shot from 16 ft
3:41.0,Defensive rebound by T. Gibson,,49-35,,
3:31.0,P. Gasol makes 2-pt shot from 18 ft (assist by J. Butler),2,51-35,,
3:16.0,,,51-35,,Shooting foul by T. Gibson (drawn by J. Randle)
3:16.0,,,51-36,1,J. Randle makes free throw 1 of 2
3:16.0,,,51-37,1,J. Randle makes free throw 2 of 2
2:55.0,Turnover by E. Moore (bad pass),,51-37,,
2:55.0,,,51-37,,LA Lakers full timeout
2:37.0,,,51-37,,K. Bryant misses 3-pt shot from 24 ft
2:35.0,Defensive rebound by P. Gasol,,51-37,,
2:20.0,J. Butler makes 3-pt shot from 23 ft (assist by P. Gasol),3,54-37,,
2:01.0,,,54-37,,LA Lakers full timeout
2:01.0,,,54-37,,D. Russell enters the game for K. Bryant
2:01.0,,,54-37,,A. Brown enters the game for N. Young
1:54.0,,,54-37,,Turnover by Team (shot clock)
1:34.0,P. Gasol misses 2-pt shot from 13 ft,,54-37,,
1:32.0,Offensive rebound by J. Butler,,54-37,,
1:21.0,J. Butler makes 2-pt shot at rim (assist by P. Gasol),2,56-37,,
1:01.0,,,56-37,,J. Clarkson misses 2-pt shot from 3 ft
1:00.0,,,56-37,,Offensive rebound by R. Hibbert
0:59.0,,,56-37,,R. Hibbert misses 2-pt shot from 2 ft (block by T. Gibson)
0:56.0,,,56-37,,Offensive rebound by J. Clarkson
0:53.0,,,56-40,3,D. Russell makes 3-pt shot from 24 ft (assist by J. Clarkson)
0:43.0,A. Brooks misses 2-pt shot from 3 ft,,56-40,,
0:42.0,,,56-40,,Defensive rebound by D. Russell
0:35.0,,,56-40,,A. Brown misses 3-pt shot from 24 ft
0:30.0,Defensive rebound by P. Gasol,,56-40,,
0:28.0,T. Gibson makes 2-pt shot at rim (assist by J. Butler),2,58-40,,
0:08.0,,,58-40,,J. Clarkson misses 2-pt shot from 14 ft (block by E. Moore)
0:07.0,Defensive rebound by A. Brooks,,58-40,,
0:02.0,A. Brooks misses 2-pt shot from 17 ft,,58-40,,
0:01.0,Offensive rebound by P. Gasol,,58-40,,
0:01.0,P. Gasol misses 2-pt shot from 13 ft,,58-40,,
0:00.0,Offensive rebound by Team,,58-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
