time,Toronto,pts.away,score,pts.home,New York
3:44.0,,,17-13,,L. Thomas misses 3-pt shot from 23 ft
3:43.0,,,17-13,,Offensive rebound by R. Lopez
3:43.0,,,17-15,2,R. Lopez makes 2-pt shot from 3 ft
3:17.0,L. Scola misses 2-pt shot from 12 ft,,17-15,,
3:16.0,,,17-15,,Defensive rebound by R. Lopez
3:06.0,,,17-15,,L. Thomas misses 3-pt shot from 23 ft
3:05.0,Defensive rebound by L. Scola,,17-15,,
2:50.0,K. Lowry misses 2-pt shot from 20 ft,,17-15,,
2:49.0,,,17-15,,Defensive rebound by C. Anthony
2:37.0,,,17-17,2,R. Lopez makes 2-pt shot from 5 ft (assist by C. Anthony)
2:30.0,Toronto full timeout,,17-17,,
2:30.0,,,17-17,,K. O'Quinn enters the game for R. Lopez
2:30.0,B. Biyombo enters the game for J. Johnson,,17-17,,
2:30.0,C. Joseph enters the game for J. Valanciunas,,17-17,,
2:30.0,T. Ross enters the game for K. Lowry,,17-17,,
2:14.0,C. Joseph misses 2-pt shot from 10 ft (block by K. O'Quinn),,17-17,,
2:13.0,,,17-17,,Defensive rebound by A. Afflalo
1:57.0,,,17-17,,Shooting foul by T. Ross (drawn by A. Afflalo)
1:57.0,,,17-19,2,A. Afflalo makes 2-pt shot from 6 ft
1:57.0,,,17-20,1,A. Afflalo makes free throw 1 of 1
1:44.0,D. DeRozan makes 2-pt shot from 2 ft,2,19-20,,
1:34.0,,,19-20,,Shooting foul by L. Scola (drawn by C. Anthony)
1:34.0,,,19-22,2,C. Anthony makes 2-pt shot at rim
1:34.0,,,19-22,,S. Vujacic enters the game for A. Afflalo
1:34.0,P. Patterson enters the game for L. Scola,,19-22,,
1:34.0,,,19-22,,C. Anthony misses free throw 1 of 1
1:33.0,Defensive rebound by B. Biyombo,,19-22,,
1:21.0,D. DeRozan makes 2-pt shot from 11 ft,2,21-22,,
1:03.0,,,21-22,,Shooting foul by B. Biyombo (drawn by C. Anthony)
1:03.0,,,21-23,1,C. Anthony makes free throw 1 of 2
1:03.0,,,21-24,1,C. Anthony makes free throw 2 of 2
0:46.0,T. Ross misses 3-pt shot from 26 ft,,21-24,,
0:44.0,Offensive rebound by Team,,21-24,,
0:44.0,,,21-24,,Loose ball foul by K. O'Quinn
0:44.0,B. Biyombo makes free throw 1 of 2,1,22-24,,
0:44.0,B. Biyombo misses free throw 2 of 2,,22-24,,
0:43.0,,,22-24,,Defensive rebound by C. Anthony
0:30.0,,,22-24,,Shooting foul by B. Biyombo (drawn by L. Thomas)
0:30.0,,,22-25,1,L. Thomas makes free throw 1 of 2
0:30.0,,,22-26,1,L. Thomas makes free throw 2 of 2
0:10.0,D. DeRozan makes 2-pt shot from 10 ft,2,24-26,,
0:07.0,Personal foul by P. Patterson,,24-26,,
0:07.0,,,24-27,1,C. Anthony makes free throw 1 of 2
0:07.0,,,24-28,1,C. Anthony makes free throw 2 of 2
0:00.0,C. Joseph makes 2-pt shot from 1 ft,2,26-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,26-28,,D. Williams misses 3-pt shot from 26 ft
11:34.0,,,26-28,,Offensive rebound by R. Lopez
11:34.0,,,26-28,,R. Lopez misses 2-pt shot from 2 ft
11:30.0,Defensive rebound by Team,,26-28,,
11:30.0,,,26-28,,Loose ball foul by R. Lopez
11:17.0,T. Ross misses 3-pt shot from 25 ft,,26-28,,
11:16.0,,,26-28,,Defensive rebound by S. Vujacic
11:00.0,,,26-30,2,D. Williams makes 2-pt shot at rim (assist by S. Vujacic)
10:43.0,J. Valanciunas misses 2-pt shot at rim,,26-30,,
10:42.0,,,26-30,,Defensive rebound by R. Lopez
10:32.0,Personal foul by P. Patterson,,26-30,,
10:23.0,,,26-30,,S. Vujacic misses 2-pt shot from 18 ft
10:22.0,,,26-30,,Offensive rebound by R. Lopez
10:22.0,,,26-30,,R. Lopez misses 2-pt shot at rim
10:21.0,Defensive rebound by T. Ross,,26-30,,
10:08.0,J. Valanciunas makes 2-pt shot from 8 ft (assist by K. Lowry),2,28-30,,
9:46.0,,,28-32,2,R. Lopez makes 2-pt shot from 9 ft
9:46.0,,,28-32,,Shooting foul by J. Valanciunas (drawn by R. Lopez)
9:46.0,,,28-33,1,R. Lopez makes free throw 1 of 1
9:22.0,T. Ross makes 3-pt shot from 22 ft (assist by K. Lowry),3,31-33,,
9:06.0,,,31-33,,S. Vujacic misses 2-pt shot from 21 ft
9:05.0,Defensive rebound by T. Ross,,31-33,,
8:56.0,Turnover by J. Valanciunas (bad pass),,31-33,,
8:56.0,Official timeout,,31-33,,
8:56.0,,,31-33,,A. Afflalo enters the game for S. Vujacic
8:33.0,,,31-33,,A. Afflalo misses 2-pt shot from 10 ft
8:32.0,Defensive rebound by J. Valanciunas,,31-33,,
8:09.0,C. Joseph misses 3-pt shot from 23 ft,,31-33,,
8:08.0,,,31-33,,Defensive rebound by K. Porzingis
7:59.0,,,31-33,,Turnover by D. Williams (lost ball; steal by C. Joseph)
7:55.0,Turnover by P. Patterson (lost ball; steal by D. Williams),,31-33,,
7:46.0,Personal foul by T. Ross,,31-33,,
7:46.0,,,31-34,1,D. Williams makes free throw 1 of 2
7:46.0,,,31-35,1,D. Williams makes free throw 2 of 2
7:33.0,K. Lowry makes 2-pt shot from 19 ft (assist by C. Joseph),2,33-35,,
7:18.0,,,33-37,2,K. Porzingis makes 2-pt shot from 20 ft (assist by L. Galloway)
6:55.0,J. Valanciunas misses 2-pt shot from 6 ft,,33-37,,
6:54.0,,,33-37,,Defensive rebound by R. Lopez
6:46.0,,,33-37,,A. Afflalo misses 2-pt shot from 19 ft
6:45.0,Defensive rebound by K. Lowry,,33-37,,
6:25.0,T. Ross makes 3-pt shot from 23 ft (assist by K. Lowry),3,36-37,,
6:00.0,,,36-37,,K. Porzingis misses 2-pt shot from 20 ft
5:59.0,Defensive rebound by J. Valanciunas,,36-37,,
5:47.0,J. Valanciunas makes 2-pt shot at rim (assist by C. Joseph),2,38-37,,
5:40.0,,,38-37,,New York full timeout
5:40.0,,,38-37,,C. Anthony enters the game for R. Lopez
5:40.0,B. Biyombo enters the game for J. Valanciunas,,38-37,,
5:40.0,J. Johnson enters the game for C. Joseph,,38-37,,
5:24.0,,,38-37,,K. Porzingis misses 3-pt shot from 24 ft
5:23.0,Defensive rebound by K. Lowry,,38-37,,
5:11.0,K. Lowry makes 2-pt shot from 21 ft,2,40-37,,
4:57.0,,,40-39,2,A. Afflalo makes 2-pt shot from 5 ft (assist by C. Anthony)
4:44.0,,,40-39,,Personal foul by L. Galloway
4:44.0,D. DeRozan enters the game for T. Ross,,40-39,,
4:44.0,,,40-39,,J. Calderon enters the game for L. Galloway
4:31.0,D. DeRozan misses 3-pt shot from 25 ft,,40-39,,
4:30.0,Offensive rebound by B. Biyombo,,40-39,,
4:11.0,K. Lowry makes 2-pt shot from 1 ft,2,42-39,,
3:56.0,,,42-41,2,D. Williams makes 2-pt shot from 12 ft (assist by J. Calderon)
3:39.0,B. Biyombo makes 2-pt shot from 2 ft (assist by K. Lowry),2,44-41,,
3:39.0,Shooting foul by J. Calderon (drawn by B. Biyombo),,44-41,,
3:39.0,B. Biyombo misses free throw 1 of 1,,44-41,,
3:38.0,,,44-41,,Defensive rebound by C. Anthony
3:30.0,,,44-41,,K. Porzingis misses 3-pt shot from 26 ft
3:29.0,Defensive rebound by P. Patterson,,44-41,,
3:16.0,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry),2,46-41,,
3:12.0,,,46-41,,New York full timeout
3:12.0,,,46-41,,K. O'Quinn enters the game for K. Porzingis
3:00.0,,,46-41,,Shooting foul by P. Patterson (drawn by D. Williams)
3:00.0,,,46-41,,D. Williams misses free throw 1 of 2
3:00.0,,,46-41,,Offensive rebound by Team
3:00.0,L. Scola enters the game for P. Patterson,,46-41,,
3:00.0,,,46-41,,D. Williams misses free throw 2 of 2
2:59.0,Defensive rebound by J. Johnson,,46-41,,
2:44.0,K. Lowry makes 3-pt shot from 25 ft,3,49-41,,
2:21.0,,,49-41,,C. Anthony misses 2-pt shot from 3 ft
2:20.0,Defensive rebound by B. Biyombo,,49-41,,
2:11.0,Turnover by L. Scola (palming),,49-41,,
2:11.0,Toronto full timeout,,49-41,,
2:11.0,C. Joseph enters the game for K. Lowry,,49-41,,
2:11.0,,,49-41,,K. Porzingis enters the game for D. Williams
1:57.0,Personal foul by J. Johnson,,49-41,,
1:57.0,,,49-41,,C. Anthony misses free throw 1 of 2
1:57.0,,,49-41,,Offensive rebound by Team
1:57.0,,,49-41,,C. Anthony misses free throw 2 of 2
1:56.0,Defensive rebound by L. Scola,,49-41,,
1:41.0,D. DeRozan misses 2-pt shot from 14 ft,,49-41,,
1:40.0,Offensive rebound by B. Biyombo,,49-41,,
1:30.0,Shooting foul by K. O'Quinn (drawn by B. Biyombo),,49-41,,
1:30.0,B. Biyombo makes free throw 1 of 2,1,50-41,,
1:30.0,B. Biyombo misses free throw 2 of 2,,50-41,,
1:29.0,,,50-41,,Defensive rebound by K. O'Quinn
1:09.0,,,50-41,,K. O'Quinn misses 2-pt shot from 7 ft
1:08.0,,,50-41,,Offensive rebound by K. O'Quinn
1:07.0,,,50-41,,Shooting foul by L. Scola (drawn by K. O'Quinn)
1:07.0,,,50-41,,K. O'Quinn misses free throw 1 of 2
1:07.0,,,50-41,,Offensive rebound by Team
1:07.0,J. Valanciunas enters the game for B. Biyombo,,50-41,,
1:07.0,,,50-41,,K. O'Quinn misses free throw 2 of 2
1:06.0,Defensive rebound by L. Scola,,50-41,,
0:49.0,J. Valanciunas makes 2-pt shot at rim (assist by C. Joseph),2,52-41,,
0:35.0,,,52-43,2,C. Anthony makes 2-pt shot from 13 ft
0:24.0,J. Johnson makes 3-pt shot from 24 ft (assist by L. Scola),3,55-43,,
0:21.0,,,55-43,,Turnover by J. Calderon (lost ball; steal by D. DeRozan)
0:16.0,D. DeRozan makes 2-pt shot from 2 ft,2,57-43,,
0:00.0,,,57-43,,C. Anthony misses 2-pt shot from 15 ft
0:00.0,,,57-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Personal foul by L. Scola,,57-43,,
11:37.0,,,57-45,2,R. Lopez makes 2-pt shot at rim (assist by J. Calderon)
11:12.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,59-45,,
10:59.0,,,59-47,2,K. Porzingis makes 2-pt shot from 7 ft
10:33.0,J. Valanciunas misses 2-pt shot from 5 ft,,59-47,,
10:32.0,,,59-47,,Defensive rebound by C. Anthony
10:26.0,,,59-49,2,C. Anthony makes 2-pt shot from 17 ft
10:02.0,D. DeRozan misses 2-pt shot from 15 ft,,59-49,,
10:01.0,,,59-49,,Defensive rebound by C. Anthony
9:54.0,,,59-52,3,C. Anthony makes 3-pt shot from 25 ft
9:53.0,Toronto full timeout,,59-52,,
9:38.0,D. DeRozan makes 3-pt shot from 23 ft (assist by L. Scola),3,62-52,,
9:23.0,,,62-52,,C. Anthony misses 2-pt shot from 21 ft
9:22.0,,,62-52,,Offensive rebound by A. Afflalo
9:18.0,,,62-52,,A. Afflalo misses 2-pt shot from 14 ft
9:17.0,Defensive rebound by D. DeRozan,,62-52,,
9:03.0,L. Scola misses 3-pt shot from 24 ft,,62-52,,
9:02.0,Offensive rebound by K. Lowry,,62-52,,
8:53.0,J. Valanciunas makes 2-pt shot from 12 ft (assist by K. Lowry),2,64-52,,
8:33.0,,,64-54,2,R. Lopez makes 2-pt shot from 9 ft (assist by A. Afflalo)
8:23.0,Shooting foul by A. Afflalo (drawn by D. DeRozan),,64-54,,
8:23.0,D. DeRozan makes free throw 1 of 2,1,65-54,,
8:23.0,D. DeRozan misses free throw 2 of 2,,65-54,,
8:22.0,,,65-54,,Defensive rebound by C. Anthony
8:08.0,,,65-54,,K. Porzingis misses 2-pt shot from 1 ft
8:07.0,Defensive rebound by K. Lowry,,65-54,,
8:00.0,K. Lowry makes 3-pt shot from 25 ft,3,68-54,,
7:51.0,Personal foul by D. DeRozan,,68-54,,
7:40.0,,,68-54,,C. Anthony misses 2-pt shot from 16 ft
7:39.0,Defensive rebound by D. DeRozan,,68-54,,
7:24.0,J. Johnson makes 2-pt shot at rim,2,70-54,,
7:24.0,Shooting foul by A. Afflalo (drawn by J. Johnson),,70-54,,
7:24.0,J. Johnson makes free throw 1 of 1,1,71-54,,
7:09.0,,,71-56,2,A. Afflalo makes 2-pt shot from 18 ft
6:59.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,73-56,,
6:58.0,,,73-56,,New York full timeout
6:38.0,,,73-56,,C. Anthony misses 2-pt shot from 1 ft
6:37.0,,,73-56,,Offensive rebound by R. Lopez
6:37.0,,,73-56,,R. Lopez misses 2-pt shot from 2 ft
6:36.0,Defensive rebound by L. Scola,,73-56,,
6:17.0,J. Valanciunas misses 2-pt shot from 5 ft,,73-56,,
6:16.0,Offensive rebound by J. Valanciunas,,73-56,,
6:15.0,,,73-56,,Personal foul by K. Porzingis
6:04.0,L. Scola misses 3-pt shot from 24 ft,,73-56,,
6:03.0,,,73-56,,Defensive rebound by R. Lopez
6:02.0,Personal foul by K. Lowry,,73-56,,
5:44.0,,,73-56,,A. Afflalo misses 2-pt shot from 3 ft (block by J. Johnson)
5:43.0,Defensive rebound by J. Valanciunas,,73-56,,
5:34.0,J. Valanciunas makes 2-pt shot from 1 ft,2,75-56,,
5:34.0,Shooting foul by K. Porzingis (drawn by J. Valanciunas),,75-56,,
5:34.0,,,75-56,,L. Thomas enters the game for K. Porzingis
5:34.0,J. Valanciunas makes free throw 1 of 1,1,76-56,,
5:20.0,,,76-56,,Shooting foul by L. Scola (drawn by C. Anthony)
5:20.0,,,76-57,1,C. Anthony makes free throw 1 of 2
5:20.0,P. Patterson enters the game for J. Johnson,,76-57,,
5:20.0,T. Ross enters the game for L. Scola,,76-57,,
5:20.0,,,76-57,,L. Galloway enters the game for J. Calderon
5:20.0,,,76-58,1,C. Anthony makes free throw 2 of 2
4:55.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry),2,78-58,,
4:30.0,,,78-60,2,C. Anthony makes 2-pt shot from 9 ft
4:05.0,T. Ross misses 3-pt shot from 23 ft,,78-60,,
4:04.0,,,78-60,,Defensive rebound by Team
3:57.0,,,78-60,,Turnover by C. Anthony (bad pass)
3:39.0,,,78-60,,Personal foul by L. Galloway
3:39.0,D. DeRozan makes free throw 1 of 2,1,79-60,,
3:39.0,C. Joseph enters the game for K. Lowry,,79-60,,
3:39.0,B. Biyombo enters the game for J. Valanciunas,,79-60,,
3:39.0,D. DeRozan makes free throw 2 of 2,1,80-60,,
3:22.0,,,80-60,,A. Afflalo misses 2-pt shot from 2 ft
3:21.0,,,80-60,,Offensive rebound by R. Lopez
3:21.0,,,80-62,2,R. Lopez makes 2-pt shot from 2 ft
3:11.0,,,80-62,,Personal foul by L. Thomas
3:11.0,D. DeRozan makes free throw 1 of 2,1,81-62,,
3:11.0,D. DeRozan makes free throw 2 of 2,1,82-62,,
2:54.0,,,82-62,,C. Anthony misses 2-pt shot from 18 ft
2:53.0,Defensive rebound by B. Biyombo,,82-62,,
2:37.0,D. DeRozan misses 3-pt shot from 24 ft,,82-62,,
2:35.0,,,82-62,,Defensive rebound by Team
2:22.0,,,82-64,2,L. Thomas makes 2-pt shot from 15 ft (assist by C. Anthony)
1:59.0,T. Ross misses 2-pt shot from 11 ft,,82-64,,
1:58.0,,,82-64,,Defensive rebound by C. Anthony
1:49.0,,,82-64,,Turnover by C. Anthony (lost ball; steal by D. DeRozan)
1:45.0,C. Joseph makes 2-pt shot from 1 ft (assist by T. Ross),2,84-64,,
1:45.0,Shooting foul by L. Galloway (drawn by C. Joseph),,84-64,,
1:45.0,C. Joseph misses free throw 1 of 1,,84-64,,
1:44.0,,,84-64,,Defensive rebound by R. Lopez
1:22.0,,,84-64,,L. Galloway misses 2-pt shot from 5 ft (block by B. Biyombo)
1:21.0,Defensive rebound by C. Joseph,,84-64,,
1:03.0,C. Joseph misses 2-pt shot from 9 ft,,84-64,,
1:02.0,,,84-64,,Defensive rebound by A. Afflalo
0:53.0,,,84-64,,L. Thomas misses 2-pt shot from 8 ft
0:52.0,,,84-64,,Offensive rebound by C. Anthony
0:52.0,,,84-66,2,C. Anthony makes 2-pt shot from 1 ft
0:38.0,D. DeRozan misses 2-pt shot from 11 ft,,84-66,,
0:37.0,,,84-66,,Defensive rebound by R. Lopez
0:29.0,,,84-68,2,C. Anthony makes 2-pt shot from 19 ft
0:12.0,D. DeRozan misses 2-pt shot from 2 ft,,84-68,,
0:11.0,,,84-68,,Defensive rebound by C. Anthony
0:05.0,,,84-68,,Turnover by C. Anthony (lost ball; steal by D. DeRozan)
0:01.0,D. DeRozan makes 2-pt shot at rim,2,86-68,,
0:00.0,,,86-68,,A. Afflalo misses 3-pt shot from 40 ft
0:00.0,,,86-68,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,K. Lowry makes 2-pt shot from 1 ft,2,88-68,,
11:24.0,,,88-71,3,J. Grant makes 3-pt shot from 24 ft (assist by L. Thomas)
10:59.0,C. Joseph misses 2-pt shot from 3 ft (block by J. Grant),,88-71,,
10:58.0,Offensive rebound by Team,,88-71,,
10:58.0,Turnover by Team (shot clock),,88-71,,
10:37.0,,,88-73,2,K. Porzingis makes 2-pt shot from 13 ft
10:15.0,T. Ross makes 3-pt shot from 25 ft (assist by K. Lowry),3,91-73,,
10:01.0,,,91-76,3,K. Porzingis makes 3-pt shot from 24 ft (assist by J. Grant)
9:39.0,Shooting foul by L. Galloway (drawn by K. Lowry),,91-76,,
9:39.0,K. Lowry makes free throw 1 of 2,1,92-76,,
9:39.0,K. Lowry makes free throw 2 of 2,1,93-76,,
9:23.0,,,93-78,2,K. Porzingis makes 2-pt shot from 4 ft
8:58.0,T. Ross makes 3-pt shot from 23 ft (assist by C. Joseph),3,96-78,,
8:43.0,Def 3 sec tech foul by T. Ross,,96-78,,
8:43.0,Official timeout,,96-78,,
8:43.0,,,96-78,,C. Anthony misses technical free throw
8:43.0,,,96-78,,Offensive rebound by Team
8:31.0,,,96-80,2,K. Porzingis makes 2-pt shot from 8 ft (assist by J. Grant)
8:31.0,,,96-80,,Shooting foul by B. Biyombo (drawn by K. Porzingis)
8:31.0,,,96-81,1,K. Porzingis makes free throw 1 of 1
8:16.0,T. Ross misses 3-pt shot from 25 ft,,96-81,,
8:15.0,,,96-81,,Defensive rebound by C. Anthony
7:58.0,,,96-84,3,L. Thomas makes 3-pt shot from 22 ft (assist by J. Grant)
7:42.0,K. Lowry misses 3-pt shot from 25 ft,,96-84,,
7:41.0,Offensive rebound by B. Biyombo,,96-84,,
7:33.0,T. Ross misses 2-pt shot from 14 ft,,96-84,,
7:32.0,,,96-84,,Defensive rebound by L. Galloway
7:24.0,,,96-84,,L. Galloway misses 3-pt shot from 24 ft
7:23.0,Defensive rebound by B. Biyombo,,96-84,,
7:12.0,,,96-84,,Personal foul by L. Galloway
7:02.0,B. Biyombo makes 2-pt shot from 2 ft (assist by C. Joseph),2,98-84,,
6:43.0,,,98-84,,K. Porzingis misses 3-pt shot from 23 ft
6:42.0,Defensive rebound by K. Lowry,,98-84,,
6:32.0,K. Lowry makes 2-pt shot at rim,2,100-84,,
6:31.0,,,100-84,,New York full timeout
6:31.0,,,100-84,,A. Afflalo enters the game for L. Galloway
6:31.0,D. DeRozan enters the game for C. Joseph,,100-84,,
6:31.0,J. Johnson enters the game for T. Ross,,100-84,,
6:18.0,,,100-84,,C. Anthony misses 2-pt shot from 16 ft
6:17.0,Defensive rebound by P. Patterson,,100-84,,
5:59.0,Shooting foul by A. Afflalo (drawn by K. Lowry),,100-84,,
5:59.0,K. Lowry makes free throw 1 of 2,1,101-84,,
5:59.0,K. Lowry makes free throw 2 of 2,1,102-84,,
5:50.0,,,102-84,,Shooting foul by B. Biyombo (drawn by J. Grant)
5:50.0,,,102-85,1,J. Grant makes free throw 1 of 2
5:50.0,,,102-86,1,J. Grant makes free throw 2 of 2
5:30.0,P. Patterson makes 3-pt shot from 25 ft (assist by D. DeRozan),3,105-86,,
5:17.0,,,105-86,,L. Thomas misses 2-pt shot from 18 ft
5:16.0,Defensive rebound by K. Lowry,,105-86,,
5:06.0,K. Lowry misses 2-pt shot from 1 ft,,105-86,,
5:05.0,,,105-86,,Defensive rebound by A. Afflalo
4:59.0,Personal foul by D. DeRozan,,105-86,,
4:42.0,,,105-86,,J. Grant misses 2-pt shot from 2 ft
4:41.0,Defensive rebound by K. Lowry,,105-86,,
4:28.0,J. Johnson misses 3-pt shot from 23 ft,,105-86,,
4:27.0,Offensive rebound by B. Biyombo,,105-86,,
4:25.0,J. Johnson makes 2-pt shot at rim (assist by B. Biyombo),2,107-86,,
4:24.0,,,107-86,,Technical foul by K. Porzingis
4:24.0,,,107-86,,New York full timeout
4:24.0,C. Joseph enters the game for K. Lowry,,107-86,,
4:24.0,,,107-86,,D. Williams enters the game for C. Anthony
4:24.0,,,107-86,,L. Galloway enters the game for A. Afflalo
4:24.0,D. DeRozan misses technical free throw,,107-86,,
4:24.0,,,107-86,,Offensive rebound by Team
4:13.0,,,107-88,2,J. Grant makes 2-pt shot from 15 ft
3:56.0,D. DeRozan misses 2-pt shot from 4 ft,,107-88,,
3:55.0,Offensive rebound by B. Biyombo,,107-88,,
3:54.0,B. Biyombo makes 2-pt shot at rim,2,109-88,,
3:43.0,,,109-88,,J. Grant misses 3-pt shot from 25 ft
3:42.0,Defensive rebound by J. Johnson,,109-88,,
3:32.0,C. Joseph makes 3-pt shot from 23 ft (assist by J. Johnson),3,112-88,,
3:21.0,Personal foul by J. Johnson,,112-88,,
3:21.0,D. Wright enters the game for D. DeRozan,,112-88,,
3:21.0,L. Nogueira enters the game for B. Biyombo,,112-88,,
3:21.0,,,112-88,,K. O'Quinn enters the game for K. Porzingis
3:17.0,,,112-90,2,J. Grant makes 2-pt shot from 19 ft (assist by K. O'Quinn)
2:53.0,J. Johnson misses 2-pt shot from 1 ft,,112-90,,
2:52.0,Offensive rebound by L. Nogueira,,112-90,,
2:52.0,L. Nogueira misses 2-pt shot at rim,,112-90,,
2:51.0,,,112-90,,Defensive rebound by K. O'Quinn
2:42.0,,,112-90,,L. Galloway misses 3-pt shot from 24 ft
2:41.0,,,112-90,,Offensive rebound by L. Thomas
2:41.0,,,112-92,2,L. Thomas makes 2-pt shot from 1 ft
2:25.0,D. Wright makes 2-pt shot from 17 ft,2,114-92,,
2:03.0,,,114-92,,K. O'Quinn misses 2-pt shot from 19 ft
2:02.0,,,114-92,,Offensive rebound by J. Grant
2:00.0,,,114-92,,L. Thomas misses 2-pt shot from 1 ft (block by J. Johnson)
1:59.0,Defensive rebound by P. Patterson,,114-92,,
1:49.0,P. Patterson makes 2-pt shot at rim (assist by C. Joseph),2,116-92,,
