time,Memphis,pts.away,score,pts.home,Atlanta
3:24.0,Defensive rebound by T. Allen,,14-15,,
3:16.0,Turnover by T. Allen (traveling),,14-15,,
3:16.0,P. Hairston enters the game for T. Allen,,14-15,,
3:16.0,,,14-15,,D. Schroder enters the game for J. Teague
3:16.0,,,14-15,,T. Hardaway enters the game for K. Korver
3:01.0,,,14-17,2,T. Sefolosha makes 2-pt shot from 7 ft
3:01.0,,,14-17,,Shooting foul by R. Hollins (drawn by T. Sefolosha)
3:01.0,A. Stepheson enters the game for R. Hollins,,14-17,,
3:01.0,R. McCallum enters the game for B. Weber,,14-17,,
3:01.0,,,14-17,,M. Scott enters the game for P. Millsap
3:01.0,,,14-18,1,T. Sefolosha makes free throw 1 of 1
2:54.0,Memphis full timeout,,14-18,,
2:54.0,L. Stephenson enters the game for M. Barnes,,14-18,,
2:40.0,L. Stephenson misses 2-pt shot from 2 ft (block by T. Sefolosha),,14-18,,
2:39.0,Offensive rebound by J. Martin,,14-18,,
2:35.0,P. Hairston misses 3-pt shot from 24 ft,,14-18,,
2:34.0,,,14-18,,Defensive rebound by K. Humphries
2:22.0,,,14-18,,Turnover by D. Schroder (lost ball; steal by A. Stepheson)
2:09.0,L. Stephenson makes 2-pt shot from 16 ft,2,16-18,,
1:49.0,,,16-18,,T. Sefolosha misses 2-pt shot from 5 ft
1:49.0,Defensive rebound by Team,,16-18,,
1:30.0,Shooting foul by M. Scott (drawn by J. Martin),,16-18,,
1:30.0,J. Martin makes free throw 1 of 2,1,17-18,,
1:30.0,,,17-18,,A. Horford enters the game for K. Humphries
1:30.0,J. Martin misses free throw 2 of 2,,17-18,,
1:28.0,,,17-18,,Defensive rebound by T. Sefolosha
1:16.0,,,17-18,,D. Schroder misses 2-pt shot at rim
1:15.0,Defensive rebound by P. Hairston,,17-18,,
1:05.0,L. Stephenson misses 2-pt shot from 17 ft,,17-18,,
1:03.0,Offensive rebound by A. Stepheson,,17-18,,
1:03.0,A. Stepheson misses 2-pt shot from 3 ft,,17-18,,
1:02.0,,,17-18,,Defensive rebound by A. Horford
0:56.0,,,17-18,,M. Scott misses 3-pt shot from 24 ft
0:55.0,Defensive rebound by L. Stephenson,,17-18,,
0:37.0,L. Stephenson makes 2-pt shot from 8 ft,2,19-18,,
0:29.0,,,19-18,,D. Schroder misses 3-pt shot from 24 ft
0:26.0,Defensive rebound by P. Hairston,,19-18,,
0:06.0,J. Martin makes 2-pt shot from 2 ft (assist by L. Stephenson),2,21-18,,
0:06.0,Shooting foul by M. Scott (drawn by J. Martin),,21-18,,
0:06.0,,,21-18,,K. Korver enters the game for T. Sefolosha
0:06.0,B. Weber enters the game for A. Stepheson,,21-18,,
0:06.0,J. Martin makes free throw 1 of 1,1,22-18,,
0:00.0,,,22-18,,Turnover by D. Schroder (lost ball; steal by B. Weber)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:53.0,Turnover by R. McCallum (lost ball; steal by J. Teague),,22-18,,
11:49.0,,,22-18,,Shooting foul by J. Martin (drawn by M. Scott)
11:49.0,,,22-19,1,M. Scott makes free throw 1 of 2
11:49.0,,,22-19,,M. Scott misses free throw 2 of 2
11:48.0,Defensive rebound by R. McCallum,,22-19,,
11:31.0,A. Stepheson misses 2-pt shot from 1 ft (block by A. Horford),,22-19,,
11:29.0,,,22-19,,Defensive rebound by A. Horford
11:14.0,,,22-19,,M. Scott misses 2-pt shot from 18 ft
11:13.0,,,22-19,,Offensive rebound by T. Sefolosha
11:08.0,,,22-19,,T. Hardaway misses 3-pt shot from 22 ft
11:06.0,Defensive rebound by A. Stepheson,,22-19,,
10:58.0,L. Stephenson makes 2-pt shot from 1 ft,2,24-19,,
10:49.0,,,24-19,,J. Teague misses 2-pt shot from 1 ft
10:47.0,Defensive rebound by L. Stephenson,,24-19,,
10:32.0,J. Martin makes 2-pt shot from 15 ft (assist by R. McCallum),2,26-19,,
10:13.0,,,26-19,,T. Sefolosha misses 2-pt shot from 20 ft
10:11.0,Defensive rebound by P. Hairston,,26-19,,
10:02.0,A. Stepheson misses 2-pt shot from 7 ft,,26-19,,
10:00.0,,,26-19,,Defensive rebound by A. Horford
9:53.0,,,26-19,,A. Horford misses 2-pt shot from 18 ft
9:52.0,Defensive rebound by A. Stepheson,,26-19,,
9:35.0,J. Martin misses 2-pt shot from 14 ft,,26-19,,
9:34.0,,,26-19,,Defensive rebound by T. Sefolosha
9:17.0,,,26-19,,M. Scott misses 3-pt shot from 23 ft
9:15.0,Defensive rebound by L. Stephenson,,26-19,,
9:09.0,R. McCallum makes 3-pt shot from 23 ft (assist by L. Stephenson),3,29-19,,
9:09.0,,,29-19,,Atlanta full timeout
9:09.0,,,29-19,,K. Bazemore enters the game for T. Sefolosha
9:09.0,,,29-19,,P. Millsap enters the game for T. Hardaway
9:09.0,,,29-19,,K. Korver enters the game for M. Scott
9:09.0,J. Green enters the game for J. Martin,,29-19,,
8:53.0,,,29-19,,Turnover by P. Millsap (lost ball; steal by R. McCallum)
8:48.0,P. Hairston makes 2-pt shot at rim,2,31-19,,
8:34.0,,,31-21,2,A. Horford makes 2-pt shot from 4 ft (assist by K. Bazemore)
8:20.0,J. Green misses 2-pt shot from 2 ft (block by A. Horford),,31-21,,
8:18.0,Offensive rebound by J. Green,,31-21,,
8:17.0,J. Green misses 2-pt shot from 1 ft (block by A. Horford),,31-21,,
8:15.0,Offensive rebound by J. Green,,31-21,,
8:12.0,J. Green misses 2-pt shot from 2 ft,,31-21,,
8:11.0,Offensive rebound by Team,,31-21,,
8:08.0,R. McCallum misses 3-pt shot from 25 ft,,31-21,,
8:06.0,,,31-21,,Defensive rebound by A. Horford
7:57.0,,,31-21,,K. Bazemore misses 3-pt shot from 24 ft
7:56.0,Defensive rebound by R. McCallum,,31-21,,
7:42.0,P. Hairston misses 3-pt shot from 24 ft,,31-21,,
7:41.0,,,31-21,,Defensive rebound by P. Millsap
7:33.0,,,31-23,2,A. Horford makes 2-pt shot at rim (assist by K. Bazemore)
7:12.0,J. Green misses 2-pt shot from 19 ft,,31-23,,
7:09.0,Offensive rebound by P. Hairston,,31-23,,
7:07.0,L. Stephenson makes 2-pt shot from 1 ft (assist by P. Hairston),2,33-23,,
6:54.0,,,33-26,3,J. Teague makes 3-pt shot from 23 ft (assist by K. Korver)
6:27.0,P. Hairston misses 3-pt shot from 24 ft,,33-26,,
6:26.0,,,33-26,,Defensive rebound by A. Horford
6:17.0,,,33-29,3,J. Teague makes 3-pt shot from 24 ft (assist by P. Millsap)
6:08.0,Memphis full timeout,,33-29,,
6:08.0,,,33-29,,K. Humphries enters the game for A. Horford
6:08.0,B. Weber enters the game for R. McCallum,,33-29,,
6:08.0,M. Barnes enters the game for A. Stepheson,,33-29,,
5:55.0,Turnover by J. Green (lost ball; steal by K. Humphries),,33-29,,
5:46.0,,,33-29,,Shooting foul by M. Barnes (drawn by P. Millsap)
5:46.0,,,33-30,1,P. Millsap makes free throw 1 of 2
5:46.0,T. Allen enters the game for P. Hairston,,33-30,,
5:46.0,,,33-31,1,P. Millsap makes free throw 2 of 2
5:30.0,Shooting foul by K. Humphries (drawn by L. Stephenson),,33-31,,
5:30.0,L. Stephenson makes free throw 1 of 2,1,34-31,,
5:30.0,L. Stephenson makes free throw 2 of 2,1,35-31,,
5:18.0,,,35-31,,K. Bazemore misses 3-pt shot from 24 ft
5:16.0,Defensive rebound by Team,,35-31,,
5:07.0,B. Weber misses 2-pt shot from 20 ft,,35-31,,
5:06.0,,,35-31,,Defensive rebound by P. Millsap
4:55.0,,,35-31,,P. Millsap misses 2-pt shot from 2 ft
4:53.0,Defensive rebound by L. Stephenson,,35-31,,
4:38.0,Turnover by T. Allen (lost ball),,35-31,,
4:38.0,,,35-31,,K. Hinrich enters the game for J. Teague
4:26.0,,,35-31,,Shooting foul by T. Allen (drawn by P. Millsap)
4:26.0,,,35-32,1,P. Millsap makes free throw 1 of 2
4:26.0,,,35-33,1,P. Millsap makes free throw 2 of 2
4:06.0,T. Allen misses 2-pt shot from 6 ft,,35-33,,
4:05.0,Offensive rebound by T. Allen,,35-33,,
4:04.0,T. Allen misses 2-pt shot from 1 ft,,35-33,,
4:00.0,Offensive rebound by J. Green,,35-33,,
4:00.0,J. Green makes 2-pt shot at rim,2,37-33,,
3:50.0,,,37-33,,Shooting foul by M. Barnes (drawn by K. Humphries)
3:50.0,,,37-34,1,K. Humphries makes free throw 1 of 2
3:50.0,,,37-35,1,K. Humphries makes free throw 2 of 2
3:33.0,Turnover by M. Barnes (bad pass),,37-35,,
3:12.0,,,37-37,2,P. Millsap makes 2-pt shot from 10 ft
3:03.0,T. Allen misses 2-pt shot from 2 ft,,37-37,,
3:02.0,,,37-37,,Defensive rebound by K. Humphries
2:49.0,,,37-37,,Turnover by K. Humphries (lost ball; steal by T. Allen)
2:45.0,T. Allen misses 2-pt shot from 1 ft (block by K. Bazemore),,37-37,,
2:43.0,,,37-37,,Defensive rebound by P. Millsap
2:38.0,,,37-40,3,K. Korver makes 3-pt shot from 24 ft (assist by K. Hinrich)
2:29.0,Memphis full timeout,,37-40,,
2:29.0,Official timeout,,37-40,,
2:29.0,J. Martin enters the game for T. Allen,,37-40,,
2:29.0,,,37-40,,A. Horford enters the game for K. Humphries
2:10.0,J. Martin misses 2-pt shot from 1 ft,,37-40,,
2:08.0,,,37-40,,Defensive rebound by K. Korver
1:55.0,,,37-42,2,A. Horford makes 2-pt shot at rim (assist by K. Bazemore)
1:29.0,J. Green misses 2-pt shot from 6 ft,,37-42,,
1:26.0,Offensive rebound by J. Martin,,37-42,,
1:26.0,J. Martin makes 2-pt shot at rim,2,39-42,,
1:15.0,,,39-42,,Shooting foul by J. Green (drawn by A. Horford)
1:15.0,,,39-43,1,A. Horford makes free throw 1 of 2
1:15.0,,,39-44,1,A. Horford makes free throw 2 of 2
1:02.0,M. Barnes misses 2-pt shot from 19 ft,,39-44,,
1:01.0,,,39-44,,Defensive rebound by K. Hinrich
0:52.0,,,39-47,3,A. Horford makes 3-pt shot from 23 ft (assist by P. Millsap)
0:39.0,L. Stephenson misses 3-pt shot from 24 ft,,39-47,,
0:38.0,,,39-47,,Defensive rebound by K. Bazemore
0:30.0,,,39-47,,K. Bazemore misses 2-pt shot from 2 ft
0:30.0,,,39-47,,Offensive rebound by A. Horford
0:30.0,,,39-49,2,A. Horford makes 2-pt shot at rim
0:08.0,L. Stephenson makes 2-pt shot from 1 ft,2,41-49,,
0:02.0,,,41-49,,P. Millsap misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by M. Barnes,,41-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Turnover by R. Hollins (back court),,41-49,,
11:29.0,,,41-49,,Turnover by K. Korver (lost ball)
11:22.0,,,41-49,,Personal foul by J. Teague
11:13.0,M. Barnes misses 2-pt shot from 21 ft,,41-49,,
11:12.0,,,41-49,,Defensive rebound by A. Horford
11:05.0,,,41-49,,J. Teague misses 3-pt shot from 24 ft
11:03.0,Defensive rebound by R. Hollins,,41-49,,
10:57.0,Turnover by M. Barnes (lost ball; steal by K. Korver),,41-49,,
10:46.0,,,41-49,,K. Bazemore misses 2-pt shot at rim
10:44.0,Defensive rebound by T. Allen,,41-49,,
10:28.0,T. Allen makes 3-pt shot from 23 ft (assist by B. Weber),3,44-49,,
10:09.0,,,44-49,,J. Teague misses 3-pt shot from 24 ft
10:07.0,Defensive rebound by J. Green,,44-49,,
9:49.0,J. Green misses 3-pt shot from 23 ft,,44-49,,
9:47.0,,,44-49,,Defensive rebound by K. Bazemore
9:31.0,,,44-49,,K. Korver misses 2-pt shot from 15 ft
9:30.0,Defensive rebound by T. Allen,,44-49,,
9:12.0,T. Allen makes 2-pt shot from 1 ft (assist by B. Weber),2,46-49,,
8:58.0,,,46-51,2,J. Teague makes 2-pt shot from 5 ft
8:35.0,J. Green misses 2-pt shot from 9 ft,,46-51,,
8:34.0,,,46-51,,Defensive rebound by A. Horford
8:25.0,,,46-53,2,K. Korver makes 2-pt shot from 1 ft (assist by P. Millsap)
8:05.0,Turnover by M. Barnes (lost ball),,46-53,,
7:52.0,,,46-55,2,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague)
7:29.0,T. Allen makes 2-pt shot from 1 ft,2,48-55,,
7:18.0,,,48-55,,Shooting foul by J. Green (drawn by P. Millsap)
7:18.0,,,48-56,1,P. Millsap makes free throw 1 of 2
7:18.0,J. Martin enters the game for J. Green,,48-56,,
7:18.0,,,48-56,,P. Millsap misses free throw 2 of 2
7:18.0,Defensive rebound by M. Barnes,,48-56,,
7:18.0,Memphis full timeout,,48-56,,
7:18.0,,,48-56,,T. Sefolosha enters the game for K. Korver
7:02.0,M. Barnes misses 3-pt shot from 24 ft,,48-56,,
7:01.0,Offensive rebound by J. Martin,,48-56,,
6:58.0,J. Martin misses 2-pt shot from 1 ft (block by P. Millsap),,48-56,,
6:56.0,,,48-56,,Defensive rebound by J. Teague
6:52.0,,,48-58,2,T. Sefolosha makes 2-pt shot at rim (assist by J. Teague)
6:24.0,M. Barnes misses 2-pt shot from 15 ft,,48-58,,
6:24.0,Offensive rebound by Team,,48-58,,
6:24.0,A. Stepheson enters the game for R. Hollins,,48-58,,
6:14.0,Turnover by J. Martin (lost ball),,48-58,,
6:14.0,,,48-58,,K. Korver enters the game for K. Bazemore
5:55.0,R. McCallum enters the game for T. Allen,,48-58,,
5:52.0,,,48-58,,P. Millsap misses 2-pt shot from 17 ft
5:51.0,Defensive rebound by M. Barnes,,48-58,,
5:37.0,R. McCallum misses 2-pt shot from 10 ft,,48-58,,
5:32.0,,,48-58,,Defensive rebound by T. Sefolosha
5:29.0,,,48-58,,Shooting foul by R. McCallum (drawn by T. Sefolosha)
5:29.0,,,48-59,1,T. Sefolosha makes free throw 1 of 2
5:29.0,,,48-59,,K. Humphries enters the game for A. Horford
5:29.0,L. Stephenson enters the game for M. Barnes,,48-59,,
5:29.0,,,48-59,,T. Sefolosha misses free throw 2 of 2
5:28.0,Defensive rebound by L. Stephenson,,48-59,,
5:04.0,A. Stepheson misses 2-pt shot from 14 ft,,48-59,,
5:01.0,Offensive rebound by B. Weber,,48-59,,
4:58.0,B. Weber misses 3-pt shot from 24 ft,,48-59,,
4:57.0,,,48-59,,Defensive rebound by T. Sefolosha
4:53.0,,,48-59,,Shooting foul by R. McCallum (drawn by K. Humphries)
4:53.0,,,48-59,,K. Humphries misses free throw 1 of 2
4:53.0,,,48-59,,Offensive rebound by Team
4:53.0,,,48-59,,K. Hinrich enters the game for J. Teague
4:53.0,,,48-59,,K. Humphries misses free throw 2 of 2
4:52.0,Defensive rebound by J. Martin,,48-59,,
4:31.0,Shooting foul by K. Korver (drawn by J. Martin),,48-59,,
4:31.0,J. Martin makes free throw 1 of 2,1,49-59,,
4:31.0,P. Hairston enters the game for B. Weber,,49-59,,
4:31.0,J. Martin makes free throw 2 of 2,1,50-59,,
4:14.0,,,50-59,,K. Humphries misses 2-pt shot from 3 ft (block by A. Stepheson)
4:11.0,,,50-59,,Offensive rebound by K. Humphries
4:10.0,,,50-59,,Turnover by K. Humphries (lost ball; steal by R. McCallum)
4:06.0,J. Martin misses 2-pt shot from 18 ft,,50-59,,
4:04.0,,,50-59,,Defensive rebound by K. Hinrich
3:51.0,Personal foul by J. Martin,,50-59,,
3:51.0,,,50-59,,T. Hardaway enters the game for K. Korver
3:47.0,,,50-61,2,P. Millsap makes 2-pt shot from 10 ft
3:33.0,Turnover by R. McCallum (bad pass),,50-61,,
3:15.0,,,50-64,3,K. Humphries makes 3-pt shot from 24 ft (assist by K. Hinrich)
2:54.0,P. Hairston makes 2-pt shot from 2 ft (assist by A. Stepheson),2,52-64,,
2:50.0,,,52-64,,Atlanta full timeout
2:36.0,,,52-64,,T. Hardaway misses 3-pt shot from 24 ft
2:34.0,,,52-64,,Offensive rebound by K. Humphries
2:21.0,,,52-64,,P. Millsap misses 2-pt shot from 1 ft
2:19.0,,,52-64,,Offensive rebound by K. Humphries
2:06.0,,,52-64,,P. Millsap misses 2-pt shot from 3 ft (block by A. Stepheson)
2:06.0,,,52-64,,Offensive rebound by Team
2:06.0,,,52-64,,A. Horford enters the game for P. Millsap
2:01.0,,,52-64,,Turnover by T. Hardaway (lost ball; steal by J. Martin)
1:39.0,Shooting foul by K. Humphries (drawn by L. Stephenson),,52-64,,
1:39.0,L. Stephenson makes free throw 1 of 2,1,53-64,,
1:39.0,L. Stephenson makes free throw 2 of 2,1,54-64,,
1:23.0,,,54-66,2,A. Horford makes 2-pt shot from 1 ft (assist by K. Humphries)
1:08.0,Turnover by J. Martin (lost ball; steal by K. Hinrich),,54-66,,
1:02.0,,,54-68,2,T. Sefolosha makes 2-pt shot at rim (assist by A. Horford)
0:45.0,L. Stephenson makes 2-pt shot from 1 ft,2,56-68,,
0:37.0,,,56-68,,K. Hinrich misses 2-pt shot from 1 ft
0:36.0,,,56-68,,Offensive rebound by K. Hinrich
0:34.0,,,56-71,3,T. Hardaway makes 3-pt shot from 23 ft (assist by K. Hinrich)
0:20.0,P. Hairston misses 3-pt shot from 23 ft,,56-71,,
0:19.0,Offensive rebound by A. Stepheson,,56-71,,
0:18.0,Shooting foul by K. Humphries (drawn by A. Stepheson),,56-71,,
0:18.0,A. Stepheson makes free throw 1 of 2,1,57-71,,
0:18.0,,,57-71,,K. Korver enters the game for T. Sefolosha
0:18.0,B. Weber enters the game for J. Martin,,57-71,,
0:18.0,A. Stepheson makes free throw 2 of 2,1,58-71,,
0:04.0,,,58-71,,K. Hinrich misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by L. Stephenson,,58-71,,
0:00.0,L. Stephenson misses 3-pt shot from 40 ft,,58-71,,
0:00.0,Offensive rebound by Team,,58-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,58-71,,A. Horford misses 2-pt shot at rim
11:44.0,Defensive rebound by L. Stephenson,,58-71,,
11:20.0,R. McCallum misses 2-pt shot from 19 ft,,58-71,,
11:19.0,,,58-71,,Defensive rebound by M. Scott
11:14.0,,,58-74,3,J. Teague makes 3-pt shot from 24 ft (assist by M. Scott)
10:50.0,P. Hairston makes 2-pt shot from 1 ft (assist by L. Stephenson),2,60-74,,
10:39.0,,,60-74,,M. Scott misses 2-pt shot from 7 ft
10:37.0,Defensive rebound by L. Stephenson,,60-74,,
10:28.0,R. McCallum misses 2-pt shot from 19 ft,,60-74,,
10:27.0,,,60-74,,Defensive rebound by T. Sefolosha
10:17.0,,,60-74,,T. Sefolosha misses 3-pt shot from 24 ft
10:16.0,Defensive rebound by A. Stepheson,,60-74,,
10:02.0,A. Stepheson makes 2-pt shot from 4 ft (assist by L. Stephenson),2,62-74,,
9:51.0,,,62-74,,A. Horford misses 3-pt shot from 24 ft
9:51.0,Defensive rebound by R. McCallum,,62-74,,
9:51.0,,,62-74,,Personal foul by A. Horford
9:51.0,R. Hollins enters the game for A. Stepheson,,62-74,,
9:34.0,P. Hairston makes 2-pt shot from 1 ft,2,64-74,,
9:20.0,,,64-76,2,A. Horford makes 2-pt shot from 3 ft (assist by J. Teague)
8:58.0,R. Hollins makes 2-pt shot at rim (assist by L. Stephenson),2,66-76,,
8:44.0,,,66-78,2,J. Teague makes 2-pt shot from 1 ft
8:37.0,,,66-78,,Personal foul by J. Teague
8:37.0,Official timeout,,66-78,,
8:37.0,,,66-78,,K. Bazemore enters the game for M. Scott
8:29.0,R. McCallum misses 2-pt shot from 11 ft,,66-78,,
8:28.0,,,66-78,,Defensive rebound by T. Sefolosha
8:12.0,,,66-81,3,T. Sefolosha makes 3-pt shot from 23 ft (assist by J. Teague)
8:01.0,L. Stephenson misses 2-pt shot from 5 ft,,66-81,,
8:00.0,Offensive rebound by R. McCallum,,66-81,,
7:45.0,R. McCallum makes 3-pt shot from 24 ft (assist by L. Stephenson),3,69-81,,
7:29.0,,,69-83,2,J. Teague makes 2-pt shot from 11 ft
7:09.0,P. Hairston misses 3-pt shot from 24 ft,,69-83,,
7:06.0,Offensive rebound by B. Weber,,69-83,,
7:05.0,Shooting foul by T. Sefolosha (drawn by P. Hairston),,69-83,,
7:05.0,P. Hairston makes free throw 1 of 2,1,70-83,,
7:05.0,,,70-83,,K. Korver enters the game for T. Hardaway
7:05.0,P. Hairston misses free throw 2 of 2,,70-83,,
7:03.0,,,70-83,,Defensive rebound by T. Sefolosha
7:00.0,,,70-83,,Turnover by T. Sefolosha (lost ball; steal by B. Weber)
6:55.0,P. Hairston misses 3-pt shot from 24 ft,,70-83,,
6:54.0,,,70-83,,Defensive rebound by K. Bazemore
6:36.0,,,70-83,,K. Bazemore misses 2-pt shot from 2 ft (block by R. McCallum)
6:35.0,Defensive rebound by Team,,70-83,,
6:22.0,P. Hairston misses 2-pt shot from 3 ft (block by A. Horford),,70-83,,
6:19.0,,,70-83,,Defensive rebound by T. Sefolosha
6:18.0,,,70-83,,Turnover by T. Sefolosha (lost ball; steal by B. Weber)
6:14.0,R. McCallum makes 2-pt shot from 1 ft,2,72-83,,
5:54.0,,,72-83,,A. Horford misses 2-pt shot from 6 ft
5:53.0,Defensive rebound by P. Hairston,,72-83,,
5:52.0,Memphis full timeout,,72-83,,
5:52.0,,,72-83,,P. Millsap enters the game for A. Horford
5:52.0,,,72-83,,K. Hinrich enters the game for J. Teague
5:52.0,J. Green enters the game for R. Hollins,,72-83,,
5:52.0,T. Allen enters the game for B. Weber,,72-83,,
5:52.0,M. Barnes enters the game for P. Hairston,,72-83,,
5:37.0,Turnover by J. Green (lost ball; steal by K. Korver),,72-83,,
5:23.0,,,72-86,3,K. Korver makes 3-pt shot from 24 ft (assist by P. Millsap)
4:57.0,L. Stephenson makes 2-pt shot at rim,2,74-86,,
4:30.0,,,74-86,,P. Millsap misses 2-pt shot from 1 ft (block by M. Barnes)
4:28.0,Defensive rebound by M. Barnes,,74-86,,
4:23.0,M. Barnes misses 2-pt shot from 1 ft (block by T. Sefolosha),,74-86,,
4:21.0,,,74-86,,Defensive rebound by K. Korver
4:07.0,,,74-86,,K. Hinrich misses 2-pt shot from 1 ft
4:05.0,,,74-86,,Offensive rebound by T. Sefolosha
4:05.0,,,74-88,2,T. Sefolosha makes 2-pt shot at rim
3:52.0,M. Barnes misses 3-pt shot from 24 ft,,74-88,,
3:51.0,,,74-88,,Defensive rebound by P. Millsap
3:37.0,,,74-88,,K. Bazemore misses 3-pt shot from 22 ft
3:36.0,,,74-88,,Offensive rebound by Team
3:36.0,Loose ball foul by L. Stephenson,,74-88,,
3:24.0,,,74-88,,K. Bazemore misses 3-pt shot from 23 ft
3:23.0,Defensive rebound by Team,,74-88,,
