time,Atlanta,pts.away,score,pts.home,Miami
10:11.0,,,36-54,2,A. Stoudemire makes 2-pt shot from 5 ft (assist by D. Wade)
10:02.0,,,36-54,,Personal foul by C. Bosh (drawn by P. Millsap)
9:55.0,Offensive foul by P. Millsap,,36-54,,
9:55.0,Turnover by P. Millsap (offensive foul),,36-54,,
9:45.0,,,36-56,2,A. Stoudemire makes 2-pt shot at rim (assist by D. Wade)
9:32.0,Turnover by K. Bazemore (bad pass; steal by A. Stoudemire),,36-56,,
9:21.0,,,36-56,,Shooting foul by K. Korver (drawn by A. Stoudemire)
9:21.0,,,36-57,1,A. Stoudemire makes free throw 1 of 2
9:21.0,,,36-58,1,A. Stoudemire makes free throw 2 of 2
9:17.0,Atlanta full timeout,,36-58,,
9:08.0,,,36-58,,Def 3 sec tech foul by A. Stoudemire
9:08.0,K. Korver misses technical free throw,,36-58,,
9:08.0,Offensive rebound by Team,,36-58,,
8:58.0,P. Millsap makes 2-pt shot from 17 ft,2,38-58,,
8:33.0,,,38-60,2,C. Bosh makes 2-pt shot from 3 ft (assist by D. Wade)
8:20.0,J. Teague misses 3-pt shot from 24 ft,,38-60,,
8:19.0,,,38-60,,Defensive rebound by A. Stoudemire
8:03.0,,,38-60,,D. Wade misses 2-pt shot from 8 ft
8:02.0,,,38-60,,Offensive rebound by A. Stoudemire
7:57.0,,,38-60,,G. Dragic misses 3-pt shot from 24 ft
7:56.0,Defensive rebound by K. Bazemore,,38-60,,
7:51.0,K. Bazemore makes 2-pt shot from 1 ft,2,40-60,,
7:31.0,,,40-60,,Turnover by D. Wade (lost ball; steal by K. Korver)
7:27.0,,,40-60,,Shooting block foul by G. Dragic (drawn by J. Teague)
7:27.0,J. Teague makes free throw 1 of 2,1,41-60,,
7:27.0,,,41-60,,B. Udrih enters the game for G. Dragic
7:27.0,J. Teague makes free throw 2 of 2,1,42-60,,
7:14.0,,,42-60,,Turnover by L. Deng (step out of bounds)
7:06.0,K. Korver misses 3-pt shot from 24 ft,,42-60,,
7:05.0,,,42-60,,Defensive rebound by D. Wade
6:53.0,,,42-60,,C. Bosh misses 2-pt shot from 13 ft
6:51.0,Defensive rebound by Team,,42-60,,
6:44.0,A. Horford makes 3-pt shot from 23 ft (assist by K. Bazemore),3,45-60,,
6:35.0,,,45-60,,Miami full timeout
6:35.0,,,45-60,,J. Winslow enters the game for C. Bosh
6:20.0,,,45-62,2,D. Wade makes 2-pt shot from 2 ft (assist by B. Udrih)
6:03.0,K. Korver misses 3-pt shot from 24 ft,,45-62,,
6:02.0,,,45-62,,Defensive rebound by A. Stoudemire
5:51.0,,,45-64,2,D. Wade makes 2-pt shot from 5 ft
5:40.0,Offensive charge foul by J. Teague,,45-64,,
5:40.0,Turnover by J. Teague (offensive foul),,45-64,,
5:40.0,T. Splitter enters the game for K. Bazemore,,45-64,,
5:40.0,T. Hardaway enters the game for A. Horford,,45-64,,
5:40.0,D. Schroder enters the game for K. Korver,,45-64,,
5:40.0,T. Sefolosha enters the game for J. Teague,,45-64,,
5:21.0,,,45-66,2,B. Udrih makes 2-pt shot from 2 ft
5:05.0,,,45-66,,Personal foul by D. Wade (drawn by T. Splitter)
4:58.0,P. Millsap makes 2-pt shot from 17 ft (assist by D. Schroder),2,47-66,,
4:36.0,,,47-66,,B. Udrih misses 3-pt shot from 24 ft
4:35.0,Defensive rebound by T. Hardaway,,47-66,,
4:29.0,T. Hardaway makes 2-pt shot from 2 ft,2,49-66,,
4:13.0,,,49-66,,Shooting foul by P. Millsap (drawn by D. Wade)
4:13.0,,,49-66,,D. Wade misses free throw 1 of 2
4:13.0,,,49-66,,Offensive rebound by Team
4:13.0,,,49-66,,J. McRoberts enters the game for A. Stoudemire
4:13.0,,,49-67,1,D. Wade makes free throw 2 of 2
4:03.0,D. Schroder misses 2-pt shot from 16 ft,,49-67,,
4:01.0,Offensive rebound by D. Schroder,,49-67,,
3:51.0,Shooting foul by J. McRoberts (drawn by T. Splitter),,49-67,,
3:51.0,T. Splitter makes free throw 1 of 2,1,50-67,,
3:51.0,,,50-67,,G. Green enters the game for D. Wade
3:51.0,T. Splitter makes free throw 2 of 2,1,51-67,,
3:35.0,,,51-69,2,L. Deng makes 2-pt shot from 4 ft (assist by G. Green)
3:16.0,P. Millsap makes 2-pt shot from 3 ft,2,53-69,,
3:01.0,,,53-71,2,L. Deng makes 2-pt shot from 19 ft
2:43.0,T. Sefolosha makes 2-pt shot from 1 ft,2,55-71,,
2:28.0,,,55-71,,L. Deng misses 2-pt shot from 1 ft
2:27.0,Defensive rebound by T. Splitter,,55-71,,
2:14.0,P. Millsap makes 3-pt shot from 24 ft (assist by D. Schroder),3,58-71,,
2:04.0,,,58-71,,Miami full timeout
2:04.0,,,58-71,,C. Bosh enters the game for L. Deng
1:57.0,Personal foul by P. Millsap (drawn by C. Bosh),,58-71,,
1:43.0,,,58-71,,Turnover by G. Green (bad pass)
1:43.0,,,58-71,,Loose ball foul by G. Green (drawn by T. Hardaway)
1:43.0,T. Hardaway makes free throw 1 of 2,1,59-71,,
1:43.0,A. Horford enters the game for P. Millsap,,59-71,,
1:43.0,T. Hardaway makes free throw 2 of 2,1,60-71,,
1:32.0,,,60-71,,J. McRoberts misses 2-pt shot from 2 ft (block by A. Horford)
1:32.0,,,60-71,,Offensive rebound by Team
1:23.0,,,60-71,,J. McRoberts misses 3-pt shot from 24 ft
1:22.0,Defensive rebound by D. Schroder,,60-71,,
1:12.0,T. Splitter makes 2-pt shot from 3 ft (assist by D. Schroder),2,62-71,,
0:50.0,,,62-73,2,B. Udrih makes 2-pt shot from 17 ft
0:33.0,D. Schroder misses 3-pt shot from 24 ft,,62-73,,
0:32.0,,,62-73,,Defensive rebound by J. Winslow
0:12.0,,,62-73,,Shooting foul by A. Horford (drawn by C. Bosh)
0:12.0,,,62-74,1,C. Bosh makes free throw 1 of 2
0:12.0,,,62-75,1,C. Bosh makes free throw 2 of 2
0:03.0,Turnover by D. Schroder (bad pass; steal by B. Udrih),,62-75,,
0:01.0,,,62-75,,B. Udrih misses 3-pt shot from 57 ft
0:00.0,,,62-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Turnover by J. Teague (bad pass),,62-75,,
11:36.0,,,62-77,2,C. Bosh makes 2-pt shot from 16 ft
11:16.0,T. Hardaway makes 2-pt shot from 2 ft (assist by J. Teague),2,64-77,,
11:05.0,,,64-77,,C. Bosh misses 3-pt shot from 25 ft
11:04.0,Defensive rebound by K. Bazemore,,64-77,,
10:57.0,T. Hardaway misses 3-pt shot from 25 ft,,64-77,,
10:56.0,,,64-77,,Defensive rebound by G. Green
10:36.0,,,64-77,,Shooting foul by J. Teague (drawn by J. Winslow)
10:36.0,,,64-78,1,J. Winslow makes free throw 1 of 2
10:36.0,,,64-79,1,J. Winslow makes free throw 2 of 2
10:24.0,Shooting foul by J. Winslow (drawn by K. Bazemore),,64-79,,
10:24.0,K. Bazemore misses free throw 1 of 2,,64-79,,
10:24.0,Offensive rebound by Team,,64-79,,
10:24.0,K. Bazemore misses free throw 2 of 2,,64-79,,
10:23.0,,,64-79,,Defensive rebound by G. Green
10:11.0,,,64-82,3,G. Green makes 3-pt shot from 25 ft (assist by J. McRoberts)
10:09.0,,,64-82,,Personal foul by G. Green (drawn by J. Teague)
9:57.0,A. Horford makes 2-pt shot from 13 ft (assist by J. Teague),2,66-82,,
9:44.0,,,66-82,,Turnover by J. McRoberts (bad pass; steal by J. Teague)
9:40.0,J. Teague makes 2-pt shot from 3 ft,2,68-82,,
9:21.0,,,68-82,,J. Winslow misses 2-pt shot from 16 ft
9:20.0,Defensive rebound by K. Bazemore,,68-82,,
9:16.0,Shooting foul by C. Bosh (drawn by T. Hardaway),,68-82,,
9:16.0,T. Hardaway makes free throw 1 of 2,1,69-82,,
9:16.0,D. Schroder enters the game for J. Teague,,69-82,,
9:16.0,P. Millsap enters the game for T. Splitter,,69-82,,
9:16.0,T. Hardaway makes free throw 2 of 2,1,70-82,,
9:11.0,,,70-82,,Miami full timeout
9:11.0,,,70-82,,G. Dragic enters the game for B. Udrih
8:52.0,,,70-84,2,G. Dragic makes 2-pt shot from 4 ft
8:32.0,T. Hardaway makes 2-pt shot from 15 ft (assist by A. Horford),2,72-84,,
8:12.0,,,72-84,,Turnover by G. Green (lost ball; steal by P. Millsap)
8:04.0,Turnover by P. Millsap (bad pass; steal by G. Green),,72-84,,
7:45.0,,,72-84,,Shooting foul by A. Horford (drawn by C. Bosh)
7:45.0,,,72-85,1,C. Bosh makes free throw 1 of 2
7:45.0,J. Teague enters the game for D. Schroder,,72-85,,
7:45.0,,,72-86,1,C. Bosh makes free throw 2 of 2
7:26.0,A. Horford makes 2-pt shot from 18 ft (assist by J. Teague),2,74-86,,
7:03.0,,,74-88,2,J. McRoberts makes 2-pt shot from 8 ft
7:03.0,,,74-88,,Shooting foul by P. Millsap (drawn by J. McRoberts)
7:03.0,T. Splitter enters the game for P. Millsap,,74-88,,
7:03.0,,,74-88,,A. Stoudemire enters the game for C. Bosh
7:03.0,,,74-88,,D. Wade enters the game for G. Green
7:03.0,,,74-89,1,J. McRoberts makes free throw 1 of 1
6:58.0,Shooting foul by A. Stoudemire (drawn by J. Teague),,74-89,,
6:58.0,J. Teague makes free throw 1 of 2,1,75-89,,
6:58.0,T. Sefolosha enters the game for A. Horford,,75-89,,
6:58.0,,,75-89,,L. Deng enters the game for J. McRoberts
6:58.0,D. Schroder enters the game for T. Hardaway,,75-89,,
6:58.0,J. Teague makes free throw 2 of 2,1,76-89,,
6:40.0,,,76-89,,D. Wade misses 2-pt shot from 3 ft
6:40.0,Defensive rebound by D. Schroder,,76-89,,
6:40.0,,,76-89,,Personal foul by G. Dragic (drawn by J. Teague)
6:40.0,J. Teague makes free throw 1 of 2,1,77-89,,
6:40.0,,,77-89,,B. Udrih enters the game for G. Dragic
6:40.0,J. Teague makes free throw 2 of 2,1,78-89,,
6:16.0,,,78-89,,D. Wade misses 2-pt shot from 3 ft
6:14.0,,,78-89,,Offensive rebound by A. Stoudemire
6:06.0,,,78-89,,A. Stoudemire misses 2-pt shot from 3 ft
6:04.0,Defensive rebound by T. Splitter,,78-89,,
5:55.0,K. Bazemore misses 3-pt shot from 23 ft,,78-89,,
5:53.0,,,78-89,,Defensive rebound by J. Winslow
5:38.0,Personal foul by D. Schroder (drawn by A. Stoudemire),,78-89,,
5:38.0,Official timeout,,78-89,,
5:38.0,T. Hardaway enters the game for J. Teague,,78-89,,
5:38.0,A. Horford enters the game for T. Splitter,,78-89,,
5:24.0,,,78-89,,Turnover by J. Winslow (bad pass; steal by A. Horford)
