time,Portland,pts.away,score,pts.home,San Antonio
1:43.0,,,10-16,2,P. Mills makes 2-pt shot at rim (assist by D. West)
1:26.0,A. Crabbe misses 2-pt shot from 21 ft,,10-16,,
1:26.0,,,10-16,,Defensive rebound by B. Diaw
1:11.0,,,10-16,,R. Butler misses 3-pt shot from 23 ft
1:10.0,Defensive rebound by Team,,10-16,,
1:10.0,,,10-16,,Loose ball foul by D. West (drawn by E. Davis)
1:10.0,C. McCollum enters the game for D. Lillard,,10-16,,
0:55.0,M. Harkless makes 3-pt shot from 22 ft (assist by C. McCollum),3,13-16,,
0:42.0,,,13-16,,Shooting foul by M. Harkless (drawn by R. Butler)
0:42.0,,,13-16,,R. Butler misses free throw 1 of 2
0:42.0,,,13-16,,Offensive rebound by Team
0:42.0,,,13-17,1,R. Butler makes free throw 2 of 2
0:31.0,A. Crabbe misses 3-pt shot from 23 ft,,13-17,,
0:30.0,,,13-17,,Defensive rebound by M. Ginobili
0:08.0,,,13-17,,P. Mills misses 3-pt shot from 25 ft
0:07.0,,,13-17,,Offensive rebound by D. West
0:02.0,,,13-17,,P. Mills misses 2-pt shot from 21 ft
0:00.0,Defensive rebound by A. Crabbe,,13-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,C. McCollum misses 2-pt shot from 13 ft,,13-17,,
11:39.0,,,13-17,,Defensive rebound by B. Diaw
11:32.0,,,13-17,,Shooting foul by N. Vonleh (drawn by B. Diaw)
11:32.0,,,13-18,1,B. Diaw makes free throw 1 of 2
11:32.0,,,13-19,1,B. Diaw makes free throw 2 of 2
11:09.0,A. Crabbe misses 3-pt shot from 25 ft,,13-19,,
11:09.0,,,13-19,,Defensive rebound by M. Ginobili
10:50.0,,,13-19,,R. Butler misses 3-pt shot from 24 ft
10:49.0,Defensive rebound by A. Crabbe,,13-19,,
10:41.0,C. McCollum misses 2-pt shot from 3 ft,,13-19,,
10:40.0,,,13-19,,Defensive rebound by D. West
10:33.0,Personal foul by A. Crabbe (drawn by M. Ginobili),,13-19,,
10:33.0,G. Henderson enters the game for A. Crabbe,,13-19,,
10:31.0,Personal foul by C. McCollum (drawn by P. Mills),,13-19,,
10:20.0,,,13-19,,D. West misses 2-pt shot from 4 ft
10:19.0,Defensive rebound by N. Vonleh,,13-19,,
10:10.0,E. Davis misses 2-pt shot from 1 ft,,13-19,,
10:09.0,,,13-19,,Defensive rebound by B. Diaw
9:57.0,,,13-21,2,B. Diaw makes 2-pt shot from 6 ft
9:48.0,,,13-21,,Personal foul by M. Ginobili (drawn by G. Henderson)
9:48.0,,,13-21,,D. Green enters the game for M. Ginobili
9:48.0,C. Alexander enters the game for N. Vonleh,,13-21,,
9:41.0,C. McCollum misses 2-pt shot from 1 ft,,13-21,,
9:40.0,,,13-21,,Defensive rebound by D. West
9:34.0,,,13-21,,P. Mills misses 2-pt shot at rim (block by G. Henderson)
9:32.0,Defensive rebound by C. McCollum,,13-21,,
9:25.0,Turnover by G. Henderson (bad pass; steal by R. Butler),,13-21,,
9:15.0,,,13-21,,P. Mills misses 2-pt shot from 16 ft
9:13.0,Defensive rebound by E. Davis,,13-21,,
8:55.0,M. Harkless makes 2-pt shot from 16 ft,2,15-21,,
8:55.0,,,15-21,,San Antonio full timeout
8:55.0,,,15-21,,T. Parker enters the game for P. Mills
8:55.0,,,15-21,,T. Duncan enters the game for B. Diaw
8:55.0,,,15-21,,K. Leonard enters the game for R. Butler
8:42.0,,,15-23,2,K. Leonard makes 2-pt shot at rim (assist by D. West)
8:42.0,,,15-23,,Shooting foul by M. Harkless (drawn by K. Leonard)
8:42.0,,,15-23,,K. Leonard misses free throw 1 of 1
8:40.0,Defensive rebound by M. Harkless,,15-23,,
8:25.0,G. Henderson misses 3-pt shot from 24 ft,,15-23,,
8:24.0,,,15-23,,Defensive rebound by T. Duncan
8:06.0,,,15-26,3,D. Green makes 3-pt shot from 24 ft (assist by D. West)
7:40.0,Shooting foul by D. West (drawn by C. McCollum),,15-26,,
7:40.0,C. McCollum makes free throw 1 of 2,1,16-26,,
7:40.0,,,16-26,,L. Aldridge enters the game for D. West
7:40.0,M. Plumlee enters the game for M. Harkless,,16-26,,
7:40.0,A. Aminu enters the game for E. Davis,,16-26,,
7:40.0,C. McCollum makes free throw 2 of 2,1,17-26,,
7:20.0,,,17-26,,K. Leonard misses 2-pt shot from 13 ft
7:19.0,Defensive rebound by G. Henderson,,17-26,,
7:09.0,C. Alexander misses 2-pt shot from 15 ft,,17-26,,
7:08.0,,,17-26,,Defensive rebound by Team
7:08.0,D. Lillard enters the game for C. McCollum,,17-26,,
6:46.0,,,17-26,,T. Duncan misses 2-pt shot from 7 ft (block by C. Alexander)
6:44.0,,,17-26,,Offensive rebound by T. Duncan
6:41.0,,,17-28,2,T. Duncan makes 2-pt shot from 10 ft
6:31.0,Portland full timeout,,17-28,,
6:31.0,C. Kaman enters the game for C. Alexander,,17-28,,
6:25.0,D. Lillard makes 2-pt shot from 17 ft,2,19-28,,
6:05.0,,,19-28,,L. Aldridge misses 2-pt shot from 17 ft
6:02.0,Defensive rebound by M. Plumlee,,19-28,,
5:56.0,Turnover by M. Plumlee (lost ball),,19-28,,
5:36.0,,,19-30,2,K. Leonard makes 2-pt shot from 4 ft
5:19.0,A. Aminu misses 2-pt shot from 3 ft,,19-30,,
5:16.0,,,19-30,,Defensive rebound by T. Duncan
5:02.0,,,19-30,,D. Green misses 3-pt shot from 24 ft
5:00.0,Defensive rebound by A. Aminu,,19-30,,
4:45.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,21-30,,
4:30.0,,,21-30,,K. Leonard misses 2-pt shot from 18 ft
4:29.0,Defensive rebound by Team,,21-30,,
4:14.0,A. Aminu makes 2-pt shot from 19 ft,2,23-30,,
3:52.0,,,23-32,2,D. Green makes 2-pt shot from 14 ft (assist by K. Leonard)
3:32.0,A. Aminu makes 2-pt shot from 20 ft (assist by G. Henderson),2,25-32,,
3:10.0,,,25-32,,K. Leonard misses 3-pt shot from 25 ft
3:09.0,Defensive rebound by C. Kaman,,25-32,,
3:01.0,D. Lillard misses 2-pt shot at rim,,25-32,,
3:00.0,,,25-32,,Defensive rebound by K. Leonard
2:56.0,Official timeout,,25-32,,
2:56.0,,,25-32,,P. Mills enters the game for T. Parker
2:56.0,,,25-32,,M. Ginobili enters the game for D. Green
2:56.0,,,25-32,,K. Anderson enters the game for K. Leonard
2:56.0,,,25-32,,B. Diaw enters the game for T. Duncan
2:46.0,,,25-32,,L. Aldridge misses 2-pt shot from 11 ft
2:45.0,Defensive rebound by G. Henderson,,25-32,,
2:39.0,Offensive foul by M. Plumlee,,25-32,,
2:39.0,Turnover by M. Plumlee (offensive foul),,25-32,,
2:29.0,,,25-32,,M. Ginobili misses 2-pt shot from 1 ft
2:28.0,Defensive rebound by M. Plumlee,,25-32,,
2:21.0,G. Henderson misses 3-pt shot from 26 ft,,25-32,,
2:20.0,,,25-32,,Defensive rebound by L. Aldridge
2:09.0,,,25-32,,K. Anderson misses 3-pt shot from 23 ft
2:07.0,Defensive rebound by D. Lillard,,25-32,,
1:52.0,C. Kaman misses 2-pt shot from 18 ft,,25-32,,
1:51.0,,,25-32,,Defensive rebound by M. Ginobili
1:39.0,,,25-32,,Shooting foul by C. Kaman (drawn by L. Aldridge)
1:39.0,,,25-33,1,L. Aldridge makes free throw 1 of 2
1:39.0,C. McCollum enters the game for G. Henderson,,25-33,,
1:39.0,,,25-34,1,L. Aldridge makes free throw 2 of 2
1:18.0,C. McCollum makes 2-pt shot from 16 ft,2,27-34,,
0:58.0,,,27-36,2,B. Diaw makes 2-pt shot from 1 ft (assist by K. Anderson)
0:48.0,A. Aminu misses 2-pt shot from 3 ft (block by B. Diaw),,27-36,,
0:46.0,Offensive rebound by A. Aminu,,27-36,,
0:45.0,,,27-36,,D. West enters the game for L. Aldridge
0:40.0,Turnover by A. Aminu (bad pass; steal by B. Diaw),,27-36,,
0:32.0,,,27-36,,K. Anderson misses 2-pt shot from 15 ft
0:31.0,Defensive rebound by C. Kaman,,27-36,,
0:23.0,Portland full timeout,,27-36,,
0:22.0,,,27-36,,T. Parker enters the game for K. Anderson
0:22.0,,,27-36,,K. Leonard enters the game for P. Mills
0:22.0,A. Crabbe enters the game for C. Kaman,,27-36,,
0:14.0,,,27-36,,Personal foul by M. Ginobili (drawn by M. Plumlee)
0:12.0,,,27-36,,Personal foul by T. Parker (drawn by C. McCollum)
0:12.0,C. McCollum makes free throw 1 of 2,1,28-36,,
0:12.0,C. McCollum misses free throw 2 of 2,,28-36,,
0:12.0,,,28-36,,Defensive rebound by K. Leonard
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,C. Kaman makes 2-pt shot from 8 ft,2,30-36,,
11:22.0,,,30-39,3,K. Leonard makes 3-pt shot from 25 ft (assist by T. Parker)
11:04.0,M. Plumlee misses 2-pt shot from 10 ft,,30-39,,
11:03.0,,,30-39,,Defensive rebound by T. Duncan
10:40.0,,,30-39,,T. Duncan misses 2-pt shot from 10 ft
10:39.0,,,30-39,,Offensive rebound by K. Leonard
10:20.0,,,30-39,,K. Leonard misses 3-pt shot from 24 ft
10:19.0,Defensive rebound by C. Kaman,,30-39,,
10:04.0,C. Kaman misses 2-pt shot from 20 ft,,30-39,,
10:03.0,,,30-39,,Defensive rebound by K. Leonard
9:54.0,,,30-41,2,D. Green makes 2-pt shot from 15 ft (assist by K. Leonard)
9:28.0,C. Kaman misses 2-pt shot from 1 ft (block by T. Duncan),,30-41,,
9:26.0,,,30-41,,Defensive rebound by K. Leonard
9:12.0,,,30-41,,T. Parker misses 2-pt shot from 1 ft
9:11.0,Defensive rebound by M. Plumlee,,30-41,,
9:03.0,Shooting foul by L. Aldridge (drawn by D. Lillard),,30-41,,
9:03.0,D. Lillard makes free throw 1 of 2,1,31-41,,
9:03.0,D. Lillard makes free throw 2 of 2,1,32-41,,
8:52.0,Personal foul by C. Kaman (drawn by L. Aldridge),,32-41,,
8:36.0,,,32-43,2,D. Green makes 2-pt shot from 17 ft (assist by T. Parker)
8:19.0,D. Lillard makes 2-pt shot from 17 ft,2,34-43,,
8:04.0,,,34-45,2,T. Parker makes 2-pt shot from 17 ft (assist by D. Green)
7:49.0,C. McCollum makes 2-pt shot from 18 ft (assist by M. Plumlee),2,36-45,,
7:26.0,,,36-47,2,T. Duncan makes 2-pt shot from 5 ft (assist by T. Parker)
7:16.0,Shooting foul by D. Green (drawn by D. Lillard),,36-47,,
7:16.0,D. Lillard makes free throw 1 of 2,1,37-47,,
7:16.0,D. Lillard makes free throw 2 of 2,1,38-47,,
7:00.0,,,38-49,2,T. Parker makes 2-pt shot from 16 ft
6:51.0,Turnover by D. Lillard (turnover),,38-49,,
6:35.0,,,38-49,,T. Parker misses 2-pt shot from 17 ft (block by D. Lillard)
6:34.0,,,38-49,,Offensive rebound by T. Duncan
6:33.0,,,38-49,,Turnover by T. Duncan (turnover)
6:19.0,Turnover by C. McCollum (lost ball; steal by T. Parker),,38-49,,
6:14.0,,,38-51,2,K. Leonard makes 2-pt shot at rim (assist by D. Green)
6:14.0,Portland full timeout,,38-51,,
6:14.0,N. Vonleh enters the game for C. Kaman,,38-51,,
5:56.0,C. McCollum makes 2-pt shot from 13 ft,2,40-51,,
5:37.0,,,40-54,3,K. Leonard makes 3-pt shot from 25 ft (assist by T. Duncan)
5:24.0,,,40-54,,Personal foul by T. Parker (drawn by C. McCollum)
5:12.0,A. Aminu makes 3-pt shot from 23 ft (assist by D. Lillard),3,43-54,,
4:55.0,,,43-54,,Shooting foul by D. Lillard (drawn by T. Duncan)
4:55.0,,,43-54,,T. Duncan misses free throw 1 of 2
4:55.0,,,43-54,,Offensive rebound by Team
4:55.0,,,43-55,1,T. Duncan makes free throw 2 of 2
4:43.0,D. Lillard makes 2-pt shot from 6 ft,2,45-55,,
4:43.0,Shooting foul by L. Aldridge (drawn by D. Lillard),,45-55,,
4:43.0,D. Lillard makes free throw 1 of 1,1,46-55,,
4:23.0,,,46-57,2,T. Duncan makes 2-pt shot from 6 ft (assist by T. Parker)
4:12.0,A. Aminu makes 2-pt shot at rim,2,48-57,,
4:12.0,,,48-57,,San Antonio full timeout
4:12.0,,,48-57,,P. Mills enters the game for T. Parker
4:12.0,,,48-57,,K. Anderson enters the game for K. Leonard
4:12.0,,,48-57,,M. Ginobili enters the game for D. Green
4:12.0,,,48-57,,B. Diaw enters the game for L. Aldridge
4:12.0,E. Davis enters the game for M. Plumlee,,48-57,,
4:12.0,A. Crabbe enters the game for C. McCollum,,48-57,,
3:56.0,,,48-57,,B. Diaw misses 3-pt shot from 25 ft
3:54.0,Defensive rebound by E. Davis,,48-57,,
3:45.0,A. Aminu makes 2-pt shot from 6 ft (assist by D. Lillard),2,50-57,,
3:45.0,,,50-57,,Shooting block foul by B. Diaw (drawn by A. Aminu)
3:45.0,A. Aminu misses free throw 1 of 1,,50-57,,
3:44.0,,,50-57,,Defensive rebound by K. Anderson
3:28.0,,,50-57,,P. Mills misses 3-pt shot from 22 ft
3:27.0,Defensive rebound by N. Vonleh,,50-57,,
3:18.0,D. Lillard makes 2-pt shot from 10 ft,2,52-57,,
3:03.0,,,52-59,2,T. Duncan makes 2-pt shot from 12 ft
3:03.0,,,52-59,,Shooting foul by N. Vonleh (drawn by T. Duncan)
3:03.0,,,52-60,1,T. Duncan makes free throw 1 of 1
2:51.0,D. Lillard makes 3-pt shot from 24 ft,3,55-60,,
2:28.0,,,55-60,,Turnover by K. Anderson (bad pass; steal by D. Lillard)
2:20.0,D. Lillard misses 2-pt shot from 8 ft,,55-60,,
2:20.0,,,55-60,,Defensive rebound by Team
2:20.0,Loose ball foul by E. Davis (drawn by B. Diaw),,55-60,,
2:03.0,,,55-60,,B. Diaw misses 2-pt shot from 18 ft
2:02.0,Defensive rebound by D. Lillard,,55-60,,
1:48.0,D. Lillard misses 3-pt shot from 25 ft,,55-60,,
1:47.0,,,55-60,,Defensive rebound by K. Anderson
1:45.0,,,55-60,,Offensive charge foul by K. Anderson
1:45.0,,,55-60,,Turnover by K. Anderson (offensive foul)
1:45.0,M. Harkless enters the game for A. Aminu,,55-60,,
1:45.0,,,55-60,,D. West enters the game for T. Duncan
1:29.0,N. Vonleh misses 2-pt shot from 20 ft,,55-60,,
1:28.0,,,55-60,,Defensive rebound by D. West
1:11.0,,,55-60,,M. Ginobili misses 3-pt shot from 24 ft
1:10.0,Defensive rebound by E. Davis,,55-60,,
1:02.0,A. Crabbe makes 3-pt shot from 23 ft (assist by D. Lillard),3,58-60,,
0:53.0,,,58-62,2,M. Ginobili makes 2-pt shot from 3 ft (assist by D. West)
0:53.0,,,58-62,,Shooting foul by A. Crabbe (drawn by M. Ginobili)
0:53.0,C. McCollum enters the game for N. Vonleh,,58-62,,
0:53.0,,,58-62,,K. Leonard enters the game for K. Anderson
0:53.0,,,58-62,,D. Green enters the game for D. West
0:53.0,,,58-63,1,M. Ginobili makes free throw 1 of 1
0:33.0,D. Lillard makes 2-pt shot at rim,2,60-63,,
0:20.0,,,60-65,2,B. Diaw makes 2-pt shot at rim
0:00.0,M. Harkless misses 3-pt shot from 26 ft,,60-65,,
0:00.0,Offensive rebound by Team,,60-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,60-65,,D. Green misses 2-pt shot from 1 ft
11:43.0,,,60-65,,Offensive rebound by Team
11:38.0,,,60-67,2,M. Ginobili makes 2-pt shot from 2 ft (assist by B. Diaw)
11:17.0,Turnover by E. Davis (lost ball; steal by P. Mills),,60-67,,
11:04.0,,,60-67,,M. Ginobili misses 3-pt shot from 25 ft
11:03.0,Defensive rebound by N. Vonleh,,60-67,,
10:52.0,Jump ball: M. Ginobili vs. D. Lillard (A. Crabbe gains possession),,,,Jump ball: M. Ginobili vs. D. Lillard (A. Crabbe gains possession)
10:49.0,D. Lillard misses 3-pt shot from 25 ft,,60-67,,
10:49.0,,,60-67,,Defensive rebound by Team
10:28.0,,,60-70,3,M. Ginobili makes 3-pt shot from 25 ft (assist by B. Diaw)
10:09.0,M. Harkless misses 2-pt shot from 1 ft,,60-70,,
10:08.0,,,60-70,,Defensive rebound by D. Green
9:57.0,Violation by E. Davis (def goaltending),,60-70,,
9:57.0,,,60-72,2,B. Diaw makes 2-pt shot from 1 ft
9:57.0,Portland full timeout,,60-72,,
9:57.0,C. McCollum enters the game for M. Harkless,,60-72,,
9:57.0,A. Aminu enters the game for A. Crabbe,,60-72,,
9:36.0,C. McCollum makes 2-pt shot from 8 ft,2,62-72,,
9:20.0,,,62-72,,M. Ginobili misses 3-pt shot from 25 ft
9:19.0,,,62-72,,Offensive rebound by L. Aldridge
9:00.0,,,62-72,,M. Ginobili misses 2-pt shot from 1 ft
8:59.0,Defensive rebound by A. Aminu,,62-72,,
8:54.0,A. Aminu misses 2-pt shot from 2 ft (block by D. Green),,62-72,,
8:53.0,,,62-72,,Defensive rebound by L. Aldridge
8:46.0,,,62-75,3,D. Green makes 3-pt shot from 24 ft (assist by P. Mills)
8:32.0,A. Aminu makes 3-pt shot from 24 ft (assist by N. Vonleh),3,65-75,,
8:15.0,,,65-75,,P. Mills misses 2-pt shot from 19 ft
8:14.0,,,65-75,,Offensive rebound by P. Mills
8:04.0,,,65-75,,Turnover by D. Green (lost ball; steal by C. McCollum)
7:52.0,C. McCollum misses 2-pt shot from 11 ft,,65-75,,
7:51.0,,,65-75,,Defensive rebound by P. Mills
7:47.0,,,65-75,,San Antonio full timeout
7:47.0,M. Plumlee enters the game for E. Davis,,65-75,,
7:47.0,,,65-75,,K. Leonard enters the game for M. Ginobili
7:33.0,,,65-75,,B. Diaw misses 2-pt shot from 12 ft
7:32.0,Defensive rebound by C. McCollum,,65-75,,
7:18.0,,,65-75,,Def 3 sec tech foul by B. Diaw
7:18.0,D. Lillard makes technical free throw,1,66-75,,
7:06.0,A. Aminu makes 3-pt shot from 25 ft (assist by M. Plumlee),3,69-75,,
6:52.0,,,69-77,2,K. Leonard makes 2-pt shot from 18 ft (assist by P. Mills)
6:34.0,D. Lillard makes 2-pt shot from 17 ft (assist by C. McCollum),2,71-77,,
6:18.0,,,71-77,,D. Green misses 2-pt shot from 14 ft
6:17.0,Defensive rebound by N. Vonleh,,71-77,,
6:03.0,C. McCollum misses 2-pt shot from 14 ft,,71-77,,
6:02.0,,,71-77,,Defensive rebound by P. Mills
5:58.0,Personal foul by D. Lillard (drawn by P. Mills),,71-77,,
5:58.0,,,71-77,,T. Parker enters the game for D. Green
5:58.0,,,71-77,,T. Duncan enters the game for B. Diaw
5:48.0,,,71-77,,Turnover by P. Mills (bad pass; steal by M. Plumlee)
5:41.0,M. Plumlee makes 2-pt shot at rim (assist by A. Aminu),2,73-77,,
5:24.0,,,73-79,2,T. Parker makes 2-pt shot from 16 ft (assist by P. Mills)
5:07.0,D. Lillard makes 2-pt shot from 10 ft (assist by M. Plumlee),2,75-79,,
4:54.0,Personal foul by D. Lillard (drawn by T. Parker),,75-79,,
4:54.0,,,75-79,,M. Ginobili enters the game for P. Mills
4:46.0,,,75-79,,L. Aldridge misses 2-pt shot from 20 ft
4:45.0,Defensive rebound by A. Aminu,,75-79,,
4:30.0,Turnover by A. Aminu (lost ball; steal by T. Parker),,75-79,,
4:12.0,,,75-81,2,T. Parker makes 2-pt shot from 12 ft (assist by K. Leonard)
3:49.0,N. Vonleh makes 3-pt shot from 25 ft (assist by D. Lillard),3,78-81,,
3:25.0,,,78-83,2,M. Ginobili makes 2-pt shot from 7 ft (assist by T. Duncan)
3:13.0,D. Lillard misses 2-pt shot from 12 ft (block by K. Leonard),,78-83,,
3:12.0,,,78-83,,Defensive rebound by K. Leonard
3:02.0,,,78-83,,T. Parker misses 3-pt shot from 23 ft
3:02.0,Defensive rebound by N. Vonleh,,78-83,,
2:54.0,M. Plumlee makes 2-pt shot from 6 ft (assist by D. Lillard),2,80-83,,
2:27.0,,,80-85,2,M. Ginobili makes 2-pt shot from 20 ft
2:11.0,C. McCollum misses 3-pt shot from 24 ft,,80-85,,
2:10.0,,,80-85,,Defensive rebound by Team
2:10.0,Official timeout,,80-85,,
1:50.0,,,80-87,2,M. Ginobili makes 2-pt shot from 20 ft (assist by L. Aldridge)
1:31.0,D. Lillard misses 2-pt shot from 5 ft (block by T. Duncan),,80-87,,
1:28.0,Offensive rebound by C. McCollum,,80-87,,
1:25.0,C. McCollum misses 2-pt shot from 15 ft (block by K. Leonard),,80-87,,
1:23.0,,,80-87,,Defensive rebound by M. Ginobili
1:10.0,,,80-90,3,M. Ginobili makes 3-pt shot from 24 ft (assist by T. Parker)
1:10.0,Portland full timeout,,80-90,,
1:10.0,,,80-90,,K. Anderson enters the game for M. Ginobili
1:10.0,,,80-90,,B. Diaw enters the game for L. Aldridge
1:10.0,,,80-90,,D. Green enters the game for T. Duncan
1:10.0,A. Crabbe enters the game for N. Vonleh,,80-90,,
1:03.0,D. Lillard misses 2-pt shot from 4 ft (block by K. Anderson),,80-90,,
1:02.0,,,80-90,,Defensive rebound by B. Diaw
0:39.0,,,80-90,,K. Leonard misses 2-pt shot from 18 ft
0:38.0,Defensive rebound by A. Crabbe,,80-90,,
0:32.0,A. Aminu misses 3-pt shot from 25 ft,,80-90,,
0:31.0,,,80-90,,Defensive rebound by K. Leonard
