time,LA Clippers,pts.away,score,pts.home,Portland
4:12.0,P. Pierce enters the game for W. Johnson,,51-34,,
4:07.0,,,51-34,,M. Plumlee misses 2-pt shot from 6 ft
4:06.0,Defensive rebound by C. Paul,,51-34,,
3:57.0,C. Paul makes 2-pt shot from 7 ft,2,53-34,,
3:57.0,Shooting foul by T. Frazier (drawn by C. Paul),,53-34,,
3:57.0,C. Paul makes free throw 1 of 1,1,54-34,,
3:42.0,,,54-34,,A. Aminu misses 3-pt shot from 24 ft
3:41.0,Defensive rebound by D. Jordan,,54-34,,
3:34.0,A. Rivers misses 2-pt shot from 2 ft,,54-34,,
3:33.0,,,54-34,,Defensive rebound by M. Plumlee
3:24.0,,,54-37,3,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Lillard)
3:04.0,C. Paul misses 3-pt shot from 24 ft,,54-37,,
3:04.0,,,54-37,,Defensive rebound by A. Aminu
2:57.0,,,54-37,,Turnover by A. Aminu (lost ball; steal by P. Pierce)
2:44.0,C. Paul makes 2-pt shot from 1 ft,2,56-37,,
2:43.0,,,56-37,,Portland full timeout
2:43.0,LA Clippers full timeout,,56-37,,
2:43.0,J. Crawford enters the game for A. Rivers,,56-37,,
2:43.0,,,56-37,,L. Montero enters the game for T. Frazier
2:27.0,,,56-37,,Turnover by D. Lillard (bad pass; steal by J. Redick)
2:12.0,P. Pierce makes 3-pt shot from 24 ft (assist by C. Paul),3,59-37,,
1:48.0,,,59-37,,Turnover by A. Aminu (bad pass; steal by J. Redick)
1:31.0,C. Paul misses 2-pt shot from 17 ft,,59-37,,
1:30.0,,,59-37,,Defensive rebound by M. Plumlee
1:12.0,,,59-40,3,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard)
0:56.0,,,59-40,,Personal foul by A. Crabbe (drawn by J. Redick)
0:56.0,J. Redick makes free throw 1 of 2,1,60-40,,
0:56.0,J. Redick makes free throw 2 of 2,1,61-40,,
0:31.0,,,61-40,,Turnover by Team (shot clock)
0:28.0,C. Paul misses 2-pt shot from 20 ft (block by A. Aminu),,61-40,,
0:27.0,Offensive rebound by D. Jordan,,61-40,,
0:07.0,J. Crawford makes 2-pt shot from 3 ft,2,63-40,,
