time,Orlando,pts.away,score,pts.home,Phoenix
7:00.0,Defensive rebound by Team,,7-12,,
6:46.0,T. Harris makes 3-pt shot from 22 ft (assist by E. Payton),3,10-12,,
6:31.0,,,10-12,,Turnover by P. Tucker (bad pass; steal by E. Payton)
6:27.0,Offensive charge foul by T. Harris,,10-12,,
6:27.0,Turnover by T. Harris (offensive foul),,10-12,,
6:03.0,,,10-12,,E. Bledsoe misses 3-pt shot from 25 ft
6:00.0,Defensive rebound by N. Vucevic,,10-12,,
5:56.0,E. Payton makes 2-pt shot at rim,2,12-12,,
5:49.0,,,12-12,,Phoenix full timeout
5:40.0,,,12-12,,J. Leuer misses 2-pt shot from 14 ft
5:38.0,,,12-12,,Offensive rebound by A. Len
5:26.0,,,12-12,,Shooting foul by C. Frye (drawn by A. Len)
5:26.0,,,12-13,1,A. Len makes free throw 1 of 2
5:26.0,,,12-13,,D. Booker enters the game for E. Bledsoe
5:26.0,,,12-13,,M. Teletovic enters the game for J. Leuer
5:26.0,,,12-13,,A. Len misses free throw 2 of 2
5:25.0,Defensive rebound by N. Vucevic,,12-13,,
5:14.0,Turnover by C. Frye (bad pass; steal by B. Knight),,12-13,,
5:08.0,,,12-13,,Turnover by B. Knight (lost ball; steal by E. Payton)
4:58.0,Shooting foul by A. Len (drawn by E. Fournier),,12-13,,
4:58.0,E. Fournier makes free throw 1 of 2,1,13-13,,
4:58.0,E. Fournier misses free throw 2 of 2,,13-13,,
4:58.0,,,13-13,,Defensive rebound by M. Teletovic
4:48.0,,,13-13,,Turnover by B. Knight (bad pass; steal by E. Payton)
4:32.0,E. Fournier misses 2-pt shot from 3 ft (block by P. Tucker),,13-13,,
4:32.0,Offensive rebound by Team,,13-13,,
4:32.0,,,13-13,,T. Warren enters the game for P. Tucker
4:29.0,N. Vucevic makes 2-pt shot from 8 ft (assist by E. Payton),2,15-13,,
4:09.0,,,15-13,,M. Teletovic misses 3-pt shot from 25 ft
4:08.0,Defensive rebound by T. Harris,,15-13,,
4:01.0,T. Harris makes 2-pt shot at rim (assist by C. Frye),2,17-13,,
3:38.0,,,17-13,,Offensive foul by M. Teletovic
3:38.0,,,17-13,,Turnover by M. Teletovic (offensive foul)
3:38.0,A. Nicholson enters the game for C. Frye,,17-13,,
3:38.0,Orlando full timeout,,17-13,,
3:26.0,E. Fournier makes 2-pt shot at rim (assist by E. Payton),2,19-13,,
3:06.0,,,19-13,,B. Knight misses 3-pt shot from 25 ft
3:05.0,,,19-13,,Offensive rebound by Team
3:05.0,V. Oladipo enters the game for T. Harris,,19-13,,
3:01.0,,,19-16,3,M. Teletovic makes 3-pt shot from 26 ft (assist by B. Knight)
2:45.0,E. Payton makes 2-pt shot from 4 ft,2,21-16,,
2:30.0,Personal foul by N. Vucevic (drawn by A. Len),,21-16,,
2:30.0,J. Smith enters the game for N. Vucevic,,21-16,,
2:30.0,,,21-16,,R. Price enters the game for B. Knight
2:30.0,,,21-16,,J. Leuer enters the game for A. Len
2:25.0,,,21-18,2,D. Booker makes 2-pt shot from 18 ft (assist by R. Price)
2:10.0,,,21-18,,Personal foul by R. Price (drawn by A. Nicholson)
2:06.0,,,21-18,,Violation by R. Price (kicked ball)
1:58.0,,,21-18,,Personal foul by D. Booker (drawn by V. Oladipo)
1:52.0,E. Payton misses 2-pt shot from 16 ft,,21-18,,
1:50.0,,,21-18,,Defensive rebound by M. Teletovic
1:28.0,,,21-18,,T. Warren misses 2-pt shot from 16 ft
1:27.0,Defensive rebound by A. Nicholson,,21-18,,
1:16.0,V. Oladipo misses 2-pt shot from 19 ft,,21-18,,
1:15.0,Offensive rebound by Team,,21-18,,
1:15.0,S. Napier enters the game for E. Payton,,21-18,,
1:09.0,E. Fournier makes 3-pt shot from 23 ft (assist by S. Napier),3,24-18,,
0:58.0,,,24-20,2,T. Warren makes 2-pt shot from 1 ft (assist by M. Teletovic)
0:41.0,A. Nicholson misses 2-pt shot from 6 ft,,24-20,,
0:41.0,,,24-20,,Defensive rebound by Team
0:29.0,Personal foul by J. Smith (drawn by J. Leuer),,24-20,,
0:29.0,T. Harris enters the game for E. Fournier,,24-20,,
0:26.0,,,24-20,,Shooting foul by A. Nicholson (drawn by M. Teletovic)
0:26.0,,,24-20,,M. Teletovic misses free throw 1 of 2
0:26.0,,,24-20,,Offensive rebound by Team
0:26.0,,,24-21,1,M. Teletovic makes free throw 2 of 2
0:07.0,V. Oladipo misses 2-pt shot from 2 ft (block by J. Leuer),,24-21,,
0:04.0,,,24-21,,Defensive rebound by T. Warren
0:01.0,,,24-21,,R. Price misses 3-pt shot from 25 ft
0:00.0,,,24-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,24-23,2,J. Leuer makes 2-pt shot at rim (assist by D. Booker)
11:27.0,A. Nicholson makes 2-pt shot from 8 ft (assist by S. Napier),2,26-23,,
11:22.0,Personal foul by S. Napier (drawn by R. Price),,26-23,,
11:09.0,,,26-23,,T. Warren misses 2-pt shot from 6 ft
11:07.0,,,26-23,,Offensive rebound by J. Leuer
11:01.0,,,26-23,,M. Teletovic misses 3-pt shot from 26 ft
10:59.0,Defensive rebound by V. Oladipo,,26-23,,
10:52.0,Offensive charge foul by V. Oladipo,,26-23,,
10:52.0,Turnover by V. Oladipo (offensive foul),,26-23,,
10:37.0,,,26-23,,T. Warren misses 3-pt shot from 24 ft
10:35.0,Defensive rebound by V. Oladipo,,26-23,,
10:24.0,A. Nicholson misses 2-pt shot from 6 ft,,26-23,,
10:21.0,,,26-23,,Defensive rebound by M. Teletovic
10:18.0,,,26-23,,Turnover by R. Price (lost ball)
10:07.0,V. Oladipo misses 2-pt shot from 16 ft,,26-23,,
10:07.0,,,26-23,,Defensive rebound by Team
10:07.0,Loose ball foul by J. Smith (drawn by D. Booker),,26-23,,
10:07.0,,,26-23,,E. Bledsoe enters the game for R. Price
9:55.0,,,26-23,,D. Booker misses 2-pt shot from 7 ft (block by J. Smith)
9:52.0,Defensive rebound by A. Nicholson,,26-23,,
9:48.0,V. Oladipo makes 3-pt shot from 24 ft (assist by S. Napier),3,29-23,,
9:48.0,Personal foul by A. Nicholson (drawn by D. Booker),,29-23,,
9:35.0,,,29-23,,Turnover by J. Leuer (bad pass; steal by V. Oladipo)
9:24.0,Shooting foul by D. Booker (drawn by A. Nicholson),,29-23,,
9:24.0,A. Nicholson makes free throw 1 of 2,1,30-23,,
9:24.0,,,30-23,,P. Tucker enters the game for T. Warren
9:24.0,A. Nicholson makes free throw 2 of 2,1,31-23,,
9:12.0,,,31-25,2,J. Leuer makes 2-pt shot from 1 ft (assist by E. Bledsoe)
9:00.0,S. Napier makes 3-pt shot from 25 ft (assist by T. Harris),3,34-25,,
8:41.0,,,34-27,2,M. Teletovic makes 2-pt shot from 2 ft
8:28.0,Turnover by T. Harris (bad pass; steal by E. Bledsoe),,34-27,,
8:24.0,,,34-27,,E. Bledsoe misses 2-pt shot from 1 ft
8:22.0,Defensive rebound by T. Harris,,34-27,,
8:20.0,Shooting foul by D. Booker (drawn by S. Napier),,34-27,,
8:20.0,,,34-27,,B. Knight enters the game for D. Booker
8:20.0,S. Napier makes free throw 1 of 2,1,35-27,,
8:20.0,S. Napier misses free throw 2 of 2,,35-27,,
8:19.0,,,35-27,,Defensive rebound by E. Bledsoe
8:09.0,,,35-29,2,J. Leuer makes 2-pt shot at rim
7:50.0,Turnover by T. Harris (traveling),,35-29,,
7:42.0,N. Vucevic enters the game for J. Smith,,35-29,,
7:42.0,E. Fournier enters the game for A. Nicholson,,35-29,,
7:40.0,,,35-29,,M. Teletovic misses 2-pt shot from 16 ft
7:39.0,Defensive rebound by Team,,35-29,,
7:21.0,N. Vucevic makes 2-pt shot from 12 ft,2,37-29,,
7:09.0,,,37-29,,B. Knight misses 3-pt shot from 25 ft
7:07.0,Defensive rebound by N. Vucevic,,37-29,,
6:53.0,Turnover by E. Fournier (lost ball; steal by B. Knight),,37-29,,
6:47.0,,,37-32,3,M. Teletovic makes 3-pt shot from 24 ft (assist by J. Leuer)
6:28.0,N. Vucevic makes 2-pt shot from 5 ft (assist by V. Oladipo),2,39-32,,
6:13.0,,,39-32,,J. Leuer misses 2-pt shot from 2 ft
6:11.0,Defensive rebound by N. Vucevic,,39-32,,
6:04.0,V. Oladipo misses 2-pt shot from 2 ft,,39-32,,
6:02.0,,,39-32,,Defensive rebound by J. Leuer
5:48.0,,,39-34,2,E. Bledsoe makes 2-pt shot from 1 ft (assist by M. Teletovic)
5:30.0,Turnover by V. Oladipo (bad pass; steal by P. Tucker),,39-34,,
5:26.0,,,39-36,2,B. Knight makes 2-pt shot at rim (assist by E. Bledsoe)
5:09.0,,,39-36,,Phoenix full timeout
5:09.0,A. Nicholson enters the game for V. Oladipo,,39-36,,
5:09.0,E. Payton enters the game for S. Napier,,39-36,,
5:09.0,,,39-36,,A. Len enters the game for J. Leuer
5:05.0,N. Vucevic misses 2-pt shot from 5 ft,,39-36,,
5:03.0,,,39-36,,Defensive rebound by M. Teletovic
4:54.0,,,39-39,3,M. Teletovic makes 3-pt shot from 24 ft (assist by E. Bledsoe)
4:36.0,E. Fournier misses 3-pt shot from 22 ft,,39-39,,
4:33.0,Offensive rebound by E. Fournier,,39-39,,
4:30.0,T. Harris makes 2-pt shot from 17 ft (assist by E. Fournier),2,41-39,,
4:20.0,,,41-39,,M. Teletovic misses 3-pt shot from 23 ft
4:18.0,Defensive rebound by T. Harris,,41-39,,
4:12.0,E. Payton misses 2-pt shot from 5 ft,,41-39,,
4:08.0,,,41-39,,Defensive rebound by B. Knight
4:06.0,,,41-39,,Turnover by E. Bledsoe (bad pass)
3:47.0,T. Harris misses 3-pt shot from 23 ft,,41-39,,
3:46.0,,,41-39,,Defensive rebound by A. Len
3:39.0,,,41-39,,E. Bledsoe misses 2-pt shot from 16 ft
3:38.0,Jump ball: A. Len vs. N. Vucevic (E. Bledsoe gains possession),,,,Jump ball: A. Len vs. N. Vucevic (E. Bledsoe gains possession)
3:38.0,,,41-39,,Offensive rebound by Team
3:13.0,,,41-39,,Turnover by E. Bledsoe (lost ball; steal by E. Fournier)
3:13.0,,,41-39,,Personal take foul by E. Bledsoe (drawn by E. Fournier)
2:59.0,A. Nicholson makes 2-pt shot from 13 ft,2,43-39,,
2:46.0,Personal block foul by A. Nicholson (drawn by B. Knight),,43-39,,
2:46.0,Orlando full timeout,,43-39,,
2:46.0,C. Frye enters the game for A. Nicholson,,43-39,,
2:32.0,,,43-39,,E. Bledsoe misses 2-pt shot from 17 ft
2:31.0,,,43-39,,Offensive rebound by A. Len
2:22.0,,,43-39,,B. Knight misses 2-pt shot from 2 ft
2:18.0,Defensive rebound by C. Frye,,43-39,,
2:14.0,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Payton),2,45-39,,
1:57.0,,,45-42,3,M. Teletovic makes 3-pt shot from 26 ft (assist by B. Knight)
1:39.0,E. Payton misses 2-pt shot from 3 ft,,45-42,,
1:39.0,Offensive rebound by Team,,45-42,,
1:39.0,,,45-42,,Personal foul by M. Teletovic (drawn by C. Frye)
1:25.0,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton),2,47-42,,
1:13.0,,,47-44,2,A. Len makes 2-pt shot at rim (assist by M. Teletovic)
0:59.0,T. Harris misses 2-pt shot from 16 ft,,47-44,,
0:57.0,,,47-44,,Defensive rebound by A. Len
0:39.0,,,47-47,3,E. Bledsoe makes 3-pt shot from 25 ft
0:31.0,,,47-47,,Personal foul by E. Bledsoe (drawn by E. Payton)
0:31.0,E. Payton misses free throw 1 of 2,,47-47,,
0:31.0,Offensive rebound by Team,,47-47,,
0:31.0,E. Payton misses free throw 2 of 2,,47-47,,
0:31.0,,,47-47,,Defensive rebound by M. Teletovic
0:08.0,,,47-47,,A. Len misses 2-pt shot from 15 ft
0:06.0,,,47-47,,Offensive rebound by P. Tucker
0:03.0,,,47-47,,Phoenix full timeout
0:03.0,V. Oladipo enters the game for C. Frye,,47-47,,
0:00.0,,,47-47,,A. Len misses 2-pt shot from 1 ft
0:00.0,,,47-47,,Offensive rebound by P. Tucker
0:00.0,,,47-49,2,P. Tucker makes 2-pt shot from 2 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:33.0,,,47-49,,P. Tucker misses 2-pt shot from 18 ft
11:31.0,Defensive rebound by C. Frye,,47-49,,
11:17.0,N. Vucevic misses 2-pt shot from 15 ft,,47-49,,
11:15.0,,,47-49,,Defensive rebound by A. Len
11:08.0,,,47-49,,Turnover by E. Bledsoe (bad pass; steal by T. Harris)
11:07.0,,,47-49,,Personal foul by P. Tucker (drawn by T. Harris)
10:59.0,E. Fournier misses 2-pt shot from 19 ft,,47-49,,
10:57.0,,,47-49,,Defensive rebound by A. Len
10:46.0,,,47-51,2,B. Knight makes 2-pt shot from 18 ft
10:31.0,E. Payton misses 2-pt shot from 7 ft,,47-51,,
10:30.0,,,47-51,,Defensive rebound by B. Knight
10:30.0,Personal foul by E. Payton (drawn by B. Knight),,47-51,,
10:21.0,,,47-51,,Turnover by A. Len (bad pass)
10:10.0,E. Payton misses 2-pt shot from 1 ft,,47-51,,
10:09.0,Offensive rebound by N. Vucevic,,47-51,,
10:09.0,Shooting foul by P. Tucker (drawn by N. Vucevic),,47-51,,
10:09.0,N. Vucevic makes free throw 1 of 2,1,48-51,,
10:09.0,N. Vucevic makes free throw 2 of 2,1,49-51,,
9:59.0,,,49-53,2,B. Knight makes 2-pt shot from 19 ft
9:41.0,Turnover by E. Fournier (lost ball; steal by B. Knight),,49-53,,
9:38.0,,,49-55,2,E. Bledsoe makes 2-pt shot at rim (assist by B. Knight)
9:26.0,E. Fournier misses 2-pt shot from 2 ft (block by A. Len),,49-55,,
9:23.0,,,49-55,,Defensive rebound by P. Tucker
9:13.0,,,49-57,2,B. Knight makes 2-pt shot from 1 ft (assist by A. Len)
8:56.0,Turnover by E. Payton (bad pass; steal by B. Knight),,49-57,,
8:53.0,,,49-57,,Turnover by B. Knight (lost ball; steal by T. Harris)
8:49.0,E. Payton makes 2-pt shot from 1 ft (assist by T. Harris),2,51-57,,
8:35.0,,,51-57,,Turnover by J. Leuer (lost ball)
8:22.0,T. Harris misses 3-pt shot from 23 ft,,51-57,,
8:20.0,,,51-57,,Defensive rebound by P. Tucker
8:12.0,,,51-59,2,A. Len makes 2-pt shot at rim (assist by E. Bledsoe)
7:50.0,C. Frye makes 3-pt shot from 22 ft (assist by T. Harris),3,54-59,,
7:34.0,,,54-59,,Turnover by A. Len (3 sec)
7:34.0,,,54-59,,R. Price enters the game for B. Knight
7:21.0,Turnover by E. Payton (bad pass; steal by E. Bledsoe),,54-59,,
7:20.0,Personal take foul by C. Frye (drawn by E. Bledsoe),,54-59,,
7:20.0,,,54-59,,M. Teletovic enters the game for J. Leuer
7:04.0,,,54-61,2,P. Tucker makes 2-pt shot from 19 ft (assist by E. Bledsoe)
6:50.0,Turnover by C. Frye (3 sec),,54-61,,
6:33.0,,,54-63,2,E. Bledsoe makes 2-pt shot at rim
6:32.0,Orlando full timeout,,54-63,,
6:32.0,S. Napier enters the game for T. Harris,,54-63,,
6:32.0,V. Oladipo enters the game for C. Frye,,54-63,,
6:32.0,A. Gordon enters the game for E. Payton,,54-63,,
6:09.0,V. Oladipo makes 3-pt shot from 24 ft (assist by N. Vucevic),3,57-63,,
5:45.0,,,57-65,2,E. Bledsoe makes 2-pt shot from 7 ft
5:45.0,,,57-65,,Shooting foul by S. Napier (drawn by E. Bledsoe)
5:45.0,,,57-65,,D. Booker enters the game for P. Tucker
5:45.0,,,57-66,1,E. Bledsoe makes free throw 1 of 1
5:36.0,V. Oladipo makes 2-pt shot from 14 ft,2,59-66,,
5:18.0,,,59-68,2,A. Len makes 2-pt shot from 15 ft (assist by E. Bledsoe)
4:52.0,S. Napier misses 3-pt shot from 24 ft,,59-68,,
4:50.0,Offensive rebound by N. Vucevic,,59-68,,
4:48.0,N. Vucevic makes 2-pt shot from 6 ft,2,61-68,,
4:34.0,,,61-68,,Shooting foul by N. Vucevic (drawn by A. Len)
4:34.0,,,61-69,1,A. Len makes free throw 1 of 2
4:34.0,,,61-69,,A. Len misses free throw 2 of 2
4:33.0,Defensive rebound by N. Vucevic,,61-69,,
4:15.0,V. Oladipo misses 3-pt shot from 23 ft,,61-69,,
4:14.0,,,61-69,,Defensive rebound by A. Len
4:14.0,Loose ball foul by A. Gordon (drawn by A. Len),,61-69,,
4:14.0,,,61-70,1,A. Len makes free throw 1 of 2
4:14.0,,,61-70,,B. Knight enters the game for E. Bledsoe
4:14.0,,,61-71,1,A. Len makes free throw 2 of 2
4:03.0,,,61-71,,Personal foul by A. Len (drawn by N. Vucevic)
3:59.0,Turnover by N. Vucevic (traveling),,61-71,,
3:49.0,,,61-71,,B. Knight misses 3-pt shot from 25 ft
3:47.0,,,61-71,,Offensive rebound by A. Len
3:47.0,,,61-71,,A. Len misses 2-pt shot from 1 ft
3:45.0,,,61-71,,Offensive rebound by A. Len
3:45.0,,,61-73,2,A. Len makes 2-pt shot from 5 ft
3:45.0,,,61-73,,Shooting foul by N. Vucevic (drawn by A. Len)
3:45.0,M. Hezonja enters the game for N. Vucevic,,61-73,,
3:45.0,A. Nicholson enters the game for E. Fournier,,61-73,,
3:45.0,,,61-73,,A. Len misses free throw 1 of 1
3:45.0,Defensive rebound by A. Nicholson,,61-73,,
3:28.0,V. Oladipo makes 2-pt shot from 18 ft,2,63-73,,
3:08.0,,,63-73,,R. Price misses 3-pt shot from 24 ft
3:06.0,Defensive rebound by M. Hezonja,,63-73,,
3:01.0,A. Gordon makes 2-pt shot from 2 ft (assist by V. Oladipo),2,65-73,,
2:49.0,,,65-73,,Turnover by M. Teletovic (lost ball; steal by A. Gordon)
2:44.0,Turnover by M. Hezonja (traveling),,65-73,,
2:44.0,,,65-73,,Phoenix full timeout
2:44.0,,,65-73,,T. Warren enters the game for A. Len
2:26.0,,,65-73,,M. Teletovic misses 3-pt shot from 24 ft
2:24.0,,,65-73,,Offensive rebound by T. Warren
2:13.0,,,65-75,2,B. Knight makes 2-pt shot from 21 ft
1:49.0,A. Nicholson makes 3-pt shot from 23 ft (assist by V. Oladipo),3,68-75,,
1:38.0,,,68-77,2,B. Knight makes 2-pt shot from 2 ft
1:38.0,,,68-77,,Shooting foul by V. Oladipo (drawn by B. Knight)
1:38.0,,,68-78,1,B. Knight makes free throw 1 of 1
1:21.0,S. Napier makes 3-pt shot from 25 ft,3,71-78,,
1:12.0,,,71-78,,Turnover by B. Knight (lost ball)
1:00.0,Turnover by A. Nicholson (lost ball; steal by B. Knight),,71-78,,
0:51.0,Personal block foul by A. Nicholson (drawn by B. Knight),,71-78,,
0:51.0,,,71-79,1,B. Knight makes free throw 1 of 2
0:51.0,,,71-79,,J. Leuer enters the game for R. Price
0:51.0,,,71-80,1,B. Knight makes free throw 2 of 2
0:39.0,V. Oladipo makes 2-pt shot from 19 ft (assist by S. Napier),2,73-80,,
0:34.0,,,73-80,,Shooting foul by A. Nicholson (drawn by B. Knight)
0:34.0,,,73-81,1,B. Knight makes free throw 1 of 2
0:34.0,N. Vucevic enters the game for A. Nicholson,,73-81,,
0:34.0,,,73-81,,A. Len enters the game for M. Teletovic
0:34.0,,,73-82,1,B. Knight makes free throw 2 of 2
0:23.0,V. Oladipo misses 2-pt shot from 18 ft,,73-82,,
0:21.0,,,73-82,,Defensive rebound by J. Leuer
0:00.0,,,73-82,,B. Knight misses 2-pt shot from 1 ft
0:00.0,,,73-82,,Offensive rebound by A. Len
0:00.0,,,73-84,2,A. Len makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,E. Payton misses 2-pt shot from 1 ft,,73-84,,
11:45.0,Offensive rebound by Team,,73-84,,
11:36.0,V. Oladipo makes 2-pt shot from 1 ft (assist by M. Hezonja),2,75-84,,
11:17.0,,,75-86,2,A. Len makes 2-pt shot at rim (assist by T. Warren)
10:55.0,A. Gordon makes 3-pt shot from 22 ft (assist by V. Oladipo),3,78-86,,
10:37.0,,,78-86,,J. Leuer misses 3-pt shot from 22 ft
10:35.0,Defensive rebound by V. Oladipo,,78-86,,
10:30.0,M. Hezonja makes 3-pt shot from 25 ft (assist by V. Oladipo),3,81-86,,
10:18.0,Personal foul by E. Payton (drawn by B. Knight),,81-86,,
10:18.0,E. Fournier enters the game for M. Hezonja,,81-86,,
10:18.0,,,81-86,,E. Bledsoe enters the game for D. Booker
10:10.0,,,81-86,,E. Bledsoe misses 3-pt shot from 22 ft
10:08.0,Defensive rebound by A. Gordon,,81-86,,
9:58.0,E. Fournier makes 3-pt shot from 24 ft (assist by E. Payton),3,84-86,,
9:58.0,,,84-86,,Phoenix full timeout
9:37.0,,,84-86,,E. Bledsoe misses 2-pt shot from 7 ft
9:35.0,Defensive rebound by A. Gordon,,84-86,,
9:19.0,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton),2,86-86,,
9:09.0,,,86-88,2,B. Knight makes 2-pt shot from 8 ft
8:47.0,V. Oladipo misses 3-pt shot from 22 ft,,86-88,,
8:45.0,,,86-88,,Defensive rebound by J. Leuer
8:37.0,,,86-88,,Shooting foul by V. Oladipo (drawn by J. Leuer)
8:37.0,,,86-88,,J. Leuer misses free throw 1 of 2
8:37.0,,,86-88,,Offensive rebound by Team
8:37.0,,,86-88,,P. Tucker enters the game for T. Warren
8:37.0,,,86-89,1,J. Leuer makes free throw 2 of 2
8:22.0,E. Fournier misses 3-pt shot from 25 ft,,86-89,,
8:20.0,,,86-89,,Defensive rebound by A. Len
8:11.0,,,86-91,2,J. Leuer makes 2-pt shot from 1 ft (assist by E. Bledsoe)
7:54.0,E. Payton makes 2-pt shot from 1 ft (assist by A. Gordon),2,88-91,,
7:39.0,,,88-94,3,P. Tucker makes 3-pt shot from 23 ft (assist by J. Leuer)
7:22.0,E. Payton makes 2-pt shot from 17 ft,2,90-94,,
7:11.0,,,90-94,,B. Knight misses 3-pt shot from 24 ft
7:08.0,Defensive rebound by E. Payton,,90-94,,
7:02.0,E. Fournier misses 2-pt shot from 12 ft,,90-94,,
6:58.0,,,90-94,,Defensive rebound by A. Len
6:49.0,,,90-96,2,J. Leuer makes 2-pt shot from 19 ft (assist by E. Bledsoe)
6:31.0,E. Payton misses 2-pt shot from 5 ft,,90-96,,
6:29.0,,,90-96,,Defensive rebound by A. Len
6:22.0,,,90-96,,Shooting foul by N. Vucevic (drawn by A. Len)
6:22.0,,,90-96,,A. Len misses free throw 1 of 2
6:22.0,,,90-96,,Offensive rebound by Team
6:22.0,T. Harris enters the game for A. Gordon,,90-96,,
6:22.0,M. Hezonja enters the game for E. Fournier,,90-96,,
6:22.0,,,90-96,,M. Teletovic enters the game for J. Leuer
6:22.0,,,90-96,,A. Len misses free throw 2 of 2
6:21.0,Defensive rebound by M. Hezonja,,90-96,,
6:02.0,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton),2,92-96,,
5:47.0,Official timeout,,92-96,,
5:39.0,,,92-98,2,P. Tucker makes 2-pt shot from 20 ft (assist by B. Knight)
5:14.0,N. Vucevic misses 2-pt shot from 20 ft,,92-98,,
5:12.0,,,92-98,,Defensive rebound by P. Tucker
5:06.0,,,92-100,2,E. Bledsoe makes 2-pt shot from 15 ft
4:46.0,E. Payton misses 2-pt shot from 16 ft,,92-100,,
4:44.0,,,92-100,,Defensive rebound by B. Knight
4:31.0,,,92-100,,Shooting foul by V. Oladipo (drawn by A. Len)
4:31.0,,,92-101,1,A. Len makes free throw 1 of 2
4:31.0,,,92-102,1,A. Len makes free throw 2 of 2
4:19.0,T. Harris misses 2-pt shot from 4 ft (block by A. Len),,92-102,,
4:19.0,Offensive rebound by Team,,92-102,,
4:10.0,E. Payton misses 3-pt shot from 22 ft,,92-102,,
4:08.0,Offensive rebound by N. Vucevic,,92-102,,
4:07.0,N. Vucevic misses 2-pt shot from 1 ft (block by E. Bledsoe),,92-102,,
4:07.0,Offensive rebound by Team,,92-102,,
3:57.0,Shooting foul by M. Teletovic (drawn by T. Harris),,92-102,,
3:57.0,T. Harris makes 2-pt shot from 6 ft,2,94-102,,
3:57.0,T. Harris makes free throw 1 of 1,1,95-102,,
3:44.0,,,95-102,,Turnover by B. Knight (lost ball; steal by E. Payton)
3:44.0,,,95-102,,Loose ball foul by B. Knight (drawn by E. Payton)
3:32.0,T. Harris makes 2-pt shot from 16 ft,2,97-102,,
3:31.0,,,97-102,,Phoenix full timeout
3:31.0,E. Fournier enters the game for M. Hezonja,,97-102,,
