time,Atlanta,pts.away,score,pts.home,Dallas
8:03.0,,,7-8,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Williams)
7:44.0,P. Millsap misses 2-pt shot from 7 ft (block by W. Matthews),,7-8,,
7:43.0,,,7-8,,Defensive rebound by Z. Pachulia
7:41.0,,,7-8,,Turnover by Z. Pachulia (lost ball; steal by P. Millsap)
7:36.0,J. Teague makes 3-pt shot from 24 ft (assist by P. Millsap),3,10-8,,
7:20.0,,,10-8,,R. Felton misses 2-pt shot from 20 ft
7:19.0,Defensive rebound by K. Korver,,10-8,,
7:02.0,A. Horford misses 2-pt shot from 10 ft,,10-8,,
7:00.0,,,10-8,,Defensive rebound by Z. Pachulia
6:53.0,,,10-10,2,D. Williams makes 2-pt shot from 2 ft
6:36.0,K. Korver misses 3-pt shot from 23 ft,,10-10,,
6:35.0,,,10-10,,Defensive rebound by D. Nowitzki
6:25.0,,,10-12,2,D. Nowitzki makes 2-pt shot from 20 ft (assist by W. Matthews)
6:24.0,Atlanta full timeout,,10-12,,
6:24.0,,,10-12,,C. Parsons enters the game for D. Nowitzki
6:24.0,,,10-12,,D. Powell enters the game for R. Felton
6:24.0,M. Muscala enters the game for A. Horford,,10-12,,
6:10.0,J. Teague misses 2-pt shot from 17 ft,,10-12,,
6:10.0,,,10-12,,Defensive rebound by C. Parsons
5:54.0,,,10-12,,C. Parsons misses 2-pt shot from 2 ft (block by M. Muscala)
5:52.0,Defensive rebound by P. Millsap,,10-12,,
5:40.0,Turnover by K. Korver (bad pass; steal by Z. Pachulia),,10-12,,
5:28.0,,,10-12,,W. Matthews misses 2-pt shot from 12 ft
5:27.0,Defensive rebound by M. Muscala,,10-12,,
5:14.0,P. Millsap misses 3-pt shot from 22 ft,,10-12,,
5:13.0,,,10-12,,Defensive rebound by Z. Pachulia
5:03.0,,,10-14,2,D. Powell makes 2-pt shot from 1 ft (assist by Z. Pachulia)
4:45.0,M. Muscala makes 2-pt shot from 20 ft (assist by K. Korver),2,12-14,,
4:31.0,,,12-14,,D. Powell misses 3-pt shot from 25 ft
4:30.0,Defensive rebound by T. Sefolosha,,12-14,,
4:23.0,P. Millsap makes 2-pt shot at rim (assist by T. Sefolosha),2,14-14,,
4:07.0,,,14-16,2,W. Matthews makes 2-pt shot from 1 ft (assist by D. Williams)
3:52.0,M. Muscala makes 2-pt shot from 2 ft (assist by J. Teague),2,16-16,,
3:41.0,,,16-16,,Shooting foul by K. Korver (drawn by W. Matthews)
3:41.0,,,16-17,1,W. Matthews makes free throw 1 of 3
3:41.0,,,16-18,1,W. Matthews makes free throw 2 of 3
3:41.0,K. Bazemore enters the game for T. Sefolosha,,16-18,,
3:41.0,D. Schroder enters the game for J. Teague,,16-18,,
3:41.0,,,16-19,1,W. Matthews makes free throw 3 of 3
3:30.0,P. Millsap misses 2-pt shot from 18 ft,,16-19,,
3:29.0,,,16-19,,Defensive rebound by Z. Pachulia
3:17.0,,,16-19,,D. Williams misses 2-pt shot from 18 ft
3:15.0,Defensive rebound by D. Schroder,,16-19,,
3:04.0,D. Schroder makes 2-pt shot from 21 ft,2,18-19,,
3:03.0,,,18-19,,Dallas full timeout
3:03.0,L. Patterson enters the game for K. Korver,,18-19,,
2:38.0,,,18-22,3,W. Matthews makes 3-pt shot from 25 ft
2:16.0,P. Millsap misses 2-pt shot from 3 ft,,18-22,,
2:16.0,,,18-22,,Defensive rebound by Z. Pachulia
2:16.0,Loose ball foul by P. Millsap (drawn by Z. Pachulia),,18-22,,
2:16.0,,,18-22,,D. Harris enters the game for W. Matthews
2:16.0,,,18-22,,D. Nowitzki enters the game for Z. Pachulia
2:16.0,,,18-22,,J. Barea enters the game for D. Williams
2:16.0,A. Horford enters the game for P. Millsap,,18-22,,
2:02.0,T. Splitter enters the game for M. Muscala,,18-22,,
1:55.0,,,18-22,,J. Barea misses 2-pt shot from 11 ft
1:54.0,Defensive rebound by K. Bazemore,,18-22,,
1:47.0,D. Schroder makes 2-pt shot from 16 ft,2,20-22,,
1:25.0,,,20-22,,C. Parsons misses 2-pt shot from 5 ft
1:25.0,Jump ball: A. Horford vs. D. Powell (D. Schroder gains possession),,,,Jump ball: A. Horford vs. D. Powell (D. Schroder gains possession)
1:25.0,Offensive rebound by Team,,20-22,,
0:59.0,K. Bazemore misses 2-pt shot from 20 ft,,20-22,,
0:59.0,Offensive rebound by Team,,20-22,,
0:59.0,Turnover by Team (shot clock),,20-22,,
0:34.0,,,20-22,,Turnover by C. Parsons (bad pass; steal by A. Horford)
0:17.0,D. Schroder makes 2-pt shot from 20 ft,2,22-22,,
0:02.0,,,22-22,,Shooting foul by T. Splitter (drawn by D. Harris)
0:02.0,,,22-22,,D. Harris misses free throw 1 of 2
0:02.0,,,22-22,,Offensive rebound by Team
0:02.0,,,22-22,,J. Evans enters the game for D. Nowitzki
0:02.0,,,22-23,1,D. Harris makes free throw 2 of 2
0:00.0,D. Schroder misses 2-pt shot from 17 ft,,22-23,,
0:00.0,Offensive rebound by Team,,22-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,K. Bazemore makes 2-pt shot from 1 ft (assist by T. Splitter),2,24-23,,
11:33.0,Personal foul by K. Bazemore (drawn by D. Harris),,24-23,,
11:27.0,,,24-23,,Turnover by D. Powell (offensive foul)
11:27.0,,,24-23,,Offensive charge foul by D. Powell
11:09.0,A. Horford makes 2-pt shot at rim (assist by T. Splitter),2,26-23,,
10:57.0,,,26-26,3,C. Parsons makes 3-pt shot from 25 ft (assist by D. Nowitzki)
10:49.0,Offensive foul by D. Schroder,,26-26,,
10:49.0,Turnover by D. Schroder (offensive foul),,26-26,,
10:33.0,,,26-28,2,D. Powell makes 2-pt shot from 4 ft (assist by J. Barea)
10:33.0,,,26-28,,Shooting foul by K. Bazemore (drawn by D. Powell)
10:33.0,,,26-29,1,D. Powell makes free throw 1 of 1
10:17.0,L. Patterson misses 3-pt shot from 24 ft,,26-29,,
10:16.0,,,26-29,,Defensive rebound by C. Parsons
10:09.0,,,26-29,,C. Parsons misses 2-pt shot from 6 ft
10:08.0,Defensive rebound by A. Horford,,26-29,,
10:02.0,Turnover by D. Schroder (bad pass; steal by D. Nowitzki),,26-29,,
9:48.0,T. Sefolosha enters the game for K. Bazemore,,26-29,,
9:48.0,Jump ball: D. Harris vs. A. Horford (J. Barea gains possession),,,,Jump ball: D. Harris vs. A. Horford (J. Barea gains possession)
9:41.0,,,26-29,,D. Nowitzki misses 3-pt shot from 24 ft
9:40.0,Defensive rebound by T. Sefolosha,,26-29,,
9:33.0,Turnover by D. Schroder (offensive foul),,26-29,,
9:33.0,Offensive foul by D. Schroder,,26-29,,
9:23.0,,,26-29,,Turnover by J. Barea (bad pass; steal by T. Splitter)
9:15.0,T. Sefolosha makes 2-pt shot from 20 ft (assist by L. Patterson),2,28-29,,
8:51.0,,,28-29,,C. Parsons misses 3-pt shot from 25 ft
8:50.0,Defensive rebound by D. Schroder,,28-29,,
8:39.0,Turnover by L. Patterson (lost ball),,28-29,,
8:39.0,Official timeout,,28-29,,
8:39.0,,,28-29,,R. Felton enters the game for D. Nowitzki
8:39.0,,,28-29,,C. Villanueva enters the game for C. Parsons
8:39.0,,,28-29,,D. Williams enters the game for D. Powell
8:39.0,,,28-29,,W. Matthews enters the game for J. Barea
8:39.0,,,28-29,,Z. Pachulia enters the game for D. Harris
8:39.0,J. Teague enters the game for L. Patterson,,28-29,,
8:25.0,,,28-29,,D. Williams misses 3-pt shot from 24 ft
8:24.0,Defensive rebound by T. Sefolosha,,28-29,,
8:06.0,T. Splitter makes 2-pt shot from 1 ft (assist by T. Sefolosha),2,30-29,,
7:43.0,,,30-29,,C. Villanueva misses 3-pt shot from 22 ft
7:42.0,,,30-29,,Offensive rebound by D. Williams
7:34.0,,,30-31,2,Z. Pachulia makes 2-pt shot from 8 ft (assist by D. Williams)
7:18.0,A. Horford misses 2-pt shot from 16 ft,,30-31,,
7:17.0,,,30-31,,Defensive rebound by Z. Pachulia
6:55.0,,,30-33,2,Z. Pachulia makes 2-pt shot from 10 ft (assist by R. Felton)
6:38.0,T. Sefolosha misses 2-pt shot from 12 ft,,30-33,,
6:38.0,Offensive rebound by T. Splitter,,30-33,,
6:32.0,Atlanta full timeout,,30-33,,
6:32.0,M. Muscala enters the game for A. Horford,,30-33,,
6:32.0,P. Millsap enters the game for D. Schroder,,30-33,,
6:32.0,K. Korver enters the game for T. Splitter,,30-33,,
6:23.0,P. Millsap makes 2-pt shot at rim (assist by M. Muscala),2,32-33,,
6:02.0,,,32-33,,Shooting foul by T. Sefolosha (drawn by Z. Pachulia)
6:02.0,,,32-34,1,Z. Pachulia makes free throw 1 of 2
6:02.0,,,32-34,,Z. Pachulia misses free throw 2 of 2
6:01.0,Defensive rebound by T. Sefolosha,,32-34,,
5:49.0,T. Sefolosha makes 2-pt shot from 1 ft (assist by P. Millsap),2,34-34,,
5:37.0,,,34-36,2,D. Williams makes 2-pt shot from 1 ft
5:23.0,M. Muscala makes 2-pt shot at rim,2,36-36,,
5:10.0,,,36-38,2,C. Villanueva makes 2-pt shot from 8 ft
4:43.0,M. Muscala misses 3-pt shot from 24 ft,,36-38,,
4:42.0,,,36-38,,Defensive rebound by W. Matthews
4:32.0,,,36-38,,R. Felton misses 3-pt shot from 24 ft
4:31.0,Defensive rebound by M. Muscala,,36-38,,
4:13.0,T. Sefolosha misses 2-pt shot from 6 ft,,36-38,,
4:12.0,,,36-38,,Defensive rebound by R. Felton
4:05.0,,,36-38,,D. Williams misses 2-pt shot from 1 ft (block by K. Korver)
4:05.0,,,36-38,,Offensive rebound by Team
4:05.0,,,36-38,,C. Parsons enters the game for R. Felton
4:05.0,,,36-38,,D. Nowitzki enters the game for C. Villanueva
4:03.0,,,36-38,,W. Matthews misses 2-pt shot from 6 ft
4:01.0,Defensive rebound by P. Millsap,,36-38,,
3:46.0,M. Muscala misses 3-pt shot from 22 ft,,36-38,,
3:45.0,,,36-38,,Defensive rebound by W. Matthews
3:37.0,,,36-38,,D. Williams misses 2-pt shot from 17 ft
3:36.0,Defensive rebound by P. Millsap,,36-38,,
3:29.0,K. Korver makes 3-pt shot from 24 ft (assist by P. Millsap),3,39-38,,
3:29.0,,,39-38,,Dallas full timeout
3:29.0,A. Horford enters the game for T. Sefolosha,,39-38,,
3:29.0,K. Bazemore enters the game for M. Muscala,,39-38,,
3:09.0,,,39-38,,C. Parsons misses 2-pt shot from 14 ft
3:08.0,Defensive rebound by J. Teague,,39-38,,
3:05.0,Shooting foul by C. Parsons (drawn by J. Teague),,39-38,,
3:05.0,J. Teague makes free throw 1 of 2,1,40-38,,
3:05.0,J. Teague makes free throw 2 of 2,1,41-38,,
2:51.0,,,41-38,,D. Williams misses 3-pt shot from 25 ft
2:50.0,Defensive rebound by K. Bazemore,,41-38,,
2:50.0,,,41-38,,Personal foul by Z. Pachulia (drawn by K. Bazemore)
2:38.0,J. Teague misses 3-pt shot from 24 ft,,41-38,,
2:37.0,,,41-38,,Defensive rebound by Z. Pachulia
2:21.0,,,41-38,,D. Nowitzki misses 2-pt shot from 13 ft
2:20.0,Defensive rebound by K. Bazemore,,41-38,,
2:15.0,Turnover by J. Teague (lost ball; steal by D. Nowitzki),,41-38,,
2:12.0,,,41-40,2,C. Parsons makes 2-pt shot from 1 ft
1:53.0,K. Bazemore misses 2-pt shot from 8 ft,,41-40,,
1:52.0,Offensive rebound by P. Millsap,,41-40,,
1:52.0,Shooting foul by D. Williams (drawn by P. Millsap),,41-40,,
1:52.0,P. Millsap misses free throw 1 of 2,,41-40,,
1:52.0,Offensive rebound by Team,,41-40,,
1:52.0,P. Millsap makes free throw 2 of 2,1,42-40,,
1:38.0,,,42-40,,W. Matthews misses 2-pt shot from 1 ft (block by K. Bazemore)
1:35.0,,,42-40,,Offensive rebound by Z. Pachulia
1:30.0,,,42-40,,W. Matthews misses 3-pt shot from 24 ft
1:28.0,,,42-40,,Offensive rebound by D. Nowitzki
1:18.0,,,42-40,,D. Nowitzki misses 3-pt shot from 24 ft
1:18.0,,,42-40,,Offensive rebound by Z. Pachulia
1:18.0,Loose ball foul by A. Horford (drawn by Z. Pachulia),,42-40,,
1:11.0,,,42-40,,Turnover by Z. Pachulia (lost ball; steal by A. Horford)
1:04.0,K. Bazemore makes 3-pt shot from 23 ft (assist by K. Korver),3,45-40,,
0:53.0,,,45-42,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by C. Parsons)
0:44.0,K. Korver makes 2-pt shot from 18 ft (assist by K. Bazemore),2,47-42,,
0:34.0,,,47-44,2,D. Williams makes 2-pt shot from 1 ft
0:29.0,Shooting foul by D. Williams (drawn by J. Teague),,47-44,,
0:29.0,J. Teague makes free throw 1 of 2,1,48-44,,
0:29.0,,,48-44,,R. Felton enters the game for D. Williams
0:29.0,J. Teague makes free throw 2 of 2,1,49-44,,
0:14.0,,,49-44,,D. Nowitzki misses 2-pt shot from 17 ft
0:12.0,Defensive rebound by A. Horford,,49-44,,
0:00.0,J. Teague misses 2-pt shot from 3 ft,,49-44,,
0:00.0,Offensive rebound by Team,,49-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Turnover by K. Korver (bad pass; steal by R. Felton),,49-44,,
11:32.0,,,49-44,,R. Felton misses 2-pt shot from 3 ft
11:31.0,,,49-44,,Offensive rebound by Z. Pachulia
11:25.0,,,49-44,,R. Felton misses 2-pt shot from 14 ft
11:24.0,,,49-44,,Offensive rebound by D. Nowitzki
11:21.0,,,49-44,,D. Nowitzki misses 2-pt shot from 13 ft
11:20.0,,,49-44,,Offensive rebound by Z. Pachulia
11:20.0,Personal foul by J. Teague (drawn by D. Williams),,49-44,,
11:08.0,,,49-44,,D. Williams misses 3-pt shot from 23 ft (block by T. Sefolosha)
11:07.0,,,49-44,,Offensive rebound by R. Felton
11:07.0,,,49-46,2,R. Felton makes 2-pt shot at rim
10:53.0,P. Millsap makes 2-pt shot from 4 ft,2,51-46,,
10:53.0,Shooting foul by W. Matthews (drawn by P. Millsap),,51-46,,
10:53.0,P. Millsap misses free throw 1 of 1,,51-46,,
10:52.0,,,51-46,,Defensive rebound by R. Felton
10:34.0,,,51-49,3,R. Felton makes 3-pt shot from 24 ft
10:08.0,J. Teague misses 2-pt shot from 7 ft (block by W. Matthews),,51-49,,
10:06.0,,,51-49,,Defensive rebound by Z. Pachulia
9:58.0,,,51-49,,D. Nowitzki misses 2-pt shot from 18 ft
9:57.0,,,51-49,,Offensive rebound by Z. Pachulia
9:54.0,,,51-49,,W. Matthews misses 3-pt shot from 22 ft
9:53.0,Defensive rebound by A. Horford,,51-49,,
9:43.0,J. Teague makes 3-pt shot from 24 ft (assist by A. Horford),3,54-49,,
9:29.0,,,54-51,2,D. Nowitzki makes 2-pt shot from 20 ft (assist by D. Williams)
9:14.0,Offensive foul by J. Teague,,54-51,,
9:14.0,Turnover by J. Teague (offensive foul),,54-51,,
8:57.0,,,54-51,,Turnover by D. Nowitzki (bad pass; steal by P. Millsap)
8:51.0,T. Sefolosha misses 2-pt shot from 1 ft,,54-51,,
8:51.0,,,54-51,,Defensive rebound by Team
8:40.0,,,54-53,2,R. Felton makes 2-pt shot from 7 ft
8:27.0,P. Millsap makes 2-pt shot from 1 ft (assist by A. Horford),2,56-53,,
8:11.0,,,56-53,,R. Felton misses 2-pt shot from 13 ft
8:10.0,Defensive rebound by P. Millsap,,56-53,,
8:00.0,J. Teague makes 2-pt shot at rim,2,58-53,,
7:52.0,Personal foul by P. Millsap (drawn by D. Nowitzki),,58-53,,
7:42.0,,,58-53,,Z. Pachulia misses 2-pt shot from 5 ft (block by A. Horford)
7:42.0,,,58-53,,Offensive rebound by Team
7:37.0,,,58-53,,D. Williams misses 2-pt shot from 9 ft
7:36.0,Defensive rebound by P. Millsap,,58-53,,
7:32.0,Turnover by P. Millsap (bad pass),,58-53,,
7:26.0,,,58-55,2,D. Williams makes 2-pt shot at rim
7:15.0,J. Teague misses 2-pt shot from 8 ft,,58-55,,
7:13.0,,,58-55,,Defensive rebound by D. Nowitzki
7:08.0,,,58-55,,R. Felton misses 2-pt shot from 3 ft
7:06.0,,,58-55,,Offensive rebound by R. Felton
6:58.0,,,58-57,2,D. Nowitzki makes 2-pt shot from 9 ft
6:45.0,K. Korver misses 3-pt shot from 24 ft,,58-57,,
6:44.0,,,58-57,,Defensive rebound by D. Williams
6:35.0,,,58-57,,Turnover by D. Williams (bad pass; steal by K. Korver)
6:30.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,60-57,,
6:13.0,,,60-57,,D. Williams misses 2-pt shot from 13 ft
6:12.0,,,60-57,,Offensive rebound by D. Nowitzki
6:10.0,,,60-59,2,D. Nowitzki makes 2-pt shot from 16 ft
5:45.0,A. Horford makes 2-pt shot from 19 ft (assist by J. Teague),2,62-59,,
5:44.0,,,62-59,,Dallas full timeout
5:44.0,,,62-59,,D. Powell enters the game for D. Nowitzki
5:44.0,K. Bazemore enters the game for T. Sefolosha,,62-59,,
5:30.0,,,62-59,,W. Matthews misses 2-pt shot from 12 ft
5:29.0,,,62-59,,Offensive rebound by W. Matthews
5:27.0,,,62-61,2,W. Matthews makes 2-pt shot from 2 ft
5:06.0,P. Millsap makes 2-pt shot from 3 ft,2,64-61,,
4:44.0,,,64-63,2,R. Felton makes 2-pt shot from 21 ft
4:27.0,K. Bazemore misses 2-pt shot from 2 ft,,64-63,,
4:26.0,,,64-63,,Defensive rebound by Z. Pachulia
4:13.0,,,64-63,,Shooting foul by J. Teague (drawn by D. Powell)
4:13.0,,,64-64,1,D. Powell makes free throw 1 of 2
4:13.0,,,64-64,,C. Parsons enters the game for W. Matthews
4:13.0,M. Muscala enters the game for A. Horford,,64-64,,
4:13.0,D. Schroder enters the game for J. Teague,,64-64,,
4:13.0,,,64-65,1,D. Powell makes free throw 2 of 2
4:00.0,Shooting foul by D. Powell (drawn by P. Millsap),,64-65,,
4:00.0,P. Millsap makes free throw 1 of 2,1,65-65,,
4:00.0,P. Millsap makes free throw 2 of 2,1,66-65,,
3:45.0,,,66-65,,D. Powell misses 2-pt shot from 17 ft
3:44.0,,,66-65,,Offensive rebound by Z. Pachulia
3:37.0,,,66-67,2,D. Powell makes 2-pt shot at rim (assist by D. Williams)
3:22.0,D. Schroder misses 2-pt shot at rim,,66-67,,
3:20.0,Offensive rebound by M. Muscala,,66-67,,
3:20.0,M. Muscala misses 2-pt shot at rim,,66-67,,
3:19.0,Offensive rebound by M. Muscala,,66-67,,
3:17.0,M. Muscala makes 2-pt shot from 4 ft,2,68-67,,
3:04.0,,,68-69,2,D. Powell makes 2-pt shot at rim (assist by R. Felton)
2:44.0,P. Millsap misses 3-pt shot from 24 ft,,68-69,,
2:43.0,,,68-69,,Defensive rebound by R. Felton
2:32.0,,,68-69,,C. Parsons misses 2-pt shot from 10 ft
2:31.0,Defensive rebound by M. Muscala,,68-69,,
2:25.0,Atlanta full timeout,,68-69,,
2:25.0,L. Patterson enters the game for K. Korver,,68-69,,
2:11.0,L. Patterson misses 3-pt shot from 24 ft,,68-69,,
2:10.0,,,68-69,,Defensive rebound by D. Powell
1:55.0,Shooting block foul by P. Millsap (drawn by Z. Pachulia),,68-69,,
1:55.0,,,68-70,1,Z. Pachulia makes free throw 1 of 2
1:55.0,,,68-70,,D. Harris enters the game for D. Williams
1:55.0,,,68-70,,J. Barea enters the game for R. Felton
1:55.0,T. Splitter enters the game for P. Millsap,,68-70,,
1:55.0,A. Horford enters the game for M. Muscala,,68-70,,
1:55.0,,,68-71,1,Z. Pachulia makes free throw 2 of 2
1:40.0,A. Horford makes 2-pt shot from 17 ft (assist by K. Bazemore),2,70-71,,
1:22.0,,,70-71,,C. Parsons misses 3-pt shot from 24 ft
1:21.0,Defensive rebound by A. Horford,,70-71,,
1:00.0,T. Splitter makes 2-pt shot at rim (assist by A. Horford),2,72-71,,
1:00.0,,,72-71,,Dallas full timeout
1:00.0,,,72-71,,D. Nowitzki enters the game for Z. Pachulia
0:43.0,,,72-71,,Shooting foul by T. Splitter (drawn by D. Powell)
0:43.0,,,72-71,,D. Powell misses free throw 1 of 2
0:43.0,,,72-71,,Offensive rebound by Team
0:43.0,,,72-72,1,D. Powell makes free throw 2 of 2
0:30.0,K. Bazemore makes 2-pt shot from 9 ft,2,74-72,,
0:12.0,,,74-72,,J. Barea misses 2-pt shot at rim
0:09.0,,,74-72,,Offensive rebound by D. Powell
0:09.0,,,74-72,,D. Powell misses 2-pt shot at rim
0:07.0,Defensive rebound by T. Splitter,,74-72,,
0:06.0,K. Bazemore makes 2-pt shot at rim (assist by D. Schroder),2,76-72,,
0:01.0,,,76-72,,J. Barea misses 3-pt shot from 37 ft
0:00.0,Defensive rebound by K. Bazemore,,76-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,76-72,,D. Nowitzki misses 3-pt shot from 24 ft
11:43.0,Defensive rebound by K. Bazemore,,76-72,,
11:34.0,D. Schroder makes 2-pt shot from 17 ft,2,78-72,,
11:16.0,,,78-72,,J. Barea misses 3-pt shot from 24 ft
11:14.0,,,78-72,,Offensive rebound by J. Barea
11:10.0,,,78-72,,D. Powell misses 2-pt shot at rim
11:08.0,Defensive rebound by T. Splitter,,78-72,,
11:06.0,Turnover by K. Bazemore (lost ball; steal by D. Powell),,78-72,,
11:00.0,,,78-72,,J. Barea misses 3-pt shot from 23 ft
10:58.0,,,78-72,,Offensive rebound by D. Powell
10:58.0,,,78-72,,D. Powell misses 2-pt shot at rim
10:57.0,Defensive rebound by L. Patterson,,78-72,,
10:35.0,Turnover by L. Patterson (lost ball),,78-72,,
10:21.0,,,78-72,,Shooting foul by L. Patterson (drawn by D. Powell)
10:21.0,,,78-73,1,D. Powell makes free throw 1 of 2
10:21.0,,,78-74,1,D. Powell makes free throw 2 of 2
10:17.0,,,78-74,,Personal block foul by D. Harris (drawn by D. Schroder)
10:09.0,D. Schroder makes 2-pt shot from 18 ft,2,80-74,,
9:51.0,,,80-74,,J. Barea misses 2-pt shot from 1 ft
9:50.0,,,80-74,,Offensive rebound by D. Powell
9:50.0,,,80-74,,D. Powell misses 2-pt shot from 1 ft
9:50.0,Defensive rebound by Team,,80-74,,
9:33.0,T. Splitter misses 2-pt shot from 1 ft,,80-74,,
9:32.0,,,80-74,,Defensive rebound by D. Powell
9:28.0,,,80-76,2,D. Harris makes 2-pt shot at rim (assist by J. Barea)
9:28.0,,,80-76,,Shooting foul by L. Patterson (drawn by D. Harris)
9:28.0,,,80-76,,R. Felton enters the game for C. Parsons
9:28.0,,,80-76,,W. Matthews enters the game for J. Barea
9:28.0,P. Millsap enters the game for T. Splitter,,80-76,,
9:28.0,,,80-77,1,D. Harris makes free throw 1 of 1
9:14.0,A. Horford misses 2-pt shot from 8 ft,,80-77,,
9:13.0,,,80-77,,Defensive rebound by D. Nowitzki
8:54.0,,,80-77,,D. Nowitzki misses 2-pt shot from 19 ft
8:53.0,Defensive rebound by K. Bazemore,,80-77,,
8:45.0,P. Millsap misses 2-pt shot from 6 ft,,80-77,,
8:45.0,,,80-77,,Defensive rebound by D. Nowitzki
8:37.0,,,80-77,,W. Matthews misses 2-pt shot from 13 ft
8:36.0,Defensive rebound by A. Horford,,80-77,,
8:27.0,Shooting foul by W. Matthews (drawn by D. Schroder),,80-77,,
8:27.0,Official timeout,,80-77,,
8:27.0,,,80-77,,D. Williams enters the game for D. Nowitzki
8:27.0,,,80-77,,Z. Pachulia enters the game for D. Harris
8:27.0,T. Sefolosha enters the game for L. Patterson,,80-77,,
8:27.0,D. Schroder makes free throw 1 of 2,1,81-77,,
8:27.0,D. Schroder misses free throw 2 of 2,,81-77,,
8:27.0,,,81-77,,Defensive rebound by D. Williams
8:08.0,,,81-77,,Turnover by R. Felton (bad pass)
8:08.0,K. Korver enters the game for K. Bazemore,,81-77,,
7:57.0,D. Schroder misses 2-pt shot from 1 ft,,81-77,,
7:56.0,Offensive rebound by Team,,81-77,,
7:48.0,Turnover by D. Schroder (bad pass; steal by W. Matthews),,81-77,,
7:31.0,,,81-79,2,W. Matthews makes 2-pt shot from 1 ft
7:10.0,K. Korver misses 3-pt shot from 23 ft,,81-79,,
7:08.0,,,81-79,,Defensive rebound by D. Powell
7:01.0,,,81-79,,W. Matthews misses 3-pt shot from 25 ft
7:00.0,Defensive rebound by T. Sefolosha,,81-79,,
6:56.0,,,81-79,,Personal block foul by W. Matthews (drawn by T. Sefolosha)
6:56.0,J. Teague enters the game for D. Schroder,,81-79,,
6:56.0,M. Muscala enters the game for A. Horford,,81-79,,
6:53.0,Shooting foul by D. Powell (drawn by P. Millsap),,81-79,,
6:53.0,P. Millsap misses free throw 1 of 2,,81-79,,
6:53.0,Offensive rebound by Team,,81-79,,
6:53.0,P. Millsap makes free throw 2 of 2,1,82-79,,
6:42.0,,,82-81,2,W. Matthews makes 2-pt shot from 11 ft
6:30.0,Shooting foul by D. Powell (drawn by P. Millsap),,82-81,,
6:30.0,P. Millsap makes free throw 1 of 2,1,83-81,,
6:30.0,P. Millsap makes free throw 2 of 2,1,84-81,,
6:14.0,,,84-81,,D. Williams misses 2-pt shot from 6 ft
6:13.0,,,84-81,,Offensive rebound by D. Williams
6:07.0,,,84-81,,Dallas full timeout
6:07.0,,,84-81,,D. Nowitzki enters the game for D. Powell
5:57.0,,,84-84,3,W. Matthews makes 3-pt shot from 24 ft (assist by R. Felton)
5:36.0,K. Korver misses 3-pt shot from 22 ft,,84-84,,
5:35.0,,,84-84,,Defensive rebound by D. Williams
5:22.0,A. Horford enters the game for M. Muscala,,84-84,,
