time,Minnesota,pts.away,score,pts.home,Houston
8:03.0,Violation by K. Towns (kicked ball),,7-6,,
7:55.0,,,7-8,2,J. Harden makes 2-pt shot from 19 ft
7:55.0,,,7-8,,Shooting foul by A. Wiggins (drawn by J. Harden)
7:55.0,,,7-9,1,J. Harden makes free throw 1 of 1
7:41.0,A. Wiggins misses 2-pt shot from 19 ft,,7-9,,
7:40.0,Offensive rebound by K. Towns,,7-9,,
7:38.0,Turnover by K. Towns (lost ball; steal by T. Ariza),,7-9,,
7:33.0,,,7-9,,Turnover by J. Harden (bad pass; steal by R. Rubio)
7:25.0,R. Rubio makes 2-pt shot from 2 ft,2,9-9,,
7:10.0,,,9-9,,T. Lawson enters the game for J. Terry
7:10.0,,,9-9,,T. Jones enters the game for C. Capela
7:10.0,G. Dieng enters the game for N. Pekovic,,9-9,,
7:03.0,,,9-9,,J. Harden misses 2-pt shot from 20 ft
7:02.0,Defensive rebound by K. Towns,,9-9,,
6:59.0,Turnover by R. Rubio (bad pass; steal by T. Lawson),,9-9,,
6:45.0,,,9-9,,T. Jones misses 3-pt shot from 23 ft
6:44.0,Defensive rebound by R. Rubio,,9-9,,
6:40.0,Minnesota full timeout,,9-9,,
6:27.0,G. Dieng makes 2-pt shot from 6 ft (assist by K. Towns),2,11-9,,
6:11.0,,,11-9,,Turnover by T. Lawson (bad pass; steal by G. Dieng)
6:03.0,T. Prince misses 2-pt shot from 16 ft,,11-9,,
6:02.0,Offensive rebound by K. Towns,,11-9,,
5:58.0,K. Towns misses 2-pt shot from 10 ft,,11-9,,
5:57.0,,,11-9,,Defensive rebound by J. Harden
5:54.0,S. Muhammad enters the game for T. Prince,,11-9,,
5:44.0,,,11-9,,Turnover by D. Howard (lost ball; steal by R. Rubio)
5:39.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,13-9,,
5:23.0,,,13-9,,T. Lawson misses 2-pt shot from 19 ft
5:22.0,Defensive rebound by R. Rubio,,13-9,,
5:18.0,Turnover by R. Rubio (bad pass; steal by D. Howard),,13-9,,
5:04.0,,,13-9,,T. Ariza misses 3-pt shot from 25 ft
5:04.0,Defensive rebound by K. Towns,,13-9,,
5:01.0,Turnover by K. Towns (bad pass),,13-9,,
4:37.0,,,13-11,2,T. Ariza makes 2-pt shot from 2 ft (assist by J. Harden)
4:24.0,Turnover by K. Towns (bad pass),,13-11,,
4:24.0,N. Bjelica enters the game for K. Towns,,13-11,,
4:24.0,,,13-11,,C. Capela enters the game for D. Howard
4:10.0,,,13-11,,Turnover by T. Jones (traveling)
3:54.0,Shooting foul by T. Ariza (drawn by A. Wiggins),,13-11,,
3:54.0,A. Wiggins makes free throw 1 of 2,1,14-11,,
3:54.0,Z. LaVine enters the game for R. Rubio,,14-11,,
3:54.0,A. Wiggins makes free throw 2 of 2,1,15-11,,
3:36.0,,,15-11,,J. Harden misses 3-pt shot from 26 ft
3:35.0,,,15-11,,Offensive rebound by Team
3:30.0,Personal foul by N. Bjelica (drawn by T. Ariza),,15-11,,
3:30.0,,,15-11,,T. Ariza misses free throw 1 of 2
3:30.0,,,15-11,,Offensive rebound by Team
3:30.0,,,15-12,1,T. Ariza makes free throw 2 of 2
3:16.0,S. Muhammad misses 3-pt shot from 25 ft,,15-12,,
3:15.0,,,15-12,,Defensive rebound by T. Jones
3:08.0,,,15-14,2,C. Capela makes 2-pt shot at rim (assist by T. Lawson)
2:53.0,S. Muhammad misses 2-pt shot from 3 ft,,15-14,,
2:52.0,Offensive rebound by S. Muhammad,,15-14,,
2:52.0,S. Muhammad misses 2-pt shot from 3 ft,,15-14,,
2:50.0,,,15-14,,Defensive rebound by C. Capela
2:42.0,,,15-17,3,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden)
2:28.0,Shooting foul by C. Capela (drawn by G. Dieng),,15-17,,
2:28.0,,,15-17,,Houston full timeout
2:28.0,,,15-17,,C. Brewer enters the game for T. Ariza
2:28.0,,,15-17,,M. Thornton enters the game for J. Harden
2:28.0,K. Martin enters the game for A. Wiggins,,15-17,,
2:28.0,G. Dieng makes free throw 1 of 2,1,16-17,,
2:28.0,G. Dieng makes free throw 2 of 2,1,17-17,,
2:09.0,,,17-17,,T. Lawson misses 2-pt shot from 2 ft
2:08.0,Defensive rebound by Z. LaVine,,17-17,,
2:03.0,K. Martin makes 2-pt shot at rim (assist by Z. LaVine),2,19-17,,
1:50.0,,,19-17,,Turnover by M. Thornton (bad pass; steal by G. Dieng)
1:42.0,Z. LaVine misses 3-pt shot from 24 ft,,19-17,,
1:41.0,Offensive rebound by G. Dieng,,19-17,,
1:39.0,G. Dieng makes 2-pt shot at rim,2,21-17,,
1:25.0,,,21-17,,Turnover by C. Capela (bad pass)
1:15.0,Turnover by K. Martin (lost ball; steal by M. Thornton),,21-17,,
1:15.0,Personal foul by K. Martin (drawn by M. Thornton),,21-17,,
1:15.0,,,21-18,1,M. Thornton makes free throw 1 of 2
1:15.0,,,21-19,1,M. Thornton makes free throw 2 of 2
0:55.0,G. Dieng misses 2-pt shot at rim (block by C. Capela),,21-19,,
0:54.0,,,21-19,,Defensive rebound by C. Capela
0:41.0,,,21-21,2,T. Jones makes 2-pt shot from 10 ft
0:17.0,Z. LaVine misses 2-pt shot from 21 ft,,21-21,,
0:16.0,,,21-21,,Defensive rebound by C. Brewer
0:12.0,,,21-23,2,C. Brewer makes 2-pt shot from 2 ft
0:00.0,N. Bjelica makes 3-pt shot from 27 ft,3,24-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Turnover by Z. LaVine (lost ball; steal by T. Lawson),,24-23,,
11:46.0,,,24-23,,Offensive charge foul by M. Thornton
11:46.0,,,24-23,,Turnover by M. Thornton (offensive foul)
11:22.0,G. Dieng misses 2-pt shot from 10 ft,,24-23,,
11:21.0,,,24-23,,Defensive rebound by T. Jones
11:11.0,,,24-23,,Shooting foul by Z. LaVine (drawn by M. Thornton)
11:11.0,,,24-24,1,M. Thornton makes free throw 1 of 2
11:11.0,,,24-25,1,M. Thornton makes free throw 2 of 2
11:00.0,Turnover by G. Dieng (bad pass),,24-25,,
10:44.0,,,24-27,2,T. Jones makes 2-pt shot from 2 ft
10:24.0,G. Dieng misses 3-pt shot from 23 ft,,24-27,,
10:23.0,Offensive rebound by N. Bjelica,,24-27,,
10:23.0,N. Bjelica misses 2-pt shot from 1 ft,,24-27,,
10:21.0,,,24-27,,Defensive rebound by T. Jones
10:13.0,,,24-27,,M. Thornton misses 3-pt shot from 24 ft
10:12.0,Defensive rebound by G. Dieng,,24-27,,
10:05.0,S. Muhammad misses 2-pt shot from 20 ft,,24-27,,
10:04.0,,,24-27,,Defensive rebound by T. Jones
9:46.0,,,24-27,,Shooting foul by K. Martin (drawn by T. Lawson)
9:46.0,,,24-27,,T. Lawson misses free throw 1 of 2
9:46.0,,,24-27,,Offensive rebound by Team
9:46.0,,,24-27,,D. Howard enters the game for C. Capela
9:46.0,,,24-28,1,T. Lawson makes free throw 2 of 2
9:33.0,Turnover by S. Muhammad (lost ball; steal by C. Brewer),,24-28,,
9:28.0,,,24-30,2,C. Brewer makes 2-pt shot from 1 ft (assist by T. Lawson)
9:22.0,Minnesota full timeout,,24-30,,
9:22.0,,,24-30,,J. Terry enters the game for T. Lawson
9:10.0,S. Muhammad makes 2-pt shot from 1 ft (assist by G. Dieng),2,26-30,,
8:55.0,,,26-30,,Turnover by M. Thornton (bad pass)
8:43.0,Z. LaVine misses 2-pt shot from 12 ft,,26-30,,
8:42.0,,,26-30,,Defensive rebound by C. Brewer
8:34.0,,,26-33,3,J. Terry makes 3-pt shot from 25 ft (assist by M. Thornton)
8:07.0,G. Dieng misses 2-pt shot from 11 ft,,26-33,,
8:06.0,,,26-33,,Defensive rebound by T. Jones
8:04.0,,,26-35,2,C. Brewer makes 2-pt shot from 2 ft
8:04.0,,,26-35,,Shooting foul by Z. LaVine (drawn by C. Brewer)
8:04.0,K. Towns enters the game for S. Muhammad,,26-35,,
8:04.0,A. Wiggins enters the game for N. Bjelica,,26-35,,
8:04.0,R. Rubio enters the game for Z. LaVine,,26-35,,
8:04.0,,,26-35,,C. Capela enters the game for T. Jones
8:04.0,,,26-36,1,C. Brewer makes free throw 1 of 1
7:52.0,K. Martin makes 3-pt shot from 24 ft,3,29-36,,
7:31.0,,,29-36,,M. Thornton misses 2-pt shot from 1 ft
7:30.0,,,29-36,,Offensive rebound by D. Howard
7:30.0,,,29-36,,Shooting foul by G. Dieng (drawn by D. Howard)
7:30.0,,,29-36,,Houston full timeout
7:30.0,,,29-36,,J. Harden enters the game for C. Brewer
7:30.0,,,29-36,,T. Ariza enters the game for M. Thornton
7:30.0,,,29-36,,D. Howard misses free throw 1 of 2
7:30.0,,,29-36,,Offensive rebound by Team
7:30.0,,,29-37,1,D. Howard makes free throw 2 of 2
7:11.0,Turnover by R. Rubio (bad pass; steal by T. Ariza),,29-37,,
7:07.0,,,29-39,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
6:47.0,G. Dieng misses 2-pt shot from 7 ft,,29-39,,
6:46.0,Offensive rebound by K. Towns,,29-39,,
6:45.0,K. Towns makes 2-pt shot from 2 ft,2,31-39,,
6:30.0,,,31-39,,Shooting foul by K. Towns (drawn by D. Howard)
6:30.0,,,31-39,,D. Howard misses free throw 1 of 2
6:30.0,,,31-39,,Offensive rebound by Team
6:30.0,N. Pekovic enters the game for G. Dieng,,31-39,,
6:30.0,,,31-40,1,D. Howard makes free throw 2 of 2
6:15.0,A. Wiggins misses 2-pt shot from 17 ft,,31-40,,
6:14.0,,,31-40,,Defensive rebound by C. Capela
6:08.0,,,31-42,2,J. Harden makes 2-pt shot from 1 ft
5:54.0,K. Martin makes 3-pt shot from 23 ft (assist by R. Rubio),3,34-42,,
5:42.0,,,34-42,,Turnover by J. Harden (lost ball; steal by R. Rubio)
5:37.0,K. Martin makes 2-pt shot at rim (assist by R. Rubio),2,36-42,,
5:22.0,,,36-42,,Houston full timeout
5:14.0,,,36-42,,T. Ariza misses 3-pt shot from 23 ft
5:13.0,Defensive rebound by K. Towns,,36-42,,
5:01.0,A. Wiggins makes 2-pt shot from 11 ft (assist by R. Rubio),2,38-42,,
4:45.0,,,38-42,,J. Terry misses 3-pt shot from 23 ft
4:44.0,,,38-42,,Offensive rebound by D. Howard
4:39.0,,,38-42,,D. Howard misses 2-pt shot from 5 ft
4:38.0,,,38-42,,Offensive rebound by C. Capela
4:38.0,,,38-44,2,C. Capela makes 2-pt shot at rim
4:22.0,,,38-44,,Def 3 sec tech foul by C. Capela
4:22.0,R. Rubio makes technical free throw,1,39-44,,
4:22.0,,,39-44,,T. Jones enters the game for D. Howard
4:11.0,K. Towns misses 2-pt shot from 2 ft,,39-44,,
4:10.0,Offensive rebound by N. Pekovic,,39-44,,
4:09.0,N. Pekovic misses 2-pt shot from 2 ft,,39-44,,
4:08.0,Offensive rebound by K. Towns,,39-44,,
4:03.0,K. Towns misses 2-pt shot at rim,,39-44,,
4:02.0,Offensive rebound by N. Pekovic,,39-44,,
4:02.0,N. Pekovic misses 2-pt shot from 1 ft,,39-44,,
4:00.0,Offensive rebound by K. Towns,,39-44,,
3:50.0,N. Pekovic makes 2-pt shot from 2 ft (assist by R. Rubio),2,41-44,,
3:25.0,,,41-44,,J. Harden misses 3-pt shot from 24 ft
3:23.0,Defensive rebound by K. Towns,,41-44,,
3:15.0,R. Rubio makes 2-pt shot from 2 ft (assist by K. Martin),2,43-44,,
3:04.0,,,43-46,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
2:48.0,K. Martin misses 3-pt shot from 23 ft,,43-46,,
2:47.0,,,43-46,,Defensive rebound by T. Ariza
2:40.0,,,43-46,,J. Harden misses 3-pt shot from 25 ft
2:40.0,Defensive rebound by K. Martin,,43-46,,
2:23.0,N. Pekovic misses 2-pt shot from 2 ft,,43-46,,
2:20.0,Offensive rebound by A. Wiggins,,43-46,,
2:20.0,A. Wiggins misses 2-pt shot at rim,,43-46,,
2:19.0,,,43-46,,Defensive rebound by T. Jones
2:14.0,,,43-49,3,J. Harden makes 3-pt shot from 25 ft
1:58.0,Shooting foul by T. Ariza (drawn by K. Martin),,43-49,,
1:58.0,,,43-49,,Houston full timeout
1:58.0,,,43-49,,D. Howard enters the game for C. Capela
1:58.0,,,43-49,,T. Lawson enters the game for J. Terry
1:58.0,K. Martin misses free throw 1 of 3,,43-49,,
1:58.0,Offensive rebound by Team,,43-49,,
1:58.0,K. Martin makes free throw 2 of 3,1,44-49,,
1:58.0,K. Martin makes free throw 3 of 3,1,45-49,,
1:46.0,,,45-49,,Shooting foul by R. Rubio (drawn by J. Harden)
1:46.0,,,45-50,1,J. Harden makes free throw 1 of 2
1:46.0,,,45-51,1,J. Harden makes free throw 2 of 2
1:31.0,A. Wiggins makes 2-pt shot at rim,2,47-51,,
1:04.0,,,47-53,2,J. Harden makes 2-pt shot from 16 ft
0:48.0,A. Wiggins makes 2-pt shot from 11 ft,2,49-53,,
0:34.0,,,49-53,,Shooting foul by K. Towns (drawn by J. Harden)
0:34.0,,,49-54,1,J. Harden makes free throw 1 of 2
0:34.0,G. Dieng enters the game for K. Towns,,49-54,,
0:34.0,,,49-54,,C. Brewer enters the game for T. Lawson
0:34.0,,,49-55,1,J. Harden makes free throw 2 of 2
0:15.0,Turnover by R. Rubio (bad pass; steal by C. Brewer),,49-55,,
0:11.0,,,49-57,2,T. Jones makes 2-pt shot at rim (assist by J. Harden)
0:03.0,,,49-57,,Personal foul by C. Brewer (drawn by R. Rubio)
0:03.0,R. Rubio makes free throw 1 of 2,1,50-57,,
0:03.0,R. Rubio misses free throw 2 of 2,,50-57,,
0:03.0,,,50-57,,Defensive rebound by T. Jones
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Shooting foul by D. Howard (drawn by A. Wiggins),,50-57,,
11:45.0,A. Wiggins makes free throw 1 of 2,1,51-57,,
11:45.0,A. Wiggins makes free throw 2 of 2,1,52-57,,
11:30.0,,,52-59,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
11:19.0,,,52-59,,Personal foul by T. Jones (drawn by K. Towns)
11:09.0,Turnover by R. Rubio (lost ball),,52-59,,
10:58.0,,,52-61,2,D. Howard makes 2-pt shot from 6 ft (assist by J. Harden)
10:44.0,R. Rubio makes 2-pt shot from 12 ft (assist by N. Pekovic),2,54-61,,
10:35.0,,,54-61,,T. Ariza misses 3-pt shot from 24 ft
10:34.0,Defensive rebound by K. Towns,,54-61,,
10:27.0,N. Pekovic makes 2-pt shot from 1 ft (assist by R. Rubio),2,56-61,,
10:01.0,,,56-61,,T. Jones misses 3-pt shot from 25 ft
10:01.0,Defensive rebound by R. Rubio,,56-61,,
9:52.0,Turnover by R. Rubio (bad pass; steal by T. Jones),,56-61,,
9:48.0,Violation by N. Pekovic (kicked ball),,56-61,,
9:36.0,,,56-63,2,T. Jones makes 2-pt shot from 6 ft (assist by J. Harden)
9:17.0,,,56-63,,Personal foul by T. Ariza (drawn by A. Wiggins)
9:13.0,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio),2,58-63,,
9:13.0,Shooting foul by T. Jones (drawn by A. Wiggins),,58-63,,
9:13.0,A. Wiggins misses free throw 1 of 1,,58-63,,
9:13.0,,,58-63,,Defensive rebound by J. Harden
8:49.0,,,58-63,,J. Terry misses 3-pt shot from 26 ft
8:49.0,Defensive rebound by R. Rubio,,58-63,,
8:38.0,N. Pekovic misses 2-pt shot from 6 ft,,58-63,,
8:37.0,,,58-63,,Defensive rebound by D. Howard
8:26.0,,,58-63,,J. Harden misses 2-pt shot from 8 ft
8:25.0,,,58-63,,Offensive rebound by D. Howard
8:25.0,,,58-65,2,D. Howard makes 2-pt shot at rim
8:07.0,R. Rubio misses 2-pt shot from 1 ft,,58-65,,
8:06.0,,,58-65,,Defensive rebound by T. Jones
7:52.0,,,58-65,,J. Harden misses 3-pt shot from 23 ft
7:51.0,Defensive rebound by N. Pekovic,,58-65,,
7:39.0,A. Wiggins misses 2-pt shot from 18 ft,,58-65,,
7:38.0,Offensive rebound by N. Pekovic,,58-65,,
7:37.0,N. Pekovic makes 2-pt shot from 1 ft,2,60-65,,
7:28.0,Personal foul by N. Pekovic (drawn by D. Howard),,60-65,,
7:28.0,G. Dieng enters the game for N. Pekovic,,60-65,,
7:28.0,,,60-65,,C. Capela enters the game for T. Jones
7:28.0,Minnesota full timeout,,60-65,,
7:16.0,,,60-67,2,J. Harden makes 2-pt shot from 16 ft
6:47.0,A. Wiggins makes 3-pt shot from 26 ft (assist by R. Rubio),3,63-67,,
6:30.0,,,63-69,2,D. Howard makes 2-pt shot at rim (assist by C. Capela)
6:30.0,,,63-69,,Shooting foul by G. Dieng (drawn by D. Howard)
6:30.0,,,63-69,,T. Lawson enters the game for J. Terry
6:30.0,,,63-70,1,D. Howard makes free throw 1 of 1
6:11.0,G. Dieng misses 2-pt shot from 15 ft,,63-70,,
6:10.0,,,63-70,,Defensive rebound by T. Lawson
6:03.0,,,63-73,3,T. Lawson makes 3-pt shot from 24 ft (assist by J. Harden)
5:42.0,,,63-73,,Personal foul by C. Capela (drawn by A. Wiggins)
5:42.0,A. Wiggins makes free throw 1 of 2,1,64-73,,
5:42.0,A. Wiggins makes free throw 2 of 2,1,65-73,,
5:25.0,,,65-73,,Turnover by J. Harden (bad pass; steal by A. Wiggins)
5:12.0,T. Prince makes 2-pt shot from 13 ft (assist by K. Towns),2,67-73,,
4:58.0,,,67-73,,T. Lawson misses 2-pt shot from 4 ft
4:57.0,,,67-73,,Offensive rebound by D. Howard
4:55.0,,,67-73,,D. Howard misses 2-pt shot from 3 ft
4:53.0,,,67-73,,Offensive rebound by C. Capela
4:48.0,,,67-73,,Turnover by T. Lawson (bad pass; steal by G. Dieng)
4:38.0,T. Prince makes 2-pt shot from 16 ft (assist by R. Rubio),2,69-73,,
4:23.0,,,69-76,3,J. Harden makes 3-pt shot from 25 ft (assist by C. Capela)
4:05.0,A. Wiggins makes 2-pt shot from 19 ft (assist by K. Towns),2,71-76,,
3:47.0,,,71-76,,J. Harden misses 2-pt shot from 11 ft
3:46.0,Defensive rebound by K. Towns,,71-76,,
3:30.0,T. Prince makes 2-pt shot from 16 ft (assist by R. Rubio),2,73-76,,
3:28.0,,,73-76,,Houston full timeout
3:28.0,,,73-76,,C. Brewer enters the game for T. Ariza
3:28.0,,,73-76,,T. Jones enters the game for D. Howard
3:28.0,Z. LaVine enters the game for R. Rubio,,73-76,,
3:13.0,Personal foul by T. Prince (drawn by J. Harden),,73-76,,
3:02.0,,,73-76,,T. Jones misses 2-pt shot from 1 ft
3:01.0,Defensive rebound by G. Dieng,,73-76,,
2:46.0,A. Wiggins misses 3-pt shot from 24 ft,,73-76,,
2:45.0,,,73-76,,Defensive rebound by C. Capela
2:35.0,,,73-76,,J. Harden misses 2-pt shot from 15 ft
2:34.0,Defensive rebound by T. Prince,,73-76,,
2:22.0,Shooting foul by T. Jones (drawn by K. Towns),,73-76,,
2:22.0,K. Towns makes free throw 1 of 2,1,74-76,,
2:22.0,K. Martin enters the game for T. Prince,,74-76,,
2:22.0,,,74-76,,M. Thornton enters the game for J. Harden
2:22.0,K. Towns misses free throw 2 of 2,,74-76,,
2:22.0,,,74-76,,Defensive rebound by C. Capela
2:06.0,,,74-76,,Shooting foul by A. Wiggins (drawn by M. Thornton)
2:06.0,,,74-77,1,M. Thornton makes free throw 1 of 2
2:06.0,S. Muhammad enters the game for A. Wiggins,,74-77,,
2:06.0,,,74-77,,M. Thornton misses free throw 2 of 2
2:06.0,Defensive rebound by K. Towns,,74-77,,
1:50.0,Turnover by S. Muhammad (bad pass),,74-77,,
1:50.0,N. Bjelica enters the game for K. Towns,,74-77,,
1:35.0,,,74-79,2,T. Lawson makes 2-pt shot from 14 ft
1:27.0,Turnover by Z. LaVine (bad pass),,74-79,,
1:13.0,,,74-81,2,M. Thornton makes 2-pt shot from 9 ft
0:52.0,Shooting foul by M. Thornton (drawn by G. Dieng),,74-81,,
0:52.0,G. Dieng makes free throw 1 of 2,1,75-81,,
0:52.0,G. Dieng misses free throw 2 of 2,,75-81,,
0:51.0,,,75-81,,Defensive rebound by C. Brewer
0:34.0,,,75-81,,C. Brewer misses 3-pt shot from 23 ft
0:33.0,Defensive rebound by Z. LaVine,,75-81,,
0:10.0,G. Dieng makes 2-pt shot from 10 ft (assist by Z. LaVine),2,77-81,,
0:02.0,,,77-81,,T. Lawson misses 2-pt shot from 21 ft
0:01.0,Defensive rebound by G. Dieng,,77-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,77-81,,C. Brewer misses 3-pt shot from 25 ft
11:42.0,,,77-81,,Offensive rebound by Team
11:38.0,Personal foul by K. Martin (drawn by M. Thornton),,77-81,,
11:31.0,,,77-81,,M. Thornton misses 3-pt shot from 25 ft
11:31.0,Defensive rebound by G. Dieng,,77-81,,
11:19.0,Z. LaVine misses 2-pt shot from 16 ft,,77-81,,
11:18.0,,,77-81,,Defensive rebound by D. Howard
11:04.0,,,77-81,,Turnover by T. Jones (bad pass; steal by S. Muhammad)
11:00.0,Z. LaVine makes 2-pt shot at rim (assist by S. Muhammad),2,79-81,,
10:47.0,,,79-81,,Shooting foul by G. Dieng (drawn by D. Howard)
10:47.0,,,79-81,,Technical foul by D. Howard
10:47.0,K. Martin makes technical free throw,1,80-81,,
10:47.0,,,80-82,1,D. Howard makes free throw 1 of 2
10:47.0,,,80-82,,D. Howard misses free throw 2 of 2
10:47.0,Defensive rebound by Team,,80-82,,
10:35.0,N. Bjelica makes 3-pt shot from 25 ft (assist by Z. LaVine),3,83-82,,
10:21.0,,,83-84,2,D. Howard makes 2-pt shot at rim
10:21.0,,,83-84,,Shooting foul by G. Dieng (drawn by D. Howard)
10:21.0,,,83-84,,D. Howard misses free throw 1 of 1
10:20.0,,,83-84,,Offensive rebound by T. Jones
10:20.0,,,83-86,2,T. Jones makes 2-pt shot from 1 ft
10:00.0,G. Dieng misses 2-pt shot from 4 ft,,83-86,,
10:00.0,,,83-86,,Defensive rebound by D. Howard
9:56.0,Shooting block foul by N. Bjelica (drawn by T. Jones),,83-86,,
9:56.0,,,83-86,,T. Jones misses free throw 1 of 2
9:56.0,,,83-86,,Offensive rebound by Team
9:56.0,,,83-87,1,T. Jones makes free throw 2 of 2
9:42.0,N. Bjelica misses 3-pt shot from 25 ft,,83-87,,
9:42.0,,,83-87,,Defensive rebound by D. Howard
9:36.0,,,83-87,,M. Thornton misses 3-pt shot from 24 ft
9:35.0,Defensive rebound by S. Muhammad,,83-87,,
9:28.0,Z. LaVine misses 2-pt shot from 4 ft (block by D. Howard),,83-87,,
9:27.0,,,83-87,,Defensive rebound by D. Howard
9:20.0,,,83-89,2,M. Thornton makes 2-pt shot from 1 ft (assist by T. Jones)
9:19.0,Minnesota full timeout,,83-89,,
9:01.0,Turnover by K. Martin (bad pass),,83-89,,
8:43.0,,,83-92,3,T. Jones makes 3-pt shot from 25 ft (assist by T. Lawson)
8:30.0,K. Martin makes 3-pt shot from 27 ft (assist by Z. LaVine),3,86-92,,
8:07.0,,,86-92,,T. Jones misses 3-pt shot from 24 ft
8:07.0,Defensive rebound by Team,,86-92,,
8:07.0,,,86-92,,Loose ball foul by D. Howard (drawn by G. Dieng)
8:06.0,A. Wiggins enters the game for G. Dieng,,86-92,,
8:06.0,K. Towns enters the game for S. Muhammad,,86-92,,
8:06.0,R. Rubio enters the game for Z. LaVine,,86-92,,
7:55.0,Shooting foul by M. Thornton (drawn by K. Martin),,86-92,,
7:55.0,K. Martin makes free throw 1 of 2,1,87-92,,
7:55.0,,,87-92,,T. Ariza enters the game for T. Jones
7:55.0,,,87-92,,J. Harden enters the game for T. Lawson
7:55.0,,,87-92,,C. Capela enters the game for C. Brewer
7:55.0,,,87-92,,J. Terry enters the game for M. Thornton
7:55.0,K. Martin makes free throw 2 of 2,1,88-92,,
7:35.0,,,88-92,,C. Capela misses 2-pt shot from 2 ft (block by R. Rubio)
7:34.0,Defensive rebound by R. Rubio,,88-92,,
7:24.0,A. Wiggins makes 3-pt shot from 22 ft (assist by N. Bjelica),3,91-92,,
7:11.0,Personal foul by A. Wiggins (drawn by J. Harden),,91-92,,
7:11.0,,,91-92,,J. Harden misses free throw 1 of 2
7:11.0,,,91-92,,Offensive rebound by Team
7:11.0,,,91-93,1,J. Harden makes free throw 2 of 2
6:51.0,Shooting foul by D. Howard (drawn by K. Martin),,91-93,,
6:51.0,K. Martin makes free throw 1 of 2,1,92-93,,
6:51.0,K. Martin makes free throw 2 of 2,1,93-93,,
6:51.0,Personal take foul by N. Bjelica (drawn by C. Capela),,93-93,,
6:51.0,,,93-94,1,C. Capela makes free throw 1 of 2
6:51.0,,,93-94,,C. Capela misses free throw 2 of 2
6:51.0,Defensive rebound by N. Bjelica,,93-94,,
6:37.0,Turnover by A. Wiggins (lost ball; steal by J. Terry),,93-94,,
6:32.0,,,93-94,,T. Jones enters the game for C. Capela
6:29.0,,,93-94,,J. Harden misses 3-pt shot from 23 ft
6:28.0,Defensive rebound by N. Bjelica,,93-94,,
6:09.0,,,93-94,,Personal foul by D. Howard (drawn by R. Rubio)
5:54.0,K. Martin misses 3-pt shot from 25 ft,,93-94,,
5:53.0,,,93-94,,Defensive rebound by T. Ariza
5:48.0,,,93-94,,Shooting foul by N. Bjelica (drawn by J. Harden)
5:48.0,Official timeout,,93-94,,
5:48.0,,,93-94,,J. Harden misses free throw 1 of 2
