time,Chicago,pts.away,score,pts.home,Indiana
7:00.0,,,9-15,,Turnover by P. George (bad pass; steal by J. Butler)
6:49.0,Turnover by N. Mirotic (bad pass; steal by M. Ellis),,9-15,,
6:44.0,,,9-17,2,G. Hill makes 2-pt shot at rim (assist by C. Miles)
6:26.0,P. Gasol misses 2-pt shot from 11 ft,,9-17,,
6:25.0,,,9-17,,Defensive rebound by G. Hill
6:12.0,,,9-19,2,P. George makes 2-pt shot from 2 ft
5:58.0,T. Snell misses 2-pt shot from 21 ft,,9-19,,
5:58.0,,,9-19,,Defensive rebound by P. George
5:53.0,,,9-19,,P. George misses 2-pt shot from 23 ft
5:52.0,Defensive rebound by T. Snell,,9-19,,
5:43.0,N. Mirotic misses 3-pt shot from 25 ft,,9-19,,
5:43.0,,,9-19,,Defensive rebound by G. Hill
5:32.0,,,9-19,,P. George misses 3-pt shot from 22 ft
5:31.0,Defensive rebound by P. Gasol,,9-19,,
5:19.0,T. Snell makes 3-pt shot from 24 ft (assist by D. Rose),3,12-19,,
5:03.0,,,12-21,2,P. George makes 2-pt shot from 1 ft (assist by I. Mahinmi)
4:49.0,Turnover by N. Mirotic (bad pass; steal by M. Ellis),,12-21,,
4:48.0,Personal take foul by N. Mirotic (drawn by M. Ellis),,12-21,,
4:48.0,,,12-21,,L. Allen enters the game for I. Mahinmi
4:48.0,,,12-21,,R. Stuckey enters the game for G. Hill
4:48.0,K. Hinrich enters the game for T. Snell,,12-21,,
4:48.0,E. Moore enters the game for P. Gasol,,12-21,,
4:48.0,J. Noah enters the game for D. Rose,,12-21,,
4:40.0,Personal foul by E. Moore (drawn by R. Stuckey),,12-21,,
4:34.0,,,12-24,3,P. George makes 3-pt shot from 25 ft
4:22.0,Turnover by J. Butler (bad pass),,12-24,,
4:08.0,,,12-24,,C. Miles misses 3-pt shot from 24 ft
4:07.0,Defensive rebound by E. Moore,,12-24,,
3:54.0,E. Moore makes 2-pt shot from 15 ft,2,14-24,,
3:34.0,,,14-24,,P. George misses 3-pt shot from 23 ft
3:33.0,Defensive rebound by J. Butler,,14-24,,
3:23.0,J. Butler misses 2-pt shot from 7 ft,,14-24,,
3:22.0,,,14-24,,Defensive rebound by M. Ellis
3:17.0,,,14-26,2,C. Miles makes 2-pt shot from 1 ft (assist by M. Ellis)
2:57.0,J. Noah misses 2-pt shot from 21 ft,,14-26,,
2:57.0,,,14-26,,Defensive rebound by P. George
2:49.0,,,14-26,,M. Ellis misses 2-pt shot from 3 ft
2:48.0,Defensive rebound by J. Noah,,14-26,,
2:41.0,,,14-26,,Shooting block foul by L. Allen (drawn by N. Mirotic)
2:41.0,,,14-26,,Indiana full timeout
2:41.0,N. Mirotic makes free throw 1 of 2,1,15-26,,
2:41.0,N. Mirotic makes free throw 2 of 2,1,16-26,,
2:25.0,,,16-26,,R. Stuckey misses 2-pt shot from 13 ft
2:24.0,,,16-26,,Offensive rebound by Team
2:24.0,T. Gibson enters the game for N. Mirotic,,16-26,,
2:24.0,,,16-26,,I. Mahinmi enters the game for C. Miles
2:11.0,,,16-26,,P. George misses 2-pt shot from 14 ft
2:10.0,Defensive rebound by K. Hinrich,,16-26,,
1:52.0,T. Gibson makes 2-pt shot from 11 ft (assist by K. Hinrich),2,18-26,,
1:37.0,,,18-26,,M. Ellis misses 3-pt shot from 23 ft
1:37.0,Defensive rebound by J. Noah,,18-26,,
1:11.0,Turnover by J. Butler (lost ball; steal by R. Stuckey),,18-26,,
1:04.0,,,18-28,2,L. Allen makes 2-pt shot from 21 ft (assist by P. George)
0:55.0,J. Butler misses 3-pt shot from 24 ft,,18-28,,
0:54.0,,,18-28,,Defensive rebound by I. Mahinmi
0:49.0,,,18-28,,Shooting foul by K. Hinrich (drawn by R. Stuckey)
0:49.0,,,18-29,1,R. Stuckey makes free throw 1 of 2
0:49.0,,,18-30,1,R. Stuckey makes free throw 2 of 2
0:28.0,E. Moore misses 2-pt shot from 15 ft,,18-30,,
0:27.0,,,18-30,,Defensive rebound by M. Ellis
0:04.0,,,18-30,,Turnover by I. Mahinmi (bad pass; steal by E. Moore)
0:00.0,T. Gibson misses 3-pt shot from 32 ft,,18-30,,
0:00.0,Offensive rebound by Team,,18-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,D. Rose misses 2-pt shot from 8 ft (block by G. Hill),,18-30,,
11:47.0,,,18-30,,Defensive rebound by I. Mahinmi
11:30.0,,,18-30,,Turnover by L. Allen (bad pass; steal by D. Rose)
11:26.0,Offensive charge foul by T. Gibson,,18-30,,
11:26.0,Turnover by T. Gibson (offensive foul),,18-30,,
11:03.0,,,18-30,,G. Hill misses 2-pt shot from 18 ft
11:02.0,Defensive rebound by Team,,18-30,,
10:49.0,D. McDermott misses 2-pt shot from 5 ft,,18-30,,
10:48.0,,,18-30,,Defensive rebound by G. Hill
10:44.0,,,18-30,,Offensive charge foul by I. Mahinmi
10:44.0,,,18-30,,Turnover by I. Mahinmi (offensive foul)
10:18.0,D. Rose misses 2-pt shot from 17 ft,,18-30,,
10:17.0,,,18-30,,Defensive rebound by L. Allen
10:11.0,,,18-30,,R. Stuckey misses 2-pt shot from 2 ft (block by T. Gibson)
10:09.0,Defensive rebound by J. Noah,,18-30,,
10:01.0,D. Rose misses 3-pt shot from 22 ft,,18-30,,
10:01.0,Offensive rebound by J. Noah,,18-30,,
9:57.0,D. McDermott misses 3-pt shot from 26 ft,,18-30,,
9:57.0,,,18-30,,Defensive rebound by I. Mahinmi
9:47.0,,,18-30,,I. Mahinmi misses 2-pt shot at rim (block by J. Noah)
9:46.0,,,18-30,,Offensive rebound by L. Allen
9:46.0,,,18-32,2,L. Allen makes 2-pt shot from 3 ft
9:30.0,D. Rose misses 2-pt shot from 2 ft,,18-32,,
9:30.0,,,18-32,,Defensive rebound by L. Allen
9:15.0,,,18-32,,L. Allen misses 2-pt shot from 18 ft
9:14.0,Defensive rebound by T. Gibson,,18-32,,
9:02.0,T. Gibson makes 2-pt shot from 3 ft,2,20-32,,
8:42.0,,,20-32,,C. Budinger misses 3-pt shot from 24 ft
8:41.0,Defensive rebound by D. Rose,,20-32,,
8:33.0,E. Moore makes 2-pt shot from 2 ft,2,22-32,,
8:33.0,,,22-32,,Indiana full timeout
8:33.0,,,22-32,,C. Miles enters the game for L. Allen
8:11.0,,,22-32,,R. Stuckey misses 2-pt shot from 18 ft
8:10.0,,,22-32,,Offensive rebound by I. Mahinmi
8:06.0,,,22-35,3,C. Miles makes 3-pt shot from 25 ft (assist by I. Mahinmi)
7:52.0,D. Rose makes 2-pt shot from 20 ft,2,24-35,,
7:35.0,,,24-35,,G. Hill misses 3-pt shot from 25 ft
7:33.0,,,24-35,,Offensive rebound by Team
7:22.0,,,24-35,,I. Mahinmi misses 2-pt shot from 3 ft
7:21.0,Defensive rebound by D. Rose,,24-35,,
7:10.0,D. McDermott misses 3-pt shot from 23 ft,,24-35,,
7:09.0,Offensive rebound by D. McDermott,,24-35,,
6:57.0,T. Gibson misses 2-pt shot from 5 ft (block by I. Mahinmi),,24-35,,
6:56.0,,,24-35,,Defensive rebound by G. Hill
6:52.0,,,24-38,3,C. Miles makes 3-pt shot from 24 ft (assist by G. Hill)
6:52.0,,,24-38,,Shooting foul by E. Moore (drawn by C. Miles)
6:52.0,P. Gasol enters the game for J. Noah,,24-38,,
6:52.0,J. Butler enters the game for E. Moore,,24-38,,
6:52.0,,,24-39,1,C. Miles makes free throw 1 of 1
6:26.0,D. McDermott misses 2-pt shot from 18 ft,,24-39,,
6:26.0,,,24-39,,Defensive rebound by I. Mahinmi
6:16.0,,,24-39,,Turnover by C. Budinger (traveling)
6:03.0,Turnover by J. Butler (bad pass; steal by G. Hill),,24-39,,
5:59.0,,,24-41,2,G. Hill makes 2-pt shot from 11 ft
5:59.0,,,24-41,,Shooting foul by D. Rose (drawn by G. Hill)
5:59.0,Official timeout,,24-41,,
5:59.0,K. Hinrich enters the game for D. McDermott,,24-41,,
5:59.0,,,24-41,,L. Allen enters the game for I. Mahinmi
5:59.0,,,24-41,,G. Hill misses free throw 1 of 1
5:59.0,Defensive rebound by T. Gibson,,24-41,,
5:38.0,K. Hinrich misses 2-pt shot from 9 ft,,24-41,,
5:37.0,Offensive rebound by P. Gasol,,24-41,,
5:35.0,P. Gasol makes 2-pt shot from 1 ft,2,26-41,,
5:20.0,,,26-41,,C. Miles misses 3-pt shot from 24 ft
5:19.0,,,26-41,,Offensive rebound by G. Hill
5:15.0,,,26-41,,C. Budinger misses 3-pt shot from 24 ft
5:14.0,Defensive rebound by D. Rose,,26-41,,
5:00.0,D. Rose misses 2-pt shot from 2 ft (block by L. Allen),,26-41,,
4:58.0,,,26-41,,Defensive rebound by L. Allen
4:49.0,,,26-41,,R. Stuckey misses 2-pt shot from 19 ft
4:49.0,Defensive rebound by P. Gasol,,26-41,,
4:33.0,J. Butler misses 2-pt shot from 23 ft,,26-41,,
4:32.0,,,26-41,,Defensive rebound by G. Hill
4:24.0,,,26-43,2,G. Hill makes 2-pt shot from 15 ft
4:06.0,Shooting foul by R. Stuckey (drawn by J. Butler),,26-43,,
4:06.0,J. Butler makes free throw 1 of 2,1,27-43,,
4:06.0,N. Mirotic enters the game for T. Gibson,,27-43,,
4:06.0,,,27-43,,M. Ellis enters the game for C. Budinger
4:06.0,,,27-43,,P. George enters the game for G. Hill
4:06.0,E. Moore enters the game for D. Rose,,27-43,,
4:06.0,J. Butler makes free throw 2 of 2,1,28-43,,
3:45.0,,,28-45,2,L. Allen makes 2-pt shot from 8 ft (assist by M. Ellis)
3:27.0,N. Mirotic makes 3-pt shot from 25 ft (assist by P. Gasol),3,31-45,,
3:01.0,,,31-45,,L. Allen misses 2-pt shot from 6 ft
3:00.0,Defensive rebound by N. Mirotic,,31-45,,
2:44.0,N. Mirotic misses 2-pt shot from 2 ft,,31-45,,
2:43.0,,,31-45,,Defensive rebound by Team
2:43.0,Chicago full timeout,,31-45,,
2:43.0,,,31-45,,C. Budinger enters the game for R. Stuckey
2:30.0,,,31-47,2,M. Ellis makes 2-pt shot from 17 ft
2:16.0,J. Butler misses 2-pt shot from 18 ft,,31-47,,
2:15.0,,,31-47,,Defensive rebound by C. Miles
2:01.0,,,31-47,,C. Miles misses 2-pt shot from 2 ft
2:00.0,Defensive rebound by P. Gasol,,31-47,,
1:42.0,K. Hinrich makes 3-pt shot from 25 ft (assist by J. Butler),3,34-47,,
1:24.0,,,34-49,2,L. Allen makes 2-pt shot from 6 ft (assist by P. George)
1:10.0,P. Gasol misses 2-pt shot from 16 ft,,34-49,,
1:06.0,Offensive rebound by N. Mirotic,,34-49,,
1:06.0,N. Mirotic makes 2-pt shot from 1 ft,2,36-49,,
0:52.0,,,36-49,,C. Miles misses 3-pt shot from 24 ft
0:51.0,Defensive rebound by N. Mirotic,,36-49,,
0:46.0,K. Hinrich makes 3-pt shot from 25 ft (assist by N. Mirotic),3,39-49,,
0:46.0,,,39-49,,Indiana full timeout
0:30.0,,,39-51,2,M. Ellis makes 2-pt shot from 8 ft
0:10.0,N. Mirotic makes 3-pt shot from 25 ft (assist by K. Hinrich),3,42-51,,
0:00.0,,,42-51,,M. Ellis misses 2-pt shot from 15 ft (block by N. Mirotic)
0:00.0,,,42-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,N. Mirotic misses 2-pt shot from 9 ft,,42-51,,
11:39.0,,,42-51,,Defensive rebound by P. George
11:30.0,,,42-53,2,I. Mahinmi makes 2-pt shot at rim (assist by M. Ellis)
11:06.0,P. Gasol misses 2-pt shot from 15 ft,,42-53,,
11:05.0,Offensive rebound by D. Rose,,42-53,,
11:04.0,D. Rose misses 2-pt shot from 2 ft,,42-53,,
11:03.0,,,42-53,,Defensive rebound by I. Mahinmi
10:41.0,,,42-53,,Shooting foul by N. Mirotic (drawn by P. George)
10:41.0,,,42-54,1,P. George makes free throw 1 of 3
10:41.0,,,42-55,1,P. George makes free throw 2 of 3
10:41.0,,,42-56,1,P. George makes free throw 3 of 3
10:28.0,T. Snell makes 3-pt shot from 22 ft (assist by J. Butler),3,45-56,,
10:10.0,,,45-58,2,P. George makes 2-pt shot from 18 ft
10:00.0,Shooting foul by I. Mahinmi (drawn by J. Butler),,45-58,,
10:00.0,J. Butler makes free throw 1 of 2,1,46-58,,
10:00.0,J. Butler makes free throw 2 of 2,1,47-58,,
9:43.0,,,47-58,,I. Mahinmi misses 2-pt shot from 7 ft
9:42.0,Defensive rebound by P. Gasol,,47-58,,
9:42.0,,,47-58,,Loose ball foul by I. Mahinmi (drawn by P. Gasol)
9:42.0,,,47-58,,L. Allen enters the game for I. Mahinmi
9:26.0,P. Gasol misses 2-pt shot from 7 ft,,47-58,,
9:25.0,,,47-58,,Defensive rebound by C. Miles
9:17.0,,,47-58,,P. George misses 2-pt shot from 5 ft (block by J. Butler)
9:15.0,Defensive rebound by D. Rose,,47-58,,
9:11.0,N. Mirotic makes 2-pt shot from 1 ft (assist by D. Rose),2,49-58,,
9:04.0,,,49-58,,P. George misses 3-pt shot from 26 ft
9:03.0,Defensive rebound by P. Gasol,,49-58,,
8:55.0,N. Mirotic makes 2-pt shot from 1 ft (assist by D. Rose),2,51-58,,
8:34.0,,,51-58,,G. Hill misses 2-pt shot from 2 ft (block by D. Rose)
8:32.0,Defensive rebound by J. Butler,,51-58,,
8:23.0,N. Mirotic misses 2-pt shot from 14 ft,,51-58,,
8:22.0,,,51-58,,Defensive rebound by G. Hill
8:15.0,Personal foul by T. Snell (drawn by M. Ellis),,51-58,,
8:10.0,,,51-58,,Turnover by P. George (lost ball; steal by T. Snell)
8:03.0,N. Mirotic misses 2-pt shot from 23 ft,,51-58,,
8:02.0,,,51-58,,Defensive rebound by M. Ellis
7:54.0,,,51-58,,Shooting foul by P. Gasol (drawn by M. Ellis)
7:54.0,,,51-59,1,M. Ellis makes free throw 1 of 2
7:54.0,,,51-59,,M. Ellis misses free throw 2 of 2
7:53.0,,,51-59,,Offensive rebound by M. Ellis
7:50.0,,,51-61,2,M. Ellis makes 2-pt shot from 10 ft
7:41.0,D. Rose misses 2-pt shot from 1 ft,,51-61,,
7:40.0,,,51-61,,Defensive rebound by L. Allen
7:26.0,,,51-61,,M. Ellis misses 2-pt shot from 2 ft
7:25.0,Defensive rebound by P. Gasol,,51-61,,
7:16.0,N. Mirotic makes 2-pt shot from 2 ft (assist by P. Gasol),2,53-61,,
6:58.0,,,53-61,,C. Miles misses 3-pt shot from 27 ft
6:57.0,Defensive rebound by T. Snell,,53-61,,
6:45.0,P. Gasol misses 2-pt shot from 1 ft,,53-61,,
6:45.0,Offensive rebound by Team,,53-61,,
6:45.0,Turnover by P. Gasol (traveling),,53-61,,
6:45.0,,,53-61,,Indiana full timeout
6:27.0,,,53-61,,G. Hill misses 3-pt shot from 25 ft
6:27.0,Defensive rebound by Team,,53-61,,
6:08.0,P. Gasol misses 2-pt shot from 6 ft,,53-61,,
6:07.0,,,53-61,,Defensive rebound by P. George
6:00.0,,,53-63,2,P. George makes 2-pt shot from 19 ft
5:45.0,D. Rose misses 2-pt shot from 1 ft,,53-63,,
5:44.0,Offensive rebound by P. Gasol,,53-63,,
5:43.0,P. Gasol misses 2-pt shot from 1 ft,,53-63,,
5:43.0,Offensive rebound by P. Gasol,,53-63,,
5:43.0,P. Gasol misses 2-pt shot from 1 ft,,53-63,,
5:43.0,Offensive rebound by Team,,53-63,,
5:43.0,,,53-63,,Loose ball foul by G. Hill (drawn by P. Gasol)
5:43.0,K. Hinrich enters the game for P. Gasol,,53-63,,
5:43.0,J. Noah enters the game for D. Rose,,53-63,,
5:29.0,T. Snell misses 3-pt shot from 24 ft,,53-63,,
5:29.0,,,53-63,,Defensive rebound by Team
5:29.0,Loose ball foul by J. Noah (drawn by L. Allen),,53-63,,
5:21.0,Personal foul by T. Snell (drawn by M. Ellis),,53-63,,
5:21.0,,,53-64,1,M. Ellis makes free throw 1 of 2
5:21.0,E. Moore enters the game for T. Snell,,53-64,,
5:21.0,,,53-65,1,M. Ellis makes free throw 2 of 2
4:57.0,N. Mirotic makes 2-pt shot from 18 ft,2,55-65,,
4:47.0,,,55-65,,Turnover by P. George (lost ball; steal by J. Butler)
4:45.0,Turnover by J. Noah (bad pass),,55-65,,
4:45.0,,,55-65,,R. Stuckey enters the game for G. Hill
4:32.0,,,55-65,,P. George misses 2-pt shot from 23 ft
4:31.0,Defensive rebound by J. Butler,,55-65,,
4:09.0,J. Butler misses 2-pt shot from 16 ft,,55-65,,
4:09.0,,,55-65,,Defensive rebound by L. Allen
4:04.0,Shooting block foul by K. Hinrich (drawn by M. Ellis),,55-65,,
4:04.0,,,55-65,,M. Ellis misses free throw 1 of 2
4:04.0,,,55-65,,Offensive rebound by Team
4:04.0,,,55-66,1,M. Ellis makes free throw 2 of 2
3:50.0,E. Moore misses 2-pt shot from 8 ft,,55-66,,
3:50.0,,,55-66,,Defensive rebound by R. Stuckey
3:41.0,,,55-66,,Offensive charge foul by P. George
3:41.0,,,55-66,,Turnover by P. George (offensive foul)
3:41.0,,,55-66,,Technical foul by P. George
3:41.0,J. Butler makes technical free throw,1,56-66,,
3:27.0,Shooting foul by C. Miles (drawn by N. Mirotic),,56-66,,
3:27.0,N. Mirotic makes free throw 1 of 2,1,57-66,,
3:27.0,N. Mirotic makes free throw 2 of 2,1,58-66,,
3:09.0,,,58-66,,M. Ellis misses 3-pt shot from 24 ft
3:08.0,Defensive rebound by N. Mirotic,,58-66,,
2:53.0,Shooting foul by P. George (drawn by K. Hinrich),,58-66,,
2:53.0,Chicago full timeout,,58-66,,
2:53.0,K. Hinrich makes free throw 1 of 2,1,59-66,,
2:53.0,K. Hinrich makes free throw 2 of 2,1,60-66,,
2:39.0,,,60-66,,Turnover by R. Stuckey (bad pass; steal by E. Moore)
2:38.0,,,60-66,,Personal take foul by C. Miles (drawn by E. Moore)
2:38.0,E. Moore makes free throw 1 of 2,1,61-66,,
2:38.0,E. Moore misses free throw 2 of 2,,61-66,,
2:38.0,,,61-66,,Defensive rebound by P. George
2:21.0,,,61-66,,M. Ellis misses 2-pt shot from 20 ft
2:20.0,Defensive rebound by J. Butler,,61-66,,
2:10.0,Turnover by J. Noah (lost ball),,61-66,,
1:55.0,,,61-66,,L. Allen misses 2-pt shot from 1 ft
1:55.0,Defensive rebound by N. Mirotic,,61-66,,
1:46.0,,,61-66,,Personal foul by C. Miles (drawn by N. Mirotic)
1:46.0,N. Mirotic misses free throw 1 of 2,,61-66,,
1:46.0,Offensive rebound by Team,,61-66,,
1:46.0,,,61-66,,S. Hill enters the game for C. Miles
1:46.0,N. Mirotic makes free throw 2 of 2,1,62-66,,
1:32.0,,,62-68,2,L. Allen makes 2-pt shot from 21 ft (assist by S. Hill)
1:17.0,,,62-68,,Def 3 sec tech foul by L. Allen
1:17.0,J. Butler makes technical free throw,1,63-68,,
1:17.0,T. Gibson enters the game for N. Mirotic,,63-68,,
1:06.0,K. Hinrich misses 2-pt shot from 20 ft,,63-68,,
1:05.0,,,63-68,,Defensive rebound by L. Allen
0:59.0,,,63-70,2,P. George makes 2-pt shot from 1 ft
0:47.0,T. Gibson misses 2-pt shot from 1 ft,,63-70,,
0:47.0,,,63-70,,Defensive rebound by L. Allen
0:34.0,,,63-70,,L. Allen misses 2-pt shot from 7 ft (block by J. Noah)
0:34.0,Defensive rebound by J. Noah,,63-70,,
0:19.0,E. Moore misses 2-pt shot from 18 ft,,63-70,,
0:18.0,,,63-70,,Defensive rebound by S. Hill
0:12.0,,,63-72,2,M. Ellis makes 2-pt shot from 2 ft
0:02.0,Turnover by K. Hinrich (lost ball; steal by S. Hill),,63-72,,
0:00.0,,,63-72,,P. George misses 3-pt shot from 29 ft
0:00.0,,,63-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,,,63-72,,Violation by Team (delay of game)
11:36.0,,,63-74,2,P. George makes 2-pt shot from 19 ft (assist by I. Mahinmi)
11:16.0,,,63-74,,Personal foul by R. Stuckey (drawn by K. Hinrich)
11:09.0,Turnover by D. Rose (bad pass; steal by R. Stuckey),,63-74,,
11:05.0,,,63-76,2,R. Stuckey makes 2-pt shot from 2 ft
11:05.0,Chicago full timeout,,63-76,,
11:05.0,J. Butler enters the game for E. Moore,,63-76,,
10:55.0,J. Butler makes 3-pt shot from 25 ft,3,66-76,,
10:35.0,,,66-76,,Turnover by P. George (bad pass)
10:17.0,D. Rose makes 3-pt shot from 24 ft (assist by J. Butler),3,69-76,,
10:00.0,,,69-79,3,R. Stuckey makes 3-pt shot from 24 ft (assist by S. Hill)
9:47.0,J. Noah misses 2-pt shot from 1 ft,,69-79,,
9:47.0,,,69-79,,Defensive rebound by G. Hill
9:40.0,,,69-79,,S. Hill misses 3-pt shot from 24 ft
9:39.0,Defensive rebound by J. Butler,,69-79,,
9:15.0,K. Hinrich makes 3-pt shot from 22 ft (assist by D. Rose),3,72-79,,
9:04.0,,,72-82,3,P. George makes 3-pt shot from 23 ft
8:53.0,K. Hinrich misses 3-pt shot from 24 ft,,72-82,,
8:52.0,,,72-82,,Defensive rebound by I. Mahinmi
8:52.0,Loose ball foul by J. Noah (drawn by I. Mahinmi),,72-82,,
8:52.0,P. Gasol enters the game for J. Noah,,72-82,,
8:46.0,,,72-82,,Offensive foul by R. Stuckey
8:46.0,,,72-82,,Turnover by R. Stuckey (offensive foul)
8:35.0,J. Butler makes 2-pt shot from 18 ft (assist by D. Rose),2,74-82,,
8:27.0,Personal foul by P. Gasol (drawn by R. Stuckey),,74-82,,
8:21.0,,,74-82,,P. George misses 2-pt shot from 23 ft
8:20.0,,,74-82,,Offensive rebound by G. Hill
8:18.0,,,74-82,,Shooting foul by P. Gasol (drawn by P. George)
8:18.0,,,74-83,1,P. George makes free throw 1 of 2
8:18.0,,,74-84,1,P. George makes free throw 2 of 2
8:07.0,D. Rose misses 2-pt shot from 4 ft,,74-84,,
8:07.0,,,74-84,,Defensive rebound by Team
8:07.0,Loose ball foul by T. Gibson (drawn by I. Mahinmi),,74-84,,
7:47.0,,,74-84,,P. George misses 2-pt shot from 3 ft (block by J. Butler)
7:47.0,,,74-84,,Offensive rebound by Team
7:45.0,,,74-84,,I. Mahinmi misses 2-pt shot from 10 ft
7:44.0,Defensive rebound by T. Gibson,,74-84,,
7:32.0,K. Hinrich misses 2-pt shot from 4 ft,,74-84,,
7:31.0,,,74-84,,Defensive rebound by R. Stuckey
7:23.0,,,74-84,,Turnover by G. Hill (step out of bounds)
7:06.0,P. Gasol misses 2-pt shot from 11 ft,,74-84,,
7:05.0,,,74-84,,Defensive rebound by P. George
6:52.0,Shooting block foul by K. Hinrich (drawn by R. Stuckey),,74-84,,
6:52.0,,,74-84,,R. Stuckey misses free throw 1 of 2
6:52.0,,,74-84,,Offensive rebound by Team
6:52.0,E. Moore enters the game for K. Hinrich,,74-84,,
6:52.0,N. Mirotic enters the game for T. Gibson,,74-84,,
6:52.0,,,74-84,,L. Allen enters the game for I. Mahinmi
6:52.0,,,74-85,1,R. Stuckey makes free throw 2 of 2
6:46.0,,,74-85,,Personal foul by R. Stuckey (drawn by J. Butler)
6:31.0,Shooting foul by P. George (drawn by N. Mirotic),,74-85,,
6:31.0,N. Mirotic makes free throw 1 of 2,1,75-85,,
6:31.0,N. Mirotic makes free throw 2 of 2,1,76-85,,
6:20.0,,,76-85,,Shooting foul by J. Butler (drawn by P. George)
6:20.0,,,76-86,1,P. George makes free throw 1 of 2
6:20.0,,,76-87,1,P. George makes free throw 2 of 2
6:01.0,N. Mirotic misses 3-pt shot from 25 ft,,76-87,,
6:01.0,,,76-87,,Defensive rebound by L. Allen
5:45.0,,,76-89,2,L. Allen makes 2-pt shot from 1 ft (assist by S. Hill)
5:32.0,P. Gasol makes 2-pt shot from 15 ft (assist by J. Butler),2,78-89,,
5:19.0,,,78-92,3,P. George makes 3-pt shot from 22 ft (assist by G. Hill)
5:08.0,D. Rose misses 2-pt shot from 9 ft,,78-92,,
5:08.0,Offensive rebound by Team,,78-92,,
5:08.0,Official timeout,,78-92,,
5:08.0,,,78-92,,I. Mahinmi enters the game for L. Allen
4:55.0,J. Butler misses 3-pt shot from 25 ft,,78-92,,
4:54.0,,,78-92,,Defensive rebound by R. Stuckey
4:49.0,Personal take foul by P. Gasol (drawn by I. Mahinmi),,78-92,,
4:49.0,,,78-92,,I. Mahinmi misses free throw 1 of 2
4:49.0,,,78-92,,Offensive rebound by Team
