time,Toronto,pts.away,score,pts.home,Utah
3:47.0,J. Johnson enters the game for D. DeRozan,,13-19,,
3:47.0,,,13-20,1,G. Hayward makes free throw 2 of 2
3:34.0,J. Valanciunas misses 2-pt shot from 7 ft (block by R. Gobert),,13-20,,
3:33.0,,,13-20,,Defensive rebound by G. Hayward
3:20.0,,,13-20,,T. Burke misses 3-pt shot from 25 ft
3:19.0,,,13-20,,Offensive rebound by T. Booker
3:13.0,,,13-22,2,T. Booker makes 2-pt shot from 1 ft
3:03.0,Turnover by J. Johnson (bad pass; steal by T. Booker),,13-22,,
2:44.0,,,13-22,,T. Booker misses 3-pt shot from 22 ft
2:43.0,Defensive rebound by J. Valanciunas,,13-22,,
2:35.0,K. Lowry makes 2-pt shot from 11 ft,2,15-22,,
2:35.0,,,15-22,,Utah full timeout
2:35.0,B. Biyombo enters the game for J. Valanciunas,,15-22,,
2:19.0,,,15-22,,G. Hayward misses 3-pt shot from 24 ft
2:19.0,Defensive rebound by C. Joseph,,15-22,,
2:05.0,Turnover by K. Lowry (lost ball; steal by T. Burke),,15-22,,
2:01.0,,,15-22,,Turnover by T. Burke (bad pass; steal by C. Joseph)
1:52.0,P. Patterson misses 3-pt shot from 24 ft,,15-22,,
1:52.0,Offensive rebound by Team,,15-22,,
1:52.0,,,15-22,,Loose ball foul by A. Burks (drawn by B. Biyombo)
1:52.0,,,15-22,,J. Ingles enters the game for G. Hayward
1:46.0,K. Lowry misses 3-pt shot from 24 ft,,15-22,,
1:44.0,Offensive rebound by P. Patterson,,15-22,,
1:34.0,,,15-22,,Personal foul by T. Burke (drawn by C. Joseph)
1:34.0,C. Joseph makes free throw 1 of 2,1,16-22,,
1:34.0,C. Joseph makes free throw 2 of 2,1,17-22,,
1:13.0,,,17-24,2,T. Booker makes 2-pt shot from 4 ft
0:54.0,C. Joseph makes 2-pt shot from 2 ft,2,19-24,,
0:40.0,,,19-24,,Turnover by R. Gobert (offensive goaltending)
0:40.0,,,19-24,,J. Withey enters the game for R. Gobert
0:29.0,K. Lowry misses 3-pt shot from 23 ft,,19-24,,
0:26.0,,,19-24,,Defensive rebound by T. Booker
0:06.0,,,19-24,,A. Burks misses 2-pt shot from 16 ft
0:05.0,,,19-24,,Offensive rebound by A. Burks
0:03.0,,,19-24,,A. Burks misses 2-pt shot from 12 ft
0:00.0,Defensive rebound by K. Lowry,,19-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,J. Johnson makes 2-pt shot at rim,2,21-24,,
11:22.0,,,21-27,3,T. Burke makes 3-pt shot from 22 ft (assist by J. Ingles)
10:54.0,C. Joseph makes 2-pt shot from 20 ft,2,23-27,,
10:41.0,,,23-27,,Turnover by J. Withey (bad pass; steal by P. Patterson)
10:34.0,N. Powell misses 2-pt shot from 1 ft (block by J. Withey),,23-27,,
10:32.0,,,23-27,,Defensive rebound by T. Burke
10:25.0,,,23-29,2,J. Withey makes 2-pt shot from 2 ft (assist by T. Burke)
10:06.0,C. Joseph misses 3-pt shot from 24 ft,,23-29,,
10:05.0,,,23-29,,Defensive rebound by T. Booker
9:52.0,,,23-29,,T. Booker misses 2-pt shot from 2 ft
9:51.0,Defensive rebound by B. Biyombo,,23-29,,
9:43.0,J. Johnson makes 2-pt shot from 2 ft,2,25-29,,
9:30.0,,,25-29,,Turnover by J. Ingles (bad pass; steal by N. Powell)
9:27.0,N. Powell misses 2-pt shot from 2 ft (block by A. Burks),,25-29,,
9:27.0,Offensive rebound by Team,,25-29,,
9:27.0,,,25-29,,D. Favors enters the game for T. Booker
9:27.0,,,25-29,,R. Hood enters the game for J. Ingles
9:22.0,N. Powell misses 2-pt shot from 4 ft,,25-29,,
9:22.0,,,25-29,,Defensive rebound by J. Withey
8:59.0,,,25-31,2,T. Burke makes 2-pt shot from 18 ft
8:38.0,Turnover by J. Johnson (traveling),,25-31,,
8:38.0,Official timeout,,25-31,,
8:38.0,D. Carroll enters the game for J. Johnson,,25-31,,
8:38.0,D. DeRozan enters the game for N. Powell,,25-31,,
8:21.0,,,25-31,,T. Burke misses 3-pt shot from 23 ft
8:21.0,Defensive rebound by Team,,25-31,,
8:19.0,,,25-31,,J. Ingles enters the game for A. Burks
8:01.0,D. Carroll makes 3-pt shot from 24 ft (assist by D. DeRozan),3,28-31,,
7:49.0,,,28-31,,Offensive foul by J. Ingles
7:49.0,,,28-31,,Turnover by J. Ingles (offensive foul)
7:49.0,,,28-31,,R. Gobert enters the game for J. Withey
7:49.0,,,28-31,,R. Neto enters the game for T. Burke
7:29.0,B. Biyombo misses 2-pt shot from 10 ft,,28-31,,
7:28.0,,,28-31,,Defensive rebound by R. Gobert
7:11.0,,,28-33,2,R. Gobert makes 2-pt shot at rim (assist by R. Hood)
6:50.0,P. Patterson misses 3-pt shot from 23 ft,,28-33,,
6:49.0,,,28-33,,Defensive rebound by R. Hood
6:36.0,Violation by P. Patterson (kicked ball),,28-33,,
6:36.0,J. Valanciunas enters the game for B. Biyombo,,28-33,,
6:36.0,,,28-33,,Utah full timeout
6:36.0,L. Scola enters the game for P. Patterson,,28-33,,
6:36.0,,,28-33,,G. Hayward enters the game for J. Ingles
6:30.0,Personal foul by L. Scola (drawn by D. Favors),,28-33,,
6:22.0,,,28-36,3,R. Hood makes 3-pt shot from 23 ft
6:04.0,Turnover by D. DeRozan (bad pass; steal by R. Neto),,28-36,,
5:58.0,,,28-38,2,R. Neto makes 2-pt shot from 2 ft
5:38.0,Shooting foul by R. Neto (drawn by D. Carroll),,28-38,,
5:38.0,D. Carroll makes free throw 1 of 2,1,29-38,,
5:38.0,K. Lowry enters the game for C. Joseph,,29-38,,
5:38.0,D. Carroll misses free throw 2 of 2,,29-38,,
5:37.0,,,29-38,,Defensive rebound by D. Favors
5:19.0,,,29-38,,Turnover by R. Hood (bad pass; steal by J. Valanciunas)
5:13.0,L. Scola makes 2-pt shot from 2 ft (assist by K. Lowry),2,31-38,,
4:49.0,,,31-38,,R. Hood misses 2-pt shot from 5 ft (block by J. Valanciunas)
4:47.0,Defensive rebound by D. DeRozan,,31-38,,
4:39.0,L. Scola makes 2-pt shot from 17 ft (assist by D. DeRozan),2,33-38,,
4:26.0,,,33-38,,Turnover by R. Neto (bad pass; steal by K. Lowry)
4:26.0,,,33-38,,Personal foul by R. Gobert (drawn by K. Lowry)
4:26.0,,,33-38,,A. Burks enters the game for R. Neto
4:12.0,K. Lowry misses 2-pt shot from 4 ft,,33-38,,
4:11.0,,,33-38,,Defensive rebound by D. Favors
4:07.0,,,33-40,2,G. Hayward makes 2-pt shot at rim (assist by R. Hood)
3:46.0,L. Scola makes 3-pt shot from 24 ft (assist by D. DeRozan),3,36-40,,
3:22.0,,,36-42,2,R. Hood makes 2-pt shot from 6 ft
3:12.0,J. Valanciunas misses 2-pt shot from 4 ft (block by R. Gobert),,36-42,,
3:12.0,Offensive rebound by Team,,36-42,,
3:12.0,Toronto full timeout,,36-42,,
3:12.0,,,36-42,,T. Booker enters the game for D. Favors
3:12.0,,,36-42,,T. Burke enters the game for R. Hood
2:57.0,K. Lowry misses 2-pt shot from 22 ft,,36-42,,
2:56.0,,,36-42,,Defensive rebound by G. Hayward
2:45.0,,,36-42,,G. Hayward misses 2-pt shot from 16 ft
2:44.0,Defensive rebound by D. DeRozan,,36-42,,
2:30.0,L. Scola makes 3-pt shot from 24 ft (assist by D. DeRozan),3,39-42,,
2:12.0,,,39-42,,Turnover by A. Burks (bad pass; steal by D. Carroll)
2:02.0,,,39-42,,Personal foul by T. Burke (drawn by L. Scola)
2:02.0,,,39-42,,R. Hood enters the game for T. Burke
1:52.0,L. Scola misses 2-pt shot from 7 ft,,39-42,,
1:50.0,,,39-42,,Defensive rebound by R. Hood
1:45.0,,,39-42,,Turnover by A. Burks (traveling)
1:24.0,D. DeRozan misses 2-pt shot from 17 ft,,39-42,,
1:23.0,Offensive rebound by L. Scola,,39-42,,
1:14.0,K. Lowry misses 2-pt shot from 3 ft,,39-42,,
1:14.0,Offensive rebound by J. Valanciunas,,39-42,,
1:09.0,J. Valanciunas makes 2-pt shot from 1 ft,2,41-42,,
0:53.0,,,41-42,,A. Burks misses 3-pt shot from 25 ft
0:52.0,Defensive rebound by J. Valanciunas,,41-42,,
0:46.0,L. Scola makes 2-pt shot from 2 ft (assist by K. Lowry),2,43-42,,
0:32.0,,,43-42,,Utah full timeout
0:32.0,,,43-42,,D. Favors enters the game for T. Booker
0:32.0,C. Joseph enters the game for D. DeRozan,,43-42,,
0:27.0,,,43-42,,G. Hayward misses 3-pt shot from 24 ft
0:26.0,Defensive rebound by L. Scola,,43-42,,
0:07.0,,,43-42,,Personal foul by A. Burks (drawn by K. Lowry)
0:07.0,D. DeRozan enters the game for J. Valanciunas,,43-42,,
0:02.0,K. Lowry makes 2-pt shot from 1 ft,2,45-42,,
0:01.0,,,45-42,,A. Burks misses 3-pt shot from 45 ft
0:00.0,,,45-42,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,J. Valanciunas makes 2-pt shot from 3 ft (assist by D. DeRozan),2,47-42,,
11:21.0,,,47-44,2,D. Favors makes 2-pt shot from 8 ft
11:04.0,Turnover by J. Valanciunas (3 sec),,47-44,,
10:45.0,,,47-44,,D. Favors misses 2-pt shot from 18 ft
10:44.0,Defensive rebound by J. Valanciunas,,47-44,,
10:33.0,D. Carroll misses 3-pt shot from 24 ft,,47-44,,
10:32.0,,,47-44,,Defensive rebound by D. Favors
10:22.0,,,47-44,,Shooting foul by D. Carroll (drawn by R. Gobert)
10:22.0,,,47-45,1,R. Gobert makes free throw 1 of 2
10:22.0,,,47-45,,R. Gobert misses free throw 2 of 2
10:22.0,Defensive rebound by J. Valanciunas,,47-45,,
10:03.0,K. Lowry misses 2-pt shot from 12 ft,,47-45,,
10:02.0,,,47-45,,Defensive rebound by R. Hood
9:52.0,,,47-45,,R. Neto misses 2-pt shot from 8 ft
9:52.0,,,47-45,,Offensive rebound by Team
9:52.0,,,47-45,,Turnover by R. Neto (traveling)
9:39.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,49-45,,
9:39.0,Shooting foul by R. Hood (drawn by J. Valanciunas),,49-45,,
9:39.0,J. Valanciunas makes free throw 1 of 1,1,50-45,,
9:23.0,,,50-45,,Turnover by R. Hood (bad pass; steal by K. Lowry)
9:17.0,D. Carroll misses 3-pt shot from 24 ft,,50-45,,
9:16.0,,,50-45,,Defensive rebound by D. Favors
9:04.0,,,50-45,,Shooting foul by L. Scola (drawn by D. Favors)
9:04.0,,,50-45,,D. Favors misses free throw 1 of 2
9:04.0,,,50-45,,Offensive rebound by Team
9:04.0,,,50-46,1,D. Favors makes free throw 2 of 2
8:41.0,L. Scola makes 2-pt shot from 12 ft,2,52-46,,
8:29.0,Personal foul by D. Carroll (drawn by G. Hayward),,52-46,,
8:20.0,,,52-46,,Shooting foul by D. DeRozan (drawn by R. Hood)
8:20.0,,,52-47,1,R. Hood makes free throw 1 of 2
8:20.0,,,52-48,1,R. Hood makes free throw 2 of 2
7:56.0,D. DeRozan misses 3-pt shot from 23 ft,,52-48,,
7:55.0,,,52-48,,Defensive rebound by D. Favors
7:36.0,,,52-51,3,R. Hood makes 3-pt shot from 24 ft (assist by D. Favors)
7:10.0,K. Lowry makes 2-pt shot from 4 ft,2,54-51,,
6:49.0,,,54-51,,D. Favors misses 2-pt shot from 15 ft
6:49.0,Defensive rebound by D. Carroll,,54-51,,
6:26.0,D. Carroll misses 3-pt shot from 24 ft,,54-51,,
6:25.0,,,54-51,,Defensive rebound by G. Hayward
6:08.0,,,54-53,2,D. Favors makes 2-pt shot at rim
5:50.0,,,54-53,,Personal foul by G. Hayward (drawn by D. DeRozan)
5:50.0,,,54-53,,Utah full timeout
5:50.0,C. Joseph enters the game for D. DeRozan,,54-53,,
5:50.0,,,54-53,,T. Burke enters the game for R. Neto
5:50.0,,,54-53,,A. Burks enters the game for R. Hood
5:42.0,Shooting foul by T. Burke (drawn by K. Lowry),,54-53,,
5:42.0,K. Lowry makes free throw 1 of 2,1,55-53,,
5:42.0,K. Lowry makes free throw 2 of 2,1,56-53,,
5:19.0,,,56-53,,G. Hayward misses 2-pt shot from 15 ft (block by D. Carroll)
5:18.0,Defensive rebound by J. Valanciunas,,56-53,,
5:16.0,Turnover by K. Lowry (bad pass),,56-53,,
5:03.0,,,56-53,,Offensive charge foul by R. Gobert
5:03.0,,,56-53,,Turnover by R. Gobert (offensive foul)
4:42.0,C. Joseph misses 2-pt shot from 5 ft,,56-53,,
4:42.0,Offensive rebound by C. Joseph,,56-53,,
4:37.0,D. Carroll misses 2-pt shot from 22 ft,,56-53,,
4:36.0,Offensive rebound by J. Valanciunas,,56-53,,
4:32.0,J. Valanciunas misses 2-pt shot from 1 ft,,56-53,,
4:30.0,,,56-53,,Defensive rebound by G. Hayward
4:09.0,,,56-53,,T. Burke misses 2-pt shot from 18 ft
4:08.0,,,56-53,,Offensive rebound by D. Favors
4:08.0,Personal foul by L. Scola (drawn by D. Favors),,56-53,,
4:08.0,,,56-54,1,D. Favors makes free throw 1 of 2
4:08.0,P. Patterson enters the game for L. Scola,,56-54,,
4:08.0,,,56-54,,T. Booker enters the game for R. Gobert
4:08.0,B. Biyombo enters the game for J. Valanciunas,,56-54,,
4:08.0,,,56-54,,D. Favors misses free throw 2 of 2
4:07.0,Defensive rebound by P. Patterson,,56-54,,
3:45.0,D. Carroll misses 2-pt shot from 22 ft,,56-54,,
3:44.0,,,56-54,,Defensive rebound by G. Hayward
3:38.0,,,56-54,,G. Hayward misses 2-pt shot from 6 ft
3:37.0,,,56-54,,Offensive rebound by G. Hayward
3:35.0,,,56-54,,G. Hayward misses 2-pt shot from 1 ft
3:34.0,Defensive rebound by P. Patterson,,56-54,,
3:20.0,Turnover by K. Lowry (bad pass; steal by T. Burke),,56-54,,
3:16.0,,,56-54,,Shooting foul by K. Lowry (drawn by T. Burke)
3:16.0,,,56-55,1,T. Burke makes free throw 1 of 2
3:16.0,,,56-55,,J. Ingles enters the game for G. Hayward
3:16.0,Toronto full timeout,,56-55,,
3:16.0,J. Johnson enters the game for D. Carroll,,56-55,,
3:16.0,,,56-55,,T. Burke misses free throw 2 of 2
3:16.0,Defensive rebound by P. Patterson,,56-55,,
3:01.0,Shooting foul by A. Burks (drawn by K. Lowry),,56-55,,
3:01.0,K. Lowry makes free throw 1 of 2,1,57-55,,
3:01.0,,,57-55,,J. Withey enters the game for D. Favors
3:01.0,K. Lowry makes free throw 2 of 2,1,58-55,,
2:41.0,,,58-55,,J. Ingles misses 2-pt shot from 5 ft
2:40.0,Defensive rebound by P. Patterson,,58-55,,
2:30.0,K. Lowry makes 2-pt shot from 1 ft,2,60-55,,
2:30.0,Shooting foul by J. Withey (drawn by K. Lowry),,60-55,,
2:30.0,K. Lowry makes free throw 1 of 1,1,61-55,,
2:04.0,,,61-55,,T. Booker misses 3-pt shot from 24 ft
2:04.0,,,61-55,,Offensive rebound by Team
2:04.0,,,61-55,,Turnover by Team (shot clock)
1:49.0,Shooting foul by T. Burke (drawn by B. Biyombo),,61-55,,
1:49.0,B. Biyombo misses free throw 1 of 2,,61-55,,
1:49.0,Offensive rebound by Team,,61-55,,
1:49.0,,,61-55,,C. Johnson enters the game for T. Burke
1:49.0,B. Biyombo makes free throw 2 of 2,1,62-55,,
1:29.0,,,62-55,,A. Burks misses 3-pt shot from 24 ft
1:28.0,Defensive rebound by J. Johnson,,62-55,,
1:13.0,Turnover by C. Joseph (lost ball; steal by A. Burks),,62-55,,
1:06.0,,,62-55,,J. Ingles misses 3-pt shot from 24 ft
1:05.0,,,62-55,,Offensive rebound by T. Booker
1:01.0,,,62-55,,T. Booker misses 2-pt shot from 2 ft
1:00.0,Defensive rebound by B. Biyombo,,62-55,,
1:00.0,Turnover by B. Biyombo (bad pass),,62-55,,
0:50.0,,,62-55,,A. Burks misses 2-pt shot from 15 ft
0:50.0,Defensive rebound by K. Lowry,,62-55,,
0:40.0,K. Lowry misses 3-pt shot from 24 ft,,62-55,,
0:39.0,,,62-55,,Defensive rebound by J. Ingles
0:34.0,Violation by B. Biyombo (def goaltending),,62-55,,
0:34.0,,,62-57,2,A. Burks makes 2-pt shot from 3 ft
0:27.0,P. Patterson misses 3-pt shot from 24 ft,,62-57,,
0:26.0,,,62-57,,Defensive rebound by J. Ingles
0:06.0,,,62-59,2,A. Burks makes 2-pt shot from 11 ft
0:04.0,Turnover by P. Patterson (bad pass; steal by J. Ingles),,62-59,,
0:02.0,,,62-59,,Turnover by J. Ingles (bad pass; steal by K. Lowry)
0:00.0,K. Lowry makes 2-pt shot from 20 ft,2,64-59,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,64-62,3,A. Burks makes 3-pt shot from 24 ft
11:11.0,C. Joseph misses 2-pt shot from 10 ft,,64-62,,
11:11.0,,,64-62,,Defensive rebound by T. Booker
11:00.0,,,64-62,,T. Booker misses 2-pt shot from 4 ft
10:59.0,Defensive rebound by D. DeRozan,,64-62,,
10:44.0,Shooting foul by C. Johnson (drawn by C. Joseph),,64-62,,
10:44.0,C. Joseph makes free throw 1 of 2,1,65-62,,
10:44.0,C. Joseph makes free throw 2 of 2,1,66-62,,
10:44.0,,,66-62,,Offensive foul by R. Hood
10:44.0,,,66-62,,Turnover by R. Hood (offensive foul)
10:33.0,B. Biyombo makes 2-pt shot from 1 ft (assist by J. Johnson),2,68-62,,
10:08.0,,,68-62,,R. Hood misses 2-pt shot from 9 ft
10:07.0,,,68-62,,Offensive rebound by R. Hood
9:51.0,,,68-62,,Shooting foul by J. Johnson (drawn by A. Burks)
9:51.0,,,68-63,1,A. Burks makes free throw 1 of 2
9:51.0,,,68-63,,G. Hayward enters the game for T. Booker
9:51.0,,,68-64,1,A. Burks makes free throw 2 of 2
9:34.0,D. DeRozan misses 2-pt shot from 19 ft,,68-64,,
9:32.0,Offensive rebound by C. Joseph,,68-64,,
9:26.0,D. DeRozan makes 2-pt shot from 1 ft,2,70-64,,
9:12.0,,,70-66,2,G. Hayward makes 2-pt shot from 1 ft
9:12.0,,,70-66,,Shooting foul by B. Biyombo (drawn by G. Hayward)
9:12.0,D. Carroll enters the game for B. Biyombo,,70-66,,
9:12.0,J. Valanciunas enters the game for P. Patterson,,70-66,,
9:12.0,,,70-66,,T. Burke enters the game for C. Johnson
9:12.0,,,70-67,1,G. Hayward makes free throw 1 of 1
8:51.0,D. DeRozan makes 2-pt shot from 6 ft,2,72-67,,
8:42.0,,,72-67,,T. Burke misses 3-pt shot from 25 ft
8:41.0,Defensive rebound by D. Carroll,,72-67,,
8:25.0,D. DeRozan misses 2-pt shot from 15 ft,,72-67,,
8:24.0,,,72-67,,Defensive rebound by R. Gobert
8:18.0,,,72-69,2,A. Burks makes 2-pt shot from 2 ft
7:48.0,D. DeRozan makes 2-pt shot from 9 ft,2,74-69,,
7:35.0,,,74-69,,R. Hood misses 3-pt shot from 22 ft (block by J. Johnson)
7:35.0,,,74-69,,Offensive rebound by Team
7:35.0,Official timeout,,74-69,,
7:35.0,,,74-69,,D. Favors enters the game for A. Burks
7:35.0,K. Lowry enters the game for J. Johnson,,74-69,,
7:27.0,,,74-69,,Shooting foul by C. Joseph (drawn by R. Hood)
7:27.0,,,74-70,1,R. Hood makes free throw 1 of 2
7:27.0,L. Scola enters the game for C. Joseph,,74-70,,
7:27.0,,,74-71,1,R. Hood makes free throw 2 of 2
7:07.0,D. Carroll makes 3-pt shot from 24 ft (assist by D. DeRozan),3,77-71,,
6:43.0,,,77-74,3,G. Hayward makes 3-pt shot from 23 ft (assist by T. Burke)
6:26.0,Shooting foul by G. Hayward (drawn by D. DeRozan),,77-74,,
6:26.0,D. DeRozan makes free throw 1 of 2,1,78-74,,
6:26.0,D. DeRozan makes free throw 2 of 2,1,79-74,,
6:22.0,,,79-74,,Utah full timeout
6:15.0,,,79-77,3,T. Burke makes 3-pt shot from 25 ft (assist by G. Hayward)
5:57.0,L. Scola misses 2-pt shot from 18 ft,,79-77,,
5:56.0,,,79-77,,Defensive rebound by G. Hayward
5:36.0,,,79-79,2,R. Hood makes 2-pt shot from 6 ft
5:15.0,D. DeRozan misses 2-pt shot from 17 ft,,79-79,,
5:14.0,,,79-79,,Defensive rebound by D. Favors
4:54.0,,,79-82,3,G. Hayward makes 3-pt shot from 23 ft (assist by R. Gobert)
4:35.0,D. DeRozan makes 2-pt shot from 1 ft,2,81-82,,
4:25.0,,,81-82,,Offensive foul by G. Hayward
4:25.0,,,81-82,,Turnover by G. Hayward (offensive foul)
4:25.0,,,81-82,,A. Burks enters the game for T. Burke
4:16.0,D. DeRozan makes 2-pt shot at rim,2,83-82,,
4:00.0,Personal foul by K. Lowry (drawn by R. Hood),,83-82,,
3:51.0,,,83-82,,G. Hayward misses 3-pt shot from 23 ft
3:50.0,Defensive rebound by L. Scola,,83-82,,
3:46.0,Turnover by K. Lowry (lost ball; steal by R. Hood),,83-82,,
3:41.0,,,83-82,,Turnover by R. Hood (lost ball; steal by D. DeRozan)
3:29.0,J. Valanciunas misses 2-pt shot from 3 ft (block by G. Hayward),,83-82,,
3:29.0,,,83-82,,Defensive rebound by Team
3:17.0,,,83-84,2,D. Favors makes 2-pt shot from 14 ft (assist by A. Burks)
3:09.0,Toronto full timeout,,83-84,,
2:55.0,K. Lowry misses 2-pt shot from 3 ft,,83-84,,
2:54.0,,,83-84,,Defensive rebound by D. Favors
2:31.0,,,83-84,,A. Burks misses 2-pt shot from 9 ft
2:30.0,Defensive rebound by D. Carroll,,83-84,,
2:06.0,K. Lowry misses 3-pt shot from 24 ft,,83-84,,
2:03.0,,,83-84,,Defensive rebound by A. Burks
1:43.0,,,83-84,,G. Hayward misses 2-pt shot from 9 ft
1:42.0,Defensive rebound by D. Carroll,,83-84,,
1:21.0,D. DeRozan misses 2-pt shot from 6 ft,,83-84,,
1:21.0,Offensive rebound by J. Valanciunas,,83-84,,
1:21.0,J. Valanciunas makes 2-pt shot from 1 ft,2,85-84,,
1:21.0,,,85-84,,Utah full timeout
1:12.0,,,85-86,2,A. Burks makes 2-pt shot from 12 ft
0:59.0,D. DeRozan misses 2-pt shot from 7 ft,,85-86,,
0:58.0,,,85-86,,Defensive rebound by D. Favors
0:40.0,,,85-88,2,D. Favors makes 2-pt shot from 3 ft (assist by A. Burks)
0:40.0,Shooting block foul by L. Scola (drawn by D. Favors),,85-88,,
0:40.0,,,85-89,1,D. Favors makes free throw 1 of 1
0:40.0,Toronto full timeout,,85-89,,
0:40.0,C. Joseph enters the game for L. Scola,,85-89,,
0:40.0,Violation by Team (delay of game),,85-89,,
0:27.0,,,85-89,,Personal foul by R. Gobert (drawn by K. Lowry)
0:27.0,K. Lowry makes free throw 1 of 2,1,86-89,,
0:27.0,K. Lowry makes free throw 2 of 2,1,87-89,,
0:27.0,,,87-89,,Utah full timeout
0:27.0,L. Scola enters the game for J. Valanciunas,,87-89,,
0:27.0,,,87-89,,J. Ingles enters the game for R. Gobert
0:24.0,,,87-91,2,D. Favors makes 2-pt shot at rim (assist by J. Ingles)
0:24.0,Toronto full timeout,,87-91,,
0:24.0,,,87-91,,R. Gobert enters the game for J. Ingles
0:24.0,Toronto full timeout,,87-91,,
0:20.0,Turnover by D. DeRozan (lost ball),,87-91,,
0:20.0,,,87-91,,T. Burke enters the game for R. Gobert
0:18.0,Personal foul by D. Carroll (drawn by T. Burke),,87-91,,
0:18.0,,,87-91,,T. Burke misses free throw 1 of 2
0:18.0,,,87-91,,Offensive rebound by Team
