time,Denver,pts.away,score,pts.home,Minnesota
2:36.0,,,19-18,,Shooting foul by J. Nelson (drawn by N. Pekovic)
2:36.0,,,19-18,,Minnesota full timeout
2:36.0,,,19-18,,K. Martin enters the game for T. Prince
2:36.0,W. Barton enters the game for G. Harris,,19-18,,
2:36.0,,,19-19,1,N. Pekovic makes free throw 1 of 2
2:36.0,,,19-20,1,N. Pekovic makes free throw 2 of 2
2:27.0,J. Nelson misses 2-pt shot at rim,,19-20,,
2:26.0,Offensive rebound by J. Nurkic,,19-20,,
2:26.0,J. Nurkic misses 2-pt shot from 1 ft,,19-20,,
2:25.0,Offensive rebound by J. Nurkic,,19-20,,
2:25.0,J. Nurkic misses 2-pt shot from 1 ft,,19-20,,
2:24.0,,,19-20,,Defensive rebound by R. Rubio
2:17.0,,,19-20,,Shooting foul by W. Barton (drawn by S. Muhammad)
2:17.0,,,19-20,,S. Muhammad misses free throw 1 of 2
2:17.0,,,19-20,,Offensive rebound by Team
2:17.0,,,19-20,,Z. LaVine enters the game for R. Rubio
2:17.0,R. Foye enters the game for J. Nelson,,19-20,,
2:17.0,,,19-21,1,S. Muhammad makes free throw 2 of 2
2:04.0,,,19-21,,Personal block foul by G. Dieng (drawn by J. Nurkic)
2:04.0,J. Nurkic makes free throw 1 of 2,1,20-21,,
2:04.0,J. Nurkic makes free throw 2 of 2,1,21-21,,
1:54.0,,,21-21,,Shooting foul by D. Arthur (drawn by K. Martin)
1:54.0,,,21-22,1,K. Martin makes free throw 1 of 2
1:54.0,,,21-23,1,K. Martin makes free throw 2 of 2
1:38.0,D. Gallinari misses 2-pt shot from 4 ft,,21-23,,
1:37.0,,,21-23,,Defensive rebound by G. Dieng
1:27.0,,,21-23,,K. Martin misses 3-pt shot from 24 ft
1:26.0,Defensive rebound by D. Gallinari,,21-23,,
1:07.0,J. Nurkic misses 2-pt shot from 8 ft,,21-23,,
1:05.0,,,21-23,,Defensive rebound by N. Pekovic
0:56.0,,,21-25,2,N. Pekovic makes 2-pt shot from 3 ft (assist by Z. LaVine)
0:44.0,J. Nurkic misses 2-pt shot from 3 ft,,21-25,,
0:43.0,,,21-25,,Defensive rebound by G. Dieng
0:34.0,,,21-25,,K. Martin misses 2-pt shot from 8 ft
0:33.0,,,21-25,,Offensive rebound by G. Dieng
0:24.0,,,21-25,,Offensive foul by N. Pekovic
0:24.0,,,21-25,,Turnover by N. Pekovic (offensive foul)
0:24.0,K. Papanikolaou enters the game for D. Gallinari,,21-25,,
0:01.0,D. Arthur misses 3-pt shot from 25 ft,,21-25,,
0:00.0,Offensive rebound by Team,,21-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,J. Nurkic makes 2-pt shot from 4 ft (assist by D. Arthur),2,23-25,,
11:19.0,,,23-25,,K. Martin misses 3-pt shot from 23 ft
11:18.0,Defensive rebound by K. Papanikolaou,,23-25,,
11:12.0,R. Foye misses 3-pt shot from 24 ft,,23-25,,
11:10.0,,,23-25,,Defensive rebound by G. Dieng
10:58.0,,,23-25,,K. Towns misses 2-pt shot from 17 ft
10:57.0,Defensive rebound by R. Foye,,23-25,,
10:54.0,W. Barton misses 2-pt shot from 2 ft,,23-25,,
10:52.0,Offensive rebound by D. Arthur,,23-25,,
10:52.0,D. Arthur makes 2-pt shot from 1 ft,2,25-25,,
10:36.0,,,25-25,,S. Muhammad misses 2-pt shot from 9 ft
10:34.0,Defensive rebound by Team,,25-25,,
10:17.0,J. Nurkic misses 2-pt shot from 6 ft (block by K. Towns),,25-25,,
10:16.0,Offensive rebound by J. Nurkic,,25-25,,
10:16.0,Shooting foul by Z. LaVine (drawn by J. Nurkic),,25-25,,
10:16.0,J. Nurkic misses free throw 1 of 2,,25-25,,
10:16.0,Offensive rebound by Team,,25-25,,
10:16.0,J. Nurkic misses free throw 2 of 2,,25-25,,
10:16.0,,,25-25,,Defensive rebound by G. Dieng
9:53.0,,,25-25,,K. Towns misses 2-pt shot from 2 ft (block by J. Nurkic)
9:52.0,Defensive rebound by J. Nurkic,,25-25,,
9:48.0,K. Papanikolaou makes 2-pt shot at rim (assist by R. Foye),2,27-25,,
9:29.0,,,27-27,2,Z. LaVine makes 2-pt shot from 17 ft
9:06.0,J. Nurkic misses 2-pt shot at rim,,27-27,,
9:05.0,Offensive rebound by W. Barton,,27-27,,
9:04.0,W. Barton misses 2-pt shot from 1 ft,,27-27,,
9:03.0,,,27-27,,Defensive rebound by K. Towns
8:57.0,,,27-29,2,S. Muhammad makes 2-pt shot from 20 ft (assist by Z. LaVine)
8:38.0,K. Papanikolaou makes 2-pt shot from 20 ft (assist by W. Barton),2,29-29,,
8:25.0,,,29-31,2,K. Martin makes 2-pt shot at rim
8:03.0,,,29-31,,Personal foul by S. Muhammad (drawn by K. Papanikolaou)
8:03.0,Denver full timeout,,29-31,,
8:03.0,N. Jokic enters the game for J. Nurkic,,29-31,,
7:52.0,Turnover by W. Barton (bad pass),,29-31,,
7:29.0,,,29-33,2,K. Towns makes 2-pt shot from 14 ft (assist by Z. LaVine)
7:10.0,R. Foye misses 2-pt shot from 21 ft,,29-33,,
7:09.0,Offensive rebound by D. Arthur,,29-33,,
7:08.0,D. Arthur makes 2-pt shot at rim,2,31-33,,
6:45.0,,,31-33,,Z. LaVine misses 2-pt shot from 18 ft
6:43.0,Defensive rebound by D. Arthur,,31-33,,
6:27.0,W. Barton makes 3-pt shot from 27 ft (assist by R. Foye),3,34-33,,
6:04.0,,,34-33,,G. Dieng misses 2-pt shot from 14 ft
6:01.0,Defensive rebound by W. Barton,,34-33,,
5:55.0,Turnover by W. Barton (step out of bounds),,34-33,,
5:55.0,,,34-33,,Minnesota full timeout
5:55.0,G. Harris enters the game for K. Papanikolaou,,34-33,,
5:55.0,,,34-33,,K. Garnett enters the game for G. Dieng
5:55.0,,,34-33,,T. Prince enters the game for S. Muhammad
5:55.0,,,34-33,,A. Wiggins enters the game for K. Martin
5:55.0,,,34-33,,R. Rubio enters the game for Z. LaVine
5:42.0,,,34-33,,Shooting foul by R. Foye (drawn by A. Wiggins)
5:42.0,,,34-34,1,A. Wiggins makes free throw 1 of 2
5:42.0,,,34-35,1,A. Wiggins makes free throw 2 of 2
5:24.0,Turnover by N. Jokic (lost ball; steal by T. Prince),,34-35,,
5:03.0,,,34-35,,T. Prince misses 2-pt shot from 8 ft
5:02.0,Defensive rebound by N. Jokic,,34-35,,
4:46.0,R. Foye misses 2-pt shot from 15 ft,,34-35,,
4:42.0,Offensive rebound by D. Arthur,,34-35,,
4:32.0,G. Harris makes 3-pt shot from 26 ft (assist by N. Jokic),3,37-35,,
4:17.0,,,37-37,2,A. Wiggins makes 2-pt shot from 17 ft (assist by K. Towns)
4:09.0,Denver full timeout,,37-37,,
4:09.0,K. Faried enters the game for D. Arthur,,37-37,,
4:09.0,D. Gallinari enters the game for W. Barton,,37-37,,
4:09.0,J. Nelson enters the game for R. Foye,,37-37,,
3:56.0,Turnover by N. Jokic (bad pass; steal by K. Garnett),,37-37,,
3:50.0,Violation by D. Gallinari (kicked ball),,37-37,,
3:40.0,,,37-39,2,A. Wiggins makes 2-pt shot from 18 ft (assist by K. Garnett)
3:17.0,D. Gallinari misses 2-pt shot from 20 ft,,37-39,,
3:16.0,,,37-39,,Defensive rebound by R. Rubio
3:10.0,,,37-41,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
3:08.0,Denver full timeout,,37-41,,
3:04.0,,,37-41,,Personal foul by K. Towns (drawn by N. Jokic)
3:04.0,,,37-41,,N. Pekovic enters the game for K. Towns
2:46.0,N. Jokic misses 2-pt shot from 5 ft,,37-41,,
2:46.0,Offensive rebound by Team,,37-41,,
2:46.0,,,37-41,,Loose ball foul by R. Rubio (drawn by K. Faried)
2:36.0,,,37-41,,Personal foul by T. Prince (drawn by D. Gallinari)
2:36.0,D. Gallinari makes free throw 1 of 2,1,38-41,,
2:36.0,D. Gallinari makes free throw 2 of 2,1,39-41,,
2:18.0,Personal foul by K. Faried (drawn by A. Wiggins),,39-41,,
2:02.0,,,39-41,,K. Garnett misses 2-pt shot from 23 ft
2:01.0,Defensive rebound by D. Gallinari,,39-41,,
1:50.0,N. Jokic misses 3-pt shot from 24 ft,,39-41,,
1:49.0,,,39-41,,Defensive rebound by T. Prince
1:43.0,Personal foul by N. Jokic (drawn by N. Pekovic),,39-41,,
1:40.0,Personal foul by G. Harris (drawn by A. Wiggins),,39-41,,
1:40.0,,,39-41,,A. Wiggins misses free throw 1 of 2
1:40.0,,,39-41,,Offensive rebound by Team
1:40.0,,,39-42,1,A. Wiggins makes free throw 2 of 2
1:22.0,J. Nelson makes 3-pt shot from 25 ft (assist by D. Gallinari),3,42-42,,
1:03.0,,,42-42,,Turnover by N. Pekovic (lost ball; steal by K. Faried)
0:59.0,K. Faried misses 2-pt shot from 1 ft,,42-42,,
0:58.0,,,42-42,,Defensive rebound by N. Pekovic
0:47.0,,,42-42,,Turnover by A. Wiggins (lost ball; steal by K. Faried)
0:46.0,Denver full timeout,,42-42,,
0:27.0,D. Gallinari misses 2-pt shot from 22 ft,,42-42,,
0:25.0,,,42-42,,Defensive rebound by K. Garnett
0:06.0,,,42-44,2,N. Pekovic makes 2-pt shot from 5 ft (assist by K. Garnett)
0:01.0,J. Nelson misses 2-pt shot from 7 ft,,42-44,,
0:00.0,Offensive rebound by Team,,42-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,J. Nelson misses 3-pt shot from 25 ft,,42-44,,
11:34.0,,,42-44,,Defensive rebound by K. Towns
11:18.0,,,42-44,,R. Rubio misses 3-pt shot from 23 ft
11:17.0,Defensive rebound by K. Faried,,42-44,,
10:55.0,N. Jokic makes 2-pt shot from 10 ft,2,44-44,,
10:39.0,,,44-44,,A. Wiggins misses 2-pt shot from 6 ft
10:38.0,,,44-44,,Offensive rebound by K. Towns
10:37.0,,,44-46,2,K. Towns makes 2-pt shot at rim
10:23.0,K. Faried misses 2-pt shot from 2 ft,,44-46,,
10:22.0,,,44-46,,Defensive rebound by K. Garnett
10:10.0,,,44-48,2,K. Towns makes 2-pt shot from 15 ft
10:00.0,D. Gallinari misses 2-pt shot from 2 ft,,44-48,,
9:58.0,,,44-48,,Defensive rebound by K. Towns
9:48.0,,,44-50,2,T. Prince makes 2-pt shot from 20 ft (assist by A. Wiggins)
9:47.0,Denver full timeout,,44-50,,
9:36.0,D. Gallinari misses 2-pt shot from 2 ft,,44-50,,
9:34.0,,,44-50,,Defensive rebound by T. Prince
9:28.0,,,44-50,,Turnover by A. Wiggins (lost ball)
9:13.0,Turnover by J. Nelson (bad pass; steal by R. Rubio),,44-50,,
8:57.0,,,44-50,,A. Wiggins misses 2-pt shot from 7 ft
8:56.0,Defensive rebound by D. Gallinari,,44-50,,
8:41.0,D. Gallinari misses 2-pt shot from 1 ft,,44-50,,
8:39.0,,,44-50,,Defensive rebound by A. Wiggins
8:25.0,,,44-50,,K. Towns misses 2-pt shot from 17 ft
8:24.0,Defensive rebound by D. Gallinari,,44-50,,
8:01.0,G. Harris misses 2-pt shot from 6 ft (block by K. Garnett),,44-50,,
8:01.0,Offensive rebound by Team,,44-50,,
7:59.0,J. Nelson misses 3-pt shot from 22 ft,,44-50,,
7:57.0,,,44-50,,Defensive rebound by K. Towns
7:44.0,,,44-50,,Turnover by K. Garnett (bad pass)
7:23.0,N. Jokic misses 2-pt shot from 8 ft (block by K. Towns),,44-50,,
7:21.0,Offensive rebound by Team,,44-50,,
7:18.0,G. Harris misses 3-pt shot from 25 ft,,44-50,,
7:17.0,,,44-50,,Defensive rebound by R. Rubio
7:06.0,,,44-52,2,T. Prince makes 2-pt shot from 20 ft (assist by R. Rubio)
6:40.0,D. Gallinari makes 2-pt shot from 21 ft,2,46-52,,
6:31.0,Personal foul by K. Faried (drawn by K. Garnett),,46-52,,
6:31.0,,,46-52,,Technical foul by K. Garnett
6:31.0,Technical foul by K. Faried (drawn by K. Garnett),,46-52,,
6:31.0,,,46-52,,G. Dieng enters the game for K. Garnett
6:22.0,,,46-52,,R. Rubio misses 2-pt shot from 19 ft
6:21.0,Defensive rebound by K. Faried,,46-52,,
6:07.0,K. Faried misses 2-pt shot from 1 ft,,46-52,,
6:06.0,Offensive rebound by K. Faried,,46-52,,
6:06.0,K. Faried misses 2-pt shot at rim,,46-52,,
6:05.0,Offensive rebound by K. Faried,,46-52,,
6:05.0,K. Faried misses 2-pt shot at rim,,46-52,,
6:04.0,,,46-52,,Defensive rebound by A. Wiggins
5:52.0,,,46-54,2,T. Prince makes 2-pt shot from 19 ft (assist by R. Rubio)
5:41.0,Turnover by J. Nelson (lost ball; steal by G. Dieng),,46-54,,
5:36.0,,,46-56,2,A. Wiggins makes 2-pt shot at rim (assist by T. Prince)
5:36.0,Denver full timeout,,46-56,,
5:36.0,D. Arthur enters the game for K. Faried,,46-56,,
5:36.0,J. Nurkic enters the game for N. Jokic,,46-56,,
5:36.0,W. Barton enters the game for G. Harris,,46-56,,
5:36.0,R. Foye enters the game for J. Nelson,,46-56,,
5:21.0,D. Arthur makes 3-pt shot from 24 ft (assist by D. Gallinari),3,49-56,,
5:02.0,,,49-56,,A. Wiggins misses 3-pt shot from 25 ft
5:00.0,Defensive rebound by J. Nurkic,,49-56,,
4:47.0,J. Nurkic makes 2-pt shot from 19 ft (assist by R. Foye),2,51-56,,
4:24.0,,,51-56,,N. Pekovic enters the game for K. Towns
4:20.0,,,51-56,,Turnover by Team (shot clock)
4:03.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Gallinari),2,53-56,,
3:33.0,,,53-56,,R. Rubio misses 2-pt shot from 2 ft
3:32.0,Defensive rebound by D. Arthur,,53-56,,
3:26.0,R. Foye makes 2-pt shot from 2 ft,2,55-56,,
3:26.0,,,55-56,,Minnesota full timeout
3:26.0,,,55-56,,Z. LaVine enters the game for R. Rubio
3:26.0,,,55-56,,K. Martin enters the game for A. Wiggins
3:05.0,,,55-58,2,K. Martin makes 2-pt shot from 16 ft
2:49.0,D. Gallinari makes 2-pt shot from 2 ft,2,57-58,,
2:49.0,Shooting foul by N. Pekovic (drawn by D. Gallinari),,57-58,,
2:49.0,D. Gallinari makes free throw 1 of 1,1,58-58,,
2:37.0,,,58-58,,K. Martin misses 2-pt shot from 6 ft
2:35.0,,,58-58,,Offensive rebound by G. Dieng
2:21.0,,,58-58,,Shooting foul by D. Arthur (drawn by N. Pekovic)
2:21.0,,,58-59,1,N. Pekovic makes free throw 1 of 2
2:21.0,,,58-59,,S. Muhammad enters the game for T. Prince
2:21.0,,,58-60,1,N. Pekovic makes free throw 2 of 2
2:05.0,D. Gallinari makes 3-pt shot from 26 ft (assist by J. Nurkic),3,61-60,,
1:43.0,,,61-62,2,S. Muhammad makes 2-pt shot at rim (assist by Z. LaVine)
1:26.0,W. Barton makes 2-pt shot at rim (assist by D. Arthur),2,63-62,,
1:10.0,,,63-62,,G. Dieng misses 2-pt shot from 5 ft (block by J. Nurkic)
1:08.0,Defensive rebound by W. Barton,,63-62,,
0:58.0,D. Gallinari makes 2-pt shot from 1 ft (assist by J. Nurkic),2,65-62,,
0:41.0,,,65-65,3,K. Martin makes 3-pt shot from 24 ft (assist by G. Dieng)
0:27.0,Shooting foul by G. Dieng (drawn by J. Nurkic),,65-65,,
0:27.0,J. Nurkic misses free throw 1 of 2,,65-65,,
0:27.0,Offensive rebound by Team,,65-65,,
0:27.0,K. Papanikolaou enters the game for D. Gallinari,,65-65,,
0:27.0,J. Nurkic makes free throw 2 of 2,1,66-65,,
0:11.0,Personal take foul by R. Foye (drawn by Z. LaVine),,66-65,,
0:01.0,,,66-65,,Z. LaVine misses 2-pt shot from 20 ft
0:00.0,,,66-65,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Personal foul by W. Barton (drawn by K. Martin),,66-65,,
11:43.0,,,66-67,2,S. Muhammad makes 2-pt shot from 18 ft (assist by K. Martin)
11:27.0,D. Arthur misses 3-pt shot from 23 ft,,66-67,,
11:26.0,,,66-67,,Defensive rebound by K. Martin
11:17.0,,,66-67,,S. Muhammad misses 3-pt shot from 24 ft
11:16.0,Defensive rebound by K. Papanikolaou,,66-67,,
11:14.0,Turnover by K. Papanikolaou (lost ball; steal by Z. LaVine),,66-67,,
11:01.0,,,66-67,,G. Dieng misses 2-pt shot from 1 ft
11:00.0,Defensive rebound by J. Nurkic,,66-67,,
10:49.0,J. Nurkic makes 2-pt shot at rim,2,68-67,,
10:31.0,,,68-67,,Z. LaVine misses 3-pt shot from 24 ft
10:30.0,Defensive rebound by R. Foye,,68-67,,
10:12.0,D. Arthur misses 2-pt shot from 6 ft (block by G. Dieng),,68-67,,
10:11.0,Offensive rebound by Team,,68-67,,
10:08.0,R. Foye makes 2-pt shot from 20 ft (assist by D. Arthur),2,70-67,,
9:48.0,Personal foul by J. Nurkic (drawn by S. Muhammad),,70-67,,
9:43.0,Shooting block foul by J. Nurkic (drawn by N. Pekovic),,70-67,,
9:43.0,,,70-68,1,N. Pekovic makes free throw 1 of 2
9:43.0,,,70-69,1,N. Pekovic makes free throw 2 of 2
9:31.0,,,70-69,,Personal foul by N. Pekovic (drawn by J. Nurkic)
9:29.0,,,70-69,,Personal foul by Z. LaVine (drawn by R. Foye)
9:24.0,Turnover by W. Barton (traveling),,70-69,,
9:11.0,,,70-69,,S. Muhammad misses 2-pt shot from 4 ft (block by J. Nurkic)
9:10.0,Defensive rebound by J. Nurkic,,70-69,,
9:03.0,K. Papanikolaou misses 3-pt shot from 25 ft,,70-69,,
9:02.0,Offensive rebound by W. Barton,,70-69,,
8:55.0,K. Papanikolaou misses 2-pt shot from 23 ft,,70-69,,
8:53.0,,,70-69,,Defensive rebound by K. Martin
8:46.0,,,70-69,,K. Martin misses 2-pt shot from 3 ft (block by J. Nurkic)
8:46.0,,,70-69,,Offensive rebound by Team
8:46.0,,,70-69,,Minnesota full timeout
8:41.0,,,70-69,,K. Martin misses 2-pt shot from 21 ft
8:40.0,Defensive rebound by J. Nurkic,,70-69,,
8:18.0,J. Nurkic misses 2-pt shot from 5 ft,,70-69,,
8:17.0,,,70-69,,Defensive rebound by Team
8:17.0,Loose ball foul by D. Arthur (drawn by G. Dieng),,70-69,,
8:06.0,,,70-69,,Z. LaVine misses 2-pt shot from 3 ft
8:03.0,Defensive rebound by J. Nurkic,,70-69,,
8:00.0,,,70-69,,Personal block foul by K. Martin (drawn by W. Barton)
8:00.0,,,70-69,,K. Towns enters the game for N. Pekovic
8:00.0,,,70-69,,A. Wiggins enters the game for K. Martin
8:00.0,D. Gallinari enters the game for K. Papanikolaou,,70-69,,
7:51.0,J. Nurkic makes 2-pt shot from 5 ft (assist by D. Arthur),2,72-69,,
7:35.0,,,72-69,,Turnover by Z. LaVine (bad pass)
7:35.0,,,72-69,,T. Prince enters the game for S. Muhammad
7:20.0,J. Nurkic makes 2-pt shot from 4 ft (assist by D. Arthur),2,74-69,,
6:59.0,Shooting block foul by J. Nurkic (drawn by A. Wiggins),,74-69,,
6:59.0,,,74-69,,A. Wiggins misses free throw 1 of 2
6:59.0,,,74-69,,Offensive rebound by Team
6:59.0,,,74-69,,R. Rubio enters the game for Z. LaVine
6:59.0,,,74-69,,A. Wiggins misses free throw 2 of 2
6:57.0,,,74-69,,Offensive rebound by Team
6:51.0,,,74-69,,Shooting foul by J. Nurkic (drawn by K. Towns)
6:51.0,,,74-70,1,K. Towns makes free throw 1 of 2
6:51.0,,,74-71,1,K. Towns makes free throw 2 of 2
6:36.0,W. Barton misses 3-pt shot from 23 ft,,74-71,,
6:35.0,,,74-71,,Defensive rebound by K. Towns
6:17.0,,,74-71,,Minnesota full timeout
6:13.0,,,74-71,,R. Rubio misses 3-pt shot from 25 ft (block by J. Nurkic)
6:11.0,Defensive rebound by W. Barton,,74-71,,
5:55.0,R. Foye misses 2-pt shot from 8 ft,,74-71,,
5:54.0,Offensive rebound by R. Foye,,74-71,,
5:38.0,Shooting foul by T. Prince (drawn by D. Gallinari),,74-71,,
5:38.0,D. Gallinari makes free throw 1 of 2,1,75-71,,
5:38.0,D. Gallinari makes free throw 2 of 2,1,76-71,,
5:19.0,,,76-71,,K. Towns misses 2-pt shot from 17 ft
5:18.0,,,76-71,,Offensive rebound by K. Towns
4:55.0,,,76-71,,G. Dieng misses 2-pt shot from 15 ft
4:53.0,,,76-71,,Offensive rebound by K. Towns
4:36.0,,,76-73,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
4:09.0,W. Barton misses 2-pt shot from 15 ft,,76-73,,
4:08.0,,,76-73,,Defensive rebound by G. Dieng
4:06.0,Personal foul by W. Barton (drawn by R. Rubio),,76-73,,
4:06.0,,,76-74,1,R. Rubio makes free throw 1 of 2
4:06.0,,,76-74,,K. Garnett enters the game for G. Dieng
4:06.0,,,76-74,,R. Rubio misses free throw 2 of 2
4:06.0,Defensive rebound by J. Nurkic,,76-74,,
3:43.0,J. Nurkic misses 2-pt shot from 1 ft,,76-74,,
3:42.0,,,76-74,,Defensive rebound by K. Towns
3:39.0,,,76-74,,Offensive foul by K. Garnett
3:39.0,,,76-74,,Turnover by K. Garnett (offensive foul)
3:15.0,D. Gallinari misses 2-pt shot from 18 ft,,76-74,,
3:14.0,,,76-74,,Defensive rebound by K. Towns
2:57.0,,,76-74,,K. Towns misses 3-pt shot from 22 ft
2:56.0,Defensive rebound by W. Barton,,76-74,,
2:40.0,Offensive foul by J. Nurkic,,76-74,,
2:40.0,Turnover by J. Nurkic (offensive foul),,76-74,,
2:40.0,Denver full timeout,,76-74,,
2:40.0,G. Harris enters the game for W. Barton,,76-74,,
2:40.0,N. Jokic enters the game for J. Nurkic,,76-74,,
2:31.0,,,76-74,,A. Wiggins misses 2-pt shot from 1 ft (block by D. Arthur)
2:30.0,Defensive rebound by D. Gallinari,,76-74,,
2:14.0,D. Arthur misses 2-pt shot from 14 ft,,76-74,,
2:13.0,Offensive rebound by N. Jokic,,76-74,,
1:55.0,D. Arthur misses 3-pt shot from 23 ft,,76-74,,
1:53.0,,,76-74,,Defensive rebound by R. Rubio
1:38.0,,,76-74,,T. Prince misses 2-pt shot from 18 ft
1:37.0,,,76-74,,Offensive rebound by K. Garnett
1:27.0,,,76-74,,K. Garnett misses 2-pt shot from 10 ft
1:26.0,Defensive rebound by D. Gallinari,,76-74,,
1:03.0,D. Gallinari misses 2-pt shot from 21 ft,,76-74,,
1:02.0,,,76-74,,Defensive rebound by K. Towns
0:55.0,,,76-74,,Minnesota full timeout
0:47.0,,,76-74,,Turnover by A. Wiggins (bad pass; steal by D. Arthur)
0:45.0,Jump ball: N. Jokic vs. K. Towns,,,,Jump ball: N. Jokic vs. K. Towns
0:22.0,R. Foye misses 3-pt shot from 24 ft,,76-74,,
0:20.0,,,76-74,,Defensive rebound by T. Prince
0:15.0,,,76-74,,Minnesota full timeout
0:15.0,,,76-74,,K. Martin enters the game for K. Garnett
0:15.0,W. Barton enters the game for N. Jokic,,76-74,,
