time,New York,pts.away,score,pts.home,Washington
11:41.0,Defensive rebound by K. Porzingis,,29-20,,
11:33.0,D. Williams makes 2-pt shot from 2 ft,2,31-20,,
11:16.0,,,31-20,,B. Beal misses 2-pt shot from 1 ft
11:15.0,Defensive rebound by K. Seraphin,,31-20,,
11:10.0,K. Porzingis makes 2-pt shot from 1 ft (assist by K. Seraphin),2,33-20,,
10:59.0,,,33-20,,A. Anderson misses 3-pt shot from 25 ft
10:58.0,,,33-20,,Offensive rebound by J. Dudley
10:53.0,,,33-20,,J. Dudley misses 3-pt shot from 22 ft
10:52.0,Defensive rebound by D. Williams,,33-20,,
10:38.0,A. Afflalo misses 2-pt shot from 20 ft,,33-20,,
10:37.0,,,33-20,,Defensive rebound by R. Sessions
10:33.0,,,33-20,,Turnover by R. Sessions (lost ball)
10:20.0,A. Afflalo misses 2-pt shot from 17 ft,,33-20,,
10:19.0,,,33-20,,Defensive rebound by N. Hilario
10:07.0,,,33-20,,R. Sessions misses 2-pt shot at rim (block by K. Porzingis)
10:06.0,Defensive rebound by K. Seraphin,,33-20,,
10:06.0,,,33-20,,Personal take foul by J. Dudley
9:52.0,Turnover by K. Seraphin (lost ball; steal by N. Hilario),,33-20,,
9:48.0,,,33-20,,Shooting foul by K. Seraphin (drawn by B. Beal)
9:48.0,,,33-20,,B. Beal misses free throw 1 of 2
9:48.0,,,33-20,,Offensive rebound by Team
9:48.0,,,33-20,,O. Porter enters the game for A. Anderson
9:48.0,,,33-21,1,B. Beal makes free throw 2 of 2
9:31.0,L. Galloway misses 2-pt shot from 16 ft,,33-21,,
9:30.0,,,33-21,,Defensive rebound by J. Dudley
9:21.0,,,33-23,2,N. Hilario makes 2-pt shot at rim (assist by J. Dudley)
9:04.0,K. Seraphin makes 2-pt shot from 3 ft (assist by D. Williams),2,35-23,,
8:49.0,,,35-23,,R. Sessions misses 2-pt shot from 1 ft (block by K. Seraphin)
8:48.0,Defensive rebound by K. Seraphin,,35-23,,
8:40.0,A. Afflalo misses 2-pt shot from 22 ft,,35-23,,
8:39.0,,,35-23,,Defensive rebound by B. Beal
8:30.0,,,35-23,,B. Beal misses 2-pt shot from 7 ft
8:29.0,Defensive rebound by K. Seraphin,,35-23,,
8:23.0,Shooting foul by O. Porter (drawn by A. Afflalo),,35-23,,
8:23.0,Official timeout,,35-23,,
8:23.0,,,35-23,,J. Wall enters the game for R. Sessions
8:23.0,A. Afflalo makes free throw 1 of 2,1,36-23,,
8:23.0,A. Afflalo makes free throw 2 of 2,1,37-23,,
8:16.0,Personal foul by A. Afflalo,,37-23,,
7:59.0,,,37-23,,B. Beal misses 2-pt shot from 20 ft
7:58.0,Defensive rebound by K. Seraphin,,37-23,,
7:42.0,Turnover by D. Williams (traveling),,37-23,,
7:26.0,,,37-25,2,O. Porter makes 2-pt shot from 5 ft (assist by B. Beal)
7:13.0,L. Galloway makes 2-pt shot from 12 ft,2,39-25,,
7:06.0,,,39-25,,O. Porter misses 2-pt shot from 19 ft
7:05.0,Defensive rebound by K. Seraphin,,39-25,,
6:46.0,J. Calderon enters the game for D. Williams,,39-25,,
6:46.0,R. Lopez enters the game for K. Seraphin,,39-25,,
6:46.0,C. Anthony enters the game for L. Galloway,,39-25,,
6:46.0,,,39-25,,M. Morris enters the game for J. Dudley
6:44.0,,,39-25,,G. Temple enters the game for B. Beal
6:44.0,Jump ball: N. Hilario vs. R. Lopez (J. Calderon gains possession),,,,Jump ball: N. Hilario vs. R. Lopez (J. Calderon gains possession)
6:41.0,J. Calderon misses 2-pt shot from 12 ft (block by J. Wall),,39-25,,
6:41.0,Offensive rebound by R. Lopez,,39-25,,
6:41.0,Shooting foul by N. Hilario (drawn by R. Lopez),,39-25,,
6:41.0,R. Lopez makes free throw 1 of 2,1,40-25,,
6:41.0,R. Lopez makes free throw 2 of 2,1,41-25,,
6:22.0,,,41-25,,Shooting foul by K. Porzingis (drawn by N. Hilario)
6:22.0,,,41-25,,N. Hilario misses free throw 1 of 2
6:22.0,,,41-25,,Offensive rebound by Team
6:22.0,,,41-26,1,N. Hilario makes free throw 2 of 2
6:01.0,A. Afflalo misses 2-pt shot from 16 ft,,41-26,,
6:00.0,,,41-26,,Defensive rebound by G. Temple
5:47.0,,,41-28,2,O. Porter makes 2-pt shot at rim (assist by N. Hilario)
5:24.0,Shooting foul by G. Temple (drawn by C. Anthony),,41-28,,
5:24.0,,,41-28,,Washington full timeout
5:24.0,,,41-28,,M. Gortat enters the game for N. Hilario
5:24.0,C. Anthony makes free throw 1 of 2,1,42-28,,
5:24.0,C. Anthony makes free throw 2 of 2,1,43-28,,
5:16.0,,,43-28,,Offensive foul by G. Temple
5:16.0,,,43-28,,Turnover by G. Temple (offensive foul)
4:56.0,C. Anthony makes 2-pt shot from 16 ft,2,45-28,,
4:44.0,,,45-28,,M. Morris misses 3-pt shot from 24 ft
4:44.0,Defensive rebound by Team,,45-28,,
4:44.0,,,45-28,,Loose ball foul by M. Gortat
4:44.0,R. Lopez misses free throw 1 of 2,,45-28,,
4:44.0,Offensive rebound by Team,,45-28,,
4:44.0,R. Lopez makes free throw 2 of 2,1,46-28,,
4:35.0,,,46-28,,O. Porter misses 2-pt shot at rim (block by K. Porzingis)
4:33.0,,,46-28,,Offensive rebound by O. Porter
4:30.0,,,46-28,,O. Porter misses 2-pt shot from 5 ft
4:29.0,Defensive rebound by K. Porzingis,,46-28,,
4:15.0,K. Porzingis misses 2-pt shot from 17 ft,,46-28,,
4:14.0,,,46-28,,Defensive rebound by M. Morris
4:01.0,,,46-31,3,M. Morris makes 3-pt shot from 24 ft (assist by J. Wall)
3:43.0,C. Anthony misses 2-pt shot from 18 ft,,46-31,,
3:42.0,Offensive rebound by R. Lopez,,46-31,,
3:36.0,C. Anthony misses 2-pt shot from 20 ft,,46-31,,
3:35.0,Offensive rebound by Team,,46-31,,
3:34.0,,,46-31,,B. Beal enters the game for G. Temple
3:20.0,Turnover by A. Afflalo (lost ball; steal by M. Morris),,46-31,,
3:18.0,,,46-33,2,J. Wall makes 2-pt shot from 1 ft
3:18.0,,,46-33,,Shooting foul by J. Calderon (drawn by J. Wall)
3:18.0,,,46-34,1,J. Wall makes free throw 1 of 1
2:59.0,New York full timeout,,46-34,,
2:59.0,,,46-34,,A. Anderson enters the game for O. Porter
2:58.0,Shooting foul by A. Anderson (drawn by K. Porzingis),,46-34,,
2:58.0,K. Porzingis makes free throw 1 of 2,1,47-34,,
2:58.0,K. Porzingis makes free throw 2 of 2,1,48-34,,
2:41.0,,,48-36,2,A. Anderson makes 2-pt shot at rim (assist by B. Beal)
2:30.0,Turnover by K. Porzingis (lost ball),,48-36,,
2:12.0,,,48-38,2,J. Wall makes 2-pt shot from 20 ft (assist by B. Beal)
1:53.0,J. Calderon misses 3-pt shot from 27 ft,,48-38,,
1:52.0,Offensive rebound by K. Porzingis,,48-38,,
1:36.0,Turnover by K. Porzingis (traveling),,48-38,,
1:22.0,,,48-40,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
0:58.0,C. Anthony misses 3-pt shot from 26 ft,,48-40,,
0:57.0,Offensive rebound by K. Porzingis,,48-40,,
0:48.0,C. Anthony misses 2-pt shot from 19 ft,,48-40,,
0:47.0,,,48-40,,Defensive rebound by A. Anderson
0:42.0,,,48-40,,Turnover by M. Morris (lost ball)
0:29.0,J. Calderon makes 3-pt shot from 26 ft,3,51-40,,
0:20.0,,,51-42,2,J. Wall makes 2-pt shot at rim
0:20.0,,,51-42,,Shooting foul by J. Calderon (drawn by J. Wall)
0:20.0,L. Galloway enters the game for J. Calderon,,51-42,,
0:20.0,,,51-43,1,J. Wall makes free throw 1 of 1
0:02.0,,,51-43,,Personal foul by M. Morris
0:02.0,C. Anthony makes free throw 1 of 2,1,52-43,,
0:02.0,S. Vujacic enters the game for K. Porzingis,,52-43,,
0:02.0,C. Anthony makes free throw 2 of 2,1,53-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,53-45,2,M. Gortat makes 2-pt shot from 12 ft (assist by B. Beal)
11:47.0,,,53-45,,Shooting foul by S. Vujacic (drawn by M. Gortat)
11:47.0,,,53-46,1,M. Gortat makes free throw 1 of 1
11:25.0,Turnover by C. Anthony (bad pass),,53-46,,
11:14.0,,,53-48,2,B. Beal makes 2-pt shot from 1 ft
11:04.0,,,53-48,,Personal foul by M. Morris
10:47.0,C. Anthony misses 2-pt shot from 18 ft,,53-48,,
10:46.0,,,53-48,,Defensive rebound by M. Gortat
10:29.0,,,53-50,2,M. Gortat makes 2-pt shot from 13 ft (assist by J. Wall)
10:11.0,,,53-50,,Personal foul by O. Porter
10:00.0,C. Anthony misses 3-pt shot from 26 ft,,53-50,,
9:59.0,,,53-50,,Defensive rebound by B. Beal
9:46.0,,,53-50,,M. Gortat misses 2-pt shot from 7 ft
9:45.0,Defensive rebound by Team,,53-50,,
9:23.0,S. Vujacic misses 2-pt shot from 16 ft,,53-50,,
9:22.0,,,53-50,,Defensive rebound by Team
9:22.0,Loose ball foul by K. Porzingis,,53-50,,
9:04.0,,,53-52,2,M. Gortat makes 2-pt shot from 16 ft (assist by O. Porter)
8:41.0,K. Porzingis makes 2-pt shot at rim (assist by R. Lopez),2,55-52,,
8:32.0,,,55-52,,B. Beal misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by K. Porzingis,,55-52,,
8:22.0,C. Anthony makes 3-pt shot from 26 ft,3,58-52,,
8:16.0,,,58-54,2,B. Beal makes 2-pt shot from 2 ft
7:59.0,,,58-54,,Personal take foul by M. Gortat
7:59.0,K. Porzingis makes free throw 1 of 2,1,59-54,,
7:59.0,K. Porzingis makes free throw 2 of 2,1,60-54,,
7:52.0,,,60-56,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
7:32.0,Turnover by J. Calderon (traveling),,60-56,,
7:21.0,,,60-59,3,J. Wall makes 3-pt shot from 27 ft
7:20.0,New York full timeout,,60-59,,
7:20.0,A. Afflalo enters the game for S. Vujacic,,60-59,,
7:09.0,J. Calderon misses 2-pt shot from 17 ft,,60-59,,
7:08.0,,,60-59,,Defensive rebound by O. Porter
6:58.0,,,60-59,,B. Beal misses 3-pt shot from 27 ft
6:57.0,,,60-59,,Offensive rebound by M. Gortat
6:56.0,Violation by K. Porzingis (def goaltending),,60-59,,
6:56.0,,,60-61,2,M. Gortat makes 2-pt shot from 2 ft
6:37.0,Turnover by A. Afflalo (lost ball; steal by J. Wall),,60-61,,
6:36.0,Personal foul by J. Calderon,,60-61,,
6:19.0,,,60-61,,J. Wall misses 2-pt shot from 17 ft
6:18.0,Defensive rebound by C. Anthony,,60-61,,
6:13.0,Turnover by C. Anthony (bad pass),,60-61,,
6:13.0,,,60-61,,G. Temple enters the game for B. Beal
5:57.0,Personal block foul by K. Porzingis,,60-61,,
5:53.0,,,60-64,3,O. Porter makes 3-pt shot from 26 ft
5:32.0,C. Anthony misses 2-pt shot from 17 ft,,60-64,,
5:32.0,Offensive rebound by K. Porzingis,,60-64,,
5:29.0,K. Porzingis misses 2-pt shot from 1 ft,,60-64,,
5:28.0,,,60-64,,Defensive rebound by G. Temple
5:27.0,Personal foul by C. Anthony,,60-64,,
5:27.0,,,60-65,1,G. Temple makes free throw 1 of 2
5:27.0,D. Williams enters the game for K. Porzingis,,60-65,,
5:27.0,L. Galloway enters the game for J. Calderon,,60-65,,
5:27.0,,,60-66,1,G. Temple makes free throw 2 of 2
5:08.0,L. Galloway misses 2-pt shot from 2 ft,,60-66,,
5:07.0,,,60-66,,Defensive rebound by Team
4:55.0,,,60-68,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
4:30.0,A. Afflalo misses 2-pt shot from 11 ft,,60-68,,
4:29.0,,,60-68,,Defensive rebound by O. Porter
4:22.0,,,60-68,,Turnover by G. Temple (lost ball; steal by L. Galloway)
4:18.0,L. Galloway misses 2-pt shot from 1 ft (block by G. Temple),,60-68,,
4:18.0,Offensive rebound by Team,,60-68,,
4:15.0,L. Galloway makes 3-pt shot from 25 ft (assist by C. Anthony),3,63-68,,
3:56.0,,,63-68,,M. Morris misses 3-pt shot from 24 ft
3:55.0,Defensive rebound by L. Galloway,,63-68,,
3:50.0,L. Galloway misses 2-pt shot at rim,,63-68,,
3:49.0,,,63-68,,Defensive rebound by G. Temple
3:40.0,,,63-68,,Shooting foul by D. Williams (drawn by J. Wall)
3:40.0,,,63-69,1,J. Wall makes free throw 1 of 2
3:40.0,K. Seraphin enters the game for R. Lopez,,63-69,,
3:40.0,,,63-69,,A. Anderson enters the game for O. Porter
3:40.0,,,63-70,1,J. Wall makes free throw 2 of 2
3:25.0,Turnover by A. Afflalo (bad pass),,63-70,,
3:12.0,,,63-70,,Shooting foul by L. Galloway (drawn by J. Wall)
3:12.0,,,63-71,1,J. Wall makes free throw 1 of 2
3:12.0,,,63-72,1,J. Wall makes free throw 2 of 2
2:51.0,C. Anthony misses 2-pt shot from 1 ft,,63-72,,
2:50.0,,,63-72,,Defensive rebound by M. Gortat
2:46.0,,,63-72,,J. Wall misses 3-pt shot from 26 ft
2:44.0,,,63-72,,Offensive rebound by M. Morris
2:44.0,,,63-74,2,M. Morris makes 2-pt shot at rim
2:44.0,New York full timeout,,63-74,,
2:44.0,,,63-74,,Washington full timeout
2:21.0,D. Williams makes 3-pt shot from 24 ft (assist by L. Galloway),3,66-74,,
2:01.0,,,66-74,,A. Anderson misses 3-pt shot from 26 ft
2:00.0,Defensive rebound by A. Afflalo,,66-74,,
1:44.0,A. Afflalo misses 2-pt shot from 13 ft (block by G. Temple),,66-74,,
1:42.0,,,66-74,,Defensive rebound by M. Gortat
1:26.0,,,66-76,2,M. Morris makes 2-pt shot from 16 ft (assist by A. Anderson)
1:09.0,D. Williams misses 2-pt shot from 6 ft (block by M. Gortat),,66-76,,
1:07.0,,,66-76,,Defensive rebound by A. Anderson
1:04.0,,,66-76,,J. Wall misses 2-pt shot at rim
1:01.0,Defensive rebound by C. Anthony,,66-76,,
0:55.0,C. Anthony misses 2-pt shot from 10 ft,,66-76,,
0:54.0,,,66-76,,Defensive rebound by G. Temple
0:46.0,,,66-76,,A. Anderson misses 3-pt shot from 26 ft
0:45.0,Defensive rebound by K. Seraphin,,66-76,,
0:26.0,L. Galloway misses 3-pt shot from 26 ft,,66-76,,
0:25.0,,,66-76,,Defensive rebound by M. Gortat
0:02.0,,,66-76,,J. Wall misses 2-pt shot from 21 ft
0:02.0,,,66-76,,Offensive rebound by Team
0:02.0,,,66-76,,Turnover by Team (shot clock)
0:00.0,L. Galloway misses 3-pt shot from 28 ft,,66-76,,
0:00.0,Offensive rebound by Team,,66-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,K. Seraphin misses 2-pt shot from 18 ft,,66-76,,
11:44.0,,,66-76,,Defensive rebound by A. Anderson
11:28.0,,,66-78,2,B. Beal makes 2-pt shot from 8 ft
10:58.0,D. Williams misses 3-pt shot from 26 ft,,66-78,,
10:58.0,Offensive rebound by Team,,66-78,,
10:58.0,Turnover by Team (shot clock),,66-78,,
10:58.0,,,66-78,,J. Dudley enters the game for M. Morris
10:40.0,,,66-78,,J. Dudley misses 2-pt shot from 20 ft
10:38.0,Defensive rebound by J. Grant,,66-78,,
10:28.0,D. Williams misses 2-pt shot from 6 ft,,66-78,,
10:28.0,Offensive rebound by K. Seraphin,,66-78,,
10:27.0,Shooting foul by N. Hilario (drawn by K. Seraphin),,66-78,,
10:27.0,K. Seraphin makes free throw 1 of 2,1,67-78,,
10:27.0,K. Seraphin makes free throw 2 of 2,1,68-78,,
10:11.0,,,68-78,,Shooting foul by K. Seraphin (drawn by N. Hilario)
10:11.0,,,68-79,1,N. Hilario makes free throw 1 of 2
10:11.0,,,68-79,,N. Hilario misses free throw 2 of 2
10:10.0,Defensive rebound by K. Seraphin,,68-79,,
9:57.0,Turnover by J. Grant (lost ball; steal by N. Hilario),,68-79,,
9:52.0,,,68-81,2,N. Hilario makes 2-pt shot from 1 ft
9:39.0,A. Afflalo makes 3-pt shot from 22 ft (assist by D. Williams),3,71-81,,
9:28.0,,,71-81,,R. Sessions misses 3-pt shot from 26 ft
9:27.0,Defensive rebound by Team,,71-81,,
9:03.0,D. Williams misses 3-pt shot from 23 ft,,71-81,,
9:02.0,,,71-81,,Defensive rebound by N. Hilario
8:53.0,,,71-83,2,R. Sessions makes 2-pt shot from 3 ft
8:53.0,New York full timeout,,71-83,,
8:53.0,R. Lopez enters the game for D. Williams,,71-83,,
8:53.0,C. Anthony enters the game for K. Seraphin,,71-83,,
8:53.0,L. Galloway enters the game for J. Grant,,71-83,,
8:36.0,A. Afflalo makes 3-pt shot from 24 ft (assist by L. Galloway),3,74-83,,
8:26.0,,,74-83,,Personal foul by N. Hilario
8:26.0,Personal foul by R. Lopez,,74-83,,
8:18.0,,,74-85,2,R. Sessions makes 2-pt shot from 1 ft (assist by N. Hilario)
7:56.0,,,74-85,,Personal foul by B. Beal
7:43.0,K. Porzingis makes 3-pt shot from 24 ft (assist by L. Galloway),3,77-85,,
7:22.0,,,77-85,,Turnover by N. Hilario (bad pass)
7:22.0,,,77-85,,J. Wall enters the game for R. Sessions
7:22.0,,,77-85,,M. Morris enters the game for J. Dudley
7:19.0,K. Porzingis makes 3-pt shot from 27 ft (assist by C. Anthony),3,80-85,,
6:59.0,,,80-87,2,M. Morris makes 2-pt shot from 9 ft (assist by B. Beal)
6:36.0,K. Porzingis misses 3-pt shot from 27 ft,,80-87,,
6:35.0,Offensive rebound by R. Lopez,,80-87,,
6:34.0,R. Lopez misses 2-pt shot from 1 ft,,80-87,,
6:34.0,Offensive rebound by Team,,80-87,,
6:34.0,,,80-87,,O. Porter enters the game for A. Anderson
6:32.0,R. Lopez makes 2-pt shot at rim (assist by L. Galloway),2,82-87,,
6:04.0,,,82-87,,Turnover by Team (shot clock)
5:46.0,C. Anthony misses 3-pt shot from 27 ft,,82-87,,
5:45.0,,,82-87,,Defensive rebound by J. Wall
5:43.0,Personal block foul by A. Afflalo,,82-87,,
5:43.0,Official timeout,,82-87,,
5:43.0,,,82-87,,M. Gortat enters the game for N. Hilario
5:33.0,,,82-87,,B. Beal misses 3-pt shot from 25 ft
5:32.0,Defensive rebound by Team,,82-87,,
5:17.0,Turnover by K. Porzingis (lost ball; steal by B. Beal),,82-87,,
5:03.0,,,82-89,2,M. Gortat makes 2-pt shot from 7 ft (assist by J. Wall)
4:43.0,R. Lopez misses 2-pt shot from 9 ft,,82-89,,
4:42.0,,,82-89,,Defensive rebound by M. Morris
4:30.0,,,82-89,,O. Porter misses 3-pt shot from 27 ft
4:29.0,Defensive rebound by C. Anthony,,82-89,,
4:20.0,C. Anthony makes 3-pt shot from 27 ft,3,85-89,,
3:56.0,,,85-91,2,O. Porter makes 2-pt shot from 5 ft (assist by M. Morris)
3:38.0,Turnover by C. Anthony (lost ball),,85-91,,
3:38.0,,,85-91,,G. Temple enters the game for B. Beal
3:16.0,,,85-91,,M. Morris misses 3-pt shot from 23 ft
3:16.0,,,85-91,,Offensive rebound by Team
3:16.0,Loose ball foul by C. Anthony,,85-91,,
3:06.0,,,85-91,,J. Wall misses 2-pt shot from 20 ft
3:05.0,,,85-91,,Offensive rebound by M. Morris
3:04.0,,,85-93,2,M. Morris makes 2-pt shot at rim
2:46.0,K. Porzingis misses 2-pt shot from 7 ft,,85-93,,
2:45.0,,,85-93,,Defensive rebound by O. Porter
2:26.0,,,85-93,,M. Gortat misses 2-pt shot from 12 ft
2:25.0,,,85-93,,Offensive rebound by O. Porter
2:13.0,,,85-93,,J. Wall misses 2-pt shot from 20 ft
2:12.0,Defensive rebound by C. Anthony,,85-93,,
2:02.0,C. Anthony misses 3-pt shot from 25 ft,,85-93,,
2:01.0,,,85-93,,Defensive rebound by G. Temple
1:54.0,,,85-96,3,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall)
1:54.0,New York full timeout,,85-96,,
1:43.0,Turnover by K. Porzingis (lost ball; steal by M. Morris),,85-96,,
1:27.0,,,85-96,,M. Morris misses 2-pt shot from 6 ft (block by R. Lopez)
1:27.0,,,85-96,,Offensive rebound by Team
1:27.0,,,85-96,,B. Beal enters the game for G. Temple
1:23.0,,,85-96,,J. Wall misses 2-pt shot from 16 ft (block by L. Galloway)
1:22.0,Defensive rebound by L. Galloway,,85-96,,
1:18.0,L. Galloway makes 2-pt shot from 1 ft,2,87-96,,
0:59.0,,,87-99,3,O. Porter makes 3-pt shot from 23 ft (assist by B. Beal)
0:53.0,A. Afflalo misses 3-pt shot from 26 ft,,87-99,,
0:51.0,,,87-99,,Defensive rebound by M. Gortat
0:28.0,,,87-99,,M. Morris misses 3-pt shot from 29 ft
0:27.0,Defensive rebound by A. Afflalo,,87-99,,
