time,Indiana,pts.away,score,pts.home,Sacramento
7:46.0,,,54-61,2,O. Casspi makes 2-pt shot from 3 ft (assist by W. Cauley-Stein)
7:38.0,P. George misses 2-pt shot from 14 ft (block by R. Rondo),,54-61,,
7:36.0,Offensive rebound by P. George,,54-61,,
7:34.0,P. George makes 2-pt shot from 16 ft,2,56-61,,
7:31.0,,,56-61,,W. Cauley-Stein misses 2-pt shot from 2 ft (block by L. Allen)
7:31.0,,,56-61,,Offensive rebound by Team
7:27.0,,,56-61,,Shooting foul by L. Allen (drawn by R. Rondo)
7:27.0,,,56-62,1,R. Rondo makes free throw 1 of 2
7:27.0,,,56-63,1,R. Rondo makes free throw 2 of 2
7:10.0,Turnover by M. Ellis (lost ball; steal by W. Cauley-Stein),,56-63,,
7:00.0,,,56-63,,D. Cousins misses 2-pt shot from 5 ft (block by L. Allen)
6:58.0,Defensive rebound by G. Robinson,,56-63,,
6:57.0,,,56-63,,Personal foul by R. Rondo (drawn by M. Ellis)
6:57.0,G. Hill enters the game for G. Robinson,,56-63,,
6:46.0,G. Hill misses 2-pt shot from 17 ft,,56-63,,
6:45.0,Offensive rebound by L. Allen,,56-63,,
6:35.0,J. Hill makes 2-pt shot from 16 ft,2,58-63,,
6:27.0,,,58-63,,Shooting foul by P. George (drawn by D. Cousins)
6:27.0,,,58-63,,D. Cousins misses free throw 1 of 2
6:27.0,,,58-63,,Offensive rebound by Team
6:27.0,,,58-63,,K. Koufos enters the game for W. Cauley-Stein
6:27.0,,,58-64,1,D. Cousins makes free throw 2 of 2
6:17.0,M. Ellis makes 2-pt shot from 18 ft,2,60-64,,
6:05.0,,,60-66,2,K. Koufos makes 2-pt shot at rim (assist by D. Cousins)
5:53.0,Offensive foul by L. Allen,,60-66,,
5:53.0,Turnover by L. Allen (offensive foul),,60-66,,
5:53.0,,,60-66,,Sacramento full timeout
5:53.0,,,60-66,,J. Anderson enters the game for O. Casspi
5:53.0,,,60-66,,D. Collison enters the game for B. McLemore
5:53.0,M. Turner enters the game for L. Allen,,60-66,,
5:34.0,,,60-66,,D. Cousins misses 2-pt shot from 6 ft
5:33.0,Defensive rebound by M. Turner,,60-66,,
5:22.0,P. George makes 2-pt shot from 18 ft,2,62-66,,
5:04.0,,,62-69,3,D. Collison makes 3-pt shot from 24 ft (assist by D. Cousins)
4:52.0,J. Hill makes 2-pt shot from 18 ft (assist by M. Ellis),2,64-69,,
4:38.0,,,64-71,2,D. Cousins makes 2-pt shot from 3 ft
4:38.0,,,64-71,,Shooting foul by J. Hill (drawn by D. Cousins)
4:38.0,,,64-71,,D. Cousins misses free throw 1 of 1
4:37.0,Defensive rebound by M. Turner,,64-71,,
4:22.0,Shooting foul by J. Anderson (drawn by P. George),,64-71,,
4:22.0,P. George makes free throw 1 of 2,1,65-71,,
4:22.0,P. George makes free throw 2 of 2,1,66-71,,
4:16.0,,,66-71,,Shooting foul by M. Turner (drawn by K. Koufos)
4:16.0,,,66-72,1,K. Koufos makes free throw 1 of 2
4:16.0,,,66-72,,K. Koufos misses free throw 2 of 2
4:16.0,Defensive rebound by P. George,,66-72,,
4:03.0,P. George makes 2-pt shot from 18 ft,2,68-72,,
3:50.0,Personal foul by P. George (drawn by D. Cousins),,68-72,,
3:50.0,,,68-72,,D. Cousins misses free throw 1 of 2
3:50.0,,,68-72,,Offensive rebound by Team
3:50.0,,,68-73,1,D. Cousins makes free throw 2 of 2
3:35.0,P. George misses 2-pt shot from 17 ft,,68-73,,
3:33.0,,,68-73,,Defensive rebound by K. Koufos
3:28.0,,,68-73,,J. Anderson misses 2-pt shot from 4 ft (block by M. Turner)
3:26.0,Defensive rebound by P. George,,68-73,,
3:09.0,Turnover by M. Ellis (lost ball; steal by D. Collison),,68-73,,
3:06.0,,,68-73,,Shooting foul by J. Hill (drawn by K. Koufos)
3:06.0,Technical foul by Team,,68-73,,
3:06.0,,,68-74,1,D. Collison makes technical free throw
3:06.0,,,68-75,1,K. Koufos makes free throw 1 of 2
3:06.0,Indiana full timeout,,68-75,,
3:06.0,,,68-75,,M. Belinelli enters the game for R. Rondo
3:06.0,C. Miles enters the game for P. George,,68-75,,
3:06.0,,,68-76,1,K. Koufos makes free throw 2 of 2
2:50.0,M. Turner misses 2-pt shot from 8 ft,,68-76,,
2:49.0,,,68-76,,Defensive rebound by J. Anderson
2:28.0,,,68-76,,K. Koufos misses 2-pt shot from 9 ft
2:27.0,,,68-76,,Offensive rebound by Team
2:06.0,,,68-76,,M. Belinelli misses 3-pt shot from 24 ft
2:05.0,Defensive rebound by M. Ellis,,68-76,,
1:45.0,,,68-76,,Personal foul by K. Koufos (drawn by G. Hill)
1:45.0,G. Hill makes free throw 1 of 2,1,69-76,,
1:45.0,J. Young enters the game for M. Ellis,,69-76,,
1:45.0,G. Hill misses free throw 2 of 2,,69-76,,
1:44.0,,,69-76,,Defensive rebound by K. Koufos
1:33.0,,,69-76,,D. Collison misses 2-pt shot from 19 ft
1:33.0,Defensive rebound by C. Miles,,69-76,,
1:18.0,C. Miles misses 2-pt shot from 17 ft,,69-76,,
1:16.0,,,69-76,,Defensive rebound by Team
1:00.0,,,69-76,,M. Belinelli misses 2-pt shot from 11 ft
1:00.0,Defensive rebound by Team,,69-76,,
1:00.0,,,69-76,,Loose ball foul by D. Cousins (drawn by M. Turner)
1:00.0,M. Turner makes free throw 1 of 2,1,70-76,,
1:00.0,,,70-76,,W. Cauley-Stein enters the game for D. Cousins
1:00.0,M. Turner misses free throw 2 of 2,,70-76,,
0:57.0,,,70-76,,Defensive rebound by Team
0:47.0,,,70-78,2,M. Belinelli makes 2-pt shot from 20 ft (assist by K. Koufos)
0:37.0,G. Hill misses 2-pt shot from 11 ft,,70-78,,
0:36.0,,,70-78,,Defensive rebound by J. Anderson
0:29.0,,,70-81,3,D. Collison makes 3-pt shot from 23 ft (assist by J. Anderson)
0:05.0,J. Young misses 2-pt shot from 8 ft,,70-81,,
0:04.0,,,70-81,,Defensive rebound by K. Koufos
0:01.0,,,70-81,,M. Belinelli misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by J. Hill,,70-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,70-81,,M. Belinelli misses 3-pt shot from 25 ft
11:46.0,Defensive rebound by M. Turner,,70-81,,
11:25.0,Shooting foul by D. Collison (drawn by G. Hill),,70-81,,
11:25.0,G. Hill makes free throw 1 of 2,1,71-81,,
11:25.0,G. Hill makes free throw 2 of 2,1,72-81,,
11:11.0,,,72-81,,K. Koufos misses 2-pt shot from 8 ft
11:11.0,Defensive rebound by J. Young,,72-81,,
11:03.0,C. Miles misses 3-pt shot from 25 ft,,72-81,,
11:03.0,,,72-81,,Defensive rebound by M. Belinelli
10:50.0,,,72-81,,Turnover by K. Koufos (bad pass; steal by J. Young)
10:43.0,J. Young misses 2-pt shot from 2 ft (block by J. Anderson),,72-81,,
10:41.0,,,72-81,,Defensive rebound by W. Cauley-Stein
10:34.0,,,72-81,,J. Anderson misses 3-pt shot from 24 ft
10:33.0,Defensive rebound by Team,,72-81,,
10:33.0,J. Hill enters the game for M. Turner,,72-81,,
10:33.0,,,72-81,,O. Casspi enters the game for W. Cauley-Stein
10:14.0,L. Allen makes 2-pt shot from 7 ft (assist by G. Hill),2,74-81,,
9:57.0,,,74-81,,D. Collison misses 2-pt shot from 16 ft
9:57.0,Defensive rebound by C. Miles,,74-81,,
9:44.0,C. Miles misses 2-pt shot from 4 ft,,74-81,,
9:43.0,,,74-81,,Defensive rebound by O. Casspi
9:38.0,Personal foul by G. Hill (drawn by D. Collison),,74-81,,
9:38.0,P. George enters the game for C. Miles,,74-81,,
9:38.0,M. Turner enters the game for L. Allen,,74-81,,
9:30.0,,,74-81,,D. Collison misses 2-pt shot from 3 ft
9:29.0,,,74-81,,Offensive rebound by K. Koufos
9:28.0,,,74-83,2,K. Koufos makes 2-pt shot from 3 ft
9:18.0,P. George misses 2-pt shot from 3 ft,,74-83,,
9:17.0,Offensive rebound by J. Hill,,74-83,,
9:16.0,J. Hill makes 2-pt shot from 4 ft,2,76-83,,
9:01.0,,,76-83,,Shooting foul by G. Hill (drawn by M. Belinelli)
9:01.0,,,76-84,1,M. Belinelli makes free throw 1 of 3
9:01.0,,,76-84,,Sacramento full timeout
9:01.0,,,76-84,,D. Cousins enters the game for J. Anderson
9:01.0,M. Ellis enters the game for G. Hill,,76-84,,
9:01.0,,,76-85,1,M. Belinelli makes free throw 2 of 3
9:01.0,,,76-86,1,M. Belinelli makes free throw 3 of 3
8:43.0,P. George makes 3-pt shot from 24 ft (assist by M. Ellis),3,79-86,,
8:26.0,,,79-88,2,D. Cousins makes 2-pt shot from 9 ft
8:16.0,M. Ellis misses 2-pt shot from 13 ft,,79-88,,
8:16.0,,,79-88,,Defensive rebound by O. Casspi
8:03.0,,,79-90,2,D. Cousins makes 2-pt shot from 2 ft
7:45.0,P. George misses 2-pt shot from 9 ft,,79-90,,
7:44.0,,,79-90,,Defensive rebound by Team
7:29.0,,,79-90,,Turnover by D. Cousins (lost ball; steal by J. Young)
7:20.0,M. Turner makes 2-pt shot from 4 ft (assist by J. Young),2,81-90,,
7:08.0,,,81-90,,M. Belinelli misses 2-pt shot from 18 ft
7:07.0,Defensive rebound by J. Hill,,81-90,,
6:53.0,L. Allen enters the game for J. Hill,,81-90,,
6:51.0,Shooting foul by O. Casspi (drawn by P. George),,81-90,,
6:51.0,P. George makes free throw 1 of 3,1,82-90,,
6:51.0,P. George makes free throw 2 of 3,1,83-90,,
6:51.0,,,83-90,,R. Rondo enters the game for D. Collison
6:51.0,P. George makes free throw 3 of 3,1,84-90,,
6:33.0,,,84-92,2,D. Cousins makes 2-pt shot from 5 ft
6:17.0,,,84-92,,Personal foul by M. Belinelli
6:17.0,Indiana full timeout,,84-92,,
6:17.0,,,84-92,,W. Cauley-Stein enters the game for K. Koufos
6:17.0,G. Hill enters the game for J. Young,,84-92,,
6:09.0,P. George misses 3-pt shot from 22 ft,,84-92,,
6:09.0,,,84-92,,Defensive rebound by Team
6:01.0,Personal foul by M. Turner (drawn by D. Cousins),,84-92,,
5:50.0,Personal foul by M. Turner (drawn by D. Cousins),,84-92,,
5:50.0,J. Hill enters the game for M. Turner,,84-92,,
5:41.0,,,84-92,,M. Belinelli misses 3-pt shot from 23 ft
5:40.0,Defensive rebound by J. Hill,,84-92,,
5:33.0,,,84-92,,Personal foul by O. Casspi (drawn by P. George)
5:22.0,P. George makes 2-pt shot from 16 ft,2,86-92,,
5:06.0,,,86-94,2,D. Cousins makes 2-pt shot from 8 ft (assist by R. Rondo)
4:46.0,G. Hill misses 3-pt shot from 22 ft,,86-94,,
4:46.0,,,86-94,,Defensive rebound by R. Rondo
4:37.0,,,86-94,,Shooting foul by J. Hill (drawn by D. Cousins)
