time,Charlotte,pts.away,score,pts.home,Detroit
10:04.0,,,58-77,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by T. Harris)
9:53.0,Shooting foul by A. Drummond (drawn by K. Walker),,58-77,,
9:53.0,K. Walker makes free throw 1 of 2,1,59-77,,
9:53.0,K. Walker makes free throw 2 of 2,1,60-77,,
9:33.0,,,60-77,,A. Drummond misses 2-pt shot from 6 ft
9:32.0,Defensive rebound by C. Zeller,,60-77,,
9:23.0,,,60-77,,Def 3 sec tech foul by A. Drummond
9:23.0,N. Batum makes technical free throw,1,61-77,,
9:21.0,,,61-77,,Personal foul by M. Morris
9:14.0,N. Batum misses 2-pt shot from 18 ft,,61-77,,
9:13.0,Offensive rebound by C. Zeller,,61-77,,
9:10.0,C. Zeller makes 2-pt shot at rim,2,63-77,,
8:56.0,,,63-77,,R. Jackson misses 2-pt shot from 1 ft
8:56.0,,,63-77,,Offensive rebound by A. Drummond
8:55.0,,,63-77,,A. Drummond misses 2-pt shot from 1 ft
8:53.0,,,63-77,,Offensive rebound by K. Caldwell-Pope
8:51.0,,,63-79,2,K. Caldwell-Pope makes 2-pt shot at rim
8:21.0,C. Lee misses 3-pt shot from 23 ft,,63-79,,
8:21.0,,,63-79,,Defensive rebound by K. Caldwell-Pope
8:09.0,,,63-81,2,R. Jackson makes 2-pt shot from 15 ft
7:50.0,M. Williams misses 2-pt shot from 8 ft,,63-81,,
7:48.0,,,63-81,,Defensive rebound by A. Drummond
7:40.0,Personal foul by C. Zeller,,63-81,,
7:29.0,,,63-81,,M. Morris misses 3-pt shot from 23 ft
7:28.0,,,63-81,,Offensive rebound by T. Harris
7:18.0,,,63-83,2,R. Jackson makes 2-pt shot from 16 ft
7:00.0,K. Walker misses 2-pt shot from 4 ft (block by A. Drummond),,63-83,,
6:59.0,,,63-83,,Defensive rebound by K. Caldwell-Pope
6:57.0,,,63-86,3,K. Caldwell-Pope makes 3-pt shot from 26 ft
6:57.0,Charlotte full timeout,,63-86,,
6:45.0,C. Lee makes 3-pt shot from 27 ft (assist by N. Batum),3,66-86,,
6:15.0,,,66-86,,R. Jackson misses 2-pt shot from 18 ft
6:14.0,Defensive rebound by N. Batum,,66-86,,
6:04.0,C. Zeller makes 2-pt shot at rim (assist by M. Williams),2,68-86,,
5:40.0,,,68-86,,T. Harris misses 3-pt shot from 24 ft
5:40.0,Defensive rebound by C. Zeller,,68-86,,
5:28.0,M. Williams misses 3-pt shot from 23 ft,,68-86,,
5:28.0,,,68-86,,Defensive rebound by Team
5:28.0,A. Jefferson enters the game for C. Zeller,,68-86,,
5:09.0,,,68-86,,K. Caldwell-Pope misses 2-pt shot from 13 ft
5:09.0,,,68-86,,Offensive rebound by A. Drummond
5:08.0,,,68-86,,Shooting foul by A. Jefferson (drawn by A. Drummond)
5:08.0,,,68-86,,A. Drummond misses free throw 1 of 2
5:08.0,,,68-86,,Offensive rebound by Team
5:08.0,,,68-86,,A. Drummond misses free throw 2 of 2
5:07.0,Defensive rebound by A. Jefferson,,68-86,,
4:42.0,C. Lee makes 2-pt shot from 20 ft (assist by N. Batum),2,70-86,,
4:25.0,,,70-86,,R. Jackson misses 3-pt shot from 23 ft
4:24.0,Defensive rebound by A. Jefferson,,70-86,,
4:14.0,,,70-86,,Personal foul by R. Jackson
4:14.0,J. Lin enters the game for C. Lee,,70-86,,
4:14.0,F. Kaminsky enters the game for M. Williams,,70-86,,
4:05.0,N. Batum misses 2-pt shot from 13 ft,,70-86,,
4:03.0,,,70-86,,Defensive rebound by A. Drummond
3:52.0,,,70-86,,K. Caldwell-Pope misses 3-pt shot from 25 ft
3:51.0,Defensive rebound by A. Jefferson,,70-86,,
3:41.0,K. Walker misses 2-pt shot from 5 ft (block by A. Drummond),,70-86,,
3:40.0,,,70-86,,Defensive rebound by K. Caldwell-Pope
3:32.0,,,70-86,,M. Morris misses 3-pt shot from 22 ft
3:32.0,Defensive rebound by J. Lin,,70-86,,
3:27.0,Turnover by J. Lin (lost ball; steal by K. Caldwell-Pope),,70-86,,
3:25.0,,,70-86,,Shooting foul by J. Lin (drawn by K. Caldwell-Pope)
3:25.0,,,70-87,1,K. Caldwell-Pope makes free throw 1 of 2
3:25.0,,,70-87,,S. Johnson enters the game for M. Morris
3:25.0,,,70-88,1,K. Caldwell-Pope makes free throw 2 of 2
3:17.0,A. Jefferson misses 2-pt shot from 6 ft (block by A. Drummond),,70-88,,
3:17.0,Offensive rebound by Team,,70-88,,
3:17.0,J. Lamb enters the game for N. Batum,,70-88,,
3:16.0,,,70-88,,Personal foul by T. Harris
3:03.0,A. Jefferson makes 2-pt shot at rim,2,72-88,,
2:51.0,,,72-88,,R. Jackson misses 2-pt shot from 13 ft
2:50.0,Defensive rebound by A. Jefferson,,72-88,,
2:39.0,J. Lin misses 2-pt shot from 8 ft (block by T. Harris),,72-88,,
2:38.0,,,72-88,,Defensive rebound by R. Jackson
2:33.0,,,72-90,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson)
2:05.0,A. Jefferson misses 2-pt shot from 14 ft,,72-90,,
2:05.0,,,72-90,,Defensive rebound by T. Harris
1:55.0,,,72-92,2,A. Drummond makes 2-pt shot from 10 ft (assist by R. Jackson)
1:41.0,Shooting foul by K. Caldwell-Pope (drawn by K. Walker),,72-92,,
1:41.0,,,72-92,,Detroit full timeout
1:41.0,,,72-92,,S. Blake enters the game for R. Jackson
1:41.0,K. Walker makes free throw 1 of 2,1,73-92,,
1:41.0,,,73-92,,Violation by A. Drummond (def goaltending)
1:41.0,K. Walker makes free throw 2 of 2,1,74-92,,
1:25.0,,,74-92,,S. Blake misses 3-pt shot from 26 ft
1:24.0,,,74-92,,Offensive rebound by A. Drummond
1:18.0,,,74-94,2,A. Drummond makes 2-pt shot at rim
1:00.0,A. Jefferson misses 2-pt shot from 3 ft,,74-94,,
1:00.0,,,74-94,,Defensive rebound by Team
0:40.0,,,74-94,,K. Caldwell-Pope misses 2-pt shot from 2 ft (block by J. Lin)
0:39.0,,,74-94,,Offensive rebound by K. Caldwell-Pope
0:38.0,,,74-96,2,K. Caldwell-Pope makes 2-pt shot at rim
0:28.0,J. Lin makes 2-pt shot from 16 ft,2,76-96,,
0:05.0,,,76-96,,Shooting foul by F. Kaminsky (drawn by T. Harris)
0:05.0,,,76-97,1,T. Harris makes free throw 1 of 2
0:05.0,,,76-98,1,T. Harris makes free throw 2 of 2
0:03.0,K. Walker misses 3-pt shot from 27 ft,,76-98,,
0:00.0,,,76-98,,Defensive rebound by T. Harris
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,76-98,,A. Baynes misses 2-pt shot from 11 ft
11:42.0,Defensive rebound by J. Lin,,76-98,,
11:31.0,J. Lin misses 2-pt shot from 10 ft,,76-98,,
11:29.0,Offensive rebound by A. Jefferson,,76-98,,
11:25.0,A. Jefferson makes 2-pt shot from 1 ft,2,78-98,,
11:05.0,,,78-98,,Turnover by K. Caldwell-Pope (lost ball; steal by A. Jefferson)
10:55.0,C. Lee misses 2-pt shot from 8 ft,,78-98,,
10:54.0,,,78-98,,Defensive rebound by A. Baynes
10:46.0,,,78-98,,T. Harris misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by J. Lamb,,78-98,,
10:27.0,A. Jefferson misses 2-pt shot from 9 ft,,78-98,,
10:26.0,,,78-98,,Defensive rebound by T. Harris
10:20.0,,,78-98,,Shooting foul by A. Jefferson (drawn by A. Baynes)
10:20.0,,,78-99,1,A. Baynes makes free throw 1 of 2
10:20.0,,,78-99,,A. Tolliver enters the game for T. Harris
10:20.0,,,78-100,1,A. Baynes makes free throw 2 of 2
10:04.0,J. Lin misses 3-pt shot from 25 ft,,78-100,,
10:03.0,,,78-100,,Defensive rebound by A. Tolliver
9:38.0,,,78-102,2,A. Baynes makes 2-pt shot from 16 ft (assist by S. Blake)
9:26.0,J. Lin misses 3-pt shot from 25 ft,,78-102,,
9:25.0,,,78-102,,Defensive rebound by A. Baynes
9:20.0,,,78-104,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by S. Blake)
9:20.0,Charlotte full timeout,,78-104,,
9:20.0,,,78-104,,M. Morris enters the game for K. Caldwell-Pope
9:20.0,T. Daniels enters the game for C. Lee,,78-104,,
9:20.0,S. Hawes enters the game for F. Kaminsky,,78-104,,
9:11.0,,,78-104,,Personal foul by M. Morris
9:00.0,A. Jefferson makes 2-pt shot at rim (assist by S. Hawes),2,80-104,,
8:38.0,,,80-104,,S. Johnson misses 3-pt shot from 24 ft
8:37.0,Defensive rebound by A. Jefferson,,80-104,,
8:25.0,J. Lamb misses 2-pt shot from 17 ft,,80-104,,
8:25.0,,,80-104,,Defensive rebound by S. Johnson
8:16.0,,,80-104,,A. Tolliver misses 3-pt shot from 27 ft
8:16.0,,,80-104,,Offensive rebound by A. Baynes
8:15.0,,,80-104,,A. Baynes misses 2-pt shot from 1 ft
8:15.0,Defensive rebound by Team,,80-104,,
7:59.0,A. Jefferson misses 2-pt shot from 7 ft,,80-104,,
7:59.0,,,80-104,,Defensive rebound by A. Tolliver
7:49.0,,,80-106,2,A. Tolliver makes 2-pt shot at rim (assist by S. Blake)
7:42.0,,,80-106,,Personal foul by S. Johnson
7:42.0,T. Hansbrough enters the game for A. Jefferson,,80-106,,
7:34.0,S. Hawes misses 2-pt shot from 8 ft,,80-106,,
7:34.0,,,80-106,,Defensive rebound by A. Tolliver
7:19.0,Personal foul by T. Hansbrough,,80-106,,
7:05.0,,,80-106,,M. Morris misses 2-pt shot from 16 ft
7:04.0,Defensive rebound by S. Hawes,,80-106,,
6:52.0,Shooting foul by A. Baynes (drawn by J. Lamb),,80-106,,
6:52.0,J. Lamb makes free throw 1 of 2,1,81-106,,
6:52.0,J. Lamb misses free throw 2 of 2,,81-106,,
6:51.0,,,81-106,,Defensive rebound by A. Tolliver
6:39.0,,,81-106,,Offensive foul by A. Baynes
6:39.0,,,81-106,,Turnover by A. Baynes (offensive foul)
6:31.0,S. Hawes makes 2-pt shot at rim,2,83-106,,
6:17.0,,,83-106,,S. Blake misses 2-pt shot at rim
6:16.0,Defensive rebound by S. Hawes,,83-106,,
6:04.0,S. Hawes misses 2-pt shot from 16 ft,,83-106,,
6:04.0,,,83-106,,Defensive rebound by S. Johnson
5:54.0,,,83-106,,S. Johnson misses 2-pt shot from 16 ft
5:53.0,Defensive rebound by J. Lamb,,83-106,,
5:36.0,S. Hawes misses 2-pt shot from 7 ft,,83-106,,
5:35.0,,,83-106,,Defensive rebound by A. Tolliver
5:23.0,,,83-106,,Offensive charge foul by A. Baynes
5:23.0,,,83-106,,Turnover by A. Baynes (offensive foul)
5:23.0,Official timeout,,83-106,,
5:23.0,J. Gutierrez enters the game for J. Lin,,83-106,,
5:23.0,,,83-106,,K. Caldwell-Pope enters the game for S. Johnson
5:12.0,J. Lamb misses 3-pt shot from 25 ft,,83-106,,
5:09.0,Offensive rebound by S. Hawes,,83-106,,
5:07.0,S. Hawes misses 2-pt shot at rim,,83-106,,
5:06.0,,,83-106,,Defensive rebound by A. Baynes
4:56.0,Personal foul by T. Hansbrough,,83-106,,
4:45.0,,,83-106,,Shooting foul by T. Daniels (drawn by A. Baynes)
4:45.0,,,83-107,1,A. Baynes makes free throw 1 of 2
4:45.0,,,83-107,,A. Baynes misses free throw 2 of 2
4:45.0,Defensive rebound by S. Hawes,,83-107,,
4:32.0,Shooting foul by A. Baynes (drawn by T. Hansbrough),,83-107,,
4:32.0,T. Hansbrough makes free throw 1 of 2,1,84-107,,
4:32.0,,,84-107,,R. Bullock enters the game for M. Morris
4:32.0,T. Hansbrough makes free throw 2 of 2,1,85-107,,
4:21.0,,,85-107,,Turnover by S. Blake (lost ball; steal by J. Gutierrez)
4:10.0,J. Gutierrez makes 2-pt shot at rim,2,87-107,,
4:10.0,,,87-107,,Detroit full timeout
3:51.0,,,87-107,,A. Tolliver misses 3-pt shot from 23 ft
3:50.0,Defensive rebound by J. Lamb,,87-107,,
