time,New Orleans,pts.away,score,pts.home,Miami
0:23.0,,,15-27,3,L. Deng makes 3-pt shot from 23 ft (assist by C. Bosh)
0:02.0,A. Davis misses 2-pt shot from 7 ft,,15-27,,
0:01.0,,,15-27,,Defensive rebound by B. Udrih
0:00.0,,,15-27,,Turnover by B. Udrih (lost ball; steal by N. Cole)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,15-27,,Def 3 sec tech foul by J. Winslow
11:47.0,A. Davis makes technical free throw,1,16-27,,
11:47.0,D. Cunningham enters the game for A. Gee,,16-27,,
11:34.0,N. Cole misses 2-pt shot from 19 ft,,16-27,,
11:33.0,,,16-27,,Defensive rebound by G. Green
11:13.0,,,16-27,,C. Bosh misses 2-pt shot from 18 ft
11:12.0,Defensive rebound by A. Davis,,16-27,,
11:05.0,Turnover by R. Anderson (bad pass),,16-27,,
10:42.0,,,16-27,,G. Green misses 3-pt shot from 24 ft
10:41.0,Defensive rebound by A. Davis,,16-27,,
10:23.0,J. Holiday makes 2-pt shot from 8 ft,2,18-27,,
10:06.0,,,18-27,,C. Bosh misses 2-pt shot from 10 ft
10:05.0,Defensive rebound by J. Holiday,,18-27,,
9:54.0,R. Anderson misses 3-pt shot from 25 ft,,18-27,,
9:53.0,,,18-27,,Defensive rebound by B. Udrih
9:46.0,,,18-29,2,B. Udrih makes 2-pt shot from 1 ft
9:26.0,D. Cunningham misses 3-pt shot from 23 ft,,18-29,,
9:25.0,,,18-29,,Defensive rebound by G. Green
9:03.0,,,18-29,,J. Winslow misses 2-pt shot from 20 ft
9:02.0,Defensive rebound by D. Cunningham,,18-29,,
8:52.0,R. Anderson misses 2-pt shot from 11 ft,,18-29,,
8:51.0,,,18-29,,Defensive rebound by G. Green
8:37.0,,,18-29,,Turnover by G. Green (bad pass; steal by A. Davis)
8:36.0,,,18-29,,Personal foul by G. Green (drawn by N. Cole)
8:36.0,Official timeout,,18-29,,
8:36.0,O. Asik enters the game for A. Davis,,18-29,,
8:36.0,T. Evans enters the game for N. Cole,,18-29,,
8:18.0,Turnover by T. Evans (bad pass; steal by C. Bosh),,18-29,,
7:57.0,,,18-29,,U. Haslem misses 2-pt shot from 16 ft
7:56.0,Defensive rebound by T. Evans,,18-29,,
7:51.0,T. Evans misses 2-pt shot from 2 ft,,18-29,,
7:50.0,,,18-29,,Defensive rebound by U. Haslem
7:32.0,,,18-31,2,U. Haslem makes 2-pt shot from 15 ft (assist by B. Udrih)
7:21.0,,,18-31,,Def 3 sec tech foul by U. Haslem
7:21.0,R. Anderson makes technical free throw,1,19-31,,
7:14.0,J. Holiday makes 3-pt shot from 23 ft (assist by T. Evans),3,22-31,,
7:05.0,,,22-31,,H. Whiteside enters the game for U. Haslem
7:05.0,A. Davis enters the game for R. Anderson,,22-31,,
6:59.0,,,22-33,2,C. Bosh makes 2-pt shot from 17 ft (assist by B. Udrih)
6:43.0,A. Davis makes 2-pt shot from 9 ft,2,24-33,,
6:31.0,,,24-33,,Turnover by B. Udrih (lost ball; steal by A. Davis)
6:28.0,Turnover by A. Davis (lost ball; steal by B. Udrih),,24-33,,
6:23.0,,,24-33,,G. Green misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by T. Evans,,24-33,,
6:16.0,J. Holiday misses 3-pt shot from 25 ft,,24-33,,
6:15.0,,,24-33,,Defensive rebound by C. Bosh
6:11.0,,,24-33,,Miami full timeout
6:11.0,E. Gordon enters the game for D. Cunningham,,24-33,,
6:11.0,,,24-33,,G. Dragic enters the game for C. Bosh
6:11.0,,,24-33,,L. Deng enters the game for G. Green
6:11.0,,,24-33,,D. Wade enters the game for B. Udrih
5:58.0,,,24-33,,G. Dragic misses 2-pt shot from 13 ft
5:57.0,Defensive rebound by A. Davis,,24-33,,
5:44.0,A. Davis misses 2-pt shot from 16 ft (block by H. Whiteside),,24-33,,
5:43.0,,,24-33,,Defensive rebound by J. Winslow
5:31.0,,,24-33,,Offensive foul by H. Whiteside
5:31.0,,,24-33,,Turnover by H. Whiteside (offensive foul)
5:18.0,E. Gordon misses 3-pt shot from 24 ft,,24-33,,
5:17.0,,,24-33,,Defensive rebound by H. Whiteside
5:07.0,,,24-33,,Turnover by D. Wade (bad pass)
4:55.0,J. Holiday misses 2-pt shot from 2 ft,,24-33,,
4:54.0,,,24-33,,Defensive rebound by J. Winslow
4:40.0,,,24-33,,Turnover by D. Wade (bad pass; steal by A. Davis)
4:34.0,N. Cole enters the game for J. Holiday,,24-33,,
4:21.0,,,24-33,,Personal foul by D. Wade (drawn by E. Gordon)
4:13.0,T. Evans misses 3-pt shot from 24 ft,,24-33,,
4:12.0,,,24-33,,Defensive rebound by H. Whiteside
3:57.0,,,24-35,2,J. Winslow makes 2-pt shot from 17 ft
3:50.0,Shooting foul by H. Whiteside (drawn by E. Gordon),,24-35,,
3:50.0,E. Gordon makes free throw 1 of 2,1,25-35,,
3:50.0,,,25-35,,C. Bosh enters the game for H. Whiteside
3:50.0,R. Anderson enters the game for O. Asik,,25-35,,
3:50.0,E. Gordon makes free throw 2 of 2,1,26-35,,
3:38.0,,,26-35,,Turnover by J. Winslow (traveling)
3:23.0,A. Davis makes 2-pt shot from 17 ft (assist by R. Anderson),2,28-35,,
3:02.0,,,28-35,,C. Bosh misses 2-pt shot at rim (block by A. Davis)
3:01.0,Defensive rebound by T. Evans,,28-35,,
2:54.0,Turnover by A. Davis (lost ball; steal by L. Deng),,28-35,,
2:46.0,,,28-35,,D. Wade misses 2-pt shot from 7 ft
2:45.0,,,28-35,,Offensive rebound by D. Wade
2:45.0,Shooting block foul by T. Evans (drawn by D. Wade),,28-35,,
2:45.0,New Orleans full timeout,,28-35,,
2:45.0,,,28-35,,D. Wade misses free throw 1 of 2
2:45.0,,,28-35,,Offensive rebound by Team
2:45.0,,,28-36,1,D. Wade makes free throw 2 of 2
2:25.0,A. Davis misses 2-pt shot from 1 ft,,28-36,,
2:24.0,,,28-36,,Defensive rebound by D. Wade
2:18.0,,,28-38,2,D. Wade makes 2-pt shot from 5 ft
2:03.0,N. Cole makes 2-pt shot from 21 ft (assist by A. Davis),2,30-38,,
1:40.0,,,30-38,,D. Wade misses 2-pt shot from 6 ft
1:39.0,Defensive rebound by A. Davis,,30-38,,
1:25.0,R. Anderson makes 2-pt shot from 16 ft,2,32-38,,
1:02.0,,,32-38,,L. Deng misses 3-pt shot from 24 ft
1:02.0,,,32-38,,Offensive rebound by J. Winslow
1:02.0,,,32-40,2,J. Winslow makes 2-pt shot from 1 ft
1:02.0,,,32-40,,Shooting foul by T. Evans (drawn by J. Winslow)
1:02.0,,,32-40,,J. Winslow misses free throw 1 of 1
1:01.0,Defensive rebound by A. Davis,,32-40,,
0:53.0,Shooting foul by J. Winslow (drawn by E. Gordon),,32-40,,
0:53.0,E. Gordon makes free throw 1 of 2,1,33-40,,
0:53.0,,,33-40,,G. Green enters the game for J. Winslow
0:53.0,E. Gordon makes free throw 2 of 2,1,34-40,,
0:37.0,,,34-42,2,D. Wade makes 2-pt shot from 18 ft
0:29.0,A. Davis makes 2-pt shot from 20 ft (assist by T. Evans),2,36-42,,
0:24.0,,,36-42,,Miami full timeout
0:24.0,A. Gee enters the game for R. Anderson,,36-42,,
0:08.0,,,36-42,,D. Wade misses 3-pt shot from 25 ft
0:07.0,Defensive rebound by A. Davis,,36-42,,
0:04.0,New Orleans full timeout,,36-42,,
0:04.0,R. Anderson enters the game for A. Gee,,36-42,,
0:04.0,,,36-42,,J. Winslow enters the game for G. Dragic
0:01.0,E. Gordon misses 2-pt shot from 2 ft,,36-42,,
0:01.0,Offensive rebound by A. Davis,,36-42,,
0:01.0,A. Davis makes 2-pt shot at rim,2,38-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,A. Davis makes 2-pt shot from 15 ft (assist by T. Evans),2,40-42,,
11:17.0,,,40-44,2,C. Bosh makes 2-pt shot from 19 ft (assist by G. Dragic)
11:05.0,,,40-44,,Def 3 sec tech foul by H. Whiteside
11:05.0,A. Davis makes technical free throw,1,41-44,,
10:56.0,Turnover by O. Asik (3 sec),,41-44,,
10:37.0,,,41-44,,D. Wade misses 2-pt shot from 16 ft
10:36.0,Defensive rebound by A. Davis,,41-44,,
10:26.0,T. Evans misses 2-pt shot from 1 ft (block by H. Whiteside),,41-44,,
10:25.0,,,41-44,,Defensive rebound by L. Deng
10:16.0,,,41-44,,Shooting foul by A. Davis (drawn by H. Whiteside)
10:16.0,,,41-44,,H. Whiteside misses free throw 1 of 2
10:16.0,,,41-44,,Offensive rebound by Team
10:16.0,,,41-44,,H. Whiteside misses free throw 2 of 2
10:15.0,,,41-44,,Offensive rebound by H. Whiteside
10:13.0,,,41-44,,H. Whiteside misses 2-pt shot from 3 ft
10:12.0,Defensive rebound by T. Evans,,41-44,,
9:53.0,A. Davis misses 2-pt shot from 17 ft,,41-44,,
9:52.0,,,41-44,,Defensive rebound by H. Whiteside
9:43.0,,,41-46,2,G. Dragic makes 2-pt shot from 10 ft
9:29.0,E. Gordon makes 2-pt shot at rim,2,43-46,,
9:10.0,,,43-46,,D. Wade misses 2-pt shot from 11 ft
9:09.0,Defensive rebound by A. Davis,,43-46,,
8:59.0,A. Davis misses 2-pt shot from 14 ft,,43-46,,
8:58.0,Offensive rebound by A. Gee,,43-46,,
8:47.0,T. Evans misses 2-pt shot from 20 ft,,43-46,,
8:44.0,,,43-46,,Defensive rebound by L. Deng
8:37.0,,,43-48,2,C. Bosh makes 2-pt shot from 21 ft (assist by G. Dragic)
8:36.0,New Orleans full timeout,,43-48,,
8:13.0,T. Evans misses 2-pt shot from 12 ft (block by H. Whiteside),,43-48,,
8:12.0,,,43-48,,Defensive rebound by H. Whiteside
7:50.0,,,43-50,2,H. Whiteside makes 2-pt shot from 15 ft (assist by L. Deng)
7:25.0,Turnover by Team (shot clock),,43-50,,
7:06.0,Personal foul by A. Gee (drawn by C. Bosh),,43-50,,
7:06.0,J. Holiday enters the game for A. Gee,,43-50,,
6:55.0,,,43-50,,G. Dragic misses 3-pt shot from 23 ft
6:54.0,Defensive rebound by J. Holiday,,43-50,,
6:38.0,E. Gordon misses 2-pt shot from 18 ft,,43-50,,
6:37.0,,,43-50,,Defensive rebound by Team
6:37.0,Loose ball foul by E. Gordon (drawn by L. Deng),,43-50,,
6:27.0,,,43-50,,Shooting foul by J. Holiday (drawn by C. Bosh)
6:27.0,,,43-50,,C. Bosh misses free throw 1 of 2
6:27.0,,,43-50,,Offensive rebound by Team
6:27.0,,,43-51,1,C. Bosh makes free throw 2 of 2
6:12.0,E. Gordon misses 2-pt shot from 2 ft (block by H. Whiteside),,43-51,,
6:11.0,,,43-51,,Defensive rebound by C. Bosh
6:06.0,,,43-51,,C. Bosh misses 3-pt shot from 24 ft
6:05.0,Defensive rebound by Team,,43-51,,
6:05.0,,,43-51,,Loose ball foul by H. Whiteside (drawn by O. Asik)
6:05.0,,,43-51,,J. Winslow enters the game for H. Whiteside
6:05.0,R. Anderson enters the game for O. Asik,,43-51,,
5:55.0,J. Holiday makes 2-pt shot from 8 ft,2,45-51,,
5:38.0,,,45-51,,Turnover by C. Bosh (lost ball; steal by A. Davis)
5:34.0,Turnover by T. Evans (traveling),,45-51,,
5:16.0,,,45-53,2,G. Dragic makes 2-pt shot from 10 ft
5:00.0,J. Holiday misses 2-pt shot from 12 ft,,45-53,,
4:59.0,,,45-53,,Defensive rebound by G. Dragic
4:54.0,,,45-53,,Turnover by D. Wade (lost ball; steal by E. Gordon)
4:47.0,Turnover by T. Evans (bad pass),,45-53,,
4:25.0,,,45-53,,D. Wade misses 3-pt shot from 26 ft
4:24.0,,,45-53,,Offensive rebound by Team
4:23.0,,,45-53,,Turnover by Team (shot clock)
4:23.0,N. Cole enters the game for T. Evans,,45-53,,
4:07.0,J. Holiday misses 3-pt shot from 24 ft,,45-53,,
4:06.0,,,45-53,,Defensive rebound by G. Dragic
4:00.0,,,45-53,,C. Bosh misses 3-pt shot from 24 ft
3:59.0,Defensive rebound by J. Holiday,,45-53,,
3:49.0,R. Anderson misses 3-pt shot from 24 ft,,45-53,,
3:48.0,Offensive rebound by N. Cole,,45-53,,
3:48.0,,,45-53,,Personal foul by J. Winslow (drawn by N. Cole)
3:48.0,,,45-53,,G. Green enters the game for D. Wade
3:37.0,N. Cole misses 3-pt shot from 24 ft,,45-53,,
3:36.0,,,45-53,,Defensive rebound by C. Bosh
3:30.0,,,45-56,3,L. Deng makes 3-pt shot from 24 ft (assist by G. Dragic)
3:12.0,N. Cole makes 2-pt shot from 2 ft,2,47-56,,
2:52.0,,,47-58,2,G. Green makes 2-pt shot from 21 ft
2:34.0,R. Anderson makes 3-pt shot from 25 ft (assist by E. Gordon),3,50-58,,
2:34.0,,,50-58,,Miami full timeout
2:19.0,,,50-58,,G. Green misses 3-pt shot from 24 ft
2:18.0,,,50-58,,Offensive rebound by C. Bosh
1:59.0,,,50-58,,Turnover by G. Green (bad pass; steal by N. Cole)
1:47.0,R. Anderson misses 2-pt shot from 3 ft,,50-58,,
1:46.0,,,50-58,,Defensive rebound by C. Bosh
1:34.0,,,50-61,3,J. Winslow makes 3-pt shot from 23 ft (assist by G. Dragic)
1:19.0,N. Cole makes 2-pt shot from 2 ft,2,52-61,,
0:52.0,,,52-63,2,C. Bosh makes 2-pt shot from 11 ft
0:48.0,,,52-63,,Personal foul by J. Winslow (drawn by E. Gordon)
0:48.0,,,52-63,,B. Udrih enters the game for G. Dragic
0:34.0,A. Davis misses 2-pt shot from 9 ft,,52-63,,
0:33.0,,,52-63,,Defensive rebound by J. Winslow
0:10.0,,,52-63,,L. Deng misses 2-pt shot from 12 ft
0:09.0,Defensive rebound by E. Gordon,,52-63,,
0:02.0,E. Gordon misses 2-pt shot from 1 ft (block by J. Winslow),,52-63,,
0:01.0,,,52-63,,Defensive rebound by G. Green
0:01.0,,,52-63,,G. Green misses 3-pt shot from 26 ft
0:00.0,,,52-63,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,52-65,2,C. Bosh makes 2-pt shot from 20 ft (assist by B. Udrih)
11:12.0,R. Anderson misses 2-pt shot from 18 ft,,52-65,,
11:11.0,,,52-65,,Defensive rebound by J. Winslow
11:02.0,,,52-65,,G. Green misses 2-pt shot from 15 ft
11:01.0,Defensive rebound by A. Davis,,52-65,,
10:50.0,Turnover by E. Gordon (bad pass; steal by G. Green),,52-65,,
10:48.0,,,52-65,,Offensive charge foul by G. Green
10:48.0,,,52-65,,Turnover by G. Green (offensive foul)
10:31.0,N. Cole misses 3-pt shot from 23 ft,,52-65,,
10:30.0,,,52-65,,Defensive rebound by U. Haslem
10:16.0,,,52-65,,C. Bosh misses 2-pt shot from 19 ft
10:15.0,Defensive rebound by R. Anderson,,52-65,,
9:54.0,E. Gordon misses 2-pt shot from 5 ft,,52-65,,
9:53.0,Offensive rebound by R. Anderson,,52-65,,
9:48.0,R. Anderson makes 2-pt shot from 2 ft,2,54-65,,
9:31.0,,,54-65,,B. Udrih misses 2-pt shot from 15 ft
9:30.0,Defensive rebound by A. Davis,,54-65,,
9:22.0,A. Davis makes 2-pt shot from 17 ft (assist by T. Evans),2,56-65,,
9:04.0,,,56-68,3,C. Bosh makes 3-pt shot from 24 ft (assist by B. Udrih)
8:49.0,,,56-68,,Def 3 sec tech foul by C. Bosh
8:49.0,Official timeout,,56-68,,
8:49.0,,,56-68,,L. Deng enters the game for C. Bosh
8:49.0,,,56-68,,H. Whiteside enters the game for G. Green
8:49.0,,,56-68,,D. Wade enters the game for U. Haslem
8:49.0,A. Davis misses technical free throw,,56-68,,
8:49.0,Offensive rebound by Team,,56-68,,
8:37.0,A. Davis makes 2-pt shot at rim (assist by E. Gordon),2,58-68,,
8:14.0,,,58-68,,J. Winslow misses 3-pt shot from 24 ft
8:13.0,Defensive rebound by T. Evans,,58-68,,
8:06.0,R. Anderson makes 3-pt shot from 26 ft (assist by T. Evans),3,61-68,,
7:48.0,Personal foul by T. Evans (drawn by B. Udrih),,61-68,,
7:48.0,O. Asik enters the game for A. Davis,,61-68,,
7:48.0,J. Holiday enters the game for T. Evans,,61-68,,
7:39.0,,,61-68,,D. Wade misses 2-pt shot from 9 ft
7:38.0,,,61-68,,Offensive rebound by Team
7:38.0,Loose ball foul by R. Anderson (drawn by H. Whiteside),,61-68,,
7:29.0,Def 3 sec tech foul by O. Asik,,61-68,,
7:29.0,,,61-68,,D. Wade misses technical free throw
7:29.0,,,61-68,,Offensive rebound by Team
7:23.0,,,61-68,,Shooting foul by N. Cole (drawn by B. Udrih)
7:23.0,,,61-69,1,B. Udrih makes free throw 1 of 2
7:23.0,,,61-70,1,B. Udrih makes free throw 2 of 2
7:07.0,R. Anderson makes 2-pt shot from 16 ft (assist by N. Cole),2,63-70,,
6:44.0,,,63-70,,L. Deng misses 2-pt shot from 13 ft
6:43.0,Defensive rebound by R. Anderson,,63-70,,
6:30.0,R. Anderson makes 3-pt shot from 23 ft (assist by O. Asik),3,66-70,,
6:30.0,,,66-70,,Miami full timeout
6:30.0,A. Davis enters the game for O. Asik,,66-70,,
6:30.0,,,66-70,,G. Dragic enters the game for B. Udrih
6:15.0,,,66-70,,D. Wade misses 2-pt shot from 8 ft
6:14.0,Defensive rebound by R. Anderson,,66-70,,
6:00.0,J. Holiday makes 2-pt shot from 2 ft,2,68-70,,
5:40.0,,,68-70,,Turnover by G. Dragic (lost ball; steal by E. Gordon)
5:24.0,R. Anderson misses 2-pt shot from 6 ft,,68-70,,
5:23.0,,,68-70,,Defensive rebound by H. Whiteside
5:11.0,,,68-70,,D. Wade misses 2-pt shot from 9 ft
5:07.0,Defensive rebound by R. Anderson,,68-70,,
5:02.0,N. Cole makes 2-pt shot from 20 ft (assist by J. Holiday),2,70-70,,
4:42.0,Personal foul by N. Cole (drawn by L. Deng),,70-70,,
4:42.0,,,70-70,,C. Bosh enters the game for H. Whiteside
4:31.0,,,70-70,,C. Bosh misses 2-pt shot from 16 ft
4:30.0,Defensive rebound by Team,,70-70,,
4:21.0,Turnover by J. Holiday (lost ball; steal by D. Wade),,70-70,,
4:13.0,,,70-70,,Shooting foul by N. Cole (drawn by D. Wade)
4:13.0,,,70-70,,D. Wade misses free throw 1 of 2
4:13.0,,,70-70,,Offensive rebound by Team
4:13.0,,,70-70,,G. Green enters the game for J. Winslow
4:13.0,,,70-70,,D. Wade misses free throw 2 of 2
4:12.0,Defensive rebound by E. Gordon,,70-70,,
4:01.0,,,70-70,,Personal foul by C. Bosh (drawn by A. Davis)
3:53.0,A. Davis misses 2-pt shot from 19 ft,,70-70,,
3:52.0,,,70-70,,Defensive rebound by G. Green
3:40.0,,,70-72,2,G. Green makes 2-pt shot from 15 ft
3:15.0,Turnover by A. Davis (lost ball; steal by G. Green),,70-72,,
3:05.0,,,70-72,,G. Dragic misses 3-pt shot from 24 ft
3:04.0,Defensive rebound by Team,,70-72,,
2:45.0,N. Cole misses 2-pt shot from 18 ft,,70-72,,
2:44.0,,,70-72,,Defensive rebound by D. Wade
2:29.0,,,70-72,,C. Bosh misses 3-pt shot from 24 ft
2:28.0,Defensive rebound by N. Cole,,70-72,,
2:24.0,New Orleans full timeout,,70-72,,
2:24.0,T. Evans enters the game for N. Cole,,70-72,,
2:19.0,Shooting foul by D. Wade (drawn by T. Evans),,70-72,,
2:19.0,T. Evans makes free throw 1 of 2,1,71-72,,
2:19.0,T. Evans makes free throw 2 of 2,1,72-72,,
2:03.0,,,72-72,,G. Green misses 3-pt shot from 24 ft
2:02.0,Defensive rebound by T. Evans,,72-72,,
1:47.0,A. Davis misses 2-pt shot from 16 ft,,72-72,,
1:46.0,Offensive rebound by R. Anderson,,72-72,,
1:45.0,R. Anderson makes 2-pt shot at rim,2,74-72,,
1:30.0,,,74-74,2,C. Bosh makes 2-pt shot from 20 ft (assist by D. Wade)
1:19.0,T. Evans makes 2-pt shot from 2 ft,2,76-74,,
1:19.0,,,76-74,,Miami full timeout
