time,Atlanta,pts.away,score,pts.home,New York
9:44.0,A. Horford misses 2-pt shot from 10 ft,,23-29,,
9:43.0,,,23-29,,Defensive rebound by L. Galloway
9:27.0,,,23-29,,Turnover by L. Thomas (lost ball; steal by K. Korver)
9:26.0,Turnover by K. Korver (bad pass),,23-29,,
9:16.0,,,23-29,,D. Williams misses 3-pt shot from 27 ft
9:15.0,Defensive rebound by M. Scott,,23-29,,
9:05.0,A. Horford makes free throw 2 of 2,1,24-29,,
9:05.0,Shooting foul by L. Thomas (drawn by A. Horford),,24-29,,
9:05.0,A. Horford makes free throw 1 of 2,1,25-29,,
8:42.0,,,25-29,,L. Galloway misses 3-pt shot from 27 ft
8:41.0,Defensive rebound by K. Korver,,25-29,,
8:32.0,M. Scott misses 2-pt shot from 16 ft,,25-29,,
8:31.0,,,25-29,,Defensive rebound by J. Grant
8:26.0,,,25-31,2,J. Grant makes 2-pt shot from 3 ft
8:13.0,S. Mack misses 2-pt shot from 16 ft,,25-31,,
8:12.0,,,25-31,,Defensive rebound by D. Williams
8:07.0,,,25-33,2,D. Williams makes 2-pt shot from 2 ft
8:05.0,Atlanta full timeout,,25-33,,
7:54.0,K. Korver misses 2-pt shot from 21 ft,,25-33,,
7:53.0,,,25-33,,Defensive rebound by D. Williams
7:31.0,,,25-33,,L. Galloway misses 2-pt shot from 21 ft
7:30.0,Defensive rebound by K. Korver,,25-33,,
7:23.0,A. Horford makes 3-pt shot from 26 ft (assist by J. Teague),3,28-33,,
7:10.0,,,28-34,1,K. Porzingis makes free throw 2 of 2
7:10.0,,,28-34,,Shooting foul by A. Horford (drawn by K. Porzingis)
7:10.0,,,28-35,1,K. Porzingis makes free throw 1 of 2
7:10.0,,,28-35,,C. Anthony enters the game for L. Galloway
7:02.0,A. Horford misses 3-pt shot from 26 ft,,28-35,,
7:01.0,,,28-35,,Defensive rebound by J. Grant
6:53.0,,,28-37,2,J. Grant makes 2-pt shot from 2 ft
6:38.0,J. Teague makes 2-pt shot from 3 ft,2,30-37,,
6:30.0,,,30-39,2,C. Anthony makes 2-pt shot from 6 ft (assist by A. Afflalo)
6:15.0,J. Teague makes 2-pt shot from 3 ft,2,32-39,,
6:01.0,,,32-42,3,K. Porzingis makes 3-pt shot from 26 ft (assist by J. Grant)
5:48.0,Turnover by A. Horford (lost ball; steal by C. Anthony),,32-42,,
5:37.0,,,32-42,,K. Porzingis misses 2-pt shot at rim
5:36.0,Defensive rebound by Team,,32-42,,
5:36.0,,,32-42,,Loose ball foul by D. Williams
5:36.0,Official timeout,,32-42,,
5:28.0,J. Teague misses 2-pt shot from 3 ft,,32-42,,
5:27.0,,,32-42,,Defensive rebound by J. Calderon
5:20.0,,,32-45,3,A. Afflalo makes 3-pt shot from 26 ft (assist by J. Calderon)
5:03.0,Turnover by P. Millsap (palming),,32-45,,
4:53.0,,,32-47,2,D. Williams makes 2-pt shot at rim (assist by A. Afflalo)
4:37.0,J. Teague misses 2-pt shot from 3 ft (block by R. Lopez),,32-47,,
4:36.0,Offensive rebound by P. Millsap,,32-47,,
4:32.0,K. Bazemore makes 3-pt shot from 26 ft (assist by P. Millsap),3,35-47,,
4:04.0,,,35-47,,J. Calderon misses 2-pt shot from 16 ft
4:03.0,,,35-47,,Offensive rebound by R. Lopez
4:03.0,,,35-49,2,R. Lopez makes 2-pt shot from 2 ft
3:37.0,Shooting foul by R. Lopez (drawn by P. Millsap),,35-49,,
3:37.0,P. Millsap makes free throw 1 of 2,1,36-49,,
3:37.0,P. Millsap makes free throw 2 of 2,1,37-49,,
3:25.0,,,37-49,,D. Williams misses 2-pt shot from 5 ft (block by E. Tavares)
3:24.0,,,37-49,,Offensive rebound by Team
3:18.0,,,37-49,,Turnover by J. Calderon (lost ball; steal by P. Millsap)
3:07.0,Shooting foul by D. Williams (drawn by P. Millsap),,37-49,,
3:07.0,,,37-49,,New York full timeout
3:07.0,P. Millsap makes free throw 1 of 1,1,38-49,,
3:07.0,P. Millsap makes 2-pt shot from 6 ft,2,40-49,,
2:59.0,,,40-49,,Shooting foul by P. Millsap (drawn by R. Lopez)
2:59.0,,,40-50,1,R. Lopez makes free throw 1 of 2
2:59.0,,,40-51,1,R. Lopez makes free throw 2 of 2
2:40.0,P. Millsap misses 2-pt shot from 5 ft (block by R. Lopez),,40-51,,
2:39.0,,,40-51,,Defensive rebound by K. Porzingis
2:32.0,,,40-51,,C. Anthony misses 3-pt shot from 27 ft
2:31.0,Defensive rebound by T. Sefolosha,,40-51,,
2:16.0,J. Teague misses 3-pt shot from 26 ft,,40-51,,
2:15.0,,,40-51,,Defensive rebound by J. Calderon
2:07.0,,,40-51,,Shooting foul by J. Teague (drawn by A. Afflalo)
2:07.0,,,40-52,1,A. Afflalo makes free throw 1 of 2
2:07.0,,,40-53,1,A. Afflalo makes free throw 2 of 2
1:56.0,P. Millsap misses 3-pt shot from 26 ft,,40-53,,
1:55.0,,,40-53,,Defensive rebound by R. Lopez
1:45.0,,,40-55,2,A. Afflalo makes 2-pt shot from 12 ft (assist by R. Lopez)
1:24.0,K. Bazemore makes 3-pt shot from 26 ft (assist by A. Horford),3,43-55,,
1:06.0,,,43-55,,Turnover by K. Porzingis (lost ball; steal by P. Millsap)
0:59.0,T. Sefolosha makes 2-pt shot from 3 ft (assist by P. Millsap),2,45-55,,
0:44.0,,,45-55,,J. Calderon misses 2-pt shot from 10 ft
0:43.0,Defensive rebound by K. Bazemore,,45-55,,
0:26.0,Turnover by P. Millsap (lost ball; steal by C. Anthony),,45-55,,
0:09.0,,,45-55,,J. Calderon misses 3-pt shot from 26 ft
0:08.0,Defensive rebound by T. Sefolosha,,45-55,,
0:00.0,J. Teague misses 2-pt shot from 12 ft,,45-55,,
0:00.0,Offensive rebound by Team,,45-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,K. Korver misses 3-pt shot from 27 ft,,45-55,,
11:36.0,Offensive rebound by P. Millsap,,45-55,,
11:35.0,Shooting foul by K. Porzingis (drawn by P. Millsap),,45-55,,
11:35.0,P. Millsap makes free throw 1 of 2,1,46-55,,
11:35.0,P. Millsap makes free throw 2 of 2,1,47-55,,
11:12.0,,,47-58,3,A. Afflalo makes 3-pt shot from 25 ft (assist by J. Calderon)
10:51.0,A. Horford makes 2-pt shot from 19 ft (assist by P. Millsap),2,49-58,,
10:38.0,,,49-58,,K. Porzingis misses 3-pt shot from 25 ft
10:37.0,,,49-58,,Offensive rebound by R. Lopez
10:35.0,,,49-61,3,A. Afflalo makes 3-pt shot from 26 ft (assist by R. Lopez)
10:13.0,K. Bazemore makes 3-pt shot from 27 ft (assist by K. Korver),3,52-61,,
9:51.0,,,52-61,,Turnover by J. Calderon (bad pass)
9:48.0,K. Korver misses 3-pt shot from 25 ft,,52-61,,
9:47.0,,,52-61,,Defensive rebound by K. Porzingis
9:30.0,,,52-64,3,A. Afflalo makes 3-pt shot from 26 ft (assist by C. Anthony)
9:13.0,Shooting foul by K. Porzingis (drawn by P. Millsap),,52-64,,
9:13.0,P. Millsap makes free throw 1 of 2,1,53-64,,
9:13.0,P. Millsap misses free throw 2 of 2,,53-64,,
9:12.0,,,53-64,,Defensive rebound by K. Porzingis
9:03.0,,,53-64,,K. Porzingis misses 2-pt shot from 2 ft
9:02.0,,,53-64,,Offensive rebound by R. Lopez
9:02.0,,,53-64,,R. Lopez misses 2-pt shot from 2 ft
9:01.0,Defensive rebound by P. Millsap,,53-64,,
8:44.0,Shooting foul by C. Anthony (drawn by K. Bazemore),,53-64,,
8:44.0,K. Bazemore makes free throw 1 of 2,1,54-64,,
8:44.0,K. Bazemore makes free throw 2 of 2,1,55-64,,
8:33.0,,,55-64,,C. Anthony misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by J. Teague,,55-64,,
8:26.0,A. Horford makes 2-pt shot from 17 ft (assist by J. Teague),2,57-64,,
8:06.0,,,57-66,2,R. Lopez makes 2-pt shot from 7 ft
7:43.0,J. Teague misses 2-pt shot from 3 ft,,57-66,,
7:42.0,Offensive rebound by P. Millsap,,57-66,,
7:37.0,K. Bazemore misses 3-pt shot from 25 ft,,57-66,,
7:36.0,Offensive rebound by P. Millsap,,57-66,,
7:34.0,Turnover by P. Millsap (lost ball; steal by J. Calderon),,57-66,,
7:19.0,,,57-66,,Shooting foul by K. Korver (drawn by A. Afflalo)
7:19.0,,,57-67,1,A. Afflalo makes free throw 1 of 2
7:19.0,,,57-67,,A. Afflalo misses free throw 2 of 2
7:18.0,Defensive rebound by A. Horford,,57-67,,
6:55.0,K. Bazemore misses 3-pt shot from 26 ft,,57-67,,
6:54.0,,,57-67,,Defensive rebound by Team
6:48.0,Violation by K. Bazemore (kicked ball),,57-67,,
6:45.0,T. Sefolosha enters the game for K. Korver,,57-67,,
6:45.0,E. Tavares enters the game for A. Horford,,57-67,,
6:36.0,,,57-67,,K. Porzingis misses 2-pt shot from 7 ft
6:35.0,Defensive rebound by E. Tavares,,57-67,,
6:25.0,K. Bazemore misses 3-pt shot from 24 ft,,57-67,,
6:24.0,,,57-67,,Defensive rebound by C. Anthony
6:18.0,,,57-70,3,A. Afflalo makes 3-pt shot from 26 ft (assist by C. Anthony)
6:08.0,Atlanta full timeout,,57-70,,
6:08.0,,,57-70,,L. Thomas enters the game for R. Lopez
6:05.0,,,57-70,,Personal foul by L. Thomas
6:03.0,P. Millsap misses 2-pt shot from 10 ft,,57-70,,
6:02.0,,,57-70,,Defensive rebound by K. Porzingis
5:38.0,,,57-70,,Shooting foul by P. Millsap (drawn by L. Thomas)
5:38.0,,,57-71,1,L. Thomas makes free throw 1 of 2
5:38.0,,,57-72,1,L. Thomas makes free throw 2 of 2
5:38.0,J. Teague misses 2-pt shot at rim (block by K. Porzingis),,57-72,,
5:37.0,,,57-72,,Defensive rebound by L. Thomas
5:29.0,,,57-74,2,A. Afflalo makes 2-pt shot from 18 ft (assist by L. Thomas)
5:02.0,Turnover by J. Teague (lost ball; steal by J. Calderon),,57-74,,
4:55.0,,,57-74,,K. Porzingis misses 2-pt shot at rim (block by E. Tavares)
4:53.0,,,57-74,,Offensive rebound by Team
4:53.0,S. Mack enters the game for J. Teague,,57-74,,
4:39.0,,,57-74,,J. Calderon misses 2-pt shot from 19 ft
4:38.0,Defensive rebound by E. Tavares,,57-74,,
4:28.0,P. Millsap makes 2-pt shot from 2 ft (assist by T. Sefolosha),2,59-74,,
4:17.0,,,59-76,2,J. Calderon makes 2-pt shot from 16 ft
4:01.0,K. Bazemore makes 2-pt shot from 2 ft (assist by P. Millsap),2,61-76,,
3:51.0,,,61-76,,Offensive foul by A. Afflalo
3:51.0,,,61-76,,Turnover by A. Afflalo (offensive foul)
3:44.0,E. Tavares makes 2-pt shot at rim (assist by K. Bazemore),2,63-76,,
3:21.0,,,63-78,2,K. Porzingis makes 2-pt shot from 18 ft
3:11.0,P. Millsap misses 2-pt shot from 4 ft,,63-78,,
3:10.0,Offensive rebound by E. Tavares,,63-78,,
3:10.0,E. Tavares misses 2-pt shot from 2 ft,,63-78,,
3:09.0,,,63-78,,Defensive rebound by L. Thomas
3:02.0,,,63-78,,K. Porzingis misses 2-pt shot from 2 ft
3:01.0,Defensive rebound by P. Millsap,,63-78,,
2:55.0,S. Mack makes 2-pt shot from 4 ft,2,65-78,,
2:52.0,,,65-78,,New York full timeout
2:49.0,A. Horford enters the game for K. Bazemore,,65-78,,
2:49.0,K. Korver enters the game for P. Millsap,,65-78,,
2:49.0,,,65-78,,R. Lopez enters the game for K. Porzingis
2:49.0,,,65-78,,J. Grant enters the game for A. Afflalo
2:49.0,,,65-78,,L. Galloway enters the game for J. Calderon
2:40.0,,,65-80,2,J. Grant makes 2-pt shot from 17 ft
2:16.0,K. Korver makes 3-pt shot from 24 ft (assist by A. Horford),3,68-80,,
2:05.0,,,68-82,2,C. Anthony makes 2-pt shot from 2 ft (assist by J. Grant)
1:51.0,K. Korver misses 3-pt shot from 24 ft,,68-82,,
1:50.0,,,68-82,,Defensive rebound by J. Grant
1:40.0,,,68-84,2,R. Lopez makes 2-pt shot from 4 ft (assist by J. Grant)
1:20.0,,,68-84,,Def 3 sec tech foul by C. Anthony
1:20.0,K. Korver makes technical free throw,1,69-84,,
1:14.0,S. Mack makes 2-pt shot from 20 ft,2,71-84,,
0:59.0,,,71-84,,L. Thomas misses 3-pt shot from 25 ft
0:57.0,,,71-84,,Offensive rebound by C. Anthony
0:55.0,Personal foul by T. Sefolosha,,71-84,,
0:53.0,,,71-84,,L. Thomas misses 2-pt shot from 9 ft
0:52.0,Defensive rebound by A. Horford,,71-84,,
0:47.0,S. Mack makes 2-pt shot from 2 ft (assist by K. Korver),2,73-84,,
0:30.0,,,73-84,,Turnover by J. Grant (lost ball; steal by T. Sefolosha)
0:24.0,K. Korver makes 3-pt shot from 26 ft (assist by S. Mack),3,76-84,,
0:06.0,,,76-86,2,R. Lopez makes 2-pt shot from 5 ft (assist by J. Grant)
0:06.0,Turnover by S. Mack (lost ball; steal by J. Grant),,76-86,,
0:02.0,,,76-86,,J. Grant misses 3-pt shot from 24 ft
0:00.0,,,76-86,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,76-88,2,A. Afflalo makes 2-pt shot from 13 ft (assist by D. Williams)
11:18.0,S. Mack misses 2-pt shot from 10 ft,,76-88,,
11:17.0,Offensive rebound by S. Mack,,76-88,,
11:05.0,S. Mack makes 2-pt shot from 3 ft,2,78-88,,
10:38.0,,,78-90,2,L. Galloway makes 2-pt shot from 21 ft (assist by D. Williams)
10:27.0,Turnover by S. Mack (bad pass),,78-90,,
10:12.0,,,78-90,,J. Grant misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by K. Bazemore,,78-90,,
9:59.0,K. Bazemore misses 2-pt shot from 2 ft,,78-90,,
9:58.0,,,78-90,,Defensive rebound by R. Lopez
9:42.0,,,78-90,,D. Williams misses 2-pt shot from 2 ft
9:41.0,Defensive rebound by A. Horford,,78-90,,
9:25.0,K. Korver makes 2-pt shot from 14 ft (assist by S. Mack),2,80-90,,
9:07.0,,,80-92,2,R. Lopez makes 2-pt shot from 6 ft
8:58.0,Turnover by P. Millsap (lost ball; steal by J. Grant),,80-92,,
8:51.0,,,80-95,3,A. Afflalo makes 3-pt shot from 26 ft (assist by J. Grant)
8:48.0,Atlanta full timeout,,80-95,,
8:48.0,M. Scott enters the game for A. Horford,,80-95,,
8:48.0,J. Teague enters the game for S. Mack,,80-95,,
8:40.0,P. Millsap makes 2-pt shot from 2 ft,2,82-95,,
8:23.0,,,82-98,3,L. Galloway makes 3-pt shot from 25 ft (assist by J. Grant)
8:05.0,K. Bazemore misses 2-pt shot from 2 ft,,82-98,,
8:04.0,,,82-98,,Defensive rebound by R. Lopez
7:54.0,,,82-98,,R. Lopez misses 2-pt shot from 9 ft
7:53.0,Defensive rebound by M. Scott,,82-98,,
7:32.0,,,82-98,,Personal foul by R. Lopez
7:32.0,P. Millsap misses 3-pt shot from 25 ft,,82-98,,
7:26.0,,,82-98,,Defensive rebound by Team
7:15.0,Loose ball foul by K. Bazemore,,82-98,,
7:15.0,,,82-98,,Offensive foul by R. Lopez
7:15.0,,,82-98,,Turnover by R. Lopez (offensive foul)
7:13.0,,,82-98,,K. Porzingis enters the game for R. Lopez
7:13.0,,,82-98,,C. Anthony enters the game for J. Grant
6:56.0,K. Korver misses 3-pt shot from 26 ft,,82-98,,
6:55.0,Offensive rebound by P. Millsap,,82-98,,
6:50.0,K. Korver makes 2-pt shot from 19 ft (assist by P. Millsap),2,84-98,,
6:28.0,,,84-98,,A. Afflalo misses 2-pt shot from 3 ft (block by K. Bazemore)
6:26.0,,,84-98,,Offensive rebound by K. Porzingis
6:21.0,,,84-98,,L. Galloway misses 2-pt shot from 18 ft
6:20.0,Defensive rebound by K. Bazemore,,84-98,,
6:14.0,P. Millsap makes 2-pt shot at rim (assist by K. Bazemore),2,86-98,,
5:57.0,Personal foul by P. Millsap,,86-98,,
5:57.0,Official timeout,,86-98,,
5:57.0,T. Sefolosha enters the game for K. Bazemore,,86-98,,
5:57.0,,,86-98,,J. Calderon enters the game for L. Galloway
5:46.0,Violation by M. Scott (kicked ball),,86-98,,
5:37.0,,,86-98,,D. Williams misses 3-pt shot from 26 ft
5:36.0,,,86-98,,Offensive rebound by C. Anthony
5:32.0,,,86-101,3,A. Afflalo makes 3-pt shot from 26 ft (assist by C. Anthony)
5:17.0,,,86-101,,Personal foul by A. Afflalo
5:17.0,J. Teague misses 2-pt shot from 9 ft,,86-101,,
5:16.0,Offensive rebound by K. Korver,,86-101,,
5:16.0,K. Korver misses 2-pt shot from 2 ft,,86-101,,
5:15.0,,,86-101,,Defensive rebound by D. Williams
4:48.0,K. Bazemore enters the game for K. Korver,,86-101,,
4:48.0,A. Horford enters the game for P. Millsap,,86-101,,
4:48.0,,,86-101,,New York full timeout
4:41.0,,,86-103,2,C. Anthony makes 2-pt shot at rim
4:26.0,T. Sefolosha misses 3-pt shot from 24 ft,,86-103,,
4:25.0,,,86-103,,Defensive rebound by A. Afflalo
4:09.0,,,86-103,,K. Porzingis misses 2-pt shot from 2 ft
4:08.0,Defensive rebound by M. Scott,,86-103,,
3:59.0,M. Scott makes 3-pt shot from 25 ft (assist by T. Sefolosha),3,89-103,,
3:37.0,,,89-103,,A. Afflalo misses 3-pt shot from 25 ft
3:36.0,,,89-103,,Offensive rebound by C. Anthony
3:35.0,,,89-103,,Shooting foul by T. Sefolosha (drawn by C. Anthony)
3:35.0,,,89-104,1,C. Anthony makes free throw 1 of 2
3:35.0,L. Patterson enters the game for K. Bazemore,,89-104,,
3:35.0,,,89-105,1,C. Anthony makes free throw 2 of 2
3:26.0,M. Scott misses 3-pt shot from 25 ft,,89-105,,
3:25.0,,,89-105,,Defensive rebound by C. Anthony
3:10.0,,,89-107,2,C. Anthony makes 2-pt shot from 19 ft
3:00.0,Shooting foul by K. Porzingis (drawn by J. Teague),,89-107,,
3:00.0,J. Teague makes free throw 1 of 2,1,90-107,,
3:00.0,E. Tavares enters the game for A. Horford,,90-107,,
3:00.0,J. Holiday enters the game for T. Sefolosha,,90-107,,
3:00.0,J. Teague makes free throw 2 of 2,1,91-107,,
2:54.0,Personal take foul by L. Patterson,,91-107,,
2:54.0,S. Mack enters the game for J. Teague,,91-107,,
2:54.0,,,91-107,,L. Thomas enters the game for C. Anthony
2:54.0,,,91-107,,L. Galloway enters the game for K. Porzingis
2:54.0,,,91-107,,J. Grant enters the game for A. Afflalo
2:54.0,,,91-107,,K. O'Quinn enters the game for J. Calderon
2:44.0,,,91-109,2,J. Grant makes 2-pt shot from 20 ft (assist by K. O'Quinn)
2:27.0,Turnover by J. Holiday (lost ball; steal by K. O'Quinn),,91-109,,
2:16.0,,,91-109,,Turnover by K. O'Quinn (lost ball; steal by S. Mack)
2:11.0,M. Scott makes 2-pt shot from 2 ft (assist by J. Holiday),2,93-109,,
1:40.0,,,93-109,,K. O'Quinn misses 2-pt shot from 16 ft
1:39.0,Defensive rebound by E. Tavares,,93-109,,
