time,Orlando,pts.away,score,pts.home,Brooklyn
2:38.0,M. Hezonja enters the game for E. Fournier,,26-13,,
2:38.0,,,26-13,,W. Reed enters the game for B. Lopez
2:29.0,,,26-13,,Turnover by S. Larkin (bad pass)
2:17.0,N. Vucevic misses 2-pt shot from 20 ft,,26-13,,
2:16.0,,,26-13,,Defensive rebound by T. Young
2:01.0,,,26-13,,W. Ellington misses 3-pt shot from 25 ft
2:00.0,,,26-13,,Offensive rebound by T. Young
1:51.0,,,26-13,,B. Bogdanovic misses 2-pt shot from 9 ft (block by V. Oladipo)
1:49.0,,,26-13,,Offensive rebound by T. Young
1:47.0,,,26-13,,T. Young misses 2-pt shot from 1 ft
1:46.0,Defensive rebound by A. Nicholson,,26-13,,
1:40.0,Offensive charge foul by A. Gordon,,26-13,,
1:40.0,Turnover by A. Gordon (offensive foul),,26-13,,
1:40.0,S. Napier enters the game for N. Vucevic,,26-13,,
1:40.0,J. Smith enters the game for V. Oladipo,,26-13,,
1:30.0,,,26-13,,D. Sloan enters the game for S. Larkin
1:24.0,,,26-13,,T. Robinson enters the game for T. Young
1:24.0,Personal foul by M. Hezonja (drawn by B. Bogdanovic),,26-13,,
1:16.0,,,26-13,,T. Robinson misses 2-pt shot from 8 ft
1:15.0,,,26-13,,Offensive rebound by W. Reed
1:12.0,,,26-13,,W. Reed misses 2-pt shot from 2 ft
1:11.0,Defensive rebound by A. Nicholson,,26-13,,
1:00.0,M. Hezonja misses 2-pt shot from 1 ft (block by W. Reed),,26-13,,
0:59.0,,,26-13,,Defensive rebound by W. Ellington
0:49.0,,,26-15,2,W. Ellington makes 2-pt shot from 13 ft (assist by T. Robinson)
0:33.0,S. Napier misses 2-pt shot from 4 ft,,26-15,,
0:32.0,Offensive rebound by S. Napier,,26-15,,
0:21.0,A. Nicholson misses 3-pt shot from 27 ft,,26-15,,
0:20.0,,,26-15,,Defensive rebound by Team
0:00.0,,,26-17,2,T. Robinson makes 2-pt shot from 13 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,A. Gordon misses 2-pt shot from 5 ft,,26-17,,
11:37.0,Offensive rebound by A. Gordon,,26-17,,
11:34.0,A. Gordon makes 2-pt shot from 4 ft (assist by A. Nicholson),2,28-17,,
11:14.0,,,28-19,2,W. Reed makes 2-pt shot at rim (assist by D. Sloan)
10:58.0,J. Smith misses 2-pt shot from 19 ft,,28-19,,
10:57.0,,,28-19,,Defensive rebound by Team
10:57.0,Loose ball foul by A. Gordon (drawn by B. Bogdanovic),,28-19,,
10:36.0,Personal foul by S. Napier (drawn by D. Sloan),,28-19,,
10:24.0,,,28-19,,Shooting foul by M. Hezonja (drawn by M. Brown)
10:24.0,,,28-20,1,M. Brown makes free throw 1 of 2
10:24.0,E. Fournier enters the game for M. Hezonja,,28-20,,
10:24.0,,,28-21,1,M. Brown makes free throw 2 of 2
10:03.0,A. Gordon misses 3-pt shot from 25 ft,,28-21,,
10:02.0,,,28-21,,Defensive rebound by W. Reed
9:47.0,,,28-23,2,T. Robinson makes 2-pt shot at rim (assist by D. Sloan)
9:33.0,Orlando full timeout,,28-23,,
9:33.0,T. Harris enters the game for A. Gordon,,28-23,,
9:23.0,A. Nicholson misses 2-pt shot from 11 ft,,28-23,,
9:22.0,,,28-23,,Defensive rebound by W. Reed
9:07.0,,,28-23,,T. Robinson misses 2-pt shot from 3 ft
9:06.0,Defensive rebound by A. Nicholson,,28-23,,
8:59.0,Offensive foul by A. Nicholson,,28-23,,
8:59.0,Turnover by A. Nicholson (offensive foul),,28-23,,
8:40.0,,,28-23,,D. Sloan misses 2-pt shot from 2 ft
8:39.0,Defensive rebound by J. Smith,,28-23,,
8:27.0,T. Harris misses 3-pt shot from 24 ft,,28-23,,
8:26.0,,,28-23,,Defensive rebound by T. Robinson
8:06.0,,,28-23,,T. Robinson misses 2-pt shot from 7 ft
8:05.0,Defensive rebound by A. Nicholson,,28-23,,
7:57.0,Offensive charge foul by S. Napier,,28-23,,
7:57.0,Turnover by S. Napier (offensive foul),,28-23,,
7:57.0,C. Frye enters the game for A. Nicholson,,28-23,,
7:57.0,,,28-23,,J. Johnson enters the game for B. Bogdanovic
7:57.0,V. Oladipo enters the game for S. Napier,,28-23,,
7:36.0,,,28-23,,M. Brown misses 2-pt shot from 4 ft
7:35.0,,,28-23,,Offensive rebound by T. Robinson
7:33.0,,,28-23,,T. Robinson misses 2-pt shot from 4 ft
7:33.0,,,28-23,,Offensive rebound by T. Robinson
7:33.0,,,28-23,,T. Robinson misses 2-pt shot from 4 ft
7:33.0,,,28-23,,Offensive rebound by Team
7:33.0,Personal foul by J. Smith (drawn by W. Reed),,28-23,,
7:33.0,,,28-23,,T. Young enters the game for T. Robinson
7:22.0,,,28-26,3,D. Sloan makes 3-pt shot from 24 ft (assist by J. Johnson)
6:55.0,Turnover by C. Frye (bad pass; steal by J. Johnson),,28-26,,
6:52.0,,,28-28,2,T. Young makes 2-pt shot at rim (assist by J. Johnson)
6:36.0,E. Fournier makes 3-pt shot from 22 ft (assist by J. Smith),3,31-28,,
6:20.0,,,31-28,,M. Brown misses 3-pt shot from 23 ft
6:19.0,Defensive rebound by V. Oladipo,,31-28,,
6:13.0,,,31-28,,Personal foul by M. Brown (drawn by E. Fournier)
6:13.0,,,31-28,,B. Lopez enters the game for W. Reed
6:13.0,N. Vucevic enters the game for J. Smith,,31-28,,
5:54.0,E. Fournier misses 3-pt shot from 23 ft,,31-28,,
5:53.0,,,31-28,,Defensive rebound by D. Sloan
5:47.0,,,31-30,2,T. Young makes 2-pt shot from 1 ft (assist by D. Sloan)
5:32.0,N. Vucevic misses 2-pt shot from 7 ft,,31-30,,
5:31.0,,,31-30,,Defensive rebound by B. Lopez
5:17.0,,,31-30,,B. Lopez misses 2-pt shot from 1 ft
5:16.0,Defensive rebound by N. Vucevic,,31-30,,
5:08.0,,,31-30,,Personal foul by T. Young (drawn by V. Oladipo)
5:08.0,Official timeout,,31-30,,
4:53.0,C. Frye makes 2-pt shot from 21 ft (assist by T. Harris),2,33-30,,
4:35.0,,,33-32,2,B. Lopez makes 2-pt shot from 3 ft (assist by D. Sloan)
4:17.0,Turnover by V. Oladipo (bad pass),,33-32,,
4:17.0,,,33-32,,S. Larkin enters the game for D. Sloan
4:06.0,,,33-32,,Turnover by B. Lopez (lost ball; steal by N. Vucevic)
4:00.0,Turnover by E. Fournier (bad pass; steal by T. Young),,33-32,,
3:51.0,,,33-35,3,J. Johnson makes 3-pt shot from 23 ft (assist by S. Larkin)
3:30.0,E. Fournier misses 3-pt shot from 26 ft,,33-35,,
3:29.0,,,33-35,,Defensive rebound by Team
3:06.0,,,33-35,,J. Johnson misses 2-pt shot from 14 ft (block by T. Harris)
3:05.0,,,33-35,,Offensive rebound by B. Lopez
3:02.0,,,33-35,,B. Lopez misses 2-pt shot from 5 ft
3:01.0,Defensive rebound by T. Harris,,33-35,,
2:47.0,,,33-35,,Brooklyn full timeout
2:47.0,M. Hezonja enters the game for E. Fournier,,33-35,,
2:39.0,V. Oladipo misses 2-pt shot from 1 ft,,33-35,,
2:38.0,,,33-35,,Defensive rebound by S. Larkin
2:21.0,,,33-35,,J. Johnson misses 2-pt shot from 5 ft
2:20.0,Defensive rebound by V. Oladipo,,33-35,,
2:08.0,N. Vucevic misses 2-pt shot from 9 ft,,33-35,,
2:07.0,,,33-35,,Defensive rebound by T. Young
1:54.0,,,33-35,,B. Lopez misses 2-pt shot from 7 ft
1:53.0,Defensive rebound by C. Frye,,33-35,,
1:30.0,C. Frye misses 3-pt shot from 25 ft,,33-35,,
1:30.0,,,33-35,,Defensive rebound by J. Johnson
1:23.0,,,33-35,,Shooting foul by C. Frye (drawn by T. Young)
1:23.0,,,33-36,1,T. Young makes free throw 1 of 2
1:23.0,A. Gordon enters the game for C. Frye,,33-36,,
1:23.0,,,33-36,,T. Young misses free throw 2 of 2
1:22.0,Defensive rebound by T. Harris,,33-36,,
1:07.0,Shooting foul by J. Johnson (drawn by T. Harris),,33-36,,
1:07.0,T. Harris misses free throw 1 of 2,,33-36,,
1:07.0,Offensive rebound by Team,,33-36,,
1:07.0,T. Harris makes free throw 2 of 2,1,34-36,,
0:58.0,,,34-36,,Turnover by J. Johnson (traveling)
0:41.0,V. Oladipo makes 3-pt shot from 24 ft (assist by M. Hezonja),3,37-36,,
0:31.0,,,37-38,2,S. Larkin makes 2-pt shot from 2 ft
0:31.0,,,37-38,,Shooting foul by V. Oladipo (drawn by S. Larkin)
0:31.0,,,37-38,,B. Bogdanovic enters the game for T. Young
0:31.0,,,37-38,,S. Larkin misses free throw 1 of 1
0:30.0,Defensive rebound by N. Vucevic,,37-38,,
0:11.0,Turnover by V. Oladipo (bad pass),,37-38,,
0:11.0,,,37-38,,W. Ellington enters the game for M. Brown
0:01.0,,,37-38,,B. Lopez misses 2-pt shot from 10 ft
0:00.0,,,37-38,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,V. Oladipo makes 3-pt shot from 24 ft (assist by T. Harris),3,40-38,,
11:20.0,Jump ball: B. Lopez vs. N. Vucevic (T. Young gains possession),,,,Jump ball: B. Lopez vs. N. Vucevic (T. Young gains possession)
11:13.0,,,40-41,3,J. Johnson makes 3-pt shot from 24 ft (assist by T. Young)
10:44.0,C. Frye misses 3-pt shot from 28 ft,,40-41,,
10:43.0,,,40-41,,Defensive rebound by T. Young
10:33.0,,,40-43,2,T. Young makes 2-pt shot from 4 ft
10:19.0,N. Vucevic misses 2-pt shot from 19 ft,,40-43,,
10:18.0,,,40-43,,Defensive rebound by T. Young
10:09.0,,,40-43,,Turnover by T. Young (bad pass; steal by V. Oladipo)
9:53.0,,,40-43,,Personal foul by J. Johnson (drawn by T. Harris)
9:44.0,T. Harris misses 2-pt shot from 19 ft,,40-43,,
9:42.0,,,40-43,,Defensive rebound by B. Bogdanovic
9:29.0,,,40-45,2,B. Lopez makes 2-pt shot from 9 ft (assist by S. Larkin)
9:13.0,N. Vucevic misses 2-pt shot from 19 ft,,40-45,,
9:12.0,,,40-45,,Defensive rebound by T. Young
9:04.0,,,40-45,,B. Bogdanovic misses 3-pt shot from 24 ft
9:03.0,Defensive rebound by T. Harris,,40-45,,
8:55.0,T. Harris misses 2-pt shot at rim,,40-45,,
8:54.0,Offensive rebound by N. Vucevic,,40-45,,
8:53.0,N. Vucevic makes 2-pt shot from 1 ft,2,42-45,,
8:31.0,,,42-47,2,S. Larkin makes 2-pt shot from 1 ft
8:16.0,T. Harris misses 3-pt shot from 24 ft,,42-47,,
8:15.0,,,42-47,,Defensive rebound by S. Larkin
8:04.0,,,42-47,,B. Lopez misses 2-pt shot from 11 ft
8:03.0,Defensive rebound by T. Harris,,42-47,,
7:46.0,N. Vucevic makes 2-pt shot at rim (assist by V. Oladipo),2,44-47,,
7:21.0,,,44-49,2,J. Johnson makes 2-pt shot from 12 ft
7:00.0,,,44-49,,Personal foul by T. Young (drawn by C. Frye)
6:56.0,,,44-49,,Personal foul by B. Bogdanovic (drawn by E. Fournier)
6:44.0,N. Vucevic misses 2-pt shot from 10 ft,,44-49,,
6:43.0,,,44-49,,Defensive rebound by S. Larkin
6:38.0,Personal block foul by T. Harris (drawn by J. Johnson),,44-49,,
6:34.0,Violation by V. Oladipo (kicked ball),,44-49,,
6:24.0,,,44-49,,T. Young misses 2-pt shot from 10 ft
6:23.0,Defensive rebound by Team,,44-49,,
6:23.0,,,44-49,,Loose ball foul by T. Young (drawn by V. Oladipo)
6:12.0,V. Oladipo misses 3-pt shot from 24 ft,,44-49,,
6:11.0,,,44-49,,Defensive rebound by J. Johnson
5:53.0,,,44-49,,Turnover by S. Larkin (lost ball; steal by E. Fournier)
5:48.0,E. Fournier makes 2-pt shot from 1 ft (assist by C. Frye),2,46-49,,
5:48.0,,,46-49,,Brooklyn full timeout
5:48.0,,,46-49,,W. Ellington enters the game for T. Young
5:34.0,,,46-49,,J. Johnson misses 3-pt shot from 24 ft
5:33.0,Defensive rebound by N. Vucevic,,46-49,,
5:16.0,N. Vucevic misses 2-pt shot from 9 ft,,46-49,,
5:15.0,,,46-49,,Defensive rebound by B. Lopez
5:09.0,,,46-49,,Turnover by S. Larkin (lost ball; steal by V. Oladipo)
5:04.0,T. Harris makes 2-pt shot from 2 ft (assist by E. Fournier),2,48-49,,
4:47.0,,,48-51,2,B. Lopez makes 2-pt shot from 7 ft
4:24.0,Turnover by V. Oladipo (lost ball),,48-51,,
4:24.0,A. Gordon enters the game for C. Frye,,48-51,,
4:24.0,,,48-51,,D. Sloan enters the game for S. Larkin
4:14.0,,,48-51,,Shooting foul by A. Gordon (drawn by B. Lopez)
4:14.0,,,48-52,1,B. Lopez makes free throw 1 of 2
4:14.0,,,48-53,1,B. Lopez makes free throw 2 of 2
3:56.0,N. Vucevic misses 2-pt shot from 7 ft,,48-53,,
3:55.0,,,48-53,,Defensive rebound by Team
3:55.0,M. Hezonja enters the game for E. Fournier,,48-53,,
3:40.0,,,48-53,,B. Bogdanovic misses 2-pt shot from 2 ft
3:39.0,Defensive rebound by V. Oladipo,,48-53,,
3:23.0,N. Vucevic makes 2-pt shot from 10 ft,2,50-53,,
3:04.0,,,50-53,,D. Sloan misses 3-pt shot from 24 ft
3:03.0,Defensive rebound by T. Harris,,50-53,,
2:56.0,T. Harris misses 2-pt shot from 1 ft,,50-53,,
2:55.0,Offensive rebound by N. Vucevic,,50-53,,
2:54.0,N. Vucevic makes 2-pt shot from 1 ft,2,52-53,,
2:34.0,,,52-56,3,W. Ellington makes 3-pt shot from 23 ft (assist by J. Johnson)
2:18.0,N. Vucevic makes 2-pt shot at rim (assist by V. Oladipo),2,54-56,,
1:53.0,,,54-56,,Turnover by B. Lopez (traveling)
1:53.0,Orlando full timeout,,54-56,,
1:53.0,S. Napier enters the game for V. Oladipo,,54-56,,
1:53.0,,,54-56,,W. Reed enters the game for B. Lopez
1:34.0,T. Harris misses 2-pt shot from 1 ft,,54-56,,
1:33.0,Offensive rebound by N. Vucevic,,54-56,,
1:32.0,N. Vucevic misses 2-pt shot from 2 ft,,54-56,,
1:30.0,Offensive rebound by N. Vucevic,,54-56,,
1:29.0,N. Vucevic makes 2-pt shot from 2 ft,2,56-56,,
1:29.0,Shooting foul by B. Bogdanovic (drawn by N. Vucevic),,56-56,,
1:29.0,,,56-56,,T. Robinson enters the game for B. Bogdanovic
1:29.0,N. Vucevic makes free throw 1 of 1,1,57-56,,
1:08.0,Personal foul by T. Harris (drawn by W. Reed),,57-56,,
1:03.0,,,57-56,,D. Sloan misses 2-pt shot from 3 ft (block by N. Vucevic)
1:02.0,Defensive rebound by N. Vucevic,,57-56,,
0:57.0,A. Gordon makes 3-pt shot from 22 ft (assist by T. Harris),3,60-56,,
0:33.0,,,60-59,3,J. Johnson makes 3-pt shot from 25 ft (assist by T. Robinson)
0:14.0,S. Napier misses 2-pt shot from 19 ft,,60-59,,
0:13.0,,,60-59,,Defensive rebound by W. Ellington
0:03.0,,,60-59,,Turnover by W. Reed (lost ball)
0:02.0,Turnover by M. Hezonja (lost ball),,60-59,,
0:01.0,,,60-62,3,W. Ellington makes 3-pt shot from 28 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,60-62,,W. Ellington misses 3-pt shot from 25 ft
11:43.0,Defensive rebound by J. Smith,,60-62,,
11:22.0,J. Smith misses 2-pt shot from 21 ft,,60-62,,
11:21.0,,,60-62,,Defensive rebound by T. Robinson
11:14.0,,,60-64,2,T. Robinson makes 2-pt shot at rim (assist by D. Sloan)
11:02.0,J. Smith misses 2-pt shot from 17 ft,,60-64,,
11:01.0,,,60-64,,Defensive rebound by W. Reed
10:54.0,Shooting block foul by J. Smith (drawn by D. Sloan),,60-64,,
10:54.0,,,60-64,,D. Sloan misses free throw 1 of 2
10:54.0,,,60-64,,Offensive rebound by Team
10:54.0,,,60-64,,B. Bogdanovic enters the game for J. Johnson
10:54.0,,,60-64,,D. Sloan misses free throw 2 of 2
10:53.0,Defensive rebound by T. Harris,,60-64,,
10:38.0,M. Hezonja makes 3-pt shot from 24 ft (assist by A. Gordon),3,63-64,,
10:22.0,,,63-64,,W. Ellington misses 2-pt shot from 15 ft
10:21.0,Defensive rebound by S. Napier,,63-64,,
10:12.0,A. Gordon makes 3-pt shot from 24 ft (assist by J. Smith),3,66-64,,
10:11.0,,,66-64,,Brooklyn full timeout
10:11.0,,,66-64,,M. Brown enters the game for W. Ellington
10:11.0,,,66-64,,T. Young enters the game for T. Robinson
9:56.0,Shooting block foul by M. Hezonja (drawn by M. Brown),,66-64,,
9:56.0,,,66-64,,M. Brown misses free throw 1 of 2
9:56.0,,,66-64,,Offensive rebound by Team
9:56.0,,,66-65,1,M. Brown makes free throw 2 of 2
9:37.0,A. Gordon misses 2-pt shot from 5 ft,,66-65,,
9:36.0,,,66-65,,Defensive rebound by M. Brown
9:23.0,,,66-65,,Offensive charge foul by T. Young
9:23.0,,,66-65,,Turnover by T. Young (offensive foul)
9:23.0,,,66-65,,J. Johnson enters the game for T. Young
9:07.0,J. Smith makes 2-pt shot from 18 ft (assist by T. Harris),2,68-65,,
8:52.0,,,68-65,,B. Bogdanovic misses 2-pt shot from 18 ft
8:51.0,Defensive rebound by T. Harris,,68-65,,
8:50.0,,,68-65,,Personal foul by W. Reed (drawn by J. Smith)
8:50.0,,,68-65,,B. Lopez enters the game for W. Reed
8:36.0,J. Smith misses 2-pt shot from 19 ft,,68-65,,
8:35.0,,,68-65,,Defensive rebound by D. Sloan
8:26.0,,,68-65,,B. Lopez misses 2-pt shot from 8 ft
8:25.0,Defensive rebound by M. Hezonja,,68-65,,
8:13.0,Turnover by T. Harris (traveling),,68-65,,
7:50.0,,,68-65,,J. Johnson misses 2-pt shot from 9 ft (block by T. Harris)
7:49.0,,,68-65,,Offensive rebound by M. Brown
7:48.0,,,68-65,,Turnover by Team (shot clock)
7:38.0,J. Smith misses 2-pt shot from 17 ft,,68-65,,
7:37.0,,,68-65,,Defensive rebound by J. Johnson
7:34.0,Personal foul by J. Smith (drawn by B. Lopez),,68-65,,
7:34.0,,,68-65,,S. Larkin enters the game for D. Sloan
7:34.0,N. Vucevic enters the game for M. Hezonja,,68-65,,
7:34.0,V. Oladipo enters the game for J. Smith,,68-65,,
7:34.0,E. Fournier enters the game for S. Napier,,68-65,,
7:27.0,,,68-65,,Shooting foul by A. Gordon (drawn by B. Lopez)
7:27.0,,,68-66,1,B. Lopez makes free throw 1 of 2
7:27.0,,,68-66,,B. Lopez misses free throw 2 of 2
7:26.0,Defensive rebound by A. Gordon,,68-66,,
7:06.0,Turnover by N. Vucevic (bad pass),,68-66,,
6:52.0,,,68-66,,B. Lopez misses 2-pt shot from 10 ft
6:51.0,,,68-66,,Offensive rebound by B. Lopez
6:48.0,,,68-68,2,B. Lopez makes 2-pt shot from 9 ft
6:26.0,N. Vucevic misses 2-pt shot from 15 ft,,68-68,,
6:24.0,Offensive rebound by T. Harris,,68-68,,
6:23.0,T. Harris misses 2-pt shot from 5 ft,,68-68,,
6:22.0,Offensive rebound by A. Gordon,,68-68,,
6:21.0,A. Gordon makes 2-pt shot from 2 ft,2,70-68,,
6:10.0,,,70-68,,Turnover by S. Larkin (lost ball)
5:52.0,V. Oladipo makes 3-pt shot from 24 ft (assist by N. Vucevic),3,73-68,,
5:51.0,,,73-68,,Brooklyn full timeout
5:37.0,,,73-68,,J. Johnson misses 3-pt shot from 24 ft
5:36.0,Defensive rebound by A. Gordon,,73-68,,
5:20.0,V. Oladipo misses 3-pt shot from 24 ft,,73-68,,
5:19.0,,,73-68,,Defensive rebound by M. Brown
5:09.0,,,73-68,,M. Brown misses 2-pt shot at rim
5:08.0,,,73-68,,Offensive rebound by B. Lopez
5:06.0,,,73-68,,Shooting foul by T. Harris (drawn by B. Lopez)
5:06.0,,,73-69,1,B. Lopez makes free throw 1 of 2
5:06.0,,,73-69,,T. Young enters the game for M. Brown
5:06.0,,,73-69,,W. Ellington enters the game for B. Bogdanovic
5:06.0,,,73-69,,B. Lopez misses free throw 2 of 2
5:05.0,Defensive rebound by V. Oladipo,,73-69,,
4:48.0,N. Vucevic misses 2-pt shot from 8 ft,,73-69,,
4:47.0,Offensive rebound by N. Vucevic,,73-69,,
4:33.0,E. Fournier makes 3-pt shot from 24 ft (assist by T. Harris),3,76-69,,
4:15.0,,,76-69,,Shooting foul by N. Vucevic (drawn by B. Lopez)
4:15.0,,,76-69,,B. Lopez misses free throw 1 of 2
4:15.0,,,76-69,,Offensive rebound by Team
4:15.0,,,76-69,,M. Brown enters the game for W. Ellington
4:15.0,,,76-70,1,B. Lopez makes free throw 2 of 2
3:55.0,V. Oladipo misses 2-pt shot from 2 ft,,76-70,,
3:54.0,Offensive rebound by Team,,76-70,,
3:54.0,,,76-70,,Loose ball foul by J. Johnson (drawn by T. Harris)
3:54.0,Orlando full timeout,,76-70,,
3:48.0,T. Harris misses 2-pt shot from 1 ft,,76-70,,
3:47.0,Offensive rebound by E. Fournier,,76-70,,
3:39.0,,,76-70,,Personal foul by M. Brown (drawn by E. Fournier)
3:25.0,A. Gordon makes 2-pt shot at rim (assist by T. Harris),2,78-70,,
3:09.0,,,78-72,2,B. Lopez makes 2-pt shot from 1 ft (assist by S. Larkin)
2:42.0,V. Oladipo makes 3-pt shot from 24 ft (assist by T. Harris),3,81-72,,
2:19.0,,,81-72,,M. Brown misses 3-pt shot from 25 ft
2:18.0,Defensive rebound by A. Gordon,,81-72,,
1:57.0,A. Gordon makes 2-pt shot at rim (assist by N. Vucevic),2,83-72,,
1:49.0,,,83-74,2,T. Young makes 2-pt shot from 1 ft
1:28.0,T. Harris misses 2-pt shot from 4 ft (block by B. Lopez),,83-74,,
1:27.0,,,83-74,,Defensive rebound by Team
1:27.0,,,83-74,,W. Ellington enters the game for M. Brown
1:16.0,,,83-74,,J. Johnson misses 3-pt shot from 24 ft
1:14.0,,,83-74,,Offensive rebound by W. Ellington
1:09.0,,,83-74,,S. Larkin misses 3-pt shot from 24 ft
1:08.0,Defensive rebound by T. Harris,,83-74,,
0:51.0,E. Fournier misses 3-pt shot from 25 ft,,83-74,,
0:50.0,,,83-74,,Defensive rebound by S. Larkin
0:43.0,,,83-74,,S. Larkin misses 3-pt shot from 23 ft
0:42.0,Defensive rebound by V. Oladipo,,83-74,,
0:20.0,Turnover by N. Vucevic (bad pass),,83-74,,
