time,Minnesota,pts.away,score,pts.home,LA Clippers
3:02.0,Offensive rebound by A. Payne,,15-17,,
3:02.0,,,15-17,,Personal foul by C. Paul (drawn by A. Payne)
3:02.0,G. Dieng enters the game for K. Martin,,15-17,,
3:02.0,S. Muhammad enters the game for K. Towns,,15-17,,
3:02.0,,,15-17,,J. Crawford enters the game for J. Redick
3:02.0,,,15-17,,A. Rivers enters the game for C. Paul
3:02.0,,,15-17,,J. Smith enters the game for D. Jordan
2:53.0,Z. LaVine misses 2-pt shot from 15 ft,,15-17,,
2:52.0,Offensive rebound by S. Muhammad,,15-17,,
2:35.0,A. Wiggins misses 2-pt shot from 4 ft,,15-17,,
2:34.0,Offensive rebound by G. Dieng,,15-17,,
2:33.0,G. Dieng misses 2-pt shot from 2 ft,,15-17,,
2:32.0,,,15-17,,Defensive rebound by J. Smith
2:30.0,,,15-17,,Turnover by B. Griffin (bad pass)
2:30.0,,,15-17,,LA Clippers full timeout
2:30.0,A. Miller enters the game for Z. LaVine,,15-17,,
2:11.0,A. Miller misses 2-pt shot from 2 ft,,15-17,,
2:08.0,,,15-17,,Defensive rebound by J. Smith
2:00.0,,,15-19,2,J. Smith makes 2-pt shot from 4 ft
1:44.0,,,15-19,,Personal foul by A. Rivers (drawn by S. Muhammad)
1:44.0,T. Prince enters the game for A. Wiggins,,15-19,,
1:37.0,S. Muhammad makes 2-pt shot from 22 ft (assist by A. Miller),2,17-19,,
1:22.0,Personal foul by A. Payne (drawn by B. Griffin),,17-19,,
1:11.0,,,17-19,,Shooting foul by A. Payne (drawn by B. Griffin)
1:11.0,,,17-20,1,B. Griffin makes free throw 1 of 2
1:11.0,,,17-20,,B. Griffin misses free throw 2 of 2
1:09.0,Defensive rebound by G. Dieng,,17-20,,
0:57.0,A. Payne misses 2-pt shot from 13 ft (block by J. Smith),,17-20,,
0:55.0,,,17-20,,Defensive rebound by W. Johnson
0:47.0,,,17-20,,A. Rivers misses 3-pt shot from 23 ft
0:46.0,Defensive rebound by G. Dieng,,17-20,,
0:38.0,Shooting foul by J. Crawford (drawn by A. Miller),,17-20,,
0:38.0,A. Miller makes free throw 1 of 2,1,18-20,,
0:38.0,,,18-20,,L. Stephenson enters the game for W. Johnson
0:38.0,,,18-20,,P. Pierce enters the game for B. Griffin
0:38.0,A. Miller makes free throw 2 of 2,1,19-20,,
0:26.0,,,19-20,,J. Crawford misses 3-pt shot from 24 ft
0:25.0,,,19-20,,Offensive rebound by A. Rivers
0:03.0,,,19-23,3,L. Stephenson makes 3-pt shot from 24 ft (assist by J. Crawford)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,S. Muhammad misses 2-pt shot from 7 ft,,19-23,,
11:37.0,,,19-23,,Defensive rebound by L. Stephenson
11:24.0,,,19-25,2,J. Smith makes 2-pt shot from 8 ft
11:02.0,A. Miller misses 2-pt shot from 1 ft,,19-25,,
10:59.0,,,19-25,,Defensive rebound by J. Smith
10:45.0,,,19-25,,P. Pierce misses 3-pt shot from 25 ft
10:45.0,Defensive rebound by G. Dieng,,19-25,,
10:33.0,,,19-25,,Personal foul by J. Smith (drawn by G. Dieng)
10:20.0,T. Prince misses 2-pt shot from 9 ft,,19-25,,
10:18.0,,,19-25,,Defensive rebound by L. Stephenson
10:10.0,,,19-27,2,P. Pierce makes 2-pt shot from 15 ft
9:49.0,Offensive foul by G. Dieng,,19-27,,
9:49.0,Turnover by G. Dieng (offensive foul),,19-27,,
9:36.0,,,19-29,2,A. Rivers makes 2-pt shot from 3 ft
9:32.0,Minnesota full timeout,,19-29,,
9:17.0,A. Miller misses 2-pt shot from 8 ft,,19-29,,
9:15.0,,,19-29,,Defensive rebound by P. Pierce
8:58.0,,,19-29,,A. Rivers misses 2-pt shot from 2 ft
8:57.0,Defensive rebound by G. Dieng,,19-29,,
8:39.0,G. Dieng makes 2-pt shot from 4 ft,2,21-29,,
8:18.0,,,21-29,,J. Smith misses 2-pt shot from 21 ft
8:17.0,,,21-29,,Offensive rebound by A. Rivers
8:07.0,,,21-29,,Turnover by J. Smith (bad pass; steal by G. Dieng)
8:00.0,S. Muhammad makes 2-pt shot at rim (assist by A. Miller),2,23-29,,
7:42.0,,,23-29,,J. Crawford misses 2-pt shot from 3 ft
7:42.0,,,23-29,,Offensive rebound by Team
7:42.0,,,23-29,,J. Redick enters the game for J. Crawford
7:42.0,,,23-29,,D. Jordan enters the game for J. Smith
7:32.0,,,23-29,,P. Pierce misses 3-pt shot from 27 ft
7:32.0,Defensive rebound by G. Dieng,,23-29,,
7:12.0,A. Miller makes 2-pt shot from 1 ft (assist by G. Dieng),2,25-29,,
6:53.0,,,25-29,,A. Rivers misses 3-pt shot from 26 ft
6:53.0,,,25-29,,Offensive rebound by D. Jordan
6:53.0,,,25-29,,LA Clippers full timeout
6:53.0,,,25-29,,C. Paul enters the game for A. Rivers
6:53.0,,,25-29,,B. Griffin enters the game for P. Pierce
6:53.0,A. Wiggins enters the game for T. Prince,,25-29,,
6:38.0,,,25-29,,C. Paul misses 3-pt shot from 26 ft
6:38.0,Defensive rebound by S. Muhammad,,25-29,,
6:27.0,Turnover by A. Miller (bad pass),,25-29,,
6:15.0,,,25-29,,Shooting foul by N. Bjelica (drawn by B. Griffin)
6:15.0,,,25-29,,B. Griffin misses free throw 1 of 2
6:15.0,,,25-29,,Offensive rebound by Team
6:15.0,,,25-30,1,B. Griffin makes free throw 2 of 2
6:01.0,Turnover by A. Miller (bad pass; steal by L. Stephenson),,25-30,,
5:51.0,,,25-32,2,B. Griffin makes 2-pt shot from 2 ft (assist by L. Stephenson)
5:40.0,Turnover by A. Miller (bad pass; steal by D. Jordan),,25-32,,
5:34.0,,,25-34,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
5:23.0,Minnesota full timeout,,25-34,,
5:23.0,K. Towns enters the game for G. Dieng,,25-34,,
5:23.0,K. Martin enters the game for S. Muhammad,,25-34,,
5:23.0,Z. LaVine enters the game for A. Miller,,25-34,,
5:05.0,N. Bjelica makes 3-pt shot from 26 ft (assist by Z. LaVine),3,28-34,,
4:48.0,,,28-36,2,J. Redick makes 2-pt shot from 22 ft (assist by C. Paul)
4:37.0,Offensive foul by K. Towns,,28-36,,
4:37.0,Turnover by K. Towns (offensive foul),,28-36,,
4:28.0,,,28-36,,Turnover by B. Griffin (bad pass; steal by K. Towns)
4:15.0,A. Wiggins makes 2-pt shot from 2 ft,2,30-36,,
4:06.0,Personal foul by K. Martin (drawn by J. Redick),,30-36,,
4:06.0,K. Garnett enters the game for N. Bjelica,,30-36,,
4:00.0,,,30-36,,Shooting foul by Z. LaVine (drawn by C. Paul)
4:00.0,,,30-37,1,C. Paul makes free throw 1 of 2
4:00.0,,,30-38,1,C. Paul makes free throw 2 of 2
3:46.0,Z. LaVine misses 2-pt shot from 2 ft (block by B. Griffin),,30-38,,
3:44.0,,,30-38,,Defensive rebound by D. Jordan
3:38.0,,,30-40,2,C. Paul makes 2-pt shot from 15 ft (assist by L. Stephenson)
3:29.0,Technical foul by Team,,30-40,,
3:29.0,,,30-41,1,J. Redick makes technical free throw
3:22.0,A. Wiggins misses 2-pt shot from 20 ft,,30-41,,
3:22.0,Offensive rebound by K. Garnett,,30-41,,
3:22.0,K. Garnett misses 2-pt shot at rim,,30-41,,
3:22.0,Offensive rebound by Team,,30-41,,
3:18.0,Shooting foul by D. Jordan (drawn by K. Towns),,30-41,,
3:18.0,K. Towns misses free throw 1 of 2,,30-41,,
3:18.0,Offensive rebound by Team,,30-41,,
3:18.0,K. Towns misses free throw 2 of 2,,30-41,,
3:17.0,,,30-41,,Defensive rebound by D. Jordan
2:55.0,,,30-41,,L. Stephenson misses 2-pt shot from 3 ft
2:55.0,,,30-41,,Offensive rebound by L. Stephenson
2:51.0,,,30-43,2,L. Stephenson makes 2-pt shot from 1 ft
2:44.0,Turnover by A. Wiggins (traveling),,30-43,,
2:44.0,Official timeout,,30-43,,
2:28.0,,,30-43,,Turnover by C. Paul (bad pass; steal by K. Towns)
2:08.0,K. Towns makes 2-pt shot from 8 ft (assist by K. Garnett),2,32-43,,
1:56.0,Def 3 sec tech foul by K. Towns,,32-43,,
1:56.0,,,32-44,1,J. Redick makes technical free throw
1:44.0,,,32-44,,C. Paul misses 2-pt shot from 17 ft
1:43.0,,,32-44,,Offensive rebound by L. Stephenson
1:29.0,,,32-44,,Shooting foul by A. Wiggins (drawn by L. Stephenson)
1:29.0,,,32-45,1,L. Stephenson makes free throw 1 of 2
1:29.0,,,32-46,1,L. Stephenson makes free throw 2 of 2
1:24.0,,,32-46,,Personal foul by C. Paul (drawn by K. Martin)
1:13.0,Z. LaVine misses 2-pt shot from 13 ft,,32-46,,
1:11.0,,,32-46,,Defensive rebound by B. Griffin
1:02.0,,,32-48,2,C. Paul makes 2-pt shot from 2 ft
0:52.0,,,32-48,,Personal foul by L. Stephenson (drawn by A. Wiggins)
0:52.0,A. Wiggins makes free throw 1 of 2,1,33-48,,
0:52.0,A. Wiggins makes free throw 2 of 2,1,34-48,,
0:44.0,,,34-48,,J. Redick misses 3-pt shot from 23 ft
0:43.0,Defensive rebound by K. Garnett,,34-48,,
0:29.0,A. Wiggins misses 3-pt shot from 26 ft,,34-48,,
0:29.0,Offensive rebound by K. Towns,,34-48,,
0:25.0,Z. LaVine makes 3-pt shot from 25 ft,3,37-48,,
0:20.0,Personal take foul by K. Martin (drawn by D. Jordan),,37-48,,
0:20.0,,,37-48,,D. Jordan misses free throw 1 of 2
0:20.0,,,37-48,,Offensive rebound by Team
0:20.0,,,37-48,,A. Rivers enters the game for C. Paul
0:20.0,,,37-48,,L. Mbah a Moute enters the game for J. Redick
0:20.0,,,37-48,,D. Jordan misses free throw 2 of 2
0:20.0,Defensive rebound by Team,,37-48,,
0:01.0,A. Wiggins misses 2-pt shot from 19 ft,,37-48,,
0:00.0,Offensive rebound by Team,,37-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,K. Towns makes 2-pt shot from 19 ft (assist by Z. LaVine),2,39-48,,
11:22.0,,,39-48,,J. Redick misses 3-pt shot from 27 ft
11:22.0,Defensive rebound by K. Towns,,39-48,,
11:07.0,K. Garnett misses 2-pt shot from 5 ft (block by L. Mbah a Moute),,39-48,,
11:05.0,Offensive rebound by K. Garnett,,39-48,,
11:05.0,K. Garnett misses 2-pt shot from 19 ft,,39-48,,
11:02.0,,,39-48,,Defensive rebound by Team
10:51.0,,,39-48,,C. Paul misses 2-pt shot from 17 ft
10:50.0,Defensive rebound by K. Garnett,,39-48,,
10:40.0,K. Towns makes 2-pt shot from 22 ft (assist by Z. LaVine),2,41-48,,
10:25.0,,,41-51,3,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by C. Paul)
10:12.0,Z. LaVine makes 3-pt shot from 27 ft (assist by K. Garnett),3,44-51,,
9:52.0,,,44-53,2,J. Redick makes 2-pt shot from 18 ft (assist by C. Paul)
9:43.0,Turnover by K. Garnett (bad pass),,44-53,,
9:38.0,,,44-53,,Offensive foul by J. Redick
9:38.0,,,44-53,,Turnover by J. Redick (offensive foul)
9:26.0,Z. LaVine makes 2-pt shot from 17 ft,2,46-53,,
9:12.0,Personal foul by Z. LaVine (drawn by J. Redick),,46-53,,
8:58.0,,,46-53,,B. Griffin misses 2-pt shot from 21 ft
8:58.0,Defensive rebound by K. Martin,,46-53,,
8:46.0,K. Towns misses 3-pt shot from 24 ft,,46-53,,
8:45.0,,,46-53,,Defensive rebound by B. Griffin
8:27.0,,,46-53,,B. Griffin misses 2-pt shot from 16 ft
8:27.0,,,46-53,,Offensive rebound by L. Mbah a Moute
8:27.0,,,46-53,,Shooting foul by K. Garnett (drawn by L. Mbah a Moute)
8:27.0,,,46-54,1,L. Mbah a Moute makes free throw 1 of 2
8:27.0,,,46-54,,L. Mbah a Moute misses free throw 2 of 2
8:26.0,Defensive rebound by K. Garnett,,46-54,,
8:13.0,A. Wiggins makes 2-pt shot from 2 ft,2,48-54,,
8:13.0,Shooting foul by D. Jordan (drawn by A. Wiggins),,48-54,,
8:13.0,A. Wiggins makes free throw 1 of 1,1,49-54,,
8:02.0,,,49-56,2,J. Redick makes 2-pt shot from 18 ft (assist by C. Paul)
7:49.0,A. Wiggins makes 3-pt shot from 26 ft,3,52-56,,
7:31.0,,,52-56,,L. Mbah a Moute misses 2-pt shot from 4 ft (block by K. Towns)
7:28.0,Defensive rebound by K. Towns,,52-56,,
7:22.0,K. Garnett misses 2-pt shot from 7 ft,,52-56,,
7:20.0,,,52-56,,Defensive rebound by B. Griffin
7:11.0,,,52-56,,C. Paul misses 2-pt shot from 12 ft
7:09.0,Defensive rebound by K. Garnett,,52-56,,
7:06.0,Minnesota full timeout,,52-56,,
7:06.0,A. Payne enters the game for K. Garnett,,52-56,,
6:48.0,A. Payne misses 2-pt shot from 21 ft,,52-56,,
6:48.0,Offensive rebound by Team,,52-56,,
6:48.0,Turnover by Team (shot clock),,52-56,,
6:34.0,,,52-58,2,C. Paul makes 2-pt shot from 2 ft
6:14.0,Turnover by A. Payne (3 sec),,52-58,,
5:59.0,,,52-58,,L. Mbah a Moute misses 3-pt shot from 23 ft
5:58.0,Defensive rebound by Z. LaVine,,52-58,,
5:45.0,A. Payne misses 2-pt shot from 11 ft,,52-58,,
5:44.0,,,52-58,,Defensive rebound by D. Jordan
5:40.0,,,52-58,,Shooting foul by A. Wiggins (drawn by B. Griffin)
5:40.0,,,52-59,1,B. Griffin makes free throw 1 of 2
5:40.0,,,52-60,1,B. Griffin makes free throw 2 of 2
5:22.0,K. Martin misses 2-pt shot from 15 ft,,52-60,,
5:21.0,,,52-60,,Defensive rebound by B. Griffin
5:14.0,,,52-63,3,J. Redick makes 3-pt shot from 25 ft (assist by B. Griffin)
5:01.0,Z. LaVine makes 2-pt shot from 2 ft,2,54-63,,
4:50.0,,,54-65,2,B. Griffin makes 2-pt shot from 2 ft (assist by L. Mbah a Moute)
4:36.0,,,54-65,,Personal foul by B. Griffin (drawn by A. Payne)
4:36.0,N. Bjelica enters the game for A. Payne,,54-65,,
4:26.0,K. Towns makes 2-pt shot from 17 ft (assist by Z. LaVine),2,56-65,,
4:09.0,,,56-67,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
3:46.0,Shooting foul by L. Mbah a Moute (drawn by A. Wiggins),,56-67,,
3:46.0,A. Wiggins misses free throw 1 of 2,,56-67,,
3:46.0,Offensive rebound by Team,,56-67,,
3:46.0,,,56-67,,A. Rivers enters the game for C. Paul
3:46.0,,,56-67,,J. Smith enters the game for D. Jordan
3:46.0,A. Wiggins makes free throw 2 of 2,1,57-67,,
3:28.0,,,57-69,2,J. Redick makes 2-pt shot from 14 ft (assist by B. Griffin)
3:04.0,K. Towns misses 2-pt shot from 11 ft,,57-69,,
3:01.0,,,57-69,,Defensive rebound by J. Redick
2:53.0,Personal foul by K. Martin (drawn by J. Redick),,57-69,,
2:53.0,,,57-69,,LA Clippers full timeout
2:53.0,,,57-69,,J. Crawford enters the game for L. Mbah a Moute
2:53.0,,,57-69,,L. Stephenson enters the game for J. Redick
2:53.0,S. Muhammad enters the game for K. Towns,,57-69,,
2:53.0,A. Miller enters the game for K. Martin,,57-69,,
2:53.0,G. Dieng enters the game for Z. LaVine,,57-69,,
2:39.0,,,57-69,,B. Griffin misses 2-pt shot from 17 ft
2:36.0,Defensive rebound by S. Muhammad,,57-69,,
2:16.0,S. Muhammad misses 3-pt shot from 25 ft,,57-69,,
2:15.0,,,57-69,,Defensive rebound by B. Griffin
1:59.0,,,57-71,2,L. Stephenson makes 2-pt shot from 3 ft
1:42.0,A. Wiggins misses 2-pt shot from 2 ft,,57-71,,
1:40.0,,,57-71,,Defensive rebound by J. Smith
1:32.0,,,57-71,,Turnover by J. Crawford (bad pass)
1:16.0,N. Bjelica makes 2-pt shot from 2 ft (assist by A. Wiggins),2,59-71,,
0:59.0,,,59-71,,B. Griffin misses 2-pt shot from 16 ft
0:58.0,Defensive rebound by N. Bjelica,,59-71,,
0:45.0,A. Miller makes 2-pt shot from 1 ft (assist by G. Dieng),2,61-71,,
0:35.0,,,61-71,,Turnover by J. Crawford (lost ball; steal by A. Miller)
0:29.0,Turnover by S. Muhammad (traveling),,61-71,,
0:29.0,T. Prince enters the game for A. Wiggins,,61-71,,
0:10.0,,,61-71,,Turnover by J. Crawford (bad pass)
0:01.0,,,61-71,,Personal foul by J. Smith (drawn by G. Dieng)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,61-73,2,A. Rivers makes 2-pt shot from 3 ft
11:22.0,S. Muhammad misses 2-pt shot from 8 ft,,61-73,,
11:22.0,,,61-73,,Defensive rebound by J. Smith
11:18.0,,,61-73,,L. Stephenson misses 2-pt shot from 2 ft (block by G. Dieng)
11:18.0,,,61-73,,Offensive rebound by Team
11:03.0,,,61-73,,J. Crawford misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by N. Bjelica,,61-73,,
10:50.0,A. Miller makes 2-pt shot from 4 ft,2,63-73,,
10:35.0,,,63-73,,L. Stephenson misses 2-pt shot from 22 ft
10:34.0,Defensive rebound by G. Dieng,,63-73,,
10:30.0,,,63-73,,Personal foul by A. Rivers (drawn by A. Miller)
10:22.0,S. Muhammad misses 3-pt shot from 25 ft,,63-73,,
10:21.0,,,63-73,,Defensive rebound by L. Stephenson
10:14.0,Personal block foul by A. Miller (drawn by A. Rivers),,63-73,,
10:07.0,,,63-76,3,P. Pierce makes 3-pt shot from 26 ft (assist by J. Crawford)
9:51.0,Shooting foul by P. Pierce (drawn by S. Muhammad),,63-76,,
9:51.0,S. Muhammad makes free throw 1 of 2,1,64-76,,
9:51.0,S. Muhammad makes free throw 2 of 2,1,65-76,,
9:29.0,,,65-78,2,P. Pierce makes 2-pt shot from 16 ft
9:18.0,,,65-78,,Def 3 sec tech foul by J. Smith
9:18.0,A. Miller makes technical free throw,1,66-78,,
9:18.0,A. Wiggins enters the game for T. Prince,,66-78,,
9:11.0,G. Dieng misses 2-pt shot from 17 ft,,66-78,,
9:10.0,,,66-78,,Defensive rebound by L. Stephenson
9:04.0,,,66-81,3,P. Pierce makes 3-pt shot from 27 ft (assist by L. Stephenson)
8:51.0,A. Miller makes 2-pt shot from 4 ft,2,68-81,,
8:32.0,,,68-81,,P. Pierce misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by G. Dieng,,68-81,,
8:30.0,,,68-81,,Personal foul by L. Stephenson (drawn by S. Muhammad)
8:30.0,Official timeout,,68-81,,
8:30.0,Z. LaVine enters the game for S. Muhammad,,68-81,,
8:23.0,,,68-81,,Personal foul by P. Pierce (drawn by A. Miller)
8:06.0,G. Dieng makes 2-pt shot from 1 ft (assist by N. Bjelica),2,70-81,,
7:51.0,,,70-81,,P. Pierce misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by G. Dieng,,70-81,,
7:48.0,N. Bjelica makes 2-pt shot from 2 ft (assist by A. Miller),2,72-81,,
7:48.0,,,72-81,,LA Clippers full timeout
7:48.0,,,72-81,,C. Paul enters the game for A. Rivers
7:48.0,,,72-81,,D. Jordan enters the game for L. Stephenson
7:48.0,,,72-81,,J. Redick enters the game for P. Pierce
7:26.0,,,72-81,,J. Crawford misses 2-pt shot from 20 ft
7:26.0,Defensive rebound by A. Miller,,72-81,,
7:08.0,G. Dieng makes 2-pt shot at rim (assist by A. Wiggins),2,74-81,,
6:47.0,Loose ball foul by N. Bjelica (drawn by J. Smith),,74-81,,
6:47.0,,,74-81,,L. Mbah a Moute enters the game for J. Smith
6:47.0,,,74-81,,B. Griffin enters the game for J. Crawford
6:30.0,,,74-84,3,B. Griffin makes 3-pt shot from 24 ft
6:02.0,N. Bjelica makes 3-pt shot from 26 ft (assist by A. Miller),3,77-84,,
5:44.0,,,77-86,2,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul)
5:26.0,Z. LaVine makes 3-pt shot from 26 ft,3,80-86,,
5:07.0,,,80-88,2,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul)
4:41.0,A. Wiggins makes 2-pt shot from 4 ft,2,82-88,,
4:26.0,,,82-88,,B. Griffin misses 2-pt shot from 18 ft
4:25.0,Defensive rebound by Team,,82-88,,
4:12.0,Minnesota full timeout,,82-88,,
4:03.0,Shooting foul by L. Mbah a Moute (drawn by A. Wiggins),,82-88,,
4:03.0,A. Wiggins misses free throw 1 of 2,,82-88,,
4:03.0,Offensive rebound by Team,,82-88,,
4:03.0,A. Wiggins makes free throw 2 of 2,1,83-88,,
3:45.0,,,83-91,3,J. Redick makes 3-pt shot from 25 ft (assist by B. Griffin)
3:24.0,Turnover by A. Wiggins (lost ball; steal by L. Mbah a Moute),,83-91,,
3:09.0,,,83-93,2,C. Paul makes 2-pt shot from 17 ft
2:52.0,Z. LaVine misses 2-pt shot from 4 ft (block by D. Jordan),,83-93,,
2:51.0,,,83-93,,Defensive rebound by D. Jordan
2:42.0,,,83-93,,Shooting foul by G. Dieng (drawn by B. Griffin)
2:42.0,,,83-95,2,B. Griffin makes 2-pt shot from 2 ft
2:42.0,Minnesota full timeout,,83-95,,
2:42.0,K. Towns enters the game for N. Bjelica,,83-95,,
2:42.0,S. Muhammad enters the game for A. Miller,,83-95,,
2:42.0,,,83-96,1,B. Griffin makes free throw 1 of 1
2:29.0,,,83-96,,Personal foul by B. Griffin (drawn by G. Dieng)
2:29.0,G. Dieng makes free throw 1 of 2,1,84-96,,
2:29.0,G. Dieng makes free throw 2 of 2,1,85-96,,
2:29.0,Personal take foul by K. Towns (drawn by D. Jordan),,85-96,,
2:27.0,Personal take foul by K. Towns (drawn by D. Jordan),,85-96,,
2:27.0,,,85-96,,D. Jordan misses free throw 1 of 2
2:27.0,,,85-96,,Offensive rebound by Team
2:27.0,,,85-97,1,D. Jordan makes free throw 2 of 2
2:18.0,K. Towns makes 3-pt shot from 26 ft (assist by Z. LaVine),3,88-97,,
2:14.0,Personal take foul by Z. LaVine (drawn by D. Jordan),,88-97,,
2:14.0,,,88-98,1,D. Jordan makes free throw 1 of 2
2:14.0,,,88-98,,D. Jordan misses free throw 2 of 2
2:13.0,,,88-98,,Offensive rebound by L. Mbah a Moute
2:12.0,Personal take foul by S. Muhammad (drawn by D. Jordan),,88-98,,
