time,Golden State,pts.away,score,pts.home,Oklahoma City
5:57.0,A. Iguodala enters the game for S. Livingston,,41-48,,
5:57.0,D. Green makes free throw 2 of 2,1,42-48,,
5:57.0,Flagrant foul type 1 by D. Green,,42-48,,
5:57.0,,,42-49,1,S. Adams makes flagrant free throw 1 of 2
5:57.0,,,42-50,1,S. Adams makes flagrant free throw 2 of 2
5:57.0,H. Barnes enters the game for A. Bogut,,42-50,,
5:57.0,,,42-50,,A. Roberson enters the game for S. Adams
5:43.0,,,42-50,,R. Westbrook misses 3-pt shot from 25 ft
5:42.0,Defensive rebound by S. Curry,,42-50,,
5:29.0,D. Green misses 2-pt shot from 2 ft,,42-50,,
5:28.0,,,42-50,,Defensive rebound by D. Waiters
5:22.0,,,42-50,,Turnover by R. Westbrook (lost ball)
5:13.0,H. Barnes misses 2-pt shot from 17 ft,,42-50,,
5:12.0,,,42-50,,Defensive rebound by A. Roberson
5:00.0,,,42-50,,Shooting foul by A. Iguodala (drawn by K. Durant)
5:00.0,,,42-51,1,K. Durant makes free throw 1 of 3
5:00.0,,,42-52,1,K. Durant makes free throw 2 of 3
5:00.0,,,42-52,,S. Adams enters the game for D. Waiters
5:00.0,A. Varejao enters the game for H. Barnes,,42-52,,
5:00.0,,,42-53,1,K. Durant makes free throw 3 of 3
4:52.0,S. Curry makes 2-pt shot from 17 ft,2,44-53,,
4:46.0,Personal foul by A. Varejao,,44-53,,
4:46.0,,,44-54,1,R. Westbrook makes free throw 1 of 2
4:46.0,,,44-55,1,R. Westbrook makes free throw 2 of 2
4:42.0,,,44-55,,Personal foul by S. Adams
4:42.0,,,44-55,,D. Waiters enters the game for S. Adams
4:36.0,K. Thompson misses 2-pt shot from 19 ft,,44-55,,
4:35.0,,,44-55,,Defensive rebound by R. Westbrook
4:26.0,,,44-55,,S. Ibaka misses 3-pt shot from 26 ft
4:25.0,Defensive rebound by A. Varejao,,44-55,,
4:13.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green),2,46-55,,
3:50.0,,,46-55,,A. Roberson misses 3-pt shot from 22 ft
3:50.0,Defensive rebound by S. Curry,,46-55,,
3:46.0,,,46-55,,Personal foul by A. Roberson
3:35.0,S. Curry misses 3-pt shot from 26 ft,,46-55,,
3:34.0,,,46-55,,Defensive rebound by R. Westbrook
3:28.0,,,46-57,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
3:18.0,D. Green misses 2-pt shot from 2 ft (block by K. Durant),,46-57,,
3:17.0,,,46-57,,Defensive rebound by S. Ibaka
3:08.0,,,46-59,2,D. Waiters makes 2-pt shot from 1 ft
3:07.0,Golden State full timeout,,46-59,,
3:07.0,H. Barnes enters the game for A. Varejao,,46-59,,
2:51.0,S. Curry misses 2-pt shot from 22 ft,,46-59,,
2:50.0,,,46-59,,Defensive rebound by A. Roberson
2:39.0,,,46-59,,R. Westbrook misses 3-pt shot from 24 ft
2:38.0,Defensive rebound by S. Curry,,46-59,,
2:32.0,,,46-59,,Personal foul by K. Durant
2:32.0,,,46-59,,Oklahoma City full timeout
2:32.0,S. Curry misses free throw 1 of 2,,46-59,,
2:32.0,Offensive rebound by Team,,46-59,,
2:32.0,S. Curry makes free throw 2 of 2,1,47-59,,
2:12.0,,,47-61,2,A. Roberson makes 2-pt shot from 2 ft
1:58.0,D. Green misses 2-pt shot from 2 ft (block by K. Durant),,47-61,,
1:57.0,,,47-61,,Defensive rebound by K. Durant
1:52.0,,,47-64,3,K. Durant makes 3-pt shot from 24 ft
1:34.0,K. Thompson misses 2-pt shot from 1 ft,,47-64,,
1:33.0,,,47-64,,Defensive rebound by A. Roberson
1:30.0,,,47-64,,Turnover by R. Westbrook (lost ball; steal by S. Curry)
1:25.0,S. Curry misses 2-pt shot from 5 ft,,47-64,,
1:24.0,,,47-64,,Defensive rebound by K. Durant
1:20.0,,,47-64,,Shooting foul by A. Iguodala (drawn by K. Durant)
1:20.0,,,47-65,1,K. Durant makes free throw 1 of 2
1:20.0,,,47-66,1,K. Durant makes free throw 2 of 2
1:04.0,D. Green misses 2-pt shot from 1 ft,,47-66,,
1:03.0,,,47-66,,Defensive rebound by R. Westbrook
0:56.0,,,47-68,2,D. Waiters makes 2-pt shot at rim
0:43.0,A. Iguodala misses 3-pt shot from 22 ft,,47-68,,
0:42.0,,,47-68,,Defensive rebound by K. Durant
0:41.0,,,47-68,,Turnover by K. Durant (lost ball; steal by S. Curry)
0:36.0,S. Curry misses 3-pt shot from 23 ft,,47-68,,
0:35.0,,,47-68,,Defensive rebound by K. Durant
0:28.0,,,47-68,,A. Roberson misses 2-pt shot from 2 ft
0:27.0,,,47-68,,Offensive rebound by R. Westbrook
0:27.0,Personal foul by H. Barnes,,47-68,,
0:27.0,,,47-68,,R. Westbrook misses free throw 1 of 2
0:27.0,,,47-68,,Offensive rebound by Team
0:27.0,,,47-68,,R. Foye enters the game for K. Durant
0:27.0,,,47-69,1,R. Westbrook makes free throw 2 of 2
0:08.0,K. Thompson misses 3-pt shot from 25 ft,,47-69,,
0:07.0,,,47-69,,Defensive rebound by S. Ibaka
0:01.0,,,47-69,,Shooting foul by D. Green (drawn by R. Westbrook)
0:01.0,,,47-70,1,R. Westbrook makes free throw 1 of 3
0:01.0,,,47-71,1,R. Westbrook makes free throw 2 of 3
0:01.0,,,47-71,,K. Singler enters the game for D. Waiters
0:01.0,,,47-72,1,R. Westbrook makes free throw 3 of 3
0:00.0,S. Curry misses 3-pt shot from 83 ft,,47-72,,
0:00.0,Offensive rebound by Team,,47-72,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,S. Curry makes 2-pt shot from 19 ft (assist by A. Bogut),2,49-72,,
11:30.0,,,49-74,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
11:09.0,Turnover by K. Thompson (bad pass),,49-74,,
10:51.0,,,49-74,,Turnover by A. Roberson (bad pass)
10:44.0,K. Thompson makes 2-pt shot from 2 ft,2,51-74,,
10:30.0,,,51-76,2,K. Durant makes 2-pt shot from 3 ft (assist by R. Westbrook)
10:19.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,54-76,,
10:05.0,,,54-79,3,S. Ibaka makes 3-pt shot from 24 ft (assist by R. Westbrook)
9:48.0,Turnover by K. Thompson (lost ball; steal by S. Ibaka),,54-79,,
9:28.0,,,54-79,,Shooting foul by A. Bogut (drawn by S. Adams)
9:28.0,,,54-80,1,S. Adams makes free throw 1 of 2
9:28.0,Golden State full timeout,,54-80,,
9:28.0,,,54-80,,S. Adams misses free throw 2 of 2
9:27.0,Defensive rebound by A. Bogut,,54-80,,
9:09.0,Shooting foul by S. Adams (drawn by S. Curry),,54-80,,
9:09.0,S. Curry makes free throw 1 of 2,1,55-80,,
9:09.0,S. Curry makes free throw 2 of 2,1,56-80,,
8:55.0,,,56-80,,K. Durant misses 2-pt shot from 15 ft
8:54.0,Defensive rebound by K. Thompson,,56-80,,
8:41.0,,,56-80,,D. Waiters enters the game for S. Adams
8:29.0,Turnover by Team (shot clock),,56-80,,
8:29.0,A. Iguodala enters the game for A. Bogut,,56-80,,
8:10.0,,,56-82,2,K. Durant makes 2-pt shot at rim
7:56.0,Shooting foul by S. Ibaka (drawn by A. Iguodala),,56-82,,
7:56.0,A. Iguodala makes free throw 1 of 2,1,57-82,,
7:56.0,A. Iguodala misses free throw 2 of 2,,57-82,,
7:55.0,,,57-82,,Defensive rebound by R. Westbrook
7:49.0,,,57-82,,Shooting foul by K. Thompson (drawn by R. Westbrook)
7:49.0,,,57-83,1,R. Westbrook makes free throw 1 of 2
7:49.0,,,57-83,,R. Westbrook misses free throw 2 of 2
7:49.0,Defensive rebound by A. Iguodala,,57-83,,
7:42.0,D. Green misses 2-pt shot from 2 ft (block by S. Ibaka),,57-83,,
7:42.0,Offensive rebound by Team,,57-83,,
7:38.0,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green),2,59-83,,
7:24.0,,,59-83,,R. Westbrook misses 2-pt shot from 3 ft
7:24.0,,,59-83,,Offensive rebound by R. Westbrook
7:21.0,,,59-83,,R. Westbrook misses 2-pt shot from 10 ft
7:21.0,Defensive rebound by D. Green,,59-83,,
7:14.0,H. Barnes misses 2-pt shot from 1 ft (block by K. Durant),,59-83,,
7:13.0,,,59-83,,Defensive rebound by K. Durant
7:11.0,,,59-85,2,R. Westbrook makes 2-pt shot at rim (assist by K. Durant)
7:00.0,K. Thompson misses 3-pt shot from 23 ft,,59-85,,
7:00.0,Offensive rebound by Team,,59-85,,
6:59.0,,,59-85,,Loose ball foul by S. Ibaka
6:46.0,Turnover by D. Green (lost ball; steal by S. Ibaka),,59-85,,
6:42.0,,,59-87,2,K. Durant makes 2-pt shot at rim
6:26.0,K. Thompson misses 3-pt shot from 24 ft,,59-87,,
6:25.0,,,59-87,,Defensive rebound by A. Roberson
6:09.0,,,59-90,3,R. Westbrook makes 3-pt shot from 24 ft (assist by D. Waiters)
5:57.0,,,59-90,,Personal foul by R. Westbrook
5:57.0,S. Livingston enters the game for H. Barnes,,59-90,,
5:51.0,S. Curry misses 3-pt shot from 28 ft,,59-90,,
5:51.0,,,59-90,,Defensive rebound by D. Waiters
5:41.0,,,59-92,2,D. Waiters makes 2-pt shot from 12 ft
5:40.0,Golden State full timeout,,59-92,,
5:40.0,F. Ezeli enters the game for K. Thompson,,59-92,,
5:40.0,,,59-92,,R. Foye enters the game for K. Durant
5:24.0,F. Ezeli misses 2-pt shot from 3 ft,,59-92,,
5:24.0,,,59-92,,Defensive rebound by S. Ibaka
5:07.0,,,59-95,3,A. Roberson makes 3-pt shot from 24 ft (assist by R. Westbrook)
4:58.0,,,59-95,,Personal foul by R. Westbrook
4:58.0,S. Curry makes free throw 1 of 2,1,60-95,,
4:58.0,S. Curry makes free throw 2 of 2,1,61-95,,
4:50.0,,,61-97,2,R. Westbrook makes 2-pt shot from 13 ft
4:36.0,,,61-97,,Personal foul by A. Roberson
4:36.0,S. Curry makes free throw 1 of 2,1,62-97,,
4:36.0,S. Curry makes free throw 2 of 2,1,63-97,,
4:23.0,,,63-97,,Turnover by R. Westbrook (lost ball; steal by A. Iguodala)
4:15.0,S. Curry makes 3-pt shot from 25 ft (assist by A. Iguodala),3,66-97,,
4:15.0,,,66-97,,Oklahoma City full timeout
3:52.0,,,66-100,3,A. Roberson makes 3-pt shot from 22 ft (assist by R. Westbrook)
3:38.0,Turnover by S. Curry (lost ball; steal by R. Westbrook),,66-100,,
3:35.0,,,66-100,,Shooting foul by F. Ezeli (drawn by R. Foye)
3:35.0,,,66-101,1,R. Foye makes free throw 1 of 2
3:35.0,,,66-101,,K. Durant enters the game for A. Roberson
3:35.0,,,66-102,1,R. Foye makes free throw 2 of 2
3:19.0,Turnover by D. Green (lost ball),,66-102,,
3:07.0,,,66-105,3,D. Waiters makes 3-pt shot from 25 ft
2:56.0,Shooting foul by S. Ibaka (drawn by D. Green),,66-105,,
2:56.0,D. Green makes free throw 1 of 2,1,67-105,,
2:56.0,D. Green makes free throw 2 of 2,1,68-105,,
2:36.0,,,68-107,2,R. Westbrook makes 2-pt shot from 18 ft
2:24.0,S. Curry makes 2-pt shot from 20 ft,2,70-107,,
2:08.0,,,70-109,2,R. Westbrook makes 2-pt shot from 2 ft
1:54.0,S. Livingston misses 2-pt shot from 15 ft,,70-109,,
1:53.0,Offensive rebound by F. Ezeli,,70-109,,
1:53.0,F. Ezeli makes 2-pt shot at rim,2,72-109,,
1:53.0,Shooting foul by S. Ibaka (drawn by F. Ezeli),,72-109,,
1:53.0,F. Ezeli misses free throw 1 of 1,,72-109,,
1:52.0,,,72-109,,Defensive rebound by S. Ibaka
1:39.0,,,72-109,,S. Ibaka misses 2-pt shot from 4 ft
1:38.0,,,72-109,,Offensive rebound by S. Ibaka
1:37.0,,,72-111,2,S. Ibaka makes 2-pt shot from 2 ft
1:29.0,,,72-111,,Personal foul by R. Foye
1:29.0,F. Ezeli misses free throw 1 of 2,,72-111,,
1:29.0,Offensive rebound by Team,,72-111,,
1:29.0,I. Clark enters the game for S. Curry,,72-111,,
1:29.0,F. Ezeli misses free throw 2 of 2,,72-111,,
1:28.0,,,72-111,,Defensive rebound by K. Durant
1:18.0,,,72-113,2,R. Westbrook makes 2-pt shot from 18 ft
1:04.0,Shooting foul by K. Durant (drawn by F. Ezeli),,72-113,,
1:04.0,F. Ezeli makes free throw 1 of 2,1,73-113,,
1:04.0,H. Barnes enters the game for D. Green,,73-113,,
1:04.0,B. Rush enters the game for A. Iguodala,,73-113,,
1:04.0,F. Ezeli makes free throw 2 of 2,1,74-113,,
0:56.0,,,74-113,,Turnover by S. Ibaka (lost ball; steal by I. Clark)
0:50.0,S. Livingston makes 2-pt shot from 6 ft,2,76-113,,
0:35.0,,,76-113,,Shooting foul by B. Rush (drawn by K. Durant)
0:35.0,,,76-114,1,K. Durant makes free throw 1 of 2
0:35.0,,,76-115,1,K. Durant makes free throw 2 of 2
0:30.0,S. Livingston makes 2-pt shot from 13 ft,2,78-115,,
0:08.0,,,78-117,2,K. Durant makes 2-pt shot from 15 ft
0:04.0,B. Rush makes 2-pt shot at rim (assist by S. Livingston),2,80-117,,
0:00.0,,,80-117,,S. Ibaka misses 3-pt shot from 25 ft
0:00.0,,,80-117,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,80-117,,D. Waiters misses 3-pt shot from 24 ft
11:40.0,,,80-117,,Offensive rebound by Team
11:40.0,Loose ball foul by M. Speights,,80-117,,
11:27.0,,,80-117,,E. Kanter misses 2-pt shot from 19 ft
11:27.0,Defensive rebound by B. Rush,,80-117,,
11:12.0,M. Speights makes 3-pt shot from 24 ft (assist by I. Clark),3,83-117,,
10:55.0,,,83-117,,S. Ibaka misses 2-pt shot from 19 ft
10:52.0,Defensive rebound by B. Rush,,83-117,,
10:38.0,M. Speights misses 2-pt shot from 15 ft,,83-117,,
10:37.0,,,83-117,,Defensive rebound by E. Kanter
10:36.0,,,83-117,,Oklahoma City full timeout
10:18.0,,,83-117,,D. Waiters misses 2-pt shot from 2 ft
10:18.0,,,83-117,,Offensive rebound by S. Ibaka
10:17.0,,,83-119,2,S. Ibaka makes 2-pt shot from 3 ft
9:56.0,Shooting foul by R. Foye (drawn by I. Clark),,83-119,,
9:56.0,I. Clark makes free throw 1 of 2,1,84-119,,
9:56.0,I. Clark makes free throw 2 of 2,1,85-119,,
9:38.0,,,85-119,,S. Ibaka misses 2-pt shot from 20 ft
9:36.0,Defensive rebound by B. Rush,,85-119,,
9:27.0,S. Livingston misses 2-pt shot from 15 ft,,85-119,,
9:27.0,,,85-119,,Defensive rebound by E. Kanter
9:15.0,,,85-119,,A. Roberson misses 3-pt shot from 22 ft
9:15.0,,,85-119,,Offensive rebound by E. Kanter
9:14.0,,,85-119,,E. Kanter misses 2-pt shot from 1 ft (block by M. Speights)
9:13.0,,,85-119,,Offensive rebound by Team
9:13.0,,,85-119,,K. Singler enters the game for S. Ibaka
9:10.0,,,85-119,,K. Singler misses 2-pt shot from 4 ft
9:08.0,Defensive rebound by Team,,85-119,,
8:54.0,Turnover by I. Clark (lost ball),,85-119,,
8:38.0,,,85-119,,R. Foye misses 3-pt shot from 24 ft
8:36.0,Defensive rebound by B. Rush,,85-119,,
8:31.0,Turnover by M. Speights (bad pass),,85-119,,
8:31.0,L. Barbosa enters the game for S. Livingston,,85-119,,
8:10.0,,,85-121,2,R. Foye makes 2-pt shot from 4 ft
7:48.0,H. Barnes makes 2-pt shot from 2 ft,2,87-121,,
7:32.0,,,87-121,,A. Roberson misses 2-pt shot from 4 ft
7:31.0,,,87-121,,Offensive rebound by E. Kanter
7:31.0,,,87-123,2,E. Kanter makes 2-pt shot from 3 ft
7:17.0,Turnover by I. Clark (lost ball; steal by A. Roberson),,87-123,,
7:04.0,,,87-123,,D. Waiters misses 2-pt shot from 21 ft
7:03.0,Defensive rebound by I. Clark,,87-123,,
6:54.0,H. Barnes makes 2-pt shot from 13 ft,2,89-123,,
6:31.0,,,89-125,2,K. Singler makes 2-pt shot from 8 ft (assist by E. Kanter)
6:17.0,B. Rush makes 2-pt shot from 1 ft,2,91-125,,
5:54.0,Official timeout,,91-125,,
5:54.0,,,91-125,,C. Payne enters the game for D. Waiters
