time,Minnesota,pts.away,score,pts.home,Brooklyn
3:32.0,,,17-12,,A. Bargnani misses 2-pt shot from 19 ft
3:31.0,Defensive rebound by T. Prince,,17-12,,
3:23.0,G. Dieng makes 2-pt shot at rim (assist by R. Rubio),2,19-12,,
3:12.0,Violation by A. Payne (kicked ball),,19-12,,
3:12.0,,,19-12,,Brooklyn full timeout
3:00.0,,,19-14,2,J. Jack makes 2-pt shot from 17 ft (assist by A. Bargnani)
2:46.0,G. Dieng makes 2-pt shot at rim (assist by R. Rubio),2,21-14,,
2:32.0,,,21-14,,T. Young misses 2-pt shot from 1 ft
2:31.0,Defensive rebound by A. Payne,,21-14,,
2:23.0,A. Wiggins makes 2-pt shot from 2 ft (assist by R. Rubio),2,23-14,,
1:56.0,,,23-14,,W. Ellington misses 3-pt shot from 24 ft
1:55.0,Defensive rebound by A. Payne,,23-14,,
1:47.0,G. Dieng makes 2-pt shot from 5 ft (assist by R. Rubio),2,25-14,,
1:20.0,,,25-14,,J. Jack misses 3-pt shot from 27 ft
1:19.0,Defensive rebound by G. Dieng,,25-14,,
1:03.0,Turnover by A. Payne (traveling),,25-14,,
1:03.0,Z. LaVine enters the game for R. Rubio,,25-14,,
1:03.0,,,25-14,,D. Sloan enters the game for J. Jack
1:03.0,,,25-14,,W. Reed enters the game for T. Young
1:03.0,S. Muhammad enters the game for T. Prince,,25-14,,
0:51.0,,,25-14,,Shooting foul by Z. LaVine (drawn by A. Bargnani)
0:51.0,,,25-15,1,A. Bargnani makes free throw 1 of 2
0:51.0,,,25-16,1,A. Bargnani makes free throw 2 of 2
0:39.0,Shooting foul by W. Ellington (drawn by A. Wiggins),,25-16,,
0:39.0,A. Wiggins misses free throw 1 of 2,,25-16,,
0:39.0,Offensive rebound by Team,,25-16,,
0:39.0,A. Wiggins makes free throw 2 of 2,1,26-16,,
0:27.0,,,26-16,,W. Reed misses 2-pt shot from 2 ft (block by A. Payne)
0:25.0,Defensive rebound by G. Dieng,,26-16,,
0:06.0,S. Muhammad misses 3-pt shot from 24 ft,,26-16,,
0:05.0,,,26-16,,Defensive rebound by D. Sloan
0:01.0,,,26-16,,D. Sloan misses 3-pt shot from 28 ft
0:00.0,,,26-16,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,26-18,2,D. Sloan makes 2-pt shot from 2 ft (assist by B. Lopez)
11:23.0,Z. LaVine makes 2-pt shot from 20 ft (assist by K. Martin),2,28-18,,
11:09.0,,,28-18,,B. Lopez misses 2-pt shot from 13 ft
11:08.0,Defensive rebound by G. Dieng,,28-18,,
10:57.0,G. Dieng misses 2-pt shot from 21 ft,,28-18,,
10:55.0,,,28-18,,Defensive rebound by A. Bargnani
10:43.0,,,28-21,3,W. Ellington makes 3-pt shot from 24 ft (assist by B. Lopez)
10:29.0,,,28-21,,Def 3 sec tech foul by B. Lopez
10:29.0,K. Martin makes technical free throw,1,29-21,,
10:17.0,K. Martin misses 3-pt shot from 25 ft,,29-21,,
10:16.0,,,29-21,,Defensive rebound by B. Lopez
10:05.0,,,29-21,,A. Bargnani misses 2-pt shot from 21 ft
10:03.0,Defensive rebound by A. Payne,,29-21,,
9:49.0,K. Martin makes 2-pt shot from 9 ft,2,31-21,,
9:35.0,,,31-21,,Turnover by A. Bargnani (lost ball)
9:35.0,N. Bjelica enters the game for A. Payne,,31-21,,
9:12.0,K. Martin misses 2-pt shot from 16 ft,,31-21,,
9:11.0,,,31-21,,Defensive rebound by B. Lopez
9:08.0,,,31-23,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by W. Ellington)
9:08.0,,,31-23,,Shooting foul by N. Bjelica (drawn by B. Bogdanovic)
9:08.0,,,31-23,,B. Bogdanovic misses free throw 1 of 1
9:07.0,Defensive rebound by Z. LaVine,,31-23,,
8:51.0,K. Martin makes 3-pt shot from 24 ft (assist by G. Dieng),3,34-23,,
8:38.0,,,34-23,,Shooting foul by N. Bjelica (drawn by A. Bargnani)
8:38.0,Official timeout,,34-23,,
8:38.0,,,34-24,1,A. Bargnani makes free throw 1 of 2
8:38.0,,,34-25,1,A. Bargnani makes free throw 2 of 2
8:16.0,S. Muhammad misses 2-pt shot from 10 ft,,34-25,,
8:15.0,,,34-25,,Defensive rebound by W. Ellington
7:54.0,,,34-25,,D. Sloan misses 2-pt shot from 1 ft
7:53.0,Defensive rebound by Z. LaVine,,34-25,,
7:48.0,Z. LaVine misses 2-pt shot from 1 ft,,34-25,,
7:47.0,Offensive rebound by S. Muhammad,,34-25,,
7:46.0,S. Muhammad misses 2-pt shot from 1 ft,,34-25,,
7:45.0,,,34-25,,Defensive rebound by D. Sloan
7:40.0,,,34-27,2,A. Bargnani makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
7:26.0,K. Martin misses 2-pt shot from 19 ft,,34-27,,
7:25.0,,,34-27,,Defensive rebound by B. Bogdanovic
7:21.0,,,34-29,2,W. Ellington makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
6:59.0,G. Dieng makes 2-pt shot from 15 ft (assist by K. Martin),2,36-29,,
6:45.0,,,36-29,,W. Ellington misses 2-pt shot from 19 ft
6:44.0,,,36-29,,Offensive rebound by A. Bargnani
6:42.0,,,36-31,2,A. Bargnani makes 2-pt shot from 6 ft
6:29.0,Minnesota full timeout,,36-31,,
6:29.0,K. Towns enters the game for N. Bjelica,,36-31,,
6:15.0,K. Martin misses 2-pt shot from 19 ft,,36-31,,
6:14.0,,,36-31,,Defensive rebound by D. Sloan
6:01.0,,,36-33,2,A. Bargnani makes 2-pt shot from 2 ft
5:48.0,K. Towns misses 2-pt shot from 20 ft,,36-33,,
5:47.0,,,36-33,,Defensive rebound by B. Bogdanovic
5:36.0,,,36-33,,Turnover by B. Lopez (bad pass; steal by K. Martin)
5:31.0,Z. LaVine misses 2-pt shot from 5 ft,,36-33,,
5:30.0,,,36-33,,Defensive rebound by B. Lopez
5:17.0,,,36-35,2,B. Lopez makes 2-pt shot from 1 ft (assist by D. Sloan)
5:17.0,,,36-35,,Shooting foul by K. Towns (drawn by B. Lopez)
5:17.0,A. Wiggins enters the game for Z. LaVine,,36-35,,
5:17.0,R. Rubio enters the game for S. Muhammad,,36-35,,
5:17.0,,,36-35,,T. Young enters the game for A. Bargnani
5:17.0,,,36-36,1,B. Lopez makes free throw 1 of 1
5:05.0,Shooting foul by B. Lopez (drawn by K. Towns),,36-36,,
5:05.0,K. Towns makes 2-pt shot from 7 ft (assist by K. Martin),2,38-36,,
5:05.0,K. Towns makes free throw 1 of 1,1,39-36,,
4:54.0,,,39-36,,D. Sloan misses 2-pt shot from 1 ft (block by G. Dieng)
4:53.0,Defensive rebound by G. Dieng,,39-36,,
4:46.0,Turnover by K. Martin (offensive goaltending),,39-36,,
4:31.0,,,39-36,,W. Ellington misses 3-pt shot from 25 ft
4:30.0,Defensive rebound by A. Wiggins,,39-36,,
4:21.0,A. Wiggins misses 3-pt shot from 25 ft,,39-36,,
4:20.0,,,39-36,,Defensive rebound by B. Lopez
4:13.0,,,39-36,,B. Bogdanovic misses 2-pt shot from 1 ft
4:12.0,Defensive rebound by G. Dieng,,39-36,,
4:06.0,A. Wiggins makes 2-pt shot from 2 ft (assist by R. Rubio),2,41-36,,
3:46.0,,,41-36,,W. Ellington misses 2-pt shot from 18 ft
3:45.0,Defensive rebound by K. Towns,,41-36,,
3:37.0,G. Dieng makes 2-pt shot at rim (assist by R. Rubio),2,43-36,,
3:33.0,Personal foul by G. Dieng (drawn by T. Young),,43-36,,
3:33.0,,,43-36,,J. Jack enters the game for W. Ellington
3:33.0,T. Prince enters the game for K. Martin,,43-36,,
3:17.0,,,43-36,,Turnover by J. Jack (lost ball; steal by R. Rubio)
3:17.0,Jump ball: J. Jack vs. R. Rubio (A. Wiggins gains possession),,,,Jump ball: J. Jack vs. R. Rubio (A. Wiggins gains possession)
3:00.0,G. Dieng makes 2-pt shot from 7 ft,2,45-36,,
2:42.0,,,45-39,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by D. Sloan)
2:26.0,T. Prince makes 2-pt shot from 17 ft (assist by R. Rubio),2,47-39,,
2:10.0,,,47-39,,Brooklyn full timeout
2:10.0,,,47-39,,J. Johnson enters the game for D. Sloan
2:05.0,,,47-41,2,T. Young makes 2-pt shot from 7 ft (assist by B. Lopez)
1:50.0,K. Towns misses 2-pt shot from 18 ft,,47-41,,
1:49.0,,,47-41,,Defensive rebound by B. Bogdanovic
1:42.0,Personal foul by G. Dieng (drawn by B. Lopez),,47-41,,
1:42.0,,,47-42,1,B. Lopez makes free throw 1 of 2
1:42.0,A. Payne enters the game for G. Dieng,,47-42,,
1:42.0,,,47-43,1,B. Lopez makes free throw 2 of 2
1:26.0,Turnover by T. Prince (bad pass; steal by B. Bogdanovic),,47-43,,
1:21.0,,,47-43,,Turnover by B. Bogdanovic (bad pass; steal by A. Wiggins)
1:17.0,,,47-43,,Personal foul by B. Bogdanovic (drawn by A. Payne)
1:11.0,K. Towns misses 2-pt shot from 1 ft,,47-43,,
1:10.0,Offensive rebound by K. Towns,,47-43,,
1:08.0,Turnover by K. Towns (traveling),,47-43,,
1:00.0,,,47-43,,Turnover by B. Lopez (lost ball; steal by R. Rubio)
0:56.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,49-43,,
0:38.0,,,49-43,,T. Young misses 2-pt shot from 9 ft
0:37.0,,,49-43,,Offensive rebound by T. Young
0:34.0,,,49-43,,T. Young misses 2-pt shot from 5 ft
0:33.0,Defensive rebound by K. Towns,,49-43,,
0:14.0,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio),2,51-43,,
0:14.0,Shooting foul by J. Jack (drawn by K. Towns),,51-43,,
0:14.0,K. Towns makes free throw 1 of 1,1,52-43,,
0:01.0,,,52-43,,J. Johnson misses 3-pt shot from 29 ft
0:00.0,,,52-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,52-43,,Turnover by J. Jack (bad pass; steal by R. Rubio)
11:31.0,R. Rubio misses 2-pt shot from 18 ft,,52-43,,
11:30.0,,,52-43,,Defensive rebound by B. Lopez
11:14.0,,,52-43,,J. Johnson misses 2-pt shot from 17 ft
11:13.0,Defensive rebound by K. Garnett,,52-43,,
11:02.0,,,52-43,,Personal foul by B. Bogdanovic (drawn by A. Wiggins)
11:02.0,Turnover by K. Towns (3 sec),,52-43,,
10:45.0,,,52-45,2,J. Johnson makes 2-pt shot from 2 ft
10:34.0,R. Rubio misses 2-pt shot from 2 ft,,52-45,,
10:33.0,Offensive rebound by K. Towns,,52-45,,
10:32.0,K. Towns misses 2-pt shot from 1 ft,,52-45,,
10:31.0,,,52-45,,Defensive rebound by Team
10:14.0,,,52-47,2,B. Lopez makes 2-pt shot from 12 ft (assist by J. Johnson)
9:54.0,K. Towns makes 2-pt shot from 19 ft (assist by R. Rubio),2,54-47,,
9:49.0,,,54-47,,Turnover by B. Lopez (bad pass; steal by R. Rubio)
9:46.0,R. Rubio misses 2-pt shot from 20 ft,,54-47,,
9:45.0,,,54-47,,Defensive rebound by B. Lopez
9:36.0,,,54-47,,J. Jack misses 2-pt shot from 17 ft
9:35.0,Defensive rebound by K. Garnett,,54-47,,
9:30.0,,,54-47,,Personal block foul by J. Jack (drawn by R. Rubio)
9:30.0,R. Rubio makes free throw 1 of 2,1,55-47,,
9:30.0,R. Rubio makes free throw 2 of 2,1,56-47,,
9:10.0,,,56-50,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by J. Jack)
8:58.0,Turnover by A. Wiggins (step out of bounds),,56-50,,
8:41.0,,,56-50,,J. Johnson misses 2-pt shot from 11 ft
8:40.0,Defensive rebound by K. Garnett,,56-50,,
8:35.0,A. Wiggins makes 2-pt shot from 2 ft,2,58-50,,
8:23.0,,,58-52,2,B. Bogdanovic makes 2-pt shot at rim (assist by B. Lopez)
8:15.0,Minnesota full timeout,,58-52,,
8:07.0,Turnover by R. Rubio (bad pass; steal by B. Lopez),,58-52,,
7:50.0,,,58-52,,B. Bogdanovic misses 3-pt shot from 24 ft
7:49.0,Defensive rebound by K. Garnett,,58-52,,
7:40.0,K. Towns misses 2-pt shot from 2 ft,,58-52,,
7:39.0,,,58-52,,Defensive rebound by J. Johnson
7:37.0,Personal foul by K. Garnett (drawn by J. Johnson),,58-52,,
7:27.0,,,58-52,,Shooting foul by K. Towns (drawn by B. Lopez)
7:27.0,,,58-53,1,B. Lopez makes free throw 1 of 2
7:27.0,,,58-53,,B. Lopez misses free throw 2 of 2
7:26.0,Defensive rebound by K. Towns,,58-53,,
7:11.0,K. Towns makes 2-pt shot from 1 ft (assist by K. Garnett),2,60-53,,
7:11.0,Shooting foul by J. Johnson (drawn by K. Towns),,60-53,,
7:11.0,K. Towns makes free throw 1 of 1,1,61-53,,
6:53.0,,,61-53,,Turnover by J. Jack (bad pass; steal by K. Garnett)
6:44.0,,,61-53,,Personal foul by J. Jack (drawn by R. Rubio)
6:44.0,,,61-53,,D. Sloan enters the game for J. Jack
6:31.0,K. Garnett misses 2-pt shot from 16 ft,,61-53,,
6:30.0,,,61-53,,Defensive rebound by B. Lopez
6:23.0,,,61-53,,Turnover by B. Lopez (bad pass; steal by K. Garnett)
6:15.0,T. Prince makes 2-pt shot from 18 ft (assist by R. Rubio),2,63-53,,
6:15.0,,,63-53,,Brooklyn full timeout
6:15.0,,,63-53,,M. Brown enters the game for B. Bogdanovic
6:15.0,,,63-53,,A. Bargnani enters the game for B. Lopez
6:15.0,G. Dieng enters the game for K. Garnett,,63-53,,
5:51.0,,,63-53,,J. Johnson misses 2-pt shot from 2 ft
5:50.0,,,63-53,,Offensive rebound by Team
5:50.0,,,63-53,,Turnover by Team (shot clock)
5:30.0,K. Towns makes 2-pt shot from 2 ft (assist by G. Dieng),2,65-53,,
5:05.0,,,65-55,2,T. Young makes 2-pt shot from 19 ft
4:52.0,,,65-55,,Personal foul by D. Sloan (drawn by R. Rubio)
4:52.0,R. Rubio misses free throw 1 of 2,,65-55,,
4:52.0,Offensive rebound by Team,,65-55,,
4:52.0,,,65-55,,W. Reed enters the game for T. Young
4:52.0,R. Rubio makes free throw 2 of 2,1,66-55,,
4:41.0,,,66-55,,Shooting foul by A. Wiggins (drawn by M. Brown)
4:41.0,,,66-56,1,M. Brown makes free throw 1 of 2
4:41.0,,,66-56,,M. Brown misses free throw 2 of 2
4:40.0,Defensive rebound by G. Dieng,,66-56,,
4:27.0,T. Prince misses 2-pt shot from 20 ft,,66-56,,
4:26.0,Offensive rebound by A. Wiggins,,66-56,,
4:07.0,A. Wiggins misses 2-pt shot from 9 ft,,66-56,,
4:06.0,Offensive rebound by A. Wiggins,,66-56,,
4:00.0,Offensive charge foul by A. Wiggins,,66-56,,
4:00.0,Turnover by A. Wiggins (offensive foul),,66-56,,
3:53.0,,,66-56,,D. Sloan misses 2-pt shot from 1 ft (block by K. Towns)
3:52.0,Defensive rebound by G. Dieng,,66-56,,
3:45.0,Shooting foul by M. Brown (drawn by A. Wiggins),,66-56,,
3:45.0,A. Wiggins makes free throw 1 of 2,1,67-56,,
3:45.0,A. Wiggins misses free throw 2 of 2,,67-56,,
3:44.0,,,67-56,,Defensive rebound by J. Johnson
3:34.0,,,67-56,,J. Johnson misses 2-pt shot from 19 ft
3:33.0,Defensive rebound by K. Towns,,67-56,,
3:25.0,Turnover by R. Rubio (lost ball; steal by A. Bargnani),,67-56,,
3:13.0,,,67-58,2,W. Reed makes 2-pt shot from 1 ft (assist by D. Sloan)
2:52.0,K. Towns makes 2-pt shot from 8 ft,2,69-58,,
2:38.0,Personal foul by T. Prince (drawn by A. Bargnani),,69-58,,
2:38.0,Z. LaVine enters the game for R. Rubio,,69-58,,
2:27.0,,,69-60,2,D. Sloan makes 2-pt shot from 2 ft (assist by J. Johnson)
2:05.0,Shooting foul by M. Brown (drawn by A. Wiggins),,69-60,,
2:05.0,A. Wiggins makes free throw 1 of 2,1,70-60,,
2:05.0,K. Martin enters the game for T. Prince,,70-60,,
2:05.0,A. Wiggins makes free throw 2 of 2,1,71-60,,
1:49.0,,,71-60,,J. Johnson misses 2-pt shot from 7 ft (block by A. Wiggins)
1:48.0,,,71-60,,Offensive rebound by J. Johnson
1:47.0,,,71-60,,Turnover by J. Johnson (bad pass; steal by K. Martin)
1:47.0,,,71-60,,Personal foul by W. Reed (drawn by K. Martin)
1:47.0,K. Martin makes free throw 1 of 2,1,72-60,,
1:47.0,,,72-60,,W. Ellington enters the game for J. Johnson
1:47.0,,,72-60,,B. Lopez enters the game for W. Reed
1:47.0,K. Martin makes free throw 2 of 2,1,73-60,,
1:36.0,Personal foul by G. Dieng (drawn by A. Bargnani),,73-60,,
1:36.0,,,73-60,,A. Bargnani misses free throw 1 of 2
1:36.0,,,73-60,,Offensive rebound by Team
1:36.0,A. Payne enters the game for K. Towns,,73-60,,
1:36.0,,,73-61,1,A. Bargnani makes free throw 2 of 2
1:24.0,G. Dieng makes 2-pt shot from 18 ft (assist by Z. LaVine),2,75-61,,
1:07.0,,,75-63,2,B. Lopez makes 2-pt shot at rim
0:52.0,Z. LaVine misses 3-pt shot from 24 ft,,75-63,,
0:51.0,,,75-63,,Defensive rebound by A. Bargnani
0:40.0,,,75-65,2,D. Sloan makes 2-pt shot from 1 ft (assist by W. Ellington)
0:25.0,Turnover by Z. LaVine (lost ball; steal by D. Sloan),,75-65,,
0:01.0,,,75-65,,A. Bargnani misses 2-pt shot from 19 ft
0:00.0,,,75-65,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,K. Martin makes 2-pt shot from 17 ft (assist by Z. LaVine),2,77-65,,
11:27.0,,,77-67,2,B. Lopez makes 2-pt shot at rim (assist by D. Sloan)
11:02.0,Z. LaVine misses 3-pt shot from 24 ft,,77-67,,
11:00.0,Offensive rebound by Z. LaVine,,77-67,,
10:59.0,Shooting foul by B. Lopez (drawn by Z. LaVine),,77-67,,
10:59.0,Z. LaVine makes free throw 1 of 2,1,78-67,,
10:59.0,Z. LaVine makes free throw 2 of 2,1,79-67,,
10:49.0,,,79-69,2,W. Ellington makes 2-pt shot from 2 ft
10:33.0,A. Payne misses 2-pt shot from 5 ft,,79-69,,
10:32.0,,,79-69,,Defensive rebound by B. Lopez
10:10.0,,,79-69,,W. Ellington misses 3-pt shot from 24 ft
10:09.0,Defensive rebound by A. Payne,,79-69,,
10:02.0,K. Martin makes 3-pt shot from 24 ft (assist by Z. LaVine),3,82-69,,
9:52.0,Personal foul by K. Martin (drawn by W. Ellington),,82-69,,
9:52.0,,,82-69,,T. Young enters the game for A. Bargnani
9:52.0,,,82-69,,J. Jack enters the game for D. Sloan
9:41.0,Personal foul by A. Payne (drawn by T. Young),,82-69,,
9:29.0,,,82-69,,T. Young misses 2-pt shot from 19 ft
9:28.0,Defensive rebound by A. Payne,,82-69,,
9:06.0,Turnover by K. Martin (bad pass; steal by B. Bogdanovic),,82-69,,
9:05.0,Personal foul by A. Miller (drawn by B. Bogdanovic),,82-69,,
8:52.0,Official timeout,,82-69,,
8:40.0,,,82-69,,J. Jack misses 2-pt shot from 9 ft
8:38.0,Defensive rebound by G. Dieng,,82-69,,
8:22.0,Z. LaVine makes 2-pt shot at rim (assist by G. Dieng),2,84-69,,
8:05.0,Personal foul by K. Martin (drawn by T. Young),,84-69,,
7:48.0,,,84-72,3,W. Ellington makes 3-pt shot from 23 ft (assist by J. Jack)
7:36.0,,,84-72,,Personal foul by J. Jack (drawn by Z. LaVine)
7:28.0,A. Payne misses 2-pt shot from 3 ft,,84-72,,
7:27.0,,,84-72,,Defensive rebound by T. Young
7:13.0,,,84-72,,W. Ellington misses 3-pt shot from 24 ft
7:12.0,,,84-72,,Offensive rebound by B. Lopez
7:07.0,,,84-72,,Turnover by Team (back court)
6:55.0,Z. LaVine makes 2-pt shot from 3 ft,2,86-72,,
6:37.0,,,86-72,,Turnover by W. Ellington (bad pass; steal by A. Miller)
6:34.0,A. Miller makes 2-pt shot from 2 ft,2,88-72,,
6:34.0,,,88-72,,Brooklyn full timeout
6:34.0,,,88-72,,J. Johnson enters the game for W. Ellington
6:20.0,,,88-72,,J. Jack misses 3-pt shot from 24 ft
6:19.0,Defensive rebound by A. Payne,,88-72,,
6:02.0,K. Martin makes 3-pt shot from 24 ft (assist by A. Miller),3,91-72,,
5:47.0,,,91-72,,J. Johnson misses 2-pt shot from 6 ft
5:45.0,Defensive rebound by A. Payne,,91-72,,
5:23.0,A. Payne misses 2-pt shot from 16 ft,,91-72,,
5:22.0,,,91-72,,Defensive rebound by J. Jack
5:15.0,,,91-75,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by J. Johnson)
4:58.0,G. Dieng makes 2-pt shot from 17 ft (assist by Z. LaVine),2,93-75,,
4:45.0,R. Rubio enters the game for A. Payne,,93-75,,
4:45.0,A. Wiggins enters the game for K. Martin,,93-75,,
4:45.0,K. Towns enters the game for A. Miller,,93-75,,
4:39.0,,,93-77,2,T. Young makes 2-pt shot from 5 ft (assist by J. Jack)
4:21.0,Z. LaVine makes 2-pt shot from 17 ft,2,95-77,,
4:07.0,,,95-77,,T. Young misses 2-pt shot from 19 ft
4:06.0,Defensive rebound by K. Towns,,95-77,,
4:00.0,,,95-77,,Personal foul by J. Johnson (drawn by G. Dieng)
3:51.0,K. Towns makes 2-pt shot from 19 ft (assist by R. Rubio),2,97-77,,
3:33.0,,,97-77,,Shooting foul by A. Wiggins (drawn by J. Johnson)
3:33.0,,,97-78,1,J. Johnson makes free throw 1 of 2
3:33.0,,,97-79,1,J. Johnson makes free throw 2 of 2
3:21.0,Turnover by G. Dieng (lost ball; steal by T. Young),,97-79,,
3:17.0,Personal foul by G. Dieng (drawn by T. Young),,97-79,,
3:17.0,,,97-80,1,T. Young makes free throw 1 of 2
3:17.0,,,97-81,1,T. Young makes free throw 2 of 2
3:03.0,K. Towns makes 2-pt shot from 6 ft (assist by R. Rubio),2,99-81,,
3:03.0,Shooting foul by T. Young (drawn by K. Towns),,99-81,,
3:03.0,K. Towns makes free throw 1 of 1,1,100-81,,
2:49.0,,,100-83,2,T. Young makes 2-pt shot from 2 ft (assist by J. Johnson)
2:31.0,K. Towns misses 2-pt shot from 2 ft (block by B. Lopez),,100-83,,
