time,Milwaukee,pts.away,score,pts.home,Denver
2:12.0,K. Middleton enters the game for T. Ennis,,24-23,,
2:12.0,,,24-23,,N. Jokic enters the game for K. Faried
2:12.0,,,24-23,,D. Arthur enters the game for J. Hickson
2:12.0,,,24-23,,R. Foye enters the game for G. Harris
1:55.0,,,24-23,,E. Mudiay misses 2-pt shot from 16 ft
1:55.0,,,24-23,,Offensive rebound by N. Jokic
1:48.0,,,24-23,,N. Jokic misses 2-pt shot at rim
1:47.0,,,24-23,,Offensive rebound by D. Gallinari
1:43.0,,,24-23,,Shooting foul by J. Henson (drawn by D. Gallinari)
1:43.0,,,24-24,1,D. Gallinari makes free throw 1 of 2
1:43.0,,,24-24,,W. Barton enters the game for E. Mudiay
1:43.0,,,24-25,1,D. Gallinari makes free throw 2 of 2
1:17.0,J. Henson makes 2-pt shot from 1 ft,2,26-25,,
0:56.0,,,26-25,,W. Barton misses 3-pt shot from 24 ft
0:55.0,Defensive rebound by J. O'Bryant,,26-25,,
0:39.0,G. Vasquez makes 3-pt shot from 24 ft,3,29-25,,
0:26.0,,,29-25,,D. Gallinari misses 3-pt shot from 24 ft
0:25.0,Defensive rebound by G. Vasquez,,29-25,,
0:11.0,,,29-25,,Personal take foul by R. Foye (drawn by G. Vasquez)
0:11.0,,,29-25,,K. Papanikolaou enters the game for D. Gallinari
0:00.0,K. Middleton makes 3-pt shot from 25 ft,3,32-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Turnover by G. Vasquez (bad pass),,32-25,,
11:26.0,,,32-27,2,D. Arthur makes 2-pt shot from 14 ft (assist by N. Jokic)
11:13.0,Turnover by K. Middleton (lost ball; steal by R. Foye),,32-27,,
11:06.0,,,32-27,,R. Foye misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
11:04.0,Defensive rebound by G. Antetokounmpo,,32-27,,
11:04.0,,,32-27,,Personal block foul by K. Papanikolaou (drawn by G. Antetokounmpo)
10:54.0,G. Vasquez makes 3-pt shot from 24 ft,3,35-27,,
10:35.0,,,35-27,,D. Arthur misses 2-pt shot from 1 ft
10:34.0,,,35-27,,Offensive rebound by N. Jokic
10:30.0,,,35-29,2,N. Jokic makes 2-pt shot from 2 ft
10:21.0,J. Henson misses 2-pt shot from 7 ft,,35-29,,
10:20.0,,,35-29,,Defensive rebound by N. Jokic
10:08.0,,,35-32,3,K. Papanikolaou makes 3-pt shot from 25 ft (assist by N. Jokic)
9:47.0,Turnover by K. Middleton (step out of bounds),,35-32,,
9:47.0,J. Bayless enters the game for J. Henson,,35-32,,
9:47.0,G. Monroe enters the game for R. Vaughn,,35-32,,
9:30.0,,,35-32,,W. Barton misses 2-pt shot from 7 ft
9:29.0,Defensive rebound by G. Antetokounmpo,,35-32,,
9:24.0,,,35-32,,Personal foul by W. Barton (drawn by G. Antetokounmpo)
9:16.0,,,35-32,,Personal foul by R. Foye (drawn by G. Vasquez)
9:09.0,G. Monroe makes 2-pt shot from 1 ft (assist by G. Vasquez),2,37-32,,
8:55.0,,,37-34,2,N. Jokic makes 2-pt shot from 1 ft (assist by D. Arthur)
8:30.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,39-34,,
8:13.0,,,39-36,2,N. Jokic makes 2-pt shot from 1 ft
7:57.0,G. Vasquez makes 2-pt shot from 6 ft (assist by G. Antetokounmpo),2,41-36,,
7:56.0,,,41-36,,Denver full timeout
7:56.0,,,41-36,,E. Mudiay enters the game for R. Foye
7:31.0,,,41-36,,E. Mudiay misses 3-pt shot from 25 ft
7:30.0,Defensive rebound by G. Monroe,,41-36,,
7:09.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,41-36,,
7:08.0,,,41-36,,Defensive rebound by D. Arthur
7:03.0,,,41-38,2,W. Barton makes 2-pt shot from 3 ft
6:37.0,Turnover by J. Bayless (bad pass; steal by N. Jokic),,41-38,,
6:31.0,,,41-40,2,W. Barton makes 2-pt shot from 2 ft (assist by N. Jokic)
6:16.0,G. Vasquez misses 3-pt shot from 25 ft,,41-40,,
6:16.0,,,41-40,,Defensive rebound by K. Papanikolaou
6:07.0,,,41-40,,Turnover by W. Barton (traveling)
6:07.0,,,41-40,,D. Gallinari enters the game for K. Papanikolaou
5:55.0,G. Monroe misses 2-pt shot from 2 ft (block by D. Arthur),,41-40,,
5:54.0,Offensive rebound by Team,,41-40,,
5:54.0,Official timeout,,41-40,,
5:54.0,J. O'Bryant enters the game for G. Antetokounmpo,,41-40,,
5:54.0,,,41-40,,J. Hickson enters the game for N. Jokic
5:48.0,J. Bayless makes 3-pt shot from 22 ft (assist by G. Vasquez),3,44-40,,
5:33.0,Violation by K. Middleton (kicked ball),,44-40,,
5:33.0,,,44-40,,K. Faried enters the game for D. Arthur
5:19.0,,,44-40,,D. Gallinari misses 2-pt shot at rim
5:18.0,Defensive rebound by G. Monroe,,44-40,,
5:10.0,K. Middleton misses 2-pt shot from 5 ft,,44-40,,
5:10.0,,,44-40,,Defensive rebound by Team
5:10.0,Loose ball foul by J. O'Bryant (drawn by K. Faried),,44-40,,
5:10.0,,,44-40,,G. Harris enters the game for W. Barton
4:59.0,,,44-40,,Turnover by G. Harris (lost ball)
4:36.0,G. Vasquez makes 2-pt shot from 1 ft,2,46-40,,
4:25.0,,,46-40,,Shooting foul by J. O'Bryant (drawn by E. Mudiay)
4:25.0,,,46-41,1,E. Mudiay makes free throw 1 of 2
4:25.0,,,46-41,,E. Mudiay misses free throw 2 of 2
4:24.0,Defensive rebound by G. Monroe,,46-41,,
3:59.0,J. Bayless makes 3-pt shot from 24 ft (assist by G. Vasquez),3,49-41,,
3:48.0,,,49-43,2,D. Gallinari makes 2-pt shot from 23 ft (assist by E. Mudiay)
3:31.0,G. Vasquez makes 3-pt shot from 24 ft,3,52-43,,
3:30.0,,,52-43,,Denver full timeout
3:10.0,,,52-45,2,J. Hickson makes 2-pt shot from 1 ft (assist by E. Mudiay)
3:00.0,,,52-45,,Violation by J. Hickson (def goaltending)
3:00.0,G. Monroe makes 2-pt shot from 3 ft (assist by G. Vasquez),2,54-45,,
2:46.0,Personal foul by G. Monroe (drawn by E. Mudiay),,54-45,,
2:38.0,,,54-45,,G. Harris misses 2-pt shot from 2 ft
2:37.0,,,54-45,,Offensive rebound by D. Gallinari
2:35.0,,,54-45,,Turnover by D. Gallinari (lost ball; steal by G. Monroe)
2:30.0,K. Middleton makes 2-pt shot from 18 ft (assist by J. Bayless),2,56-45,,
2:11.0,,,56-48,3,D. Gallinari makes 3-pt shot from 23 ft (assist by E. Mudiay)
1:45.0,G. Monroe makes 2-pt shot from 1 ft (assist by K. Middleton),2,58-48,,
1:36.0,,,58-48,,Turnover by E. Mudiay (bad pass)
1:16.0,G. Vasquez misses 2-pt shot from 2 ft (block by K. Faried),,58-48,,
1:14.0,,,58-48,,Defensive rebound by D. Gallinari
1:10.0,,,58-50,2,D. Gallinari makes 2-pt shot from 2 ft
1:10.0,,,58-50,,Shooting foul by G. Monroe (drawn by D. Gallinari)
1:10.0,J. Henson enters the game for G. Monroe,,58-50,,
1:10.0,,,58-50,,W. Barton enters the game for J. Hickson
1:10.0,,,58-51,1,D. Gallinari makes free throw 1 of 1
1:03.0,J. Bayless makes 2-pt shot at rim (assist by G. Vasquez),2,60-51,,
0:45.0,,,60-53,2,K. Faried makes 2-pt shot at rim (assist by E. Mudiay)
0:32.0,G. Vasquez makes 2-pt shot from 10 ft (assist by J. Bayless),2,62-53,,
0:12.0,,,62-53,,E. Mudiay misses 2-pt shot from 10 ft (block by J. Henson)
0:09.0,Defensive rebound by J. Henson,,62-53,,
0:01.0,K. Middleton makes 2-pt shot from 19 ft,2,64-53,,
0:00.0,,,64-53,,D. Gallinari misses 3-pt shot from 53 ft (block by J. O'Bryant)
0:00.0,,,64-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,J. O'Bryant makes 2-pt shot from 16 ft,2,66-53,,
11:25.0,Personal foul by J. O'Bryant (drawn by K. Faried),,66-53,,
11:19.0,,,66-56,3,D. Gallinari makes 3-pt shot from 23 ft (assist by E. Mudiay)
11:04.0,,,66-56,,Personal foul by J. Hickson (drawn by G. Monroe)
10:59.0,K. Middleton makes 3-pt shot from 25 ft (assist by G. Monroe),3,69-56,,
10:38.0,,,69-59,3,G. Harris makes 3-pt shot from 24 ft (assist by E. Mudiay)
10:17.0,J. O'Bryant misses 2-pt shot from 20 ft,,69-59,,
10:16.0,,,69-59,,Defensive rebound by D. Gallinari
10:08.0,,,69-62,3,G. Harris makes 3-pt shot from 23 ft (assist by D. Gallinari)
9:47.0,G. Monroe misses 2-pt shot from 14 ft,,69-62,,
9:46.0,,,69-62,,Defensive rebound by E. Mudiay
9:38.0,,,69-64,2,E. Mudiay makes 2-pt shot from 18 ft
9:38.0,Milwaukee full timeout,,69-64,,
9:25.0,K. Middleton misses 2-pt shot from 12 ft,,69-64,,
9:24.0,Offensive rebound by J. O'Bryant,,69-64,,
9:11.0,G. Monroe makes 2-pt shot from 7 ft,2,71-64,,
9:01.0,Personal foul by T. Ennis (drawn by K. Faried),,71-64,,
8:51.0,,,71-64,,E. Mudiay misses 2-pt shot from 18 ft
8:50.0,Defensive rebound by G. Monroe,,71-64,,
8:32.0,K. Middleton misses 2-pt shot from 20 ft,,71-64,,
8:31.0,,,71-64,,Defensive rebound by J. Hickson
8:20.0,,,71-64,,J. Hickson misses 2-pt shot from 2 ft
8:19.0,,,71-64,,Offensive rebound by Team
8:07.0,,,71-64,,E. Mudiay misses 3-pt shot from 24 ft
8:06.0,Defensive rebound by G. Antetokounmpo,,71-64,,
7:55.0,Turnover by G. Antetokounmpo (traveling),,71-64,,
7:41.0,,,71-64,,Shooting foul by G. Antetokounmpo (drawn by J. Hickson)
7:41.0,,,71-65,1,J. Hickson makes free throw 1 of 2
7:41.0,,,71-66,1,J. Hickson makes free throw 2 of 2
7:25.0,,,71-66,,Violation by J. Hickson (def goaltending)
7:25.0,G. Monroe makes 2-pt shot from 3 ft (assist by G. Antetokounmpo),2,73-66,,
7:07.0,,,73-69,3,D. Gallinari makes 3-pt shot from 25 ft (assist by G. Harris)
6:45.0,Turnover by T. Ennis (bad pass; steal by K. Faried),,73-69,,
6:41.0,,,73-69,,G. Harris misses 2-pt shot at rim
6:40.0,,,73-69,,Offensive rebound by D. Gallinari
6:40.0,,,73-69,,D. Gallinari misses 2-pt shot from 1 ft
6:38.0,,,73-69,,Offensive rebound by Team
6:38.0,Loose ball foul by J. O'Bryant (drawn by D. Gallinari),,73-69,,
6:38.0,J. Bayless enters the game for J. O'Bryant,,73-69,,
6:38.0,G. Vasquez enters the game for T. Ennis,,73-69,,
6:30.0,,,73-69,,E. Mudiay misses 3-pt shot from 26 ft
6:29.0,Defensive rebound by G. Monroe,,73-69,,
6:10.0,G. Monroe makes 2-pt shot from 1 ft (assist by J. Bayless),2,75-69,,
6:00.0,Personal foul by G. Antetokounmpo (drawn by K. Faried),,75-69,,
6:00.0,,,75-70,1,K. Faried makes free throw 1 of 2
6:00.0,,,75-71,1,K. Faried makes free throw 2 of 2
5:43.0,J. Bayless misses 2-pt shot from 17 ft,,75-71,,
5:43.0,,,75-71,,Defensive rebound by D. Gallinari
5:28.0,,,75-73,2,E. Mudiay makes 2-pt shot from 1 ft
5:12.0,G. Antetokounmpo misses 3-pt shot from 23 ft,,75-73,,
5:11.0,,,75-73,,Defensive rebound by D. Gallinari
4:55.0,,,75-73,,E. Mudiay misses 2-pt shot from 1 ft
4:54.0,,,75-73,,Offensive rebound by E. Mudiay
4:53.0,,,75-73,,E. Mudiay misses 2-pt shot from 2 ft
4:50.0,,,75-73,,Offensive rebound by K. Faried
4:50.0,,,75-75,2,K. Faried makes 2-pt shot from 2 ft
4:35.0,G. Vasquez misses 3-pt shot from 24 ft,,75-75,,
4:35.0,,,75-75,,Defensive rebound by K. Faried
4:25.0,,,75-75,,E. Mudiay misses 3-pt shot from 24 ft
4:24.0,Defensive rebound by G. Monroe,,75-75,,
4:19.0,Turnover by G. Monroe (bad pass; steal by G. Harris),,75-75,,
4:15.0,,,75-75,,Shooting foul by G. Vasquez (drawn by K. Faried)
4:15.0,,,75-75,,K. Faried misses free throw 1 of 2
4:15.0,,,75-75,,Offensive rebound by Team
4:15.0,J. Henson enters the game for G. Monroe,,75-75,,
4:15.0,,,75-75,,D. Arthur enters the game for J. Hickson
4:15.0,,,75-75,,K. Faried misses free throw 2 of 2
4:13.0,Defensive rebound by K. Middleton,,75-75,,
3:55.0,Turnover by J. Henson (lost ball; steal by K. Faried),,75-75,,
3:50.0,,,75-77,2,K. Faried makes 2-pt shot from 1 ft (assist by G. Harris)
3:24.0,Turnover by Team (shot clock),,75-77,,
3:05.0,,,75-79,2,K. Faried makes 2-pt shot from 7 ft (assist by E. Mudiay)
2:43.0,Offensive foul by G. Antetokounmpo,,75-79,,
2:43.0,Turnover by G. Antetokounmpo (offensive foul),,75-79,,
2:43.0,,,75-79,,Denver full timeout
2:43.0,J. O'Bryant enters the game for G. Antetokounmpo,,75-79,,
2:42.0,,,75-79,,R. Foye enters the game for G. Harris
2:32.0,,,75-81,2,K. Faried makes 2-pt shot at rim (assist by D. Arthur)
2:14.0,G. Vasquez misses 2-pt shot from 9 ft (block by K. Faried),,75-81,,
2:12.0,,,75-81,,Defensive rebound by R. Foye
1:53.0,,,75-81,,Turnover by R. Foye (bad pass; steal by G. Vasquez)
1:47.0,J. O'Bryant makes 2-pt shot from 1 ft (assist by G. Vasquez),2,77-81,,
1:47.0,Shooting foul by D. Arthur (drawn by J. O'Bryant),,77-81,,
1:47.0,J. O'Bryant makes free throw 1 of 1,1,78-81,,
1:27.0,,,78-81,,E. Mudiay misses 2-pt shot from 17 ft
1:27.0,,,78-81,,Offensive rebound by Team
1:27.0,Loose ball foul by J. Henson (drawn by K. Faried),,78-81,,
1:27.0,,,78-81,,K. Faried misses free throw 1 of 2
1:27.0,,,78-81,,Offensive rebound by Team
1:27.0,,,78-81,,W. Barton enters the game for E. Mudiay
1:27.0,,,78-82,1,K. Faried makes free throw 2 of 2
1:09.0,,,78-82,,Personal foul by W. Barton (drawn by J. O'Bryant)
1:09.0,J. O'Bryant makes free throw 1 of 2,1,79-82,,
1:09.0,,,79-82,,N. Jokic enters the game for K. Faried
1:09.0,J. O'Bryant makes free throw 2 of 2,1,80-82,,
0:51.0,Personal foul by K. Middleton (drawn by D. Gallinari),,80-82,,
0:51.0,,,80-83,1,D. Gallinari makes free throw 1 of 2
0:51.0,,,80-84,1,D. Gallinari makes free throw 2 of 2
0:34.0,Turnover by J. Bayless (bad pass),,80-84,,
0:12.0,,,80-87,3,D. Gallinari makes 3-pt shot from 25 ft (assist by D. Arthur)
0:00.0,K. Middleton misses 2-pt shot from 15 ft,,80-87,,
0:00.0,Offensive rebound by J. Bayless,,80-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,80-89,2,R. Foye makes 2-pt shot from 18 ft (assist by N. Jokic)
11:20.0,G. Antetokounmpo misses 3-pt shot from 26 ft,,80-89,,
11:19.0,,,80-89,,Defensive rebound by K. Papanikolaou
11:08.0,,,80-89,,N. Jokic misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
11:07.0,,,80-89,,Offensive rebound by R. Foye
11:03.0,,,80-89,,D. Arthur misses 3-pt shot from 23 ft
11:02.0,Defensive rebound by G. Antetokounmpo,,80-89,,
10:41.0,Turnover by G. Vasquez (bad pass; steal by N. Jokic),,80-89,,
10:30.0,,,80-89,,Turnover by N. Jokic (bad pass)
10:14.0,J. Henson misses 2-pt shot from 3 ft (block by D. Arthur),,80-89,,
10:14.0,Jump ball: D. Arthur vs. J. Henson (G. Antetokounmpo gains possession),,,,Jump ball: D. Arthur vs. J. Henson (G. Antetokounmpo gains possession)
10:14.0,Offensive rebound by Team,,80-89,,
10:04.0,G. Antetokounmpo misses 2-pt shot from 15 ft,,80-89,,
10:03.0,,,80-89,,Defensive rebound by N. Jokic
9:54.0,,,80-91,2,W. Barton makes 2-pt shot from 8 ft
9:29.0,R. Vaughn misses 3-pt shot from 26 ft,,80-91,,
9:29.0,,,80-91,,Defensive rebound by R. Foye
9:19.0,,,80-93,2,R. Foye makes 2-pt shot from 22 ft
9:19.0,Milwaukee full timeout,,80-93,,
9:19.0,G. Monroe enters the game for J. Henson,,80-93,,
9:19.0,K. Middleton enters the game for R. Vaughn,,80-93,,
9:14.0,,,80-93,,Personal foul by D. Arthur (drawn by G. Antetokounmpo)
9:05.0,Shooting foul by R. Foye (drawn by J. Bayless),,80-93,,
9:05.0,J. Bayless misses free throw 1 of 3,,80-93,,
9:05.0,Offensive rebound by Team,,80-93,,
9:05.0,J. Bayless makes free throw 2 of 3,1,81-93,,
9:05.0,J. Bayless makes free throw 3 of 3,1,82-93,,
8:53.0,,,82-95,2,N. Jokic makes 2-pt shot from 2 ft (assist by W. Barton)
8:53.0,,,82-95,,Shooting foul by G. Antetokounmpo (drawn by N. Jokic)
8:53.0,,,82-95,,N. Jokic misses free throw 1 of 1
8:52.0,Defensive rebound by G. Antetokounmpo,,82-95,,
8:38.0,G. Vasquez misses 2-pt shot from 9 ft,,82-95,,
8:37.0,,,82-95,,Defensive rebound by W. Barton
8:30.0,Violation by J. Bayless (kicked ball),,82-95,,
8:30.0,J. O'Bryant enters the game for G. Antetokounmpo,,82-95,,
8:19.0,,,82-95,,N. Jokic misses 2-pt shot from 3 ft
8:18.0,,,82-95,,Offensive rebound by N. Jokic
8:09.0,,,82-95,,K. Papanikolaou misses 3-pt shot from 22 ft
8:07.0,,,82-95,,Offensive rebound by K. Papanikolaou
8:04.0,,,82-95,,Turnover by K. Papanikolaou (bad pass; steal by K. Middleton)
7:54.0,K. Middleton misses 3-pt shot from 22 ft,,82-95,,
7:53.0,Offensive rebound by J. O'Bryant,,82-95,,
7:39.0,J. Bayless misses 2-pt shot from 6 ft,,82-95,,
7:38.0,Offensive rebound by Team,,82-95,,
7:38.0,,,82-95,,D. Gallinari enters the game for K. Papanikolaou
7:32.0,K. Middleton misses 2-pt shot from 20 ft,,82-95,,
7:31.0,,,82-95,,Defensive rebound by W. Barton
7:15.0,,,82-95,,Turnover by N. Jokic (lost ball; steal by J. Bayless)
7:12.0,,,82-95,,Shooting block foul by R. Foye (drawn by J. Bayless)
7:12.0,J. Bayless makes free throw 1 of 2,1,83-95,,
7:12.0,,,83-95,,K. Faried enters the game for D. Arthur
7:12.0,J. Bayless makes free throw 2 of 2,1,84-95,,
7:01.0,Personal foul by J. Bayless (drawn by N. Jokic),,84-95,,
7:01.0,,,84-95,,J. Hickson enters the game for N. Jokic
6:43.0,,,84-95,,D. Gallinari misses 3-pt shot from 24 ft
6:42.0,Defensive rebound by J. O'Bryant,,84-95,,
6:32.0,J. Bayless makes 2-pt shot from 3 ft (assist by J. O'Bryant),2,86-95,,
6:32.0,,,86-95,,Denver full timeout
6:32.0,,,86-95,,E. Mudiay enters the game for W. Barton
6:06.0,,,86-95,,R. Foye misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by J. Bayless,,86-95,,
6:05.0,J. Bayless makes 2-pt shot from 2 ft,2,88-95,,
6:05.0,Shooting foul by E. Mudiay (drawn by J. Bayless),,88-95,,
6:05.0,J. Bayless makes free throw 1 of 1,1,89-95,,
5:46.0,,,89-95,,R. Foye misses 3-pt shot from 24 ft
5:45.0,Defensive rebound by J. O'Bryant,,89-95,,
5:31.0,G. Vasquez misses 3-pt shot from 24 ft,,89-95,,
5:30.0,Offensive rebound by G. Monroe,,89-95,,
5:16.0,G. Monroe misses 2-pt shot from 1 ft,,89-95,,
5:15.0,Offensive rebound by G. Monroe,,89-95,,
5:15.0,G. Monroe makes 2-pt shot from 1 ft,2,91-95,,
4:58.0,,,91-95,,Turnover by D. Gallinari (traveling)
4:53.0,J. Bayless makes 2-pt shot from 1 ft (assist by G. Vasquez),2,93-95,,
4:29.0,,,93-97,2,J. Hickson makes 2-pt shot from 9 ft (assist by E. Mudiay)
4:10.0,G. Vasquez misses 3-pt shot from 24 ft,,93-97,,
4:07.0,,,93-97,,Defensive rebound by K. Faried
4:05.0,,,93-97,,Turnover by K. Faried (bad pass; steal by J. Bayless)
4:03.0,Turnover by G. Monroe (lost ball; steal by D. Gallinari),,93-97,,
4:03.0,Personal foul by J. Bayless (drawn by D. Gallinari),,93-97,,
3:52.0,Personal block foul by J. O'Bryant (drawn by K. Faried),,93-97,,
3:52.0,,,93-97,,G. Harris enters the game for R. Foye
3:37.0,,,93-97,,E. Mudiay misses 3-pt shot from 26 ft
3:36.0,,,93-97,,Offensive rebound by K. Faried
3:33.0,,,93-97,,Turnover by K. Faried (lost ball; steal by K. Middleton)
3:11.0,G. Monroe makes 2-pt shot at rim (assist by J. O'Bryant),2,95-97,,
2:48.0,,,95-97,,Shooting foul by J. Bayless (drawn by E. Mudiay)
2:48.0,Official timeout,,95-97,,
2:48.0,,,95-97,,E. Mudiay misses free throw 1 of 2
2:48.0,,,95-97,,Offensive rebound by Team
2:48.0,,,95-98,1,E. Mudiay makes free throw 2 of 2
2:37.0,Turnover by J. Bayless (lost ball; steal by G. Harris),,95-98,,
2:19.0,,,95-98,,Turnover by D. Gallinari (bad pass; steal by K. Middleton)
2:15.0,J. Bayless misses 2-pt shot from 2 ft (block by K. Faried),,95-98,,
2:14.0,Offensive rebound by Team,,95-98,,
2:00.0,G. Vasquez misses 3-pt shot from 25 ft,,95-98,,
1:59.0,Offensive rebound by J. O'Bryant,,95-98,,
1:54.0,J. Bayless makes 3-pt shot from 24 ft (assist by G. Vasquez),3,98-98,,
1:37.0,,,98-98,,J. Hickson misses 2-pt shot at rim
1:37.0,Defensive rebound by J. O'Bryant,,98-98,,
1:21.0,J. O'Bryant makes 2-pt shot from 18 ft (assist by J. Bayless),2,100-98,,
1:21.0,,,100-98,,Denver full timeout
1:18.0,,,100-98,,Turnover by J. Hickson (offensive foul)
1:18.0,,,100-98,,Offensive foul by J. Hickson
0:58.0,G. Monroe misses 2-pt shot from 8 ft,,100-98,,
0:57.0,,,100-98,,Defensive rebound by K. Faried
0:47.0,Personal foul by J. Bayless (drawn by E. Mudiay),,100-98,,
0:47.0,,,100-99,1,E. Mudiay makes free throw 1 of 2
0:47.0,,,100-99,,E. Mudiay misses free throw 2 of 2
0:47.0,Defensive rebound by G. Vasquez,,100-99,,
0:47.0,Milwaukee full timeout,,100-99,,
0:36.0,K. Middleton misses 3-pt shot from 25 ft,,100-99,,
0:33.0,,,100-99,,Defensive rebound by K. Faried
0:28.0,,,100-99,,Shooting foul by J. O'Bryant (drawn by E. Mudiay)
0:28.0,G. Antetokounmpo enters the game for J. O'Bryant,,100-99,,
0:28.0,,,100-100,1,E. Mudiay makes free throw 1 of 2
