time,Cleveland,pts.away,score,pts.home,Dallas
0:48.0,,,22-25,2,J. McGee makes 2-pt shot at rim (assist by D. Harris)
0:34.0,Turnover by L. James (bad pass; steal by D. Harris),,22-25,,
0:27.0,,,22-25,,D. Harris misses 2-pt shot from 6 ft
0:25.0,Defensive rebound by T. Mozgov,,22-25,,
0:05.0,M. Dellavedova misses 2-pt shot from 11 ft (block by J. McGee),,22-25,,
0:04.0,Offensive rebound by Team,,22-25,,
0:02.0,T. Mozgov misses 2-pt shot from 17 ft,,22-25,,
0:01.0,Offensive rebound by M. Dellavedova,,22-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,22-25,,Turnover by J. McGee (offensive goaltending)
11:22.0,K. Love misses 3-pt shot from 25 ft,,22-25,,
11:21.0,,,22-25,,Defensive rebound by C. Parsons
11:09.0,,,22-25,,D. Nowitzki misses 2-pt shot from 12 ft
11:07.0,Defensive rebound by I. Shumpert,,22-25,,
10:45.0,I. Shumpert misses 3-pt shot from 23 ft,,22-25,,
10:45.0,,,22-25,,Defensive rebound by C. Parsons
10:36.0,,,22-25,,J. Barea misses 3-pt shot from 24 ft
10:34.0,Defensive rebound by K. Love,,22-25,,
10:28.0,M. Dellavedova misses 2-pt shot from 5 ft,,22-25,,
10:27.0,,,22-25,,Defensive rebound by D. Nowitzki
10:20.0,,,22-28,3,D. Harris makes 3-pt shot from 25 ft
10:00.0,K. Love misses 2-pt shot from 6 ft,,22-28,,
9:59.0,Offensive rebound by Team,,22-28,,
9:59.0,K. Irving enters the game for M. Dellavedova,,22-28,,
9:53.0,Turnover by I. Shumpert (bad pass),,22-28,,
9:38.0,,,22-28,,C. Parsons misses 3-pt shot from 23 ft
9:37.0,Defensive rebound by K. Love,,22-28,,
9:27.0,K. Love makes 2-pt shot from 22 ft (assist by K. Irving),2,24-28,,
9:05.0,,,24-30,2,J. Barea makes 2-pt shot from 4 ft
8:46.0,I. Shumpert misses 2-pt shot from 13 ft,,24-30,,
8:43.0,,,24-30,,Defensive rebound by J. McGee
8:32.0,,,24-30,,Shooting foul by K. Irving (drawn by J. Barea)
8:32.0,Official timeout,,24-30,,
8:32.0,,,24-31,1,J. Barea makes free throw 1 of 2
8:32.0,,,24-32,1,J. Barea makes free throw 2 of 2
8:24.0,K. Irving misses 2-pt shot from 16 ft,,24-32,,
8:22.0,Offensive rebound by K. Love,,24-32,,
8:06.0,R. Jefferson misses 2-pt shot from 2 ft (block by J. McGee),,24-32,,
8:05.0,Offensive rebound by T. Mozgov,,24-32,,
8:04.0,T. Mozgov misses 2-pt shot from 1 ft (block by J. McGee),,24-32,,
8:03.0,,,24-32,,Defensive rebound by J. Barea
7:57.0,,,24-32,,Turnover by D. Nowitzki (bad pass; steal by T. Mozgov)
7:53.0,K. Irving makes 2-pt shot from 1 ft,2,26-32,,
7:53.0,Shooting foul by J. Barea (drawn by K. Irving),,26-32,,
7:53.0,K. Irving makes free throw 1 of 1,1,27-32,,
7:41.0,,,27-32,,Turnover by C. Parsons (lost ball; steal by I. Shumpert)
7:35.0,I. Shumpert makes 2-pt shot from 1 ft (assist by R. Jefferson),2,29-32,,
7:34.0,,,29-32,,Dallas full timeout
7:34.0,,,29-32,,Z. Pachulia enters the game for D. Nowitzki
7:34.0,,,29-32,,D. Williams enters the game for J. McGee
7:34.0,,,29-32,,R. Felton enters the game for D. Harris
7:34.0,,,29-32,,W. Matthews enters the game for J. Barea
7:24.0,,,29-34,2,Z. Pachulia makes 2-pt shot from 10 ft (assist by D. Williams)
7:05.0,K. Irving misses 2-pt shot from 8 ft (block by R. Felton),,29-34,,
7:02.0,,,29-34,,Defensive rebound by R. Felton
6:50.0,,,29-34,,W. Matthews misses 3-pt shot from 25 ft
6:49.0,,,29-34,,Offensive rebound by Z. Pachulia
6:42.0,,,29-36,2,D. Williams makes 2-pt shot from 18 ft
6:21.0,K. Love misses 2-pt shot from 8 ft,,29-36,,
6:19.0,,,29-36,,Defensive rebound by Z. Pachulia
6:11.0,,,29-38,2,C. Parsons makes 2-pt shot from 18 ft (assist by D. Williams)
5:49.0,I. Shumpert makes 3-pt shot from 24 ft (assist by K. Irving),3,32-38,,
5:40.0,,,32-38,,Turnover by D. Williams (bad pass; steal by I. Shumpert)
5:37.0,Offensive charge foul by I. Shumpert,,32-38,,
5:37.0,Turnover by I. Shumpert (offensive foul),,32-38,,
5:37.0,T. Thompson enters the game for T. Mozgov,,32-38,,
5:37.0,L. James enters the game for R. Jefferson,,32-38,,
5:25.0,,,32-38,,Shooting foul by K. Love (drawn by Z. Pachulia)
5:25.0,,,32-39,1,Z. Pachulia makes free throw 1 of 2
5:25.0,J. Smith enters the game for I. Shumpert,,32-39,,
5:25.0,,,32-40,1,Z. Pachulia makes free throw 2 of 2
5:12.0,J. Smith misses 3-pt shot from 23 ft,,32-40,,
5:11.0,,,32-40,,Defensive rebound by W. Matthews
5:05.0,,,32-40,,C. Parsons misses 3-pt shot from 25 ft
5:04.0,Defensive rebound by T. Thompson,,32-40,,
4:53.0,,,32-40,,Personal foul by C. Parsons (drawn by L. James)
4:45.0,K. Irving makes 2-pt shot from 10 ft,2,34-40,,
4:45.0,Shooting foul by R. Felton (drawn by K. Irving),,34-40,,
4:45.0,K. Irving misses free throw 1 of 1,,34-40,,
4:45.0,,,34-40,,Defensive rebound by C. Parsons
4:23.0,,,34-40,,Z. Pachulia misses 2-pt shot from 7 ft
4:22.0,Defensive rebound by T. Thompson,,34-40,,
4:05.0,L. James makes 3-pt shot from 27 ft (assist by K. Irving),3,37-40,,
3:40.0,,,37-40,,W. Matthews misses 3-pt shot from 26 ft
3:39.0,,,37-40,,Offensive rebound by Z. Pachulia
3:35.0,,,37-42,2,C. Parsons makes 2-pt shot from 6 ft
3:08.0,K. Irving misses 2-pt shot from 12 ft (block by R. Felton),,37-42,,
3:06.0,,,37-42,,Defensive rebound by Z. Pachulia
2:57.0,,,37-42,,W. Matthews misses 2-pt shot from 7 ft
2:55.0,,,37-42,,Offensive rebound by Z. Pachulia
2:47.0,,,37-44,2,Z. Pachulia makes 2-pt shot at rim (assist by D. Williams)
2:47.0,Cleveland full timeout,,37-44,,
2:47.0,,,37-44,,D. Nowitzki enters the game for C. Parsons
2:47.0,M. Dellavedova enters the game for K. Love,,37-44,,
2:32.0,K. Irving misses 3-pt shot from 26 ft,,37-44,,
2:31.0,Offensive rebound by M. Dellavedova,,37-44,,
2:27.0,K. Irving misses 2-pt shot from 6 ft,,37-44,,
2:25.0,,,37-44,,Defensive rebound by D. Nowitzki
2:24.0,,,37-44,,Turnover by D. Nowitzki (lost ball; steal by K. Irving)
2:20.0,M. Dellavedova misses 3-pt shot from 24 ft,,37-44,,
2:19.0,,,37-44,,Defensive rebound by D. Nowitzki
2:06.0,,,37-46,2,D. Williams makes 2-pt shot from 18 ft (assist by R. Felton)
1:38.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by L. James),3,40-46,,
1:34.0,,,40-46,,Turnover by D. Williams (lost ball; steal by M. Dellavedova)
1:30.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by K. Irving),3,43-46,,
1:11.0,Personal foul by L. James (drawn by D. Nowitzki),,43-46,,
1:08.0,Personal foul by T. Thompson (drawn by Z. Pachulia),,43-46,,
1:08.0,,,43-47,1,Z. Pachulia makes free throw 1 of 2
1:08.0,,,43-48,1,Z. Pachulia makes free throw 2 of 2
0:45.0,J. Smith makes 2-pt shot from 18 ft,2,45-48,,
0:30.0,,,45-50,2,D. Williams makes 2-pt shot from 5 ft
0:10.0,,,45-50,,Shooting block foul by W. Matthews (drawn by L. James)
0:10.0,L. James makes free throw 1 of 2,1,46-50,,
0:10.0,L. James makes free throw 2 of 2,1,47-50,,
0:01.0,,,47-52,2,R. Felton makes 2-pt shot from 11 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,47-52,,Turnover by D. Williams (bad pass)
11:28.0,J. Smith makes 3-pt shot from 23 ft (assist by K. Irving),3,50-52,,
11:13.0,,,50-52,,D. Nowitzki misses 2-pt shot from 19 ft
11:12.0,Defensive rebound by K. Love,,50-52,,
10:56.0,K. Irving makes 2-pt shot from 9 ft,2,52-52,,
10:45.0,Personal foul by L. James (drawn by C. Parsons),,52-52,,
10:36.0,Personal foul by K. Irving (drawn by D. Williams),,52-52,,
10:26.0,,,52-52,,Turnover by D. Williams (lost ball)
10:12.0,K. Irving misses 3-pt shot from 24 ft,,52-52,,
10:12.0,,,52-52,,Defensive rebound by W. Matthews
9:59.0,,,52-55,3,C. Parsons makes 3-pt shot from 24 ft (assist by D. Williams)
9:40.0,K. Love misses 3-pt shot from 24 ft,,52-55,,
9:37.0,,,52-55,,Defensive rebound by W. Matthews
9:29.0,,,52-55,,D. Nowitzki misses 2-pt shot from 16 ft
9:27.0,Defensive rebound by T. Thompson,,52-55,,
9:09.0,Turnover by K. Irving (lost ball; steal by D. Williams),,52-55,,
9:03.0,,,52-58,3,W. Matthews makes 3-pt shot from 23 ft (assist by D. Williams)
8:38.0,L. James makes 3-pt shot from 24 ft (assist by K. Irving),3,55-58,,
8:23.0,,,55-60,2,D. Nowitzki makes 2-pt shot from 12 ft
8:10.0,Turnover by K. Irving (bad pass; steal by C. Parsons),,55-60,,
8:10.0,Personal take foul by K. Love (drawn by C. Parsons),,55-60,,
8:10.0,M. Dellavedova enters the game for K. Irving,,55-60,,
7:58.0,Personal foul by T. Thompson (drawn by D. Nowitzki),,55-60,,
7:51.0,,,55-62,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by W. Matthews)
7:37.0,L. James misses 3-pt shot from 25 ft,,55-62,,
7:36.0,,,55-62,,Defensive rebound by W. Matthews
7:22.0,,,55-62,,Turnover by Z. Pachulia (bad pass; steal by J. Smith)
7:15.0,J. Smith misses 3-pt shot from 24 ft,,55-62,,
7:13.0,,,55-62,,Defensive rebound by D. Nowitzki
6:52.0,,,55-62,,C. Parsons misses 3-pt shot from 28 ft
6:52.0,Defensive rebound by L. James,,55-62,,
6:40.0,K. Love misses 2-pt shot from 9 ft,,55-62,,
6:38.0,,,55-62,,Defensive rebound by C. Parsons
6:22.0,,,55-62,,Z. Pachulia misses 2-pt shot from 2 ft (block by K. Love)
6:22.0,,,55-62,,Offensive rebound by Team
6:21.0,,,55-64,2,C. Parsons makes 2-pt shot at rim (assist by D. Williams)
6:18.0,Cleveland full timeout,,55-64,,
6:18.0,,,55-64,,R. Felton enters the game for D. Nowitzki
6:01.0,,,55-64,,Shooting block foul by W. Matthews (drawn by L. James)
6:01.0,L. James misses free throw 1 of 2,,55-64,,
6:01.0,Offensive rebound by Team,,55-64,,
6:01.0,I. Shumpert enters the game for K. Love,,55-64,,
6:01.0,L. James makes free throw 2 of 2,1,56-64,,
5:42.0,,,56-64,,D. Williams misses 3-pt shot from 25 ft
5:40.0,Defensive rebound by T. Thompson,,56-64,,
5:34.0,M. Dellavedova misses 3-pt shot from 25 ft,,56-64,,
5:32.0,,,56-64,,Defensive rebound by Z. Pachulia
5:25.0,Personal foul by I. Shumpert (drawn by C. Parsons),,56-64,,
5:25.0,,,56-64,,C. Parsons misses free throw 1 of 2
5:25.0,,,56-64,,Offensive rebound by Team
5:25.0,,,56-65,1,C. Parsons makes free throw 2 of 2
5:14.0,Turnover by L. James (bad pass; steal by C. Parsons),,56-65,,
5:02.0,,,56-65,,Turnover by Z. Pachulia (bad pass; steal by J. Smith)
5:01.0,,,56-65,,Personal foul by Z. Pachulia (drawn by J. Smith)
4:51.0,M. Dellavedova misses 2-pt shot from 8 ft,,56-65,,
4:49.0,,,56-65,,Defensive rebound by Z. Pachulia
4:41.0,,,56-65,,Turnover by D. Williams (bad pass; steal by J. Smith)
4:34.0,I. Shumpert misses 3-pt shot from 25 ft,,56-65,,
4:33.0,Offensive rebound by T. Thompson,,56-65,,
4:33.0,,,56-65,,Personal foul by W. Matthews (drawn by T. Thompson)
4:20.0,J. Smith misses 3-pt shot from 25 ft,,56-65,,
4:19.0,,,56-65,,Defensive rebound by C. Parsons
4:12.0,,,56-65,,Dallas full timeout
4:06.0,,,56-65,,Shooting foul by M. Dellavedova (drawn by D. Williams)
4:06.0,,,56-66,1,D. Williams makes free throw 1 of 2
4:06.0,,,56-67,1,D. Williams makes free throw 2 of 2
3:44.0,I. Shumpert makes 3-pt shot from 24 ft (assist by J. Smith),3,59-67,,
3:23.0,Shooting block foul by I. Shumpert (drawn by C. Parsons),,59-67,,
3:23.0,,,59-67,,C. Parsons misses free throw 1 of 2
3:23.0,,,59-67,,Offensive rebound by Team
3:23.0,T. Mozgov enters the game for T. Thompson,,59-67,,
3:23.0,R. Jefferson enters the game for I. Shumpert,,59-67,,
3:23.0,,,59-67,,J. McGee enters the game for Z. Pachulia
3:23.0,,,59-68,1,C. Parsons makes free throw 2 of 2
3:06.0,J. Smith makes 2-pt shot from 15 ft,2,61-68,,
2:47.0,,,61-68,,R. Felton misses 2-pt shot from 19 ft
2:46.0,Defensive rebound by R. Jefferson,,61-68,,
2:38.0,L. James makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,63-68,,
2:30.0,,,63-68,,Dallas full timeout
2:30.0,,,63-68,,D. Nowitzki enters the game for C. Parsons
2:20.0,,,63-68,,D. Nowitzki misses 3-pt shot from 26 ft
2:19.0,Defensive rebound by T. Mozgov,,63-68,,
1:56.0,L. James misses 2-pt shot from 13 ft,,63-68,,
1:54.0,,,63-68,,Defensive rebound by D. Nowitzki
1:42.0,,,63-68,,R. Felton misses 2-pt shot from 22 ft
1:41.0,Defensive rebound by R. Jefferson,,63-68,,
1:36.0,,,63-68,,Personal foul by J. McGee (drawn by T. Mozgov)
1:36.0,,,63-68,,D. Harris enters the game for D. Williams
1:36.0,,,63-68,,J. Barea enters the game for R. Felton
1:36.0,K. Irving enters the game for L. James,,63-68,,
1:30.0,T. Mozgov makes 2-pt shot at rim (assist by M. Dellavedova),2,65-68,,
1:06.0,,,65-70,2,J. McGee makes 2-pt shot at rim (assist by J. Barea)
0:48.0,M. Dellavedova misses 2-pt shot from 8 ft,,65-70,,
0:47.0,,,65-70,,Defensive rebound by J. Barea
0:41.0,,,65-70,,D. Harris misses 3-pt shot from 25 ft
0:40.0,,,65-70,,Offensive rebound by Team
0:40.0,Personal foul by R. Jefferson (drawn by J. McGee),,65-70,,
0:40.0,,,65-70,,D. Williams enters the game for W. Matthews
0:40.0,,,65-70,,J. McGee misses free throw 1 of 2
0:40.0,,,65-70,,Offensive rebound by Team
0:40.0,,,65-70,,J. McGee misses free throw 2 of 2
0:40.0,Defensive rebound by R. Jefferson,,65-70,,
0:31.0,K. Irving misses 3-pt shot from 24 ft,,65-70,,
0:30.0,,,65-70,,Defensive rebound by D. Williams
0:28.0,Personal take foul by M. Dellavedova (drawn by J. McGee),,65-70,,
0:28.0,,,65-71,1,J. McGee makes free throw 1 of 2
0:28.0,,,65-72,1,J. McGee makes free throw 2 of 2
0:06.0,K. Irving makes 2-pt shot from 2 ft,2,67-72,,
0:01.0,,,67-72,,J. Barea misses 3-pt shot from 36 ft
0:00.0,,,67-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,K. Irving misses 2-pt shot from 7 ft,,67-72,,
11:39.0,Offensive rebound by T. Mozgov,,67-72,,
11:34.0,R. Jefferson makes 2-pt shot at rim (assist by J. Smith),2,69-72,,
11:11.0,,,69-72,,D. Nowitzki misses 2-pt shot from 16 ft
11:10.0,Defensive rebound by K. Irving,,69-72,,
11:05.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by K. Irving),3,72-72,,
10:38.0,,,72-74,2,J. McGee makes 2-pt shot from 4 ft (assist by D. Harris)
10:15.0,I. Shumpert enters the game for J. Smith,,72-74,,
10:12.0,R. Jefferson misses 3-pt shot from 27 ft,,72-74,,
10:11.0,Offensive rebound by T. Mozgov,,72-74,,
10:00.0,K. Irving makes 3-pt shot from 23 ft,3,75-74,,
9:46.0,,,75-76,2,J. McGee makes 2-pt shot at rim (assist by D. Harris)
9:27.0,T. Mozgov makes 2-pt shot at rim (assist by M. Dellavedova),2,77-76,,
9:16.0,Personal foul by R. Jefferson (drawn by D. Nowitzki),,77-76,,
9:09.0,,,77-78,2,D. Harris makes 2-pt shot from 12 ft
8:42.0,R. Jefferson misses 3-pt shot from 24 ft,,77-78,,
8:42.0,Offensive rebound by Team,,77-78,,
8:42.0,Turnover by Team (shot clock),,77-78,,
8:42.0,Official timeout,,77-78,,
8:42.0,,,77-78,,W. Matthews enters the game for D. Williams
8:42.0,L. James enters the game for M. Dellavedova,,77-78,,
8:42.0,K. Love enters the game for R. Jefferson,,77-78,,
8:23.0,,,77-78,,W. Matthews misses 3-pt shot from 22 ft
8:22.0,,,77-78,,Offensive rebound by Team
8:06.0,,,77-78,,D. Harris misses 2-pt shot from 2 ft
8:03.0,Defensive rebound by I. Shumpert,,77-78,,
7:55.0,T. Mozgov makes 2-pt shot at rim (assist by K. Irving),2,79-78,,
7:40.0,,,79-81,3,J. Barea makes 3-pt shot from 24 ft
7:21.0,I. Shumpert misses 3-pt shot from 22 ft,,79-81,,
7:20.0,,,79-81,,Defensive rebound by D. Nowitzki
7:20.0,Personal foul by K. Love (drawn by D. Nowitzki),,79-81,,
7:20.0,,,79-81,,C. Parsons enters the game for D. Nowitzki
7:20.0,,,79-81,,Z. Pachulia enters the game for J. McGee
7:04.0,,,79-81,,C. Parsons misses 2-pt shot from 5 ft (block by K. Love)
7:02.0,Defensive rebound by T. Mozgov,,79-81,,
6:55.0,K. Love makes 3-pt shot from 25 ft (assist by I. Shumpert),3,82-81,,
6:48.0,,,82-81,,Dallas full timeout
6:48.0,,,82-81,,D. Williams enters the game for J. Barea
6:35.0,,,82-83,2,C. Parsons makes 2-pt shot from 19 ft (assist by D. Harris)
6:09.0,K. Irving makes 3-pt shot from 26 ft (assist by L. James),3,85-83,,
5:44.0,,,85-83,,Turnover by C. Parsons (bad pass; steal by L. James)
5:40.0,Turnover by L. James (bad pass),,85-83,,
5:26.0,,,85-83,,D. Harris misses 3-pt shot from 24 ft
5:26.0,Defensive rebound by K. Love,,85-83,,
5:10.0,Shooting foul by D. Harris (drawn by T. Mozgov),,85-83,,
5:10.0,T. Mozgov makes free throw 1 of 2,1,86-83,,
5:10.0,,,86-83,,D. Nowitzki enters the game for D. Harris
5:10.0,T. Mozgov makes free throw 2 of 2,1,87-83,,
5:02.0,,,87-83,,Shooting foul by T. Mozgov (drawn by Z. Pachulia)
5:02.0,,,87-84,1,Z. Pachulia makes free throw 1 of 2
5:02.0,J. Smith enters the game for T. Mozgov,,87-84,,
5:02.0,,,87-85,1,Z. Pachulia makes free throw 2 of 2
4:42.0,K. Love misses 3-pt shot from 24 ft,,87-85,,
4:41.0,Offensive rebound by K. Love,,87-85,,
4:36.0,K. Love misses 2-pt shot from 1 ft,,87-85,,
4:35.0,Offensive rebound by L. James,,87-85,,
4:33.0,I. Shumpert misses 3-pt shot from 25 ft,,87-85,,
4:32.0,Offensive rebound by K. Love,,87-85,,
4:32.0,K. Love misses 2-pt shot from 1 ft,,87-85,,
4:31.0,Offensive rebound by K. Love,,87-85,,
4:31.0,,,87-85,,Personal foul by D. Nowitzki (drawn by K. Love)
4:18.0,I. Shumpert makes 2-pt shot from 2 ft,2,89-85,,
4:02.0,,,89-85,,W. Matthews misses 3-pt shot from 25 ft
4:01.0,Defensive rebound by L. James,,89-85,,
3:36.0,L. James misses 2-pt shot from 17 ft,,89-85,,
3:34.0,Offensive rebound by K. Love,,89-85,,
3:20.0,Turnover by K. Irving (step out of bounds),,89-85,,
3:06.0,,,89-85,,D. Nowitzki misses 2-pt shot from 10 ft
3:04.0,,,89-85,,Offensive rebound by Z. Pachulia
2:58.0,,,89-85,,D. Williams misses 3-pt shot from 24 ft
2:57.0,,,89-85,,Offensive rebound by W. Matthews
2:55.0,,,89-88,3,W. Matthews makes 3-pt shot from 25 ft
2:43.0,Cleveland full timeout,,89-88,,
2:30.0,I. Shumpert misses 2-pt shot from 1 ft,,89-88,,
2:29.0,,,89-88,,Defensive rebound by Z. Pachulia
2:05.0,,,89-91,3,W. Matthews makes 3-pt shot from 24 ft (assist by C. Parsons)
1:41.0,Shooting foul by D. Williams (drawn by K. Irving),,89-91,,
1:41.0,K. Irving makes free throw 1 of 2,1,90-91,,
1:41.0,K. Irving makes free throw 2 of 2,1,91-91,,
1:21.0,,,91-91,,Shooting foul by J. Smith (drawn by W. Matthews)
1:21.0,,,91-92,1,W. Matthews makes free throw 1 of 2
1:21.0,M. Dellavedova enters the game for I. Shumpert,,91-92,,
1:21.0,,,91-93,1,W. Matthews makes free throw 2 of 2
1:00.0,L. James misses 2-pt shot from 12 ft,,91-93,,
1:00.0,,,91-93,,Defensive rebound by D. Nowitzki
0:45.0,,,91-93,,D. Williams misses 3-pt shot from 24 ft
0:45.0,Defensive rebound by L. James,,91-93,,
0:39.0,,,91-93,,Personal foul by C. Parsons (drawn by L. James)
0:39.0,L. James makes free throw 1 of 2,1,92-93,,
0:39.0,L. James makes free throw 2 of 2,1,93-93,,
0:39.0,,,93-93,,Dallas full timeout
0:39.0,I. Shumpert enters the game for K. Love,,93-93,,
0:39.0,T. Thompson enters the game for K. Irving,,93-93,,
0:29.0,,,93-95,2,D. Williams makes 2-pt shot from 4 ft
0:29.0,Cleveland full timeout,,93-95,,
0:29.0,,,93-95,,D. Harris enters the game for D. Nowitzki
0:29.0,K. Love enters the game for T. Thompson,,93-95,,
0:29.0,K. Irving enters the game for I. Shumpert,,93-95,,
0:21.0,L. James makes 2-pt shot at rim,2,95-95,,
0:21.0,,,95-95,,Dallas full timeout
0:21.0,,,95-95,,D. Nowitzki enters the game for D. Harris
0:21.0,I. Shumpert enters the game for K. Love,,95-95,,
0:21.0,T. Thompson enters the game for K. Irving,,95-95,,
