time,Orlando,pts.away,score,pts.home,Boston
7:12.0,D. Dedmon misses 2-pt shot from 1 ft (block by E. Turner),,4-7,,
7:12.0,,,4-7,,Defensive rebound by E. Turner
7:10.0,Violation by D. Dedmon (kicked ball),,4-7,,
6:53.0,,,4-7,,J. Sullinger misses 2-pt shot from 19 ft
6:52.0,Defensive rebound by V. Oladipo,,4-7,,
6:30.0,A. Gordon misses 2-pt shot at rim,,4-7,,
6:29.0,,,4-7,,Defensive rebound by I. Thomas
6:28.0,,,4-9,2,A. Bradley makes 2-pt shot from 2 ft (assist by I. Thomas)
6:28.0,Orlando full timeout,,4-9,,
6:28.0,J. Smith enters the game for D. Dedmon,,4-9,,
6:08.0,J. Smith misses 2-pt shot from 15 ft,,4-9,,
6:08.0,,,4-9,,Defensive rebound by A. Bradley
5:49.0,,,4-12,3,E. Turner makes 3-pt shot from 25 ft (assist by I. Thomas)
5:23.0,B. Jennings misses 2-pt shot from 11 ft,,4-12,,
5:22.0,,,4-12,,Defensive rebound by A. Johnson
5:12.0,,,4-14,2,I. Thomas makes 2-pt shot from 13 ft
4:45.0,J. Smith misses 2-pt shot from 2 ft,,4-14,,
4:44.0,Offensive rebound by J. Smith,,4-14,,
4:43.0,J. Smith makes 2-pt shot from 2 ft,2,6-14,,
4:35.0,,,6-14,,Turnover by A. Johnson (bad pass)
4:35.0,,,6-14,,M. Smart enters the game for J. Sullinger
4:35.0,,,6-14,,K. Olynyk enters the game for A. Bradley
4:35.0,E. Payton enters the game for B. Jennings,,6-14,,
4:18.0,E. Fournier makes 2-pt shot from 1 ft,2,8-14,,
4:05.0,,,8-14,,E. Turner misses 2-pt shot from 7 ft
4:04.0,Defensive rebound by V. Oladipo,,8-14,,
3:54.0,V. Oladipo makes 2-pt shot from 1 ft,2,10-14,,
3:49.0,,,10-14,,Turnover by I. Thomas (lost ball; steal by V. Oladipo)
3:36.0,Turnover by E. Fournier (lost ball; steal by K. Olynyk),,10-14,,
3:30.0,,,10-16,2,I. Thomas makes 2-pt shot from 1 ft
3:12.0,Shooting foul by E. Turner (drawn by E. Fournier),,10-16,,
3:12.0,E. Fournier makes free throw 1 of 2,1,11-16,,
3:12.0,E. Ilyasova enters the game for A. Gordon,,11-16,,
3:12.0,E. Fournier misses free throw 2 of 2,,11-16,,
3:10.0,,,11-16,,Defensive rebound by Team
2:54.0,,,11-19,3,K. Olynyk makes 3-pt shot from 24 ft (assist by E. Turner)
2:41.0,J. Smith misses 2-pt shot from 11 ft,,11-19,,
2:40.0,,,11-19,,Defensive rebound by A. Johnson
2:29.0,,,11-19,,Turnover by E. Turner (lost ball; steal by V. Oladipo)
2:24.0,V. Oladipo makes 2-pt shot from 2 ft (assist by E. Payton),2,13-19,,
2:24.0,,,13-19,,Boston full timeout
2:24.0,,,13-19,,J. Jerebko enters the game for A. Johnson
2:24.0,,,13-19,,T. Rozier enters the game for I. Thomas
2:24.0,M. Hezonja enters the game for E. Fournier,,13-19,,
2:06.0,,,13-19,,K. Olynyk misses 2-pt shot from 1 ft
2:06.0,,,13-19,,Offensive rebound by K. Olynyk
2:03.0,,,13-19,,M. Smart misses 3-pt shot from 25 ft
2:02.0,Defensive rebound by M. Hezonja,,13-19,,
1:46.0,J. Smith makes 2-pt shot from 20 ft (assist by E. Payton),2,15-19,,
1:31.0,,,15-22,3,K. Olynyk makes 3-pt shot from 24 ft (assist by J. Jerebko)
1:07.0,V. Oladipo misses 2-pt shot from 9 ft,,15-22,,
1:06.0,,,15-22,,Defensive rebound by K. Olynyk
0:49.0,,,15-22,,K. Olynyk misses 3-pt shot from 24 ft
0:48.0,Defensive rebound by M. Hezonja,,15-22,,
0:44.0,E. Payton makes 2-pt shot from 1 ft,2,17-22,,
0:31.0,,,17-22,,E. Turner misses 2-pt shot from 14 ft
0:30.0,,,17-22,,Offensive rebound by K. Olynyk
0:27.0,,,17-22,,K. Olynyk misses 2-pt shot from 14 ft
0:26.0,Defensive rebound by M. Hezonja,,17-22,,
0:02.0,V. Oladipo misses 2-pt shot from 20 ft,,17-22,,
0:01.0,Offensive rebound by E. Ilyasova,,17-22,,
0:01.0,E. Ilyasova misses 2-pt shot from 2 ft,,17-22,,
0:00.0,Offensive rebound by Team,,17-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by E. Payton),3,20-22,,
11:26.0,,,20-22,,J. Jerebko misses 2-pt shot from 2 ft (block by E. Ilyasova)
11:25.0,Defensive rebound by D. Marble,,20-22,,
11:22.0,Shooting foul by M. Smart (drawn by D. Marble),,20-22,,
11:22.0,D. Marble misses free throw 1 of 2,,20-22,,
11:22.0,Offensive rebound by Team,,20-22,,
11:22.0,D. Marble misses free throw 2 of 2,,20-22,,
11:22.0,,,20-22,,Defensive rebound by M. Smart
10:59.0,,,20-22,,A. Bradley misses 2-pt shot from 18 ft
10:58.0,Defensive rebound by M. Hezonja,,20-22,,
10:44.0,Turnover by M. Hezonja (traveling),,20-22,,
10:36.0,,,20-22,,Turnover by M. Smart (bad pass)
10:23.0,M. Hezonja misses 2-pt shot from 3 ft,,20-22,,
10:22.0,Offensive rebound by M. Hezonja,,20-22,,
10:21.0,M. Hezonja misses 2-pt shot from 2 ft,,20-22,,
10:20.0,Offensive rebound by M. Hezonja,,20-22,,
10:18.0,Shooting foul by K. Olynyk (drawn by J. Smith),,20-22,,
10:18.0,J. Smith makes free throw 1 of 2,1,21-22,,
10:18.0,,,21-22,,J. Sullinger enters the game for K. Olynyk
10:18.0,J. Smith makes free throw 2 of 2,1,22-22,,
9:58.0,,,22-22,,M. Smart misses 2-pt shot from 2 ft (block by M. Hezonja)
9:57.0,,,22-22,,Offensive rebound by Team
9:55.0,,,22-25,3,A. Bradley makes 3-pt shot from 23 ft (assist by T. Rozier)
9:30.0,D. Marble misses 2-pt shot from 2 ft,,22-25,,
9:29.0,,,22-25,,Defensive rebound by M. Smart
9:25.0,,,22-25,,Shooting foul by J. Smith (drawn by A. Bradley)
9:25.0,,,22-25,,A. Bradley misses free throw 1 of 2
9:25.0,,,22-25,,Offensive rebound by Team
9:25.0,,,22-26,1,A. Bradley makes free throw 2 of 2
9:09.0,Shooting foul by J. Sullinger (drawn by M. Hezonja),,22-26,,
9:09.0,M. Hezonja makes 2-pt shot at rim,2,24-26,,
9:09.0,A. Nicholson enters the game for J. Smith,,24-26,,
9:09.0,M. Hezonja makes free throw 1 of 1,1,25-26,,
8:51.0,,,25-26,,J. Jerebko misses 3-pt shot from 24 ft
8:49.0,Defensive rebound by E. Ilyasova,,25-26,,
8:43.0,E. Ilyasova makes 2-pt shot from 1 ft,2,27-26,,
8:37.0,,,27-26,,M. Smart misses 3-pt shot from 25 ft
8:36.0,Defensive rebound by A. Nicholson,,27-26,,
8:21.0,A. Nicholson makes 3-pt shot from 24 ft (assist by M. Hezonja),3,30-26,,
8:03.0,,,30-26,,M. Smart misses 2-pt shot from 1 ft
8:03.0,Defensive rebound by E. Ilyasova,,30-26,,
7:53.0,A. Nicholson misses 2-pt shot from 2 ft,,30-26,,
7:53.0,Offensive rebound by E. Ilyasova,,30-26,,
7:50.0,E. Ilyasova misses 2-pt shot from 2 ft (block by J. Jerebko),,30-26,,
7:48.0,,,30-26,,Defensive rebound by A. Bradley
7:42.0,,,30-28,2,A. Bradley makes 2-pt shot from 16 ft
7:26.0,E. Payton makes 2-pt shot from 2 ft,2,32-28,,
7:16.0,,,32-28,,Boston full timeout
7:16.0,,,32-28,,I. Thomas enters the game for J. Sullinger
7:16.0,,,32-28,,A. Johnson enters the game for J. Jerebko
7:16.0,,,32-28,,K. Olynyk enters the game for T. Rozier
7:07.0,,,32-28,,M. Smart misses 2-pt shot from 2 ft (block by A. Nicholson)
7:05.0,,,32-28,,Offensive rebound by A. Johnson
7:03.0,,,32-30,2,A. Johnson makes 2-pt shot from 1 ft
6:45.0,A. Nicholson misses 2-pt shot from 4 ft,,32-30,,
6:44.0,,,32-30,,Defensive rebound by M. Smart
6:40.0,,,32-32,2,M. Smart makes 2-pt shot from 2 ft
6:40.0,,,32-32,,Shooting foul by D. Marble (drawn by M. Smart)
6:40.0,,,32-33,1,M. Smart makes free throw 1 of 1
6:30.0,A. Nicholson makes 2-pt shot from 2 ft (assist by E. Payton),2,34-33,,
6:30.0,Shooting foul by K. Olynyk (drawn by A. Nicholson),,34-33,,
6:30.0,A. Nicholson makes free throw 1 of 1,1,35-33,,
6:13.0,,,35-35,2,I. Thomas makes 2-pt shot from 1 ft (assist by K. Olynyk)
6:00.0,Turnover by E. Payton (lost ball; steal by I. Thomas),,35-35,,
5:55.0,,,35-37,2,A. Bradley makes 2-pt shot from 1 ft (assist by I. Thomas)
5:27.0,E. Payton misses 2-pt shot from 6 ft,,35-37,,
5:25.0,Offensive rebound by E. Ilyasova,,35-37,,
5:23.0,D. Marble misses 2-pt shot from 2 ft,,35-37,,
5:22.0,Offensive rebound by Team,,35-37,,
5:22.0,,,35-37,,Loose ball foul by M. Smart
5:22.0,Official timeout,,35-37,,
5:22.0,V. Oladipo enters the game for E. Ilyasova,,35-37,,
5:22.0,A. Gordon enters the game for M. Hezonja,,35-37,,
5:22.0,E. Fournier enters the game for D. Marble,,35-37,,
5:22.0,A. Nicholson misses free throw 1 of 2,,35-37,,
5:22.0,Offensive rebound by Team,,35-37,,
5:22.0,A. Nicholson makes free throw 2 of 2,1,36-37,,
5:06.0,,,36-37,,I. Thomas misses 2-pt shot from 17 ft
5:06.0,Defensive rebound by A. Gordon,,36-37,,
4:45.0,Turnover by V. Oladipo (lost ball; steal by M. Smart),,36-37,,
4:40.0,,,36-39,2,A. Bradley makes 2-pt shot from 1 ft
4:16.0,V. Oladipo misses 3-pt shot from 23 ft,,36-39,,
4:16.0,,,36-39,,Defensive rebound by K. Olynyk
4:09.0,,,36-39,,I. Thomas misses 2-pt shot from 1 ft (block by E. Payton)
4:09.0,,,36-39,,Offensive rebound by Team
4:09.0,,,36-39,,E. Turner enters the game for M. Smart
4:09.0,B. Jennings enters the game for E. Payton,,36-39,,
3:56.0,,,36-39,,A. Bradley misses 2-pt shot from 16 ft
3:56.0,Defensive rebound by A. Nicholson,,36-39,,
3:46.0,A. Gordon makes 2-pt shot from 1 ft (assist by E. Fournier),2,38-39,,
3:27.0,,,38-39,,E. Turner misses 2-pt shot from 6 ft
3:26.0,Defensive rebound by A. Nicholson,,38-39,,
3:13.0,E. Fournier misses 3-pt shot from 24 ft,,38-39,,
3:13.0,,,38-39,,Defensive rebound by A. Bradley
3:04.0,,,38-41,2,K. Olynyk makes 2-pt shot from 2 ft
3:04.0,,,38-41,,Shooting foul by A. Gordon (drawn by K. Olynyk)
3:04.0,,,38-42,1,K. Olynyk makes free throw 1 of 1
2:49.0,B. Jennings misses 3-pt shot from 26 ft,,38-42,,
2:49.0,,,38-42,,Defensive rebound by E. Turner
2:40.0,,,38-44,2,A. Bradley makes 2-pt shot from 1 ft (assist by E. Turner)
2:40.0,Orlando full timeout,,38-44,,
2:40.0,J. Smith enters the game for A. Nicholson,,38-44,,
2:26.0,A. Gordon makes 3-pt shot from 24 ft (assist by V. Oladipo),3,41-44,,
2:11.0,,,41-44,,A. Bradley misses 2-pt shot from 1 ft
2:10.0,,,41-44,,Offensive rebound by A. Johnson
2:09.0,,,41-46,2,A. Johnson makes 2-pt shot from 1 ft
1:53.0,V. Oladipo makes 2-pt shot from 6 ft (assist by J. Smith),2,43-46,,
1:43.0,,,43-46,,I. Thomas misses 2-pt shot from 2 ft (block by B. Jennings)
1:42.0,,,43-46,,Offensive rebound by Team
1:35.0,,,43-48,2,I. Thomas makes 2-pt shot from 1 ft
1:35.0,,,43-48,,Violation by Team (jump ball)
1:23.0,V. Oladipo misses 2-pt shot from 14 ft,,43-48,,
1:22.0,Offensive rebound by A. Gordon,,43-48,,
1:16.0,E. Fournier misses 3-pt shot from 24 ft,,43-48,,
1:15.0,,,43-48,,Defensive rebound by A. Bradley
1:10.0,,,43-50,2,K. Olynyk makes 2-pt shot from 1 ft
1:10.0,,,43-50,,Shooting foul by E. Fournier (drawn by K. Olynyk)
1:10.0,,,43-51,1,K. Olynyk makes free throw 1 of 1
0:56.0,A. Gordon makes 2-pt shot from 14 ft (assist by J. Smith),2,45-51,,
0:42.0,,,45-51,,Turnover by I. Thomas (lost ball; steal by V. Oladipo)
0:38.0,Shooting foul by A. Bradley (drawn by V. Oladipo),,45-51,,
0:38.0,V. Oladipo makes free throw 1 of 2,1,46-51,,
0:38.0,E. Payton enters the game for B. Jennings,,46-51,,
0:38.0,E. Ilyasova enters the game for A. Gordon,,46-51,,
0:38.0,,,46-51,,M. Smart enters the game for A. Johnson
0:38.0,V. Oladipo makes free throw 2 of 2,1,47-51,,
0:32.0,Personal foul by E. Payton,,47-51,,
0:32.0,,,47-52,1,I. Thomas makes free throw 1 of 2
0:32.0,,,47-53,1,I. Thomas makes free throw 2 of 2
0:23.0,V. Oladipo makes 2-pt shot from 1 ft,2,49-53,,
0:01.0,,,49-56,3,K. Olynyk makes 3-pt shot from 23 ft (assist by I. Thomas)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,Turnover by V. Oladipo (lost ball; steal by J. Sullinger),,49-56,,
11:36.0,,,49-58,2,E. Turner makes 2-pt shot from 1 ft (assist by I. Thomas)
11:18.0,A. Gordon makes 2-pt shot from 16 ft,2,51-58,,
11:01.0,,,51-58,,A. Bradley misses 3-pt shot from 23 ft
11:01.0,Defensive rebound by D. Dedmon,,51-58,,
10:40.0,A. Gordon misses 2-pt shot from 21 ft,,51-58,,
10:39.0,,,51-58,,Defensive rebound by J. Sullinger
10:27.0,,,51-58,,Turnover by A. Bradley (lost ball; steal by V. Oladipo)
10:17.0,V. Oladipo makes 3-pt shot from 24 ft (assist by B. Jennings),3,54-58,,
10:03.0,,,54-60,2,A. Johnson makes 2-pt shot from 1 ft (assist by I. Thomas)
10:03.0,,,54-60,,Shooting foul by A. Gordon (drawn by A. Johnson)
10:03.0,,,54-61,1,A. Johnson makes free throw 1 of 1
9:52.0,,,54-61,,Personal foul by E. Turner
9:37.0,V. Oladipo makes 2-pt shot from 1 ft,2,56-61,,
9:26.0,,,56-63,2,E. Turner makes 2-pt shot from 14 ft
9:13.0,E. Fournier makes 2-pt shot from 1 ft,2,58-63,,
8:51.0,,,58-65,2,J. Sullinger makes 2-pt shot from 7 ft (assist by E. Turner)
8:42.0,D. Dedmon makes 2-pt shot at rim (assist by E. Fournier),2,60-65,,
8:28.0,,,60-65,,Shooting foul by B. Jennings (drawn by I. Thomas)
8:28.0,,,60-66,1,I. Thomas makes free throw 1 of 2
8:28.0,,,60-67,1,I. Thomas makes free throw 2 of 2
8:14.0,D. Dedmon misses 2-pt shot from 2 ft (block by J. Sullinger),,60-67,,
8:13.0,Offensive rebound by B. Jennings,,60-67,,
8:09.0,E. Fournier misses 2-pt shot from 3 ft,,60-67,,
8:08.0,Offensive rebound by V. Oladipo,,60-67,,
8:04.0,Turnover by V. Oladipo (lost ball; steal by A. Bradley),,60-67,,
7:56.0,,,60-67,,Shooting foul by V. Oladipo (drawn by J. Sullinger)
7:56.0,,,60-67,,J. Sullinger misses free throw 1 of 2
7:56.0,,,60-67,,Offensive rebound by Team
7:56.0,,,60-68,1,J. Sullinger makes free throw 2 of 2
7:43.0,Shooting foul by J. Sullinger (drawn by D. Dedmon),,60-68,,
7:43.0,D. Dedmon makes free throw 1 of 2,1,61-68,,
7:43.0,D. Dedmon makes free throw 2 of 2,1,62-68,,
7:22.0,,,62-70,2,J. Sullinger makes 2-pt shot from 12 ft
7:08.0,A. Gordon makes 2-pt shot from 18 ft,2,64-70,,
6:45.0,,,64-72,2,I. Thomas makes 2-pt shot from 2 ft
6:31.0,B. Jennings makes 2-pt shot from 17 ft,2,66-72,,
6:18.0,,,66-74,2,I. Thomas makes 2-pt shot from 4 ft (assist by J. Sullinger)
6:08.0,B. Jennings misses 3-pt shot from 25 ft,,66-74,,
6:07.0,,,66-74,,Defensive rebound by J. Sullinger
6:02.0,,,66-74,,Shooting foul by B. Jennings (drawn by I. Thomas)
6:02.0,,,66-75,1,I. Thomas makes free throw 1 of 3
6:02.0,,,66-75,,I. Thomas misses free throw 2 of 3
6:02.0,,,66-75,,Offensive rebound by Team
6:02.0,E. Payton enters the game for B. Jennings,,66-75,,
6:02.0,,,66-75,,K. Olynyk enters the game for A. Johnson
6:02.0,,,66-75,,M. Smart enters the game for A. Bradley
6:02.0,,,66-76,1,I. Thomas makes free throw 3 of 3
5:50.0,V. Oladipo makes 2-pt shot from 16 ft (assist by E. Payton),2,68-76,,
5:35.0,,,68-79,3,E. Turner makes 3-pt shot from 23 ft (assist by I. Thomas)
5:13.0,E. Fournier misses 3-pt shot from 25 ft,,68-79,,
5:12.0,,,68-79,,Defensive rebound by J. Sullinger
5:02.0,,,68-81,2,K. Olynyk makes 2-pt shot from 1 ft (assist by E. Turner)
4:47.0,D. Dedmon misses 2-pt shot from 5 ft,,68-81,,
4:45.0,,,68-81,,Defensive rebound by E. Turner
4:27.0,,,68-81,,E. Turner misses 2-pt shot from 14 ft
4:27.0,Defensive rebound by D. Dedmon,,68-81,,
4:23.0,Shooting foul by K. Olynyk (drawn by E. Fournier),,68-81,,
4:23.0,,,68-81,,Boston full timeout
4:23.0,,,68-81,,A. Johnson enters the game for J. Sullinger
4:23.0,E. Fournier misses free throw 1 of 2,,68-81,,
4:23.0,Offensive rebound by Team,,68-81,,
4:23.0,E. Fournier makes free throw 2 of 2,1,69-81,,
4:07.0,,,69-81,,M. Smart misses 3-pt shot from 24 ft
4:04.0,Defensive rebound by Team,,69-81,,
3:50.0,E. Fournier makes 3-pt shot from 24 ft,3,72-81,,
3:28.0,,,72-83,2,A. Johnson makes 2-pt shot from 3 ft (assist by K. Olynyk)
3:11.0,E. Fournier makes 2-pt shot from 7 ft,2,74-83,,
2:54.0,,,74-83,,K. Olynyk misses 3-pt shot from 24 ft
2:53.0,Defensive rebound by D. Dedmon,,74-83,,
2:45.0,A. Gordon misses 2-pt shot from 15 ft,,74-83,,
2:45.0,,,74-83,,Defensive rebound by A. Johnson
2:40.0,,,74-83,,Turnover by I. Thomas (lost ball; steal by E. Fournier)
2:39.0,,,74-83,,Personal foul by I. Thomas
2:39.0,Orlando full timeout,,74-83,,
2:39.0,J. Smith enters the game for A. Gordon,,74-83,,
2:39.0,A. Nicholson enters the game for D. Dedmon,,74-83,,
2:39.0,M. Hezonja enters the game for V. Oladipo,,74-83,,
2:39.0,,,74-83,,T. Rozier enters the game for I. Thomas
2:26.0,A. Nicholson makes 2-pt shot from 7 ft,2,76-83,,
2:03.0,,,76-85,2,A. Johnson makes 2-pt shot from 1 ft (assist by M. Smart)
1:39.0,A. Nicholson makes 2-pt shot from 12 ft,2,78-85,,
1:23.0,,,78-87,2,E. Turner makes 2-pt shot from 7 ft
1:05.0,E. Fournier misses 2-pt shot from 5 ft,,78-87,,
1:04.0,,,78-87,,Defensive rebound by A. Johnson
0:44.0,,,78-89,2,E. Turner makes 2-pt shot from 17 ft
0:34.0,E. Payton misses 2-pt shot from 2 ft,,78-89,,
0:33.0,,,78-89,,Defensive rebound by K. Olynyk
0:11.0,,,78-89,,T. Rozier misses 2-pt shot from 6 ft
0:09.0,,,78-89,,Offensive rebound by Team
0:09.0,,,78-89,,Turnover by Team (shot clock)
0:09.0,,,78-89,,J. Jerebko enters the game for A. Johnson
0:09.0,V. Oladipo enters the game for E. Fournier,,78-89,,
0:03.0,Turnover by V. Oladipo (lost ball; steal by T. Rozier),,78-89,,
0:02.0,Personal foul by V. Oladipo,,78-89,,
0:02.0,,,78-90,1,K. Olynyk makes free throw 1 of 2
0:02.0,,,78-91,1,K. Olynyk makes free throw 2 of 2
0:00.0,J. Smith misses 3-pt shot from 43 ft,,78-91,,
0:00.0,Offensive rebound by Team,,78-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,78-91,,M. Smart misses 2-pt shot from 9 ft
11:43.0,Defensive rebound by J. Smith,,78-91,,
11:28.0,Turnover by M. Hezonja (lost ball; steal by K. Olynyk),,78-91,,
11:27.0,Personal foul by M. Hezonja,,78-91,,
11:15.0,,,78-91,,K. Olynyk misses 2-pt shot from 13 ft
11:14.0,,,78-91,,Offensive rebound by J. Jerebko
11:10.0,,,78-91,,M. Smart misses 3-pt shot from 25 ft
11:09.0,Defensive rebound by A. Nicholson,,78-91,,
11:02.0,E. Payton makes 2-pt shot from 2 ft,2,80-91,,
11:02.0,Shooting foul by K. Olynyk (drawn by E. Payton),,80-91,,
11:02.0,E. Payton misses free throw 1 of 1,,80-91,,
11:02.0,,,80-91,,Defensive rebound by Team
10:48.0,,,80-94,3,K. Olynyk makes 3-pt shot from 24 ft (assist by A. Bradley)
10:32.0,A. Nicholson misses 3-pt shot from 25 ft,,80-94,,
10:31.0,,,80-94,,Defensive rebound by A. Bradley
10:13.0,,,80-94,,T. Rozier misses 2-pt shot from 2 ft (block by J. Smith)
10:12.0,Defensive rebound by E. Payton,,80-94,,
10:09.0,Shooting foul by K. Olynyk (drawn by V. Oladipo),,80-94,,
10:09.0,V. Oladipo makes free throw 1 of 2,1,81-94,,
10:09.0,,,81-94,,J. Sullinger enters the game for K. Olynyk
10:09.0,V. Oladipo makes free throw 2 of 2,1,82-94,,
9:49.0,,,82-94,,M. Smart misses 2-pt shot from 2 ft
9:48.0,Defensive rebound by A. Nicholson,,82-94,,
9:41.0,E. Payton misses 2-pt shot from 2 ft,,82-94,,
9:40.0,Offensive rebound by A. Nicholson,,82-94,,
9:39.0,A. Nicholson makes 2-pt shot at rim,2,84-94,,
9:39.0,,,84-94,,Boston full timeout
9:29.0,Personal foul by V. Oladipo,,84-94,,
9:20.0,,,84-94,,J. Sullinger misses 2-pt shot from 6 ft
9:19.0,Defensive rebound by M. Hezonja,,84-94,,
9:19.0,,,84-94,,Personal foul by J. Jerebko
9:12.0,Offensive foul by M. Hezonja,,84-94,,
9:12.0,Turnover by M. Hezonja (offensive foul),,84-94,,
8:57.0,,,84-94,,J. Jerebko misses 2-pt shot from 9 ft (block by V. Oladipo)
8:56.0,Defensive rebound by V. Oladipo,,84-94,,
8:32.0,V. Oladipo makes 2-pt shot from 1 ft (assist by E. Payton),2,86-94,,
8:13.0,,,86-94,,J. Sullinger misses 3-pt shot from 25 ft
8:12.0,Defensive rebound by V. Oladipo,,86-94,,
8:03.0,V. Oladipo makes 2-pt shot from 1 ft,2,88-94,,
7:42.0,,,88-94,,Turnover by J. Sullinger (lost ball; steal by V. Oladipo)
7:39.0,Turnover by V. Oladipo (lost ball; steal by J. Jerebko),,88-94,,
7:37.0,,,88-94,,Turnover by J. Jerebko (bad pass)
7:37.0,,,88-94,,I. Thomas enters the game for T. Rozier
7:37.0,,,88-94,,A. Johnson enters the game for J. Sullinger
7:15.0,E. Payton misses 3-pt shot from 25 ft,,88-94,,
7:14.0,,,88-94,,Defensive rebound by Team
7:00.0,,,88-94,,I. Thomas misses 3-pt shot from 24 ft
6:59.0,Defensive rebound by V. Oladipo,,88-94,,
6:49.0,Offensive charge foul by E. Payton,,88-94,,
6:49.0,Turnover by E. Payton (offensive foul),,88-94,,
6:30.0,,,88-96,2,A. Bradley makes 2-pt shot from 18 ft (assist by A. Johnson)
6:14.0,,,88-96,,Personal foul by A. Johnson
6:14.0,E. Fournier enters the game for M. Hezonja,,88-96,,
6:00.0,J. Smith misses 2-pt shot from 18 ft,,88-96,,
5:59.0,,,88-96,,Defensive rebound by J. Jerebko
5:53.0,Personal foul by E. Fournier,,88-96,,
5:53.0,Official timeout,,88-96,,
5:53.0,A. Gordon enters the game for A. Nicholson,,88-96,,
5:42.0,,,88-98,2,I. Thomas makes 2-pt shot from 9 ft (assist by A. Bradley)
5:22.0,V. Oladipo misses 2-pt shot from 22 ft,,88-98,,
5:21.0,Offensive rebound by J. Smith,,88-98,,
5:13.0,J. Smith misses 2-pt shot from 18 ft,,88-98,,
5:12.0,,,88-98,,Defensive rebound by J. Jerebko
4:59.0,,,88-98,,I. Thomas misses 2-pt shot from 3 ft
4:57.0,Defensive rebound by A. Gordon,,88-98,,
4:43.0,A. Gordon makes 2-pt shot from 1 ft,2,90-98,,
