time,Minnesota,pts.away,score,pts.home,Atlanta
7:11.0,,,85-59,,Personal foul by K. Bazemore (drawn by K. Towns)
7:02.0,A. Wiggins misses 2-pt shot from 19 ft,,85-59,,
6:59.0,,,85-59,,Defensive rebound by K. Bazemore
6:44.0,,,85-59,,K. Korver misses 2-pt shot from 1 ft (block by K. Garnett)
6:40.0,Defensive rebound by K. Garnett,,85-59,,
6:35.0,R. Rubio misses 2-pt shot from 1 ft,,85-59,,
6:34.0,Offensive rebound by K. Towns,,85-59,,
6:25.0,T. Prince makes 2-pt shot from 1 ft,2,87-59,,
6:15.0,,,87-61,2,J. Teague makes 2-pt shot from 1 ft
6:10.0,Turnover by K. Garnett (bad pass; steal by K. Bazemore),,87-61,,
6:00.0,,,87-64,3,P. Millsap makes 3-pt shot from 24 ft (assist by J. Teague)
5:49.0,Minnesota full timeout,,87-64,,
5:49.0,N. Bjelica enters the game for K. Garnett,,87-64,,
5:39.0,Turnover by R. Rubio (bad pass; steal by A. Horford),,87-64,,
5:34.0,,,87-66,2,J. Teague makes 2-pt shot at rim (assist by K. Bazemore)
5:19.0,Z. LaVine enters the game for R. Rubio,,87-66,,
5:12.0,Turnover by A. Wiggins (lost ball),,87-66,,
4:58.0,,,87-69,3,J. Teague makes 3-pt shot from 24 ft
4:38.0,Turnover by T. Prince (bad pass),,87-69,,
4:28.0,,,87-71,2,J. Teague makes 2-pt shot at rim (assist by A. Horford)
4:07.0,N. Bjelica misses 3-pt shot from 25 ft,,87-71,,
4:05.0,Offensive rebound by T. Prince,,87-71,,
3:57.0,A. Wiggins makes 2-pt shot from 19 ft (assist by Z. LaVine),2,89-71,,
3:44.0,,,89-71,,A. Horford misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by N. Bjelica,,89-71,,
3:31.0,A. Wiggins misses 2-pt shot from 1 ft (block by K. Bazemore),,89-71,,
3:31.0,Offensive rebound by Team,,89-71,,
3:31.0,,,89-71,,T. Splitter enters the game for A. Horford
3:31.0,,,89-71,,T. Sefolosha enters the game for K. Korver
3:31.0,K. Martin enters the game for T. Prince,,89-71,,
3:27.0,K. Towns makes 2-pt shot from 21 ft (assist by N. Bjelica),2,91-71,,
3:17.0,,,91-73,2,J. Teague makes 2-pt shot from 5 ft
2:59.0,Turnover by N. Bjelica (traveling),,91-73,,
2:59.0,,,91-73,,D. Schroder enters the game for K. Bazemore
2:59.0,G. Dieng enters the game for K. Towns,,91-73,,
2:46.0,,,91-75,2,P. Millsap makes 2-pt shot from 2 ft (assist by J. Teague)
2:32.0,K. Martin misses 2-pt shot from 14 ft (block by J. Teague),,91-75,,
2:32.0,Offensive rebound by Team,,91-75,,
2:32.0,S. Muhammad enters the game for A. Wiggins,,91-75,,
2:30.0,K. Martin misses 2-pt shot from 4 ft,,91-75,,
2:30.0,,,91-75,,Defensive rebound by Team
2:21.0,,,91-77,2,T. Splitter makes 2-pt shot from 1 ft (assist by P. Millsap)
2:05.0,N. Bjelica misses 3-pt shot from 24 ft,,91-77,,
2:04.0,,,91-77,,Defensive rebound by J. Teague
1:56.0,,,91-77,,Turnover by J. Teague (lost ball; steal by G. Dieng)
1:46.0,Turnover by S. Muhammad (bad pass; steal by T. Sefolosha),,91-77,,
1:41.0,,,91-79,2,T. Sefolosha makes 2-pt shot from 1 ft
1:27.0,Turnover by Z. LaVine (bad pass; steal by D. Schroder),,91-79,,
1:15.0,,,91-81,2,D. Schroder makes 2-pt shot from 16 ft (assist by P. Millsap)
0:54.0,S. Muhammad makes 2-pt shot from 7 ft (assist by G. Dieng),2,93-81,,
0:46.0,,,93-84,3,T. Sefolosha makes 3-pt shot from 23 ft (assist by D. Schroder)
0:31.0,Turnover by G. Dieng (bad pass; steal by J. Teague),,93-84,,
0:23.0,,,93-84,,Turnover by J. Teague (lost ball; steal by Z. LaVine)
0:00.0,Z. LaVine misses 2-pt shot from 17 ft (block by J. Teague),,93-84,,
0:00.0,Offensive rebound by Z. LaVine,,93-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,93-84,,D. Schroder misses 2-pt shot from 18 ft
11:48.0,Defensive rebound by N. Bjelica,,93-84,,
11:38.0,K. Martin misses 3-pt shot from 24 ft,,93-84,,
11:37.0,,,93-84,,Defensive rebound by T. Splitter
11:25.0,,,93-84,,T. Sefolosha misses 3-pt shot from 23 ft
11:24.0,Defensive rebound by G. Dieng,,93-84,,
11:04.0,Turnover by S. Muhammad (bad pass; steal by K. Bazemore),,93-84,,
10:49.0,,,93-84,,K. Bazemore misses 3-pt shot from 24 ft
10:48.0,,,93-84,,Offensive rebound by A. Horford
10:48.0,,,93-84,,Shooting foul by N. Bjelica (drawn by A. Horford)
10:48.0,,,93-84,,Technical foul by A. Horford
10:48.0,K. Martin makes technical free throw,1,94-84,,
10:48.0,,,94-85,1,A. Horford makes free throw 1 of 2
10:48.0,A. Wiggins enters the game for S. Muhammad,,94-85,,
10:48.0,,,94-86,1,A. Horford makes free throw 2 of 2
10:30.0,A. Wiggins misses 2-pt shot from 20 ft,,94-86,,
10:28.0,,,94-86,,Defensive rebound by D. Schroder
10:18.0,Personal foul by A. Miller (drawn by T. Splitter),,94-86,,
10:12.0,,,94-89,3,D. Schroder makes 3-pt shot from 23 ft
9:54.0,N. Bjelica makes 3-pt shot from 24 ft (assist by A. Miller),3,97-89,,
9:40.0,,,97-89,,Turnover by A. Horford (bad pass)
9:29.0,K. Martin misses 2-pt shot from 1 ft,,97-89,,
9:28.0,,,97-89,,Defensive rebound by T. Splitter
9:11.0,,,97-89,,K. Bazemore misses 3-pt shot from 24 ft
9:09.0,Defensive rebound by N. Bjelica,,97-89,,
9:09.0,,,97-89,,Personal foul by T. Sefolosha (drawn by N. Bjelica)
9:09.0,,,97-89,,K. Korver enters the game for T. Sefolosha
8:57.0,Turnover by A. Miller (bad pass; steal by K. Bazemore),,97-89,,
8:57.0,Personal foul by G. Dieng (drawn by K. Bazemore),,97-89,,
8:57.0,Official timeout,,97-89,,
8:38.0,,,97-91,2,K. Bazemore makes 2-pt shot from 1 ft (assist by A. Horford)
8:11.0,N. Bjelica makes 3-pt shot from 24 ft (assist by K. Martin),3,100-91,,
7:51.0,,,100-91,,Turnover by K. Bazemore (bad pass; steal by A. Miller)
7:46.0,A. Miller misses 2-pt shot at rim,,100-91,,
7:44.0,,,100-91,,Defensive rebound by K. Bazemore
7:39.0,,,100-93,2,A. Horford makes 2-pt shot at rim (assist by K. Bazemore)
7:18.0,Shooting foul by K. Korver (drawn by K. Martin),,100-93,,
7:18.0,K. Martin makes free throw 1 of 2,1,101-93,,
7:18.0,,,101-93,,P. Millsap enters the game for K. Bazemore
7:18.0,,,101-93,,J. Teague enters the game for T. Splitter
7:18.0,R. Rubio enters the game for A. Miller,,101-93,,
7:18.0,K. Martin misses free throw 2 of 2,,101-93,,
7:17.0,,,101-93,,Defensive rebound by A. Horford
7:09.0,,,101-96,3,A. Horford makes 3-pt shot from 24 ft (assist by D. Schroder)
6:54.0,Turnover by G. Dieng (traveling),,101-96,,
6:54.0,K. Towns enters the game for G. Dieng,,101-96,,
6:41.0,,,101-98,2,J. Teague makes 2-pt shot from 14 ft
6:35.0,Minnesota full timeout,,101-98,,
6:35.0,,,101-98,,T. Splitter enters the game for A. Horford
6:18.0,Turnover by K. Towns (bad pass; steal by P. Millsap),,101-98,,
6:13.0,,,101-100,2,J. Teague makes 2-pt shot at rim (assist by P. Millsap)
5:55.0,Shooting foul by K. Korver (drawn by K. Towns),,101-100,,
5:55.0,K. Towns makes free throw 1 of 2,1,102-100,,
5:55.0,T. Prince enters the game for K. Martin,,102-100,,
5:55.0,K. Towns makes free throw 2 of 2,1,103-100,,
5:35.0,,,103-102,2,K. Korver makes 2-pt shot from 11 ft (assist by P. Millsap)
5:11.0,A. Wiggins misses 2-pt shot from 10 ft,,103-102,,
5:10.0,Offensive rebound by K. Towns,,103-102,,
5:08.0,K. Towns makes 2-pt shot at rim,2,105-102,,
5:00.0,,,105-102,,D. Schroder misses 3-pt shot from 24 ft
4:59.0,Defensive rebound by K. Towns,,105-102,,
4:41.0,Turnover by R. Rubio (bad pass; steal by P. Millsap),,105-102,,
4:25.0,,,105-104,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague)
4:25.0,,,105-104,,Shooting foul by K. Towns (drawn by P. Millsap)
4:25.0,,,105-104,,K. Bazemore enters the game for T. Splitter
4:25.0,,,105-104,,A. Horford enters the game for D. Schroder
4:25.0,,,105-105,1,P. Millsap makes free throw 1 of 1
4:05.0,R. Rubio misses 3-pt shot from 25 ft,,105-105,,
4:03.0,,,105-105,,Defensive rebound by A. Horford
3:58.0,,,105-105,,Turnover by J. Teague (bad pass)
3:44.0,Shooting foul by K. Bazemore (drawn by A. Wiggins),,105-105,,
3:44.0,A. Wiggins makes free throw 1 of 2,1,106-105,,
3:44.0,A. Wiggins misses free throw 2 of 2,,106-105,,
3:41.0,,,106-105,,Defensive rebound by Team
3:25.0,,,106-107,2,P. Millsap makes 2-pt shot from 2 ft
3:10.0,A. Wiggins makes 2-pt shot from 1 ft,2,108-107,,
3:10.0,Shooting foul by A. Horford (drawn by A. Wiggins),,108-107,,
3:10.0,A. Wiggins makes free throw 1 of 1,1,109-107,,
2:53.0,,,109-107,,K. Bazemore misses 2-pt shot from 19 ft
2:51.0,Defensive rebound by R. Rubio,,109-107,,
2:37.0,T. Prince misses 2-pt shot from 19 ft,,109-107,,
2:35.0,,,109-107,,Defensive rebound by P. Millsap
2:28.0,,,109-107,,Atlanta full timeout
2:21.0,,,109-107,,P. Millsap misses 2-pt shot from 2 ft
2:18.0,Defensive rebound by K. Towns,,109-107,,
2:00.0,A. Wiggins makes 2-pt shot from 19 ft,2,111-107,,
1:54.0,,,111-107,,J. Teague misses 2-pt shot from 7 ft (block by K. Towns)
1:51.0,Defensive rebound by T. Prince,,111-107,,
1:30.0,Shooting foul by K. Bazemore (drawn by A. Wiggins),,111-107,,
1:30.0,A. Wiggins makes 2-pt shot from 16 ft (assist by R. Rubio),2,113-107,,
1:30.0,A. Wiggins misses free throw 1 of 1,,113-107,,
1:29.0,,,113-107,,Defensive rebound by A. Horford
1:22.0,,,113-107,,J. Teague misses 2-pt shot from 5 ft (block by K. Towns)
1:22.0,,,113-107,,Offensive rebound by Team
1:17.0,,,113-107,,J. Teague misses 2-pt shot from 1 ft (block by K. Towns)
1:15.0,Defensive rebound by N. Bjelica,,113-107,,
0:54.0,A. Wiggins misses 2-pt shot from 21 ft,,113-107,,
0:52.0,,,113-107,,Defensive rebound by K. Bazemore
0:47.0,,,113-107,,Offensive charge foul by K. Bazemore
