time,Utah,pts.away,score,pts.home,Atlanta
3:52.0,Offensive rebound by G. Hayward,,18-17,,
3:52.0,Shooting foul by J. Holiday (drawn by G. Hayward),,18-17,,
3:52.0,G. Hayward makes free throw 1 of 2,1,19-17,,
3:52.0,G. Hayward misses free throw 2 of 2,,19-17,,
3:51.0,,,19-17,,Defensive rebound by P. Millsap
3:36.0,,,19-17,,T. Sefolosha misses 2-pt shot from 18 ft
3:33.0,,,19-17,,Offensive rebound by T. Sefolosha
3:29.0,,,19-17,,J. Holiday misses 3-pt shot from 24 ft
3:28.0,,,19-17,,Offensive rebound by T. Splitter
3:21.0,,,19-17,,Turnover by S. Mack (bad pass; steal by T. Booker)
3:16.0,T. Booker misses 2-pt shot at rim,,19-17,,
3:14.0,Offensive rebound by G. Hayward,,19-17,,
3:14.0,G. Hayward makes 2-pt shot at rim,2,21-17,,
3:03.0,,,21-17,,S. Mack misses 2-pt shot from 17 ft
3:02.0,Defensive rebound by T. Booker,,21-17,,
2:48.0,Shooting foul by T. Splitter (drawn by R. Gobert),,21-17,,
2:48.0,Utah full timeout,,21-17,,
2:48.0,R. Gobert makes free throw 1 of 2,1,22-17,,
2:48.0,R. Gobert makes free throw 2 of 2,1,23-17,,
2:23.0,,,23-17,,T. Splitter misses 2-pt shot from 3 ft
2:18.0,Defensive rebound by A. Burks,,23-17,,
2:05.0,T. Booker makes 2-pt shot from 19 ft (assist by T. Burke),2,25-17,,
1:42.0,,,25-19,2,P. Millsap makes 2-pt shot from 8 ft (assist by S. Mack)
1:20.0,G. Hayward misses 3-pt shot from 23 ft,,25-19,,
1:17.0,Offensive rebound by T. Booker,,25-19,,
1:17.0,T. Booker makes 2-pt shot at rim,2,27-19,,
1:05.0,,,27-19,,Shooting foul by T. Booker (drawn by P. Millsap)
1:05.0,,,27-20,1,P. Millsap makes free throw 1 of 2
1:05.0,J. Withey enters the game for R. Gobert,,27-20,,
1:05.0,J. Ingles enters the game for G. Hayward,,27-20,,
1:05.0,,,27-20,,A. Horford enters the game for T. Splitter
1:05.0,,,27-21,1,P. Millsap makes free throw 2 of 2
0:42.0,T. Booker misses 2-pt shot from 4 ft,,27-21,,
0:41.0,,,27-21,,Defensive rebound by P. Millsap
0:25.0,,,27-24,3,T. Sefolosha makes 3-pt shot from 22 ft (assist by A. Horford)
0:04.0,Turnover by T. Burke (lost ball; steal by S. Mack),,27-24,,
0:00.0,,,27-24,,T. Sefolosha misses 2-pt shot from 1 ft
0:00.0,,,27-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:33.0,J. Ingles makes 2-pt shot from 12 ft (assist by T. Booker),2,29-24,,
11:11.0,,,29-24,,T. Sefolosha misses 3-pt shot from 23 ft
11:10.0,Defensive rebound by A. Burks,,29-24,,
10:58.0,A. Burks misses 2-pt shot from 3 ft (block by A. Horford),,29-24,,
10:58.0,D. Favors enters the game for T. Booker,,29-24,,
10:57.0,Jump ball: A. Burks vs. A. Horford (M. Muscala gains possession),,,,Jump ball: A. Burks vs. A. Horford (M. Muscala gains possession)
10:57.0,,,29-24,,Offensive rebound by Team
10:45.0,,,29-26,2,S. Mack makes 2-pt shot from 16 ft (assist by M. Muscala)
10:18.0,A. Burks makes 2-pt shot from 1 ft,2,31-26,,
10:08.0,,,31-28,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by S. Mack)
9:56.0,Turnover by J. Ingles (bad pass; steal by T. Sefolosha),,31-28,,
9:50.0,,,31-28,,Turnover by T. Sefolosha (bad pass; steal by T. Burke)
9:46.0,A. Burks makes 2-pt shot from 10 ft (assist by T. Burke),2,33-28,,
9:46.0,Shooting foul by S. Mack (drawn by A. Burks),,33-28,,
9:46.0,,,33-28,,K. Korver enters the game for J. Holiday
9:46.0,R. Hood enters the game for J. Ingles,,33-28,,
9:46.0,A. Burks misses free throw 1 of 1,,33-28,,
9:44.0,,,33-28,,Defensive rebound by M. Muscala
9:34.0,,,33-30,2,S. Mack makes 2-pt shot from 11 ft
9:16.0,A. Burks makes 2-pt shot at rim (assist by T. Burke),2,35-30,,
9:02.0,,,35-32,2,A. Horford makes 2-pt shot from 4 ft
8:41.0,T. Burke makes 3-pt shot from 25 ft (assist by A. Burks),3,38-32,,
8:29.0,,,38-32,,Turnover by S. Mack (traveling)
8:29.0,Official timeout,,38-32,,
8:29.0,,,38-32,,K. Bazemore enters the game for S. Mack
8:29.0,,,38-32,,D. Schroder enters the game for T. Sefolosha
8:08.0,D. Favors misses 2-pt shot from 2 ft,,38-32,,
8:07.0,,,38-32,,Defensive rebound by A. Horford
7:52.0,,,38-32,,A. Horford misses 2-pt shot from 1 ft (block by J. Withey)
7:50.0,Defensive rebound by A. Burks,,38-32,,
7:40.0,Turnover by D. Favors (bad pass; steal by M. Muscala),,38-32,,
7:32.0,,,38-32,,Turnover by M. Muscala (lost ball; steal by R. Hood)
7:20.0,A. Burks misses 2-pt shot from 14 ft,,38-32,,
7:18.0,,,38-32,,Defensive rebound by K. Korver
7:06.0,,,38-34,2,D. Schroder makes 2-pt shot from 1 ft
6:58.0,Shooting foul by M. Muscala (drawn by T. Burke),,38-34,,
6:58.0,T. Burke makes free throw 1 of 2,1,39-34,,
6:58.0,,,39-34,,T. Splitter enters the game for A. Horford
6:58.0,R. Gobert enters the game for A. Burks,,39-34,,
6:58.0,G. Hayward enters the game for J. Withey,,39-34,,
6:58.0,T. Burke makes free throw 2 of 2,1,40-34,,
6:44.0,,,40-34,,K. Korver misses 3-pt shot from 24 ft
6:42.0,Defensive rebound by R. Gobert,,40-34,,
6:36.0,R. Gobert makes 2-pt shot at rim (assist by T. Burke),2,42-34,,
6:19.0,,,42-36,2,D. Schroder makes 2-pt shot from 15 ft
6:08.0,Offensive charge foul by R. Gobert,,42-36,,
6:08.0,Turnover by R. Gobert (offensive foul),,42-36,,
6:08.0,R. Neto enters the game for T. Burke,,42-36,,
6:08.0,,,42-36,,Atlanta full timeout
5:57.0,,,42-38,2,K. Korver makes 2-pt shot from 20 ft
5:29.0,R. Hood misses 2-pt shot from 19 ft,,42-38,,
5:29.0,Offensive rebound by R. Gobert,,42-38,,
5:29.0,Turnover by Team (shot clock),,42-38,,
5:16.0,,,42-38,,K. Korver misses 3-pt shot from 24 ft
5:13.0,Defensive rebound by R. Gobert,,42-38,,
5:01.0,Shooting foul by K. Korver (drawn by R. Gobert),,42-38,,
5:01.0,R. Gobert misses free throw 1 of 2,,42-38,,
5:01.0,Offensive rebound by Team,,42-38,,
5:01.0,R. Gobert makes free throw 2 of 2,1,43-38,,
4:44.0,,,43-38,,P. Millsap enters the game for M. Muscala
4:38.0,,,43-40,2,K. Bazemore makes 2-pt shot from 5 ft
4:23.0,R. Hood misses 3-pt shot from 23 ft,,43-40,,
4:22.0,,,43-40,,Defensive rebound by K. Bazemore
4:17.0,,,43-42,2,K. Bazemore makes 2-pt shot from 2 ft
4:09.0,Utah full timeout,,43-42,,
4:09.0,,,43-42,,T. Sefolosha enters the game for K. Korver
4:09.0,A. Burks enters the game for R. Neto,,43-42,,
3:56.0,Turnover by A. Burks (bad pass; steal by K. Bazemore),,43-42,,
3:45.0,,,43-42,,D. Schroder misses 2-pt shot from 20 ft (block by R. Gobert)
3:42.0,,,43-42,,Offensive rebound by D. Schroder
3:42.0,Personal foul by R. Hood (drawn by T. Splitter),,43-42,,
3:39.0,,,43-42,,Turnover by T. Splitter (offensive foul)
3:39.0,,,43-42,,Offensive foul by T. Splitter
3:21.0,Turnover by D. Favors (lost ball),,43-42,,
3:03.0,,,43-45,3,K. Bazemore makes 3-pt shot from 25 ft
2:39.0,Turnover by G. Hayward (bad pass; steal by T. Splitter),,43-45,,
2:37.0,Personal foul by R. Hood (drawn by D. Schroder),,43-45,,
2:37.0,T. Booker enters the game for D. Favors,,43-45,,
2:30.0,,,43-45,,Shooting foul by A. Burks (drawn by D. Schroder)
2:30.0,,,43-46,1,D. Schroder makes free throw 1 of 2
2:30.0,,,43-47,1,D. Schroder makes free throw 2 of 2
2:09.0,A. Burks misses 2-pt shot from 18 ft,,43-47,,
2:07.0,,,43-47,,Defensive rebound by T. Sefolosha
1:59.0,,,43-47,,Turnover by T. Splitter (bad pass; steal by A. Burks)
1:55.0,A. Burks makes 2-pt shot from 1 ft,2,45-47,,
1:55.0,Shooting foul by D. Schroder (drawn by A. Burks),,45-47,,
1:55.0,A. Burks makes free throw 1 of 1,1,46-47,,
1:45.0,,,46-47,,D. Schroder misses 2-pt shot from 2 ft
1:43.0,Defensive rebound by R. Gobert,,46-47,,
1:24.0,R. Hood misses 3-pt shot from 24 ft,,46-47,,
1:23.0,,,46-47,,Defensive rebound by D. Schroder
1:15.0,,,46-49,2,T. Splitter makes 2-pt shot from 1 ft (assist by D. Schroder)
0:50.0,G. Hayward misses 2-pt shot from 6 ft (block by T. Sefolosha),,46-49,,
0:50.0,Offensive rebound by Team,,46-49,,
0:50.0,Turnover by Team (shot clock),,46-49,,
0:50.0,C. Johnson enters the game for R. Hood,,46-49,,
0:50.0,,,46-49,,K. Korver enters the game for T. Splitter
0:50.0,T. Burke enters the game for T. Booker,,46-49,,
0:31.0,,,46-52,3,P. Millsap makes 3-pt shot from 24 ft (assist by D. Schroder)
0:15.0,Shooting foul by K. Korver (drawn by R. Gobert),,46-52,,
0:15.0,R. Gobert makes free throw 1 of 2,1,47-52,,
0:15.0,T. Booker enters the game for T. Burke,,47-52,,
0:15.0,,,47-52,,Atlanta full timeout
0:15.0,R. Gobert misses free throw 2 of 2,,47-52,,
0:14.0,,,47-52,,Defensive rebound by P. Millsap
0:03.0,Personal block foul by C. Johnson (drawn by T. Sefolosha),,47-52,,
0:02.0,,,47-52,,Turnover by P. Millsap (traveling)
0:02.0,Utah full timeout,,47-52,,
0:02.0,,,47-52,,J. Holiday enters the game for K. Korver
0:02.0,,,47-52,,M. Muscala enters the game for D. Schroder
0:02.0,D. Favors enters the game for R. Gobert,,47-52,,
0:02.0,R. Hood enters the game for C. Johnson,,47-52,,
0:00.0,D. Favors misses 3-pt shot from 44 ft,,47-52,,
0:00.0,Offensive rebound by Team,,47-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Turnover by R. Neto (turnover),,47-52,,
11:30.0,,,47-52,,Turnover by K. Bazemore (bad pass; steal by R. Gobert)
11:30.0,,,47-52,,Personal foul by A. Horford (drawn by R. Gobert)
11:10.0,D. Favors makes 2-pt shot from 2 ft,2,49-52,,
11:00.0,,,49-52,,D. Schroder misses 2-pt shot from 20 ft
10:57.0,,,49-52,,Offensive rebound by P. Millsap
10:49.0,,,49-54,2,P. Millsap makes 2-pt shot at rim
10:36.0,D. Favors makes 2-pt shot from 9 ft,2,51-54,,
10:36.0,Shooting foul by P. Millsap (drawn by D. Favors),,51-54,,
10:36.0,D. Favors makes free throw 1 of 1,1,52-54,,
10:26.0,,,52-54,,A. Horford misses 2-pt shot from 11 ft
10:20.0,Defensive rebound by R. Neto,,52-54,,
10:01.0,R. Hood makes 3-pt shot from 22 ft (assist by G. Hayward),3,55-54,,
9:47.0,,,55-56,2,K. Korver makes 2-pt shot from 20 ft (assist by A. Horford)
9:23.0,R. Neto misses 3-pt shot from 24 ft,,55-56,,
9:20.0,Offensive rebound by D. Favors,,55-56,,
9:19.0,Turnover by R. Gobert (traveling),,55-56,,
9:07.0,,,55-56,,Turnover by A. Horford (turnover)
9:07.0,T. Burke enters the game for R. Neto,,55-56,,
8:47.0,D. Favors misses 2-pt shot from 13 ft,,55-56,,
8:45.0,,,55-56,,Defensive rebound by D. Schroder
8:36.0,,,55-56,,P. Millsap misses 3-pt shot from 25 ft
8:35.0,Defensive rebound by D. Favors,,55-56,,
8:35.0,,,55-56,,Personal foul by D. Schroder (drawn by D. Favors)
8:18.0,D. Favors makes 2-pt shot from 12 ft (assist by R. Hood),2,57-56,,
8:00.0,,,57-58,2,A. Horford makes 2-pt shot from 1 ft (assist by P. Millsap)
7:40.0,D. Favors makes 2-pt shot from 17 ft (assist by R. Hood),2,59-58,,
7:20.0,,,59-58,,A. Horford misses 2-pt shot from 5 ft
7:17.0,Defensive rebound by R. Gobert,,59-58,,
7:12.0,T. Burke misses 2-pt shot from 2 ft (block by P. Millsap),,59-58,,
7:10.0,,,59-58,,Defensive rebound by K. Bazemore
7:07.0,,,59-60,2,K. Korver makes 2-pt shot from 1 ft (assist by K. Bazemore)
7:07.0,Utah full timeout,,59-60,,
6:45.0,R. Hood misses 2-pt shot from 16 ft,,59-60,,
6:43.0,Offensive rebound by R. Gobert,,59-60,,
6:39.0,G. Hayward misses 3-pt shot from 24 ft,,59-60,,
6:38.0,,,59-60,,Defensive rebound by A. Horford
6:29.0,,,59-62,2,P. Millsap makes 2-pt shot from 21 ft (assist by A. Horford)
6:22.0,,,59-62,,Personal foul by D. Schroder (drawn by T. Burke)
6:15.0,D. Favors misses 2-pt shot from 17 ft,,59-62,,
6:14.0,,,59-62,,Defensive rebound by K. Korver
6:10.0,,,59-64,2,P. Millsap makes 2-pt shot at rim (assist by K. Korver)
5:49.0,R. Hood makes 2-pt shot from 9 ft,2,61-64,,
5:26.0,,,61-64,,Shooting foul by G. Hayward (drawn by K. Bazemore)
5:26.0,,,61-65,1,K. Bazemore makes free throw 1 of 2
5:26.0,,,61-65,,T. Splitter enters the game for A. Horford
5:26.0,T. Booker enters the game for R. Gobert,,61-65,,
5:26.0,,,61-66,1,K. Bazemore makes free throw 2 of 2
5:13.0,R. Hood misses 3-pt shot from 23 ft,,61-66,,
5:11.0,Offensive rebound by D. Favors,,61-66,,
5:08.0,D. Favors makes 2-pt shot at rim,2,63-66,,
4:52.0,,,63-69,3,K. Korver makes 3-pt shot from 25 ft (assist by K. Bazemore)
4:38.0,G. Hayward makes 2-pt shot from 17 ft (assist by D. Favors),2,65-69,,
4:24.0,,,65-69,,Shooting foul by T. Burke (drawn by P. Millsap)
4:24.0,,,65-70,1,P. Millsap makes free throw 1 of 2
4:24.0,,,65-70,,T. Sefolosha enters the game for K. Bazemore
4:24.0,,,65-71,1,P. Millsap makes free throw 2 of 2
4:04.0,R. Hood makes 3-pt shot from 24 ft,3,68-71,,
3:49.0,,,68-71,,Turnover by K. Korver (turnover)
3:25.0,R. Hood misses 3-pt shot from 24 ft,,68-71,,
3:22.0,,,68-71,,Defensive rebound by D. Schroder
3:17.0,,,68-71,,D. Schroder misses 2-pt shot from 1 ft (block by T. Booker)
3:14.0,Defensive rebound by G. Hayward,,68-71,,
3:03.0,D. Favors misses 2-pt shot from 3 ft (block by P. Millsap),,68-71,,
2:59.0,,,68-71,,Defensive rebound by T. Splitter
2:59.0,,,68-71,,Shooting foul by R. Hood (drawn by P. Millsap)
2:59.0,,,68-71,,Atlanta full timeout
2:59.0,,,68-71,,J. Holiday enters the game for K. Korver
2:59.0,,,68-71,,S. Mack enters the game for D. Schroder
2:59.0,A. Burks enters the game for D. Favors,,68-71,,
2:59.0,R. Gobert enters the game for R. Hood,,68-71,,
2:59.0,,,68-72,1,P. Millsap makes free throw 1 of 2
2:59.0,,,68-72,,P. Millsap misses free throw 2 of 2
2:57.0,Defensive rebound by T. Booker,,68-72,,
2:37.0,A. Burks misses 2-pt shot from 20 ft,,68-72,,
2:34.0,,,68-72,,Defensive rebound by T. Sefolosha
2:21.0,,,68-72,,Turnover by T. Sefolosha (traveling)
2:00.0,T. Burke makes 3-pt shot from 25 ft (assist by A. Burks),3,71-72,,
1:36.0,,,71-72,,Turnover by P. Millsap (turnover)
1:36.0,C. Johnson enters the game for G. Hayward,,71-72,,
1:18.0,Turnover by T. Booker (bad pass; steal by J. Holiday),,71-72,,
1:12.0,,,71-74,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Holiday)
0:52.0,T. Burke misses 2-pt shot from 22 ft,,71-74,,
0:50.0,,,71-74,,Defensive rebound by T. Sefolosha
0:28.0,,,71-74,,T. Splitter misses 2-pt shot from 20 ft
0:24.0,Defensive rebound by Team,,71-74,,
0:24.0,,,71-74,,A. Horford enters the game for P. Millsap
0:04.0,A. Burks makes 3-pt shot from 23 ft (assist by T. Burke),3,74-74,,
0:00.0,,,74-74,,T. Sefolosha misses 3-pt shot from 33 ft
0:00.0,,,74-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,74-74,,A. Horford misses 2-pt shot from 17 ft
11:43.0,Defensive rebound by A. Burks,,74-74,,
11:32.0,Offensive foul by R. Gobert,,74-74,,
11:32.0,Turnover by R. Gobert (offensive foul),,74-74,,
11:17.0,,,74-74,,S. Mack misses 2-pt shot from 9 ft
11:14.0,Defensive rebound by R. Gobert,,74-74,,
11:13.0,Turnover by R. Gobert (lost ball; steal by S. Mack),,74-74,,
11:09.0,,,74-74,,S. Mack misses 2-pt shot from 5 ft (block by R. Gobert)
11:08.0,Defensive rebound by A. Burks,,74-74,,
11:05.0,T. Burke misses 3-pt shot from 25 ft,,74-74,,
11:05.0,,,74-74,,Defensive rebound by Team
11:05.0,Loose ball foul by R. Gobert (drawn by T. Splitter),,74-74,,
11:05.0,Technical foul by R. Gobert (drawn by T. Splitter),,74-74,,
11:05.0,,,74-75,1,S. Mack makes technical free throw
11:05.0,R. Hood enters the game for C. Johnson,,74-75,,
11:05.0,,,74-75,,K. Korver enters the game for J. Holiday
10:49.0,,,74-77,2,A. Horford makes 2-pt shot from 6 ft
10:38.0,,,74-77,,Personal foul by T. Sefolosha (drawn by A. Burks)
10:38.0,,,74-77,,M. Muscala enters the game for T. Splitter
10:22.0,A. Burks misses 3-pt shot from 24 ft,,74-77,,
10:20.0,,,74-77,,Defensive rebound by T. Sefolosha
10:09.0,,,74-79,2,S. Mack makes 2-pt shot at rim (assist by K. Korver)
9:53.0,T. Burke makes 2-pt shot from 1 ft,2,76-79,,
9:45.0,,,76-79,,Offensive charge foul by T. Sefolosha
9:45.0,,,76-79,,Turnover by T. Sefolosha (offensive foul)
9:45.0,D. Favors enters the game for T. Booker,,76-79,,
9:45.0,G. Hayward enters the game for T. Burke,,76-79,,
9:31.0,G. Hayward misses 3-pt shot from 22 ft,,76-79,,
9:30.0,,,76-79,,Defensive rebound by A. Horford
9:08.0,,,76-79,,S. Mack misses 3-pt shot from 25 ft
9:06.0,Defensive rebound by G. Hayward,,76-79,,
8:50.0,R. Hood makes 3-pt shot from 23 ft (assist by D. Favors),3,79-79,,
8:35.0,,,79-79,,A. Horford misses 3-pt shot from 24 ft
8:34.0,Defensive rebound by G. Hayward,,79-79,,
8:18.0,D. Favors makes 2-pt shot at rim (assist by R. Gobert),2,81-79,,
8:18.0,,,81-79,,Atlanta full timeout
8:18.0,,,81-79,,K. Bazemore enters the game for S. Mack
8:18.0,,,81-79,,D. Schroder enters the game for T. Sefolosha
8:18.0,,,81-79,,P. Millsap enters the game for M. Muscala
8:05.0,,,81-79,,P. Millsap misses 2-pt shot at rim
8:03.0,Defensive rebound by D. Favors,,81-79,,
7:49.0,R. Hood makes 2-pt shot from 6 ft,2,83-79,,
7:32.0,,,83-79,,Shooting foul by R. Gobert (drawn by D. Schroder)
7:32.0,,,83-80,1,D. Schroder makes free throw 1 of 2
7:32.0,T. Booker enters the game for R. Gobert,,83-80,,
7:32.0,,,83-80,,D. Schroder misses free throw 2 of 2
7:30.0,Defensive rebound by T. Booker,,83-80,,
7:23.0,Shooting foul by D. Schroder (drawn by A. Burks),,83-80,,
7:23.0,A. Burks makes free throw 1 of 3,1,84-80,,
7:23.0,A. Burks misses free throw 2 of 3,,84-80,,
7:23.0,Offensive rebound by Team,,84-80,,
7:23.0,A. Burks makes free throw 3 of 3,1,85-80,,
7:05.0,,,85-82,2,K. Bazemore makes 2-pt shot at rim
6:39.0,D. Favors misses 2-pt shot from 17 ft,,85-82,,
6:38.0,,,85-82,,Defensive rebound by P. Millsap
6:29.0,,,85-82,,D. Schroder misses 3-pt shot from 24 ft
6:25.0,Defensive rebound by T. Booker,,85-82,,
6:07.0,R. Hood misses 2-pt shot from 17 ft,,85-82,,
6:05.0,,,85-82,,Defensive rebound by D. Schroder
6:00.0,,,85-84,2,A. Horford makes 2-pt shot at rim (assist by D. Schroder)
6:00.0,Utah full timeout,,85-84,,
6:00.0,R. Gobert enters the game for T. Booker,,85-84,,
5:39.0,R. Hood misses 2-pt shot from 13 ft,,85-84,,
5:37.0,Offensive rebound by D. Favors,,85-84,,
5:28.0,R. Hood makes 2-pt shot from 18 ft,2,87-84,,
5:06.0,,,87-86,2,P. Millsap makes 2-pt shot at rim (assist by A. Horford)
4:46.0,A. Burks makes 2-pt shot from 6 ft (assist by D. Favors),2,89-86,,
4:22.0,,,89-86,,Turnover by P. Millsap (lost ball; steal by A. Burks)
4:04.0,G. Hayward makes 2-pt shot from 14 ft (assist by R. Gobert),2,91-86,,
3:49.0,,,91-86,,D. Schroder misses 2-pt shot from 1 ft
3:48.0,Defensive rebound by D. Favors,,91-86,,
3:33.0,A. Burks misses 3-pt shot from 23 ft,,91-86,,
3:31.0,,,91-86,,Defensive rebound by P. Millsap
3:20.0,,,91-88,2,A. Horford makes 2-pt shot from 16 ft (assist by D. Schroder)
3:00.0,,,91-88,,T. Sefolosha enters the game for K. Korver
2:54.0,D. Favors makes 2-pt shot from 16 ft,2,93-88,,
2:36.0,,,93-88,,P. Millsap misses 2-pt shot from 3 ft (block by R. Gobert)
2:32.0,,,93-88,,Offensive rebound by K. Bazemore
2:28.0,,,93-88,,K. Bazemore misses 2-pt shot from 6 ft (block by D. Favors)
2:25.0,Defensive rebound by A. Burks,,93-88,,
2:20.0,A. Burks makes 2-pt shot from 9 ft,2,95-88,,
2:20.0,,,95-88,,Atlanta full timeout
2:20.0,Official timeout,,95-88,,
2:20.0,,,95-88,,K. Korver enters the game for K. Bazemore
2:11.0,Personal foul by A. Burks (drawn by P. Millsap),,95-88,,
1:58.0,,,95-91,3,A. Horford makes 3-pt shot from 24 ft (assist by D. Schroder)
1:38.0,D. Favors misses 2-pt shot from 3 ft,,95-91,,
1:38.0,Offensive rebound by Team,,95-91,,
1:36.0,Turnover by R. Hood (bad pass; steal by P. Millsap),,95-91,,
1:32.0,,,95-93,2,P. Millsap makes 2-pt shot at rim (assist by D. Schroder)
1:32.0,Utah full timeout,,95-93,,
1:32.0,Utah full timeout,,95-93,,
1:13.0,Jump ball: D. Favors vs. P. Millsap (R. Hood gains possession),,,,Jump ball: D. Favors vs. P. Millsap (R. Hood gains possession)
1:06.0,R. Hood misses 3-pt shot from 24 ft,,95-93,,
1:03.0,,,95-93,,Defensive rebound by D. Schroder
0:59.0,,,95-93,,P. Millsap misses 3-pt shot from 24 ft
0:59.0,Defensive rebound by Team,,95-93,,
0:46.0,Utah full timeout,,95-93,,
0:38.0,D. Favors makes 2-pt shot from 18 ft (assist by R. Hood),2,97-93,,
0:38.0,,,97-93,,Atlanta full timeout
0:33.0,,,97-96,3,A. Horford makes 3-pt shot from 23 ft (assist by P. Millsap)
0:13.0,D. Favors misses 2-pt shot from 19 ft,,97-96,,
0:11.0,,,97-96,,Defensive rebound by T. Sefolosha
0:04.0,,,97-96,,Atlanta full timeout
