time,San Antonio,pts.away,score,pts.home,Portland
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,B. Diaw makes 2-pt shot from 5 ft,2,30-24,,
11:34.0,,,30-24,,Offensive charge foul by A. Crabbe
11:34.0,,,30-24,,Turnover by A. Crabbe (offensive foul)
11:13.0,Turnover by B. Diaw (lost ball; steal by A. Crabbe),,30-24,,
11:07.0,,,30-26,2,N. Vonleh makes 2-pt shot at rim (assist by A. Crabbe)
10:47.0,M. Ginobili makes 2-pt shot from 15 ft,2,32-26,,
10:22.0,,,32-26,,A. Crabbe misses 2-pt shot from 20 ft
10:21.0,Defensive rebound by R. Butler,,32-26,,
10:13.0,D. West misses 2-pt shot from 19 ft,,32-26,,
10:13.0,,,32-26,,Defensive rebound by N. Vonleh
9:56.0,,,32-26,,C. McCollum misses 3-pt shot from 26 ft
9:54.0,,,32-26,,Offensive rebound by E. Davis
9:52.0,,,32-28,2,E. Davis makes 2-pt shot from 2 ft
9:37.0,M. Ginobili misses 2-pt shot from 2 ft,,32-28,,
9:36.0,,,32-28,,Defensive rebound by E. Davis
9:26.0,,,32-28,,C. McCollum misses 2-pt shot from 12 ft
9:26.0,,,32-28,,Offensive rebound by Team
9:26.0,Loose ball foul by D. West (drawn by E. Davis),,32-28,,
9:26.0,D. Green enters the game for M. Ginobili,,32-28,,
9:26.0,,,32-28,,G. Henderson enters the game for A. Crabbe
9:18.0,,,32-28,,M. Harkless misses 3-pt shot from 23 ft
9:18.0,,,32-28,,Offensive rebound by Team
9:08.0,,,32-28,,G. Henderson misses 2-pt shot from 15 ft
9:07.0,Defensive rebound by B. Diaw,,32-28,,
8:55.0,D. West makes 2-pt shot from 19 ft (assist by R. Butler),2,34-28,,
8:31.0,,,34-28,,C. McCollum misses 2-pt shot from 7 ft
8:30.0,Defensive rebound by R. Butler,,34-28,,
8:18.0,D. West misses 2-pt shot from 3 ft (block by E. Davis),,34-28,,
8:16.0,Offensive rebound by B. Diaw,,34-28,,
8:06.0,D. Green makes 2-pt shot from 1 ft (assist by R. Butler),2,36-28,,
8:06.0,,,36-28,,Portland full timeout
8:06.0,T. Duncan enters the game for B. Diaw,,36-28,,
8:06.0,,,36-28,,A. Aminu enters the game for M. Harkless
8:06.0,T. Parker enters the game for P. Mills,,36-28,,
8:06.0,K. Leonard enters the game for R. Butler,,36-28,,
7:52.0,,,36-30,2,C. McCollum makes 2-pt shot from 14 ft
7:31.0,Turnover by D. West (bad pass),,36-30,,
7:19.0,,,36-30,,G. Henderson misses 2-pt shot from 18 ft
7:19.0,Defensive rebound by D. Green,,36-30,,
7:03.0,Shooting foul by E. Davis (drawn by K. Leonard),,36-30,,
7:03.0,K. Leonard makes free throw 1 of 2,1,37-30,,
7:03.0,K. Leonard makes free throw 2 of 2,1,38-30,,
6:39.0,,,38-30,,C. McCollum misses 2-pt shot from 3 ft
6:39.0,Defensive rebound by D. West,,38-30,,
6:21.0,K. Leonard misses 3-pt shot from 24 ft,,38-30,,
6:21.0,,,38-30,,Defensive rebound by N. Vonleh
6:06.0,,,38-30,,G. Henderson misses 2-pt shot from 3 ft (block by D. West)
6:04.0,,,38-30,,Offensive rebound by E. Davis
6:03.0,,,38-32,2,E. Davis makes 2-pt shot from 1 ft
5:44.0,Turnover by D. West (bad pass; steal by E. Davis),,38-32,,
5:38.0,,,38-32,,G. Henderson misses 2-pt shot at rim
5:37.0,Defensive rebound by K. Leonard,,38-32,,
5:28.0,D. Green makes 3-pt shot from 22 ft (assist by K. Leonard),3,41-32,,
5:28.0,Shooting foul by N. Vonleh (drawn by D. Green),,41-32,,
5:28.0,,,41-32,,Technical foul by Team
5:28.0,Official timeout,,41-32,,
5:28.0,,,41-32,,D. Lillard enters the game for N. Vonleh
5:28.0,L. Aldridge enters the game for D. West,,41-32,,
5:28.0,K. Leonard makes technical free throw,1,42-32,,
5:28.0,D. Green misses free throw 1 of 1,,42-32,,
5:26.0,,,42-32,,Defensive rebound by E. Davis
5:12.0,,,42-35,3,D. Lillard makes 3-pt shot from 24 ft (assist by E. Davis)
4:54.0,Shooting foul by D. Lillard (drawn by T. Parker),,42-35,,
4:54.0,T. Parker misses free throw 1 of 2,,42-35,,
4:54.0,Offensive rebound by Team,,42-35,,
4:54.0,,,42-35,,M. Leonard enters the game for G. Henderson
4:54.0,T. Parker makes free throw 2 of 2,1,43-35,,
4:38.0,,,43-37,2,C. McCollum makes 2-pt shot from 16 ft
4:38.0,San Antonio full timeout,,43-37,,
4:38.0,,,43-37,,M. Plumlee enters the game for E. Davis
4:23.0,T. Duncan makes 2-pt shot from 14 ft (assist by K. Leonard),2,45-37,,
4:01.0,,,45-37,,A. Aminu misses 2-pt shot from 9 ft
4:01.0,Defensive rebound by T. Duncan,,45-37,,
3:47.0,K. Leonard makes 2-pt shot from 8 ft,2,47-37,,
3:35.0,,,47-39,2,M. Leonard makes 2-pt shot from 17 ft (assist by D. Lillard)
3:18.0,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Green),2,49-39,,
3:06.0,,,49-39,,Turnover by D. Lillard (lost ball; steal by T. Duncan)
2:54.0,T. Duncan makes 2-pt shot from 1 ft (assist by T. Parker),2,51-39,,
2:54.0,,,51-39,,Portland full timeout
2:42.0,,,51-41,2,C. McCollum makes 2-pt shot from 12 ft (assist by M. Leonard)
2:26.0,Turnover by L. Aldridge (traveling),,51-41,,
2:26.0,M. Ginobili enters the game for D. Green,,51-41,,
2:09.0,,,51-41,,A. Aminu misses 2-pt shot from 6 ft
2:08.0,Defensive rebound by T. Duncan,,51-41,,
1:51.0,Shooting foul by M. Leonard (drawn by L. Aldridge),,51-41,,
1:51.0,L. Aldridge makes free throw 1 of 2,1,52-41,,
1:51.0,L. Aldridge makes free throw 2 of 2,1,53-41,,
1:34.0,,,53-41,,D. Lillard misses 3-pt shot from 25 ft
1:32.0,,,53-41,,Offensive rebound by M. Plumlee
1:32.0,,,53-43,2,M. Plumlee makes 2-pt shot at rim
1:18.0,T. Duncan makes 2-pt shot from 20 ft (assist by M. Ginobili),2,55-43,,
0:59.0,,,55-43,,A. Aminu misses 2-pt shot from 19 ft
0:58.0,,,55-43,,Offensive rebound by Team
0:58.0,Loose ball foul by K. Leonard (drawn by M. Leonard),,55-43,,
0:51.0,,,55-46,3,D. Lillard makes 3-pt shot from 25 ft (assist by M. Leonard)
0:30.0,T. Duncan makes 2-pt shot from 7 ft (assist by T. Parker),2,57-46,,
0:30.0,Shooting foul by D. Lillard (drawn by T. Duncan),,57-46,,
0:30.0,T. Duncan makes free throw 1 of 1,1,58-46,,
0:20.0,,,58-46,,Shooting foul by T. Parker (drawn by D. Lillard)
0:20.0,,,58-46,,D. Lillard misses free throw 1 of 2
0:20.0,,,58-46,,Offensive rebound by Team
0:20.0,P. Mills enters the game for T. Parker,,58-46,,
0:20.0,R. Butler enters the game for T. Duncan,,58-46,,
0:20.0,,,58-46,,D. Lillard misses free throw 2 of 2
0:19.0,Defensive rebound by L. Aldridge,,58-46,,
0:00.0,R. Butler misses 2-pt shot from 13 ft,,58-46,,
0:00.0,Offensive rebound by Team,,58-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,D. Green misses 2-pt shot from 2 ft,,58-46,,
11:36.0,,,58-46,,Defensive rebound by M. Leonard
11:31.0,Personal foul by T. Parker (drawn by D. Lillard),,58-46,,
11:20.0,,,58-46,,Turnover by C. McCollum (bad pass; steal by K. Leonard)
11:04.0,L. Aldridge misses 2-pt shot from 16 ft,,58-46,,
11:01.0,,,58-46,,Defensive rebound by M. Plumlee
10:55.0,,,58-49,3,D. Lillard makes 3-pt shot from 25 ft
10:38.0,K. Leonard misses 3-pt shot from 24 ft,,58-49,,
10:38.0,,,58-49,,Defensive rebound by A. Aminu
10:25.0,,,58-49,,D. Lillard misses 3-pt shot from 23 ft
10:25.0,Defensive rebound by K. Leonard,,58-49,,
10:15.0,Shooting foul by C. McCollum (drawn by T. Duncan),,58-49,,
10:15.0,T. Duncan misses free throw 1 of 2,,58-49,,
10:15.0,Offensive rebound by Team,,58-49,,
10:15.0,T. Duncan makes free throw 2 of 2,1,59-49,,
9:58.0,,,59-52,3,D. Lillard makes 3-pt shot from 25 ft (assist by A. Aminu)
9:39.0,K. Leonard makes 3-pt shot from 24 ft (assist by L. Aldridge),3,62-52,,
9:24.0,,,62-52,,C. McCollum misses 3-pt shot from 22 ft
9:24.0,Defensive rebound by D. Green,,62-52,,
9:12.0,Turnover by L. Aldridge (lost ball; steal by M. Plumlee),,62-52,,
9:12.0,Personal foul by T. Duncan (drawn by D. Lillard),,62-52,,
8:59.0,,,62-52,,A. Aminu misses 3-pt shot from 25 ft
8:59.0,Defensive rebound by Team,,62-52,,
8:45.0,K. Leonard misses 2-pt shot from 1 ft,,62-52,,
8:44.0,,,62-52,,Defensive rebound by A. Aminu
8:42.0,,,62-52,,Shooting foul by L. Aldridge (drawn by A. Aminu)
8:42.0,,,62-52,,A. Aminu misses free throw 1 of 2
8:42.0,,,62-52,,Offensive rebound by Team
8:42.0,,,62-53,1,A. Aminu makes free throw 2 of 2
8:31.0,T. Parker misses 2-pt shot from 8 ft,,62-53,,
8:30.0,,,62-53,,Defensive rebound by M. Leonard
8:25.0,,,62-55,2,A. Aminu makes 2-pt shot at rim (assist by D. Lillard)
8:25.0,San Antonio full timeout,,62-55,,
8:03.0,K. Leonard makes 2-pt shot from 8 ft,2,64-55,,
7:50.0,Personal foul by T. Parker (drawn by D. Lillard),,64-55,,
7:48.0,Violation by T. Duncan (kicked ball),,64-55,,
7:40.0,,,64-58,3,A. Aminu makes 3-pt shot from 23 ft
7:19.0,T. Duncan misses 2-pt shot from 20 ft,,64-58,,
7:19.0,,,64-58,,Defensive rebound by Team
7:10.0,,,64-58,,D. Lillard misses 2-pt shot from 18 ft
7:10.0,,,64-58,,Offensive rebound by M. Plumlee
7:09.0,,,64-58,,Shooting foul by T. Duncan (drawn by M. Plumlee)
7:09.0,,,64-59,1,M. Plumlee makes free throw 1 of 2
7:09.0,,,64-59,,M. Plumlee misses free throw 2 of 2
7:09.0,Defensive rebound by K. Leonard,,64-59,,
6:46.0,K. Leonard misses 3-pt shot from 24 ft,,64-59,,
6:46.0,,,64-59,,Defensive rebound by M. Plumlee
6:34.0,,,64-59,,C. McCollum misses 2-pt shot at rim (block by T. Duncan)
6:31.0,Defensive rebound by D. Green,,64-59,,
6:25.0,K. Leonard misses 2-pt shot from 18 ft,,64-59,,
6:25.0,,,64-59,,Defensive rebound by M. Leonard
6:20.0,,,64-62,3,A. Aminu makes 3-pt shot from 23 ft (assist by D. Lillard)
6:02.0,L. Aldridge makes 2-pt shot from 11 ft,2,66-62,,
5:50.0,,,66-62,,A. Aminu misses 3-pt shot from 24 ft
5:50.0,Defensive rebound by T. Duncan,,66-62,,
5:50.0,,,66-62,,Personal foul by M. Plumlee (drawn by T. Duncan)
5:50.0,P. Mills enters the game for T. Duncan,,66-62,,
5:50.0,B. Diaw enters the game for D. Green,,66-62,,
5:50.0,M. Ginobili enters the game for T. Parker,,66-62,,
5:21.0,L. Aldridge misses 2-pt shot at rim (block by M. Plumlee),,66-62,,
5:19.0,,,66-62,,Defensive rebound by D. Lillard
5:18.0,,,66-64,2,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum)
5:08.0,B. Diaw misses 3-pt shot from 25 ft,,66-64,,
5:07.0,,,66-64,,Defensive rebound by M. Leonard
5:01.0,,,66-64,,Shooting foul by B. Diaw (drawn by D. Lillard)
5:01.0,,,66-65,1,D. Lillard makes free throw 1 of 2
5:01.0,,,66-65,,A. Crabbe enters the game for C. McCollum
5:01.0,D. West enters the game for B. Diaw,,66-65,,
5:01.0,,,66-66,1,D. Lillard makes free throw 2 of 2
4:58.0,,,66-66,,Personal take foul by D. Lillard (drawn by P. Mills)
4:58.0,,,66-66,,M. Harkless enters the game for M. Leonard
4:58.0,R. Butler enters the game for D. West,,66-66,,
4:47.0,,,66-66,,Personal foul by A. Crabbe (drawn by M. Ginobili)
4:35.0,L. Aldridge makes 2-pt shot from 16 ft (assist by R. Butler),2,68-66,,
4:22.0,,,68-66,,A. Aminu misses 3-pt shot from 23 ft
4:22.0,Defensive rebound by Team,,68-66,,
4:07.0,L. Aldridge makes 2-pt shot from 11 ft,2,70-66,,
3:55.0,Personal foul by M. Ginobili (drawn by A. Crabbe),,70-66,,
3:55.0,,,70-67,1,A. Crabbe makes free throw 1 of 2
3:55.0,,,70-67,,E. Davis enters the game for M. Plumlee
3:55.0,,,70-68,1,A. Crabbe makes free throw 2 of 2
3:45.0,Shooting foul by E. Davis (drawn by L. Aldridge),,70-68,,
3:45.0,L. Aldridge makes free throw 1 of 2,1,71-68,,
3:45.0,,,71-68,,G. Henderson enters the game for A. Aminu
3:45.0,L. Aldridge makes free throw 2 of 2,1,72-68,,
3:24.0,,,72-70,2,G. Henderson makes 2-pt shot from 15 ft
3:12.0,P. Mills makes 3-pt shot from 25 ft (assist by K. Leonard),3,75-70,,
2:52.0,,,75-72,2,G. Henderson makes 2-pt shot from 17 ft (assist by E. Davis)
2:37.0,L. Aldridge misses 2-pt shot from 10 ft,,75-72,,
2:36.0,Offensive rebound by M. Ginobili,,75-72,,
2:21.0,M. Ginobili misses 2-pt shot from 17 ft,,75-72,,
2:20.0,Offensive rebound by M. Ginobili,,75-72,,
2:18.0,M. Ginobili makes 2-pt shot from 1 ft,2,77-72,,
2:18.0,,,77-72,,Portland full timeout
2:18.0,D. West enters the game for L. Aldridge,,77-72,,
2:18.0,D. Green enters the game for K. Leonard,,77-72,,
2:03.0,,,77-72,,A. Crabbe misses 2-pt shot from 1 ft
2:01.0,,,77-72,,Offensive rebound by E. Davis
2:01.0,,,77-74,2,E. Davis makes 2-pt shot at rim
1:46.0,D. West makes 2-pt shot from 2 ft (assist by M. Ginobili),2,79-74,,
1:37.0,Personal foul by M. Ginobili (drawn by E. Davis),,79-74,,
1:37.0,,,79-74,,E. Davis misses free throw 1 of 2
1:37.0,,,79-74,,Offensive rebound by Team
1:37.0,,,79-75,1,E. Davis makes free throw 2 of 2
1:20.0,D. West misses 2-pt shot from 14 ft,,79-75,,
1:19.0,,,79-75,,Defensive rebound by G. Henderson
1:12.0,,,79-75,,M. Harkless misses 2-pt shot from 2 ft
1:12.0,,,79-75,,Offensive rebound by Team
1:04.0,,,79-75,,Turnover by D. Lillard (lost ball; steal by R. Butler)
0:48.0,M. Ginobili makes 2-pt shot from 5 ft,2,81-75,,
0:32.0,,,81-75,,D. Lillard misses 2-pt shot from 10 ft
0:31.0,Defensive rebound by D. Green,,81-75,,
0:09.0,M. Ginobili misses 3-pt shot from 24 ft,,81-75,,
0:08.0,,,81-75,,Defensive rebound by D. Lillard
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,81-75,,C. McCollum misses 2-pt shot from 2 ft
11:48.0,Defensive rebound by D. West,,81-75,,
11:42.0,D. Green misses 3-pt shot from 23 ft,,81-75,,
11:41.0,Offensive rebound by M. Ginobili,,81-75,,
11:30.0,M. Ginobili misses 2-pt shot from 2 ft,,81-75,,
11:30.0,,,81-75,,Defensive rebound by A. Crabbe
11:16.0,,,81-77,2,G. Henderson makes 2-pt shot from 20 ft (assist by M. Harkless)
11:11.0,Turnover by P. Mills (lost ball; steal by E. Davis),,81-77,,
11:10.0,,,81-79,2,E. Davis makes 2-pt shot from 1 ft
10:50.0,D. Green makes 3-pt shot from 22 ft (assist by D. West),3,84-79,,
10:29.0,,,84-79,,C. McCollum misses 2-pt shot from 3 ft
10:28.0,Defensive rebound by D. West,,84-79,,
10:23.0,R. Butler makes 2-pt shot from 2 ft (assist by D. West),2,86-79,,
10:04.0,,,86-79,,Turnover by C. McCollum (lost ball)
9:55.0,Turnover by R. Butler (lost ball),,86-79,,
9:55.0,,,86-79,,M. Plumlee enters the game for E. Davis
9:44.0,,,86-81,2,A. Crabbe makes 2-pt shot from 21 ft (assist by C. McCollum)
9:43.0,San Antonio full timeout,,86-81,,
9:43.0,,,86-81,,A. Aminu enters the game for M. Harkless
9:43.0,K. Leonard enters the game for R. Butler,,86-81,,
9:22.0,K. Leonard makes 2-pt shot at rim (assist by D. Green),2,88-81,,
9:19.0,Personal take foul by D. West (drawn by C. McCollum),,88-81,,
9:19.0,B. Diaw enters the game for K. Leonard,,88-81,,
9:08.0,,,88-81,,C. McCollum misses 2-pt shot from 14 ft
9:05.0,,,88-81,,Offensive rebound by M. Plumlee
8:57.0,,,88-83,2,G. Henderson makes 2-pt shot from 16 ft
8:38.0,P. Mills makes 2-pt shot from 18 ft,2,90-83,,
8:25.0,,,90-83,,A. Crabbe misses 2-pt shot from 22 ft
8:25.0,,,90-83,,Offensive rebound by C. McCollum
8:23.0,,,90-83,,Shooting foul by D. Green (drawn by M. Plumlee)
8:23.0,,,90-83,,M. Plumlee misses free throw 1 of 2
8:23.0,,,90-83,,Offensive rebound by Team
8:23.0,R. Butler enters the game for M. Ginobili,,90-83,,
8:23.0,T. Parker enters the game for P. Mills,,90-83,,
8:23.0,L. Aldridge enters the game for D. West,,90-83,,
8:23.0,,,90-83,,D. Lillard enters the game for C. McCollum
8:23.0,,,90-84,1,M. Plumlee makes free throw 2 of 2
8:04.0,D. Green makes 3-pt shot from 24 ft (assist by L. Aldridge),3,93-84,,
7:51.0,,,93-84,,Shooting foul by L. Aldridge (drawn by M. Plumlee)
7:51.0,,,93-85,1,M. Plumlee makes free throw 1 of 2
7:51.0,K. Leonard enters the game for R. Butler,,93-85,,
7:51.0,,,93-85,,M. Plumlee misses free throw 2 of 2
7:49.0,,,93-85,,Offensive rebound by D. Lillard
7:43.0,,,93-87,2,G. Henderson makes 2-pt shot at rim (assist by D. Lillard)
7:23.0,K. Leonard makes 2-pt shot from 1 ft,2,95-87,,
7:12.0,Personal foul by K. Leonard (drawn by D. Lillard),,95-87,,
7:08.0,,,95-87,,D. Lillard misses 3-pt shot from 25 ft
7:07.0,Defensive rebound by K. Leonard,,95-87,,
6:59.0,L. Aldridge makes 2-pt shot from 1 ft (assist by B. Diaw),2,97-87,,
6:59.0,,,97-87,,Portland full timeout
6:59.0,,,97-87,,C. McCollum enters the game for A. Crabbe
6:45.0,,,97-87,,Turnover by C. McCollum (bad pass; steal by T. Parker)
6:25.0,B. Diaw makes 2-pt shot from 3 ft,2,99-87,,
6:12.0,,,99-87,,M. Plumlee misses 2-pt shot from 1 ft
6:12.0,Defensive rebound by B. Diaw,,99-87,,
5:54.0,L. Aldridge misses 2-pt shot from 3 ft (block by A. Aminu),,99-87,,
5:53.0,Offensive rebound by B. Diaw,,99-87,,
5:51.0,B. Diaw misses 2-pt shot from 1 ft,,99-87,,
5:50.0,,,99-87,,Defensive rebound by G. Henderson
5:25.0,,,99-89,2,G. Henderson makes 2-pt shot at rim (assist by A. Aminu)
5:19.0,Offensive foul by K. Leonard,,99-89,,
5:19.0,Turnover by K. Leonard (offensive foul),,99-89,,
5:06.0,,,99-91,2,D. Lillard makes 2-pt shot at rim (assist by M. Plumlee)
4:51.0,Shooting foul by M. Plumlee (drawn by L. Aldridge),,99-91,,
4:51.0,L. Aldridge makes free throw 1 of 2,1,100-91,,
4:51.0,L. Aldridge misses free throw 2 of 2,,100-91,,
4:50.0,,,100-91,,Defensive rebound by A. Aminu
4:44.0,,,100-91,,Shooting foul by D. Green (drawn by D. Lillard)
4:44.0,,,100-91,,D. Lillard misses free throw 1 of 2
4:44.0,,,100-91,,Offensive rebound by Team
4:44.0,,,100-92,1,D. Lillard makes free throw 2 of 2
4:33.0,T. Parker makes 2-pt shot from 10 ft,2,102-92,,
4:09.0,,,102-92,,C. McCollum misses 2-pt shot from 4 ft
4:09.0,,,102-92,,Offensive rebound by Team
4:09.0,Loose ball foul by L. Aldridge (drawn by C. McCollum),,102-92,,
4:09.0,,,102-93,1,C. McCollum makes free throw 1 of 2
4:09.0,M. Ginobili enters the game for D. Green,,102-93,,
4:09.0,,,102-94,1,C. McCollum makes free throw 2 of 2
3:50.0,T. Parker makes 2-pt shot from 2 ft,2,104-94,,
3:50.0,,,104-94,,Violation by M. Plumlee (def goaltending)
3:41.0,,,104-97,3,C. McCollum makes 3-pt shot from 23 ft (assist by M. Plumlee)
3:27.0,T. Parker misses 2-pt shot from 18 ft,,104-97,,
3:26.0,,,104-97,,Defensive rebound by M. Plumlee
3:16.0,,,104-97,,D. Lillard misses 2-pt shot at rim
3:16.0,Defensive rebound by K. Leonard,,104-97,,
3:04.0,L. Aldridge makes 2-pt shot from 1 ft (assist by B. Diaw),2,106-97,,
2:56.0,,,106-99,2,C. McCollum makes 2-pt shot from 20 ft (assist by D. Lillard)
2:38.0,,,106-99,,Personal foul by G. Henderson (drawn by K. Leonard)
2:38.0,Official timeout,,106-99,,
2:38.0,,,106-99,,A. Crabbe enters the game for G. Henderson
2:36.0,Shooting foul by A. Aminu (drawn by M. Ginobili),,106-99,,
2:36.0,,,106-99,,Violation by M. Plumlee (def goaltending)
2:36.0,M. Ginobili makes 2-pt shot from 1 ft (assist by B. Diaw),2,108-99,,
2:36.0,M. Ginobili makes free throw 1 of 1,1,109-99,,
2:11.0,,,109-99,,M. Plumlee misses 2-pt shot from 17 ft
2:10.0,Defensive rebound by K. Leonard,,109-99,,
