time,Charlotte,pts.away,score,pts.home,Portland
6:58.0,Defensive rebound by T. Hansbrough,,29-33,,
6:50.0,,,29-33,,Personal foul by C. McCollum (drawn by B. Roberts)
6:38.0,B. Roberts makes 2-pt shot from 17 ft,2,31-33,,
6:28.0,,,31-33,,A. Crabbe misses 3-pt shot from 24 ft
6:27.0,,,31-33,,Offensive rebound by Team
6:20.0,,,31-33,,M. Leonard misses 3-pt shot from 24 ft
6:18.0,Defensive rebound by B. Roberts,,31-33,,
6:12.0,M. Williams makes 2-pt shot at rim (assist by N. Batum),2,33-33,,
6:12.0,,,33-33,,Portland full timeout
6:12.0,,,33-33,,M. Plumlee enters the game for A. Crabbe
6:12.0,,,33-33,,A. Aminu enters the game for M. Leonard
6:12.0,,,33-33,,N. Vonleh enters the game for E. Davis
5:48.0,,,33-33,,N. Vonleh misses 2-pt shot from 5 ft
5:48.0,Defensive rebound by N. Batum,,33-33,,
5:30.0,Turnover by M. Kidd-Gilchrist (dbl dribble),,33-33,,
5:18.0,,,33-35,2,M. Plumlee makes 2-pt shot from 1 ft (assist by C. McCollum)
4:58.0,Shooting foul by M. Plumlee (drawn by T. Hansbrough),,33-35,,
4:58.0,T. Hansbrough misses free throw 1 of 2,,33-35,,
4:58.0,Offensive rebound by Team,,33-35,,
4:58.0,K. Walker enters the game for B. Roberts,,33-35,,
4:58.0,,,33-35,,D. Lillard enters the game for C. McCollum
4:58.0,,,33-35,,A. Crabbe enters the game for G. Henderson
4:58.0,T. Hansbrough makes free throw 2 of 2,1,34-35,,
4:43.0,,,34-35,,M. Plumlee misses 2-pt shot from 3 ft
4:42.0,Defensive rebound by M. Kidd-Gilchrist,,34-35,,
4:36.0,M. Williams makes 3-pt shot from 24 ft (assist by M. Kidd-Gilchrist),3,37-35,,
4:20.0,,,37-38,3,A. Aminu makes 3-pt shot from 23 ft (assist by D. Lillard)
4:07.0,N. Batum misses 2-pt shot from 1 ft (block by M. Plumlee),,37-38,,
4:07.0,Offensive rebound by T. Hansbrough,,37-38,,
4:07.0,Shooting foul by A. Aminu (drawn by T. Hansbrough),,37-38,,
4:07.0,T. Hansbrough makes free throw 1 of 2,1,38-38,,
4:07.0,T. Hansbrough makes free throw 2 of 2,1,39-38,,
3:55.0,,,39-38,,Turnover by N. Vonleh (traveling)
3:55.0,S. Hawes enters the game for T. Hansbrough,,39-38,,
3:40.0,Turnover by M. Williams (lost ball; steal by M. Plumlee),,39-38,,
3:34.0,,,39-40,2,N. Vonleh makes 2-pt shot at rim (assist by M. Plumlee)
3:26.0,Charlotte full timeout,,39-40,,
3:19.0,K. Walker makes 2-pt shot at rim (assist by S. Hawes),2,41-40,,
3:03.0,,,41-42,2,A. Crabbe makes 2-pt shot from 17 ft (assist by M. Plumlee)
2:45.0,K. Walker misses 3-pt shot from 25 ft,,41-42,,
2:44.0,,,41-42,,Defensive rebound by A. Aminu
2:37.0,,,41-45,3,D. Lillard makes 3-pt shot from 25 ft
2:13.0,Turnover by N. Batum (bad pass; steal by D. Lillard),,41-45,,
2:06.0,,,41-45,,A. Crabbe misses 3-pt shot from 24 ft
2:06.0,Defensive rebound by M. Kidd-Gilchrist,,41-45,,
1:40.0,K. Walker misses 2-pt shot from 11 ft,,41-45,,
1:38.0,,,41-45,,Defensive rebound by A. Crabbe
1:32.0,,,41-47,2,A. Crabbe makes 2-pt shot from 1 ft (assist by M. Plumlee)
1:31.0,Charlotte full timeout,,41-47,,
1:31.0,T. Daniels enters the game for N. Batum,,41-47,,
1:19.0,Turnover by T. Daniels (bad pass; steal by D. Lillard),,41-47,,
1:14.0,,,41-47,,Turnover by A. Crabbe (lost ball; steal by K. Walker)
1:08.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker),2,43-47,,
1:08.0,Shooting foul by N. Vonleh (drawn by M. Kidd-Gilchrist),,43-47,,
1:08.0,M. Kidd-Gilchrist misses free throw 1 of 1,,43-47,,
1:05.0,,,43-47,,Defensive rebound by N. Vonleh
0:53.0,Violation by S. Hawes (kicked ball),,43-47,,
0:53.0,,,43-47,,C. McCollum enters the game for N. Vonleh
0:44.0,,,43-47,,A. Crabbe misses 3-pt shot from 23 ft
0:43.0,Defensive rebound by K. Walker,,43-47,,
0:33.0,K. Walker misses 2-pt shot from 17 ft,,43-47,,
0:32.0,,,43-47,,Defensive rebound by A. Aminu
0:24.0,,,43-49,2,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Lillard)
0:24.0,,,43-49,,Shooting foul by S. Hawes (drawn by M. Plumlee)
0:24.0,,,43-50,1,M. Plumlee makes free throw 1 of 1
0:02.0,Shooting foul by A. Aminu (drawn by K. Walker),,43-50,,
0:02.0,K. Walker makes free throw 1 of 2,1,44-50,,
0:02.0,,,44-50,,Portland full timeout
0:02.0,,,44-50,,M. Leonard enters the game for A. Crabbe
0:02.0,K. Walker makes free throw 2 of 2,1,45-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,N. Batum misses 2-pt shot from 12 ft,,45-50,,
11:46.0,,,45-50,,Defensive rebound by A. Aminu
11:32.0,,,45-50,,A. Aminu misses 2-pt shot from 1 ft
11:31.0,,,45-50,,Offensive rebound by M. Plumlee
11:30.0,,,45-50,,M. Plumlee misses 2-pt shot from 2 ft
11:28.0,Defensive rebound by M. Williams,,45-50,,
11:21.0,K. Walker misses 3-pt shot from 25 ft,,45-50,,
11:20.0,Offensive rebound by M. Kidd-Gilchrist,,45-50,,
11:16.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,47-50,,
10:52.0,,,47-52,2,C. McCollum makes 2-pt shot from 10 ft
10:38.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by S. Hawes),2,49-52,,
10:19.0,,,49-52,,Turnover by M. Plumlee (bad pass; steal by K. Walker)
10:18.0,Turnover by K. Walker (dbl dribble),,49-52,,
10:05.0,,,49-52,,A. Aminu misses 2-pt shot from 9 ft
10:04.0,,,49-52,,Offensive rebound by N. Vonleh
10:04.0,,,49-54,2,N. Vonleh makes 2-pt shot at rim
9:50.0,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum),3,52-54,,
9:26.0,,,52-56,2,C. McCollum makes 2-pt shot from 19 ft
9:04.0,N. Batum misses 2-pt shot from 13 ft,,52-56,,
9:04.0,,,52-56,,Defensive rebound by A. Aminu
8:48.0,,,52-56,,D. Lillard misses 3-pt shot from 26 ft
8:48.0,Defensive rebound by S. Hawes,,52-56,,
8:38.0,M. Kidd-Gilchrist misses 2-pt shot from 14 ft,,52-56,,
8:37.0,,,52-56,,Defensive rebound by D. Lillard
8:29.0,,,52-56,,Turnover by D. Lillard (bad pass; steal by K. Walker)
8:23.0,M. Williams makes 2-pt shot from 6 ft (assist by K. Walker),2,54-56,,
8:02.0,,,54-56,,N. Vonleh misses 3-pt shot from 24 ft
8:01.0,Defensive rebound by K. Walker,,54-56,,
7:48.0,,,54-56,,Personal foul by N. Vonleh (drawn by S. Hawes)
7:48.0,P. Hairston enters the game for M. Kidd-Gilchrist,,54-56,,
7:38.0,M. Williams makes 3-pt shot from 26 ft (assist by N. Batum),3,57-56,,
7:22.0,,,57-58,2,C. McCollum makes 2-pt shot from 1 ft
6:57.0,K. Walker misses 3-pt shot from 24 ft,,57-58,,
6:55.0,,,57-58,,Defensive rebound by A. Aminu
6:52.0,,,57-60,2,M. Plumlee makes 2-pt shot at rim (assist by A. Aminu)
6:52.0,Charlotte full timeout,,57-60,,
6:52.0,,,57-60,,A. Crabbe enters the game for N. Vonleh
6:43.0,Turnover by K. Walker (bad pass; steal by M. Plumlee),,57-60,,
6:38.0,,,57-60,,Turnover by M. Plumlee (lost ball; steal by M. Williams)
6:23.0,N. Batum misses 2-pt shot from 4 ft,,57-60,,
6:23.0,,,57-60,,Defensive rebound by M. Plumlee
6:17.0,,,57-62,2,C. McCollum makes 2-pt shot from 12 ft
6:02.0,N. Batum misses 2-pt shot from 13 ft,,57-62,,
6:01.0,,,57-62,,Defensive rebound by M. Plumlee
5:52.0,,,57-62,,C. McCollum misses 2-pt shot from 22 ft
5:52.0,Defensive rebound by S. Hawes,,57-62,,
5:39.0,Turnover by N. Batum (bad pass; steal by A. Aminu),,57-62,,
5:32.0,,,57-62,,A. Crabbe misses 3-pt shot from 22 ft
5:31.0,Defensive rebound by N. Batum,,57-62,,
5:21.0,K. Walker makes 2-pt shot from 18 ft,2,59-62,,
5:06.0,,,59-62,,M. Plumlee misses 2-pt shot from 6 ft (block by N. Batum)
5:05.0,,,59-62,,Offensive rebound by M. Plumlee
5:03.0,,,59-64,2,M. Plumlee makes 2-pt shot from 14 ft
4:47.0,S. Hawes misses 2-pt shot from 2 ft,,59-64,,
4:47.0,,,59-64,,Defensive rebound by M. Plumlee
4:39.0,,,59-66,2,A. Aminu makes 2-pt shot from 1 ft (assist by C. McCollum)
4:39.0,,,59-66,,Shooting foul by N. Batum (drawn by A. Aminu)
4:39.0,B. Roberts enters the game for K. Walker,,59-66,,
4:39.0,,,59-66,,E. Davis enters the game for M. Plumlee
4:39.0,,,59-67,1,A. Aminu makes free throw 1 of 1
4:27.0,,,59-67,,Shooting block foul by D. Lillard (drawn by B. Roberts)
4:27.0,B. Roberts makes free throw 1 of 2,1,60-67,,
4:27.0,B. Roberts makes free throw 2 of 2,1,61-67,,
4:16.0,,,61-67,,Shooting foul by S. Hawes (drawn by C. McCollum)
4:16.0,,,61-68,1,C. McCollum makes free throw 1 of 2
4:16.0,,,61-69,1,C. McCollum makes free throw 2 of 2
3:57.0,B. Roberts misses 2-pt shot from 19 ft,,61-69,,
3:57.0,,,61-69,,Defensive rebound by A. Aminu
3:46.0,,,61-69,,D. Lillard misses 3-pt shot from 25 ft
3:45.0,,,61-69,,Offensive rebound by A. Aminu
3:44.0,,,61-69,,A. Aminu misses 2-pt shot from 1 ft
3:42.0,,,61-69,,Offensive rebound by A. Aminu
3:42.0,,,61-69,,A. Aminu misses 2-pt shot at rim
3:41.0,Defensive rebound by P. Hairston,,61-69,,
3:33.0,M. Williams misses 3-pt shot from 24 ft,,61-69,,
3:32.0,Offensive rebound by B. Roberts,,61-69,,
3:23.0,Turnover by B. Roberts (bad pass; steal by D. Lillard),,61-69,,
3:16.0,,,61-69,,D. Lillard misses 2-pt shot from 2 ft (block by P. Hairston)
3:15.0,Defensive rebound by P. Hairston,,61-69,,
3:05.0,B. Roberts makes 2-pt shot from 1 ft,2,63-69,,
3:05.0,Shooting foul by A. Aminu (drawn by B. Roberts),,63-69,,
3:05.0,,,63-69,,Portland full timeout
3:05.0,,,63-69,,G. Henderson enters the game for A. Aminu
3:05.0,,,63-69,,M. Leonard enters the game for C. McCollum
3:05.0,T. Daniels enters the game for M. Williams,,63-69,,
3:05.0,F. Kaminsky enters the game for N. Batum,,63-69,,
3:05.0,B. Roberts makes free throw 1 of 1,1,64-69,,
2:46.0,,,64-72,3,D. Lillard makes 3-pt shot from 24 ft (assist by M. Leonard)
2:31.0,B. Roberts misses 3-pt shot from 24 ft,,64-72,,
2:29.0,Offensive rebound by F. Kaminsky,,64-72,,
2:25.0,P. Hairston misses 3-pt shot from 24 ft,,64-72,,
2:24.0,,,64-72,,Defensive rebound by D. Lillard
2:08.0,,,64-72,,Shooting foul by T. Daniels (drawn by A. Crabbe)
2:08.0,,,64-73,1,A. Crabbe makes free throw 1 of 3
2:08.0,,,64-74,1,A. Crabbe makes free throw 2 of 3
2:08.0,M. Kidd-Gilchrist enters the game for P. Hairston,,64-74,,
2:08.0,,,64-75,1,A. Crabbe makes free throw 3 of 3
1:53.0,Turnover by T. Daniels (step out of bounds),,64-75,,
1:37.0,,,64-77,2,A. Crabbe makes 2-pt shot from 1 ft (assist by M. Leonard)
1:37.0,,,64-77,,Shooting foul by T. Daniels (drawn by A. Crabbe)
1:37.0,,,64-78,1,A. Crabbe makes free throw 1 of 1
1:24.0,T. Daniels makes 2-pt shot from 14 ft (assist by S. Hawes),2,66-78,,
1:16.0,,,66-78,,Shooting foul by B. Roberts (drawn by D. Lillard)
1:16.0,,,66-79,1,D. Lillard makes free throw 1 of 2
1:16.0,,,66-79,,D. Lillard misses free throw 2 of 2
1:16.0,Defensive rebound by M. Kidd-Gilchrist,,66-79,,
1:00.0,S. Hawes misses 3-pt shot from 25 ft,,66-79,,
0:59.0,,,66-79,,Defensive rebound by E. Davis
0:51.0,,,66-81,2,D. Lillard makes 2-pt shot from 12 ft
0:32.0,B. Roberts makes 3-pt shot from 24 ft,3,69-81,,
0:29.0,,,69-83,2,D. Lillard makes 2-pt shot from 2 ft
0:29.0,,,69-83,,Shooting foul by S. Hawes (drawn by D. Lillard)
0:29.0,,,69-83,,D. Lillard misses free throw 1 of 1
0:28.0,Defensive rebound by S. Hawes,,69-83,,
0:08.0,B. Roberts misses 3-pt shot from 24 ft,,69-83,,
0:07.0,,,69-83,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,69-83,,Shooting foul by T. Hansbrough (drawn by E. Davis)
11:43.0,,,69-83,,E. Davis misses free throw 1 of 2
11:43.0,,,69-83,,Offensive rebound by Team
11:43.0,,,69-84,1,E. Davis makes free throw 2 of 2
11:28.0,T. Hansbrough misses 2-pt shot from 5 ft,,69-84,,
11:28.0,,,69-84,,Defensive rebound by M. Leonard
11:13.0,,,69-87,3,M. Leonard makes 3-pt shot from 24 ft (assist by G. Henderson)
10:53.0,B. Roberts makes 2-pt shot from 21 ft (assist by N. Batum),2,71-87,,
10:34.0,,,71-89,2,A. Crabbe makes 2-pt shot from 19 ft (assist by M. Leonard)
10:18.0,F. Kaminsky misses 3-pt shot from 24 ft,,71-89,,
10:17.0,,,71-89,,Defensive rebound by C. McCollum
10:11.0,,,71-91,2,C. McCollum makes 2-pt shot from 15 ft
10:11.0,Charlotte full timeout,,71-91,,
10:11.0,M. Williams enters the game for F. Kaminsky,,71-91,,
9:59.0,Shooting foul by G. Henderson (drawn by M. Kidd-Gilchrist),,71-91,,
9:59.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,72-91,,
9:59.0,M. Kidd-Gilchrist misses free throw 2 of 2,,72-91,,
9:57.0,,,72-91,,Defensive rebound by A. Crabbe
9:38.0,,,72-91,,G. Henderson misses 2-pt shot from 8 ft
9:37.0,Defensive rebound by T. Hansbrough,,72-91,,
9:20.0,Shooting foul by M. Leonard (drawn by B. Roberts),,72-91,,
9:20.0,B. Roberts misses free throw 1 of 2,,72-91,,
9:20.0,Offensive rebound by Team,,72-91,,
9:20.0,B. Roberts makes free throw 2 of 2,1,73-91,,
9:01.0,,,73-93,2,M. Leonard makes 2-pt shot from 7 ft (assist by C. McCollum)
8:39.0,,,73-93,,Inbound foul by M. Leonard
8:39.0,T. Hansbrough makes free throw 1 of 2,1,74-93,,
8:39.0,T. Hansbrough makes free throw 2 of 2,1,75-93,,
8:24.0,,,75-93,,A. Crabbe misses 2-pt shot from 12 ft
8:23.0,Defensive rebound by M. Williams,,75-93,,
8:08.0,B. Roberts misses 2-pt shot from 6 ft,,75-93,,
8:06.0,Offensive rebound by T. Hansbrough,,75-93,,
8:06.0,T. Hansbrough makes 2-pt shot from 1 ft,2,77-93,,
7:43.0,,,77-93,,G. Henderson misses 2-pt shot from 20 ft
7:43.0,Defensive rebound by M. Kidd-Gilchrist,,77-93,,
7:39.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,79-93,,
7:39.0,Shooting foul by M. Leonard (drawn by M. Kidd-Gilchrist),,79-93,,
7:39.0,,,79-93,,D. Lillard enters the game for C. McCollum
7:39.0,,,79-93,,A. Aminu enters the game for M. Leonard
7:39.0,M. Kidd-Gilchrist misses free throw 1 of 1,,79-93,,
7:38.0,,,79-93,,Defensive rebound by E. Davis
7:19.0,,,79-93,,Turnover by A. Crabbe (lost ball; steal by T. Hansbrough)
7:18.0,Shooting foul by A. Crabbe (drawn by T. Hansbrough),,79-93,,
7:18.0,T. Hansbrough makes free throw 1 of 2,1,80-93,,
7:18.0,T. Hansbrough makes free throw 2 of 2,1,81-93,,
6:59.0,,,81-93,,A. Crabbe misses 2-pt shot from 14 ft
6:58.0,Defensive rebound by M. Williams,,81-93,,
6:53.0,Turnover by M. Kidd-Gilchrist (lost ball),,81-93,,
6:43.0,,,81-95,2,D. Lillard makes 2-pt shot from 5 ft
6:43.0,,,81-95,,Shooting foul by B. Roberts (drawn by D. Lillard)
6:43.0,,,81-95,,M. Plumlee enters the game for E. Davis
6:43.0,,,81-95,,D. Lillard misses free throw 1 of 1
6:42.0,Defensive rebound by T. Hansbrough,,81-95,,
6:29.0,M. Williams makes 2-pt shot from 8 ft,2,83-95,,
6:29.0,Shooting foul by A. Aminu (drawn by M. Williams),,83-95,,
6:29.0,M. Williams misses free throw 1 of 1,,83-95,,
6:28.0,,,83-95,,Defensive rebound by A. Aminu
6:09.0,,,83-95,,A. Crabbe misses 2-pt shot from 16 ft
6:08.0,,,83-95,,Offensive rebound by M. Plumlee
5:59.0,,,83-95,,D. Lillard misses 2-pt shot from 2 ft (block by T. Hansbrough)
5:57.0,Defensive rebound by T. Hansbrough,,83-95,,
5:52.0,B. Roberts misses 2-pt shot from 2 ft,,83-95,,
5:51.0,,,83-95,,Defensive rebound by A. Aminu
5:40.0,,,83-95,,D. Lillard misses 2-pt shot from 3 ft
5:40.0,,,83-95,,Offensive rebound by A. Crabbe
5:37.0,,,83-98,3,A. Crabbe makes 3-pt shot from 24 ft
5:21.0,Shooting foul by M. Plumlee (drawn by T. Hansbrough),,83-98,,
5:21.0,Official timeout,,83-98,,
5:21.0,,,83-98,,C. McCollum enters the game for A. Crabbe
5:21.0,T. Hansbrough makes free throw 1 of 2,1,84-98,,
5:21.0,T. Hansbrough misses free throw 2 of 2,,84-98,,
5:20.0,,,84-98,,Defensive rebound by M. Plumlee
5:05.0,,,84-98,,D. Lillard misses 2-pt shot from 4 ft
5:05.0,,,84-98,,Offensive rebound by M. Plumlee
4:56.0,,,84-98,,A. Aminu misses 2-pt shot from 2 ft
4:54.0,Defensive rebound by T. Hansbrough,,84-98,,
4:46.0,Shooting foul by M. Plumlee (drawn by M. Kidd-Gilchrist),,84-98,,
4:46.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,85-98,,
