time,Boston,pts.away,score,pts.home,Denver
4:54.0,Shooting foul by W. Barton (drawn by J. Crowder),,78-67,,
4:54.0,J. Crowder misses free throw 1 of 2,,78-67,,
4:54.0,Offensive rebound by Team,,78-67,,
4:54.0,J. Crowder makes free throw 2 of 2,1,79-67,,
4:36.0,Personal foul by I. Thomas (drawn by D. Gallinari),,79-67,,
4:36.0,,,79-68,1,D. Gallinari makes free throw 1 of 2
4:36.0,,,79-69,1,D. Gallinari makes free throw 2 of 2
4:24.0,I. Thomas misses 3-pt shot from 24 ft,,79-69,,
4:23.0,,,79-69,,Defensive rebound by N. Jokic
4:06.0,,,79-69,,D. Augustin misses 3-pt shot from 26 ft
4:05.0,Defensive rebound by E. Turner,,79-69,,
3:59.0,I. Thomas makes 2-pt shot from 2 ft (assist by E. Turner),2,81-69,,
3:41.0,,,81-69,,D. Gallinari misses 2-pt shot from 7 ft
3:40.0,Defensive rebound by J. Sullinger,,81-69,,
3:36.0,I. Thomas makes 2-pt shot from 7 ft (assist by J. Sullinger),2,83-69,,
3:31.0,,,83-69,,Denver full timeout
3:21.0,,,83-71,2,D. Gallinari makes 2-pt shot from 2 ft (assist by N. Jokic)
3:08.0,Shooting foul by N. Jokic (drawn by J. Sullinger),,83-71,,
3:08.0,J. Sullinger makes 2-pt shot from 9 ft (assist by M. Smart),2,85-71,,
3:08.0,J. Sullinger makes free throw 1 of 1,1,86-71,,
2:59.0,,,86-71,,J. Nurkic enters the game for N. Jokic
2:48.0,,,86-71,,Turnover by D. Gallinari (lost ball; steal by M. Smart)
2:39.0,,,86-71,,G. Harris enters the game for E. Mudiay
2:30.0,Offensive foul by J. Sullinger,,86-71,,
2:30.0,Turnover by J. Sullinger (offensive foul),,86-71,,
2:18.0,,,86-71,,Offensive charge foul by J. Nurkic
2:18.0,,,86-71,,Turnover by J. Nurkic (offensive foul)
2:03.0,J. Sullinger misses 3-pt shot from 25 ft,,86-71,,
2:02.0,,,86-71,,Defensive rebound by W. Barton
1:47.0,,,86-71,,W. Barton misses 2-pt shot from 5 ft
1:46.0,Defensive rebound by E. Turner,,86-71,,
1:41.0,Turnover by E. Turner (lost ball; steal by G. Harris),,86-71,,
1:28.0,,,86-71,,D. Gallinari misses 3-pt shot from 23 ft
1:27.0,Defensive rebound by E. Turner,,86-71,,
1:21.0,M. Smart misses 3-pt shot from 25 ft,,86-71,,
1:20.0,,,86-71,,Defensive rebound by D. Augustin
1:12.0,,,86-73,2,G. Harris makes 2-pt shot from 1 ft (assist by D. Augustin)
0:59.0,I. Thomas misses 2-pt shot from 12 ft,,86-73,,
0:59.0,Offensive rebound by J. Sullinger,,86-73,,
0:58.0,J. Sullinger makes 2-pt shot from 1 ft,2,88-73,,
0:37.0,,,88-75,2,G. Harris makes 2-pt shot from 17 ft (assist by W. Barton)
0:28.0,Turnover by E. Turner (bad pass; steal by W. Barton),,88-75,,
0:19.0,,,88-75,,W. Barton misses 2-pt shot from 3 ft
0:19.0,,,88-75,,Offensive rebound by J. Nurkic
0:14.0,,,88-75,,D. Augustin misses 3-pt shot from 23 ft
0:13.0,Defensive rebound by J. Sullinger,,88-75,,
0:12.0,J. Crowder makes 2-pt shot from 1 ft (assist by J. Sullinger),2,90-75,,
0:12.0,Shooting foul by G. Harris (drawn by J. Crowder),,90-75,,
0:12.0,J. Jerebko enters the game for J. Sullinger,,90-75,,
0:12.0,T. Zeller enters the game for I. Thomas,,90-75,,
0:12.0,J. Crowder makes free throw 1 of 1,1,91-75,,
0:00.0,,,91-78,3,W. Barton makes 3-pt shot from 24 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,M. Smart misses 3-pt shot from 26 ft,,91-78,,
11:38.0,,,91-78,,Defensive rebound by Team
11:21.0,,,91-80,2,D. Augustin makes 2-pt shot from 2 ft
11:04.0,T. Zeller makes 2-pt shot from 7 ft (assist by A. Bradley),2,93-80,,
10:41.0,,,93-82,2,D. Arthur makes 2-pt shot from 19 ft (assist by D. Augustin)
10:24.0,E. Turner makes 2-pt shot from 1 ft,2,95-82,,
10:03.0,,,95-82,,Turnover by J. Nurkic (lost ball; steal by E. Turner)
10:00.0,A. Bradley makes 2-pt shot at rim (assist by E. Turner),2,97-82,,
10:00.0,,,97-82,,Denver full timeout
9:50.0,,,97-82,,Shooting foul by A. Bradley (drawn by W. Barton)
9:50.0,,,97-83,1,W. Barton makes free throw 1 of 2
9:50.0,,,97-84,1,W. Barton makes free throw 2 of 2
9:32.0,,,97-84,,Personal foul by G. Harris (drawn by E. Turner)
9:27.0,Turnover by E. Turner (bad pass; steal by J. Nurkic),,97-84,,
9:22.0,,,97-86,2,D. Augustin makes 2-pt shot from 2 ft
9:02.0,,,97-86,,Shooting block foul by D. Arthur (drawn by E. Turner)
9:02.0,E. Turner makes free throw 1 of 2,1,98-86,,
9:02.0,E. Turner makes free throw 2 of 2,1,99-86,,
8:54.0,,,99-86,,Turnover by D. Arthur (offensive foul)
8:54.0,,,99-86,,Offensive foul by D. Arthur
8:37.0,A. Bradley misses 3-pt shot from 25 ft,,99-86,,
8:36.0,,,99-86,,Defensive rebound by D. Augustin
8:31.0,,,99-86,,Shooting foul by E. Turner (drawn by W. Barton)
8:31.0,,,99-87,1,W. Barton makes free throw 1 of 2
8:31.0,,,99-87,,W. Barton misses free throw 2 of 2
8:30.0,Defensive rebound by Team,,99-87,,
8:12.0,T. Zeller misses 2-pt shot from 4 ft,,99-87,,
8:11.0,Offensive rebound by J. Jerebko,,99-87,,
8:11.0,J. Jerebko makes 2-pt shot from 3 ft,2,101-87,,
7:47.0,,,101-89,2,G. Harris makes 2-pt shot from 22 ft
7:29.0,,,101-89,,Personal foul by D. Augustin (drawn by T. Zeller)
7:29.0,Turnover by E. Turner (offensive foul),,101-89,,
7:29.0,Offensive foul by E. Turner,,101-89,,
7:22.0,,,101-89,,Offensive foul by J. Nurkic
7:22.0,,,101-89,,Turnover by J. Nurkic (offensive foul)
7:12.0,Offensive foul by M. Smart,,101-89,,
7:12.0,Turnover by M. Smart (offensive foul),,101-89,,
7:04.0,,,101-89,,Shooting foul by T. Zeller (drawn by W. Barton)
7:04.0,,,101-90,1,W. Barton makes free throw 1 of 2
7:04.0,I. Thomas enters the game for E. Turner,,101-90,,
7:04.0,,,101-91,1,W. Barton makes free throw 2 of 2
