time,San Antonio,pts.away,score,pts.home,Utah
8:52.0,,,31-20,,G. Hayward misses 2-pt shot from 7 ft
8:52.0,Defensive rebound by K. Anderson,,31-20,,
8:45.0,D. Green misses 3-pt shot from 22 ft,,31-20,,
8:44.0,,,31-20,,Defensive rebound by J. Ingles
8:33.0,Personal foul by K. Leonard,,31-20,,
8:21.0,,,31-22,2,T. Lyles makes 2-pt shot from 11 ft
7:59.0,K. Leonard misses 2-pt shot from 20 ft,,31-22,,
7:59.0,,,31-22,,Defensive rebound by T. Lyles
7:48.0,,,31-22,,G. Hayward misses 2-pt shot from 2 ft
7:47.0,Defensive rebound by D. Green,,31-22,,
7:41.0,D. Green misses 3-pt shot from 24 ft,,31-22,,
7:40.0,,,31-22,,Defensive rebound by R. Neto
7:33.0,,,31-22,,Turnover by R. Neto (lost ball; steal by D. Green)
7:12.0,D. West makes 2-pt shot from 8 ft,2,33-22,,
6:52.0,,,33-24,2,T. Booker makes 2-pt shot from 2 ft (assist by J. Ingles)
6:52.0,,,33-24,,Shooting foul by P. Mills (drawn by T. Booker)
6:52.0,,,33-24,,S. Mack enters the game for R. Neto
6:52.0,T. Duncan enters the game for D. West,,33-24,,
6:52.0,L. Aldridge enters the game for K. Anderson,,33-24,,
6:52.0,M. Ginobili enters the game for D. Green,,33-24,,
6:52.0,,,33-24,,D. Favors enters the game for T. Lyles
6:52.0,,,33-25,1,T. Booker makes free throw 1 of 1
6:37.0,,,33-25,,Personal foul by S. Mack
6:22.0,K. Leonard makes 2-pt shot from 19 ft,2,35-25,,
6:10.0,Personal foul by M. Ginobili,,35-25,,
6:10.0,,,35-26,1,J. Ingles makes free throw 1 of 2
6:10.0,,,35-27,1,J. Ingles makes free throw 2 of 2
5:57.0,Turnover by T. Duncan (bad pass),,35-27,,
5:57.0,,,35-27,,Utah full timeout
5:57.0,T. Parker enters the game for P. Mills,,35-27,,
5:57.0,,,35-27,,R. Hood enters the game for J. Ingles
5:41.0,,,35-29,2,D. Favors makes 2-pt shot from 16 ft (assist by R. Hood)
5:28.0,K. Leonard misses 2-pt shot from 14 ft,,35-29,,
5:28.0,,,35-29,,Defensive rebound by T. Booker
5:11.0,,,35-31,2,D. Favors makes 2-pt shot from 13 ft
4:52.0,T. Parker misses 2-pt shot from 5 ft (block by D. Favors),,35-31,,
4:52.0,,,35-31,,Defensive rebound by S. Mack
4:33.0,,,35-33,2,T. Booker makes 2-pt shot from 7 ft (assist by S. Mack)
4:19.0,,,35-33,,Personal foul by G. Hayward
4:13.0,,,35-33,,R. Gobert enters the game for D. Favors
4:07.0,M. Ginobili misses 2-pt shot from 8 ft,,35-33,,
4:07.0,,,35-33,,Defensive rebound by T. Booker
3:46.0,,,35-33,,R. Hood misses 2-pt shot from 6 ft
3:45.0,Defensive rebound by T. Parker,,35-33,,
3:37.0,M. Ginobili makes 3-pt shot from 24 ft (assist by T. Parker),3,38-33,,
3:24.0,,,38-33,,S. Mack misses 2-pt shot from 3 ft
3:23.0,Defensive rebound by L. Aldridge,,38-33,,
3:21.0,,,38-33,,Technical foul by S. Mack
3:21.0,K. Leonard makes technical free throw,1,39-33,,
3:21.0,,,39-33,,T. Lyles enters the game for T. Booker
3:11.0,Turnover by M. Ginobili (lost ball; steal by R. Gobert),,39-33,,
2:50.0,,,39-35,2,R. Hood makes 2-pt shot from 12 ft
2:50.0,San Antonio full timeout,,39-35,,
2:34.0,T. Parker makes 2-pt shot from 2 ft,2,41-35,,
2:15.0,,,41-35,,G. Hayward misses 2-pt shot from 12 ft
2:15.0,Defensive rebound by K. Leonard,,41-35,,
1:56.0,K. Leonard misses 3-pt shot from 24 ft,,41-35,,
1:55.0,,,41-35,,Defensive rebound by R. Hood
1:38.0,,,41-35,,S. Mack misses 2-pt shot from 9 ft (block by T. Duncan)
1:37.0,Defensive rebound by T. Parker,,41-35,,
1:22.0,T. Duncan misses 2-pt shot from 2 ft,,41-35,,
1:21.0,,,41-35,,Defensive rebound by R. Gobert
1:09.0,,,41-35,,T. Lyles misses 2-pt shot from 10 ft
1:08.0,Defensive rebound by K. Leonard,,41-35,,
0:45.0,K. Leonard misses 2-pt shot from 6 ft,,41-35,,
0:45.0,,,41-35,,Defensive rebound by R. Gobert
0:37.0,Personal foul by T. Duncan,,41-35,,
0:37.0,,,41-36,1,R. Gobert makes free throw 1 of 2
0:37.0,,,41-36,,D. Favors enters the game for T. Lyles
0:37.0,,,41-37,1,R. Gobert makes free throw 2 of 2
0:22.0,T. Duncan misses 2-pt shot from 9 ft,,41-37,,
0:21.0,Offensive rebound by L. Aldridge,,41-37,,
0:08.0,,,41-37,,Personal foul by S. Mack
0:01.0,Shooting foul by G. Hayward (drawn by K. Leonard),,41-37,,
0:01.0,K. Leonard makes free throw 1 of 2,1,42-37,,
0:01.0,K. Leonard misses free throw 2 of 2,,42-37,,
0:00.0,,,42-37,,Defensive rebound by R. Gobert
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,42-37,,R. Hood misses 3-pt shot from 23 ft
11:43.0,Defensive rebound by L. Aldridge,,42-37,,
11:29.0,Turnover by L. Aldridge (lost ball; steal by G. Hayward),,42-37,,
11:24.0,,,42-37,,Shooting foul by D. Green (drawn by G. Hayward)
11:24.0,,,42-37,,G. Hayward misses free throw 1 of 2
11:24.0,,,42-37,,Offensive rebound by Team
11:24.0,,,42-38,1,G. Hayward makes free throw 2 of 2
11:04.0,Shooting foul by D. Favors (drawn by K. Leonard),,42-38,,
11:04.0,K. Leonard makes free throw 1 of 2,1,43-38,,
11:04.0,K. Leonard makes free throw 2 of 2,1,44-38,,
10:46.0,,,44-38,,Turnover by R. Gobert (lost ball; steal by L. Aldridge)
10:30.0,L. Aldridge misses 2-pt shot from 11 ft,,44-38,,
10:29.0,,,44-38,,Defensive rebound by R. Gobert
10:10.0,,,44-38,,S. Mack misses 2-pt shot from 6 ft
10:10.0,Defensive rebound by K. Leonard,,44-38,,
9:57.0,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Duncan),2,46-38,,
9:36.0,,,46-38,,R. Hood misses 2-pt shot from 4 ft
9:36.0,,,46-38,,Offensive rebound by R. Gobert
9:33.0,,,46-38,,R. Gobert misses 2-pt shot from 1 ft (block by T. Duncan)
9:33.0,,,46-38,,Offensive rebound by Team
9:30.0,,,46-38,,Shooting foul by D. Green (drawn by G. Hayward)
9:30.0,,,46-39,1,G. Hayward makes free throw 1 of 3
9:30.0,,,46-40,1,G. Hayward makes free throw 2 of 3
9:30.0,K. Anderson enters the game for D. Green,,46-40,,
9:30.0,,,46-41,1,G. Hayward makes free throw 3 of 3
9:09.0,T. Parker misses 2-pt shot from 20 ft,,46-41,,
9:08.0,,,46-41,,Defensive rebound by G. Hayward
9:00.0,,,46-41,,Turnover by S. Mack (lost ball; steal by K. Leonard)
8:59.0,,,46-41,,Personal foul by R. Hood
8:48.0,T. Duncan misses 2-pt shot from 3 ft,,46-41,,
8:47.0,,,46-41,,Defensive rebound by R. Hood
8:22.0,,,46-41,,R. Gobert misses 2-pt shot from 3 ft
8:22.0,Defensive rebound by T. Duncan,,46-41,,
8:09.0,L. Aldridge misses 2-pt shot from 2 ft,,46-41,,
8:08.0,,,46-41,,Defensive rebound by R. Hood
8:05.0,,,46-41,,Shooting foul by K. Anderson (drawn by R. Hood)
8:05.0,,,46-42,1,R. Hood makes free throw 1 of 2
8:05.0,,,46-43,1,R. Hood makes free throw 2 of 2
7:47.0,,,46-43,,Personal foul by D. Favors
7:37.0,Turnover by L. Aldridge (lost ball; steal by S. Mack),,46-43,,
7:34.0,Personal foul by K. Leonard,,46-43,,
7:25.0,,,46-43,,Shooting foul by L. Aldridge (drawn by R. Gobert)
7:25.0,,,46-44,1,R. Gobert makes free throw 1 of 2
7:25.0,,,46-45,1,R. Gobert makes free throw 2 of 2
7:13.0,,,46-45,,Personal foul by R. Gobert
7:13.0,,,46-45,,T. Booker enters the game for R. Gobert
7:04.0,K. Anderson makes 2-pt shot from 6 ft,2,48-45,,
6:44.0,,,48-47,2,G. Hayward makes 2-pt shot from 14 ft
6:34.0,,,48-47,,Personal foul by T. Booker
6:34.0,T. Parker makes free throw 1 of 2,1,49-47,,
6:34.0,T. Parker makes free throw 2 of 2,1,50-47,,
6:26.0,,,50-47,,G. Hayward misses 2-pt shot from 1 ft (block by K. Leonard)
6:26.0,,,50-47,,Offensive rebound by Team
6:11.0,,,50-49,2,S. Mack makes 2-pt shot from 4 ft (assist by T. Booker)
5:56.0,Shooting foul by R. Hood (drawn by T. Duncan),,50-49,,
5:56.0,,,50-49,,Utah full timeout
5:56.0,M. Ginobili enters the game for K. Leonard,,50-49,,
5:56.0,T. Duncan makes free throw 1 of 2,1,51-49,,
5:56.0,T. Duncan makes free throw 2 of 2,1,52-49,,
5:33.0,,,52-49,,R. Hood misses 2-pt shot from 18 ft
5:33.0,Defensive rebound by T. Parker,,52-49,,
5:27.0,T. Parker misses 2-pt shot from 2 ft,,52-49,,
5:27.0,Offensive rebound by Team,,52-49,,
5:27.0,,,52-49,,Loose ball foul by T. Booker
5:27.0,T. Duncan makes free throw 1 of 2,1,53-49,,
5:27.0,,,53-49,,J. Ingles enters the game for R. Hood
5:27.0,T. Duncan misses free throw 2 of 2,,53-49,,
5:27.0,,,53-49,,Defensive rebound by T. Booker
5:11.0,,,53-49,,Turnover by S. Mack (lost ball; steal by L. Aldridge)
4:51.0,Turnover by T. Parker (bad pass),,53-49,,
4:51.0,D. West enters the game for T. Duncan,,53-49,,
4:51.0,,,53-49,,R. Gobert enters the game for D. Favors
4:40.0,Personal foul by K. Anderson,,53-49,,
4:40.0,,,53-49,,R. Gobert misses free throw 1 of 2
4:40.0,,,53-49,,Offensive rebound by Team
4:40.0,P. Mills enters the game for T. Parker,,53-49,,
4:40.0,,,53-49,,R. Gobert misses free throw 2 of 2
4:39.0,Defensive rebound by L. Aldridge,,53-49,,
4:28.0,M. Ginobili makes 2-pt shot from 4 ft,2,55-49,,
4:13.0,,,55-51,2,S. Mack makes 2-pt shot from 17 ft
4:07.0,San Antonio full timeout,,55-51,,
4:07.0,,,55-51,,R. Neto enters the game for S. Mack
4:07.0,,,55-51,,T. Lyles enters the game for T. Booker
3:50.0,P. Mills misses 3-pt shot from 22 ft,,55-51,,
3:49.0,,,55-51,,Defensive rebound by G. Hayward
3:42.0,Jump ball: M. Ginobili vs. G. Hayward (J. Ingles gains possession),,,,Jump ball: M. Ginobili vs. G. Hayward (J. Ingles gains possession)
3:24.0,,,55-51,,Turnover by J. Ingles (bad pass)
3:09.0,L. Aldridge makes 2-pt shot from 17 ft (assist by K. Anderson),2,57-51,,
2:52.0,,,57-51,,Turnover by R. Gobert (lost ball; steal by L. Aldridge)
2:49.0,,,57-51,,Personal foul by J. Ingles
2:49.0,M. Ginobili makes free throw 1 of 2,1,58-51,,
2:49.0,M. Ginobili makes free throw 2 of 2,1,59-51,,
2:31.0,,,59-51,,T. Lyles misses 3-pt shot from 24 ft
2:29.0,Defensive rebound by M. Ginobili,,59-51,,
2:19.0,M. Ginobili makes 3-pt shot from 23 ft,3,62-51,,
2:00.0,,,62-51,,R. Neto misses 2-pt shot from 14 ft
1:59.0,Defensive rebound by L. Aldridge,,62-51,,
1:48.0,D. West makes 2-pt shot from 2 ft (assist by K. Anderson),2,64-51,,
1:30.0,Personal foul by D. West,,64-51,,
1:30.0,,,64-52,1,T. Lyles makes free throw 1 of 2
1:30.0,,,64-53,1,T. Lyles makes free throw 2 of 2
1:08.0,P. Mills misses 2-pt shot from 16 ft,,64-53,,
1:08.0,Offensive rebound by L. Aldridge,,64-53,,
0:50.0,M. Ginobili misses 3-pt shot from 24 ft,,64-53,,
0:49.0,,,64-53,,Defensive rebound by T. Lyles
0:35.0,,,64-53,,T. Lyles misses 2-pt shot from 3 ft
0:35.0,Defensive rebound by D. West,,64-53,,
0:29.0,P. Mills makes 3-pt shot from 23 ft (assist by M. Ginobili),3,67-53,,
0:08.0,,,67-53,,T. Lyles misses 2-pt shot from 21 ft
0:07.0,,,67-53,,Offensive rebound by J. Ingles
0:01.0,,,67-53,,G. Hayward misses 3-pt shot from 24 ft
0:00.0,,,67-53,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,67-53,,Personal foul by J. Ingles
11:33.0,D. Green makes 2-pt shot from 1 ft,2,69-53,,
11:12.0,,,69-56,3,J. Ingles makes 3-pt shot from 23 ft (assist by R. Hood)
10:58.0,D. West misses 2-pt shot from 9 ft,,69-56,,
10:58.0,,,69-56,,Defensive rebound by R. Hood
10:46.0,,,69-59,3,J. Ingles makes 3-pt shot from 24 ft
10:19.0,Turnover by Team (shot clock),,69-59,,
10:02.0,,,69-61,2,D. Favors makes 2-pt shot at rim (assist by R. Hood)
10:02.0,San Antonio full timeout,,69-61,,
9:47.0,K. Leonard misses 2-pt shot from 10 ft,,69-61,,
9:47.0,,,69-61,,Defensive rebound by R. Hood
9:33.0,,,69-64,3,J. Ingles makes 3-pt shot from 24 ft (assist by D. Favors)
9:19.0,P. Mills misses 2-pt shot from 18 ft,,69-64,,
9:18.0,,,69-64,,Defensive rebound by D. Favors
8:58.0,,,69-64,,Turnover by R. Neto (bad pass)
8:46.0,D. West makes 2-pt shot from 16 ft (assist by P. Mills),2,71-64,,
8:19.0,,,71-64,,T. Lyles misses 2-pt shot from 3 ft
8:19.0,Defensive rebound by K. Leonard,,71-64,,
8:14.0,K. Leonard makes 2-pt shot at rim,2,73-64,,
8:00.0,,,73-64,,Turnover by D. Favors (bad pass)
8:00.0,,,73-64,,S. Mack enters the game for R. Neto
8:00.0,,,73-64,,R. Gobert enters the game for T. Lyles
8:00.0,,,73-64,,T. Booker enters the game for D. Favors
7:34.0,K. Leonard misses 3-pt shot from 24 ft,,73-64,,
7:34.0,,,73-64,,Defensive rebound by S. Mack
7:18.0,,,73-67,3,R. Hood makes 3-pt shot from 24 ft (assist by R. Gobert)
6:59.0,M. Bonner misses 3-pt shot from 24 ft (block by T. Booker),,73-67,,
6:57.0,,,73-67,,Defensive rebound by S. Mack
6:55.0,,,73-69,2,T. Booker makes 2-pt shot from 1 ft (assist by S. Mack)
6:33.0,P. Mills makes 3-pt shot from 24 ft (assist by D. West),3,76-69,,
6:11.0,,,76-69,,T. Booker misses 2-pt shot at rim
6:10.0,,,76-69,,Offensive rebound by R. Hood
6:06.0,,,76-72,3,S. Mack makes 3-pt shot from 24 ft (assist by R. Hood)
5:47.0,San Antonio full timeout,,76-72,,
5:47.0,L. Aldridge enters the game for D. West,,76-72,,
5:47.0,T. Duncan enters the game for M. Bonner,,76-72,,
5:47.0,T. Parker enters the game for P. Mills,,76-72,,
5:37.0,T. Parker misses 2-pt shot from 20 ft,,76-72,,
5:37.0,,,76-72,,Defensive rebound by R. Hood
5:23.0,,,76-74,2,J. Ingles makes 2-pt shot from 2 ft
5:23.0,,,76-74,,Shooting foul by D. Green (drawn by J. Ingles)
5:23.0,,,76-74,,J. Ingles misses free throw 1 of 1
5:22.0,Defensive rebound by K. Leonard,,76-74,,
5:04.0,Shooting foul by T. Booker (drawn by K. Leonard),,76-74,,
5:04.0,K. Leonard makes free throw 1 of 2,1,77-74,,
5:04.0,,,77-74,,G. Hayward enters the game for S. Mack
5:04.0,K. Leonard makes free throw 2 of 2,1,78-74,,
4:46.0,,,78-76,2,R. Hood makes 2-pt shot from 7 ft
4:26.0,K. Leonard misses 3-pt shot from 23 ft,,78-76,,
4:24.0,,,78-76,,Defensive rebound by Team
4:24.0,K. Anderson enters the game for T. Duncan,,78-76,,
4:11.0,,,78-76,,Turnover by G. Hayward (lost ball; steal by D. Green)
4:06.0,K. Anderson makes 2-pt shot at rim (assist by T. Parker),2,80-76,,
3:49.0,,,80-78,2,R. Hood makes 2-pt shot from 3 ft
3:25.0,K. Leonard misses 2-pt shot from 6 ft,,80-78,,
3:24.0,,,80-78,,Defensive rebound by T. Booker
3:17.0,,,80-78,,Turnover by R. Hood (lost ball; steal by L. Aldridge)
3:01.0,L. Aldridge misses 2-pt shot from 18 ft,,80-78,,
3:00.0,,,80-78,,Defensive rebound by R. Gobert
2:53.0,,,80-78,,Utah full timeout
2:48.0,,,80-80,2,R. Hood makes 2-pt shot at rim (assist by T. Booker)
2:22.0,L. Aldridge misses 2-pt shot from 19 ft,,80-80,,
2:22.0,,,80-80,,Defensive rebound by R. Gobert
2:09.0,,,80-80,,Offensive foul by J. Ingles
2:09.0,,,80-80,,Turnover by J. Ingles (offensive foul)
1:59.0,K. Anderson makes 3-pt shot from 23 ft (assist by T. Parker),3,83-80,,
1:37.0,,,83-82,2,R. Hood makes 2-pt shot from 10 ft
1:16.0,T. Parker misses 2-pt shot from 19 ft (block by R. Gobert),,83-82,,
1:15.0,,,83-82,,Defensive rebound by T. Booker
1:01.0,,,83-84,2,R. Hood makes 2-pt shot from 7 ft
0:38.0,T. Parker makes 3-pt shot from 23 ft,3,86-84,,
0:38.0,,,86-84,,Utah full timeout
0:38.0,,,86-84,,S. Mack enters the game for T. Booker
0:28.0,,,86-86,2,G. Hayward makes 2-pt shot from 3 ft
0:07.0,T. Parker misses 2-pt shot from 2 ft (block by R. Gobert),,86-86,,
0:07.0,Offensive rebound by Team,,86-86,,
0:07.0,San Antonio full timeout,,86-86,,
0:07.0,,,86-86,,T. Booker enters the game for S. Mack
0:05.0,K. Leonard makes 2-pt shot from 15 ft (assist by K. Anderson),2,88-86,,
0:05.0,,,88-86,,Utah full timeout
0:05.0,,,88-86,,S. Mack enters the game for T. Booker
0:01.0,,,88-86,,R. Hood misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by D. Green,,88-86,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
