time,Charlotte,pts.away,score,pts.home,Washington
9:38.0,N. Batum misses 2-pt shot from 17 ft,,53-57,,
9:37.0,,,53-57,,Defensive rebound by M. Thornton
9:24.0,,,53-57,,R. Sessions misses 3-pt shot from 28 ft
9:23.0,Defensive rebound by N. Batum,,53-57,,
9:14.0,C. Lee misses 3-pt shot from 25 ft,,53-57,,
9:13.0,,,53-57,,Defensive rebound by O. Porter
9:06.0,,,53-57,,R. Sessions misses 2-pt shot from 2 ft
9:05.0,Defensive rebound by C. Zeller,,53-57,,
8:57.0,K. Walker makes 2-pt shot from 14 ft,2,55-57,,
8:46.0,,,55-57,,R. Sessions misses 2-pt shot from 8 ft
8:44.0,,,55-57,,Offensive rebound by M. Thornton
8:36.0,,,55-57,,Turnover by M. Thornton (lost ball; steal by K. Walker)
8:30.0,C. Lee misses 3-pt shot from 27 ft,,55-57,,
8:29.0,Offensive rebound by M. Williams,,55-57,,
8:28.0,M. Williams makes 2-pt shot from 1 ft,2,57-57,,
8:13.0,,,57-59,2,M. Morris makes 2-pt shot from 18 ft (assist by R. Sessions)
7:45.0,K. Walker makes 2-pt shot at rim (assist by M. Williams),2,59-59,,
7:28.0,,,59-61,2,M. Gortat makes 2-pt shot from 10 ft
7:09.0,K. Walker misses 3-pt shot from 26 ft,,59-61,,
7:06.0,,,59-61,,Defensive rebound by M. Gortat
6:53.0,,,59-63,2,R. Sessions makes 2-pt shot from 5 ft (assist by M. Gortat)
6:50.0,Charlotte full timeout,,59-63,,
6:50.0,J. Lin enters the game for K. Walker,,59-63,,
6:31.0,Shooting foul by M. Morris (drawn by M. Williams),,59-63,,
6:31.0,M. Williams makes free throw 1 of 2,1,60-63,,
6:31.0,M. Williams makes free throw 2 of 2,1,61-63,,
6:22.0,,,61-63,,Shooting foul by J. Lin (drawn by R. Sessions)
6:22.0,,,61-63,,R. Sessions misses free throw 1 of 2
6:22.0,,,61-63,,Offensive rebound by Team
6:22.0,,,61-64,1,R. Sessions makes free throw 2 of 2
6:08.0,M. Williams makes 2-pt shot from 6 ft (assist by N. Batum),2,63-64,,
5:55.0,Violation by N. Batum (def goaltending),,63-64,,
5:55.0,,,63-66,2,M. Gortat makes 2-pt shot from 1 ft
5:43.0,J. Lin misses 3-pt shot from 28 ft,,63-66,,
5:42.0,,,63-66,,Defensive rebound by M. Morris
5:31.0,,,63-66,,M. Morris misses 3-pt shot from 29 ft
5:30.0,Defensive rebound by C. Lee,,63-66,,
5:10.0,N. Batum makes 2-pt shot from 13 ft (assist by C. Zeller),2,65-66,,
4:53.0,,,65-66,,Shooting foul by N. Batum (drawn by M. Gortat)
4:53.0,,,65-66,,M. Gortat misses free throw 1 of 2
4:53.0,,,65-66,,Offensive rebound by Team
4:53.0,,,65-66,,G. Temple enters the game for M. Thornton
4:53.0,A. Jefferson enters the game for C. Zeller,,65-66,,
4:53.0,,,65-67,1,M. Gortat makes free throw 2 of 2
4:38.0,,,65-67,,Personal foul by M. Morris
4:38.0,,,65-67,,J. Dudley enters the game for M. Morris
4:36.0,,,65-67,,Technical foul by M. Morris
4:36.0,N. Batum makes technical free throw,1,66-67,,
4:32.0,Turnover by J. Lin (lost ball; steal by J. Dudley),,66-67,,
4:29.0,,,66-67,,Turnover by J. Dudley (lost ball; steal by C. Lee)
4:22.0,M. Williams misses 2-pt shot at rim,,66-67,,
4:21.0,Offensive rebound by M. Williams,,66-67,,
4:20.0,M. Williams misses 2-pt shot from 1 ft,,66-67,,
4:19.0,Offensive rebound by M. Williams,,66-67,,
4:18.0,M. Williams makes 2-pt shot from 3 ft,2,68-67,,
4:05.0,,,68-69,2,M. Gortat makes 2-pt shot at rim (assist by R. Sessions)
3:49.0,C. Lee makes 3-pt shot from 23 ft (assist by N. Batum),3,71-69,,
3:37.0,,,71-72,3,O. Porter makes 3-pt shot from 26 ft (assist by M. Gortat)
3:22.0,J. Lin misses 2-pt shot from 19 ft,,71-72,,
3:21.0,,,71-72,,Defensive rebound by G. Temple
3:15.0,,,71-72,,G. Temple misses 3-pt shot from 25 ft
3:13.0,Defensive rebound by A. Jefferson,,71-72,,
3:00.0,A. Jefferson misses 2-pt shot from 11 ft,,71-72,,
2:59.0,,,71-72,,Defensive rebound by O. Porter
2:51.0,,,71-74,2,O. Porter makes 2-pt shot from 18 ft
2:27.0,A. Jefferson misses 2-pt shot from 1 ft,,71-74,,
2:26.0,,,71-74,,Defensive rebound by R. Sessions
2:17.0,,,71-77,3,O. Porter makes 3-pt shot from 28 ft (assist by G. Temple)
2:16.0,Charlotte full timeout,,71-77,,
2:16.0,,,71-77,,N. Hilario enters the game for M. Gortat
2:16.0,F. Kaminsky enters the game for M. Williams,,71-77,,
2:16.0,T. Daniels enters the game for C. Lee,,71-77,,
2:02.0,F. Kaminsky misses 2-pt shot from 5 ft,,71-77,,
2:01.0,,,71-77,,Defensive rebound by N. Hilario
1:52.0,,,71-77,,Shooting foul by A. Jefferson (drawn by J. Dudley)
1:52.0,,,71-78,1,J. Dudley makes free throw 1 of 2
1:52.0,,,71-79,1,J. Dudley makes free throw 2 of 2
1:28.0,A. Jefferson misses 2-pt shot from 11 ft,,71-79,,
1:27.0,Offensive rebound by N. Batum,,71-79,,
1:24.0,N. Batum misses 2-pt shot from 12 ft,,71-79,,
1:23.0,,,71-79,,Defensive rebound by N. Hilario
1:11.0,,,71-81,2,N. Hilario makes 2-pt shot from 15 ft (assist by R. Sessions)
1:00.0,,,71-81,,Personal foul by J. Dudley
1:00.0,F. Kaminsky makes free throw 1 of 2,1,72-81,,
1:00.0,F. Kaminsky makes free throw 2 of 2,1,73-81,,
0:50.0,,,73-81,,R. Sessions misses 3-pt shot from 26 ft
0:49.0,Defensive rebound by F. Kaminsky,,73-81,,
0:37.0,Offensive foul by J. Lin,,73-81,,
0:37.0,Turnover by J. Lin (offensive foul),,73-81,,
0:28.0,,,73-84,3,J. Dudley makes 3-pt shot from 26 ft (assist by R. Sessions)
0:09.0,,,73-84,,Personal foul by N. Hilario
0:09.0,J. Lin makes free throw 1 of 2,1,74-84,,
0:09.0,J. Lin misses free throw 2 of 2,,74-84,,
0:08.0,,,74-84,,Defensive rebound by R. Sessions
0:00.0,,,74-86,2,R. Sessions makes 2-pt shot from 7 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,74-86,,J. Dudley misses 2-pt shot from 17 ft
11:39.0,Defensive rebound by F. Kaminsky,,74-86,,
11:26.0,Shooting foul by N. Hilario (drawn by A. Jefferson),,74-86,,
11:26.0,A. Jefferson makes free throw 1 of 2,1,75-86,,
11:26.0,A. Jefferson makes free throw 2 of 2,1,76-86,,
11:06.0,,,76-86,,Shooting foul by T. Daniels (drawn by A. Anderson)
11:06.0,,,76-86,,A. Anderson misses free throw 1 of 2
11:06.0,,,76-86,,Offensive rebound by Team
11:06.0,,,76-86,,A. Anderson misses free throw 2 of 2
11:05.0,Defensive rebound by K. Walker,,76-86,,
10:52.0,T. Daniels misses 3-pt shot from 25 ft,,76-86,,
10:51.0,,,76-86,,Defensive rebound by G. Temple
10:38.0,,,76-86,,Shooting foul by A. Jefferson (drawn by N. Hilario)
10:38.0,,,76-87,1,N. Hilario makes free throw 1 of 2
10:38.0,,,76-88,1,N. Hilario makes free throw 2 of 2
10:21.0,F. Kaminsky misses 2-pt shot from 1 ft,,76-88,,
10:20.0,Offensive rebound by Team,,76-88,,
10:06.0,,,76-88,,Personal foul by A. Anderson
10:01.0,Turnover by K. Walker (bad pass),,76-88,,
9:41.0,,,76-88,,N. Hilario misses 2-pt shot from 13 ft
9:40.0,Defensive rebound by F. Kaminsky,,76-88,,
9:35.0,Shooting foul by G. Temple (drawn by K. Walker),,76-88,,
9:35.0,K. Walker makes free throw 1 of 2,1,77-88,,
9:35.0,K. Walker makes free throw 2 of 2,1,78-88,,
9:26.0,Personal foul by T. Daniels,,78-88,,
9:17.0,,,78-88,,N. Hilario misses 2-pt shot from 5 ft
9:16.0,Defensive rebound by T. Daniels,,78-88,,
9:02.0,T. Daniels misses 3-pt shot from 27 ft,,78-88,,
9:01.0,,,78-88,,Defensive rebound by A. Anderson
8:51.0,,,78-88,,Turnover by N. Hilario (lost ball; steal by J. Lin)
8:51.0,,,78-88,,Personal foul by N. Hilario
8:51.0,Official timeout,,78-88,,
8:34.0,A. Jefferson misses 2-pt shot from 13 ft (block by N. Hilario),,78-88,,
8:32.0,,,78-88,,Defensive rebound by J. Dudley
8:17.0,,,78-88,,J. Dudley misses 2-pt shot from 19 ft
8:16.0,Defensive rebound by T. Daniels,,78-88,,
8:02.0,F. Kaminsky makes 3-pt shot from 27 ft (assist by K. Walker),3,81-88,,
7:33.0,,,81-88,,N. Hilario misses 2-pt shot from 19 ft
7:32.0,Defensive rebound by F. Kaminsky,,81-88,,
7:32.0,,,81-88,,Personal foul by K. Oubre
7:32.0,F. Kaminsky makes free throw 1 of 2,1,82-88,,
7:32.0,,,82-88,,M. Thornton enters the game for A. Anderson
7:32.0,,,82-88,,R. Sessions enters the game for G. Temple
7:32.0,F. Kaminsky misses free throw 2 of 2,,82-88,,
7:31.0,,,82-88,,Defensive rebound by J. Dudley
7:16.0,,,82-88,,M. Thornton misses 3-pt shot from 28 ft
7:15.0,Defensive rebound by A. Jefferson,,82-88,,
7:05.0,A. Jefferson makes 2-pt shot from 1 ft (assist by K. Walker),2,84-88,,
6:49.0,Personal foul by T. Daniels,,84-88,,
6:49.0,,,84-88,,M. Gortat enters the game for N. Hilario
6:49.0,C. Lee enters the game for J. Lin,,84-88,,
6:43.0,,,84-91,3,R. Sessions makes 3-pt shot from 28 ft (assist by M. Gortat)
6:29.0,T. Daniels misses 3-pt shot from 26 ft,,84-91,,
6:28.0,,,84-91,,Defensive rebound by M. Gortat
6:18.0,,,84-91,,Turnover by J. Dudley (bad pass)
6:18.0,N. Batum enters the game for T. Daniels,,84-91,,
6:08.0,K. Walker misses 3-pt shot from 28 ft,,84-91,,
6:07.0,,,84-91,,Defensive rebound by M. Gortat
5:48.0,,,84-93,2,K. Oubre makes 2-pt shot at rim (assist by J. Dudley)
5:28.0,Turnover by N. Batum (lost ball; steal by J. Dudley),,84-93,,
5:24.0,,,84-96,3,M. Thornton makes 3-pt shot from 27 ft (assist by J. Dudley)
5:23.0,Charlotte full timeout,,84-96,,
5:23.0,M. Williams enters the game for A. Jefferson,,84-96,,
5:13.0,,,84-96,,Personal foul by M. Thornton
5:13.0,C. Lee makes free throw 1 of 2,1,85-96,,
5:13.0,C. Lee makes free throw 2 of 2,1,86-96,,
5:03.0,Personal foul by C. Lee,,86-96,,
5:03.0,,,86-97,1,M. Thornton makes free throw 1 of 2
5:03.0,,,86-98,1,M. Thornton makes free throw 2 of 2
4:50.0,F. Kaminsky misses 2-pt shot from 2 ft,,86-98,,
4:49.0,,,86-98,,Defensive rebound by R. Sessions
4:41.0,,,86-100,2,M. Gortat makes 2-pt shot at rim (assist by R. Sessions)
4:24.0,N. Batum misses 2-pt shot from 20 ft,,86-100,,
4:23.0,,,86-100,,Defensive rebound by M. Gortat
