time,LA Clippers,pts.away,score,pts.home,Charlotte
5:58.0,Turnover by C. Paul (lost ball; steal by K. Walker),,16-7,,
5:56.0,Personal foul by P. Pierce (drawn by K. Walker),,16-7,,
5:56.0,W. Johnson enters the game for P. Pierce,,16-7,,
5:45.0,,,16-7,,P. Hairston misses 2-pt shot from 13 ft
5:43.0,Defensive rebound by D. Jordan,,16-7,,
5:31.0,C. Paul misses 2-pt shot from 9 ft,,16-7,,
5:29.0,Offensive rebound by D. Jordan,,16-7,,
5:29.0,D. Jordan makes 2-pt shot at rim,2,18-7,,
5:04.0,,,18-7,,K. Walker misses 2-pt shot from 16 ft
5:04.0,,,18-7,,Offensive rebound by K. Walker
5:04.0,,,18-7,,Shooting foul by J. Redick (drawn by K. Walker)
5:04.0,,,18-8,1,K. Walker makes free throw 1 of 2
5:04.0,,,18-9,1,K. Walker makes free throw 2 of 2
4:59.0,Turnover by J. Redick (bad pass),,18-9,,
4:49.0,Violation by D. Jordan (kicked ball),,18-9,,
4:49.0,J. Crawford enters the game for J. Redick,,18-9,,
4:49.0,,,18-9,,F. Kaminsky enters the game for M. Williams
4:38.0,,,18-9,,F. Kaminsky misses 3-pt shot from 25 ft
4:36.0,,,18-9,,Offensive rebound by P. Hairston
4:36.0,,,18-9,,P. Hairston misses 2-pt shot at rim
4:32.0,Defensive rebound by J. Crawford,,18-9,,
4:26.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by C. Paul),2,20-9,,
4:15.0,,,20-12,3,N. Batum makes 3-pt shot from 25 ft (assist by P. Hairston)
3:56.0,J. Crawford misses 3-pt shot from 26 ft,,20-12,,
3:54.0,,,20-12,,Defensive rebound by N. Batum
3:49.0,,,20-14,2,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum)
3:29.0,W. Johnson misses 3-pt shot from 22 ft,,20-14,,
3:28.0,Offensive rebound by D. Jordan,,20-14,,
3:25.0,C. Paul makes 2-pt shot from 6 ft (assist by D. Jordan),2,22-14,,
3:08.0,,,22-16,2,K. Walker makes 2-pt shot from 6 ft
3:02.0,LA Clippers full timeout,,22-16,,
3:02.0,A. Rivers enters the game for L. Mbah a Moute,,22-16,,
3:02.0,P. Prigioni enters the game for C. Paul,,22-16,,
3:01.0,,,22-16,,T. Hansbrough enters the game for C. Zeller
3:01.0,,,22-16,,J. Lamb enters the game for N. Batum
2:49.0,A. Rivers makes 3-pt shot from 26 ft (assist by J. Crawford),3,25-16,,
2:29.0,,,25-16,,F. Kaminsky misses 2-pt shot from 1 ft (block by D. Jordan)
2:26.0,Defensive rebound by D. Jordan,,25-16,,
2:22.0,A. Rivers misses 3-pt shot from 23 ft,,25-16,,
2:19.0,Offensive rebound by W. Johnson,,25-16,,
2:14.0,A. Rivers makes 3-pt shot from 24 ft,3,28-16,,
1:51.0,,,28-16,,Shooting foul by W. Johnson (drawn by F. Kaminsky)
1:51.0,,,28-17,1,F. Kaminsky makes free throw 1 of 2
1:51.0,,,28-17,,B. Roberts enters the game for P. Hairston
1:51.0,,,28-18,1,F. Kaminsky makes free throw 2 of 2
1:42.0,D. Jordan makes 2-pt shot from 2 ft (assist by P. Prigioni),2,30-18,,
1:18.0,,,30-20,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by J. Lamb)
1:02.0,Shooting foul by J. Lamb (drawn by J. Crawford),,30-20,,
1:02.0,J. Crawford makes free throw 1 of 2,1,31-20,,
1:02.0,C. Aldrich enters the game for D. Jordan,,31-20,,
1:02.0,J. Crawford makes free throw 2 of 2,1,32-20,,
0:51.0,,,32-20,,Shooting foul by W. Johnson (drawn by F. Kaminsky)
0:51.0,,,32-21,1,F. Kaminsky makes free throw 1 of 2
0:51.0,,,32-22,1,F. Kaminsky makes free throw 2 of 2
0:38.0,Turnover by C. Aldrich (lost ball; steal by B. Roberts),,32-22,,
0:29.0,,,32-24,2,J. Lamb makes 2-pt shot from 16 ft (assist by B. Roberts)
0:06.0,L. Stephenson enters the game for W. Johnson,,32-24,,
0:04.0,J. Crawford misses 3-pt shot from 28 ft,,32-24,,
0:04.0,,,32-24,,Defensive rebound by Team
0:04.0,Loose ball foul by L. Stephenson (drawn by T. Hansbrough),,32-24,,
0:04.0,,,32-25,1,T. Hansbrough makes free throw 1 of 2
0:04.0,,,32-25,,T. Hansbrough misses free throw 2 of 2
0:01.0,Defensive rebound by J. Crawford,,32-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,32-25,,B. Roberts misses 3-pt shot from 24 ft
11:43.0,,,32-25,,Offensive rebound by F. Kaminsky
11:43.0,,,32-25,,Shooting foul by C. Aldrich (drawn by F. Kaminsky)
11:43.0,,,32-26,1,F. Kaminsky makes free throw 1 of 2
11:43.0,,,32-27,1,F. Kaminsky makes free throw 2 of 2
11:26.0,C. Aldrich misses 2-pt shot from 2 ft,,32-27,,
11:25.0,,,32-27,,Defensive rebound by T. Hansbrough
11:07.0,,,32-27,,F. Kaminsky misses 2-pt shot from 3 ft
11:06.0,,,32-27,,Offensive rebound by T. Hansbrough
11:06.0,,,32-29,2,T. Hansbrough makes 2-pt shot from 1 ft
10:47.0,A. Rivers makes 3-pt shot from 22 ft (assist by C. Aldrich),3,35-29,,
10:28.0,,,35-29,,F. Kaminsky misses 2-pt shot from 3 ft (block by C. Aldrich)
10:26.0,,,35-29,,Offensive rebound by N. Batum
10:22.0,,,35-31,2,B. Roberts makes 2-pt shot from 19 ft (assist by J. Lamb)
9:58.0,C. Aldrich misses 2-pt shot from 5 ft,,35-31,,
9:56.0,,,35-31,,Defensive rebound by J. Lamb
9:48.0,,,35-31,,J. Lamb misses 2-pt shot from 15 ft
9:48.0,,,35-31,,Offensive rebound by Team
9:48.0,Loose ball foul by P. Prigioni (drawn by B. Roberts),,35-31,,
9:48.0,L. Mbah a Moute enters the game for L. Stephenson,,35-31,,
9:41.0,,,35-31,,N. Batum misses 2-pt shot from 1 ft
9:41.0,Defensive rebound by Team,,35-31,,
9:41.0,,,35-31,,Loose ball foul by T. Hansbrough (drawn by C. Aldrich)
9:25.0,C. Aldrich makes 2-pt shot from 1 ft (assist by J. Crawford),2,37-31,,
9:25.0,Shooting foul by F. Kaminsky (drawn by C. Aldrich),,37-31,,
9:25.0,C. Aldrich makes free throw 1 of 1,1,38-31,,
9:07.0,Personal foul by P. Prigioni (drawn by B. Roberts),,38-31,,
8:58.0,,,38-31,,B. Roberts misses 3-pt shot from 24 ft
8:57.0,,,38-31,,Offensive rebound by J. Lamb
8:54.0,,,38-31,,J. Lamb misses 2-pt shot from 14 ft
8:53.0,Defensive rebound by A. Rivers,,38-31,,
8:49.0,Shooting foul by B. Roberts (drawn by A. Rivers),,38-31,,
8:49.0,Official timeout,,38-31,,
8:49.0,A. Rivers makes free throw 1 of 2,1,39-31,,
8:49.0,A. Rivers makes free throw 2 of 2,1,40-31,,
8:36.0,,,40-31,,Shooting foul by J. Crawford (drawn by T. Hansbrough)
8:36.0,,,40-31,,T. Hansbrough misses free throw 1 of 2
8:36.0,,,40-31,,Offensive rebound by Team
8:36.0,,,40-31,,T. Hansbrough misses free throw 2 of 2
8:34.0,Defensive rebound by C. Aldrich,,40-31,,
8:15.0,A. Rivers misses 3-pt shot from 27 ft,,40-31,,
8:14.0,,,40-31,,Defensive rebound by Team
8:00.0,,,40-34,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by N. Batum)
7:41.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by A. Rivers),2,42-34,,
7:22.0,,,42-34,,J. Lamb misses 2-pt shot from 15 ft
7:21.0,Defensive rebound by L. Mbah a Moute,,42-34,,
7:06.0,C. Aldrich makes 2-pt shot from 1 ft (assist by P. Prigioni),2,44-34,,
7:00.0,,,44-34,,Charlotte full timeout
7:00.0,C. Paul enters the game for P. Prigioni,,44-34,,
7:00.0,,,44-34,,C. Zeller enters the game for T. Hansbrough
6:51.0,,,44-36,2,J. Lamb makes 2-pt shot from 8 ft
6:51.0,,,44-36,,Shooting foul by A. Rivers (drawn by J. Lamb)
6:51.0,,,44-37,1,J. Lamb makes free throw 1 of 1
6:42.0,Shooting foul by J. Lamb (drawn by A. Rivers),,44-37,,
6:42.0,A. Rivers makes free throw 1 of 2,1,45-37,,
6:42.0,D. Jordan enters the game for J. Crawford,,45-37,,
6:42.0,J. Redick enters the game for C. Aldrich,,45-37,,
6:42.0,,,45-37,,K. Walker enters the game for J. Lamb
6:42.0,A. Rivers makes free throw 2 of 2,1,46-37,,
6:29.0,,,46-39,2,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker)
6:06.0,,,46-39,,Personal foul by B. Roberts (drawn by C. Paul)
6:06.0,C. Paul makes free throw 1 of 2,1,47-39,,
6:06.0,P. Pierce enters the game for A. Rivers,,47-39,,
6:06.0,C. Paul makes free throw 2 of 2,1,48-39,,
5:50.0,,,48-39,,Turnover by F. Kaminsky (lost ball; steal by P. Pierce)
5:30.0,C. Paul misses 2-pt shot from 18 ft,,48-39,,
5:29.0,,,48-39,,Defensive rebound by C. Zeller
5:22.0,,,48-39,,K. Walker misses 2-pt shot from 18 ft
5:20.0,,,48-39,,Offensive rebound by C. Zeller
5:14.0,,,48-39,,Shooting foul by P. Pierce (drawn by N. Batum)
5:14.0,,,48-40,1,N. Batum makes free throw 1 of 2
5:14.0,,,48-40,,M. Williams enters the game for F. Kaminsky
5:14.0,,,48-40,,P. Hairston enters the game for B. Roberts
5:14.0,,,48-41,1,N. Batum makes free throw 2 of 2
4:58.0,P. Pierce misses 3-pt shot from 25 ft,,48-41,,
4:57.0,,,48-41,,Defensive rebound by K. Walker
4:51.0,,,48-44,3,P. Hairston makes 3-pt shot from 27 ft (assist by N. Batum)
4:40.0,LA Clippers full timeout,,48-44,,
4:26.0,Turnover by C. Paul (bad pass),,48-44,,
4:08.0,,,48-46,2,K. Walker makes 2-pt shot from 1 ft
3:50.0,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul),3,51-46,,
3:36.0,,,51-48,2,K. Walker makes 2-pt shot from 1 ft (assist by P. Hairston)
3:21.0,J. Redick misses 2-pt shot from 1 ft (block by M. Williams),,51-48,,
3:19.0,,,51-48,,Defensive rebound by P. Hairston
3:15.0,,,51-48,,P. Hairston misses 3-pt shot from 28 ft
3:13.0,Defensive rebound by L. Mbah a Moute,,51-48,,
3:02.0,,,51-48,,Personal foul by P. Hairston (drawn by J. Redick)
3:02.0,J. Redick makes free throw 1 of 2,1,52-48,,
3:02.0,,,52-48,,B. Roberts enters the game for P. Hairston
3:02.0,J. Redick makes free throw 2 of 2,1,53-48,,
2:52.0,,,53-48,,Shooting foul by D. Jordan (drawn by C. Zeller)
2:52.0,,,53-49,1,C. Zeller makes free throw 1 of 2
2:52.0,,,53-50,1,C. Zeller makes free throw 2 of 2
2:39.0,J. Redick misses 2-pt shot from 19 ft,,53-50,,
2:38.0,,,53-50,,Defensive rebound by K. Walker
2:33.0,,,53-52,2,K. Walker makes 2-pt shot at rim
2:16.0,J. Redick misses 2-pt shot from 17 ft,,53-52,,
2:14.0,,,53-52,,Defensive rebound by C. Zeller
2:03.0,,,53-52,,B. Roberts misses 3-pt shot from 22 ft
2:02.0,Defensive rebound by L. Mbah a Moute,,53-52,,
2:00.0,Turnover by L. Mbah a Moute (lost ball; steal by B. Roberts),,53-52,,
1:46.0,,,53-52,,K. Walker misses 3-pt shot from 25 ft
1:45.0,Defensive rebound by D. Jordan,,53-52,,
1:36.0,C. Paul misses 2-pt shot from 1 ft,,53-52,,
1:34.0,Offensive rebound by C. Paul,,53-52,,
1:32.0,Shooting foul by B. Roberts (drawn by J. Redick),,53-52,,
1:32.0,J. Redick makes free throw 1 of 3,1,54-52,,
1:32.0,J. Redick makes free throw 2 of 3,1,55-52,,
1:32.0,,,55-52,,T. Daniels enters the game for B. Roberts
1:32.0,J. Redick makes free throw 3 of 3,1,56-52,,
1:15.0,,,56-52,,Turnover by K. Walker (bad pass)
1:11.0,,,56-52,,Personal foul by C. Zeller (drawn by C. Paul)
1:11.0,C. Paul makes free throw 1 of 2,1,57-52,,
1:11.0,C. Paul makes free throw 2 of 2,1,58-52,,
1:01.0,,,58-52,,T. Daniels misses 3-pt shot from 26 ft
1:00.0,Defensive rebound by D. Jordan,,58-52,,
0:53.0,Offensive charge foul by C. Paul,,58-52,,
0:53.0,Turnover by C. Paul (offensive foul),,58-52,,
0:47.0,,,58-52,,Turnover by C. Zeller (lost ball; steal by C. Paul)
0:43.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,60-52,,
0:34.0,,,60-55,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
0:32.0,,,60-55,,Personal foul by K. Walker (drawn by C. Paul)
0:32.0,C. Paul makes free throw 1 of 2,1,61-55,,
0:32.0,C. Aldrich enters the game for D. Jordan,,61-55,,
0:32.0,C. Paul makes free throw 2 of 2,1,62-55,,
0:21.0,Def 3 sec tech foul by P. Pierce,,62-55,,
0:21.0,,,62-56,1,N. Batum makes technical free throw
0:09.0,,,62-56,,M. Williams misses 3-pt shot from 24 ft
0:07.0,Defensive rebound by P. Pierce,,62-56,,
0:01.0,P. Pierce makes 3-pt shot from 25 ft (assist by C. Paul),3,65-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,65-58,2,M. Williams makes 2-pt shot from 19 ft (assist by K. Walker)
11:15.0,C. Paul misses 3-pt shot from 25 ft,,65-58,,
11:13.0,,,65-58,,Defensive rebound by N. Batum
11:08.0,,,65-58,,Offensive foul by M. Williams
11:08.0,,,65-58,,Turnover by M. Williams (offensive foul)
10:55.0,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul),3,68-58,,
10:40.0,,,68-58,,C. Zeller misses 2-pt shot from 17 ft
10:39.0,Defensive rebound by P. Pierce,,68-58,,
10:30.0,C. Paul makes 2-pt shot from 16 ft,2,70-58,,
10:07.0,,,70-58,,N. Batum misses 3-pt shot from 25 ft
10:06.0,Defensive rebound by D. Jordan,,70-58,,
9:59.0,P. Pierce misses 3-pt shot from 24 ft,,70-58,,
9:57.0,,,70-58,,Defensive rebound by P. Hairston
9:46.0,,,70-60,2,K. Walker makes 2-pt shot from 18 ft
9:38.0,J. Redick misses 2-pt shot from 19 ft,,70-60,,
9:35.0,,,70-60,,Defensive rebound by M. Williams
9:27.0,,,70-60,,K. Walker misses 3-pt shot from 25 ft
9:26.0,,,70-60,,Offensive rebound by C. Zeller
9:16.0,,,70-63,3,M. Williams makes 3-pt shot from 24 ft (assist by N. Batum)
8:52.0,Turnover by C. Paul (bad pass; steal by N. Batum),,70-63,,
8:48.0,,,70-63,,K. Walker misses 2-pt shot from 2 ft (block by P. Pierce)
8:48.0,,,70-63,,Offensive rebound by Team
8:43.0,,,70-65,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
8:26.0,Turnover by D. Jordan (bad pass),,70-65,,
8:13.0,,,70-65,,Turnover by N. Batum (traveling)
8:01.0,J. Redick makes 2-pt shot from 18 ft (assist by P. Pierce),2,72-65,,
7:57.0,,,72-65,,Charlotte full timeout
7:37.0,,,72-67,2,P. Hairston makes 2-pt shot from 2 ft (assist by K. Walker)
7:23.0,Turnover by Team (back court),,72-67,,
7:05.0,,,72-67,,P. Hairston misses 3-pt shot from 28 ft
7:04.0,Defensive rebound by D. Jordan,,72-67,,
6:54.0,Shooting foul by P. Hairston (drawn by D. Jordan),,72-67,,
6:54.0,D. Jordan makes free throw 1 of 2,1,73-67,,
6:54.0,,,73-67,,J. Lamb enters the game for P. Hairston
6:54.0,W. Johnson enters the game for P. Pierce,,73-67,,
6:54.0,D. Jordan misses free throw 2 of 2,,73-67,,
6:52.0,,,73-67,,Defensive rebound by N. Batum
6:39.0,,,73-69,2,N. Batum makes 2-pt shot from 13 ft
6:22.0,Shooting foul by N. Batum (drawn by D. Jordan),,73-69,,
6:22.0,D. Jordan makes free throw 1 of 2,1,74-69,,
6:22.0,D. Jordan misses free throw 2 of 2,,74-69,,
6:22.0,,,74-69,,Defensive rebound by Team
6:10.0,,,74-71,2,N. Batum makes 2-pt shot from 2 ft
6:10.0,,,74-71,,Shooting foul by W. Johnson (drawn by N. Batum)
6:10.0,,,74-72,1,N. Batum makes free throw 1 of 1
5:58.0,W. Johnson misses 3-pt shot from 25 ft,,74-72,,
5:56.0,,,74-72,,Defensive rebound by N. Batum
5:36.0,,,74-72,,J. Lamb misses 2-pt shot from 18 ft
5:35.0,,,74-72,,Offensive rebound by N. Batum
5:31.0,,,74-72,,M. Williams misses 3-pt shot from 22 ft
5:30.0,Defensive rebound by C. Paul,,74-72,,
5:23.0,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul),3,77-72,,
5:07.0,,,77-74,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
4:58.0,LA Clippers full timeout,,77-74,,
4:58.0,,,77-74,,F. Kaminsky enters the game for M. Williams
4:46.0,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul),2,79-74,,
4:24.0,,,79-74,,F. Kaminsky misses 3-pt shot from 23 ft
4:23.0,Defensive rebound by D. Jordan,,79-74,,
4:20.0,Turnover by C. Paul (lost ball; steal by C. Zeller),,79-74,,
4:17.0,Personal foul by C. Paul (drawn by J. Lamb),,79-74,,
4:05.0,,,79-74,,Shooting foul by J. Redick (drawn by J. Lamb)
4:05.0,,,79-75,1,J. Lamb makes free throw 1 of 2
4:05.0,,,79-76,1,J. Lamb makes free throw 2 of 2
3:45.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,82-76,,
3:29.0,,,82-79,3,J. Lamb makes 3-pt shot from 25 ft
3:07.0,J. Redick misses 2-pt shot from 19 ft,,82-79,,
3:05.0,,,82-79,,Defensive rebound by N. Batum
3:00.0,,,82-79,,Turnover by N. Batum (bad pass; steal by W. Johnson)
2:48.0,Shooting foul by J. Lamb (drawn by C. Paul),,82-79,,
2:48.0,,,82-79,,Charlotte full timeout
2:48.0,J. Crawford enters the game for J. Redick,,82-79,,
2:48.0,,,82-79,,B. Roberts enters the game for C. Zeller
2:48.0,,,82-79,,T. Hansbrough enters the game for N. Batum
2:48.0,C. Paul misses free throw 1 of 2,,82-79,,
2:48.0,Offensive rebound by Team,,82-79,,
2:48.0,C. Paul makes free throw 2 of 2,1,83-79,,
2:34.0,Personal foul by L. Mbah a Moute (drawn by T. Hansbrough),,83-79,,
2:34.0,A. Rivers enters the game for L. Mbah a Moute,,83-79,,
2:34.0,P. Prigioni enters the game for C. Paul,,83-79,,
2:18.0,,,83-79,,K. Walker misses 2-pt shot from 10 ft
2:17.0,,,83-79,,Offensive rebound by T. Hansbrough
2:04.0,,,83-81,2,F. Kaminsky makes 2-pt shot from 1 ft
1:38.0,P. Prigioni makes 3-pt shot from 25 ft (assist by W. Johnson),3,86-81,,
1:15.0,,,86-81,,K. Walker misses 2-pt shot from 10 ft
1:14.0,Defensive rebound by A. Rivers,,86-81,,
1:06.0,A. Rivers makes 2-pt shot from 7 ft,2,88-81,,
0:47.0,,,88-81,,J. Lamb misses 2-pt shot from 2 ft (block by J. Crawford)
0:46.0,,,88-81,,Offensive rebound by J. Lamb
0:46.0,,,88-83,2,J. Lamb makes 2-pt shot from 2 ft
0:26.0,J. Crawford makes 3-pt shot from 24 ft (assist by P. Prigioni),3,91-83,,
0:26.0,Shooting foul by J. Lamb (drawn by J. Crawford),,91-83,,
0:26.0,C. Aldrich enters the game for D. Jordan,,91-83,,
0:26.0,J. Crawford makes free throw 1 of 1,1,92-83,,
0:02.0,,,92-83,,F. Kaminsky misses 2-pt shot from 17 ft
0:01.0,,,92-83,,Offensive rebound by F. Kaminsky
0:00.0,,,92-86,3,K. Walker makes 3-pt shot from 24 ft (assist by F. Kaminsky)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:53.0,,,92-86,,Personal foul by N. Batum (drawn by A. Rivers)
11:44.0,A. Rivers makes 2-pt shot from 6 ft,2,94-86,,
11:27.0,,,94-88,2,J. Lamb makes 2-pt shot from 1 ft
11:14.0,W. Johnson misses 3-pt shot from 26 ft,,94-88,,
11:14.0,,,94-88,,Defensive rebound by Team
11:14.0,Loose ball foul by C. Aldrich (drawn by T. Hansbrough),,94-88,,
11:02.0,,,94-88,,Turnover by F. Kaminsky (traveling)
10:47.0,A. Rivers misses 2-pt shot from 11 ft,,94-88,,
10:45.0,,,94-88,,Defensive rebound by J. Lamb
10:30.0,,,94-90,2,B. Roberts makes 2-pt shot from 1 ft
10:16.0,J. Crawford misses 2-pt shot from 18 ft,,94-90,,
10:15.0,,,94-90,,Defensive rebound by J. Lamb
10:09.0,,,94-92,2,J. Lamb makes 2-pt shot from 1 ft
10:09.0,,,94-92,,Shooting foul by C. Aldrich (drawn by J. Lamb)
10:09.0,,,94-93,1,J. Lamb makes free throw 1 of 1
9:55.0,W. Johnson makes 2-pt shot from 22 ft (assist by P. Prigioni),2,96-93,,
9:38.0,,,96-93,,J. Lamb misses 2-pt shot from 15 ft
9:37.0,,,96-93,,Offensive rebound by T. Hansbrough
9:29.0,,,96-93,,Turnover by T. Hansbrough (lost ball; steal by A. Rivers)
9:23.0,J. Crawford makes 3-pt shot from 23 ft (assist by A. Rivers),3,99-93,,
9:23.0,,,99-93,,Charlotte full timeout
9:03.0,,,99-93,,N. Batum misses 2-pt shot from 8 ft (block by W. Johnson)
9:02.0,,,99-93,,Offensive rebound by T. Hansbrough
9:02.0,Personal foul by P. Prigioni (drawn by T. Hansbrough),,99-93,,
8:52.0,,,99-93,,Shooting foul by C. Aldrich (drawn by T. Hansbrough)
8:52.0,,,99-94,1,T. Hansbrough makes free throw 1 of 2
8:52.0,,,99-94,,T. Hansbrough misses free throw 2 of 2
8:51.0,Defensive rebound by C. Aldrich,,99-94,,
8:33.0,C. Aldrich makes 2-pt shot at rim (assist by W. Johnson),2,101-94,,
8:20.0,,,101-94,,F. Kaminsky misses 2-pt shot from 1 ft (block by C. Aldrich)
8:18.0,Defensive rebound by A. Rivers,,101-94,,
8:00.0,P. Prigioni makes 2-pt shot from 2 ft,2,103-94,,
7:49.0,Def 3 sec tech foul by C. Aldrich,,103-94,,
7:49.0,,,103-95,1,N. Batum makes technical free throw
7:49.0,,,103-95,,C. Zeller enters the game for T. Hansbrough
7:44.0,,,103-95,,Turnover by F. Kaminsky (lost ball; steal by W. Johnson)
7:34.0,A. Rivers misses 2-pt shot from 18 ft,,103-95,,
7:33.0,,,103-95,,Defensive rebound by N. Batum
7:26.0,,,103-95,,Turnover by B. Roberts (lost ball; steal by C. Aldrich)
7:08.0,A. Rivers makes 2-pt shot at rim (assist by J. Crawford),2,105-95,,
6:43.0,,,105-97,2,F. Kaminsky makes 2-pt shot from 6 ft (assist by B. Roberts)
6:27.0,A. Rivers makes 3-pt shot from 25 ft (assist by C. Aldrich),3,108-97,,
6:26.0,,,108-97,,Charlotte full timeout
6:26.0,,,108-97,,K. Walker enters the game for J. Lamb
6:26.0,,,108-97,,P. Hairston enters the game for B. Roberts
6:08.0,,,108-97,,F. Kaminsky misses 2-pt shot at rim
6:06.0,Defensive rebound by C. Aldrich,,108-97,,
5:56.0,Turnover by P. Prigioni (bad pass; steal by C. Zeller),,108-97,,
5:52.0,,,108-97,,Shooting foul by W. Johnson (drawn by F. Kaminsky)
5:52.0,,,108-98,1,F. Kaminsky makes free throw 1 of 2
5:52.0,,,108-99,1,F. Kaminsky makes free throw 2 of 2
5:37.0,C. Aldrich misses 2-pt shot from 1 ft,,108-99,,
5:36.0,,,108-99,,Defensive rebound by P. Hairston
5:22.0,,,108-99,,N. Batum misses 3-pt shot from 30 ft
5:20.0,Defensive rebound by J. Crawford,,108-99,,
