time,Sacramento,pts.away,score,pts.home,Washington
2:37.0,,,22-27,3,K. Humphries makes 3-pt shot from 26 ft (assist by J. Wall)
2:22.0,,,22-27,,J. Dudley enters the game for M. Gortat
2:22.0,O. Casspi enters the game for R. Gay,,22-27,,
2:11.0,M. Belinelli makes 3-pt shot from 25 ft (assist by O. Casspi),3,25-27,,
1:51.0,,,25-30,3,J. Dudley makes 3-pt shot from 26 ft (assist by J. Wall)
1:35.0,D. Collison makes 3-pt shot from 22 ft (assist by M. Belinelli),3,28-30,,
1:20.0,,,28-30,,K. Humphries misses 2-pt shot from 5 ft (block by K. Koufos)
1:20.0,Defensive rebound by Team,,28-30,,
1:20.0,,,28-30,,G. Temple enters the game for J. Wall
1:14.0,D. Collison makes 2-pt shot from 3 ft,2,30-30,,
1:14.0,Shooting foul by K. Oubre (drawn by D. Collison),,30-30,,
1:14.0,D. Collison makes free throw 1 of 1,1,31-30,,
1:01.0,,,31-30,,Shooting foul by O. Casspi (drawn by K. Oubre)
1:01.0,,,31-31,1,K. Oubre makes free throw 1 of 2
1:01.0,C. Butler enters the game for O. Casspi,,31-31,,
1:01.0,,,31-32,1,K. Oubre makes free throw 2 of 2
0:50.0,K. Koufos makes 2-pt shot from 4 ft (assist by D. Collison),2,33-32,,
0:36.0,,,33-32,,G. Temple misses 2-pt shot from 4 ft
0:35.0,Defensive rebound by B. McLemore,,33-32,,
0:23.0,K. Koufos makes 2-pt shot from 8 ft,2,35-32,,
0:03.0,,,35-34,2,R. Sessions makes 2-pt shot from 16 ft
0:00.0,D. Collison misses 3-pt shot from 38 ft,,35-34,,
0:00.0,Offensive rebound by Team,,35-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,M. Belinelli makes 3-pt shot from 26 ft,3,38-34,,
11:26.0,,,38-34,,R. Sessions misses 2-pt shot at rim
11:25.0,Defensive rebound by K. Koufos,,38-34,,
11:19.0,M. Belinelli misses 3-pt shot from 30 ft,,38-34,,
11:17.0,,,38-34,,Defensive rebound by R. Sessions
11:13.0,,,38-36,2,J. Dudley makes 2-pt shot from 1 ft (assist by R. Sessions)
11:05.0,Turnover by D. Collison (bad pass; steal by G. Temple),,38-36,,
11:00.0,,,38-36,,Shooting foul by C. Butler (drawn by G. Temple)
11:00.0,,,38-37,1,G. Temple makes free throw 1 of 2
11:00.0,,,38-38,1,G. Temple makes free throw 2 of 2
10:45.0,B. McLemore misses 2-pt shot from 20 ft,,38-38,,
10:45.0,,,38-38,,Defensive rebound by K. Humphries
10:35.0,,,38-38,,K. Humphries misses 2-pt shot from 14 ft
10:35.0,Defensive rebound by C. Butler,,38-38,,
10:09.0,C. Butler misses 2-pt shot from 21 ft,,38-38,,
10:09.0,,,38-38,,Defensive rebound by K. Oubre
10:01.0,,,38-38,,Shooting foul by C. Butler (drawn by R. Sessions)
10:01.0,,,38-38,,R. Sessions misses free throw 1 of 2
10:01.0,,,38-38,,Offensive rebound by Team
10:01.0,,,38-39,1,R. Sessions makes free throw 2 of 2
9:46.0,,,38-39,,Personal foul by G. Temple (drawn by M. Belinelli)
9:33.0,C. Butler makes 2-pt shot from 15 ft,2,40-39,,
9:15.0,,,40-39,,Shooting foul by K. Koufos (drawn by K. Humphries)
9:15.0,Sacramento full timeout,,40-39,,
9:15.0,D. Cousins enters the game for K. Koufos,,40-39,,
9:15.0,,,40-40,1,K. Humphries makes free throw 1 of 2
9:15.0,,,40-41,1,K. Humphries makes free throw 2 of 2
8:58.0,D. Cousins makes 2-pt shot at rim (assist by D. Collison),2,42-41,,
8:39.0,,,42-41,,R. Sessions misses 2-pt shot from 1 ft
8:35.0,Defensive rebound by D. Cousins,,42-41,,
8:23.0,B. McLemore makes 2-pt shot from 1 ft (assist by C. Butler),2,44-41,,
8:02.0,,,44-41,,K. Oubre misses 2-pt shot at rim
8:01.0,Defensive rebound by C. Butler,,44-41,,
7:44.0,,,44-41,,J. Wall enters the game for K. Oubre
7:44.0,,,44-41,,M. Gortat enters the game for K. Humphries
7:41.0,C. Butler makes 2-pt shot from 12 ft (assist by D. Collison),2,46-41,,
7:25.0,,,46-43,2,J. Dudley makes 2-pt shot from 19 ft (assist by G. Temple)
7:02.0,D. Cousins misses 3-pt shot from 25 ft,,46-43,,
7:01.0,,,46-43,,Defensive rebound by J. Dudley
6:57.0,Personal foul by D. Collison (drawn by J. Wall),,46-43,,
6:57.0,R. Gay enters the game for B. McLemore,,46-43,,
6:52.0,,,46-45,2,J. Wall makes 2-pt shot from 2 ft
6:42.0,Shooting foul by R. Sessions (drawn by D. Collison),,46-45,,
6:42.0,D. Collison misses free throw 1 of 2,,46-45,,
6:42.0,Offensive rebound by Team,,46-45,,
6:42.0,R. Rondo enters the game for C. Butler,,46-45,,
6:42.0,D. Collison makes free throw 2 of 2,1,47-45,,
6:30.0,,,47-45,,M. Gortat misses 2-pt shot from 3 ft (block by R. Gay)
6:29.0,Defensive rebound by D. Cousins,,47-45,,
6:22.0,R. Gay makes 2-pt shot from 13 ft (assist by D. Collison),2,49-45,,
6:11.0,Def 3 sec tech foul by R. Rondo,,49-45,,
6:11.0,,,49-46,1,J. Wall makes technical free throw
6:00.0,,,49-46,,J. Wall misses 2-pt shot from 15 ft
5:59.0,Defensive rebound by D. Cousins,,49-46,,
5:45.0,Turnover by D. Collison (lost ball; steal by J. Wall),,49-46,,
5:41.0,,,49-48,2,R. Sessions makes 2-pt shot from 1 ft (assist by G. Temple)
5:23.0,M. Belinelli misses 2-pt shot from 20 ft,,49-48,,
5:22.0,Offensive rebound by D. Collison,,49-48,,
5:07.0,D. Collison makes 2-pt shot from 18 ft,2,51-48,,
5:01.0,,,51-50,2,J. Wall makes 2-pt shot from 1 ft
4:38.0,M. Belinelli misses 3-pt shot from 27 ft,,51-50,,
4:37.0,,,51-50,,Defensive rebound by J. Dudley
4:31.0,,,51-52,2,R. Sessions makes 2-pt shot from 1 ft (assist by J. Dudley)
4:29.0,Sacramento full timeout,,51-52,,
4:29.0,Official timeout,,51-52,,
4:29.0,S. Curry enters the game for D. Collison,,51-52,,
4:29.0,B. McLemore enters the game for M. Belinelli,,51-52,,
4:16.0,R. Gay misses 3-pt shot from 22 ft,,51-52,,
4:16.0,,,51-52,,Defensive rebound by R. Sessions
4:06.0,,,51-54,2,M. Gortat makes 2-pt shot from 6 ft (assist by J. Wall)
3:54.0,D. Cousins makes 2-pt shot at rim (assist by R. Rondo),2,53-54,,
3:48.0,,,53-56,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
3:27.0,R. Rondo misses 2-pt shot from 18 ft,,53-56,,
3:27.0,,,53-56,,Defensive rebound by M. Gortat
3:27.0,Personal foul by D. Cousins (drawn by M. Gortat),,53-56,,
3:27.0,,,53-57,1,M. Gortat makes free throw 1 of 2
3:27.0,,,53-58,1,M. Gortat makes free throw 2 of 2
3:09.0,Turnover by B. McLemore (lost ball; steal by J. Wall),,53-58,,
3:04.0,,,53-58,,J. Wall misses 2-pt shot at rim
3:02.0,Defensive rebound by B. McLemore,,53-58,,
3:01.0,,,53-58,,Personal take foul by R. Sessions (drawn by R. Rondo)
2:52.0,Shooting foul by J. Dudley (drawn by D. Cousins),,53-58,,
2:52.0,,,53-58,,Washington full timeout
2:52.0,,,53-58,,K. Oubre enters the game for R. Sessions
2:52.0,D. Cousins misses free throw 1 of 2,,53-58,,
2:52.0,Offensive rebound by Team,,53-58,,
2:52.0,D. Cousins makes free throw 2 of 2,1,54-58,,
2:35.0,,,54-58,,Turnover by J. Dudley (bad pass; steal by R. Rondo)
2:28.0,Turnover by R. Rondo (bad pass; steal by J. Wall),,54-58,,
2:20.0,,,54-58,,J. Dudley misses 3-pt shot from 24 ft
2:19.0,Defensive rebound by Team,,54-58,,
2:05.0,D. Cousins makes 2-pt shot from 3 ft (assist by R. Rondo),2,56-58,,
2:05.0,Shooting foul by J. Wall (drawn by D. Cousins),,56-58,,
2:05.0,D. Cousins makes free throw 1 of 1,1,57-58,,
1:51.0,,,57-61,3,J. Wall makes 3-pt shot from 24 ft
1:30.0,S. Curry misses 3-pt shot from 25 ft,,57-61,,
1:30.0,Offensive rebound by B. McLemore,,57-61,,
1:28.0,B. McLemore misses 2-pt shot from 5 ft,,57-61,,
1:27.0,,,57-61,,Defensive rebound by K. Oubre
1:24.0,D. Collison enters the game for B. McLemore,,57-61,,
1:04.0,,,57-61,,Turnover by M. Gortat (lost ball; steal by D. Cousins)
0:47.0,Offensive foul by D. Cousins,,57-61,,
0:47.0,Turnover by D. Cousins (offensive foul),,57-61,,
0:47.0,K. Koufos enters the game for D. Cousins,,57-61,,
0:41.0,,,57-61,,Turnover by J. Wall (bad pass; steal by S. Curry)
0:33.0,R. Gay misses 3-pt shot from 27 ft,,57-61,,
0:33.0,,,57-61,,Defensive rebound by G. Temple
0:13.0,,,57-63,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
0:02.0,R. Rondo makes 2-pt shot from 22 ft,2,59-63,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,B. McLemore makes 2-pt shot at rim,2,61-63,,
11:30.0,,,61-63,,J. Wall misses 2-pt shot from 19 ft
11:30.0,Defensive rebound by O. Casspi,,61-63,,
11:21.0,O. Casspi misses 3-pt shot from 27 ft,,61-63,,
11:19.0,Offensive rebound by B. McLemore,,61-63,,
11:15.0,Turnover by D. Cousins (lost ball),,61-63,,
11:05.0,,,61-63,,Turnover by J. Dudley (lost ball; steal by D. Cousins)
10:53.0,R. Rondo misses 2-pt shot at rim,,61-63,,
10:52.0,Offensive rebound by Team,,61-63,,
10:52.0,D. Collison enters the game for R. Rondo,,61-63,,
10:48.0,D. Cousins misses 2-pt shot from 13 ft,,61-63,,
10:47.0,,,61-63,,Defensive rebound by M. Gortat
10:40.0,,,61-63,,Offensive charge foul by K. Oubre
10:40.0,,,61-63,,Turnover by K. Oubre (offensive foul)
10:25.0,R. Gay misses 2-pt shot from 19 ft,,61-63,,
10:24.0,,,61-63,,Defensive rebound by K. Oubre
10:14.0,,,61-63,,Turnover by J. Wall (bad pass; steal by R. Gay)
10:09.0,D. Collison misses 2-pt shot from 20 ft,,61-63,,
10:06.0,,,61-63,,Defensive rebound by K. Oubre
9:58.0,,,61-66,3,K. Oubre makes 3-pt shot from 24 ft (assist by J. Wall)
9:31.0,R. Gay misses 3-pt shot from 22 ft,,61-66,,
9:30.0,Offensive rebound by D. Collison,,61-66,,
9:27.0,O. Casspi makes 2-pt shot from 3 ft (assist by D. Collison),2,63-66,,
9:01.0,,,63-66,,J. Wall misses 2-pt shot from 21 ft
9:00.0,Defensive rebound by O. Casspi,,63-66,,
8:55.0,Shooting foul by K. Oubre (drawn by B. McLemore),,63-66,,
8:55.0,B. McLemore makes free throw 1 of 2,1,64-66,,
8:55.0,B. McLemore makes free throw 2 of 2,1,65-66,,
8:36.0,,,65-68,2,M. Gortat makes 2-pt shot from 5 ft
8:26.0,D. Collison misses 2-pt shot at rim,,65-68,,
8:25.0,,,65-68,,Defensive rebound by G. Temple
8:19.0,,,65-70,2,G. Temple makes 2-pt shot from 22 ft (assist by J. Wall)
7:57.0,D. Cousins misses 2-pt shot from 6 ft (block by M. Gortat),,65-70,,
7:55.0,,,65-70,,Defensive rebound by M. Gortat
7:53.0,Personal foul by D. Collison (drawn by J. Wall),,65-70,,
7:48.0,,,65-70,,G. Temple misses 2-pt shot from 15 ft
7:47.0,,,65-70,,Offensive rebound by M. Gortat
7:42.0,,,65-73,3,G. Temple makes 3-pt shot from 25 ft (assist by J. Wall)
7:42.0,Sacramento full timeout,,65-73,,
7:28.0,,,65-73,,Personal foul by G. Temple (drawn by D. Cousins)
7:28.0,R. Rondo enters the game for B. McLemore,,65-73,,
7:14.0,D. Cousins makes 2-pt shot at rim (assist by D. Collison),2,67-73,,
7:00.0,,,67-75,2,M. Gortat makes 2-pt shot from 11 ft (assist by J. Wall)
6:44.0,O. Casspi makes 3-pt shot from 27 ft (assist by D. Cousins),3,70-75,,
6:33.0,,,70-75,,Turnover by J. Wall (lost ball; steal by D. Cousins)
6:29.0,D. Collison makes 2-pt shot at rim (assist by D. Cousins),2,72-75,,
6:04.0,,,72-78,3,G. Temple makes 3-pt shot from 27 ft (assist by J. Dudley)
5:48.0,R. Gay misses 2-pt shot from 1 ft,,72-78,,
5:47.0,Offensive rebound by D. Cousins,,72-78,,
5:42.0,Turnover by O. Casspi (lost ball; steal by K. Oubre),,72-78,,
5:38.0,Personal take foul by R. Rondo (drawn by K. Oubre),,72-78,,
5:38.0,,,72-78,,R. Sessions enters the game for K. Oubre
5:22.0,,,72-78,,G. Temple misses 3-pt shot from 24 ft
5:22.0,Defensive rebound by O. Casspi,,72-78,,
5:04.0,D. Collison misses 3-pt shot from 22 ft,,72-78,,
5:03.0,Offensive rebound by D. Cousins,,72-78,,
5:03.0,Shooting foul by M. Gortat (drawn by D. Cousins),,72-78,,
5:03.0,D. Cousins makes free throw 1 of 2,1,73-78,,
5:03.0,D. Cousins makes free throw 2 of 2,1,74-78,,
4:46.0,,,74-78,,M. Gortat misses 2-pt shot from 8 ft
4:45.0,Defensive rebound by R. Rondo,,74-78,,
4:35.0,Turnover by D. Cousins (bad pass; steal by J. Wall),,74-78,,
4:30.0,,,74-80,2,J. Wall makes 2-pt shot at rim
4:09.0,D. Cousins misses 2-pt shot from 18 ft,,74-80,,
4:09.0,,,74-80,,Defensive rebound by R. Sessions
3:55.0,,,74-80,,R. Sessions misses 2-pt shot from 6 ft
3:54.0,Defensive rebound by R. Gay,,74-80,,
3:43.0,D. Cousins misses 2-pt shot from 15 ft,,74-80,,
3:42.0,,,74-80,,Defensive rebound by M. Gortat
3:30.0,,,74-80,,M. Gortat misses 2-pt shot from 1 ft
3:29.0,Defensive rebound by R. Gay,,74-80,,
3:23.0,O. Casspi makes 2-pt shot at rim (assist by D. Collison),2,76-80,,
3:23.0,,,76-80,,Washington full timeout
3:23.0,K. Koufos enters the game for R. Gay,,76-80,,
3:23.0,M. Belinelli enters the game for D. Cousins,,76-80,,
3:23.0,,,76-80,,K. Humphries enters the game for J. Dudley
3:13.0,,,76-80,,Shooting foul by D. Collison (drawn by J. Wall)
3:13.0,,,76-81,1,J. Wall makes free throw 1 of 2
3:13.0,,,76-82,1,J. Wall makes free throw 2 of 2
2:54.0,O. Casspi misses 3-pt shot from 26 ft (block by K. Humphries),,76-82,,
2:52.0,Offensive rebound by K. Koufos,,76-82,,
2:48.0,M. Belinelli misses 3-pt shot from 25 ft,,76-82,,
2:46.0,,,76-82,,Defensive rebound by R. Sessions
2:43.0,,,76-82,,Shooting foul by M. Belinelli (drawn by K. Humphries)
2:43.0,,,76-83,1,K. Humphries makes free throw 1 of 2
2:43.0,,,76-83,,K. Oubre enters the game for J. Wall
2:43.0,,,76-84,1,K. Humphries makes free throw 2 of 2
2:26.0,Turnover by M. Belinelli (lost ball; steal by G. Temple),,76-84,,
2:07.0,,,76-84,,G. Temple misses 2-pt shot from 17 ft
2:06.0,Defensive rebound by D. Collison,,76-84,,
2:02.0,Shooting foul by K. Oubre (drawn by D. Collison),,76-84,,
2:02.0,D. Collison makes free throw 1 of 2,1,77-84,,
2:02.0,D. Collison makes free throw 2 of 2,1,78-84,,
1:46.0,,,78-84,,M. Gortat misses 2-pt shot from 12 ft
1:45.0,Defensive rebound by O. Casspi,,78-84,,
1:25.0,M. Belinelli makes 2-pt shot from 8 ft,2,80-84,,
1:11.0,,,80-84,,K. Humphries misses 2-pt shot from 3 ft
1:10.0,Defensive rebound by O. Casspi,,80-84,,
1:03.0,M. Belinelli misses 3-pt shot from 25 ft,,80-84,,
1:02.0,,,80-84,,Defensive rebound by K. Oubre
0:46.0,,,80-84,,Turnover by M. Gortat (bad pass)
0:37.0,K. Koufos makes 2-pt shot from 6 ft (assist by D. Collison),2,82-84,,
0:23.0,,,82-84,,R. Sessions misses 2-pt shot from 1 ft
0:22.0,,,82-84,,Offensive rebound by M. Gortat
0:20.0,,,82-84,,M. Gortat misses 2-pt shot from 1 ft
0:19.0,Defensive rebound by R. Rondo,,82-84,,
0:17.0,Shooting foul by K. Humphries (drawn by O. Casspi),,82-84,,
0:17.0,O. Casspi makes free throw 1 of 2,1,83-84,,
0:17.0,,,83-84,,J. Wall enters the game for K. Humphries
0:17.0,S. Curry enters the game for R. Rondo,,83-84,,
0:17.0,O. Casspi makes free throw 2 of 2,1,84-84,,
0:01.0,,,84-84,,G. Temple misses 3-pt shot from 24 ft
0:00.0,,,84-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,84-87,3,J. Dudley makes 3-pt shot from 24 ft (assist by J. Wall)
11:27.0,,,84-87,,Personal foul by J. Dudley (drawn by R. Rondo)
11:21.0,K. Koufos misses 2-pt shot from 4 ft,,84-87,,
11:20.0,,,84-87,,Defensive rebound by J. Wall
11:11.0,,,84-87,,J. Wall misses 2-pt shot from 19 ft
11:10.0,Defensive rebound by S. Curry,,84-87,,
10:58.0,Turnover by S. Curry (bad pass),,84-87,,
10:52.0,,,84-89,2,R. Sessions makes 2-pt shot from 1 ft
10:46.0,Turnover by R. Rondo (bad pass; steal by J. Dudley),,84-89,,
10:39.0,,,84-92,3,K. Humphries makes 3-pt shot from 25 ft (assist by J. Wall)
10:37.0,Sacramento full timeout,,84-92,,
10:37.0,R. Gay enters the game for O. Casspi,,84-92,,
10:22.0,R. Gay makes 2-pt shot from 1 ft,2,86-92,,
9:55.0,,,86-94,2,K. Humphries makes 2-pt shot from 19 ft (assist by R. Sessions)
9:41.0,M. Belinelli makes 2-pt shot from 19 ft (assist by R. Rondo),2,88-94,,
9:21.0,,,88-96,2,R. Sessions makes 2-pt shot from 15 ft
8:56.0,K. Koufos misses 2-pt shot from 13 ft,,88-96,,
8:55.0,,,88-96,,Defensive rebound by J. Wall
8:50.0,,,88-96,,J. Wall misses 2-pt shot from 1 ft
8:48.0,Defensive rebound by K. Koufos,,88-96,,
8:41.0,M. Belinelli makes 3-pt shot from 27 ft (assist by R. Rondo),3,91-96,,
8:22.0,Personal foul by K. Koufos (drawn by K. Humphries),,91-96,,
8:22.0,,,91-96,,G. Temple enters the game for K. Oubre
8:22.0,D. Cousins enters the game for K. Koufos,,91-96,,
8:16.0,,,91-96,,R. Sessions misses 2-pt shot from 8 ft
8:14.0,,,91-96,,Offensive rebound by Team
8:05.0,,,91-96,,G. Temple misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by R. Gay,,91-96,,
7:59.0,,,91-96,,Personal foul by K. Humphries (drawn by D. Cousins)
7:59.0,D. Collison enters the game for S. Curry,,91-96,,
7:59.0,,,91-96,,M. Gortat enters the game for K. Humphries
7:48.0,Shooting foul by J. Wall (drawn by R. Gay),,91-96,,
7:48.0,R. Gay misses free throw 1 of 2,,91-96,,
7:48.0,Offensive rebound by Team,,91-96,,
7:48.0,R. Gay makes free throw 2 of 2,1,92-96,,
7:36.0,,,92-98,2,M. Gortat makes 2-pt shot from 16 ft (assist by J. Wall)
7:14.0,D. Cousins misses 2-pt shot from 5 ft,,92-98,,
7:13.0,,,92-98,,Defensive rebound by M. Gortat
7:01.0,,,92-101,3,G. Temple makes 3-pt shot from 23 ft (assist by J. Dudley)
7:01.0,Sacramento full timeout,,92-101,,
7:01.0,O. Casspi enters the game for M. Belinelli,,92-101,,
6:51.0,D. Cousins makes 2-pt shot at rim (assist by R. Rondo),2,94-101,,
6:26.0,,,94-103,2,G. Temple makes 2-pt shot from 13 ft
6:09.0,D. Cousins misses 2-pt shot from 19 ft,,94-103,,
6:08.0,,,94-103,,Defensive rebound by G. Temple
5:58.0,,,94-103,,J. Dudley misses 3-pt shot from 25 ft
5:57.0,Defensive rebound by O. Casspi,,94-103,,
5:45.0,R. Gay misses 2-pt shot from 2 ft,,94-103,,
5:44.0,,,94-103,,Defensive rebound by J. Dudley
5:26.0,,,94-103,,M. Gortat misses 2-pt shot from 7 ft (block by D. Cousins)
5:24.0,,,94-103,,Offensive rebound by M. Gortat
5:21.0,,,94-105,2,R. Sessions makes 2-pt shot from 5 ft (assist by M. Gortat)
5:05.0,R. Rondo misses 2-pt shot from 11 ft (block by M. Gortat),,94-105,,
5:03.0,,,94-105,,Defensive rebound by M. Gortat
4:47.0,,,94-105,,J. Wall misses 3-pt shot from 25 ft
4:46.0,Defensive rebound by D. Cousins,,94-105,,
4:23.0,D. Cousins misses 2-pt shot from 5 ft,,94-105,,
4:22.0,,,94-105,,Defensive rebound by J. Dudley
4:02.0,,,94-105,,G. Temple misses 3-pt shot from 26 ft
4:01.0,,,94-105,,Offensive rebound by M. Gortat
3:36.0,,,94-107,2,G. Temple makes 2-pt shot at rim
3:27.0,Turnover by R. Rondo (bad pass; steal by M. Gortat),,94-107,,
3:20.0,M. Belinelli enters the game for O. Casspi,,94-107,,
3:20.0,Jump ball: R. Gay vs. J. Wall (R. Rondo gains possession),,,,Jump ball: R. Gay vs. J. Wall (R. Rondo gains possession)
3:20.0,,,94-107,,Turnover by J. Wall (lost ball; steal by R. Gay)
3:10.0,R. Gay misses 2-pt shot from 8 ft,,94-107,,
